,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,totalDebt,totalRevenue,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,14 North Main Street,P.O. Box 197,Souderton,PA,18964,United States,215 721 2400,https://www.univest.net,Banks—Regional,Financial Services,"Univest Financial Corporation operates as the bank holding company for Univest Bank and Trust Co. that provides banking products and services primarily in Pennsylvania. It operates through three segments: Banking, Wealth Management, and Insurance. The Banking segment offers a range of banking services, such as deposit taking, loan origination and servicing, mortgage banking, other general banking, and equipment lease financing services for individuals, businesses, municipalities, and nonprofit organizations. The Wealth Management segment provides investment advisory, financial planning, and trust and brokerage services for private families and individuals, municipal pension plans, retirement plans, and trusts and guardianships. The Insurance segment offers commercial property and casualty insurance, employee benefits solutions, personal insurance lines, and human resources consulting services. The company was formerly known as Univest Corporation of Pennsylvania and changed its name to Univest Financial Corporation in January 2019. Univest Financial Corporation was founded in 1876 and is headquartered in Souderton, Pennsylvania.",973,"{'maxAge': 1, 'name': 'Mr. Jeffrey M. Schweitzer CPA', 'age': 48, 'title': 'Vice Chairman, Pres & CEO', 'yearBorn': 1974, 'fiscalYear': 2022, 'totalPay': 1377057, 'exercisedValue': 0, 'unexercisedValue': 163371}",5,6,4,7,6,1693526400,1672444800,86400,2,17.96,17.96,17.39,18.04,17.96,17.96,17.39,18.04,0.84,0.048,1691452800,0.30110002,3.46,0.915283,6.2724013,8.495146,314079,314079,101964,108220,108220,17.14,17.83,1000,800,515749504,16.11,29.06,1.7426679,18.6868,22.27815,0.84,0.046770602,USD,1132252800,0.27866,28452242,29471400,313192,158512,1690761600,1693440000,0.0106,0.01966,0.75251997,3.23,0.0121,27.322,0.6405095,1672444800,1703980800,1688083200,0.276,82471000,2.79,2.06,1.92,3:2,1114992000,3.826,NMS,EQUITY,UVSP,UVSP,Univest Financial Corporation,Univest Financial Corporation,892733400,America/New_York,EDT,-14400000,17.5,24.0,21.0,22.33,22.0,2.7,hold,3,140774000,4.777,757278016,295953984,10.093,0.01153,0.10511,283984000,89785000,0.277,0.109,0.0,0.0,0.36403,USD,
1,14 North Main Street,P.O. Box 197,Souderton,PA,18964,United States,215 721 2400,https://www.univest.net,Banks—Regional,Financial Services,"Univest Financial Corporation operates as the bank holding company for Univest Bank and Trust Co. that provides banking products and services primarily in Pennsylvania. It operates through three segments: Banking, Wealth Management, and Insurance. The Banking segment offers a range of banking services, such as deposit taking, loan origination and servicing, mortgage banking, other general banking, and equipment lease financing services for individuals, businesses, municipalities, and nonprofit organizations. The Wealth Management segment provides investment advisory, financial planning, and trust and brokerage services for private families and individuals, municipal pension plans, retirement plans, and trusts and guardianships. The Insurance segment offers commercial property and casualty insurance, employee benefits solutions, personal insurance lines, and human resources consulting services. The company was formerly known as Univest Corporation of Pennsylvania and changed its name to Univest Financial Corporation in January 2019. Univest Financial Corporation was founded in 1876 and is headquartered in Souderton, Pennsylvania.",973,"{'maxAge': 1, 'name': 'Mr. Brian J. Richardson', 'age': 39, 'title': 'Sr. Exec. VP & CFO', 'yearBorn': 1983, 'fiscalYear': 2022, 'totalPay': 631212, 'exercisedValue': 0, 'unexercisedValue': 0}",5,6,4,7,6,1693526400,1672444800,86400,2,17.96,17.96,17.39,18.04,17.96,17.96,17.39,18.04,0.84,0.048,1691452800,0.30110002,3.46,0.915283,6.2724013,8.495146,314079,314079,101964,108220,108220,17.14,17.83,1000,800,515749504,16.11,29.06,1.7426679,18.6868,22.27815,0.84,0.046770602,USD,1132252800,0.27866,28452242,29471400,313192,158512,1690761600,1693440000,0.0106,0.01966,0.75251997,3.23,0.0121,27.322,0.6405095,1672444800,1703980800,1688083200,0.276,82471000,2.79,2.06,1.92,3:2,1114992000,3.826,NMS,EQUITY,UVSP,UVSP,Univest Financial Corporation,Univest Financial Corporation,892733400,America/New_York,EDT,-14400000,17.5,24.0,21.0,22.33,22.0,2.7,hold,3,140774000,4.777,757278016,295953984,10.093,0.01153,0.10511,283984000,89785000,0.277,0.109,0.0,0.0,0.36403,USD,
2,14 North Main Street,P.O. Box 197,Souderton,PA,18964,United States,215 721 2400,https://www.univest.net,Banks—Regional,Financial Services,"Univest Financial Corporation operates as the bank holding company for Univest Bank and Trust Co. that provides banking products and services primarily in Pennsylvania. It operates through three segments: Banking, Wealth Management, and Insurance. The Banking segment offers a range of banking services, such as deposit taking, loan origination and servicing, mortgage banking, other general banking, and equipment lease financing services for individuals, businesses, municipalities, and nonprofit organizations. The Wealth Management segment provides investment advisory, financial planning, and trust and brokerage services for private families and individuals, municipal pension plans, retirement plans, and trusts and guardianships. The Insurance segment offers commercial property and casualty insurance, employee benefits solutions, personal insurance lines, and human resources consulting services. The company was formerly known as Univest Corporation of Pennsylvania and changed its name to Univest Financial Corporation in January 2019. Univest Financial Corporation was founded in 1876 and is headquartered in Souderton, Pennsylvania.",973,"{'maxAge': 1, 'name': 'Mr. Michael S. Keim CPA', 'age': 54, 'title': 'Chief Operating Officer', 'yearBorn': 1968, 'fiscalYear': 2022, 'totalPay': 793652, 'exercisedValue': 0, 'unexercisedValue': 63144}",5,6,4,7,6,1693526400,1672444800,86400,2,17.96,17.96,17.39,18.04,17.96,17.96,17.39,18.04,0.84,0.048,1691452800,0.30110002,3.46,0.915283,6.2724013,8.495146,314079,314079,101964,108220,108220,17.14,17.83,1000,800,515749504,16.11,29.06,1.7426679,18.6868,22.27815,0.84,0.046770602,USD,1132252800,0.27866,28452242,29471400,313192,158512,1690761600,1693440000,0.0106,0.01966,0.75251997,3.23,0.0121,27.322,0.6405095,1672444800,1703980800,1688083200,0.276,82471000,2.79,2.06,1.92,3:2,1114992000,3.826,NMS,EQUITY,UVSP,UVSP,Univest Financial Corporation,Univest Financial Corporation,892733400,America/New_York,EDT,-14400000,17.5,24.0,21.0,22.33,22.0,2.7,hold,3,140774000,4.777,757278016,295953984,10.093,0.01153,0.10511,283984000,89785000,0.277,0.109,0.0,0.0,0.36403,USD,
3,14 North Main Street,P.O. Box 197,Souderton,PA,18964,United States,215 721 2400,https://www.univest.net,Banks—Regional,Financial Services,"Univest Financial Corporation operates as the bank holding company for Univest Bank and Trust Co. that provides banking products and services primarily in Pennsylvania. It operates through three segments: Banking, Wealth Management, and Insurance. The Banking segment offers a range of banking services, such as deposit taking, loan origination and servicing, mortgage banking, other general banking, and equipment lease financing services for individuals, businesses, municipalities, and nonprofit organizations. The Wealth Management segment provides investment advisory, financial planning, and trust and brokerage services for private families and individuals, municipal pension plans, retirement plans, and trusts and guardianships. The Insurance segment offers commercial property and casualty insurance, employee benefits solutions, personal insurance lines, and human resources consulting services. The company was formerly known as Univest Corporation of Pennsylvania and changed its name to Univest Financial Corporation in January 2019. Univest Financial Corporation was founded in 1876 and is headquartered in Souderton, Pennsylvania.",973,"{'maxAge': 1, 'name': 'Ms. Megan Duryea Santana Esq.', 'age': 46, 'title': 'Sr. EVP, Chief Risk Officer, Gen. Counsel & Corp. Sec.', 'yearBorn': 1976, 'fiscalYear': 2022, 'totalPay': 541052, 'exercisedValue': 0, 'unexercisedValue': 0}",5,6,4,7,6,1693526400,1672444800,86400,2,17.96,17.96,17.39,18.04,17.96,17.96,17.39,18.04,0.84,0.048,1691452800,0.30110002,3.46,0.915283,6.2724013,8.495146,314079,314079,101964,108220,108220,17.14,17.83,1000,800,515749504,16.11,29.06,1.7426679,18.6868,22.27815,0.84,0.046770602,USD,1132252800,0.27866,28452242,29471400,313192,158512,1690761600,1693440000,0.0106,0.01966,0.75251997,3.23,0.0121,27.322,0.6405095,1672444800,1703980800,1688083200,0.276,82471000,2.79,2.06,1.92,3:2,1114992000,3.826,NMS,EQUITY,UVSP,UVSP,Univest Financial Corporation,Univest Financial Corporation,892733400,America/New_York,EDT,-14400000,17.5,24.0,21.0,22.33,22.0,2.7,hold,3,140774000,4.777,757278016,295953984,10.093,0.01153,0.10511,283984000,89785000,0.277,0.109,0.0,0.0,0.36403,USD,
4,14 North Main Street,P.O. Box 197,Souderton,PA,18964,United States,215 721 2400,https://www.univest.net,Banks—Regional,Financial Services,"Univest Financial Corporation operates as the bank holding company for Univest Bank and Trust Co. that provides banking products and services primarily in Pennsylvania. It operates through three segments: Banking, Wealth Management, and Insurance. The Banking segment offers a range of banking services, such as deposit taking, loan origination and servicing, mortgage banking, other general banking, and equipment lease financing services for individuals, businesses, municipalities, and nonprofit organizations. The Wealth Management segment provides investment advisory, financial planning, and trust and brokerage services for private families and individuals, municipal pension plans, retirement plans, and trusts and guardianships. The Insurance segment offers commercial property and casualty insurance, employee benefits solutions, personal insurance lines, and human resources consulting services. The company was formerly known as Univest Corporation of Pennsylvania and changed its name to Univest Financial Corporation in January 2019. Univest Financial Corporation was founded in 1876 and is headquartered in Souderton, Pennsylvania.",973,"{'maxAge': 1, 'name': 'Mr. Patrick C. McCormick', 'age': 44, 'title': 'Exec. VP & Chief Credit Officer of Univest Bank and Trust Co.', 'yearBorn': 1978, 'fiscalYear': 2022, 'totalPay': 493523, 'exercisedValue': 0, 'unexercisedValue': 0}",5,6,4,7,6,1693526400,1672444800,86400,2,17.96,17.96,17.39,18.04,17.96,17.96,17.39,18.04,0.84,0.048,1691452800,0.30110002,3.46,0.915283,6.2724013,8.495146,314079,314079,101964,108220,108220,17.14,17.83,1000,800,515749504,16.11,29.06,1.7426679,18.6868,22.27815,0.84,0.046770602,USD,1132252800,0.27866,28452242,29471400,313192,158512,1690761600,1693440000,0.0106,0.01966,0.75251997,3.23,0.0121,27.322,0.6405095,1672444800,1703980800,1688083200,0.276,82471000,2.79,2.06,1.92,3:2,1114992000,3.826,NMS,EQUITY,UVSP,UVSP,Univest Financial Corporation,Univest Financial Corporation,892733400,America/New_York,EDT,-14400000,17.5,24.0,21.0,22.33,22.0,2.7,hold,3,140774000,4.777,757278016,295953984,10.093,0.01153,0.10511,283984000,89785000,0.277,0.109,0.0,0.0,0.36403,USD,
5,14 North Main Street,P.O. Box 197,Souderton,PA,18964,United States,215 721 2400,https://www.univest.net,Banks—Regional,Financial Services,"Univest Financial Corporation operates as the bank holding company for Univest Bank and Trust Co. that provides banking products and services primarily in Pennsylvania. It operates through three segments: Banking, Wealth Management, and Insurance. The Banking segment offers a range of banking services, such as deposit taking, loan origination and servicing, mortgage banking, other general banking, and equipment lease financing services for individuals, businesses, municipalities, and nonprofit organizations. The Wealth Management segment provides investment advisory, financial planning, and trust and brokerage services for private families and individuals, municipal pension plans, retirement plans, and trusts and guardianships. The Insurance segment offers commercial property and casualty insurance, employee benefits solutions, personal insurance lines, and human resources consulting services. The company was formerly known as Univest Corporation of Pennsylvania and changed its name to Univest Financial Corporation in January 2019. Univest Financial Corporation was founded in 1876 and is headquartered in Souderton, Pennsylvania.",973,"{'maxAge': 1, 'name': 'Mr. Eric W. Conner', 'age': 51, 'title': 'Sr. EVP & Chief Information Officer', 'yearBorn': 1971, 'fiscalYear': 2017, 'exercisedValue': 0, 'unexercisedValue': 0}",5,6,4,7,6,1693526400,1672444800,86400,2,17.96,17.96,17.39,18.04,17.96,17.96,17.39,18.04,0.84,0.048,1691452800,0.30110002,3.46,0.915283,6.2724013,8.495146,314079,314079,101964,108220,108220,17.14,17.83,1000,800,515749504,16.11,29.06,1.7426679,18.6868,22.27815,0.84,0.046770602,USD,1132252800,0.27866,28452242,29471400,313192,158512,1690761600,1693440000,0.0106,0.01966,0.75251997,3.23,0.0121,27.322,0.6405095,1672444800,1703980800,1688083200,0.276,82471000,2.79,2.06,1.92,3:2,1114992000,3.826,NMS,EQUITY,UVSP,UVSP,Univest Financial Corporation,Univest Financial Corporation,892733400,America/New_York,EDT,-14400000,17.5,24.0,21.0,22.33,22.0,2.7,hold,3,140774000,4.777,757278016,295953984,10.093,0.01153,0.10511,283984000,89785000,0.277,0.109,0.0,0.0,0.36403,USD,
6,14 North Main Street,P.O. Box 197,Souderton,PA,18964,United States,215 721 2400,https://www.univest.net,Banks—Regional,Financial Services,"Univest Financial Corporation operates as the bank holding company for Univest Bank and Trust Co. that provides banking products and services primarily in Pennsylvania. It operates through three segments: Banking, Wealth Management, and Insurance. The Banking segment offers a range of banking services, such as deposit taking, loan origination and servicing, mortgage banking, other general banking, and equipment lease financing services for individuals, businesses, municipalities, and nonprofit organizations. The Wealth Management segment provides investment advisory, financial planning, and trust and brokerage services for private families and individuals, municipal pension plans, retirement plans, and trusts and guardianships. The Insurance segment offers commercial property and casualty insurance, employee benefits solutions, personal insurance lines, and human resources consulting services. The company was formerly known as Univest Corporation of Pennsylvania and changed its name to Univest Financial Corporation in January 2019. Univest Financial Corporation was founded in 1876 and is headquartered in Souderton, Pennsylvania.",973,"{'maxAge': 1, 'name': 'Nicole  Heverly', 'title': 'Sr. VP of Corp. Communications', 'exercisedValue': 0, 'unexercisedValue': 0}",5,6,4,7,6,1693526400,1672444800,86400,2,17.96,17.96,17.39,18.04,17.96,17.96,17.39,18.04,0.84,0.048,1691452800,0.30110002,3.46,0.915283,6.2724013,8.495146,314079,314079,101964,108220,108220,17.14,17.83,1000,800,515749504,16.11,29.06,1.7426679,18.6868,22.27815,0.84,0.046770602,USD,1132252800,0.27866,28452242,29471400,313192,158512,1690761600,1693440000,0.0106,0.01966,0.75251997,3.23,0.0121,27.322,0.6405095,1672444800,1703980800,1688083200,0.276,82471000,2.79,2.06,1.92,3:2,1114992000,3.826,NMS,EQUITY,UVSP,UVSP,Univest Financial Corporation,Univest Financial Corporation,892733400,America/New_York,EDT,-14400000,17.5,24.0,21.0,22.33,22.0,2.7,hold,3,140774000,4.777,757278016,295953984,10.093,0.01153,0.10511,283984000,89785000,0.277,0.109,0.0,0.0,0.36403,USD,
7,14 North Main Street,P.O. Box 197,Souderton,PA,18964,United States,215 721 2400,https://www.univest.net,Banks—Regional,Financial Services,"Univest Financial Corporation operates as the bank holding company for Univest Bank and Trust Co. that provides banking products and services primarily in Pennsylvania. It operates through three segments: Banking, Wealth Management, and Insurance. The Banking segment offers a range of banking services, such as deposit taking, loan origination and servicing, mortgage banking, other general banking, and equipment lease financing services for individuals, businesses, municipalities, and nonprofit organizations. The Wealth Management segment provides investment advisory, financial planning, and trust and brokerage services for private families and individuals, municipal pension plans, retirement plans, and trusts and guardianships. The Insurance segment offers commercial property and casualty insurance, employee benefits solutions, personal insurance lines, and human resources consulting services. The company was formerly known as Univest Corporation of Pennsylvania and changed its name to Univest Financial Corporation in January 2019. Univest Financial Corporation was founded in 1876 and is headquartered in Souderton, Pennsylvania.",973,"{'maxAge': 1, 'name': 'Ms. M. Theresa Fosko', 'title': 'Exec. VP & Chief HR Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",5,6,4,7,6,1693526400,1672444800,86400,2,17.96,17.96,17.39,18.04,17.96,17.96,17.39,18.04,0.84,0.048,1691452800,0.30110002,3.46,0.915283,6.2724013,8.495146,314079,314079,101964,108220,108220,17.14,17.83,1000,800,515749504,16.11,29.06,1.7426679,18.6868,22.27815,0.84,0.046770602,USD,1132252800,0.27866,28452242,29471400,313192,158512,1690761600,1693440000,0.0106,0.01966,0.75251997,3.23,0.0121,27.322,0.6405095,1672444800,1703980800,1688083200,0.276,82471000,2.79,2.06,1.92,3:2,1114992000,3.826,NMS,EQUITY,UVSP,UVSP,Univest Financial Corporation,Univest Financial Corporation,892733400,America/New_York,EDT,-14400000,17.5,24.0,21.0,22.33,22.0,2.7,hold,3,140774000,4.777,757278016,295953984,10.093,0.01153,0.10511,283984000,89785000,0.277,0.109,0.0,0.0,0.36403,USD,
8,14 North Main Street,P.O. Box 197,Souderton,PA,18964,United States,215 721 2400,https://www.univest.net,Banks—Regional,Financial Services,"Univest Financial Corporation operates as the bank holding company for Univest Bank and Trust Co. that provides banking products and services primarily in Pennsylvania. It operates through three segments: Banking, Wealth Management, and Insurance. The Banking segment offers a range of banking services, such as deposit taking, loan origination and servicing, mortgage banking, other general banking, and equipment lease financing services for individuals, businesses, municipalities, and nonprofit organizations. The Wealth Management segment provides investment advisory, financial planning, and trust and brokerage services for private families and individuals, municipal pension plans, retirement plans, and trusts and guardianships. The Insurance segment offers commercial property and casualty insurance, employee benefits solutions, personal insurance lines, and human resources consulting services. The company was formerly known as Univest Corporation of Pennsylvania and changed its name to Univest Financial Corporation in January 2019. Univest Financial Corporation was founded in 1876 and is headquartered in Souderton, Pennsylvania.",973,"{'maxAge': 1, 'name': 'Ms. Karen Elizabeth Tejkl', 'title': 'Sr. VP', 'exercisedValue': 0, 'unexercisedValue': 0}",5,6,4,7,6,1693526400,1672444800,86400,2,17.96,17.96,17.39,18.04,17.96,17.96,17.39,18.04,0.84,0.048,1691452800,0.30110002,3.46,0.915283,6.2724013,8.495146,314079,314079,101964,108220,108220,17.14,17.83,1000,800,515749504,16.11,29.06,1.7426679,18.6868,22.27815,0.84,0.046770602,USD,1132252800,0.27866,28452242,29471400,313192,158512,1690761600,1693440000,0.0106,0.01966,0.75251997,3.23,0.0121,27.322,0.6405095,1672444800,1703980800,1688083200,0.276,82471000,2.79,2.06,1.92,3:2,1114992000,3.826,NMS,EQUITY,UVSP,UVSP,Univest Financial Corporation,Univest Financial Corporation,892733400,America/New_York,EDT,-14400000,17.5,24.0,21.0,22.33,22.0,2.7,hold,3,140774000,4.777,757278016,295953984,10.093,0.01153,0.10511,283984000,89785000,0.277,0.109,0.0,0.0,0.36403,USD,
9,14 North Main Street,P.O. Box 197,Souderton,PA,18964,United States,215 721 2400,https://www.univest.net,Banks—Regional,Financial Services,"Univest Financial Corporation operates as the bank holding company for Univest Bank and Trust Co. that provides banking products and services primarily in Pennsylvania. It operates through three segments: Banking, Wealth Management, and Insurance. The Banking segment offers a range of banking services, such as deposit taking, loan origination and servicing, mortgage banking, other general banking, and equipment lease financing services for individuals, businesses, municipalities, and nonprofit organizations. The Wealth Management segment provides investment advisory, financial planning, and trust and brokerage services for private families and individuals, municipal pension plans, retirement plans, and trusts and guardianships. The Insurance segment offers commercial property and casualty insurance, employee benefits solutions, personal insurance lines, and human resources consulting services. The company was formerly known as Univest Corporation of Pennsylvania and changed its name to Univest Financial Corporation in January 2019. Univest Financial Corporation was founded in 1876 and is headquartered in Souderton, Pennsylvania.",973,"{'maxAge': 1, 'name': 'Ms. Annette D. Szygiel', 'title': 'Chief Experience Officer & Exec. VP', 'exercisedValue': 0, 'unexercisedValue': 0}",5,6,4,7,6,1693526400,1672444800,86400,2,17.96,17.96,17.39,18.04,17.96,17.96,17.39,18.04,0.84,0.048,1691452800,0.30110002,3.46,0.915283,6.2724013,8.495146,314079,314079,101964,108220,108220,17.14,17.83,1000,800,515749504,16.11,29.06,1.7426679,18.6868,22.27815,0.84,0.046770602,USD,1132252800,0.27866,28452242,29471400,313192,158512,1690761600,1693440000,0.0106,0.01966,0.75251997,3.23,0.0121,27.322,0.6405095,1672444800,1703980800,1688083200,0.276,82471000,2.79,2.06,1.92,3:2,1114992000,3.826,NMS,EQUITY,UVSP,UVSP,Univest Financial Corporation,Univest Financial Corporation,892733400,America/New_York,EDT,-14400000,17.5,24.0,21.0,22.33,22.0,2.7,hold,3,140774000,4.777,757278016,295953984,10.093,0.01153,0.10511,283984000,89785000,0.277,0.109,0.0,0.0,0.36403,USD,
