,address1,address2,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationMean,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,60 Gracechurch Street,6th Floor,London,EC3V 0HR,United Kingdom,44 20 7036 1400,https://www.iog.co.uk,Oil & Gas E&P,Energy,"IOG plc engages in the exploration and development of oil and gas properties in the North Sea, the United Kingdom. It focuses on the gas resources. The company holds 50% working interests in the Blythe gas field, Elgood, Elland, Nailsworth, Southwark, Goddard, Southsea, Abbeydale, Thornbridge, Kelham, Panther, and Grafton licences. It also owns 50% interest in Saturn Banks Pipeline System and Bacton Gas Terminal assets. The company was formerly known as Independent Oil and Gas plc and changed its name to IOG Plc in April 2021. IOG Plc was incorporated in 2010 and is based in London, the United Kingdom.",51,"{'maxAge': 1, 'name': 'Mr. Rupert Julian Newall', 'age': 51, 'title': 'CEO & Director', 'yearBorn': 1971, 'fiscalYear': 2022, 'totalPay': 679000, 'exercisedValue': 0, 'unexercisedValue': 43200}",1672444800,86400,4,0.912,1.0169,0.85,1.0169,0.912,1.0169,0.85,1.0169,0.0,0.31006,0.11341464,8519332,8519332,11933291,9768010,9768010,0.85,0.95,0,0,9101798,0.85,26.5,0.1207039,2.19058,6.175795,0.0,0.0,GBp,91414344,-0.37728,366481323,525036992,0.29676,0.15988,0.005,186.0,1672444800,1703980800,1672444800,-28449000,-0.03,8.2,1.212,1.916,LSE,EQUITY,IOG.L,IOG.L,IOG PLC ORD 1P,IOG plc,1380524400,Europe/London,BST,3600000,0.93,3.0,hold,26693000,0.051,47705000,113319000,0.526,0.597,75406000,4373.562,0.144,-0.00565,-1.73634,51583000,24081624,71788000,0.68407,0.63264,-0.02323,GBP,
1,60 Gracechurch Street,6th Floor,London,EC3V 0HR,United Kingdom,44 20 7036 1400,https://www.iog.co.uk,Oil & Gas E&P,Energy,"IOG plc engages in the exploration and development of oil and gas properties in the North Sea, the United Kingdom. It focuses on the gas resources. The company holds 50% working interests in the Blythe gas field, Elgood, Elland, Nailsworth, Southwark, Goddard, Southsea, Abbeydale, Thornbridge, Kelham, Panther, and Grafton licences. It also owns 50% interest in Saturn Banks Pipeline System and Bacton Gas Terminal assets. The company was formerly known as Independent Oil and Gas plc and changed its name to IOG Plc in April 2021. IOG Plc was incorporated in 2010 and is based in London, the United Kingdom.",51,"{'maxAge': 1, 'name': 'Mr. Dougie  Scott', 'title': 'COO & Director', 'fiscalYear': 2022, 'totalPay': 308260, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.912,1.0169,0.85,1.0169,0.912,1.0169,0.85,1.0169,0.0,0.31006,0.11341464,8519332,8519332,11933291,9768010,9768010,0.85,0.95,0,0,9101798,0.85,26.5,0.1207039,2.19058,6.175795,0.0,0.0,GBp,91414344,-0.37728,366481323,525036992,0.29676,0.15988,0.005,186.0,1672444800,1703980800,1672444800,-28449000,-0.03,8.2,1.212,1.916,LSE,EQUITY,IOG.L,IOG.L,IOG PLC ORD 1P,IOG plc,1380524400,Europe/London,BST,3600000,0.93,3.0,hold,26693000,0.051,47705000,113319000,0.526,0.597,75406000,4373.562,0.144,-0.00565,-1.73634,51583000,24081624,71788000,0.68407,0.63264,-0.02323,GBP,
2,60 Gracechurch Street,6th Floor,London,EC3V 0HR,United Kingdom,44 20 7036 1400,https://www.iog.co.uk,Oil & Gas E&P,Energy,"IOG plc engages in the exploration and development of oil and gas properties in the North Sea, the United Kingdom. It focuses on the gas resources. The company holds 50% working interests in the Blythe gas field, Elgood, Elland, Nailsworth, Southwark, Goddard, Southsea, Abbeydale, Thornbridge, Kelham, Panther, and Grafton licences. It also owns 50% interest in Saturn Banks Pipeline System and Bacton Gas Terminal assets. The company was formerly known as Independent Oil and Gas plc and changed its name to IOG Plc in April 2021. IOG Plc was incorporated in 2010 and is based in London, the United Kingdom.",51,"{'maxAge': 1, 'name': 'Mr. John  Arthur', 'title': 'Chief Financial Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.912,1.0169,0.85,1.0169,0.912,1.0169,0.85,1.0169,0.0,0.31006,0.11341464,8519332,8519332,11933291,9768010,9768010,0.85,0.95,0,0,9101798,0.85,26.5,0.1207039,2.19058,6.175795,0.0,0.0,GBp,91414344,-0.37728,366481323,525036992,0.29676,0.15988,0.005,186.0,1672444800,1703980800,1672444800,-28449000,-0.03,8.2,1.212,1.916,LSE,EQUITY,IOG.L,IOG.L,IOG PLC ORD 1P,IOG plc,1380524400,Europe/London,BST,3600000,0.93,3.0,hold,26693000,0.051,47705000,113319000,0.526,0.597,75406000,4373.562,0.144,-0.00565,-1.73634,51583000,24081624,71788000,0.68407,0.63264,-0.02323,GBP,
3,60 Gracechurch Street,6th Floor,London,EC3V 0HR,United Kingdom,44 20 7036 1400,https://www.iog.co.uk,Oil & Gas E&P,Energy,"IOG plc engages in the exploration and development of oil and gas properties in the North Sea, the United Kingdom. It focuses on the gas resources. The company holds 50% working interests in the Blythe gas field, Elgood, Elland, Nailsworth, Southwark, Goddard, Southsea, Abbeydale, Thornbridge, Kelham, Panther, and Grafton licences. It also owns 50% interest in Saturn Banks Pipeline System and Bacton Gas Terminal assets. The company was formerly known as Independent Oil and Gas plc and changed its name to IOG Plc in April 2021. IOG Plc was incorporated in 2010 and is based in London, the United Kingdom.",51,"{'maxAge': 1, 'name': 'Mr. Douglas  Fenwick', 'title': 'Technical Director', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.912,1.0169,0.85,1.0169,0.912,1.0169,0.85,1.0169,0.0,0.31006,0.11341464,8519332,8519332,11933291,9768010,9768010,0.85,0.95,0,0,9101798,0.85,26.5,0.1207039,2.19058,6.175795,0.0,0.0,GBp,91414344,-0.37728,366481323,525036992,0.29676,0.15988,0.005,186.0,1672444800,1703980800,1672444800,-28449000,-0.03,8.2,1.212,1.916,LSE,EQUITY,IOG.L,IOG.L,IOG PLC ORD 1P,IOG plc,1380524400,Europe/London,BST,3600000,0.93,3.0,hold,26693000,0.051,47705000,113319000,0.526,0.597,75406000,4373.562,0.144,-0.00565,-1.73634,51583000,24081624,71788000,0.68407,0.63264,-0.02323,GBP,
4,60 Gracechurch Street,6th Floor,London,EC3V 0HR,United Kingdom,44 20 7036 1400,https://www.iog.co.uk,Oil & Gas E&P,Energy,"IOG plc engages in the exploration and development of oil and gas properties in the North Sea, the United Kingdom. It focuses on the gas resources. The company holds 50% working interests in the Blythe gas field, Elgood, Elland, Nailsworth, Southwark, Goddard, Southsea, Abbeydale, Thornbridge, Kelham, Panther, and Grafton licences. It also owns 50% interest in Saturn Banks Pipeline System and Bacton Gas Terminal assets. The company was formerly known as Independent Oil and Gas plc and changed its name to IOG Plc in April 2021. IOG Plc was incorporated in 2010 and is based in London, the United Kingdom.",51,"{'maxAge': 1, 'name': 'Mr. Robin Bolam Storey', 'title': 'Gen. Counsel & Company Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.912,1.0169,0.85,1.0169,0.912,1.0169,0.85,1.0169,0.0,0.31006,0.11341464,8519332,8519332,11933291,9768010,9768010,0.85,0.95,0,0,9101798,0.85,26.5,0.1207039,2.19058,6.175795,0.0,0.0,GBp,91414344,-0.37728,366481323,525036992,0.29676,0.15988,0.005,186.0,1672444800,1703980800,1672444800,-28449000,-0.03,8.2,1.212,1.916,LSE,EQUITY,IOG.L,IOG.L,IOG PLC ORD 1P,IOG plc,1380524400,Europe/London,BST,3600000,0.93,3.0,hold,26693000,0.051,47705000,113319000,0.526,0.597,75406000,4373.562,0.144,-0.00565,-1.73634,51583000,24081624,71788000,0.68407,0.63264,-0.02323,GBP,
5,60 Gracechurch Street,6th Floor,London,EC3V 0HR,United Kingdom,44 20 7036 1400,https://www.iog.co.uk,Oil & Gas E&P,Energy,"IOG plc engages in the exploration and development of oil and gas properties in the North Sea, the United Kingdom. It focuses on the gas resources. The company holds 50% working interests in the Blythe gas field, Elgood, Elland, Nailsworth, Southwark, Goddard, Southsea, Abbeydale, Thornbridge, Kelham, Panther, and Grafton licences. It also owns 50% interest in Saturn Banks Pipeline System and Bacton Gas Terminal assets. The company was formerly known as Independent Oil and Gas plc and changed its name to IOG Plc in April 2021. IOG Plc was incorporated in 2010 and is based in London, the United Kingdom.",51,"{'maxAge': 1, 'name': 'Mr. Peter Jeremy Young', 'age': 50, 'title': 'Head of Bus. Origination', 'yearBorn': 1972, 'fiscalYear': 2017, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.912,1.0169,0.85,1.0169,0.912,1.0169,0.85,1.0169,0.0,0.31006,0.11341464,8519332,8519332,11933291,9768010,9768010,0.85,0.95,0,0,9101798,0.85,26.5,0.1207039,2.19058,6.175795,0.0,0.0,GBp,91414344,-0.37728,366481323,525036992,0.29676,0.15988,0.005,186.0,1672444800,1703980800,1672444800,-28449000,-0.03,8.2,1.212,1.916,LSE,EQUITY,IOG.L,IOG.L,IOG PLC ORD 1P,IOG plc,1380524400,Europe/London,BST,3600000,0.93,3.0,hold,26693000,0.051,47705000,113319000,0.526,0.597,75406000,4373.562,0.144,-0.00565,-1.73634,51583000,24081624,71788000,0.68407,0.63264,-0.02323,GBP,
6,60 Gracechurch Street,6th Floor,London,EC3V 0HR,United Kingdom,44 20 7036 1400,https://www.iog.co.uk,Oil & Gas E&P,Energy,"IOG plc engages in the exploration and development of oil and gas properties in the North Sea, the United Kingdom. It focuses on the gas resources. The company holds 50% working interests in the Blythe gas field, Elgood, Elland, Nailsworth, Southwark, Goddard, Southsea, Abbeydale, Thornbridge, Kelham, Panther, and Grafton licences. It also owns 50% interest in Saturn Banks Pipeline System and Bacton Gas Terminal assets. The company was formerly known as Independent Oil and Gas plc and changed its name to IOG Plc in April 2021. IOG Plc was incorporated in 2010 and is based in London, the United Kingdom.",51,"{'maxAge': 1, 'name': 'Mr. James  Chance', 'title': 'Head of Capital Markets & ESG', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.912,1.0169,0.85,1.0169,0.912,1.0169,0.85,1.0169,0.0,0.31006,0.11341464,8519332,8519332,11933291,9768010,9768010,0.85,0.95,0,0,9101798,0.85,26.5,0.1207039,2.19058,6.175795,0.0,0.0,GBp,91414344,-0.37728,366481323,525036992,0.29676,0.15988,0.005,186.0,1672444800,1703980800,1672444800,-28449000,-0.03,8.2,1.212,1.916,LSE,EQUITY,IOG.L,IOG.L,IOG PLC ORD 1P,IOG plc,1380524400,Europe/London,BST,3600000,0.93,3.0,hold,26693000,0.051,47705000,113319000,0.526,0.597,75406000,4373.562,0.144,-0.00565,-1.73634,51583000,24081624,71788000,0.68407,0.63264,-0.02323,GBP,
7,60 Gracechurch Street,6th Floor,London,EC3V 0HR,United Kingdom,44 20 7036 1400,https://www.iog.co.uk,Oil & Gas E&P,Energy,"IOG plc engages in the exploration and development of oil and gas properties in the North Sea, the United Kingdom. It focuses on the gas resources. The company holds 50% working interests in the Blythe gas field, Elgood, Elland, Nailsworth, Southwark, Goddard, Southsea, Abbeydale, Thornbridge, Kelham, Panther, and Grafton licences. It also owns 50% interest in Saturn Banks Pipeline System and Bacton Gas Terminal assets. The company was formerly known as Independent Oil and Gas plc and changed its name to IOG Plc in April 2021. IOG Plc was incorporated in 2010 and is based in London, the United Kingdom.",51,"{'maxAge': 1, 'name': 'Mr. Colin  Jones', 'title': 'Chief Petroleum Engineer', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.912,1.0169,0.85,1.0169,0.912,1.0169,0.85,1.0169,0.0,0.31006,0.11341464,8519332,8519332,11933291,9768010,9768010,0.85,0.95,0,0,9101798,0.85,26.5,0.1207039,2.19058,6.175795,0.0,0.0,GBp,91414344,-0.37728,366481323,525036992,0.29676,0.15988,0.005,186.0,1672444800,1703980800,1672444800,-28449000,-0.03,8.2,1.212,1.916,LSE,EQUITY,IOG.L,IOG.L,IOG PLC ORD 1P,IOG plc,1380524400,Europe/London,BST,3600000,0.93,3.0,hold,26693000,0.051,47705000,113319000,0.526,0.597,75406000,4373.562,0.144,-0.00565,-1.73634,51583000,24081624,71788000,0.68407,0.63264,-0.02323,GBP,
8,60 Gracechurch Street,6th Floor,London,EC3V 0HR,United Kingdom,44 20 7036 1400,https://www.iog.co.uk,Oil & Gas E&P,Energy,"IOG plc engages in the exploration and development of oil and gas properties in the North Sea, the United Kingdom. It focuses on the gas resources. The company holds 50% working interests in the Blythe gas field, Elgood, Elland, Nailsworth, Southwark, Goddard, Southsea, Abbeydale, Thornbridge, Kelham, Panther, and Grafton licences. It also owns 50% interest in Saturn Banks Pipeline System and Bacton Gas Terminal assets. The company was formerly known as Independent Oil and Gas plc and changed its name to IOG Plc in April 2021. IOG Plc was incorporated in 2010 and is based in London, the United Kingdom.",51,"{'maxAge': 1, 'name': 'Mark  Yates', 'title': 'Head of HSE & Mang. of HSE', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.912,1.0169,0.85,1.0169,0.912,1.0169,0.85,1.0169,0.0,0.31006,0.11341464,8519332,8519332,11933291,9768010,9768010,0.85,0.95,0,0,9101798,0.85,26.5,0.1207039,2.19058,6.175795,0.0,0.0,GBp,91414344,-0.37728,366481323,525036992,0.29676,0.15988,0.005,186.0,1672444800,1703980800,1672444800,-28449000,-0.03,8.2,1.212,1.916,LSE,EQUITY,IOG.L,IOG.L,IOG PLC ORD 1P,IOG plc,1380524400,Europe/London,BST,3600000,0.93,3.0,hold,26693000,0.051,47705000,113319000,0.526,0.597,75406000,4373.562,0.144,-0.00565,-1.73634,51583000,24081624,71788000,0.68407,0.63264,-0.02323,GBP,
9,60 Gracechurch Street,6th Floor,London,EC3V 0HR,United Kingdom,44 20 7036 1400,https://www.iog.co.uk,Oil & Gas E&P,Energy,"IOG plc engages in the exploration and development of oil and gas properties in the North Sea, the United Kingdom. It focuses on the gas resources. The company holds 50% working interests in the Blythe gas field, Elgood, Elland, Nailsworth, Southwark, Goddard, Southsea, Abbeydale, Thornbridge, Kelham, Panther, and Grafton licences. It also owns 50% interest in Saturn Banks Pipeline System and Bacton Gas Terminal assets. The company was formerly known as Independent Oil and Gas plc and changed its name to IOG Plc in April 2021. IOG Plc was incorporated in 2010 and is based in London, the United Kingdom.",51,"{'maxAge': 1, 'name': 'Mr. Gavin  Milne BSc ACMA CGMA', 'title': 'Group Financial Controller', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.912,1.0169,0.85,1.0169,0.912,1.0169,0.85,1.0169,0.0,0.31006,0.11341464,8519332,8519332,11933291,9768010,9768010,0.85,0.95,0,0,9101798,0.85,26.5,0.1207039,2.19058,6.175795,0.0,0.0,GBp,91414344,-0.37728,366481323,525036992,0.29676,0.15988,0.005,186.0,1672444800,1703980800,1672444800,-28449000,-0.03,8.2,1.212,1.916,LSE,EQUITY,IOG.L,IOG.L,IOG PLC ORD 1P,IOG plc,1380524400,Europe/London,BST,3600000,0.93,3.0,hold,26693000,0.051,47705000,113319000,0.526,0.597,75406000,4373.562,0.144,-0.00565,-1.73634,51583000,24081624,71788000,0.68407,0.63264,-0.02323,GBP,
