,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,9740 Scranton Road,San Diego,CA,92121,United States,858 404 8800,https://www.pricesmart.com,Discount Stores,Consumer Defensive,"PriceSmart, Inc. owns and operates U.S. style membership shopping warehouse clubs in the United States, Central America, the Caribbean, and Colombia. Its warehouse clubs sell brand name and private label consumer products, essential goods, fresh produce, prepared foods, and fresh-baked goods, as well as provides services, such as optical, tire center, and other ancillary services. The company also operates Click & Go, an e-commerce platform for online ordering, curbside pickup, and delivery services. PriceSmart, Inc. was incorporated in 1994 and is headquartered in San Diego, California.",10600,"{'maxAge': 1, 'name': 'Mr. Robert E. Price', 'age': 80, 'title': 'Founder, Interim CEO & Chairman', 'yearBorn': 1942, 'fiscalYear': 2022, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,9,3,7,1693526400,1672444800,86400,2,77.7,77.89,77.12,77.89,77.7,77.89,77.12,77.89,0.92,0.0119,1691971200,0.2367,1.07,0.896957,20.603724,18.185446,332516,332516,140529,155270,155270,77.83,77.86,800,800,2406202624,56.29,82.63,0.55763435,77.7306,72.5596,0.89,0.011454312,USD,2318243584,0.027139999,28355722,31059800,930041,806766,1690761600,1693440000,0.0299,0.10986,1.41813,7.02,0.0511,35.508,2.181762,1661904000,1693440000,1685491200,0.536,115654000,3.76,4.26,1.34,0.537,8.574,NMS,EQUITY,PSMT,PSMT,"PriceSmart, Inc.","PriceSmart, Inc.",873207000,America/New_York,EDT,-14400000,77.47,90.0,82.0,86.0,86.0,2.0,buy,2,335296992,10.931,270387008,277272000,0.634,1.443,4315018752,25.445,140.47,0.06695,0.11383,681148000,126220000,242199008,0.519,0.064,0.17171,0.06266,0.046240002,USD,
1,9740 Scranton Road,San Diego,CA,92121,United States,858 404 8800,https://www.pricesmart.com,Discount Stores,Consumer Defensive,"PriceSmart, Inc. owns and operates U.S. style membership shopping warehouse clubs in the United States, Central America, the Caribbean, and Colombia. Its warehouse clubs sell brand name and private label consumer products, essential goods, fresh produce, prepared foods, and fresh-baked goods, as well as provides services, such as optical, tire center, and other ancillary services. The company also operates Click & Go, an e-commerce platform for online ordering, curbside pickup, and delivery services. PriceSmart, Inc. was incorporated in 1994 and is headquartered in San Diego, California.",10600,"{'maxAge': 1, 'name': 'Mr. John D. Hildebrandt', 'age': 64, 'title': 'Pres & COO', 'yearBorn': 1958, 'fiscalYear': 2022, 'totalPay': 1061640, 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,9,3,7,1693526400,1672444800,86400,2,77.7,77.89,77.12,77.89,77.7,77.89,77.12,77.89,0.92,0.0119,1691971200,0.2367,1.07,0.896957,20.603724,18.185446,332516,332516,140529,155270,155270,77.83,77.86,800,800,2406202624,56.29,82.63,0.55763435,77.7306,72.5596,0.89,0.011454312,USD,2318243584,0.027139999,28355722,31059800,930041,806766,1690761600,1693440000,0.0299,0.10986,1.41813,7.02,0.0511,35.508,2.181762,1661904000,1693440000,1685491200,0.536,115654000,3.76,4.26,1.34,0.537,8.574,NMS,EQUITY,PSMT,PSMT,"PriceSmart, Inc.","PriceSmart, Inc.",873207000,America/New_York,EDT,-14400000,77.47,90.0,82.0,86.0,86.0,2.0,buy,2,335296992,10.931,270387008,277272000,0.634,1.443,4315018752,25.445,140.47,0.06695,0.11383,681148000,126220000,242199008,0.519,0.064,0.17171,0.06266,0.046240002,USD,
2,9740 Scranton Road,San Diego,CA,92121,United States,858 404 8800,https://www.pricesmart.com,Discount Stores,Consumer Defensive,"PriceSmart, Inc. owns and operates U.S. style membership shopping warehouse clubs in the United States, Central America, the Caribbean, and Colombia. Its warehouse clubs sell brand name and private label consumer products, essential goods, fresh produce, prepared foods, and fresh-baked goods, as well as provides services, such as optical, tire center, and other ancillary services. The company also operates Click & Go, an e-commerce platform for online ordering, curbside pickup, and delivery services. PriceSmart, Inc. was incorporated in 1994 and is headquartered in San Diego, California.",10600,"{'maxAge': 1, 'name': 'Mr. Michael L. McCleary CPA, CPA', 'age': 57, 'title': 'Exec. VP, CFO & Principal Accounting Officer', 'yearBorn': 1965, 'fiscalYear': 2022, 'totalPay': 1092746, 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,9,3,7,1693526400,1672444800,86400,2,77.7,77.89,77.12,77.89,77.7,77.89,77.12,77.89,0.92,0.0119,1691971200,0.2367,1.07,0.896957,20.603724,18.185446,332516,332516,140529,155270,155270,77.83,77.86,800,800,2406202624,56.29,82.63,0.55763435,77.7306,72.5596,0.89,0.011454312,USD,2318243584,0.027139999,28355722,31059800,930041,806766,1690761600,1693440000,0.0299,0.10986,1.41813,7.02,0.0511,35.508,2.181762,1661904000,1693440000,1685491200,0.536,115654000,3.76,4.26,1.34,0.537,8.574,NMS,EQUITY,PSMT,PSMT,"PriceSmart, Inc.","PriceSmart, Inc.",873207000,America/New_York,EDT,-14400000,77.47,90.0,82.0,86.0,86.0,2.0,buy,2,335296992,10.931,270387008,277272000,0.634,1.443,4315018752,25.445,140.47,0.06695,0.11383,681148000,126220000,242199008,0.519,0.064,0.17171,0.06266,0.046240002,USD,
3,9740 Scranton Road,San Diego,CA,92121,United States,858 404 8800,https://www.pricesmart.com,Discount Stores,Consumer Defensive,"PriceSmart, Inc. owns and operates U.S. style membership shopping warehouse clubs in the United States, Central America, the Caribbean, and Colombia. Its warehouse clubs sell brand name and private label consumer products, essential goods, fresh produce, prepared foods, and fresh-baked goods, as well as provides services, such as optical, tire center, and other ancillary services. The company also operates Click & Go, an e-commerce platform for online ordering, curbside pickup, and delivery services. PriceSmart, Inc. was incorporated in 1994 and is headquartered in San Diego, California.",10600,"{'maxAge': 1, 'name': 'Mr. Francisco J. Velasco', 'age': 51, 'title': 'Exec. VP, Gen. Counsel, Corp. Sec. and Chief Ethics & Compliance Officer', 'yearBorn': 1971, 'fiscalYear': 2022, 'totalPay': 1053301, 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,9,3,7,1693526400,1672444800,86400,2,77.7,77.89,77.12,77.89,77.7,77.89,77.12,77.89,0.92,0.0119,1691971200,0.2367,1.07,0.896957,20.603724,18.185446,332516,332516,140529,155270,155270,77.83,77.86,800,800,2406202624,56.29,82.63,0.55763435,77.7306,72.5596,0.89,0.011454312,USD,2318243584,0.027139999,28355722,31059800,930041,806766,1690761600,1693440000,0.0299,0.10986,1.41813,7.02,0.0511,35.508,2.181762,1661904000,1693440000,1685491200,0.536,115654000,3.76,4.26,1.34,0.537,8.574,NMS,EQUITY,PSMT,PSMT,"PriceSmart, Inc.","PriceSmart, Inc.",873207000,America/New_York,EDT,-14400000,77.47,90.0,82.0,86.0,86.0,2.0,buy,2,335296992,10.931,270387008,277272000,0.634,1.443,4315018752,25.445,140.47,0.06695,0.11383,681148000,126220000,242199008,0.519,0.064,0.17171,0.06266,0.046240002,USD,
4,9740 Scranton Road,San Diego,CA,92121,United States,858 404 8800,https://www.pricesmart.com,Discount Stores,Consumer Defensive,"PriceSmart, Inc. owns and operates U.S. style membership shopping warehouse clubs in the United States, Central America, the Caribbean, and Colombia. Its warehouse clubs sell brand name and private label consumer products, essential goods, fresh produce, prepared foods, and fresh-baked goods, as well as provides services, such as optical, tire center, and other ancillary services. The company also operates Click & Go, an e-commerce platform for online ordering, curbside pickup, and delivery services. PriceSmart, Inc. was incorporated in 1994 and is headquartered in San Diego, California.",10600,"{'maxAge': 1, 'name': 'Mr. Wayne J. Sadin', 'age': 68, 'title': 'Exec. VP & Chief Information Officer', 'yearBorn': 1954, 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,9,3,7,1693526400,1672444800,86400,2,77.7,77.89,77.12,77.89,77.7,77.89,77.12,77.89,0.92,0.0119,1691971200,0.2367,1.07,0.896957,20.603724,18.185446,332516,332516,140529,155270,155270,77.83,77.86,800,800,2406202624,56.29,82.63,0.55763435,77.7306,72.5596,0.89,0.011454312,USD,2318243584,0.027139999,28355722,31059800,930041,806766,1690761600,1693440000,0.0299,0.10986,1.41813,7.02,0.0511,35.508,2.181762,1661904000,1693440000,1685491200,0.536,115654000,3.76,4.26,1.34,0.537,8.574,NMS,EQUITY,PSMT,PSMT,"PriceSmart, Inc.","PriceSmart, Inc.",873207000,America/New_York,EDT,-14400000,77.47,90.0,82.0,86.0,86.0,2.0,buy,2,335296992,10.931,270387008,277272000,0.634,1.443,4315018752,25.445,140.47,0.06695,0.11383,681148000,126220000,242199008,0.519,0.064,0.17171,0.06266,0.046240002,USD,
5,9740 Scranton Road,San Diego,CA,92121,United States,858 404 8800,https://www.pricesmart.com,Discount Stores,Consumer Defensive,"PriceSmart, Inc. owns and operates U.S. style membership shopping warehouse clubs in the United States, Central America, the Caribbean, and Colombia. Its warehouse clubs sell brand name and private label consumer products, essential goods, fresh produce, prepared foods, and fresh-baked goods, as well as provides services, such as optical, tire center, and other ancillary services. The company also operates Click & Go, an e-commerce platform for online ordering, curbside pickup, and delivery services. PriceSmart, Inc. was incorporated in 1994 and is headquartered in San Diego, California.",10600,"{'maxAge': 1, 'name': 'Mr. Alberto  Morales', 'title': 'Sr. VP of HR', 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,9,3,7,1693526400,1672444800,86400,2,77.7,77.89,77.12,77.89,77.7,77.89,77.12,77.89,0.92,0.0119,1691971200,0.2367,1.07,0.896957,20.603724,18.185446,332516,332516,140529,155270,155270,77.83,77.86,800,800,2406202624,56.29,82.63,0.55763435,77.7306,72.5596,0.89,0.011454312,USD,2318243584,0.027139999,28355722,31059800,930041,806766,1690761600,1693440000,0.0299,0.10986,1.41813,7.02,0.0511,35.508,2.181762,1661904000,1693440000,1685491200,0.536,115654000,3.76,4.26,1.34,0.537,8.574,NMS,EQUITY,PSMT,PSMT,"PriceSmart, Inc.","PriceSmart, Inc.",873207000,America/New_York,EDT,-14400000,77.47,90.0,82.0,86.0,86.0,2.0,buy,2,335296992,10.931,270387008,277272000,0.634,1.443,4315018752,25.445,140.47,0.06695,0.11383,681148000,126220000,242199008,0.519,0.064,0.17171,0.06266,0.046240002,USD,
6,9740 Scranton Road,San Diego,CA,92121,United States,858 404 8800,https://www.pricesmart.com,Discount Stores,Consumer Defensive,"PriceSmart, Inc. owns and operates U.S. style membership shopping warehouse clubs in the United States, Central America, the Caribbean, and Colombia. Its warehouse clubs sell brand name and private label consumer products, essential goods, fresh produce, prepared foods, and fresh-baked goods, as well as provides services, such as optical, tire center, and other ancillary services. The company also operates Click & Go, an e-commerce platform for online ordering, curbside pickup, and delivery services. PriceSmart, Inc. was incorporated in 1994 and is headquartered in San Diego, California.",10600,"{'maxAge': 1, 'name': 'Mr. Brud E. Drachman', 'age': 67, 'title': 'Exec. VP of Environmental Responsibility, Construction & Facilities', 'yearBorn': 1955, 'fiscalYear': 2004, 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,9,3,7,1693526400,1672444800,86400,2,77.7,77.89,77.12,77.89,77.7,77.89,77.12,77.89,0.92,0.0119,1691971200,0.2367,1.07,0.896957,20.603724,18.185446,332516,332516,140529,155270,155270,77.83,77.86,800,800,2406202624,56.29,82.63,0.55763435,77.7306,72.5596,0.89,0.011454312,USD,2318243584,0.027139999,28355722,31059800,930041,806766,1690761600,1693440000,0.0299,0.10986,1.41813,7.02,0.0511,35.508,2.181762,1661904000,1693440000,1685491200,0.536,115654000,3.76,4.26,1.34,0.537,8.574,NMS,EQUITY,PSMT,PSMT,"PriceSmart, Inc.","PriceSmart, Inc.",873207000,America/New_York,EDT,-14400000,77.47,90.0,82.0,86.0,86.0,2.0,buy,2,335296992,10.931,270387008,277272000,0.634,1.443,4315018752,25.445,140.47,0.06695,0.11383,681148000,126220000,242199008,0.519,0.064,0.17171,0.06266,0.046240002,USD,
7,9740 Scranton Road,San Diego,CA,92121,United States,858 404 8800,https://www.pricesmart.com,Discount Stores,Consumer Defensive,"PriceSmart, Inc. owns and operates U.S. style membership shopping warehouse clubs in the United States, Central America, the Caribbean, and Colombia. Its warehouse clubs sell brand name and private label consumer products, essential goods, fresh produce, prepared foods, and fresh-baked goods, as well as provides services, such as optical, tire center, and other ancillary services. The company also operates Click & Go, an e-commerce platform for online ordering, curbside pickup, and delivery services. PriceSmart, Inc. was incorporated in 1994 and is headquartered in San Diego, California.",10600,"{'maxAge': 1, 'name': 'Ms. Catherine D. Alvarez-Smith', 'title': 'Sr. VP of Operational Controlling', 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,9,3,7,1693526400,1672444800,86400,2,77.7,77.89,77.12,77.89,77.7,77.89,77.12,77.89,0.92,0.0119,1691971200,0.2367,1.07,0.896957,20.603724,18.185446,332516,332516,140529,155270,155270,77.83,77.86,800,800,2406202624,56.29,82.63,0.55763435,77.7306,72.5596,0.89,0.011454312,USD,2318243584,0.027139999,28355722,31059800,930041,806766,1690761600,1693440000,0.0299,0.10986,1.41813,7.02,0.0511,35.508,2.181762,1661904000,1693440000,1685491200,0.536,115654000,3.76,4.26,1.34,0.537,8.574,NMS,EQUITY,PSMT,PSMT,"PriceSmart, Inc.","PriceSmart, Inc.",873207000,America/New_York,EDT,-14400000,77.47,90.0,82.0,86.0,86.0,2.0,buy,2,335296992,10.931,270387008,277272000,0.634,1.443,4315018752,25.445,140.47,0.06695,0.11383,681148000,126220000,242199008,0.519,0.064,0.17171,0.06266,0.046240002,USD,
8,9740 Scranton Road,San Diego,CA,92121,United States,858 404 8800,https://www.pricesmart.com,Discount Stores,Consumer Defensive,"PriceSmart, Inc. owns and operates U.S. style membership shopping warehouse clubs in the United States, Central America, the Caribbean, and Colombia. Its warehouse clubs sell brand name and private label consumer products, essential goods, fresh produce, prepared foods, and fresh-baked goods, as well as provides services, such as optical, tire center, and other ancillary services. The company also operates Click & Go, an e-commerce platform for online ordering, curbside pickup, and delivery services. PriceSmart, Inc. was incorporated in 1994 and is headquartered in San Diego, California.",10600,"{'maxAge': 1, 'name': 'Mr. Rodrigo  Calvo', 'age': 51, 'title': 'Exec. VP of Real Estate', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,9,3,7,1693526400,1672444800,86400,2,77.7,77.89,77.12,77.89,77.7,77.89,77.12,77.89,0.92,0.0119,1691971200,0.2367,1.07,0.896957,20.603724,18.185446,332516,332516,140529,155270,155270,77.83,77.86,800,800,2406202624,56.29,82.63,0.55763435,77.7306,72.5596,0.89,0.011454312,USD,2318243584,0.027139999,28355722,31059800,930041,806766,1690761600,1693440000,0.0299,0.10986,1.41813,7.02,0.0511,35.508,2.181762,1661904000,1693440000,1685491200,0.536,115654000,3.76,4.26,1.34,0.537,8.574,NMS,EQUITY,PSMT,PSMT,"PriceSmart, Inc.","PriceSmart, Inc.",873207000,America/New_York,EDT,-14400000,77.47,90.0,82.0,86.0,86.0,2.0,buy,2,335296992,10.931,270387008,277272000,0.634,1.443,4315018752,25.445,140.47,0.06695,0.11383,681148000,126220000,242199008,0.519,0.064,0.17171,0.06266,0.046240002,USD,
9,9740 Scranton Road,San Diego,CA,92121,United States,858 404 8800,https://www.pricesmart.com,Discount Stores,Consumer Defensive,"PriceSmart, Inc. owns and operates U.S. style membership shopping warehouse clubs in the United States, Central America, the Caribbean, and Colombia. Its warehouse clubs sell brand name and private label consumer products, essential goods, fresh produce, prepared foods, and fresh-baked goods, as well as provides services, such as optical, tire center, and other ancillary services. The company also operates Click & Go, an e-commerce platform for online ordering, curbside pickup, and delivery services. PriceSmart, Inc. was incorporated in 1994 and is headquartered in San Diego, California.",10600,"{'maxAge': 1, 'name': 'Mr. Christopher  Souhrada', 'age': 51, 'title': 'Exec. VP of Club Operations', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,9,3,7,1693526400,1672444800,86400,2,77.7,77.89,77.12,77.89,77.7,77.89,77.12,77.89,0.92,0.0119,1691971200,0.2367,1.07,0.896957,20.603724,18.185446,332516,332516,140529,155270,155270,77.83,77.86,800,800,2406202624,56.29,82.63,0.55763435,77.7306,72.5596,0.89,0.011454312,USD,2318243584,0.027139999,28355722,31059800,930041,806766,1690761600,1693440000,0.0299,0.10986,1.41813,7.02,0.0511,35.508,2.181762,1661904000,1693440000,1685491200,0.536,115654000,3.76,4.26,1.34,0.537,8.574,NMS,EQUITY,PSMT,PSMT,"PriceSmart, Inc.","PriceSmart, Inc.",873207000,America/New_York,EDT,-14400000,77.47,90.0,82.0,86.0,86.0,2.0,buy,2,335296992,10.931,270387008,277272000,0.634,1.443,4315018752,25.445,140.47,0.06695,0.11383,681148000,126220000,242199008,0.519,0.064,0.17171,0.06266,0.046240002,USD,
