,address1,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Untere Donaustrasse 21,Vienna,1029,Austria,43 1 21175 3773,43 4 35067 7676,https://www.uniqagroup.com,Insurance—Diversified,Financial Services,"UNIQA Insurance Group AG operates as an insurance company in Austria, and Central and Eastern Europe. The company operates through UNIQA Austria, UNIQA International, and Reinsurance segments. Its product portfolio includes life, health, property and casualty, fire and business interruption, household and other property, liability, legal expense, motor TPL and other motor, and other insurance products, as well as marine, aviation, and transport insurance products. The company also engages in reinsurance business. It offers its products and services through various distribution channels, including sales force, general agencies, brokers, banks, and direct sales. The company was formerly known as UNIQA Versicherungen AG and changed its name to UNIQA Insurance Group AG in July 2013. UNIQA Insurance Group AG was founded in 1811 and is based in Vienna, Austria.",14570,"{'maxAge': 1, 'name': 'Dr. Andreas  Brandstetter', 'age': 53, 'title': 'Chairman of the Management Board, CEO & CIO', 'yearBorn': 1969, 'fiscalYear': 2022, 'totalPay': 1425000, 'exercisedValue': 0, 'unexercisedValue': 0}",6,4,8,6,6,1693526400,1672444800,86400,2,7.53,7.53,7.53,7.53,7.53,7.53,7.53,7.53,0.55,0.073,1686787200,0.35950002,5.28,0.903903,4.921569,409,409,164,510,510,7.47,7.51,500000,500000,2317591040,5.93,8.33,0.31185392,7.3506,7.57985,0.55,0.07304117,EUR,-157251584,0.06292,130880778,306964992,0.632,0.06503,7.256,1.0377619,1672444800,1703980800,1688083200,467608000,1.53,-0.021,-0.22,FRA,EQUITY,UN9.F,UN9.F,UNIQA INSURANCE GROUP AG,UNIQA Insurance Group AG,1105513200,Europe/Berlin,CEST,7200000,7.53,none,4267699968,13.903,714328000,1779000064,184.513,207.106,7431655936,79.165,24.21,0.01361,0.22517,1691876000,-2255877376,366076000,0.124,0.25057,0.09612001,0.082320005,EUR,
1,Untere Donaustrasse 21,Vienna,1029,Austria,43 1 21175 3773,43 4 35067 7676,https://www.uniqagroup.com,Insurance—Diversified,Financial Services,"UNIQA Insurance Group AG operates as an insurance company in Austria, and Central and Eastern Europe. The company operates through UNIQA Austria, UNIQA International, and Reinsurance segments. Its product portfolio includes life, health, property and casualty, fire and business interruption, household and other property, liability, legal expense, motor TPL and other motor, and other insurance products, as well as marine, aviation, and transport insurance products. The company also engages in reinsurance business. It offers its products and services through various distribution channels, including sales force, general agencies, brokers, banks, and direct sales. The company was formerly known as UNIQA Versicherungen AG and changed its name to UNIQA Insurance Group AG in July 2013. UNIQA Insurance Group AG was founded in 1811 and is based in Vienna, Austria.",14570,"{'maxAge': 1, 'name': 'Magistrate Kurt  Svoboda', 'age': 55, 'title': 'Member of the Management Board, CFO & Chief Risk Officer', 'yearBorn': 1967, 'fiscalYear': 2022, 'totalPay': 1218000, 'exercisedValue': 0, 'unexercisedValue': 0}",6,4,8,6,6,1693526400,1672444800,86400,2,7.53,7.53,7.53,7.53,7.53,7.53,7.53,7.53,0.55,0.073,1686787200,0.35950002,5.28,0.903903,4.921569,409,409,164,510,510,7.47,7.51,500000,500000,2317591040,5.93,8.33,0.31185392,7.3506,7.57985,0.55,0.07304117,EUR,-157251584,0.06292,130880778,306964992,0.632,0.06503,7.256,1.0377619,1672444800,1703980800,1688083200,467608000,1.53,-0.021,-0.22,FRA,EQUITY,UN9.F,UN9.F,UNIQA INSURANCE GROUP AG,UNIQA Insurance Group AG,1105513200,Europe/Berlin,CEST,7200000,7.53,none,4267699968,13.903,714328000,1779000064,184.513,207.106,7431655936,79.165,24.21,0.01361,0.22517,1691876000,-2255877376,366076000,0.124,0.25057,0.09612001,0.082320005,EUR,
2,Untere Donaustrasse 21,Vienna,1029,Austria,43 1 21175 3773,43 4 35067 7676,https://www.uniqagroup.com,Insurance—Diversified,Financial Services,"UNIQA Insurance Group AG operates as an insurance company in Austria, and Central and Eastern Europe. The company operates through UNIQA Austria, UNIQA International, and Reinsurance segments. Its product portfolio includes life, health, property and casualty, fire and business interruption, household and other property, liability, legal expense, motor TPL and other motor, and other insurance products, as well as marine, aviation, and transport insurance products. The company also engages in reinsurance business. It offers its products and services through various distribution channels, including sales force, general agencies, brokers, banks, and direct sales. The company was formerly known as UNIQA Versicherungen AG and changed its name to UNIQA Insurance Group AG in July 2013. UNIQA Insurance Group AG was founded in 1811 and is based in Vienna, Austria.",14570,"{'maxAge': 1, 'name': 'Dr. Wolfgang  Kindl Ph.D.', 'age': 56, 'title': 'Member of the Management Board', 'yearBorn': 1966, 'fiscalYear': 2022, 'totalPay': 1114000, 'exercisedValue': 0, 'unexercisedValue': 0}",6,4,8,6,6,1693526400,1672444800,86400,2,7.53,7.53,7.53,7.53,7.53,7.53,7.53,7.53,0.55,0.073,1686787200,0.35950002,5.28,0.903903,4.921569,409,409,164,510,510,7.47,7.51,500000,500000,2317591040,5.93,8.33,0.31185392,7.3506,7.57985,0.55,0.07304117,EUR,-157251584,0.06292,130880778,306964992,0.632,0.06503,7.256,1.0377619,1672444800,1703980800,1688083200,467608000,1.53,-0.021,-0.22,FRA,EQUITY,UN9.F,UN9.F,UNIQA INSURANCE GROUP AG,UNIQA Insurance Group AG,1105513200,Europe/Berlin,CEST,7200000,7.53,none,4267699968,13.903,714328000,1779000064,184.513,207.106,7431655936,79.165,24.21,0.01361,0.22517,1691876000,-2255877376,366076000,0.124,0.25057,0.09612001,0.082320005,EUR,
3,Untere Donaustrasse 21,Vienna,1029,Austria,43 1 21175 3773,43 4 35067 7676,https://www.uniqagroup.com,Insurance—Diversified,Financial Services,"UNIQA Insurance Group AG operates as an insurance company in Austria, and Central and Eastern Europe. The company operates through UNIQA Austria, UNIQA International, and Reinsurance segments. Its product portfolio includes life, health, property and casualty, fire and business interruption, household and other property, liability, legal expense, motor TPL and other motor, and other insurance products, as well as marine, aviation, and transport insurance products. The company also engages in reinsurance business. It offers its products and services through various distribution channels, including sales force, general agencies, brokers, banks, and direct sales. The company was formerly known as UNIQA Versicherungen AG and changed its name to UNIQA Insurance Group AG in July 2013. UNIQA Insurance Group AG was founded in 1811 and is based in Vienna, Austria.",14570,"{'maxAge': 1, 'name': 'Dr. Erik  Leyers', 'age': 53, 'title': 'Member of the Management Board, Head of Data & IT and COO', 'yearBorn': 1969, 'fiscalYear': 2022, 'totalPay': 1111000, 'exercisedValue': 0, 'unexercisedValue': 0}",6,4,8,6,6,1693526400,1672444800,86400,2,7.53,7.53,7.53,7.53,7.53,7.53,7.53,7.53,0.55,0.073,1686787200,0.35950002,5.28,0.903903,4.921569,409,409,164,510,510,7.47,7.51,500000,500000,2317591040,5.93,8.33,0.31185392,7.3506,7.57985,0.55,0.07304117,EUR,-157251584,0.06292,130880778,306964992,0.632,0.06503,7.256,1.0377619,1672444800,1703980800,1688083200,467608000,1.53,-0.021,-0.22,FRA,EQUITY,UN9.F,UN9.F,UNIQA INSURANCE GROUP AG,UNIQA Insurance Group AG,1105513200,Europe/Berlin,CEST,7200000,7.53,none,4267699968,13.903,714328000,1779000064,184.513,207.106,7431655936,79.165,24.21,0.01361,0.22517,1691876000,-2255877376,366076000,0.124,0.25057,0.09612001,0.082320005,EUR,
4,Untere Donaustrasse 21,Vienna,1029,Austria,43 1 21175 3773,43 4 35067 7676,https://www.uniqagroup.com,Insurance—Diversified,Financial Services,"UNIQA Insurance Group AG operates as an insurance company in Austria, and Central and Eastern Europe. The company operates through UNIQA Austria, UNIQA International, and Reinsurance segments. Its product portfolio includes life, health, property and casualty, fire and business interruption, household and other property, liability, legal expense, motor TPL and other motor, and other insurance products, as well as marine, aviation, and transport insurance products. The company also engages in reinsurance business. It offers its products and services through various distribution channels, including sales force, general agencies, brokers, banks, and direct sales. The company was formerly known as UNIQA Versicherungen AG and changed its name to UNIQA Insurance Group AG in July 2013. UNIQA Insurance Group AG was founded in 1811 and is based in Vienna, Austria.",14570,"{'maxAge': 1, 'name': 'Dr. Peter  Eichler', 'age': 61, 'title': 'Member of the Management Board', 'yearBorn': 1961, 'fiscalYear': 2022, 'totalPay': 1006000, 'exercisedValue': 0, 'unexercisedValue': 0}",6,4,8,6,6,1693526400,1672444800,86400,2,7.53,7.53,7.53,7.53,7.53,7.53,7.53,7.53,0.55,0.073,1686787200,0.35950002,5.28,0.903903,4.921569,409,409,164,510,510,7.47,7.51,500000,500000,2317591040,5.93,8.33,0.31185392,7.3506,7.57985,0.55,0.07304117,EUR,-157251584,0.06292,130880778,306964992,0.632,0.06503,7.256,1.0377619,1672444800,1703980800,1688083200,467608000,1.53,-0.021,-0.22,FRA,EQUITY,UN9.F,UN9.F,UNIQA INSURANCE GROUP AG,UNIQA Insurance Group AG,1105513200,Europe/Berlin,CEST,7200000,7.53,none,4267699968,13.903,714328000,1779000064,184.513,207.106,7431655936,79.165,24.21,0.01361,0.22517,1691876000,-2255877376,366076000,0.124,0.25057,0.09612001,0.082320005,EUR,
5,Untere Donaustrasse 21,Vienna,1029,Austria,43 1 21175 3773,43 4 35067 7676,https://www.uniqagroup.com,Insurance—Diversified,Financial Services,"UNIQA Insurance Group AG operates as an insurance company in Austria, and Central and Eastern Europe. The company operates through UNIQA Austria, UNIQA International, and Reinsurance segments. Its product portfolio includes life, health, property and casualty, fire and business interruption, household and other property, liability, legal expense, motor TPL and other motor, and other insurance products, as well as marine, aviation, and transport insurance products. The company also engages in reinsurance business. It offers its products and services through various distribution channels, including sales force, general agencies, brokers, banks, and direct sales. The company was formerly known as UNIQA Versicherungen AG and changed its name to UNIQA Insurance Group AG in July 2013. UNIQA Insurance Group AG was founded in 1811 and is based in Vienna, Austria.",14570,"{'maxAge': 1, 'name': 'Magistrate Wolf-Christoph  Gerlach', 'age': 43, 'title': 'Member of Management Board', 'yearBorn': 1979, 'fiscalYear': 2022, 'totalPay': 887000, 'exercisedValue': 0, 'unexercisedValue': 0}",6,4,8,6,6,1693526400,1672444800,86400,2,7.53,7.53,7.53,7.53,7.53,7.53,7.53,7.53,0.55,0.073,1686787200,0.35950002,5.28,0.903903,4.921569,409,409,164,510,510,7.47,7.51,500000,500000,2317591040,5.93,8.33,0.31185392,7.3506,7.57985,0.55,0.07304117,EUR,-157251584,0.06292,130880778,306964992,0.632,0.06503,7.256,1.0377619,1672444800,1703980800,1688083200,467608000,1.53,-0.021,-0.22,FRA,EQUITY,UN9.F,UN9.F,UNIQA INSURANCE GROUP AG,UNIQA Insurance Group AG,1105513200,Europe/Berlin,CEST,7200000,7.53,none,4267699968,13.903,714328000,1779000064,184.513,207.106,7431655936,79.165,24.21,0.01361,0.22517,1691876000,-2255877376,366076000,0.124,0.25057,0.09612001,0.082320005,EUR,
6,Untere Donaustrasse 21,Vienna,1029,Austria,43 1 21175 3773,43 4 35067 7676,https://www.uniqagroup.com,Insurance—Diversified,Financial Services,"UNIQA Insurance Group AG operates as an insurance company in Austria, and Central and Eastern Europe. The company operates through UNIQA Austria, UNIQA International, and Reinsurance segments. Its product portfolio includes life, health, property and casualty, fire and business interruption, household and other property, liability, legal expense, motor TPL and other motor, and other insurance products, as well as marine, aviation, and transport insurance products. The company also engages in reinsurance business. It offers its products and services through various distribution channels, including sales force, general agencies, brokers, banks, and direct sales. The company was formerly known as UNIQA Versicherungen AG and changed its name to UNIQA Insurance Group AG in July 2013. UNIQA Insurance Group AG was founded in 1811 and is based in Vienna, Austria.",14570,"{'maxAge': 1, 'name': 'Engineer Rene  Knapp', 'age': 39, 'title': 'Member of Management Board', 'yearBorn': 1983, 'fiscalYear': 2022, 'totalPay': 899000, 'exercisedValue': 0, 'unexercisedValue': 0}",6,4,8,6,6,1693526400,1672444800,86400,2,7.53,7.53,7.53,7.53,7.53,7.53,7.53,7.53,0.55,0.073,1686787200,0.35950002,5.28,0.903903,4.921569,409,409,164,510,510,7.47,7.51,500000,500000,2317591040,5.93,8.33,0.31185392,7.3506,7.57985,0.55,0.07304117,EUR,-157251584,0.06292,130880778,306964992,0.632,0.06503,7.256,1.0377619,1672444800,1703980800,1688083200,467608000,1.53,-0.021,-0.22,FRA,EQUITY,UN9.F,UN9.F,UNIQA INSURANCE GROUP AG,UNIQA Insurance Group AG,1105513200,Europe/Berlin,CEST,7200000,7.53,none,4267699968,13.903,714328000,1779000064,184.513,207.106,7431655936,79.165,24.21,0.01361,0.22517,1691876000,-2255877376,366076000,0.124,0.25057,0.09612001,0.082320005,EUR,
7,Untere Donaustrasse 21,Vienna,1029,Austria,43 1 21175 3773,43 4 35067 7676,https://www.uniqagroup.com,Insurance—Diversified,Financial Services,"UNIQA Insurance Group AG operates as an insurance company in Austria, and Central and Eastern Europe. The company operates through UNIQA Austria, UNIQA International, and Reinsurance segments. Its product portfolio includes life, health, property and casualty, fire and business interruption, household and other property, liability, legal expense, motor TPL and other motor, and other insurance products, as well as marine, aviation, and transport insurance products. The company also engages in reinsurance business. It offers its products and services through various distribution channels, including sales force, general agencies, brokers, banks, and direct sales. The company was formerly known as UNIQA Versicherungen AG and changed its name to UNIQA Insurance Group AG in July 2013. UNIQA Insurance Group AG was founded in 1811 and is based in Vienna, Austria.",14570,"{'maxAge': 1, 'name': 'Dr. Peter  Humer', 'age': 51, 'title': 'Member of the Management Board', 'yearBorn': 1971, 'fiscalYear': 2022, 'totalPay': 1065000, 'exercisedValue': 0, 'unexercisedValue': 0}",6,4,8,6,6,1693526400,1672444800,86400,2,7.53,7.53,7.53,7.53,7.53,7.53,7.53,7.53,0.55,0.073,1686787200,0.35950002,5.28,0.903903,4.921569,409,409,164,510,510,7.47,7.51,500000,500000,2317591040,5.93,8.33,0.31185392,7.3506,7.57985,0.55,0.07304117,EUR,-157251584,0.06292,130880778,306964992,0.632,0.06503,7.256,1.0377619,1672444800,1703980800,1688083200,467608000,1.53,-0.021,-0.22,FRA,EQUITY,UN9.F,UN9.F,UNIQA INSURANCE GROUP AG,UNIQA Insurance Group AG,1105513200,Europe/Berlin,CEST,7200000,7.53,none,4267699968,13.903,714328000,1779000064,184.513,207.106,7431655936,79.165,24.21,0.01361,0.22517,1691876000,-2255877376,366076000,0.124,0.25057,0.09612001,0.082320005,EUR,
8,Untere Donaustrasse 21,Vienna,1029,Austria,43 1 21175 3773,43 4 35067 7676,https://www.uniqagroup.com,Insurance—Diversified,Financial Services,"UNIQA Insurance Group AG operates as an insurance company in Austria, and Central and Eastern Europe. The company operates through UNIQA Austria, UNIQA International, and Reinsurance segments. Its product portfolio includes life, health, property and casualty, fire and business interruption, household and other property, liability, legal expense, motor TPL and other motor, and other insurance products, as well as marine, aviation, and transport insurance products. The company also engages in reinsurance business. It offers its products and services through various distribution channels, including sales force, general agencies, brokers, banks, and direct sales. The company was formerly known as UNIQA Versicherungen AG and changed its name to UNIQA Insurance Group AG in July 2013. UNIQA Insurance Group AG was founded in 1811 and is based in Vienna, Austria.",14570,"{'maxAge': 1, 'name': 'Ms. Sabine  Pfeffer', 'age': 50, 'title': 'Member of Management Board', 'yearBorn': 1972, 'exercisedValue': 0, 'unexercisedValue': 0}",6,4,8,6,6,1693526400,1672444800,86400,2,7.53,7.53,7.53,7.53,7.53,7.53,7.53,7.53,0.55,0.073,1686787200,0.35950002,5.28,0.903903,4.921569,409,409,164,510,510,7.47,7.51,500000,500000,2317591040,5.93,8.33,0.31185392,7.3506,7.57985,0.55,0.07304117,EUR,-157251584,0.06292,130880778,306964992,0.632,0.06503,7.256,1.0377619,1672444800,1703980800,1688083200,467608000,1.53,-0.021,-0.22,FRA,EQUITY,UN9.F,UN9.F,UNIQA INSURANCE GROUP AG,UNIQA Insurance Group AG,1105513200,Europe/Berlin,CEST,7200000,7.53,none,4267699968,13.903,714328000,1779000064,184.513,207.106,7431655936,79.165,24.21,0.01361,0.22517,1691876000,-2255877376,366076000,0.124,0.25057,0.09612001,0.082320005,EUR,
9,Untere Donaustrasse 21,Vienna,1029,Austria,43 1 21175 3773,43 4 35067 7676,https://www.uniqagroup.com,Insurance—Diversified,Financial Services,"UNIQA Insurance Group AG operates as an insurance company in Austria, and Central and Eastern Europe. The company operates through UNIQA Austria, UNIQA International, and Reinsurance segments. Its product portfolio includes life, health, property and casualty, fire and business interruption, household and other property, liability, legal expense, motor TPL and other motor, and other insurance products, as well as marine, aviation, and transport insurance products. The company also engages in reinsurance business. It offers its products and services through various distribution channels, including sales force, general agencies, brokers, banks, and direct sales. The company was formerly known as UNIQA Versicherungen AG and changed its name to UNIQA Insurance Group AG in July 2013. UNIQA Insurance Group AG was founded in 1811 and is based in Vienna, Austria.",14570,"{'maxAge': 1, 'name': 'Mr. Michael  Oplustil', 'title': 'Head of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",6,4,8,6,6,1693526400,1672444800,86400,2,7.53,7.53,7.53,7.53,7.53,7.53,7.53,7.53,0.55,0.073,1686787200,0.35950002,5.28,0.903903,4.921569,409,409,164,510,510,7.47,7.51,500000,500000,2317591040,5.93,8.33,0.31185392,7.3506,7.57985,0.55,0.07304117,EUR,-157251584,0.06292,130880778,306964992,0.632,0.06503,7.256,1.0377619,1672444800,1703980800,1688083200,467608000,1.53,-0.021,-0.22,FRA,EQUITY,UN9.F,UN9.F,UNIQA INSURANCE GROUP AG,UNIQA Insurance Group AG,1105513200,Europe/Berlin,CEST,7200000,7.53,none,4267699968,13.903,714328000,1779000064,184.513,207.106,7431655936,79.165,24.21,0.01361,0.22517,1691876000,-2255877376,366076000,0.124,0.25057,0.09612001,0.082320005,EUR,
