,address1,address2,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationMean,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,14 Hakitor Street,Haifa Bay,Haifa,2624761,Israel,972 4 847 5700,https://www.taro.com,Drug Manufacturers—Specialty & Generic,Healthcare,"Taro Pharmaceutical Industries Ltd., a science-based pharmaceutical company, develops, manufactures, and markets prescription and over-the-counter pharmaceutical products in the United States, Canada, Israel, and internationally. The company also develops and manufactures active pharmaceutical ingredients primarily for use in its finished dosage form products. It offers its products for various therapeutic categories comprising allergy, analgesic, antibacterial, antibiotic, anticonvulsant, antiemetic, antifungal, anti-inflammatory, anti-cancer, antiplatelet agent, antipyretic, cardiovascular, CNS, corticosteroid, cosmetic, cough and cold, dermatology, diuretic, endocrine, gastrointestinal, laxative, narcotics, neuropathic pain, neuropsychiatric, sedative/hypnotic, and topical anti-neoplastic. The company provides its products in the form of capsule, cream, drops, emulsion, gel/gel kit, granules, injectable, lotion, oil, ointment, paste, powder/powder for solution, rectal suppository, shampoo, solution/solution for infusion, spray, suspension, syrup, tablets, toothpaste and mouthwash, topical foam, and topical solution. It distributes and sells its products directly to wholesalers, retail drug chains, food chains, hospitals, mass merchandisers, e-commerce stores, and other direct consumers, as well as healthcare institutions and private pharmacies. The company was incorporated in 1959 and is based in Haifa, Israel. Taro Pharmaceutical Industries Ltd. operates as a subsidiary of Alkaloida Chemical Company Zrt. As of June 30, 2023, Taro Pharmaceutical Industries Ltd. operates as a subsidiary of Sun Pharmaceutical Industries Limited.",1554,"{'maxAge': 1, 'name': 'Mr. Uday V. Baldota', 'age': 52, 'title': 'CEO & Director', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}",1514678400,86400,2,38.0,38.0,37.49,38.46,38.0,38.0,37.49,38.46,1544400000,0.0,0.665975,65.75862,8.687927,52071,52071,64637,27230,27230,37.94,38.05,800,900,1433476608,22.89,42.22,2.4922183,37.4446,32.06805,0.0,0.0,USD,627334720,0.0372,8084886,37584600,398634,226243,1690761600,1693440000,0.0106,0.78484,0.12163,7.41,0.0493,46.256,0.8245417,1680220800,1711843200,1688083200,-0.287,21399000,0.58,4.39,-3.06,2:1,996192000,1.091,17.895,NYQ,EQUITY,TARO,TARO,Taro Pharmaceutical Industries ,Taro Pharmaceutical Industries Ltd.,400858200,America/New_York,EDT,-14400000,38.14,2.0,buy,806153024,21.449,35057000,0,2.83,3.361,575180992,15.304,0.00059,0.0124,75465872,97555000,-0.287,0.014,0.43604,0.060949996,0.0034999999,USD,
1,14 Hakitor Street,Haifa Bay,Haifa,2624761,Israel,972 4 847 5700,https://www.taro.com,Drug Manufacturers—Specialty & Generic,Healthcare,"Taro Pharmaceutical Industries Ltd., a science-based pharmaceutical company, develops, manufactures, and markets prescription and over-the-counter pharmaceutical products in the United States, Canada, Israel, and internationally. The company also develops and manufactures active pharmaceutical ingredients primarily for use in its finished dosage form products. It offers its products for various therapeutic categories comprising allergy, analgesic, antibacterial, antibiotic, anticonvulsant, antiemetic, antifungal, anti-inflammatory, anti-cancer, antiplatelet agent, antipyretic, cardiovascular, CNS, corticosteroid, cosmetic, cough and cold, dermatology, diuretic, endocrine, gastrointestinal, laxative, narcotics, neuropathic pain, neuropsychiatric, sedative/hypnotic, and topical anti-neoplastic. The company provides its products in the form of capsule, cream, drops, emulsion, gel/gel kit, granules, injectable, lotion, oil, ointment, paste, powder/powder for solution, rectal suppository, shampoo, solution/solution for infusion, spray, suspension, syrup, tablets, toothpaste and mouthwash, topical foam, and topical solution. It distributes and sells its products directly to wholesalers, retail drug chains, food chains, hospitals, mass merchandisers, e-commerce stores, and other direct consumers, as well as healthcare institutions and private pharmacies. The company was incorporated in 1959 and is based in Haifa, Israel. Taro Pharmaceutical Industries Ltd. operates as a subsidiary of Alkaloida Chemical Company Zrt. As of June 30, 2023, Taro Pharmaceutical Industries Ltd. operates as a subsidiary of Sun Pharmaceutical Industries Limited.",1554,"{'maxAge': 1, 'name': 'Mr. William J. Coote', 'age': 67, 'title': 'VP, CFO & Chief Accounting Officer', 'yearBorn': 1955, 'exercisedValue': 0, 'unexercisedValue': 0}",1514678400,86400,2,38.0,38.0,37.49,38.46,38.0,38.0,37.49,38.46,1544400000,0.0,0.665975,65.75862,8.687927,52071,52071,64637,27230,27230,37.94,38.05,800,900,1433476608,22.89,42.22,2.4922183,37.4446,32.06805,0.0,0.0,USD,627334720,0.0372,8084886,37584600,398634,226243,1690761600,1693440000,0.0106,0.78484,0.12163,7.41,0.0493,46.256,0.8245417,1680220800,1711843200,1688083200,-0.287,21399000,0.58,4.39,-3.06,2:1,996192000,1.091,17.895,NYQ,EQUITY,TARO,TARO,Taro Pharmaceutical Industries ,Taro Pharmaceutical Industries Ltd.,400858200,America/New_York,EDT,-14400000,38.14,2.0,buy,806153024,21.449,35057000,0,2.83,3.361,575180992,15.304,0.00059,0.0124,75465872,97555000,-0.287,0.014,0.43604,0.060949996,0.0034999999,USD,
2,14 Hakitor Street,Haifa Bay,Haifa,2624761,Israel,972 4 847 5700,https://www.taro.com,Drug Manufacturers—Specialty & Generic,Healthcare,"Taro Pharmaceutical Industries Ltd., a science-based pharmaceutical company, develops, manufactures, and markets prescription and over-the-counter pharmaceutical products in the United States, Canada, Israel, and internationally. The company also develops and manufactures active pharmaceutical ingredients primarily for use in its finished dosage form products. It offers its products for various therapeutic categories comprising allergy, analgesic, antibacterial, antibiotic, anticonvulsant, antiemetic, antifungal, anti-inflammatory, anti-cancer, antiplatelet agent, antipyretic, cardiovascular, CNS, corticosteroid, cosmetic, cough and cold, dermatology, diuretic, endocrine, gastrointestinal, laxative, narcotics, neuropathic pain, neuropsychiatric, sedative/hypnotic, and topical anti-neoplastic. The company provides its products in the form of capsule, cream, drops, emulsion, gel/gel kit, granules, injectable, lotion, oil, ointment, paste, powder/powder for solution, rectal suppository, shampoo, solution/solution for infusion, spray, suspension, syrup, tablets, toothpaste and mouthwash, topical foam, and topical solution. It distributes and sells its products directly to wholesalers, retail drug chains, food chains, hospitals, mass merchandisers, e-commerce stores, and other direct consumers, as well as healthcare institutions and private pharmacies. The company was incorporated in 1959 and is based in Haifa, Israel. Taro Pharmaceutical Industries Ltd. operates as a subsidiary of Alkaloida Chemical Company Zrt. As of June 30, 2023, Taro Pharmaceutical Industries Ltd. operates as a subsidiary of Sun Pharmaceutical Industries Limited.",1554,"{'maxAge': 1, 'name': 'Mr. Itamar  Karsenti', 'age': 50, 'title': 'VP & Head of Operations', 'yearBorn': 1972, 'exercisedValue': 0, 'unexercisedValue': 0}",1514678400,86400,2,38.0,38.0,37.49,38.46,38.0,38.0,37.49,38.46,1544400000,0.0,0.665975,65.75862,8.687927,52071,52071,64637,27230,27230,37.94,38.05,800,900,1433476608,22.89,42.22,2.4922183,37.4446,32.06805,0.0,0.0,USD,627334720,0.0372,8084886,37584600,398634,226243,1690761600,1693440000,0.0106,0.78484,0.12163,7.41,0.0493,46.256,0.8245417,1680220800,1711843200,1688083200,-0.287,21399000,0.58,4.39,-3.06,2:1,996192000,1.091,17.895,NYQ,EQUITY,TARO,TARO,Taro Pharmaceutical Industries ,Taro Pharmaceutical Industries Ltd.,400858200,America/New_York,EDT,-14400000,38.14,2.0,buy,806153024,21.449,35057000,0,2.83,3.361,575180992,15.304,0.00059,0.0124,75465872,97555000,-0.287,0.014,0.43604,0.060949996,0.0034999999,USD,
3,14 Hakitor Street,Haifa Bay,Haifa,2624761,Israel,972 4 847 5700,https://www.taro.com,Drug Manufacturers—Specialty & Generic,Healthcare,"Taro Pharmaceutical Industries Ltd., a science-based pharmaceutical company, develops, manufactures, and markets prescription and over-the-counter pharmaceutical products in the United States, Canada, Israel, and internationally. The company also develops and manufactures active pharmaceutical ingredients primarily for use in its finished dosage form products. It offers its products for various therapeutic categories comprising allergy, analgesic, antibacterial, antibiotic, anticonvulsant, antiemetic, antifungal, anti-inflammatory, anti-cancer, antiplatelet agent, antipyretic, cardiovascular, CNS, corticosteroid, cosmetic, cough and cold, dermatology, diuretic, endocrine, gastrointestinal, laxative, narcotics, neuropathic pain, neuropsychiatric, sedative/hypnotic, and topical anti-neoplastic. The company provides its products in the form of capsule, cream, drops, emulsion, gel/gel kit, granules, injectable, lotion, oil, ointment, paste, powder/powder for solution, rectal suppository, shampoo, solution/solution for infusion, spray, suspension, syrup, tablets, toothpaste and mouthwash, topical foam, and topical solution. It distributes and sells its products directly to wholesalers, retail drug chains, food chains, hospitals, mass merchandisers, e-commerce stores, and other direct consumers, as well as healthcare institutions and private pharmacies. The company was incorporated in 1959 and is based in Haifa, Israel. Taro Pharmaceutical Industries Ltd. operates as a subsidiary of Alkaloida Chemical Company Zrt. As of June 30, 2023, Taro Pharmaceutical Industries Ltd. operates as a subsidiary of Sun Pharmaceutical Industries Limited.",1554,"{'maxAge': 1, 'name': 'Mr. Avi  Avramoff', 'age': 57, 'title': 'VP and Head of R&D', 'yearBorn': 1965, 'exercisedValue': 0, 'unexercisedValue': 0}",1514678400,86400,2,38.0,38.0,37.49,38.46,38.0,38.0,37.49,38.46,1544400000,0.0,0.665975,65.75862,8.687927,52071,52071,64637,27230,27230,37.94,38.05,800,900,1433476608,22.89,42.22,2.4922183,37.4446,32.06805,0.0,0.0,USD,627334720,0.0372,8084886,37584600,398634,226243,1690761600,1693440000,0.0106,0.78484,0.12163,7.41,0.0493,46.256,0.8245417,1680220800,1711843200,1688083200,-0.287,21399000,0.58,4.39,-3.06,2:1,996192000,1.091,17.895,NYQ,EQUITY,TARO,TARO,Taro Pharmaceutical Industries ,Taro Pharmaceutical Industries Ltd.,400858200,America/New_York,EDT,-14400000,38.14,2.0,buy,806153024,21.449,35057000,0,2.83,3.361,575180992,15.304,0.00059,0.0124,75465872,97555000,-0.287,0.014,0.43604,0.060949996,0.0034999999,USD,
4,14 Hakitor Street,Haifa Bay,Haifa,2624761,Israel,972 4 847 5700,https://www.taro.com,Drug Manufacturers—Specialty & Generic,Healthcare,"Taro Pharmaceutical Industries Ltd., a science-based pharmaceutical company, develops, manufactures, and markets prescription and over-the-counter pharmaceutical products in the United States, Canada, Israel, and internationally. The company also develops and manufactures active pharmaceutical ingredients primarily for use in its finished dosage form products. It offers its products for various therapeutic categories comprising allergy, analgesic, antibacterial, antibiotic, anticonvulsant, antiemetic, antifungal, anti-inflammatory, anti-cancer, antiplatelet agent, antipyretic, cardiovascular, CNS, corticosteroid, cosmetic, cough and cold, dermatology, diuretic, endocrine, gastrointestinal, laxative, narcotics, neuropathic pain, neuropsychiatric, sedative/hypnotic, and topical anti-neoplastic. The company provides its products in the form of capsule, cream, drops, emulsion, gel/gel kit, granules, injectable, lotion, oil, ointment, paste, powder/powder for solution, rectal suppository, shampoo, solution/solution for infusion, spray, suspension, syrup, tablets, toothpaste and mouthwash, topical foam, and topical solution. It distributes and sells its products directly to wholesalers, retail drug chains, food chains, hospitals, mass merchandisers, e-commerce stores, and other direct consumers, as well as healthcare institutions and private pharmacies. The company was incorporated in 1959 and is based in Haifa, Israel. Taro Pharmaceutical Industries Ltd. operates as a subsidiary of Alkaloida Chemical Company Zrt. As of June 30, 2023, Taro Pharmaceutical Industries Ltd. operates as a subsidiary of Sun Pharmaceutical Industries Limited.",1554,"{'maxAge': 1, 'name': 'Mr. Itzik  Baruch', 'age': 59, 'title': 'VP of Technical Services', 'yearBorn': 1963, 'exercisedValue': 0, 'unexercisedValue': 0}",1514678400,86400,2,38.0,38.0,37.49,38.46,38.0,38.0,37.49,38.46,1544400000,0.0,0.665975,65.75862,8.687927,52071,52071,64637,27230,27230,37.94,38.05,800,900,1433476608,22.89,42.22,2.4922183,37.4446,32.06805,0.0,0.0,USD,627334720,0.0372,8084886,37584600,398634,226243,1690761600,1693440000,0.0106,0.78484,0.12163,7.41,0.0493,46.256,0.8245417,1680220800,1711843200,1688083200,-0.287,21399000,0.58,4.39,-3.06,2:1,996192000,1.091,17.895,NYQ,EQUITY,TARO,TARO,Taro Pharmaceutical Industries ,Taro Pharmaceutical Industries Ltd.,400858200,America/New_York,EDT,-14400000,38.14,2.0,buy,806153024,21.449,35057000,0,2.83,3.361,575180992,15.304,0.00059,0.0124,75465872,97555000,-0.287,0.014,0.43604,0.060949996,0.0034999999,USD,
5,14 Hakitor Street,Haifa Bay,Haifa,2624761,Israel,972 4 847 5700,https://www.taro.com,Drug Manufacturers—Specialty & Generic,Healthcare,"Taro Pharmaceutical Industries Ltd., a science-based pharmaceutical company, develops, manufactures, and markets prescription and over-the-counter pharmaceutical products in the United States, Canada, Israel, and internationally. The company also develops and manufactures active pharmaceutical ingredients primarily for use in its finished dosage form products. It offers its products for various therapeutic categories comprising allergy, analgesic, antibacterial, antibiotic, anticonvulsant, antiemetic, antifungal, anti-inflammatory, anti-cancer, antiplatelet agent, antipyretic, cardiovascular, CNS, corticosteroid, cosmetic, cough and cold, dermatology, diuretic, endocrine, gastrointestinal, laxative, narcotics, neuropathic pain, neuropsychiatric, sedative/hypnotic, and topical anti-neoplastic. The company provides its products in the form of capsule, cream, drops, emulsion, gel/gel kit, granules, injectable, lotion, oil, ointment, paste, powder/powder for solution, rectal suppository, shampoo, solution/solution for infusion, spray, suspension, syrup, tablets, toothpaste and mouthwash, topical foam, and topical solution. It distributes and sells its products directly to wholesalers, retail drug chains, food chains, hospitals, mass merchandisers, e-commerce stores, and other direct consumers, as well as healthcare institutions and private pharmacies. The company was incorporated in 1959 and is based in Haifa, Israel. Taro Pharmaceutical Industries Ltd. operates as a subsidiary of Alkaloida Chemical Company Zrt. As of June 30, 2023, Taro Pharmaceutical Industries Ltd. operates as a subsidiary of Sun Pharmaceutical Industries Limited.",1554,"{'maxAge': 1, 'name': 'Dr. Roman  Kaplan', 'age': 75, 'title': 'VP of Scientific and Technical Compliance Mang.', 'yearBorn': 1947, 'exercisedValue': 0, 'unexercisedValue': 0}",1514678400,86400,2,38.0,38.0,37.49,38.46,38.0,38.0,37.49,38.46,1544400000,0.0,0.665975,65.75862,8.687927,52071,52071,64637,27230,27230,37.94,38.05,800,900,1433476608,22.89,42.22,2.4922183,37.4446,32.06805,0.0,0.0,USD,627334720,0.0372,8084886,37584600,398634,226243,1690761600,1693440000,0.0106,0.78484,0.12163,7.41,0.0493,46.256,0.8245417,1680220800,1711843200,1688083200,-0.287,21399000,0.58,4.39,-3.06,2:1,996192000,1.091,17.895,NYQ,EQUITY,TARO,TARO,Taro Pharmaceutical Industries ,Taro Pharmaceutical Industries Ltd.,400858200,America/New_York,EDT,-14400000,38.14,2.0,buy,806153024,21.449,35057000,0,2.83,3.361,575180992,15.304,0.00059,0.0124,75465872,97555000,-0.287,0.014,0.43604,0.060949996,0.0034999999,USD,
6,14 Hakitor Street,Haifa Bay,Haifa,2624761,Israel,972 4 847 5700,https://www.taro.com,Drug Manufacturers—Specialty & Generic,Healthcare,"Taro Pharmaceutical Industries Ltd., a science-based pharmaceutical company, develops, manufactures, and markets prescription and over-the-counter pharmaceutical products in the United States, Canada, Israel, and internationally. The company also develops and manufactures active pharmaceutical ingredients primarily for use in its finished dosage form products. It offers its products for various therapeutic categories comprising allergy, analgesic, antibacterial, antibiotic, anticonvulsant, antiemetic, antifungal, anti-inflammatory, anti-cancer, antiplatelet agent, antipyretic, cardiovascular, CNS, corticosteroid, cosmetic, cough and cold, dermatology, diuretic, endocrine, gastrointestinal, laxative, narcotics, neuropathic pain, neuropsychiatric, sedative/hypnotic, and topical anti-neoplastic. The company provides its products in the form of capsule, cream, drops, emulsion, gel/gel kit, granules, injectable, lotion, oil, ointment, paste, powder/powder for solution, rectal suppository, shampoo, solution/solution for infusion, spray, suspension, syrup, tablets, toothpaste and mouthwash, topical foam, and topical solution. It distributes and sells its products directly to wholesalers, retail drug chains, food chains, hospitals, mass merchandisers, e-commerce stores, and other direct consumers, as well as healthcare institutions and private pharmacies. The company was incorporated in 1959 and is based in Haifa, Israel. Taro Pharmaceutical Industries Ltd. operates as a subsidiary of Alkaloida Chemical Company Zrt. As of June 30, 2023, Taro Pharmaceutical Industries Ltd. operates as a subsidiary of Sun Pharmaceutical Industries Limited.",1554,"{'maxAge': 1, 'name': 'Mr. Erik  Zwicker J.D.', 'age': 42, 'title': 'VP, Gen. Counsel & Sec.', 'yearBorn': 1980, 'exercisedValue': 0, 'unexercisedValue': 0}",1514678400,86400,2,38.0,38.0,37.49,38.46,38.0,38.0,37.49,38.46,1544400000,0.0,0.665975,65.75862,8.687927,52071,52071,64637,27230,27230,37.94,38.05,800,900,1433476608,22.89,42.22,2.4922183,37.4446,32.06805,0.0,0.0,USD,627334720,0.0372,8084886,37584600,398634,226243,1690761600,1693440000,0.0106,0.78484,0.12163,7.41,0.0493,46.256,0.8245417,1680220800,1711843200,1688083200,-0.287,21399000,0.58,4.39,-3.06,2:1,996192000,1.091,17.895,NYQ,EQUITY,TARO,TARO,Taro Pharmaceutical Industries ,Taro Pharmaceutical Industries Ltd.,400858200,America/New_York,EDT,-14400000,38.14,2.0,buy,806153024,21.449,35057000,0,2.83,3.361,575180992,15.304,0.00059,0.0124,75465872,97555000,-0.287,0.014,0.43604,0.060949996,0.0034999999,USD,
7,14 Hakitor Street,Haifa Bay,Haifa,2624761,Israel,972 4 847 5700,https://www.taro.com,Drug Manufacturers—Specialty & Generic,Healthcare,"Taro Pharmaceutical Industries Ltd., a science-based pharmaceutical company, develops, manufactures, and markets prescription and over-the-counter pharmaceutical products in the United States, Canada, Israel, and internationally. The company also develops and manufactures active pharmaceutical ingredients primarily for use in its finished dosage form products. It offers its products for various therapeutic categories comprising allergy, analgesic, antibacterial, antibiotic, anticonvulsant, antiemetic, antifungal, anti-inflammatory, anti-cancer, antiplatelet agent, antipyretic, cardiovascular, CNS, corticosteroid, cosmetic, cough and cold, dermatology, diuretic, endocrine, gastrointestinal, laxative, narcotics, neuropathic pain, neuropsychiatric, sedative/hypnotic, and topical anti-neoplastic. The company provides its products in the form of capsule, cream, drops, emulsion, gel/gel kit, granules, injectable, lotion, oil, ointment, paste, powder/powder for solution, rectal suppository, shampoo, solution/solution for infusion, spray, suspension, syrup, tablets, toothpaste and mouthwash, topical foam, and topical solution. It distributes and sells its products directly to wholesalers, retail drug chains, food chains, hospitals, mass merchandisers, e-commerce stores, and other direct consumers, as well as healthcare institutions and private pharmacies. The company was incorporated in 1959 and is based in Haifa, Israel. Taro Pharmaceutical Industries Ltd. operates as a subsidiary of Alkaloida Chemical Company Zrt. As of June 30, 2023, Taro Pharmaceutical Industries Ltd. operates as a subsidiary of Sun Pharmaceutical Industries Limited.",1554,"{'maxAge': 1, 'name': 'Mr. Ara  Aprahamian', 'age': 54, 'title': 'VP of Sales & Marketing', 'yearBorn': 1968, 'fiscalYear': 2017, 'totalPay': 616143, 'exercisedValue': 0, 'unexercisedValue': 0}",1514678400,86400,2,38.0,38.0,37.49,38.46,38.0,38.0,37.49,38.46,1544400000,0.0,0.665975,65.75862,8.687927,52071,52071,64637,27230,27230,37.94,38.05,800,900,1433476608,22.89,42.22,2.4922183,37.4446,32.06805,0.0,0.0,USD,627334720,0.0372,8084886,37584600,398634,226243,1690761600,1693440000,0.0106,0.78484,0.12163,7.41,0.0493,46.256,0.8245417,1680220800,1711843200,1688083200,-0.287,21399000,0.58,4.39,-3.06,2:1,996192000,1.091,17.895,NYQ,EQUITY,TARO,TARO,Taro Pharmaceutical Industries ,Taro Pharmaceutical Industries Ltd.,400858200,America/New_York,EDT,-14400000,38.14,2.0,buy,806153024,21.449,35057000,0,2.83,3.361,575180992,15.304,0.00059,0.0124,75465872,97555000,-0.287,0.014,0.43604,0.060949996,0.0034999999,USD,
8,14 Hakitor Street,Haifa Bay,Haifa,2624761,Israel,972 4 847 5700,https://www.taro.com,Drug Manufacturers—Specialty & Generic,Healthcare,"Taro Pharmaceutical Industries Ltd., a science-based pharmaceutical company, develops, manufactures, and markets prescription and over-the-counter pharmaceutical products in the United States, Canada, Israel, and internationally. The company also develops and manufactures active pharmaceutical ingredients primarily for use in its finished dosage form products. It offers its products for various therapeutic categories comprising allergy, analgesic, antibacterial, antibiotic, anticonvulsant, antiemetic, antifungal, anti-inflammatory, anti-cancer, antiplatelet agent, antipyretic, cardiovascular, CNS, corticosteroid, cosmetic, cough and cold, dermatology, diuretic, endocrine, gastrointestinal, laxative, narcotics, neuropathic pain, neuropsychiatric, sedative/hypnotic, and topical anti-neoplastic. The company provides its products in the form of capsule, cream, drops, emulsion, gel/gel kit, granules, injectable, lotion, oil, ointment, paste, powder/powder for solution, rectal suppository, shampoo, solution/solution for infusion, spray, suspension, syrup, tablets, toothpaste and mouthwash, topical foam, and topical solution. It distributes and sells its products directly to wholesalers, retail drug chains, food chains, hospitals, mass merchandisers, e-commerce stores, and other direct consumers, as well as healthcare institutions and private pharmacies. The company was incorporated in 1959 and is based in Haifa, Israel. Taro Pharmaceutical Industries Ltd. operates as a subsidiary of Alkaloida Chemical Company Zrt. As of June 30, 2023, Taro Pharmaceutical Industries Ltd. operates as a subsidiary of Sun Pharmaceutical Industries Limited.",1554,"{'maxAge': 1, 'name': 'Ms. Michele  Visosky', 'age': 56, 'title': 'VP & Head of Human Resource', 'yearBorn': 1966, 'exercisedValue': 0, 'unexercisedValue': 0}",1514678400,86400,2,38.0,38.0,37.49,38.46,38.0,38.0,37.49,38.46,1544400000,0.0,0.665975,65.75862,8.687927,52071,52071,64637,27230,27230,37.94,38.05,800,900,1433476608,22.89,42.22,2.4922183,37.4446,32.06805,0.0,0.0,USD,627334720,0.0372,8084886,37584600,398634,226243,1690761600,1693440000,0.0106,0.78484,0.12163,7.41,0.0493,46.256,0.8245417,1680220800,1711843200,1688083200,-0.287,21399000,0.58,4.39,-3.06,2:1,996192000,1.091,17.895,NYQ,EQUITY,TARO,TARO,Taro Pharmaceutical Industries ,Taro Pharmaceutical Industries Ltd.,400858200,America/New_York,EDT,-14400000,38.14,2.0,buy,806153024,21.449,35057000,0,2.83,3.361,575180992,15.304,0.00059,0.0124,75465872,97555000,-0.287,0.014,0.43604,0.060949996,0.0034999999,USD,
9,14 Hakitor Street,Haifa Bay,Haifa,2624761,Israel,972 4 847 5700,https://www.taro.com,Drug Manufacturers—Specialty & Generic,Healthcare,"Taro Pharmaceutical Industries Ltd., a science-based pharmaceutical company, develops, manufactures, and markets prescription and over-the-counter pharmaceutical products in the United States, Canada, Israel, and internationally. The company also develops and manufactures active pharmaceutical ingredients primarily for use in its finished dosage form products. It offers its products for various therapeutic categories comprising allergy, analgesic, antibacterial, antibiotic, anticonvulsant, antiemetic, antifungal, anti-inflammatory, anti-cancer, antiplatelet agent, antipyretic, cardiovascular, CNS, corticosteroid, cosmetic, cough and cold, dermatology, diuretic, endocrine, gastrointestinal, laxative, narcotics, neuropathic pain, neuropsychiatric, sedative/hypnotic, and topical anti-neoplastic. The company provides its products in the form of capsule, cream, drops, emulsion, gel/gel kit, granules, injectable, lotion, oil, ointment, paste, powder/powder for solution, rectal suppository, shampoo, solution/solution for infusion, spray, suspension, syrup, tablets, toothpaste and mouthwash, topical foam, and topical solution. It distributes and sells its products directly to wholesalers, retail drug chains, food chains, hospitals, mass merchandisers, e-commerce stores, and other direct consumers, as well as healthcare institutions and private pharmacies. The company was incorporated in 1959 and is based in Haifa, Israel. Taro Pharmaceutical Industries Ltd. operates as a subsidiary of Alkaloida Chemical Company Zrt. As of June 30, 2023, Taro Pharmaceutical Industries Ltd. operates as a subsidiary of Sun Pharmaceutical Industries Limited.",1554,"{'maxAge': 1, 'name': 'Mr. Jayesh  Shah', 'age': 66, 'title': 'Head of Procurement', 'yearBorn': 1956, 'exercisedValue': 0, 'unexercisedValue': 0}",1514678400,86400,2,38.0,38.0,37.49,38.46,38.0,38.0,37.49,38.46,1544400000,0.0,0.665975,65.75862,8.687927,52071,52071,64637,27230,27230,37.94,38.05,800,900,1433476608,22.89,42.22,2.4922183,37.4446,32.06805,0.0,0.0,USD,627334720,0.0372,8084886,37584600,398634,226243,1690761600,1693440000,0.0106,0.78484,0.12163,7.41,0.0493,46.256,0.8245417,1680220800,1711843200,1688083200,-0.287,21399000,0.58,4.39,-3.06,2:1,996192000,1.091,17.895,NYQ,EQUITY,TARO,TARO,Taro Pharmaceutical Industries ,Taro Pharmaceutical Industries Ltd.,400858200,America/New_York,EDT,-14400000,38.14,2.0,buy,806153024,21.449,35057000,0,2.83,3.361,575180992,15.304,0.00059,0.0124,75465872,97555000,-0.287,0.014,0.43604,0.060949996,0.0034999999,USD,
