,address1,address2,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Jamestown Wharf,32 Jamestown Road,London,NW1 7HW,United Kingdom,44 20 7543 3300,https://www.foodtravelexperts.com,Restaurants,Consumer Cyclical,"SSP Group plc operates food and beverage outlets in the United kingdom and internationally. The company operates outlets at airports, railway stations, motorway service areas, hospitals, and shopping centers. It operates approximately 550 brands in 35 countries. SSP Group plc was founded in 1961 and is headquartered in London, the United Kingdom.",37000,"{'maxAge': 1, 'name': 'Mr. Patrick F. Coveney B.Com., B.Comm, D.Phil, DPHIL, M.Phil', 'age': 52, 'title': 'Group CEO & Director', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 1531000, 'exercisedValue': 0, 'unexercisedValue': 0}",6,4,5,1,4,1693526400,1672444800,86400,2,242.8,243.6,243.6,248.6,242.8,243.6,243.6,248.6,1583366400,0.0,1.632132,12220.0,-51.561184,2346377,2346377,1183734,1065834,1065834,245.4,245.8,0,0,1946716928,181.45,283.2,0.72084606,240.744,250.0675,0.0,0.0,GBp,3225278464,0.00452,729965907,796529024,0.0054,0.86638,0.265,922.26416,1664496000,1696032000,1680220800,12200000,0.02,-4.74,20:21,1555286400,1.194,11.539,LSE,EQUITY,SSPG.L,SSPG.L,SSP GROUP PLC ORD 1 17/200P,SSP Group plc,1404975600,Europe/London,BST,3600000,244.4,350.0,260.0,317.82,330.0,1.9,buy,14,364600000,0.458,279500000,1565200000,0.519,0.56,2700600064,541.404,3.392,0.0427,0.16122,586800000,213687504,462300000,0.641,0.27563998,0.1035,0.06499,GBP,
1,Jamestown Wharf,32 Jamestown Road,London,NW1 7HW,United Kingdom,44 20 7543 3300,https://www.foodtravelexperts.com,Restaurants,Consumer Cyclical,"SSP Group plc operates food and beverage outlets in the United kingdom and internationally. The company operates outlets at airports, railway stations, motorway service areas, hospitals, and shopping centers. It operates approximately 550 brands in 35 countries. SSP Group plc was founded in 1961 and is headquartered in London, the United Kingdom.",37000,"{'maxAge': 1, 'name': 'Mr. Jonathan Owen Davies', 'age': 60, 'title': 'Deputy CEO, CFO & Exec. Director', 'yearBorn': 1962, 'fiscalYear': 2022, 'totalPay': 1372000, 'exercisedValue': 0, 'unexercisedValue': 0}",6,4,5,1,4,1693526400,1672444800,86400,2,242.8,243.6,243.6,248.6,242.8,243.6,243.6,248.6,1583366400,0.0,1.632132,12220.0,-51.561184,2346377,2346377,1183734,1065834,1065834,245.4,245.8,0,0,1946716928,181.45,283.2,0.72084606,240.744,250.0675,0.0,0.0,GBp,3225278464,0.00452,729965907,796529024,0.0054,0.86638,0.265,922.26416,1664496000,1696032000,1680220800,12200000,0.02,-4.74,20:21,1555286400,1.194,11.539,LSE,EQUITY,SSPG.L,SSPG.L,SSP GROUP PLC ORD 1 17/200P,SSP Group plc,1404975600,Europe/London,BST,3600000,244.4,350.0,260.0,317.82,330.0,1.9,buy,14,364600000,0.458,279500000,1565200000,0.519,0.56,2700600064,541.404,3.392,0.0427,0.16122,586800000,213687504,462300000,0.641,0.27563998,0.1035,0.06499,GBP,
2,Jamestown Wharf,32 Jamestown Road,London,NW1 7HW,United Kingdom,44 20 7543 3300,https://www.foodtravelexperts.com,Restaurants,Consumer Cyclical,"SSP Group plc operates food and beverage outlets in the United kingdom and internationally. The company operates outlets at airports, railway stations, motorway service areas, hospitals, and shopping centers. It operates approximately 550 brands in 35 countries. SSP Group plc was founded in 1961 and is headquartered in London, the United Kingdom.",37000,"{'maxAge': 1, 'name': 'Mr. Mark  Smith', 'title': 'Chief Digital & Technology Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",6,4,5,1,4,1693526400,1672444800,86400,2,242.8,243.6,243.6,248.6,242.8,243.6,243.6,248.6,1583366400,0.0,1.632132,12220.0,-51.561184,2346377,2346377,1183734,1065834,1065834,245.4,245.8,0,0,1946716928,181.45,283.2,0.72084606,240.744,250.0675,0.0,0.0,GBp,3225278464,0.00452,729965907,796529024,0.0054,0.86638,0.265,922.26416,1664496000,1696032000,1680220800,12200000,0.02,-4.74,20:21,1555286400,1.194,11.539,LSE,EQUITY,SSPG.L,SSPG.L,SSP GROUP PLC ORD 1 17/200P,SSP Group plc,1404975600,Europe/London,BST,3600000,244.4,350.0,260.0,317.82,330.0,1.9,buy,14,364600000,0.458,279500000,1565200000,0.519,0.56,2700600064,541.404,3.392,0.0427,0.16122,586800000,213687504,462300000,0.641,0.27563998,0.1035,0.06499,GBP,
3,Jamestown Wharf,32 Jamestown Road,London,NW1 7HW,United Kingdom,44 20 7543 3300,https://www.foodtravelexperts.com,Restaurants,Consumer Cyclical,"SSP Group plc operates food and beverage outlets in the United kingdom and internationally. The company operates outlets at airports, railway stations, motorway service areas, hospitals, and shopping centers. It operates approximately 550 brands in 35 countries. SSP Group plc was founded in 1961 and is headquartered in London, the United Kingdom.",37000,"{'maxAge': 1, 'name': 'Ms. Fiona  Scattergood', 'title': 'Group Gen. Counsel & Company Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",6,4,5,1,4,1693526400,1672444800,86400,2,242.8,243.6,243.6,248.6,242.8,243.6,243.6,248.6,1583366400,0.0,1.632132,12220.0,-51.561184,2346377,2346377,1183734,1065834,1065834,245.4,245.8,0,0,1946716928,181.45,283.2,0.72084606,240.744,250.0675,0.0,0.0,GBp,3225278464,0.00452,729965907,796529024,0.0054,0.86638,0.265,922.26416,1664496000,1696032000,1680220800,12200000,0.02,-4.74,20:21,1555286400,1.194,11.539,LSE,EQUITY,SSPG.L,SSPG.L,SSP GROUP PLC ORD 1 17/200P,SSP Group plc,1404975600,Europe/London,BST,3600000,244.4,350.0,260.0,317.82,330.0,1.9,buy,14,364600000,0.458,279500000,1565200000,0.519,0.56,2700600064,541.404,3.392,0.0427,0.16122,586800000,213687504,462300000,0.641,0.27563998,0.1035,0.06499,GBP,
4,Jamestown Wharf,32 Jamestown Road,London,NW1 7HW,United Kingdom,44 20 7543 3300,https://www.foodtravelexperts.com,Restaurants,Consumer Cyclical,"SSP Group plc operates food and beverage outlets in the United kingdom and internationally. The company operates outlets at airports, railway stations, motorway service areas, hospitals, and shopping centers. It operates approximately 550 brands in 35 countries. SSP Group plc was founded in 1961 and is headquartered in London, the United Kingdom.",37000,"{'maxAge': 1, 'name': 'Mr. Nathan  Clements', 'title': 'Chief People Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",6,4,5,1,4,1693526400,1672444800,86400,2,242.8,243.6,243.6,248.6,242.8,243.6,243.6,248.6,1583366400,0.0,1.632132,12220.0,-51.561184,2346377,2346377,1183734,1065834,1065834,245.4,245.8,0,0,1946716928,181.45,283.2,0.72084606,240.744,250.0675,0.0,0.0,GBp,3225278464,0.00452,729965907,796529024,0.0054,0.86638,0.265,922.26416,1664496000,1696032000,1680220800,12200000,0.02,-4.74,20:21,1555286400,1.194,11.539,LSE,EQUITY,SSPG.L,SSPG.L,SSP GROUP PLC ORD 1 17/200P,SSP Group plc,1404975600,Europe/London,BST,3600000,244.4,350.0,260.0,317.82,330.0,1.9,buy,14,364600000,0.458,279500000,1565200000,0.519,0.56,2700600064,541.404,3.392,0.0427,0.16122,586800000,213687504,462300000,0.641,0.27563998,0.1035,0.06499,GBP,
5,Jamestown Wharf,32 Jamestown Road,London,NW1 7HW,United Kingdom,44 20 7543 3300,https://www.foodtravelexperts.com,Restaurants,Consumer Cyclical,"SSP Group plc operates food and beverage outlets in the United kingdom and internationally. The company operates outlets at airports, railway stations, motorway service areas, hospitals, and shopping centers. It operates approximately 550 brands in 35 countries. SSP Group plc was founded in 1961 and is headquartered in London, the United Kingdom.",37000,"{'maxAge': 1, 'name': 'Mr. Sukh  Tiwana', 'age': 57, 'title': 'Chief Procurement Officer', 'yearBorn': 1965, 'exercisedValue': 0, 'unexercisedValue': 0}",6,4,5,1,4,1693526400,1672444800,86400,2,242.8,243.6,243.6,248.6,242.8,243.6,243.6,248.6,1583366400,0.0,1.632132,12220.0,-51.561184,2346377,2346377,1183734,1065834,1065834,245.4,245.8,0,0,1946716928,181.45,283.2,0.72084606,240.744,250.0675,0.0,0.0,GBp,3225278464,0.00452,729965907,796529024,0.0054,0.86638,0.265,922.26416,1664496000,1696032000,1680220800,12200000,0.02,-4.74,20:21,1555286400,1.194,11.539,LSE,EQUITY,SSPG.L,SSPG.L,SSP GROUP PLC ORD 1 17/200P,SSP Group plc,1404975600,Europe/London,BST,3600000,244.4,350.0,260.0,317.82,330.0,1.9,buy,14,364600000,0.458,279500000,1565200000,0.519,0.56,2700600064,541.404,3.392,0.0427,0.16122,586800000,213687504,462300000,0.641,0.27563998,0.1035,0.06499,GBP,
6,Jamestown Wharf,32 Jamestown Road,London,NW1 7HW,United Kingdom,44 20 7543 3300,https://www.foodtravelexperts.com,Restaurants,Consumer Cyclical,"SSP Group plc operates food and beverage outlets in the United kingdom and internationally. The company operates outlets at airports, railway stations, motorway service areas, hospitals, and shopping centers. It operates approximately 550 brands in 35 countries. SSP Group plc was founded in 1961 and is headquartered in London, the United Kingdom.",37000,"{'maxAge': 1, 'name': 'Mr. Mark  Angela', 'age': 58, 'title': 'Chief Bus. Devel. & Strategy Officer and CEO India and EEME', 'yearBorn': 1964, 'exercisedValue': 0, 'unexercisedValue': 0}",6,4,5,1,4,1693526400,1672444800,86400,2,242.8,243.6,243.6,248.6,242.8,243.6,243.6,248.6,1583366400,0.0,1.632132,12220.0,-51.561184,2346377,2346377,1183734,1065834,1065834,245.4,245.8,0,0,1946716928,181.45,283.2,0.72084606,240.744,250.0675,0.0,0.0,GBp,3225278464,0.00452,729965907,796529024,0.0054,0.86638,0.265,922.26416,1664496000,1696032000,1680220800,12200000,0.02,-4.74,20:21,1555286400,1.194,11.539,LSE,EQUITY,SSPG.L,SSPG.L,SSP GROUP PLC ORD 1 17/200P,SSP Group plc,1404975600,Europe/London,BST,3600000,244.4,350.0,260.0,317.82,330.0,1.9,buy,14,364600000,0.458,279500000,1565200000,0.519,0.56,2700600064,541.404,3.392,0.0427,0.16122,586800000,213687504,462300000,0.641,0.27563998,0.1035,0.06499,GBP,
7,Jamestown Wharf,32 Jamestown Road,London,NW1 7HW,United Kingdom,44 20 7543 3300,https://www.foodtravelexperts.com,Restaurants,Consumer Cyclical,"SSP Group plc operates food and beverage outlets in the United kingdom and internationally. The company operates outlets at airports, railway stations, motorway service areas, hospitals, and shopping centers. It operates approximately 550 brands in 35 countries. SSP Group plc was founded in 1961 and is headquartered in London, the United Kingdom.",37000,"{'maxAge': 1, 'name': 'Mr. Michael  Svagdis', 'title': 'Chief Exec. Officer of SSP North America', 'exercisedValue': 0, 'unexercisedValue': 0}",6,4,5,1,4,1693526400,1672444800,86400,2,242.8,243.6,243.6,248.6,242.8,243.6,243.6,248.6,1583366400,0.0,1.632132,12220.0,-51.561184,2346377,2346377,1183734,1065834,1065834,245.4,245.8,0,0,1946716928,181.45,283.2,0.72084606,240.744,250.0675,0.0,0.0,GBp,3225278464,0.00452,729965907,796529024,0.0054,0.86638,0.265,922.26416,1664496000,1696032000,1680220800,12200000,0.02,-4.74,20:21,1555286400,1.194,11.539,LSE,EQUITY,SSPG.L,SSPG.L,SSP GROUP PLC ORD 1 17/200P,SSP Group plc,1404975600,Europe/London,BST,3600000,244.4,350.0,260.0,317.82,330.0,1.9,buy,14,364600000,0.458,279500000,1565200000,0.519,0.56,2700600064,541.404,3.392,0.0427,0.16122,586800000,213687504,462300000,0.641,0.27563998,0.1035,0.06499,GBP,
8,Jamestown Wharf,32 Jamestown Road,London,NW1 7HW,United Kingdom,44 20 7543 3300,https://www.foodtravelexperts.com,Restaurants,Consumer Cyclical,"SSP Group plc operates food and beverage outlets in the United kingdom and internationally. The company operates outlets at airports, railway stations, motorway service areas, hospitals, and shopping centers. It operates approximately 550 brands in 35 countries. SSP Group plc was founded in 1961 and is headquartered in London, the United Kingdom.",37000,"{'maxAge': 1, 'name': 'Mr. Jeremy  Fennell', 'title': 'Chief Exec. Officer of Nordics & Continental Europe', 'exercisedValue': 0, 'unexercisedValue': 0}",6,4,5,1,4,1693526400,1672444800,86400,2,242.8,243.6,243.6,248.6,242.8,243.6,243.6,248.6,1583366400,0.0,1.632132,12220.0,-51.561184,2346377,2346377,1183734,1065834,1065834,245.4,245.8,0,0,1946716928,181.45,283.2,0.72084606,240.744,250.0675,0.0,0.0,GBp,3225278464,0.00452,729965907,796529024,0.0054,0.86638,0.265,922.26416,1664496000,1696032000,1680220800,12200000,0.02,-4.74,20:21,1555286400,1.194,11.539,LSE,EQUITY,SSPG.L,SSPG.L,SSP GROUP PLC ORD 1 17/200P,SSP Group plc,1404975600,Europe/London,BST,3600000,244.4,350.0,260.0,317.82,330.0,1.9,buy,14,364600000,0.458,279500000,1565200000,0.519,0.56,2700600064,541.404,3.392,0.0427,0.16122,586800000,213687504,462300000,0.641,0.27563998,0.1035,0.06499,GBP,
9,Jamestown Wharf,32 Jamestown Road,London,NW1 7HW,United Kingdom,44 20 7543 3300,https://www.foodtravelexperts.com,Restaurants,Consumer Cyclical,"SSP Group plc operates food and beverage outlets in the United kingdom and internationally. The company operates outlets at airports, railway stations, motorway service areas, hospitals, and shopping centers. It operates approximately 550 brands in 35 countries. SSP Group plc was founded in 1961 and is headquartered in London, the United Kingdom.",37000,"{'maxAge': 1, 'name': 'Ms. Angela  Moores', 'title': 'Chief Customer Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",6,4,5,1,4,1693526400,1672444800,86400,2,242.8,243.6,243.6,248.6,242.8,243.6,243.6,248.6,1583366400,0.0,1.632132,12220.0,-51.561184,2346377,2346377,1183734,1065834,1065834,245.4,245.8,0,0,1946716928,181.45,283.2,0.72084606,240.744,250.0675,0.0,0.0,GBp,3225278464,0.00452,729965907,796529024,0.0054,0.86638,0.265,922.26416,1664496000,1696032000,1680220800,12200000,0.02,-4.74,20:21,1555286400,1.194,11.539,LSE,EQUITY,SSPG.L,SSPG.L,SSP GROUP PLC ORD 1 17/200P,SSP Group plc,1404975600,Europe/London,BST,3600000,244.4,350.0,260.0,317.82,330.0,1.9,buy,14,364600000,0.458,279500000,1565200000,0.519,0.56,2700600064,541.404,3.392,0.0427,0.16122,586800000,213687504,462300000,0.641,0.27563998,0.1035,0.06499,GBP,
