,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,909 Walnut Street,Suite 200,Kansas City,MO,64106-2003,United States,816 472 1700,816 472 5794,https://www.eprkc.com,REIT—Specialty,Real Estate,"EPR Properties (NYSE:EPR) is the leading diversified experiential net lease real estate investment trust (REIT), specializing in select enduring experiential properties in the real estate industry. We focus on real estate venues that create value by facilitating out of home leisure and recreation experiences where consumers choose to spend their discretionary time and money. We have total assets of approximately $5.7 billion (after accumulated depreciation of approximately $1.4 billion) across 44 states. We adhere to rigorous underwriting and investing criteria centered on key industry, property and tenant level cash flow standards. We believe our focused approach provides a competitive advantage and the potential for stable and attractive returns.",55,"{'maxAge': 1, 'name': 'Mr. Gregory K. Silvers', 'age': 58, 'title': 'Pres, CEO & Board Chair', 'yearBorn': 1964, 'fiscalYear': 2022, 'totalPay': 2718740, 'exercisedValue': 0, 'unexercisedValue': 0}",8,4,6,2,4,1693526400,1672444800,86400,2,42.95,42.75,42.21,42.92,42.95,42.75,42.21,42.92,3.3,0.0775,1695859200,1.7742,1.652143,23.152172,17.108433,848240,848240,645220,586280,586280,42.4,43.09,800,900,3208819200,33.92,47.71,4.732681,44.2538,41.7958,3.3,0.076833524,USD,6160060928,0.24245001,73868347,75324400,3574850,3413569,1690761600,1693440000,0.0475,0.01864,0.80055,6.62,0.069,32.961,1.2924365,1672444800,1703980800,1688083200,-0.668,140236992,1.84,2.49,2.85,9.085,11.4,NYQ,EQUITY,EPR,EPR,EPR Properties,EPR Properties,879863400,America/New_York,EDT,-14400000,42.6,54.0,45.0,49.06,49.5,2.5,buy,9,101070000,1.342,540356992,3046132992,1.64,1.945,678012992,122.388,9.028,0.040560003,0.0648,599376000,354883360,445553984,-0.783,0.063,0.91655,0.79697,0.55022,USD,
1,909 Walnut Street,Suite 200,Kansas City,MO,64106-2003,United States,816 472 1700,816 472 5794,https://www.eprkc.com,REIT—Specialty,Real Estate,"EPR Properties (NYSE:EPR) is the leading diversified experiential net lease real estate investment trust (REIT), specializing in select enduring experiential properties in the real estate industry. We focus on real estate venues that create value by facilitating out of home leisure and recreation experiences where consumers choose to spend their discretionary time and money. We have total assets of approximately $5.7 billion (after accumulated depreciation of approximately $1.4 billion) across 44 states. We adhere to rigorous underwriting and investing criteria centered on key industry, property and tenant level cash flow standards. We believe our focused approach provides a competitive advantage and the potential for stable and attractive returns.",55,"{'maxAge': 1, 'name': 'Mr. Mark Alan Peterson CPA', 'age': 58, 'title': 'Exec. VP, CFO & Treasurer', 'yearBorn': 1964, 'fiscalYear': 2022, 'totalPay': 1356302, 'exercisedValue': 0, 'unexercisedValue': 0}",8,4,6,2,4,1693526400,1672444800,86400,2,42.95,42.75,42.21,42.92,42.95,42.75,42.21,42.92,3.3,0.0775,1695859200,1.7742,1.652143,23.152172,17.108433,848240,848240,645220,586280,586280,42.4,43.09,800,900,3208819200,33.92,47.71,4.732681,44.2538,41.7958,3.3,0.076833524,USD,6160060928,0.24245001,73868347,75324400,3574850,3413569,1690761600,1693440000,0.0475,0.01864,0.80055,6.62,0.069,32.961,1.2924365,1672444800,1703980800,1688083200,-0.668,140236992,1.84,2.49,2.85,9.085,11.4,NYQ,EQUITY,EPR,EPR,EPR Properties,EPR Properties,879863400,America/New_York,EDT,-14400000,42.6,54.0,45.0,49.06,49.5,2.5,buy,9,101070000,1.342,540356992,3046132992,1.64,1.945,678012992,122.388,9.028,0.040560003,0.0648,599376000,354883360,445553984,-0.783,0.063,0.91655,0.79697,0.55022,USD,
2,909 Walnut Street,Suite 200,Kansas City,MO,64106-2003,United States,816 472 1700,816 472 5794,https://www.eprkc.com,REIT—Specialty,Real Estate,"EPR Properties (NYSE:EPR) is the leading diversified experiential net lease real estate investment trust (REIT), specializing in select enduring experiential properties in the real estate industry. We focus on real estate venues that create value by facilitating out of home leisure and recreation experiences where consumers choose to spend their discretionary time and money. We have total assets of approximately $5.7 billion (after accumulated depreciation of approximately $1.4 billion) across 44 states. We adhere to rigorous underwriting and investing criteria centered on key industry, property and tenant level cash flow standards. We believe our focused approach provides a competitive advantage and the potential for stable and attractive returns.",55,"{'maxAge': 1, 'name': 'Mr. Gregory E. Zimmerman', 'age': 60, 'title': 'Exec. VP & Chief Investment Officer', 'yearBorn': 1962, 'fiscalYear': 2022, 'totalPay': 1098683, 'exercisedValue': 0, 'unexercisedValue': 0}",8,4,6,2,4,1693526400,1672444800,86400,2,42.95,42.75,42.21,42.92,42.95,42.75,42.21,42.92,3.3,0.0775,1695859200,1.7742,1.652143,23.152172,17.108433,848240,848240,645220,586280,586280,42.4,43.09,800,900,3208819200,33.92,47.71,4.732681,44.2538,41.7958,3.3,0.076833524,USD,6160060928,0.24245001,73868347,75324400,3574850,3413569,1690761600,1693440000,0.0475,0.01864,0.80055,6.62,0.069,32.961,1.2924365,1672444800,1703980800,1688083200,-0.668,140236992,1.84,2.49,2.85,9.085,11.4,NYQ,EQUITY,EPR,EPR,EPR Properties,EPR Properties,879863400,America/New_York,EDT,-14400000,42.6,54.0,45.0,49.06,49.5,2.5,buy,9,101070000,1.342,540356992,3046132992,1.64,1.945,678012992,122.388,9.028,0.040560003,0.0648,599376000,354883360,445553984,-0.783,0.063,0.91655,0.79697,0.55022,USD,
3,909 Walnut Street,Suite 200,Kansas City,MO,64106-2003,United States,816 472 1700,816 472 5794,https://www.eprkc.com,REIT—Specialty,Real Estate,"EPR Properties (NYSE:EPR) is the leading diversified experiential net lease real estate investment trust (REIT), specializing in select enduring experiential properties in the real estate industry. We focus on real estate venues that create value by facilitating out of home leisure and recreation experiences where consumers choose to spend their discretionary time and money. We have total assets of approximately $5.7 billion (after accumulated depreciation of approximately $1.4 billion) across 44 states. We adhere to rigorous underwriting and investing criteria centered on key industry, property and tenant level cash flow standards. We believe our focused approach provides a competitive advantage and the potential for stable and attractive returns.",55,"{'maxAge': 1, 'name': 'Ms. Tonya L. Mater', 'age': 45, 'title': 'Sr. VP & Chief Accounting Officer', 'yearBorn': 1977, 'fiscalYear': 2022, 'totalPay': 621022, 'exercisedValue': 0, 'unexercisedValue': 0}",8,4,6,2,4,1693526400,1672444800,86400,2,42.95,42.75,42.21,42.92,42.95,42.75,42.21,42.92,3.3,0.0775,1695859200,1.7742,1.652143,23.152172,17.108433,848240,848240,645220,586280,586280,42.4,43.09,800,900,3208819200,33.92,47.71,4.732681,44.2538,41.7958,3.3,0.076833524,USD,6160060928,0.24245001,73868347,75324400,3574850,3413569,1690761600,1693440000,0.0475,0.01864,0.80055,6.62,0.069,32.961,1.2924365,1672444800,1703980800,1688083200,-0.668,140236992,1.84,2.49,2.85,9.085,11.4,NYQ,EQUITY,EPR,EPR,EPR Properties,EPR Properties,879863400,America/New_York,EDT,-14400000,42.6,54.0,45.0,49.06,49.5,2.5,buy,9,101070000,1.342,540356992,3046132992,1.64,1.945,678012992,122.388,9.028,0.040560003,0.0648,599376000,354883360,445553984,-0.783,0.063,0.91655,0.79697,0.55022,USD,
4,909 Walnut Street,Suite 200,Kansas City,MO,64106-2003,United States,816 472 1700,816 472 5794,https://www.eprkc.com,REIT—Specialty,Real Estate,"EPR Properties (NYSE:EPR) is the leading diversified experiential net lease real estate investment trust (REIT), specializing in select enduring experiential properties in the real estate industry. We focus on real estate venues that create value by facilitating out of home leisure and recreation experiences where consumers choose to spend their discretionary time and money. We have total assets of approximately $5.7 billion (after accumulated depreciation of approximately $1.4 billion) across 44 states. We adhere to rigorous underwriting and investing criteria centered on key industry, property and tenant level cash flow standards. We believe our focused approach provides a competitive advantage and the potential for stable and attractive returns.",55,"{'maxAge': 1, 'name': 'Mr. Craig L. Evans Esq., J.D.', 'age': 61, 'title': 'Exec. VP, Gen. Counsel & Corp. Sec.', 'yearBorn': 1961, 'fiscalYear': 2022, 'totalPay': 981793, 'exercisedValue': 0, 'unexercisedValue': 0}",8,4,6,2,4,1693526400,1672444800,86400,2,42.95,42.75,42.21,42.92,42.95,42.75,42.21,42.92,3.3,0.0775,1695859200,1.7742,1.652143,23.152172,17.108433,848240,848240,645220,586280,586280,42.4,43.09,800,900,3208819200,33.92,47.71,4.732681,44.2538,41.7958,3.3,0.076833524,USD,6160060928,0.24245001,73868347,75324400,3574850,3413569,1690761600,1693440000,0.0475,0.01864,0.80055,6.62,0.069,32.961,1.2924365,1672444800,1703980800,1688083200,-0.668,140236992,1.84,2.49,2.85,9.085,11.4,NYQ,EQUITY,EPR,EPR,EPR Properties,EPR Properties,879863400,America/New_York,EDT,-14400000,42.6,54.0,45.0,49.06,49.5,2.5,buy,9,101070000,1.342,540356992,3046132992,1.64,1.945,678012992,122.388,9.028,0.040560003,0.0648,599376000,354883360,445553984,-0.783,0.063,0.91655,0.79697,0.55022,USD,
5,909 Walnut Street,Suite 200,Kansas City,MO,64106-2003,United States,816 472 1700,816 472 5794,https://www.eprkc.com,REIT—Specialty,Real Estate,"EPR Properties (NYSE:EPR) is the leading diversified experiential net lease real estate investment trust (REIT), specializing in select enduring experiential properties in the real estate industry. We focus on real estate venues that create value by facilitating out of home leisure and recreation experiences where consumers choose to spend their discretionary time and money. We have total assets of approximately $5.7 billion (after accumulated depreciation of approximately $1.4 billion) across 44 states. We adhere to rigorous underwriting and investing criteria centered on key industry, property and tenant level cash flow standards. We believe our focused approach provides a competitive advantage and the potential for stable and attractive returns.",55,"{'maxAge': 1, 'name': 'Ms. Elizabeth  Grace', 'age': 67, 'title': 'Sr. VP of HR & Admin.', 'yearBorn': 1955, 'exercisedValue': 0, 'unexercisedValue': 0}",8,4,6,2,4,1693526400,1672444800,86400,2,42.95,42.75,42.21,42.92,42.95,42.75,42.21,42.92,3.3,0.0775,1695859200,1.7742,1.652143,23.152172,17.108433,848240,848240,645220,586280,586280,42.4,43.09,800,900,3208819200,33.92,47.71,4.732681,44.2538,41.7958,3.3,0.076833524,USD,6160060928,0.24245001,73868347,75324400,3574850,3413569,1690761600,1693440000,0.0475,0.01864,0.80055,6.62,0.069,32.961,1.2924365,1672444800,1703980800,1688083200,-0.668,140236992,1.84,2.49,2.85,9.085,11.4,NYQ,EQUITY,EPR,EPR,EPR Properties,EPR Properties,879863400,America/New_York,EDT,-14400000,42.6,54.0,45.0,49.06,49.5,2.5,buy,9,101070000,1.342,540356992,3046132992,1.64,1.945,678012992,122.388,9.028,0.040560003,0.0648,599376000,354883360,445553984,-0.783,0.063,0.91655,0.79697,0.55022,USD,
6,909 Walnut Street,Suite 200,Kansas City,MO,64106-2003,United States,816 472 1700,816 472 5794,https://www.eprkc.com,REIT—Specialty,Real Estate,"EPR Properties (NYSE:EPR) is the leading diversified experiential net lease real estate investment trust (REIT), specializing in select enduring experiential properties in the real estate industry. We focus on real estate venues that create value by facilitating out of home leisure and recreation experiences where consumers choose to spend their discretionary time and money. We have total assets of approximately $5.7 billion (after accumulated depreciation of approximately $1.4 billion) across 44 states. We adhere to rigorous underwriting and investing criteria centered on key industry, property and tenant level cash flow standards. We believe our focused approach provides a competitive advantage and the potential for stable and attractive returns.",55,"{'maxAge': 1, 'name': 'Mr. Brian  Moriarty', 'title': 'VP of Corp. Communications', 'exercisedValue': 0, 'unexercisedValue': 0}",8,4,6,2,4,1693526400,1672444800,86400,2,42.95,42.75,42.21,42.92,42.95,42.75,42.21,42.92,3.3,0.0775,1695859200,1.7742,1.652143,23.152172,17.108433,848240,848240,645220,586280,586280,42.4,43.09,800,900,3208819200,33.92,47.71,4.732681,44.2538,41.7958,3.3,0.076833524,USD,6160060928,0.24245001,73868347,75324400,3574850,3413569,1690761600,1693440000,0.0475,0.01864,0.80055,6.62,0.069,32.961,1.2924365,1672444800,1703980800,1688083200,-0.668,140236992,1.84,2.49,2.85,9.085,11.4,NYQ,EQUITY,EPR,EPR,EPR Properties,EPR Properties,879863400,America/New_York,EDT,-14400000,42.6,54.0,45.0,49.06,49.5,2.5,buy,9,101070000,1.342,540356992,3046132992,1.64,1.945,678012992,122.388,9.028,0.040560003,0.0648,599376000,354883360,445553984,-0.783,0.063,0.91655,0.79697,0.55022,USD,
7,909 Walnut Street,Suite 200,Kansas City,MO,64106-2003,United States,816 472 1700,816 472 5794,https://www.eprkc.com,REIT—Specialty,Real Estate,"EPR Properties (NYSE:EPR) is the leading diversified experiential net lease real estate investment trust (REIT), specializing in select enduring experiential properties in the real estate industry. We focus on real estate venues that create value by facilitating out of home leisure and recreation experiences where consumers choose to spend their discretionary time and money. We have total assets of approximately $5.7 billion (after accumulated depreciation of approximately $1.4 billion) across 44 states. We adhere to rigorous underwriting and investing criteria centered on key industry, property and tenant level cash flow standards. We believe our focused approach provides a competitive advantage and the potential for stable and attractive returns.",55,"{'maxAge': 1, 'name': 'Mr. Paul R. Turvey', 'age': 44, 'title': 'Sr. VP & Associate Gen. Counsel', 'yearBorn': 1978, 'exercisedValue': 0, 'unexercisedValue': 0}",8,4,6,2,4,1693526400,1672444800,86400,2,42.95,42.75,42.21,42.92,42.95,42.75,42.21,42.92,3.3,0.0775,1695859200,1.7742,1.652143,23.152172,17.108433,848240,848240,645220,586280,586280,42.4,43.09,800,900,3208819200,33.92,47.71,4.732681,44.2538,41.7958,3.3,0.076833524,USD,6160060928,0.24245001,73868347,75324400,3574850,3413569,1690761600,1693440000,0.0475,0.01864,0.80055,6.62,0.069,32.961,1.2924365,1672444800,1703980800,1688083200,-0.668,140236992,1.84,2.49,2.85,9.085,11.4,NYQ,EQUITY,EPR,EPR,EPR Properties,EPR Properties,879863400,America/New_York,EDT,-14400000,42.6,54.0,45.0,49.06,49.5,2.5,buy,9,101070000,1.342,540356992,3046132992,1.64,1.945,678012992,122.388,9.028,0.040560003,0.0648,599376000,354883360,445553984,-0.783,0.063,0.91655,0.79697,0.55022,USD,
8,909 Walnut Street,Suite 200,Kansas City,MO,64106-2003,United States,816 472 1700,816 472 5794,https://www.eprkc.com,REIT—Specialty,Real Estate,"EPR Properties (NYSE:EPR) is the leading diversified experiential net lease real estate investment trust (REIT), specializing in select enduring experiential properties in the real estate industry. We focus on real estate venues that create value by facilitating out of home leisure and recreation experiences where consumers choose to spend their discretionary time and money. We have total assets of approximately $5.7 billion (after accumulated depreciation of approximately $1.4 billion) across 44 states. We adhere to rigorous underwriting and investing criteria centered on key industry, property and tenant level cash flow standards. We believe our focused approach provides a competitive advantage and the potential for stable and attractive returns.",55,"{'maxAge': 1, 'name': 'Mr. Derek  Werner', 'title': 'VP of Underwriting & Analysis', 'exercisedValue': 0, 'unexercisedValue': 0}",8,4,6,2,4,1693526400,1672444800,86400,2,42.95,42.75,42.21,42.92,42.95,42.75,42.21,42.92,3.3,0.0775,1695859200,1.7742,1.652143,23.152172,17.108433,848240,848240,645220,586280,586280,42.4,43.09,800,900,3208819200,33.92,47.71,4.732681,44.2538,41.7958,3.3,0.076833524,USD,6160060928,0.24245001,73868347,75324400,3574850,3413569,1690761600,1693440000,0.0475,0.01864,0.80055,6.62,0.069,32.961,1.2924365,1672444800,1703980800,1688083200,-0.668,140236992,1.84,2.49,2.85,9.085,11.4,NYQ,EQUITY,EPR,EPR,EPR Properties,EPR Properties,879863400,America/New_York,EDT,-14400000,42.6,54.0,45.0,49.06,49.5,2.5,buy,9,101070000,1.342,540356992,3046132992,1.64,1.945,678012992,122.388,9.028,0.040560003,0.0648,599376000,354883360,445553984,-0.783,0.063,0.91655,0.79697,0.55022,USD,
9,909 Walnut Street,Suite 200,Kansas City,MO,64106-2003,United States,816 472 1700,816 472 5794,https://www.eprkc.com,REIT—Specialty,Real Estate,"EPR Properties (NYSE:EPR) is the leading diversified experiential net lease real estate investment trust (REIT), specializing in select enduring experiential properties in the real estate industry. We focus on real estate venues that create value by facilitating out of home leisure and recreation experiences where consumers choose to spend their discretionary time and money. We have total assets of approximately $5.7 billion (after accumulated depreciation of approximately $1.4 billion) across 44 states. We adhere to rigorous underwriting and investing criteria centered on key industry, property and tenant level cash flow standards. We believe our focused approach provides a competitive advantage and the potential for stable and attractive returns.",55,"{'maxAge': 1, 'name': 'Ms. Gwendolyn Mary Johnson', 'age': 50, 'title': 'Sr. VP of Asset Management', 'yearBorn': 1972, 'exercisedValue': 0, 'unexercisedValue': 0}",8,4,6,2,4,1693526400,1672444800,86400,2,42.95,42.75,42.21,42.92,42.95,42.75,42.21,42.92,3.3,0.0775,1695859200,1.7742,1.652143,23.152172,17.108433,848240,848240,645220,586280,586280,42.4,43.09,800,900,3208819200,33.92,47.71,4.732681,44.2538,41.7958,3.3,0.076833524,USD,6160060928,0.24245001,73868347,75324400,3574850,3413569,1690761600,1693440000,0.0475,0.01864,0.80055,6.62,0.069,32.961,1.2924365,1672444800,1703980800,1688083200,-0.668,140236992,1.84,2.49,2.85,9.085,11.4,NYQ,EQUITY,EPR,EPR,EPR Properties,EPR Properties,879863400,America/New_York,EDT,-14400000,42.6,54.0,45.0,49.06,49.5,2.5,buy,9,101070000,1.342,540356992,3046132992,1.64,1.945,678012992,122.388,9.028,0.040560003,0.0648,599376000,354883360,445553984,-0.783,0.063,0.91655,0.79697,0.55022,USD,
