,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,111 Huntington Avenue,Boston,MA,02199,United States,617 954 5000,https://www.mfs.com/en-us/individual-investor/product-strategies/closed-end-funds/MIN-mfs-intermediate-income-trust.html,Asset Management,Financial Services,"MFS Intermediate Income Trust is a closed ended fixed income mutual fund launched and managed by Massachusetts Financial Services Company. The fund invests in fixed income markets across the globe. It primarily invests in debt instruments. The fund seeks to benchmarks the performance of its portfolio against the Barclays Intermediate U.S. Government/Credit and MFS Intermediate Income Trust Blended Index. MFS Intermediate Income Trust was formed on March 17, 1988 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Ms. Robin Ann Stelmach', 'age': 61, 'title': 'Pres and Interested Trustee', 'yearBorn': 1961, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,2.68,2.68,2.66,2.69,2.68,2.68,2.66,2.69,0.25,0.0954,1694476800,6.5453005,9.37,0.255186,66.75,386322,386322,240516,209640,209640,2.66,2.67,1000,3000,305215712,2.66,2.97,27.471651,2.7328,2.7886,0.264,0.09850746,USD,305214400,0.26540002,114313000,269262,180823,1690761600,1693440000,0.0023999999,0.0,0.52841,1.47,3.017,0.88498515,1667174400,1698710400,1682812800,2948666,0.04,27.472,NYQ,EQUITY,MIN,MIN,MFS Intermediate Income Trust,MFS Intermediate Income Trust,574093800,America/New_York,EDT,-14400000,2.67,none,0,1.466,1.466,11110206,0.097,0.01498,0.008169999,10780899,0.062,1.0,0.0,0.78339,USD,
1,111 Huntington Avenue,Boston,MA,02199,United States,617 954 5000,https://www.mfs.com/en-us/individual-investor/product-strategies/closed-end-funds/MIN-mfs-intermediate-income-trust.html,Asset Management,Financial Services,"MFS Intermediate Income Trust is a closed ended fixed income mutual fund launched and managed by Massachusetts Financial Services Company. The fund invests in fixed income markets across the globe. It primarily invests in debt instruments. The fund seeks to benchmarks the performance of its portfolio against the Barclays Intermediate U.S. Government/Credit and MFS Intermediate Income Trust Blended Index. MFS Intermediate Income Trust was formed on March 17, 1988 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Frank L. Tarantino', 'age': 78, 'title': 'Independent Chief Compliance Officer', 'yearBorn': 1944, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,2.68,2.68,2.66,2.69,2.68,2.68,2.66,2.69,0.25,0.0954,1694476800,6.5453005,9.37,0.255186,66.75,386322,386322,240516,209640,209640,2.66,2.67,1000,3000,305215712,2.66,2.97,27.471651,2.7328,2.7886,0.264,0.09850746,USD,305214400,0.26540002,114313000,269262,180823,1690761600,1693440000,0.0023999999,0.0,0.52841,1.47,3.017,0.88498515,1667174400,1698710400,1682812800,2948666,0.04,27.472,NYQ,EQUITY,MIN,MIN,MFS Intermediate Income Trust,MFS Intermediate Income Trust,574093800,America/New_York,EDT,-14400000,2.67,none,0,1.466,1.466,11110206,0.097,0.01498,0.008169999,10780899,0.062,1.0,0.0,0.78339,USD,
2,111 Huntington Avenue,Boston,MA,02199,United States,617 954 5000,https://www.mfs.com/en-us/individual-investor/product-strategies/closed-end-funds/MIN-mfs-intermediate-income-trust.html,Asset Management,Financial Services,"MFS Intermediate Income Trust is a closed ended fixed income mutual fund launched and managed by Massachusetts Financial Services Company. The fund invests in fixed income markets across the globe. It primarily invests in debt instruments. The fund seeks to benchmarks the performance of its portfolio against the Barclays Intermediate U.S. Government/Credit and MFS Intermediate Income Trust Blended Index. MFS Intermediate Income Trust was formed on March 17, 1988 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Richard S. Weitzel', 'age': 52, 'title': 'Assistant Clerk and Assistant Sec.', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,2.68,2.68,2.66,2.69,2.68,2.68,2.66,2.69,0.25,0.0954,1694476800,6.5453005,9.37,0.255186,66.75,386322,386322,240516,209640,209640,2.66,2.67,1000,3000,305215712,2.66,2.97,27.471651,2.7328,2.7886,0.264,0.09850746,USD,305214400,0.26540002,114313000,269262,180823,1690761600,1693440000,0.0023999999,0.0,0.52841,1.47,3.017,0.88498515,1667174400,1698710400,1682812800,2948666,0.04,27.472,NYQ,EQUITY,MIN,MIN,MFS Intermediate Income Trust,MFS Intermediate Income Trust,574093800,America/New_York,EDT,-14400000,2.67,none,0,1.466,1.466,11110206,0.097,0.01498,0.008169999,10780899,0.062,1.0,0.0,0.78339,USD,
3,111 Huntington Avenue,Boston,MA,02199,United States,617 954 5000,https://www.mfs.com/en-us/individual-investor/product-strategies/closed-end-funds/MIN-mfs-intermediate-income-trust.html,Asset Management,Financial Services,"MFS Intermediate Income Trust is a closed ended fixed income mutual fund launched and managed by Massachusetts Financial Services Company. The fund invests in fixed income markets across the globe. It primarily invests in debt instruments. The fund seeks to benchmarks the performance of its portfolio against the Barclays Intermediate U.S. Government/Credit and MFS Intermediate Income Trust Blended Index. MFS Intermediate Income Trust was formed on March 17, 1988 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Brian E. Langenfeld', 'age': 49, 'title': 'Assistant Clerk and Assistant Sec.', 'yearBorn': 1973, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,2.68,2.68,2.66,2.69,2.68,2.68,2.66,2.69,0.25,0.0954,1694476800,6.5453005,9.37,0.255186,66.75,386322,386322,240516,209640,209640,2.66,2.67,1000,3000,305215712,2.66,2.97,27.471651,2.7328,2.7886,0.264,0.09850746,USD,305214400,0.26540002,114313000,269262,180823,1690761600,1693440000,0.0023999999,0.0,0.52841,1.47,3.017,0.88498515,1667174400,1698710400,1682812800,2948666,0.04,27.472,NYQ,EQUITY,MIN,MIN,MFS Intermediate Income Trust,MFS Intermediate Income Trust,574093800,America/New_York,EDT,-14400000,2.67,none,0,1.466,1.466,11110206,0.097,0.01498,0.008169999,10780899,0.062,1.0,0.0,0.78339,USD,
4,111 Huntington Avenue,Boston,MA,02199,United States,617 954 5000,https://www.mfs.com/en-us/individual-investor/product-strategies/closed-end-funds/MIN-mfs-intermediate-income-trust.html,Asset Management,Financial Services,"MFS Intermediate Income Trust is a closed ended fixed income mutual fund launched and managed by Massachusetts Financial Services Company. The fund invests in fixed income markets across the globe. It primarily invests in debt instruments. The fund seeks to benchmarks the performance of its portfolio against the Barclays Intermediate U.S. Government/Credit and MFS Intermediate Income Trust Blended Index. MFS Intermediate Income Trust was formed on March 17, 1988 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Ms. Susan A. Pereira', 'age': 51, 'title': 'Assistant Clerk and Assistant Sec.', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,2.68,2.68,2.66,2.69,2.68,2.68,2.66,2.69,0.25,0.0954,1694476800,6.5453005,9.37,0.255186,66.75,386322,386322,240516,209640,209640,2.66,2.67,1000,3000,305215712,2.66,2.97,27.471651,2.7328,2.7886,0.264,0.09850746,USD,305214400,0.26540002,114313000,269262,180823,1690761600,1693440000,0.0023999999,0.0,0.52841,1.47,3.017,0.88498515,1667174400,1698710400,1682812800,2948666,0.04,27.472,NYQ,EQUITY,MIN,MIN,MFS Intermediate Income Trust,MFS Intermediate Income Trust,574093800,America/New_York,EDT,-14400000,2.67,none,0,1.466,1.466,11110206,0.097,0.01498,0.008169999,10780899,0.062,1.0,0.0,0.78339,USD,
5,111 Huntington Avenue,Boston,MA,02199,United States,617 954 5000,https://www.mfs.com/en-us/individual-investor/product-strategies/closed-end-funds/MIN-mfs-intermediate-income-trust.html,Asset Management,Financial Services,"MFS Intermediate Income Trust is a closed ended fixed income mutual fund launched and managed by Massachusetts Financial Services Company. The fund invests in fixed income markets across the globe. It primarily invests in debt instruments. The fund seeks to benchmarks the performance of its portfolio against the Barclays Intermediate U.S. Government/Credit and MFS Intermediate Income Trust Blended Index. MFS Intermediate Income Trust was formed on March 17, 1988 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Ethan D. Corey', 'age': 58, 'title': 'Assistant Clerk and Assistant Sec.', 'yearBorn': 1964, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,2.68,2.68,2.66,2.69,2.68,2.68,2.66,2.69,0.25,0.0954,1694476800,6.5453005,9.37,0.255186,66.75,386322,386322,240516,209640,209640,2.66,2.67,1000,3000,305215712,2.66,2.97,27.471651,2.7328,2.7886,0.264,0.09850746,USD,305214400,0.26540002,114313000,269262,180823,1690761600,1693440000,0.0023999999,0.0,0.52841,1.47,3.017,0.88498515,1667174400,1698710400,1682812800,2948666,0.04,27.472,NYQ,EQUITY,MIN,MIN,MFS Intermediate Income Trust,MFS Intermediate Income Trust,574093800,America/New_York,EDT,-14400000,2.67,none,0,1.466,1.466,11110206,0.097,0.01498,0.008169999,10780899,0.062,1.0,0.0,0.78339,USD,
6,111 Huntington Avenue,Boston,MA,02199,United States,617 954 5000,https://www.mfs.com/en-us/individual-investor/product-strategies/closed-end-funds/MIN-mfs-intermediate-income-trust.html,Asset Management,Financial Services,"MFS Intermediate Income Trust is a closed ended fixed income mutual fund launched and managed by Massachusetts Financial Services Company. The fund invests in fixed income markets across the globe. It primarily invests in debt instruments. The fund seeks to benchmarks the performance of its portfolio against the Barclays Intermediate U.S. Government/Credit and MFS Intermediate Income Trust Blended Index. MFS Intermediate Income Trust was formed on March 17, 1988 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Thomas H. Connors', 'age': 62, 'title': 'Assistant Clerk and Assistant Sec.', 'yearBorn': 1960, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,2.68,2.68,2.66,2.69,2.68,2.68,2.66,2.69,0.25,0.0954,1694476800,6.5453005,9.37,0.255186,66.75,386322,386322,240516,209640,209640,2.66,2.67,1000,3000,305215712,2.66,2.97,27.471651,2.7328,2.7886,0.264,0.09850746,USD,305214400,0.26540002,114313000,269262,180823,1690761600,1693440000,0.0023999999,0.0,0.52841,1.47,3.017,0.88498515,1667174400,1698710400,1682812800,2948666,0.04,27.472,NYQ,EQUITY,MIN,MIN,MFS Intermediate Income Trust,MFS Intermediate Income Trust,574093800,America/New_York,EDT,-14400000,2.67,none,0,1.466,1.466,11110206,0.097,0.01498,0.008169999,10780899,0.062,1.0,0.0,0.78339,USD,
7,111 Huntington Avenue,Boston,MA,02199,United States,617 954 5000,https://www.mfs.com/en-us/individual-investor/product-strategies/closed-end-funds/MIN-mfs-intermediate-income-trust.html,Asset Management,Financial Services,"MFS Intermediate Income Trust is a closed ended fixed income mutual fund launched and managed by Massachusetts Financial Services Company. The fund invests in fixed income markets across the globe. It primarily invests in debt instruments. The fund seeks to benchmarks the performance of its portfolio against the Barclays Intermediate U.S. Government/Credit and MFS Intermediate Income Trust Blended Index. MFS Intermediate Income Trust was formed on March 17, 1988 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Christopher R. Bohane', 'age': 48, 'title': 'Assistant Clerk and Assistant Sec.', 'yearBorn': 1974, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,2.68,2.68,2.66,2.69,2.68,2.68,2.66,2.69,0.25,0.0954,1694476800,6.5453005,9.37,0.255186,66.75,386322,386322,240516,209640,209640,2.66,2.67,1000,3000,305215712,2.66,2.97,27.471651,2.7328,2.7886,0.264,0.09850746,USD,305214400,0.26540002,114313000,269262,180823,1690761600,1693440000,0.0023999999,0.0,0.52841,1.47,3.017,0.88498515,1667174400,1698710400,1682812800,2948666,0.04,27.472,NYQ,EQUITY,MIN,MIN,MFS Intermediate Income Trust,MFS Intermediate Income Trust,574093800,America/New_York,EDT,-14400000,2.67,none,0,1.466,1.466,11110206,0.097,0.01498,0.008169999,10780899,0.062,1.0,0.0,0.78339,USD,
8,111 Huntington Avenue,Boston,MA,02199,United States,617 954 5000,https://www.mfs.com/en-us/individual-investor/product-strategies/closed-end-funds/MIN-mfs-intermediate-income-trust.html,Asset Management,Financial Services,"MFS Intermediate Income Trust is a closed ended fixed income mutual fund launched and managed by Massachusetts Financial Services Company. The fund invests in fixed income markets across the globe. It primarily invests in debt instruments. The fund seeks to benchmarks the performance of its portfolio against the Barclays Intermediate U.S. Government/Credit and MFS Intermediate Income Trust Blended Index. MFS Intermediate Income Trust was formed on March 17, 1988 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Kasey L. Philips', 'age': 51, 'title': 'Assistant Treasurer', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,2.68,2.68,2.66,2.69,2.68,2.68,2.66,2.69,0.25,0.0954,1694476800,6.5453005,9.37,0.255186,66.75,386322,386322,240516,209640,209640,2.66,2.67,1000,3000,305215712,2.66,2.97,27.471651,2.7328,2.7886,0.264,0.09850746,USD,305214400,0.26540002,114313000,269262,180823,1690761600,1693440000,0.0023999999,0.0,0.52841,1.47,3.017,0.88498515,1667174400,1698710400,1682812800,2948666,0.04,27.472,NYQ,EQUITY,MIN,MIN,MFS Intermediate Income Trust,MFS Intermediate Income Trust,574093800,America/New_York,EDT,-14400000,2.67,none,0,1.466,1.466,11110206,0.097,0.01498,0.008169999,10780899,0.062,1.0,0.0,0.78339,USD,
9,111 Huntington Avenue,Boston,MA,02199,United States,617 954 5000,https://www.mfs.com/en-us/individual-investor/product-strategies/closed-end-funds/MIN-mfs-intermediate-income-trust.html,Asset Management,Financial Services,"MFS Intermediate Income Trust is a closed ended fixed income mutual fund launched and managed by Massachusetts Financial Services Company. The fund invests in fixed income markets across the globe. It primarily invests in debt instruments. The fund seeks to benchmarks the performance of its portfolio against the Barclays Intermediate U.S. Government/Credit and MFS Intermediate Income Trust Blended Index. MFS Intermediate Income Trust was formed on March 17, 1988 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Dr. Erik S. Weisman Ph.D.', 'title': 'Portfolio Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,2.68,2.68,2.66,2.69,2.68,2.68,2.66,2.69,0.25,0.0954,1694476800,6.5453005,9.37,0.255186,66.75,386322,386322,240516,209640,209640,2.66,2.67,1000,3000,305215712,2.66,2.97,27.471651,2.7328,2.7886,0.264,0.09850746,USD,305214400,0.26540002,114313000,269262,180823,1690761600,1693440000,0.0023999999,0.0,0.52841,1.47,3.017,0.88498515,1667174400,1698710400,1682812800,2948666,0.04,27.472,NYQ,EQUITY,MIN,MIN,MFS Intermediate Income Trust,MFS Intermediate Income Trust,574093800,America/New_York,EDT,-14400000,2.67,none,0,1.466,1.466,11110206,0.097,0.01498,0.008169999,10780899,0.062,1.0,0.0,0.78339,USD,
