,address1,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,fiveYearAvgDividendYield,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,"27, rue Camille Desmoulins",Issy-les-Moulineaux,92445,France,33 1 41 57 70 00,33 1 41 57 80 00,https://www.icade.fr,REIT—Diversified,Real Estate,"As a commercial property investor (portfolio worth EUR 7.7bn on a full consolidation basis as of 06/30/2023) and a developer of homes, offices and public amenities (2022 economic revenue of EUR 1.3bn), Icade designs, builds, manages and invests in cities, neighbourhoods and buildings that are innovative, diverse, inclusive and connected, with a reduced carbon footprint. Desirable places to live and work. In collaboration with its stakeholders, Icade has made low carbon a strategic priority in order to reinvent real estate and create cities that are healthier, happier and more hospitable. Icade is a key player in Greater Paris and major French cities. It is listed as a ""SIIC"" on Euronext Paris and its leading shareholder is the Caisse des Depots group.",1187,"{'maxAge': 1, 'name': 'Mr. Nicolas  Joly', 'title': 'Chief Exec. Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",6,6,4,1,4,1693526400,86400,2,34.52,34.7,34.06,34.78,34.52,34.7,34.06,34.78,4.33,0.1254,1688428800,7.2,1.186936,8.148326,608406,608406,85094,118287,118287,0.0,0.0,0,0,2602555136,31.52,51.35,1.4262921,35.2084,40.4228,4.33,0.12543453,EUR,9403621376,-0.42314,16504192,75787904,0.19433,0.55062,76.263,0.4466124,1672444800,1703980800,1688083200,-519100000,-7.48,4.18,-0.92,5.154,14.613,PAR,EQUITY,ICAD.PA,ICAD.PA,ICADE,Icade,946886400,Europe/Paris,CEST,7200000,34.06,53.0,35.0,42.9,40.0,2.3,buy,7,667299968,8.807,643500032,5456900096,0.295,1.998,1824700032,69.855,24.097,0.02189,-0.054369997,968500000,-5065424896,467900000,-0.007,0.52167,0.35266,0.34395,EUR,
1,"27, rue Camille Desmoulins",Issy-les-Moulineaux,92445,France,33 1 41 57 70 00,33 1 41 57 80 00,https://www.icade.fr,REIT—Diversified,Real Estate,"As a commercial property investor (portfolio worth EUR 7.7bn on a full consolidation basis as of 06/30/2023) and a developer of homes, offices and public amenities (2022 economic revenue of EUR 1.3bn), Icade designs, builds, manages and invests in cities, neighbourhoods and buildings that are innovative, diverse, inclusive and connected, with a reduced carbon footprint. Desirable places to live and work. In collaboration with its stakeholders, Icade has made low carbon a strategic priority in order to reinvent real estate and create cities that are healthier, happier and more hospitable. Icade is a key player in Greater Paris and major French cities. It is listed as a ""SIIC"" on Euronext Paris and its leading shareholder is the Caisse des Depots group.",1187,"{'maxAge': 1, 'name': 'Ms. Victoire  Aubry', 'age': 56, 'title': 'Head of Fin., IT & Work Environment', 'yearBorn': 1966, 'exercisedValue': 0, 'unexercisedValue': 0}",6,6,4,1,4,1693526400,86400,2,34.52,34.7,34.06,34.78,34.52,34.7,34.06,34.78,4.33,0.1254,1688428800,7.2,1.186936,8.148326,608406,608406,85094,118287,118287,0.0,0.0,0,0,2602555136,31.52,51.35,1.4262921,35.2084,40.4228,4.33,0.12543453,EUR,9403621376,-0.42314,16504192,75787904,0.19433,0.55062,76.263,0.4466124,1672444800,1703980800,1688083200,-519100000,-7.48,4.18,-0.92,5.154,14.613,PAR,EQUITY,ICAD.PA,ICAD.PA,ICADE,Icade,946886400,Europe/Paris,CEST,7200000,34.06,53.0,35.0,42.9,40.0,2.3,buy,7,667299968,8.807,643500032,5456900096,0.295,1.998,1824700032,69.855,24.097,0.02189,-0.054369997,968500000,-5065424896,467900000,-0.007,0.52167,0.35266,0.34395,EUR,
2,"27, rue Camille Desmoulins",Issy-les-Moulineaux,92445,France,33 1 41 57 70 00,33 1 41 57 80 00,https://www.icade.fr,REIT—Diversified,Real Estate,"As a commercial property investor (portfolio worth EUR 7.7bn on a full consolidation basis as of 06/30/2023) and a developer of homes, offices and public amenities (2022 economic revenue of EUR 1.3bn), Icade designs, builds, manages and invests in cities, neighbourhoods and buildings that are innovative, diverse, inclusive and connected, with a reduced carbon footprint. Desirable places to live and work. In collaboration with its stakeholders, Icade has made low carbon a strategic priority in order to reinvent real estate and create cities that are healthier, happier and more hospitable. Icade is a key player in Greater Paris and major French cities. It is listed as a ""SIIC"" on Euronext Paris and its leading shareholder is the Caisse des Depots group.",1187,"{'maxAge': 1, 'name': 'Ms. Sophie  Duval', 'title': 'Head of Consolidation & Accounting', 'exercisedValue': 0, 'unexercisedValue': 0}",6,6,4,1,4,1693526400,86400,2,34.52,34.7,34.06,34.78,34.52,34.7,34.06,34.78,4.33,0.1254,1688428800,7.2,1.186936,8.148326,608406,608406,85094,118287,118287,0.0,0.0,0,0,2602555136,31.52,51.35,1.4262921,35.2084,40.4228,4.33,0.12543453,EUR,9403621376,-0.42314,16504192,75787904,0.19433,0.55062,76.263,0.4466124,1672444800,1703980800,1688083200,-519100000,-7.48,4.18,-0.92,5.154,14.613,PAR,EQUITY,ICAD.PA,ICAD.PA,ICADE,Icade,946886400,Europe/Paris,CEST,7200000,34.06,53.0,35.0,42.9,40.0,2.3,buy,7,667299968,8.807,643500032,5456900096,0.295,1.998,1824700032,69.855,24.097,0.02189,-0.054369997,968500000,-5065424896,467900000,-0.007,0.52167,0.35266,0.34395,EUR,
3,"27, rue Camille Desmoulins",Issy-les-Moulineaux,92445,France,33 1 41 57 70 00,33 1 41 57 80 00,https://www.icade.fr,REIT—Diversified,Real Estate,"As a commercial property investor (portfolio worth EUR 7.7bn on a full consolidation basis as of 06/30/2023) and a developer of homes, offices and public amenities (2022 economic revenue of EUR 1.3bn), Icade designs, builds, manages and invests in cities, neighbourhoods and buildings that are innovative, diverse, inclusive and connected, with a reduced carbon footprint. Desirable places to live and work. In collaboration with its stakeholders, Icade has made low carbon a strategic priority in order to reinvent real estate and create cities that are healthier, happier and more hospitable. Icade is a key player in Greater Paris and major French cities. It is listed as a ""SIIC"" on Euronext Paris and its leading shareholder is the Caisse des Depots group.",1187,"{'maxAge': 1, 'name': 'Ms. Anne-Violette  Faugeras', 'title': 'Director of Financing & Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",6,6,4,1,4,1693526400,86400,2,34.52,34.7,34.06,34.78,34.52,34.7,34.06,34.78,4.33,0.1254,1688428800,7.2,1.186936,8.148326,608406,608406,85094,118287,118287,0.0,0.0,0,0,2602555136,31.52,51.35,1.4262921,35.2084,40.4228,4.33,0.12543453,EUR,9403621376,-0.42314,16504192,75787904,0.19433,0.55062,76.263,0.4466124,1672444800,1703980800,1688083200,-519100000,-7.48,4.18,-0.92,5.154,14.613,PAR,EQUITY,ICAD.PA,ICAD.PA,ICADE,Icade,946886400,Europe/Paris,CEST,7200000,34.06,53.0,35.0,42.9,40.0,2.3,buy,7,667299968,8.807,643500032,5456900096,0.295,1.998,1824700032,69.855,24.097,0.02189,-0.054369997,968500000,-5065424896,467900000,-0.007,0.52167,0.35266,0.34395,EUR,
4,"27, rue Camille Desmoulins",Issy-les-Moulineaux,92445,France,33 1 41 57 70 00,33 1 41 57 80 00,https://www.icade.fr,REIT—Diversified,Real Estate,"As a commercial property investor (portfolio worth EUR 7.7bn on a full consolidation basis as of 06/30/2023) and a developer of homes, offices and public amenities (2022 economic revenue of EUR 1.3bn), Icade designs, builds, manages and invests in cities, neighbourhoods and buildings that are innovative, diverse, inclusive and connected, with a reduced carbon footprint. Desirable places to live and work. In collaboration with its stakeholders, Icade has made low carbon a strategic priority in order to reinvent real estate and create cities that are healthier, happier and more hospitable. Icade is a key player in Greater Paris and major French cities. It is listed as a ""SIIC"" on Euronext Paris and its leading shareholder is the Caisse des Depots group.",1187,"{'maxAge': 1, 'name': 'Mr. Jérôme  Lucchini', 'age': 55, 'title': 'Gen. Sec. and Head of Governance, Legal Insurance & Department', 'yearBorn': 1967, 'exercisedValue': 0, 'unexercisedValue': 0}",6,6,4,1,4,1693526400,86400,2,34.52,34.7,34.06,34.78,34.52,34.7,34.06,34.78,4.33,0.1254,1688428800,7.2,1.186936,8.148326,608406,608406,85094,118287,118287,0.0,0.0,0,0,2602555136,31.52,51.35,1.4262921,35.2084,40.4228,4.33,0.12543453,EUR,9403621376,-0.42314,16504192,75787904,0.19433,0.55062,76.263,0.4466124,1672444800,1703980800,1688083200,-519100000,-7.48,4.18,-0.92,5.154,14.613,PAR,EQUITY,ICAD.PA,ICAD.PA,ICADE,Icade,946886400,Europe/Paris,CEST,7200000,34.06,53.0,35.0,42.9,40.0,2.3,buy,7,667299968,8.807,643500032,5456900096,0.295,1.998,1824700032,69.855,24.097,0.02189,-0.054369997,968500000,-5065424896,467900000,-0.007,0.52167,0.35266,0.34395,EUR,
5,"27, rue Camille Desmoulins",Issy-les-Moulineaux,92445,France,33 1 41 57 70 00,33 1 41 57 80 00,https://www.icade.fr,REIT—Diversified,Real Estate,"As a commercial property investor (portfolio worth EUR 7.7bn on a full consolidation basis as of 06/30/2023) and a developer of homes, offices and public amenities (2022 economic revenue of EUR 1.3bn), Icade designs, builds, manages and invests in cities, neighbourhoods and buildings that are innovative, diverse, inclusive and connected, with a reduced carbon footprint. Desirable places to live and work. In collaboration with its stakeholders, Icade has made low carbon a strategic priority in order to reinvent real estate and create cities that are healthier, happier and more hospitable. Icade is a key player in Greater Paris and major French cities. It is listed as a ""SIIC"" on Euronext Paris and its leading shareholder is the Caisse des Depots group.",1187,"{'maxAge': 1, 'name': 'Ms. Emmanuelle  Baboulin', 'age': 56, 'title': 'Head of the Commercial Property Investment Division', 'yearBorn': 1966, 'exercisedValue': 0, 'unexercisedValue': 0}",6,6,4,1,4,1693526400,86400,2,34.52,34.7,34.06,34.78,34.52,34.7,34.06,34.78,4.33,0.1254,1688428800,7.2,1.186936,8.148326,608406,608406,85094,118287,118287,0.0,0.0,0,0,2602555136,31.52,51.35,1.4262921,35.2084,40.4228,4.33,0.12543453,EUR,9403621376,-0.42314,16504192,75787904,0.19433,0.55062,76.263,0.4466124,1672444800,1703980800,1688083200,-519100000,-7.48,4.18,-0.92,5.154,14.613,PAR,EQUITY,ICAD.PA,ICAD.PA,ICADE,Icade,946886400,Europe/Paris,CEST,7200000,34.06,53.0,35.0,42.9,40.0,2.3,buy,7,667299968,8.807,643500032,5456900096,0.295,1.998,1824700032,69.855,24.097,0.02189,-0.054369997,968500000,-5065424896,467900000,-0.007,0.52167,0.35266,0.34395,EUR,
6,"27, rue Camille Desmoulins",Issy-les-Moulineaux,92445,France,33 1 41 57 70 00,33 1 41 57 80 00,https://www.icade.fr,REIT—Diversified,Real Estate,"As a commercial property investor (portfolio worth EUR 7.7bn on a full consolidation basis as of 06/30/2023) and a developer of homes, offices and public amenities (2022 economic revenue of EUR 1.3bn), Icade designs, builds, manages and invests in cities, neighbourhoods and buildings that are innovative, diverse, inclusive and connected, with a reduced carbon footprint. Desirable places to live and work. In collaboration with its stakeholders, Icade has made low carbon a strategic priority in order to reinvent real estate and create cities that are healthier, happier and more hospitable. Icade is a key player in Greater Paris and major French cities. It is listed as a ""SIIC"" on Euronext Paris and its leading shareholder is the Caisse des Depots group.",1187,"{'maxAge': 1, 'name': 'Mr. Xavier  de La Sudrie', 'title': 'Head of Financial Control', 'exercisedValue': 0, 'unexercisedValue': 0}",6,6,4,1,4,1693526400,86400,2,34.52,34.7,34.06,34.78,34.52,34.7,34.06,34.78,4.33,0.1254,1688428800,7.2,1.186936,8.148326,608406,608406,85094,118287,118287,0.0,0.0,0,0,2602555136,31.52,51.35,1.4262921,35.2084,40.4228,4.33,0.12543453,EUR,9403621376,-0.42314,16504192,75787904,0.19433,0.55062,76.263,0.4466124,1672444800,1703980800,1688083200,-519100000,-7.48,4.18,-0.92,5.154,14.613,PAR,EQUITY,ICAD.PA,ICAD.PA,ICADE,Icade,946886400,Europe/Paris,CEST,7200000,34.06,53.0,35.0,42.9,40.0,2.3,buy,7,667299968,8.807,643500032,5456900096,0.295,1.998,1824700032,69.855,24.097,0.02189,-0.054369997,968500000,-5065424896,467900000,-0.007,0.52167,0.35266,0.34395,EUR,
7,"27, rue Camille Desmoulins",Issy-les-Moulineaux,92445,France,33 1 41 57 70 00,33 1 41 57 80 00,https://www.icade.fr,REIT—Diversified,Real Estate,"As a commercial property investor (portfolio worth EUR 7.7bn on a full consolidation basis as of 06/30/2023) and a developer of homes, offices and public amenities (2022 economic revenue of EUR 1.3bn), Icade designs, builds, manages and invests in cities, neighbourhoods and buildings that are innovative, diverse, inclusive and connected, with a reduced carbon footprint. Desirable places to live and work. In collaboration with its stakeholders, Icade has made low carbon a strategic priority in order to reinvent real estate and create cities that are healthier, happier and more hospitable. Icade is a key player in Greater Paris and major French cities. It is listed as a ""SIIC"" on Euronext Paris and its leading shareholder is the Caisse des Depots group.",1187,"{'maxAge': 1, 'name': 'Johannah  Mrejen', 'title': 'Head of Asset Management', 'exercisedValue': 0, 'unexercisedValue': 0}",6,6,4,1,4,1693526400,86400,2,34.52,34.7,34.06,34.78,34.52,34.7,34.06,34.78,4.33,0.1254,1688428800,7.2,1.186936,8.148326,608406,608406,85094,118287,118287,0.0,0.0,0,0,2602555136,31.52,51.35,1.4262921,35.2084,40.4228,4.33,0.12543453,EUR,9403621376,-0.42314,16504192,75787904,0.19433,0.55062,76.263,0.4466124,1672444800,1703980800,1688083200,-519100000,-7.48,4.18,-0.92,5.154,14.613,PAR,EQUITY,ICAD.PA,ICAD.PA,ICADE,Icade,946886400,Europe/Paris,CEST,7200000,34.06,53.0,35.0,42.9,40.0,2.3,buy,7,667299968,8.807,643500032,5456900096,0.295,1.998,1824700032,69.855,24.097,0.02189,-0.054369997,968500000,-5065424896,467900000,-0.007,0.52167,0.35266,0.34395,EUR,
8,"27, rue Camille Desmoulins",Issy-les-Moulineaux,92445,France,33 1 41 57 70 00,33 1 41 57 80 00,https://www.icade.fr,REIT—Diversified,Real Estate,"As a commercial property investor (portfolio worth EUR 7.7bn on a full consolidation basis as of 06/30/2023) and a developer of homes, offices and public amenities (2022 economic revenue of EUR 1.3bn), Icade designs, builds, manages and invests in cities, neighbourhoods and buildings that are innovative, diverse, inclusive and connected, with a reduced carbon footprint. Desirable places to live and work. In collaboration with its stakeholders, Icade has made low carbon a strategic priority in order to reinvent real estate and create cities that are healthier, happier and more hospitable. Icade is a key player in Greater Paris and major French cities. It is listed as a ""SIIC"" on Euronext Paris and its leading shareholder is the Caisse des Depots group.",1187,"{'maxAge': 1, 'name': 'Mr. Guillaume  Tessler', 'title': 'Head of International Devel. - Icade Santé', 'exercisedValue': 0, 'unexercisedValue': 0}",6,6,4,1,4,1693526400,86400,2,34.52,34.7,34.06,34.78,34.52,34.7,34.06,34.78,4.33,0.1254,1688428800,7.2,1.186936,8.148326,608406,608406,85094,118287,118287,0.0,0.0,0,0,2602555136,31.52,51.35,1.4262921,35.2084,40.4228,4.33,0.12543453,EUR,9403621376,-0.42314,16504192,75787904,0.19433,0.55062,76.263,0.4466124,1672444800,1703980800,1688083200,-519100000,-7.48,4.18,-0.92,5.154,14.613,PAR,EQUITY,ICAD.PA,ICAD.PA,ICADE,Icade,946886400,Europe/Paris,CEST,7200000,34.06,53.0,35.0,42.9,40.0,2.3,buy,7,667299968,8.807,643500032,5456900096,0.295,1.998,1824700032,69.855,24.097,0.02189,-0.054369997,968500000,-5065424896,467900000,-0.007,0.52167,0.35266,0.34395,EUR,
9,"27, rue Camille Desmoulins",Issy-les-Moulineaux,92445,France,33 1 41 57 70 00,33 1 41 57 80 00,https://www.icade.fr,REIT—Diversified,Real Estate,"As a commercial property investor (portfolio worth EUR 7.7bn on a full consolidation basis as of 06/30/2023) and a developer of homes, offices and public amenities (2022 economic revenue of EUR 1.3bn), Icade designs, builds, manages and invests in cities, neighbourhoods and buildings that are innovative, diverse, inclusive and connected, with a reduced carbon footprint. Desirable places to live and work. In collaboration with its stakeholders, Icade has made low carbon a strategic priority in order to reinvent real estate and create cities that are healthier, happier and more hospitable. Icade is a key player in Greater Paris and major French cities. It is listed as a ""SIIC"" on Euronext Paris and its leading shareholder is the Caisse des Depots group.",1187,"{'maxAge': 1, 'name': 'Mr. Henri  Chapouthier', 'title': 'Head of Sustainable Devel.', 'exercisedValue': 0, 'unexercisedValue': 0}",6,6,4,1,4,1693526400,86400,2,34.52,34.7,34.06,34.78,34.52,34.7,34.06,34.78,4.33,0.1254,1688428800,7.2,1.186936,8.148326,608406,608406,85094,118287,118287,0.0,0.0,0,0,2602555136,31.52,51.35,1.4262921,35.2084,40.4228,4.33,0.12543453,EUR,9403621376,-0.42314,16504192,75787904,0.19433,0.55062,76.263,0.4466124,1672444800,1703980800,1688083200,-519100000,-7.48,4.18,-0.92,5.154,14.613,PAR,EQUITY,ICAD.PA,ICAD.PA,ICADE,Icade,946886400,Europe/Paris,CEST,7200000,34.06,53.0,35.0,42.9,40.0,2.3,buy,7,667299968,8.807,643500032,5456900096,0.295,1.998,1824700032,69.855,24.097,0.02189,-0.054369997,968500000,-5065424896,467900000,-0.007,0.52167,0.35266,0.34395,EUR,
