,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Two North Riverside Plaza,Suite 400,Chicago,IL,60606-2624,United States,312 474 1300,312 454 8703,https://www.equityapartments.com,REIT—Residential,Real Estate,"Equity Residential is committed to creating communities where people thrive. The Company, a member of the S&P 500, is focused on the acquisition, development and management of residential properties located in and around dynamic cities that attract affluent long-term renters. Equity Residential owns or has investments in 304 properties consisting of 80,212 apartment units, with an established presence in Boston, New York, Washington, D.C., Seattle, San Francisco and Southern California, and an expanding presence in Denver, Atlanta, Dallas/Ft. Worth and Austin.",2400,"{'maxAge': 1, 'name': 'Mr. Mark J. Parrell', 'age': 55, 'title': 'Pres, CEO & Trustee', 'yearBorn': 1967, 'fiscalYear': 2022, 'totalPay': 4023536, 'exercisedValue': 0, 'unexercisedValue': 0}",5,9,1,9,7,1693526400,1672444800,86400,2,63.21,62.97,62.77,63.49,63.21,62.97,62.77,63.49,2.65,0.0419,1687478400,1.2106,3.38,0.837828,29.792454,37.37278,2366072,2366072,1610848,1675410,1675410,62.56,64.0,800,800,23939661824,54.6,72.49,8.497682,65.3704,62.83865,2.575,0.040737227,USD,32274995200,0.29578,377353297,379032000,5535766,6203932,1690761600,1693440000,0.0146,0.01715,0.92591006,3.88,0.0202,28.986,2.178983,1672444800,1703980800,1688083200,-0.379,830193024,2.12,1.69,2.41,2:1,1002844800,11.456,18.534,NYQ,EQUITY,EQR,EQR,Equity Residential,Equity Residential,745162200,America/New_York,EDT,-14400000,63.16,95.0,68.0,72.83,70.0,2.6,hold,18,35701000,0.094,1741357056,7756782080,0.098,0.24,2817199104,66.974,7.46,0.02688,0.07498,1752599000,1284729728,1509862016,-0.384,0.044,0.63945,0.61812,0.31087,USD,2.5877
1,Two North Riverside Plaza,Suite 400,Chicago,IL,60606-2624,United States,312 474 1300,312 454 8703,https://www.equityapartments.com,REIT—Residential,Real Estate,"Equity Residential is committed to creating communities where people thrive. The Company, a member of the S&P 500, is focused on the acquisition, development and management of residential properties located in and around dynamic cities that attract affluent long-term renters. Equity Residential owns or has investments in 304 properties consisting of 80,212 apartment units, with an established presence in Boston, New York, Washington, D.C., Seattle, San Francisco and Southern California, and an expanding presence in Denver, Atlanta, Dallas/Ft. Worth and Austin.",2400,"{'maxAge': 1, 'name': 'Mr. Robert A. Garechana', 'age': 43, 'title': 'Exec. VP & CFO', 'yearBorn': 1979, 'fiscalYear': 2022, 'totalPay': 1734150, 'exercisedValue': 184285, 'unexercisedValue': 0}",5,9,1,9,7,1693526400,1672444800,86400,2,63.21,62.97,62.77,63.49,63.21,62.97,62.77,63.49,2.65,0.0419,1687478400,1.2106,3.38,0.837828,29.792454,37.37278,2366072,2366072,1610848,1675410,1675410,62.56,64.0,800,800,23939661824,54.6,72.49,8.497682,65.3704,62.83865,2.575,0.040737227,USD,32274995200,0.29578,377353297,379032000,5535766,6203932,1690761600,1693440000,0.0146,0.01715,0.92591006,3.88,0.0202,28.986,2.178983,1672444800,1703980800,1688083200,-0.379,830193024,2.12,1.69,2.41,2:1,1002844800,11.456,18.534,NYQ,EQUITY,EQR,EQR,Equity Residential,Equity Residential,745162200,America/New_York,EDT,-14400000,63.16,95.0,68.0,72.83,70.0,2.6,hold,18,35701000,0.094,1741357056,7756782080,0.098,0.24,2817199104,66.974,7.46,0.02688,0.07498,1752599000,1284729728,1509862016,-0.384,0.044,0.63945,0.61812,0.31087,USD,2.5877
2,Two North Riverside Plaza,Suite 400,Chicago,IL,60606-2624,United States,312 474 1300,312 454 8703,https://www.equityapartments.com,REIT—Residential,Real Estate,"Equity Residential is committed to creating communities where people thrive. The Company, a member of the S&P 500, is focused on the acquisition, development and management of residential properties located in and around dynamic cities that attract affluent long-term renters. Equity Residential owns or has investments in 304 properties consisting of 80,212 apartment units, with an established presence in Boston, New York, Washington, D.C., Seattle, San Francisco and Southern California, and an expanding presence in Denver, Atlanta, Dallas/Ft. Worth and Austin.",2400,"{'maxAge': 1, 'name': 'Mr. Michael L. Manelis', 'age': 53, 'title': 'Exec. VP & COO', 'yearBorn': 1969, 'fiscalYear': 2022, 'totalPay': 1884544, 'exercisedValue': 175720, 'unexercisedValue': 0}",5,9,1,9,7,1693526400,1672444800,86400,2,63.21,62.97,62.77,63.49,63.21,62.97,62.77,63.49,2.65,0.0419,1687478400,1.2106,3.38,0.837828,29.792454,37.37278,2366072,2366072,1610848,1675410,1675410,62.56,64.0,800,800,23939661824,54.6,72.49,8.497682,65.3704,62.83865,2.575,0.040737227,USD,32274995200,0.29578,377353297,379032000,5535766,6203932,1690761600,1693440000,0.0146,0.01715,0.92591006,3.88,0.0202,28.986,2.178983,1672444800,1703980800,1688083200,-0.379,830193024,2.12,1.69,2.41,2:1,1002844800,11.456,18.534,NYQ,EQUITY,EQR,EQR,Equity Residential,Equity Residential,745162200,America/New_York,EDT,-14400000,63.16,95.0,68.0,72.83,70.0,2.6,hold,18,35701000,0.094,1741357056,7756782080,0.098,0.24,2817199104,66.974,7.46,0.02688,0.07498,1752599000,1284729728,1509862016,-0.384,0.044,0.63945,0.61812,0.31087,USD,2.5877
3,Two North Riverside Plaza,Suite 400,Chicago,IL,60606-2624,United States,312 474 1300,312 454 8703,https://www.equityapartments.com,REIT—Residential,Real Estate,"Equity Residential is committed to creating communities where people thrive. The Company, a member of the S&P 500, is focused on the acquisition, development and management of residential properties located in and around dynamic cities that attract affluent long-term renters. Equity Residential owns or has investments in 304 properties consisting of 80,212 apartment units, with an established presence in Boston, New York, Washington, D.C., Seattle, San Francisco and Southern California, and an expanding presence in Denver, Atlanta, Dallas/Ft. Worth and Austin.",2400,"{'maxAge': 1, 'name': 'Mr. Alexander  Brackenridge', 'age': 58, 'title': 'Exec. VP & Chief Investment Officer', 'yearBorn': 1964, 'fiscalYear': 2022, 'totalPay': 1739956, 'exercisedValue': 0, 'unexercisedValue': 0}",5,9,1,9,7,1693526400,1672444800,86400,2,63.21,62.97,62.77,63.49,63.21,62.97,62.77,63.49,2.65,0.0419,1687478400,1.2106,3.38,0.837828,29.792454,37.37278,2366072,2366072,1610848,1675410,1675410,62.56,64.0,800,800,23939661824,54.6,72.49,8.497682,65.3704,62.83865,2.575,0.040737227,USD,32274995200,0.29578,377353297,379032000,5535766,6203932,1690761600,1693440000,0.0146,0.01715,0.92591006,3.88,0.0202,28.986,2.178983,1672444800,1703980800,1688083200,-0.379,830193024,2.12,1.69,2.41,2:1,1002844800,11.456,18.534,NYQ,EQUITY,EQR,EQR,Equity Residential,Equity Residential,745162200,America/New_York,EDT,-14400000,63.16,95.0,68.0,72.83,70.0,2.6,hold,18,35701000,0.094,1741357056,7756782080,0.098,0.24,2817199104,66.974,7.46,0.02688,0.07498,1752599000,1284729728,1509862016,-0.384,0.044,0.63945,0.61812,0.31087,USD,2.5877
4,Two North Riverside Plaza,Suite 400,Chicago,IL,60606-2624,United States,312 474 1300,312 454 8703,https://www.equityapartments.com,REIT—Residential,Real Estate,"Equity Residential is committed to creating communities where people thrive. The Company, a member of the S&P 500, is focused on the acquisition, development and management of residential properties located in and around dynamic cities that attract affluent long-term renters. Equity Residential owns or has investments in 304 properties consisting of 80,212 apartment units, with an established presence in Boston, New York, Washington, D.C., Seattle, San Francisco and Southern California, and an expanding presence in Denver, Atlanta, Dallas/Ft. Worth and Austin.",2400,"{'maxAge': 1, 'name': 'Mr. Scott J. Fenster J.D.', 'age': 46, 'title': 'Exec. VP, Gen. Counsel & Corp. Sec.', 'yearBorn': 1976, 'fiscalYear': 2022, 'totalPay': 1327476, 'exercisedValue': 125292, 'unexercisedValue': 38175}",5,9,1,9,7,1693526400,1672444800,86400,2,63.21,62.97,62.77,63.49,63.21,62.97,62.77,63.49,2.65,0.0419,1687478400,1.2106,3.38,0.837828,29.792454,37.37278,2366072,2366072,1610848,1675410,1675410,62.56,64.0,800,800,23939661824,54.6,72.49,8.497682,65.3704,62.83865,2.575,0.040737227,USD,32274995200,0.29578,377353297,379032000,5535766,6203932,1690761600,1693440000,0.0146,0.01715,0.92591006,3.88,0.0202,28.986,2.178983,1672444800,1703980800,1688083200,-0.379,830193024,2.12,1.69,2.41,2:1,1002844800,11.456,18.534,NYQ,EQUITY,EQR,EQR,Equity Residential,Equity Residential,745162200,America/New_York,EDT,-14400000,63.16,95.0,68.0,72.83,70.0,2.6,hold,18,35701000,0.094,1741357056,7756782080,0.098,0.24,2817199104,66.974,7.46,0.02688,0.07498,1752599000,1284729728,1509862016,-0.384,0.044,0.63945,0.61812,0.31087,USD,2.5877
5,Two North Riverside Plaza,Suite 400,Chicago,IL,60606-2624,United States,312 474 1300,312 454 8703,https://www.equityapartments.com,REIT—Residential,Real Estate,"Equity Residential is committed to creating communities where people thrive. The Company, a member of the S&P 500, is focused on the acquisition, development and management of residential properties located in and around dynamic cities that attract affluent long-term renters. Equity Residential owns or has investments in 304 properties consisting of 80,212 apartment units, with an established presence in Boston, New York, Washington, D.C., Seattle, San Francisco and Southern California, and an expanding presence in Denver, Atlanta, Dallas/Ft. Worth and Austin.",2400,"{'maxAge': 1, 'name': 'Mr. Ian S. Kaufman', 'age': 54, 'title': 'Sr. VP & Chief Accounting Officer', 'yearBorn': 1968, 'exercisedValue': 0, 'unexercisedValue': 0}",5,9,1,9,7,1693526400,1672444800,86400,2,63.21,62.97,62.77,63.49,63.21,62.97,62.77,63.49,2.65,0.0419,1687478400,1.2106,3.38,0.837828,29.792454,37.37278,2366072,2366072,1610848,1675410,1675410,62.56,64.0,800,800,23939661824,54.6,72.49,8.497682,65.3704,62.83865,2.575,0.040737227,USD,32274995200,0.29578,377353297,379032000,5535766,6203932,1690761600,1693440000,0.0146,0.01715,0.92591006,3.88,0.0202,28.986,2.178983,1672444800,1703980800,1688083200,-0.379,830193024,2.12,1.69,2.41,2:1,1002844800,11.456,18.534,NYQ,EQUITY,EQR,EQR,Equity Residential,Equity Residential,745162200,America/New_York,EDT,-14400000,63.16,95.0,68.0,72.83,70.0,2.6,hold,18,35701000,0.094,1741357056,7756782080,0.098,0.24,2817199104,66.974,7.46,0.02688,0.07498,1752599000,1284729728,1509862016,-0.384,0.044,0.63945,0.61812,0.31087,USD,2.5877
6,Two North Riverside Plaza,Suite 400,Chicago,IL,60606-2624,United States,312 474 1300,312 454 8703,https://www.equityapartments.com,REIT—Residential,Real Estate,"Equity Residential is committed to creating communities where people thrive. The Company, a member of the S&P 500, is focused on the acquisition, development and management of residential properties located in and around dynamic cities that attract affluent long-term renters. Equity Residential owns or has investments in 304 properties consisting of 80,212 apartment units, with an established presence in Boston, New York, Washington, D.C., Seattle, San Francisco and Southern California, and an expanding presence in Denver, Atlanta, Dallas/Ft. Worth and Austin.",2400,"{'maxAge': 1, 'name': 'Mr. Martin J. McKenna', 'title': 'First VP of Investor & PR', 'exercisedValue': 0, 'unexercisedValue': 0}",5,9,1,9,7,1693526400,1672444800,86400,2,63.21,62.97,62.77,63.49,63.21,62.97,62.77,63.49,2.65,0.0419,1687478400,1.2106,3.38,0.837828,29.792454,37.37278,2366072,2366072,1610848,1675410,1675410,62.56,64.0,800,800,23939661824,54.6,72.49,8.497682,65.3704,62.83865,2.575,0.040737227,USD,32274995200,0.29578,377353297,379032000,5535766,6203932,1690761600,1693440000,0.0146,0.01715,0.92591006,3.88,0.0202,28.986,2.178983,1672444800,1703980800,1688083200,-0.379,830193024,2.12,1.69,2.41,2:1,1002844800,11.456,18.534,NYQ,EQUITY,EQR,EQR,Equity Residential,Equity Residential,745162200,America/New_York,EDT,-14400000,63.16,95.0,68.0,72.83,70.0,2.6,hold,18,35701000,0.094,1741357056,7756782080,0.098,0.24,2817199104,66.974,7.46,0.02688,0.07498,1752599000,1284729728,1509862016,-0.384,0.044,0.63945,0.61812,0.31087,USD,2.5877
7,Two North Riverside Plaza,Suite 400,Chicago,IL,60606-2624,United States,312 474 1300,312 454 8703,https://www.equityapartments.com,REIT—Residential,Real Estate,"Equity Residential is committed to creating communities where people thrive. The Company, a member of the S&P 500, is focused on the acquisition, development and management of residential properties located in and around dynamic cities that attract affluent long-term renters. Equity Residential owns or has investments in 304 properties consisting of 80,212 apartment units, with an established presence in Boston, New York, Washington, D.C., Seattle, San Francisco and Southern California, and an expanding presence in Denver, Atlanta, Dallas/Ft. Worth and Austin.",2400,"{'maxAge': 1, 'name': 'Ms. Catherine M. Carraway', 'age': 61, 'title': 'Exec. VP & Chief HR Officer', 'yearBorn': 1961, 'exercisedValue': 0, 'unexercisedValue': 0}",5,9,1,9,7,1693526400,1672444800,86400,2,63.21,62.97,62.77,63.49,63.21,62.97,62.77,63.49,2.65,0.0419,1687478400,1.2106,3.38,0.837828,29.792454,37.37278,2366072,2366072,1610848,1675410,1675410,62.56,64.0,800,800,23939661824,54.6,72.49,8.497682,65.3704,62.83865,2.575,0.040737227,USD,32274995200,0.29578,377353297,379032000,5535766,6203932,1690761600,1693440000,0.0146,0.01715,0.92591006,3.88,0.0202,28.986,2.178983,1672444800,1703980800,1688083200,-0.379,830193024,2.12,1.69,2.41,2:1,1002844800,11.456,18.534,NYQ,EQUITY,EQR,EQR,Equity Residential,Equity Residential,745162200,America/New_York,EDT,-14400000,63.16,95.0,68.0,72.83,70.0,2.6,hold,18,35701000,0.094,1741357056,7756782080,0.098,0.24,2817199104,66.974,7.46,0.02688,0.07498,1752599000,1284729728,1509862016,-0.384,0.044,0.63945,0.61812,0.31087,USD,2.5877
8,Two North Riverside Plaza,Suite 400,Chicago,IL,60606-2624,United States,312 474 1300,312 454 8703,https://www.equityapartments.com,REIT—Residential,Real Estate,"Equity Residential is committed to creating communities where people thrive. The Company, a member of the S&P 500, is focused on the acquisition, development and management of residential properties located in and around dynamic cities that attract affluent long-term renters. Equity Residential owns or has investments in 304 properties consisting of 80,212 apartment units, with an established presence in Boston, New York, Washington, D.C., Seattle, San Francisco and Southern California, and an expanding presence in Denver, Atlanta, Dallas/Ft. Worth and Austin.",2400,"{'maxAge': 1, 'name': 'Mr. John G. Lennox', 'age': 68, 'title': 'Sr. VP of Financial Planning & Analysis', 'yearBorn': 1954, 'exercisedValue': 0, 'unexercisedValue': 0}",5,9,1,9,7,1693526400,1672444800,86400,2,63.21,62.97,62.77,63.49,63.21,62.97,62.77,63.49,2.65,0.0419,1687478400,1.2106,3.38,0.837828,29.792454,37.37278,2366072,2366072,1610848,1675410,1675410,62.56,64.0,800,800,23939661824,54.6,72.49,8.497682,65.3704,62.83865,2.575,0.040737227,USD,32274995200,0.29578,377353297,379032000,5535766,6203932,1690761600,1693440000,0.0146,0.01715,0.92591006,3.88,0.0202,28.986,2.178983,1672444800,1703980800,1688083200,-0.379,830193024,2.12,1.69,2.41,2:1,1002844800,11.456,18.534,NYQ,EQUITY,EQR,EQR,Equity Residential,Equity Residential,745162200,America/New_York,EDT,-14400000,63.16,95.0,68.0,72.83,70.0,2.6,hold,18,35701000,0.094,1741357056,7756782080,0.098,0.24,2817199104,66.974,7.46,0.02688,0.07498,1752599000,1284729728,1509862016,-0.384,0.044,0.63945,0.61812,0.31087,USD,2.5877
9,Two North Riverside Plaza,Suite 400,Chicago,IL,60606-2624,United States,312 474 1300,312 454 8703,https://www.equityapartments.com,REIT—Residential,Real Estate,"Equity Residential is committed to creating communities where people thrive. The Company, a member of the S&P 500, is focused on the acquisition, development and management of residential properties located in and around dynamic cities that attract affluent long-term renters. Equity Residential owns or has investments in 304 properties consisting of 80,212 apartment units, with an established presence in Boston, New York, Washington, D.C., Seattle, San Francisco and Southern California, and an expanding presence in Denver, Atlanta, Dallas/Ft. Worth and Austin.",2400,"{'maxAge': 1, 'name': 'Mr. Barry S. Altshuler', 'age': 63, 'title': 'Exec. VP of Investments', 'yearBorn': 1959, 'exercisedValue': 0, 'unexercisedValue': 0}",5,9,1,9,7,1693526400,1672444800,86400,2,63.21,62.97,62.77,63.49,63.21,62.97,62.77,63.49,2.65,0.0419,1687478400,1.2106,3.38,0.837828,29.792454,37.37278,2366072,2366072,1610848,1675410,1675410,62.56,64.0,800,800,23939661824,54.6,72.49,8.497682,65.3704,62.83865,2.575,0.040737227,USD,32274995200,0.29578,377353297,379032000,5535766,6203932,1690761600,1693440000,0.0146,0.01715,0.92591006,3.88,0.0202,28.986,2.178983,1672444800,1703980800,1688083200,-0.379,830193024,2.12,1.69,2.41,2:1,1002844800,11.456,18.534,NYQ,EQUITY,EQR,EQR,Equity Residential,Equity Residential,745162200,America/New_York,EDT,-14400000,63.16,95.0,68.0,72.83,70.0,2.6,hold,18,35701000,0.094,1741357056,7756782080,0.098,0.24,2817199104,66.974,7.46,0.02688,0.07498,1752599000,1284729728,1509862016,-0.384,0.044,0.63945,0.61812,0.31087,USD,2.5877
