,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,2100 McKinney Avenue,Suite 1500,Dallas,TX,75201,United States,469-621-3001,469-621-3002,https://www.sixthstreetspecialtylending.com,Asset Management,Financial Services,"Sixth Street Specialty Lending, Inc. (NYSE: TSLX) is a business development company. The fund provides senior secured loans (first-lien, second-lien, and unitranche), unsecured loans, mezzanine debt, and investments in corporate bonds and equity securities and structured products, non-control structured equity, and common equity with a focus on co-investments for organic growth, acquisitions, market or product expansion, restructuring initiatives, recapitalizations, and refinancing. The fund invests in business services, software & technology, healthcare, energy, consumer & retail, manufacturing, industrials, royalty related businesses, education, and specialty finance. It seeks to finance and lending to middle market companies principally located in the United States. The fund invests in companies with enterprise value between $50 million and $1 billion or more and EBITDA between $10 million and $250 million. The transaction size is between $15 million and $350 million. The fund invests across the spectrum of the capital structure and can arrange syndicated transactions of up to $500 million and hold sizeable positions within its credits.","{'maxAge': 1, 'name': 'Mr. Joshua  Easterly', 'age': 46, 'title': 'CEO & Chairman', 'yearBorn': 1976, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,20.16,20.19,20.11,20.35,20.16,20.19,20.11,20.35,2.02,0.0995,1694649600,0.8348,7.86,1.061549,8.830435,9.107623,346369,346369,331395,335870,335870,20.33,20.35,1000,900,1771868672,16.02,20.97,4.6371856,19.958,18.7324,1.92,0.0952381,USD,3384430336,0.48871,87241200,1210574,1090435,1690761600,1693440000,0.0139,0.00425,0.40532002,3.62,0.014400001,16.741,1.2131892,1672444800,1703980800,1688083200,186735008,2.3,2.23,4.42,66:1,1386028800,8.857,NYQ,EQUITY,TSLX,TSLX,"Sixth Street Specialty Lending,","Sixth Street Specialty Lending, Inc.",1395408600,America/New_York,EDT,-14400000,20.31,22.0,20.0,21.45,22.0,2.0,buy,10,10740000,0.123,1623300992,0.094,0.144,382100000,111.145,4.686,0.06264,0.13819,309305000,93088376,-376387008,0.684,1.0,0.0,0.75034,USD,
1,2100 McKinney Avenue,Suite 1500,Dallas,TX,75201,United States,469-621-3001,469-621-3002,https://www.sixthstreetspecialtylending.com,Asset Management,Financial Services,"Sixth Street Specialty Lending, Inc. (NYSE: TSLX) is a business development company. The fund provides senior secured loans (first-lien, second-lien, and unitranche), unsecured loans, mezzanine debt, and investments in corporate bonds and equity securities and structured products, non-control structured equity, and common equity with a focus on co-investments for organic growth, acquisitions, market or product expansion, restructuring initiatives, recapitalizations, and refinancing. The fund invests in business services, software & technology, healthcare, energy, consumer & retail, manufacturing, industrials, royalty related businesses, education, and specialty finance. It seeks to finance and lending to middle market companies principally located in the United States. The fund invests in companies with enterprise value between $50 million and $1 billion or more and EBITDA between $10 million and $250 million. The transaction size is between $15 million and $350 million. The fund invests across the spectrum of the capital structure and can arrange syndicated transactions of up to $500 million and hold sizeable positions within its credits.","{'maxAge': 1, 'name': 'Mr. Robert  Stanley', 'age': 47, 'title': 'Pres', 'yearBorn': 1975, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,20.16,20.19,20.11,20.35,20.16,20.19,20.11,20.35,2.02,0.0995,1694649600,0.8348,7.86,1.061549,8.830435,9.107623,346369,346369,331395,335870,335870,20.33,20.35,1000,900,1771868672,16.02,20.97,4.6371856,19.958,18.7324,1.92,0.0952381,USD,3384430336,0.48871,87241200,1210574,1090435,1690761600,1693440000,0.0139,0.00425,0.40532002,3.62,0.014400001,16.741,1.2131892,1672444800,1703980800,1688083200,186735008,2.3,2.23,4.42,66:1,1386028800,8.857,NYQ,EQUITY,TSLX,TSLX,"Sixth Street Specialty Lending,","Sixth Street Specialty Lending, Inc.",1395408600,America/New_York,EDT,-14400000,20.31,22.0,20.0,21.45,22.0,2.0,buy,10,10740000,0.123,1623300992,0.094,0.144,382100000,111.145,4.686,0.06264,0.13819,309305000,93088376,-376387008,0.684,1.0,0.0,0.75034,USD,
2,2100 McKinney Avenue,Suite 1500,Dallas,TX,75201,United States,469-621-3001,469-621-3002,https://www.sixthstreetspecialtylending.com,Asset Management,Financial Services,"Sixth Street Specialty Lending, Inc. (NYSE: TSLX) is a business development company. The fund provides senior secured loans (first-lien, second-lien, and unitranche), unsecured loans, mezzanine debt, and investments in corporate bonds and equity securities and structured products, non-control structured equity, and common equity with a focus on co-investments for organic growth, acquisitions, market or product expansion, restructuring initiatives, recapitalizations, and refinancing. The fund invests in business services, software & technology, healthcare, energy, consumer & retail, manufacturing, industrials, royalty related businesses, education, and specialty finance. It seeks to finance and lending to middle market companies principally located in the United States. The fund invests in companies with enterprise value between $50 million and $1 billion or more and EBITDA between $10 million and $250 million. The transaction size is between $15 million and $350 million. The fund invests across the spectrum of the capital structure and can arrange syndicated transactions of up to $500 million and hold sizeable positions within its credits.","{'maxAge': 1, 'name': 'Mr. Ian  Simmonds', 'age': 50, 'title': 'Chief Financial Officer', 'yearBorn': 1972, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,20.16,20.19,20.11,20.35,20.16,20.19,20.11,20.35,2.02,0.0995,1694649600,0.8348,7.86,1.061549,8.830435,9.107623,346369,346369,331395,335870,335870,20.33,20.35,1000,900,1771868672,16.02,20.97,4.6371856,19.958,18.7324,1.92,0.0952381,USD,3384430336,0.48871,87241200,1210574,1090435,1690761600,1693440000,0.0139,0.00425,0.40532002,3.62,0.014400001,16.741,1.2131892,1672444800,1703980800,1688083200,186735008,2.3,2.23,4.42,66:1,1386028800,8.857,NYQ,EQUITY,TSLX,TSLX,"Sixth Street Specialty Lending,","Sixth Street Specialty Lending, Inc.",1395408600,America/New_York,EDT,-14400000,20.31,22.0,20.0,21.45,22.0,2.0,buy,10,10740000,0.123,1623300992,0.094,0.144,382100000,111.145,4.686,0.06264,0.13819,309305000,93088376,-376387008,0.684,1.0,0.0,0.75034,USD,
3,2100 McKinney Avenue,Suite 1500,Dallas,TX,75201,United States,469-621-3001,469-621-3002,https://www.sixthstreetspecialtylending.com,Asset Management,Financial Services,"Sixth Street Specialty Lending, Inc. (NYSE: TSLX) is a business development company. The fund provides senior secured loans (first-lien, second-lien, and unitranche), unsecured loans, mezzanine debt, and investments in corporate bonds and equity securities and structured products, non-control structured equity, and common equity with a focus on co-investments for organic growth, acquisitions, market or product expansion, restructuring initiatives, recapitalizations, and refinancing. The fund invests in business services, software & technology, healthcare, energy, consumer & retail, manufacturing, industrials, royalty related businesses, education, and specialty finance. It seeks to finance and lending to middle market companies principally located in the United States. The fund invests in companies with enterprise value between $50 million and $1 billion or more and EBITDA between $10 million and $250 million. The transaction size is between $15 million and $350 million. The fund invests across the spectrum of the capital structure and can arrange syndicated transactions of up to $500 million and hold sizeable positions within its credits.","{'maxAge': 1, 'name': 'Mr. Michael  Graf CPA', 'age': 40, 'title': 'Deputy CFO & Principal Accounting Officer', 'yearBorn': 1982, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,20.16,20.19,20.11,20.35,20.16,20.19,20.11,20.35,2.02,0.0995,1694649600,0.8348,7.86,1.061549,8.830435,9.107623,346369,346369,331395,335870,335870,20.33,20.35,1000,900,1771868672,16.02,20.97,4.6371856,19.958,18.7324,1.92,0.0952381,USD,3384430336,0.48871,87241200,1210574,1090435,1690761600,1693440000,0.0139,0.00425,0.40532002,3.62,0.014400001,16.741,1.2131892,1672444800,1703980800,1688083200,186735008,2.3,2.23,4.42,66:1,1386028800,8.857,NYQ,EQUITY,TSLX,TSLX,"Sixth Street Specialty Lending,","Sixth Street Specialty Lending, Inc.",1395408600,America/New_York,EDT,-14400000,20.31,22.0,20.0,21.45,22.0,2.0,buy,10,10740000,0.123,1623300992,0.094,0.144,382100000,111.145,4.686,0.06264,0.13819,309305000,93088376,-376387008,0.684,1.0,0.0,0.75034,USD,
4,2100 McKinney Avenue,Suite 1500,Dallas,TX,75201,United States,469-621-3001,469-621-3002,https://www.sixthstreetspecialtylending.com,Asset Management,Financial Services,"Sixth Street Specialty Lending, Inc. (NYSE: TSLX) is a business development company. The fund provides senior secured loans (first-lien, second-lien, and unitranche), unsecured loans, mezzanine debt, and investments in corporate bonds and equity securities and structured products, non-control structured equity, and common equity with a focus on co-investments for organic growth, acquisitions, market or product expansion, restructuring initiatives, recapitalizations, and refinancing. The fund invests in business services, software & technology, healthcare, energy, consumer & retail, manufacturing, industrials, royalty related businesses, education, and specialty finance. It seeks to finance and lending to middle market companies principally located in the United States. The fund invests in companies with enterprise value between $50 million and $1 billion or more and EBITDA between $10 million and $250 million. The transaction size is between $15 million and $350 million. The fund invests across the spectrum of the capital structure and can arrange syndicated transactions of up to $500 million and hold sizeable positions within its credits.","{'maxAge': 1, 'name': 'Ms. Cami  VanHorn', 'title': 'Head of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,20.16,20.19,20.11,20.35,20.16,20.19,20.11,20.35,2.02,0.0995,1694649600,0.8348,7.86,1.061549,8.830435,9.107623,346369,346369,331395,335870,335870,20.33,20.35,1000,900,1771868672,16.02,20.97,4.6371856,19.958,18.7324,1.92,0.0952381,USD,3384430336,0.48871,87241200,1210574,1090435,1690761600,1693440000,0.0139,0.00425,0.40532002,3.62,0.014400001,16.741,1.2131892,1672444800,1703980800,1688083200,186735008,2.3,2.23,4.42,66:1,1386028800,8.857,NYQ,EQUITY,TSLX,TSLX,"Sixth Street Specialty Lending,","Sixth Street Specialty Lending, Inc.",1395408600,America/New_York,EDT,-14400000,20.31,22.0,20.0,21.45,22.0,2.0,buy,10,10740000,0.123,1623300992,0.094,0.144,382100000,111.145,4.686,0.06264,0.13819,309305000,93088376,-376387008,0.684,1.0,0.0,0.75034,USD,
5,2100 McKinney Avenue,Suite 1500,Dallas,TX,75201,United States,469-621-3001,469-621-3002,https://www.sixthstreetspecialtylending.com,Asset Management,Financial Services,"Sixth Street Specialty Lending, Inc. (NYSE: TSLX) is a business development company. The fund provides senior secured loans (first-lien, second-lien, and unitranche), unsecured loans, mezzanine debt, and investments in corporate bonds and equity securities and structured products, non-control structured equity, and common equity with a focus on co-investments for organic growth, acquisitions, market or product expansion, restructuring initiatives, recapitalizations, and refinancing. The fund invests in business services, software & technology, healthcare, energy, consumer & retail, manufacturing, industrials, royalty related businesses, education, and specialty finance. It seeks to finance and lending to middle market companies principally located in the United States. The fund invests in companies with enterprise value between $50 million and $1 billion or more and EBITDA between $10 million and $250 million. The transaction size is between $15 million and $350 million. The fund invests across the spectrum of the capital structure and can arrange syndicated transactions of up to $500 million and hold sizeable positions within its credits.","{'maxAge': 1, 'name': 'Mr. Anton  Brett', 'age': 34, 'title': 'Chief Compliance Officer & Sec.', 'yearBorn': 1988, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,20.16,20.19,20.11,20.35,20.16,20.19,20.11,20.35,2.02,0.0995,1694649600,0.8348,7.86,1.061549,8.830435,9.107623,346369,346369,331395,335870,335870,20.33,20.35,1000,900,1771868672,16.02,20.97,4.6371856,19.958,18.7324,1.92,0.0952381,USD,3384430336,0.48871,87241200,1210574,1090435,1690761600,1693440000,0.0139,0.00425,0.40532002,3.62,0.014400001,16.741,1.2131892,1672444800,1703980800,1688083200,186735008,2.3,2.23,4.42,66:1,1386028800,8.857,NYQ,EQUITY,TSLX,TSLX,"Sixth Street Specialty Lending,","Sixth Street Specialty Lending, Inc.",1395408600,America/New_York,EDT,-14400000,20.31,22.0,20.0,21.45,22.0,2.0,buy,10,10740000,0.123,1623300992,0.094,0.144,382100000,111.145,4.686,0.06264,0.13819,309305000,93088376,-376387008,0.684,1.0,0.0,0.75034,USD,
6,2100 McKinney Avenue,Suite 1500,Dallas,TX,75201,United States,469-621-3001,469-621-3002,https://www.sixthstreetspecialtylending.com,Asset Management,Financial Services,"Sixth Street Specialty Lending, Inc. (NYSE: TSLX) is a business development company. The fund provides senior secured loans (first-lien, second-lien, and unitranche), unsecured loans, mezzanine debt, and investments in corporate bonds and equity securities and structured products, non-control structured equity, and common equity with a focus on co-investments for organic growth, acquisitions, market or product expansion, restructuring initiatives, recapitalizations, and refinancing. The fund invests in business services, software & technology, healthcare, energy, consumer & retail, manufacturing, industrials, royalty related businesses, education, and specialty finance. It seeks to finance and lending to middle market companies principally located in the United States. The fund invests in companies with enterprise value between $50 million and $1 billion or more and EBITDA between $10 million and $250 million. The transaction size is between $15 million and $350 million. The fund invests across the spectrum of the capital structure and can arrange syndicated transactions of up to $500 million and hold sizeable positions within its credits.","{'maxAge': 1, 'name': 'Mr. David  Stiepleman', 'age': 50, 'title': 'VP & Non-Independent Director', 'yearBorn': 1972, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,20.16,20.19,20.11,20.35,20.16,20.19,20.11,20.35,2.02,0.0995,1694649600,0.8348,7.86,1.061549,8.830435,9.107623,346369,346369,331395,335870,335870,20.33,20.35,1000,900,1771868672,16.02,20.97,4.6371856,19.958,18.7324,1.92,0.0952381,USD,3384430336,0.48871,87241200,1210574,1090435,1690761600,1693440000,0.0139,0.00425,0.40532002,3.62,0.014400001,16.741,1.2131892,1672444800,1703980800,1688083200,186735008,2.3,2.23,4.42,66:1,1386028800,8.857,NYQ,EQUITY,TSLX,TSLX,"Sixth Street Specialty Lending,","Sixth Street Specialty Lending, Inc.",1395408600,America/New_York,EDT,-14400000,20.31,22.0,20.0,21.45,22.0,2.0,buy,10,10740000,0.123,1623300992,0.094,0.144,382100000,111.145,4.686,0.06264,0.13819,309305000,93088376,-376387008,0.684,1.0,0.0,0.75034,USD,
7,2100 McKinney Avenue,Suite 1500,Dallas,TX,75201,United States,469-621-3001,469-621-3002,https://www.sixthstreetspecialtylending.com,Asset Management,Financial Services,"Sixth Street Specialty Lending, Inc. (NYSE: TSLX) is a business development company. The fund provides senior secured loans (first-lien, second-lien, and unitranche), unsecured loans, mezzanine debt, and investments in corporate bonds and equity securities and structured products, non-control structured equity, and common equity with a focus on co-investments for organic growth, acquisitions, market or product expansion, restructuring initiatives, recapitalizations, and refinancing. The fund invests in business services, software & technology, healthcare, energy, consumer & retail, manufacturing, industrials, royalty related businesses, education, and specialty finance. It seeks to finance and lending to middle market companies principally located in the United States. The fund invests in companies with enterprise value between $50 million and $1 billion or more and EBITDA between $10 million and $250 million. The transaction size is between $15 million and $350 million. The fund invests across the spectrum of the capital structure and can arrange syndicated transactions of up to $500 million and hold sizeable positions within its credits.","{'maxAge': 1, 'name': 'Mr. Michael E. Fishman', 'age': 59, 'title': 'VP & Non-Independent Director', 'yearBorn': 1963, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,20.16,20.19,20.11,20.35,20.16,20.19,20.11,20.35,2.02,0.0995,1694649600,0.8348,7.86,1.061549,8.830435,9.107623,346369,346369,331395,335870,335870,20.33,20.35,1000,900,1771868672,16.02,20.97,4.6371856,19.958,18.7324,1.92,0.0952381,USD,3384430336,0.48871,87241200,1210574,1090435,1690761600,1693440000,0.0139,0.00425,0.40532002,3.62,0.014400001,16.741,1.2131892,1672444800,1703980800,1688083200,186735008,2.3,2.23,4.42,66:1,1386028800,8.857,NYQ,EQUITY,TSLX,TSLX,"Sixth Street Specialty Lending,","Sixth Street Specialty Lending, Inc.",1395408600,America/New_York,EDT,-14400000,20.31,22.0,20.0,21.45,22.0,2.0,buy,10,10740000,0.123,1623300992,0.094,0.144,382100000,111.145,4.686,0.06264,0.13819,309305000,93088376,-376387008,0.684,1.0,0.0,0.75034,USD,
8,2100 McKinney Avenue,Suite 1500,Dallas,TX,75201,United States,469-621-3001,469-621-3002,https://www.sixthstreetspecialtylending.com,Asset Management,Financial Services,"Sixth Street Specialty Lending, Inc. (NYSE: TSLX) is a business development company. The fund provides senior secured loans (first-lien, second-lien, and unitranche), unsecured loans, mezzanine debt, and investments in corporate bonds and equity securities and structured products, non-control structured equity, and common equity with a focus on co-investments for organic growth, acquisitions, market or product expansion, restructuring initiatives, recapitalizations, and refinancing. The fund invests in business services, software & technology, healthcare, energy, consumer & retail, manufacturing, industrials, royalty related businesses, education, and specialty finance. It seeks to finance and lending to middle market companies principally located in the United States. The fund invests in companies with enterprise value between $50 million and $1 billion or more and EBITDA between $10 million and $250 million. The transaction size is between $15 million and $350 million. The fund invests across the spectrum of the capital structure and can arrange syndicated transactions of up to $500 million and hold sizeable positions within its credits.","{'maxAge': 1, 'name': 'Ms. Jennifer E. Gordon J.D.', 'age': 46, 'title': 'VP & Non-Independent Director', 'yearBorn': 1976, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,20.16,20.19,20.11,20.35,20.16,20.19,20.11,20.35,2.02,0.0995,1694649600,0.8348,7.86,1.061549,8.830435,9.107623,346369,346369,331395,335870,335870,20.33,20.35,1000,900,1771868672,16.02,20.97,4.6371856,19.958,18.7324,1.92,0.0952381,USD,3384430336,0.48871,87241200,1210574,1090435,1690761600,1693440000,0.0139,0.00425,0.40532002,3.62,0.014400001,16.741,1.2131892,1672444800,1703980800,1688083200,186735008,2.3,2.23,4.42,66:1,1386028800,8.857,NYQ,EQUITY,TSLX,TSLX,"Sixth Street Specialty Lending,","Sixth Street Specialty Lending, Inc.",1395408600,America/New_York,EDT,-14400000,20.31,22.0,20.0,21.45,22.0,2.0,buy,10,10740000,0.123,1623300992,0.094,0.144,382100000,111.145,4.686,0.06264,0.13819,309305000,93088376,-376387008,0.684,1.0,0.0,0.75034,USD,
9,2100 McKinney Avenue,Suite 1500,Dallas,TX,75201,United States,469-621-3001,469-621-3002,https://www.sixthstreetspecialtylending.com,Asset Management,Financial Services,"Sixth Street Specialty Lending, Inc. (NYSE: TSLX) is a business development company. The fund provides senior secured loans (first-lien, second-lien, and unitranche), unsecured loans, mezzanine debt, and investments in corporate bonds and equity securities and structured products, non-control structured equity, and common equity with a focus on co-investments for organic growth, acquisitions, market or product expansion, restructuring initiatives, recapitalizations, and refinancing. The fund invests in business services, software & technology, healthcare, energy, consumer & retail, manufacturing, industrials, royalty related businesses, education, and specialty finance. It seeks to finance and lending to middle market companies principally located in the United States. The fund invests in companies with enterprise value between $50 million and $1 billion or more and EBITDA between $10 million and $250 million. The transaction size is between $15 million and $350 million. The fund invests across the spectrum of the capital structure and can arrange syndicated transactions of up to $500 million and hold sizeable positions within its credits.","{'maxAge': 1, 'name': 'Mr. Steven Sam Pluss', 'age': 59, 'title': 'VP', 'yearBorn': 1963, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,20.16,20.19,20.11,20.35,20.16,20.19,20.11,20.35,2.02,0.0995,1694649600,0.8348,7.86,1.061549,8.830435,9.107623,346369,346369,331395,335870,335870,20.33,20.35,1000,900,1771868672,16.02,20.97,4.6371856,19.958,18.7324,1.92,0.0952381,USD,3384430336,0.48871,87241200,1210574,1090435,1690761600,1693440000,0.0139,0.00425,0.40532002,3.62,0.014400001,16.741,1.2131892,1672444800,1703980800,1688083200,186735008,2.3,2.23,4.42,66:1,1386028800,8.857,NYQ,EQUITY,TSLX,TSLX,"Sixth Street Specialty Lending,","Sixth Street Specialty Lending, Inc.",1395408600,America/New_York,EDT,-14400000,20.31,22.0,20.0,21.45,22.0,2.0,buy,10,10740000,0.123,1623300992,0.094,0.144,382100000,111.145,4.686,0.06264,0.13819,309305000,93088376,-376387008,0.684,1.0,0.0,0.75034,USD,
