,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,1521 Westbranch Drive,Suite 100,McLean,VA,22102,United States,703-287-5800,703-287-5901,https://www.gladstonecapital.com,Asset Management,Financial Services,"Gladstone Capital Corporation is a business development company specializing in lower middle market, growth capital, add on acquisitions, change of control, buy & build strategies, debt refinancing, debt investments in senior term loans, revolving loans, secured first and second lien term loans, senior subordinated loans, unitranche loans, junior subordinated loans, and mezzanine loans and equity investments in the form of common stock, preferred stock, limited liability company interests, or warrants. It operates as a business development company. The fund also makes private equity investments in acquisitions, buyouts and recapitalizations, and refinancing existing debts. It targets small and medium-sized companies in United States. It is industry agnostic and seeks to invest in companies engaged in the business services, light and specialty manufacturing, niche industrial products and services, specialty consumer products and services, energy services, transportation and logistics, healthcare and education services, specialty chemicals, media and communications and aerospace and defense. The fund seeks to invest between $7 million and $30 million in companies that have between $20 million and $150 million in sales and EBITDA between $3 million and $25 million. It prefers to acquire minority stakes. It seeks to exit its investments through strategic acquisitions by other industry participants or financial buyers, initial public offerings of common stock, or other capital market transactions.","{'maxAge': 1, 'name': 'Mr. David John Gladstone', 'age': 80, 'title': 'Chairman & CEO', 'yearBorn': 1942, 'fiscalYear': 2005, 'exercisedValue': 0, 'unexercisedValue': 0}",1230681600,86400,2,10.12,10.14,10.11,10.26,10.12,10.14,10.11,10.26,0.99,0.0971,1695168000,0.91410005,8.73,1.309128,10.625,8.717949,286254,286254,307837,440990,440990,10.19,10.2,1000,1100,393727136,8.21,11.28,5.0081677,10.4388,9.9045,0.877,0.08666008,USD,753731968,0.44105998,38600700,263447,391904,1690761600,1693440000,0.0068,0.033180002,0.10615,0.64,0.0072000003,9.273,1.0999676,1664496000,1696032000,1688083200,34675000,0.96,1.17,1.82,9.587,NMS,EQUITY,GLAD,GLAD,Gladstone Capital Corporation,Gladstone Capital Corporation,1028295000,America/New_York,EDT,-14400000,10.2,12.0,10.0,11.0,11.0,2.6,hold,2,1681000,0.044,361686016,1.181,1.298,78617000,101.045,2.184,0.05451,0.103369996,63150000,25404750,-91528000,0.656,1.0,0.0,0.73623,USD,
1,1521 Westbranch Drive,Suite 100,McLean,VA,22102,United States,703-287-5800,703-287-5901,https://www.gladstonecapital.com,Asset Management,Financial Services,"Gladstone Capital Corporation is a business development company specializing in lower middle market, growth capital, add on acquisitions, change of control, buy & build strategies, debt refinancing, debt investments in senior term loans, revolving loans, secured first and second lien term loans, senior subordinated loans, unitranche loans, junior subordinated loans, and mezzanine loans and equity investments in the form of common stock, preferred stock, limited liability company interests, or warrants. It operates as a business development company. The fund also makes private equity investments in acquisitions, buyouts and recapitalizations, and refinancing existing debts. It targets small and medium-sized companies in United States. It is industry agnostic and seeks to invest in companies engaged in the business services, light and specialty manufacturing, niche industrial products and services, specialty consumer products and services, energy services, transportation and logistics, healthcare and education services, specialty chemicals, media and communications and aerospace and defense. The fund seeks to invest between $7 million and $30 million in companies that have between $20 million and $150 million in sales and EBITDA between $3 million and $25 million. It prefers to acquire minority stakes. It seeks to exit its investments through strategic acquisitions by other industry participants or financial buyers, initial public offerings of common stock, or other capital market transactions.","{'maxAge': 1, 'name': 'Mr. Terry Lee Brubaker', 'age': 78, 'title': 'Chief Operating Officer', 'yearBorn': 1944, 'fiscalYear': 2006, 'exercisedValue': 0, 'unexercisedValue': 0}",1230681600,86400,2,10.12,10.14,10.11,10.26,10.12,10.14,10.11,10.26,0.99,0.0971,1695168000,0.91410005,8.73,1.309128,10.625,8.717949,286254,286254,307837,440990,440990,10.19,10.2,1000,1100,393727136,8.21,11.28,5.0081677,10.4388,9.9045,0.877,0.08666008,USD,753731968,0.44105998,38600700,263447,391904,1690761600,1693440000,0.0068,0.033180002,0.10615,0.64,0.0072000003,9.273,1.0999676,1664496000,1696032000,1688083200,34675000,0.96,1.17,1.82,9.587,NMS,EQUITY,GLAD,GLAD,Gladstone Capital Corporation,Gladstone Capital Corporation,1028295000,America/New_York,EDT,-14400000,10.2,12.0,10.0,11.0,11.0,2.6,hold,2,1681000,0.044,361686016,1.181,1.298,78617000,101.045,2.184,0.05451,0.103369996,63150000,25404750,-91528000,0.656,1.0,0.0,0.73623,USD,
2,1521 Westbranch Drive,Suite 100,McLean,VA,22102,United States,703-287-5800,703-287-5901,https://www.gladstonecapital.com,Asset Management,Financial Services,"Gladstone Capital Corporation is a business development company specializing in lower middle market, growth capital, add on acquisitions, change of control, buy & build strategies, debt refinancing, debt investments in senior term loans, revolving loans, secured first and second lien term loans, senior subordinated loans, unitranche loans, junior subordinated loans, and mezzanine loans and equity investments in the form of common stock, preferred stock, limited liability company interests, or warrants. It operates as a business development company. The fund also makes private equity investments in acquisitions, buyouts and recapitalizations, and refinancing existing debts. It targets small and medium-sized companies in United States. It is industry agnostic and seeks to invest in companies engaged in the business services, light and specialty manufacturing, niche industrial products and services, specialty consumer products and services, energy services, transportation and logistics, healthcare and education services, specialty chemicals, media and communications and aerospace and defense. The fund seeks to invest between $7 million and $30 million in companies that have between $20 million and $150 million in sales and EBITDA between $3 million and $25 million. It prefers to acquire minority stakes. It seeks to exit its investments through strategic acquisitions by other industry participants or financial buyers, initial public offerings of common stock, or other capital market transactions.","{'maxAge': 1, 'name': 'Mr. Robert L. Marcotte', 'age': 64, 'title': 'Pres', 'yearBorn': 1958, 'exercisedValue': 0, 'unexercisedValue': 0}",1230681600,86400,2,10.12,10.14,10.11,10.26,10.12,10.14,10.11,10.26,0.99,0.0971,1695168000,0.91410005,8.73,1.309128,10.625,8.717949,286254,286254,307837,440990,440990,10.19,10.2,1000,1100,393727136,8.21,11.28,5.0081677,10.4388,9.9045,0.877,0.08666008,USD,753731968,0.44105998,38600700,263447,391904,1690761600,1693440000,0.0068,0.033180002,0.10615,0.64,0.0072000003,9.273,1.0999676,1664496000,1696032000,1688083200,34675000,0.96,1.17,1.82,9.587,NMS,EQUITY,GLAD,GLAD,Gladstone Capital Corporation,Gladstone Capital Corporation,1028295000,America/New_York,EDT,-14400000,10.2,12.0,10.0,11.0,11.0,2.6,hold,2,1681000,0.044,361686016,1.181,1.298,78617000,101.045,2.184,0.05451,0.103369996,63150000,25404750,-91528000,0.656,1.0,0.0,0.73623,USD,
3,1521 Westbranch Drive,Suite 100,McLean,VA,22102,United States,703-287-5800,703-287-5901,https://www.gladstonecapital.com,Asset Management,Financial Services,"Gladstone Capital Corporation is a business development company specializing in lower middle market, growth capital, add on acquisitions, change of control, buy & build strategies, debt refinancing, debt investments in senior term loans, revolving loans, secured first and second lien term loans, senior subordinated loans, unitranche loans, junior subordinated loans, and mezzanine loans and equity investments in the form of common stock, preferred stock, limited liability company interests, or warrants. It operates as a business development company. The fund also makes private equity investments in acquisitions, buyouts and recapitalizations, and refinancing existing debts. It targets small and medium-sized companies in United States. It is industry agnostic and seeks to invest in companies engaged in the business services, light and specialty manufacturing, niche industrial products and services, specialty consumer products and services, energy services, transportation and logistics, healthcare and education services, specialty chemicals, media and communications and aerospace and defense. The fund seeks to invest between $7 million and $30 million in companies that have between $20 million and $150 million in sales and EBITDA between $3 million and $25 million. It prefers to acquire minority stakes. It seeks to exit its investments through strategic acquisitions by other industry participants or financial buyers, initial public offerings of common stock, or other capital market transactions.","{'maxAge': 1, 'name': 'Ms. Nicole  Schaltenbrand CPA', 'age': 40, 'title': 'CFO & Treasurer', 'yearBorn': 1982, 'exercisedValue': 0, 'unexercisedValue': 0}",1230681600,86400,2,10.12,10.14,10.11,10.26,10.12,10.14,10.11,10.26,0.99,0.0971,1695168000,0.91410005,8.73,1.309128,10.625,8.717949,286254,286254,307837,440990,440990,10.19,10.2,1000,1100,393727136,8.21,11.28,5.0081677,10.4388,9.9045,0.877,0.08666008,USD,753731968,0.44105998,38600700,263447,391904,1690761600,1693440000,0.0068,0.033180002,0.10615,0.64,0.0072000003,9.273,1.0999676,1664496000,1696032000,1688083200,34675000,0.96,1.17,1.82,9.587,NMS,EQUITY,GLAD,GLAD,Gladstone Capital Corporation,Gladstone Capital Corporation,1028295000,America/New_York,EDT,-14400000,10.2,12.0,10.0,11.0,11.0,2.6,hold,2,1681000,0.044,361686016,1.181,1.298,78617000,101.045,2.184,0.05451,0.103369996,63150000,25404750,-91528000,0.656,1.0,0.0,0.73623,USD,
4,1521 Westbranch Drive,Suite 100,McLean,VA,22102,United States,703-287-5800,703-287-5901,https://www.gladstonecapital.com,Asset Management,Financial Services,"Gladstone Capital Corporation is a business development company specializing in lower middle market, growth capital, add on acquisitions, change of control, buy & build strategies, debt refinancing, debt investments in senior term loans, revolving loans, secured first and second lien term loans, senior subordinated loans, unitranche loans, junior subordinated loans, and mezzanine loans and equity investments in the form of common stock, preferred stock, limited liability company interests, or warrants. It operates as a business development company. The fund also makes private equity investments in acquisitions, buyouts and recapitalizations, and refinancing existing debts. It targets small and medium-sized companies in United States. It is industry agnostic and seeks to invest in companies engaged in the business services, light and specialty manufacturing, niche industrial products and services, specialty consumer products and services, energy services, transportation and logistics, healthcare and education services, specialty chemicals, media and communications and aerospace and defense. The fund seeks to invest between $7 million and $30 million in companies that have between $20 million and $150 million in sales and EBITDA between $3 million and $25 million. It prefers to acquire minority stakes. It seeks to exit its investments through strategic acquisitions by other industry participants or financial buyers, initial public offerings of common stock, or other capital market transactions.","{'maxAge': 1, 'name': 'Ms. Karin  McLaughlin', 'title': 'Investor Relation Specialist', 'exercisedValue': 0, 'unexercisedValue': 0}",1230681600,86400,2,10.12,10.14,10.11,10.26,10.12,10.14,10.11,10.26,0.99,0.0971,1695168000,0.91410005,8.73,1.309128,10.625,8.717949,286254,286254,307837,440990,440990,10.19,10.2,1000,1100,393727136,8.21,11.28,5.0081677,10.4388,9.9045,0.877,0.08666008,USD,753731968,0.44105998,38600700,263447,391904,1690761600,1693440000,0.0068,0.033180002,0.10615,0.64,0.0072000003,9.273,1.0999676,1664496000,1696032000,1688083200,34675000,0.96,1.17,1.82,9.587,NMS,EQUITY,GLAD,GLAD,Gladstone Capital Corporation,Gladstone Capital Corporation,1028295000,America/New_York,EDT,-14400000,10.2,12.0,10.0,11.0,11.0,2.6,hold,2,1681000,0.044,361686016,1.181,1.298,78617000,101.045,2.184,0.05451,0.103369996,63150000,25404750,-91528000,0.656,1.0,0.0,0.73623,USD,
5,1521 Westbranch Drive,Suite 100,McLean,VA,22102,United States,703-287-5800,703-287-5901,https://www.gladstonecapital.com,Asset Management,Financial Services,"Gladstone Capital Corporation is a business development company specializing in lower middle market, growth capital, add on acquisitions, change of control, buy & build strategies, debt refinancing, debt investments in senior term loans, revolving loans, secured first and second lien term loans, senior subordinated loans, unitranche loans, junior subordinated loans, and mezzanine loans and equity investments in the form of common stock, preferred stock, limited liability company interests, or warrants. It operates as a business development company. The fund also makes private equity investments in acquisitions, buyouts and recapitalizations, and refinancing existing debts. It targets small and medium-sized companies in United States. It is industry agnostic and seeks to invest in companies engaged in the business services, light and specialty manufacturing, niche industrial products and services, specialty consumer products and services, energy services, transportation and logistics, healthcare and education services, specialty chemicals, media and communications and aerospace and defense. The fund seeks to invest between $7 million and $30 million in companies that have between $20 million and $150 million in sales and EBITDA between $3 million and $25 million. It prefers to acquire minority stakes. It seeks to exit its investments through strategic acquisitions by other industry participants or financial buyers, initial public offerings of common stock, or other capital market transactions.","{'maxAge': 1, 'name': 'Mr. John Anthony Dellafiora Jr., CPA', 'title': 'Chief Compliance Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1230681600,86400,2,10.12,10.14,10.11,10.26,10.12,10.14,10.11,10.26,0.99,0.0971,1695168000,0.91410005,8.73,1.309128,10.625,8.717949,286254,286254,307837,440990,440990,10.19,10.2,1000,1100,393727136,8.21,11.28,5.0081677,10.4388,9.9045,0.877,0.08666008,USD,753731968,0.44105998,38600700,263447,391904,1690761600,1693440000,0.0068,0.033180002,0.10615,0.64,0.0072000003,9.273,1.0999676,1664496000,1696032000,1688083200,34675000,0.96,1.17,1.82,9.587,NMS,EQUITY,GLAD,GLAD,Gladstone Capital Corporation,Gladstone Capital Corporation,1028295000,America/New_York,EDT,-14400000,10.2,12.0,10.0,11.0,11.0,2.6,hold,2,1681000,0.044,361686016,1.181,1.298,78617000,101.045,2.184,0.05451,0.103369996,63150000,25404750,-91528000,0.656,1.0,0.0,0.73623,USD,
6,1521 Westbranch Drive,Suite 100,McLean,VA,22102,United States,703-287-5800,703-287-5901,https://www.gladstonecapital.com,Asset Management,Financial Services,"Gladstone Capital Corporation is a business development company specializing in lower middle market, growth capital, add on acquisitions, change of control, buy & build strategies, debt refinancing, debt investments in senior term loans, revolving loans, secured first and second lien term loans, senior subordinated loans, unitranche loans, junior subordinated loans, and mezzanine loans and equity investments in the form of common stock, preferred stock, limited liability company interests, or warrants. It operates as a business development company. The fund also makes private equity investments in acquisitions, buyouts and recapitalizations, and refinancing existing debts. It targets small and medium-sized companies in United States. It is industry agnostic and seeks to invest in companies engaged in the business services, light and specialty manufacturing, niche industrial products and services, specialty consumer products and services, energy services, transportation and logistics, healthcare and education services, specialty chemicals, media and communications and aerospace and defense. The fund seeks to invest between $7 million and $30 million in companies that have between $20 million and $150 million in sales and EBITDA between $3 million and $25 million. It prefers to acquire minority stakes. It seeks to exit its investments through strategic acquisitions by other industry participants or financial buyers, initial public offerings of common stock, or other capital market transactions.","{'maxAge': 1, 'name': 'Mr. Michael Bernard LiCalsi Esq., J.D.', 'age': 52, 'title': 'Gen. Counsel & Sec.', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}",1230681600,86400,2,10.12,10.14,10.11,10.26,10.12,10.14,10.11,10.26,0.99,0.0971,1695168000,0.91410005,8.73,1.309128,10.625,8.717949,286254,286254,307837,440990,440990,10.19,10.2,1000,1100,393727136,8.21,11.28,5.0081677,10.4388,9.9045,0.877,0.08666008,USD,753731968,0.44105998,38600700,263447,391904,1690761600,1693440000,0.0068,0.033180002,0.10615,0.64,0.0072000003,9.273,1.0999676,1664496000,1696032000,1688083200,34675000,0.96,1.17,1.82,9.587,NMS,EQUITY,GLAD,GLAD,Gladstone Capital Corporation,Gladstone Capital Corporation,1028295000,America/New_York,EDT,-14400000,10.2,12.0,10.0,11.0,11.0,2.6,hold,2,1681000,0.044,361686016,1.181,1.298,78617000,101.045,2.184,0.05451,0.103369996,63150000,25404750,-91528000,0.656,1.0,0.0,0.73623,USD,
7,1521 Westbranch Drive,Suite 100,McLean,VA,22102,United States,703-287-5800,703-287-5901,https://www.gladstonecapital.com,Asset Management,Financial Services,"Gladstone Capital Corporation is a business development company specializing in lower middle market, growth capital, add on acquisitions, change of control, buy & build strategies, debt refinancing, debt investments in senior term loans, revolving loans, secured first and second lien term loans, senior subordinated loans, unitranche loans, junior subordinated loans, and mezzanine loans and equity investments in the form of common stock, preferred stock, limited liability company interests, or warrants. It operates as a business development company. The fund also makes private equity investments in acquisitions, buyouts and recapitalizations, and refinancing existing debts. It targets small and medium-sized companies in United States. It is industry agnostic and seeks to invest in companies engaged in the business services, light and specialty manufacturing, niche industrial products and services, specialty consumer products and services, energy services, transportation and logistics, healthcare and education services, specialty chemicals, media and communications and aerospace and defense. The fund seeks to invest between $7 million and $30 million in companies that have between $20 million and $150 million in sales and EBITDA between $3 million and $25 million. It prefers to acquire minority stakes. It seeks to exit its investments through strategic acquisitions by other industry participants or financial buyers, initial public offerings of common stock, or other capital market transactions.","{'maxAge': 1, 'name': 'Ms. Paula  Novara', 'age': 52, 'title': 'Head of Resource Management & Director', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}",1230681600,86400,2,10.12,10.14,10.11,10.26,10.12,10.14,10.11,10.26,0.99,0.0971,1695168000,0.91410005,8.73,1.309128,10.625,8.717949,286254,286254,307837,440990,440990,10.19,10.2,1000,1100,393727136,8.21,11.28,5.0081677,10.4388,9.9045,0.877,0.08666008,USD,753731968,0.44105998,38600700,263447,391904,1690761600,1693440000,0.0068,0.033180002,0.10615,0.64,0.0072000003,9.273,1.0999676,1664496000,1696032000,1688083200,34675000,0.96,1.17,1.82,9.587,NMS,EQUITY,GLAD,GLAD,Gladstone Capital Corporation,Gladstone Capital Corporation,1028295000,America/New_York,EDT,-14400000,10.2,12.0,10.0,11.0,11.0,2.6,hold,2,1681000,0.044,361686016,1.181,1.298,78617000,101.045,2.184,0.05451,0.103369996,63150000,25404750,-91528000,0.656,1.0,0.0,0.73623,USD,
8,1521 Westbranch Drive,Suite 100,McLean,VA,22102,United States,703-287-5800,703-287-5901,https://www.gladstonecapital.com,Asset Management,Financial Services,"Gladstone Capital Corporation is a business development company specializing in lower middle market, growth capital, add on acquisitions, change of control, buy & build strategies, debt refinancing, debt investments in senior term loans, revolving loans, secured first and second lien term loans, senior subordinated loans, unitranche loans, junior subordinated loans, and mezzanine loans and equity investments in the form of common stock, preferred stock, limited liability company interests, or warrants. It operates as a business development company. The fund also makes private equity investments in acquisitions, buyouts and recapitalizations, and refinancing existing debts. It targets small and medium-sized companies in United States. It is industry agnostic and seeks to invest in companies engaged in the business services, light and specialty manufacturing, niche industrial products and services, specialty consumer products and services, energy services, transportation and logistics, healthcare and education services, specialty chemicals, media and communications and aerospace and defense. The fund seeks to invest between $7 million and $30 million in companies that have between $20 million and $150 million in sales and EBITDA between $3 million and $25 million. It prefers to acquire minority stakes. It seeks to exit its investments through strategic acquisitions by other industry participants or financial buyers, initial public offerings of common stock, or other capital market transactions.","{'maxAge': 1, 'name': 'Mr. David A. R. Dullum', 'age': 74, 'title': 'Exec. VP, Pres of Private Fin. Mclean and Exec. MD of Private Fin. Mclean', 'yearBorn': 1948, 'fiscalYear': 2008, 'totalPay': 28000, 'exercisedValue': 0, 'unexercisedValue': 0}",1230681600,86400,2,10.12,10.14,10.11,10.26,10.12,10.14,10.11,10.26,0.99,0.0971,1695168000,0.91410005,8.73,1.309128,10.625,8.717949,286254,286254,307837,440990,440990,10.19,10.2,1000,1100,393727136,8.21,11.28,5.0081677,10.4388,9.9045,0.877,0.08666008,USD,753731968,0.44105998,38600700,263447,391904,1690761600,1693440000,0.0068,0.033180002,0.10615,0.64,0.0072000003,9.273,1.0999676,1664496000,1696032000,1688083200,34675000,0.96,1.17,1.82,9.587,NMS,EQUITY,GLAD,GLAD,Gladstone Capital Corporation,Gladstone Capital Corporation,1028295000,America/New_York,EDT,-14400000,10.2,12.0,10.0,11.0,11.0,2.6,hold,2,1681000,0.044,361686016,1.181,1.298,78617000,101.045,2.184,0.05451,0.103369996,63150000,25404750,-91528000,0.656,1.0,0.0,0.73623,USD,
9,1521 Westbranch Drive,Suite 100,McLean,VA,22102,United States,703-287-5800,703-287-5901,https://www.gladstonecapital.com,Asset Management,Financial Services,"Gladstone Capital Corporation is a business development company specializing in lower middle market, growth capital, add on acquisitions, change of control, buy & build strategies, debt refinancing, debt investments in senior term loans, revolving loans, secured first and second lien term loans, senior subordinated loans, unitranche loans, junior subordinated loans, and mezzanine loans and equity investments in the form of common stock, preferred stock, limited liability company interests, or warrants. It operates as a business development company. The fund also makes private equity investments in acquisitions, buyouts and recapitalizations, and refinancing existing debts. It targets small and medium-sized companies in United States. It is industry agnostic and seeks to invest in companies engaged in the business services, light and specialty manufacturing, niche industrial products and services, specialty consumer products and services, energy services, transportation and logistics, healthcare and education services, specialty chemicals, media and communications and aerospace and defense. The fund seeks to invest between $7 million and $30 million in companies that have between $20 million and $150 million in sales and EBITDA between $3 million and $25 million. It prefers to acquire minority stakes. It seeks to exit its investments through strategic acquisitions by other industry participants or financial buyers, initial public offerings of common stock, or other capital market transactions.","{'maxAge': 1, 'name': 'Mr. John  Sateri', 'title': 'Managing Director of Private Fin.', 'exercisedValue': 0, 'unexercisedValue': 0}",1230681600,86400,2,10.12,10.14,10.11,10.26,10.12,10.14,10.11,10.26,0.99,0.0971,1695168000,0.91410005,8.73,1.309128,10.625,8.717949,286254,286254,307837,440990,440990,10.19,10.2,1000,1100,393727136,8.21,11.28,5.0081677,10.4388,9.9045,0.877,0.08666008,USD,753731968,0.44105998,38600700,263447,391904,1690761600,1693440000,0.0068,0.033180002,0.10615,0.64,0.0072000003,9.273,1.0999676,1664496000,1696032000,1688083200,34675000,0.96,1.17,1.82,9.587,NMS,EQUITY,GLAD,GLAD,Gladstone Capital Corporation,Gladstone Capital Corporation,1028295000,America/New_York,EDT,-14400000,10.2,12.0,10.0,11.0,11.0,2.6,hold,2,1681000,0.044,361686016,1.181,1.298,78617000,101.045,2.184,0.05451,0.103369996,63150000,25404750,-91528000,0.656,1.0,0.0,0.73623,USD,
