,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,1633 Broadway,41st Floor,New York,NY,10019,United States,212 418 0100,https://www.virtu.com,Capital Markets,Financial Services,"Virtu Financial, Inc., a financial services company in New York. The company operates through two segments, Market Making and Execution Services. Its product suite includes offerings in execution, liquidity sourcing, analytics and broker-neutral, and multi-dealer platforms in workflow technology. The company's solutions enable clients to trade on various venues across countries and in multiple asset classes, including global equities, ETFs, foreign exchange, futures, fixed income, cryptocurrencies, and other commodities. Its analytics platform provides a range of pre- and post-trade services, data products, and compliance tools for clients to invest, trade, and manage risk across markets. The company was founded in 2008 and is headquartered in New York, New York.",993,"{'maxAge': 1, 'name': 'Mr. Douglas A. Cifu J.D.', 'age': 57, 'title': 'Co-founder, CEO & Director', 'yearBorn': 1965, 'fiscalYear': 2022, 'totalPay': 4162761, 'exercisedValue': 0, 'unexercisedValue': 0}",2,10,6,10,9,1693526400,1672444800,86400,2,17.94,17.88,17.07,17.98,17.94,17.88,17.07,17.98,0.96,0.0561,1693440000,0.6857,4.24,0.240663,12.228572,7.0452676,2145974,2145974,936191,1282290,1282290,17.15,17.2,1400,1200,2789858304,16.26,23.74,1.6124885,18.4252,18.92985,0.96,0.0535117,USD,-3200429568,0.08218,88623167,94049800,1841551,1890616,1690761600,1693440000,0.0196,0.01599,0.88012004,2.66,0.0207,13.564,1.2621646,1672444800,1703980800,1688083200,-0.804,135684992,1.4,2.43,-3.12,-1.85,NMS,EQUITY,VIRT,VIRT,"Virtu Financial, Inc.","Virtu Financial, Inc.",1429191000,America/New_York,EDT,-14400000,17.12,26.0,19.0,21.14,21.0,2.4,buy,7,9657101312,102.681,4569336832,1.146,1.146,1730157056,294.359,17.544,0.02089,0.1574,1083065000,622796992,-0.795,-0.309,0.48062,0.0,0.18773001,USD,
1,1633 Broadway,41st Floor,New York,NY,10019,United States,212 418 0100,https://www.virtu.com,Capital Markets,Financial Services,"Virtu Financial, Inc., a financial services company in New York. The company operates through two segments, Market Making and Execution Services. Its product suite includes offerings in execution, liquidity sourcing, analytics and broker-neutral, and multi-dealer platforms in workflow technology. The company's solutions enable clients to trade on various venues across countries and in multiple asset classes, including global equities, ETFs, foreign exchange, futures, fixed income, cryptocurrencies, and other commodities. Its analytics platform provides a range of pre- and post-trade services, data products, and compliance tools for clients to invest, trade, and manage risk across markets. The company was founded in 2008 and is headquartered in New York, New York.",993,"{'maxAge': 1, 'name': 'Mr. Joseph A. Molluso', 'age': 53, 'title': 'Co-Pres & Co-COO', 'yearBorn': 1969, 'fiscalYear': 2022, 'totalPay': 1633333, 'exercisedValue': 0, 'unexercisedValue': 0}",2,10,6,10,9,1693526400,1672444800,86400,2,17.94,17.88,17.07,17.98,17.94,17.88,17.07,17.98,0.96,0.0561,1693440000,0.6857,4.24,0.240663,12.228572,7.0452676,2145974,2145974,936191,1282290,1282290,17.15,17.2,1400,1200,2789858304,16.26,23.74,1.6124885,18.4252,18.92985,0.96,0.0535117,USD,-3200429568,0.08218,88623167,94049800,1841551,1890616,1690761600,1693440000,0.0196,0.01599,0.88012004,2.66,0.0207,13.564,1.2621646,1672444800,1703980800,1688083200,-0.804,135684992,1.4,2.43,-3.12,-1.85,NMS,EQUITY,VIRT,VIRT,"Virtu Financial, Inc.","Virtu Financial, Inc.",1429191000,America/New_York,EDT,-14400000,17.12,26.0,19.0,21.14,21.0,2.4,buy,7,9657101312,102.681,4569336832,1.146,1.146,1730157056,294.359,17.544,0.02089,0.1574,1083065000,622796992,-0.795,-0.309,0.48062,0.0,0.18773001,USD,
2,1633 Broadway,41st Floor,New York,NY,10019,United States,212 418 0100,https://www.virtu.com,Capital Markets,Financial Services,"Virtu Financial, Inc., a financial services company in New York. The company operates through two segments, Market Making and Execution Services. Its product suite includes offerings in execution, liquidity sourcing, analytics and broker-neutral, and multi-dealer platforms in workflow technology. The company's solutions enable clients to trade on various venues across countries and in multiple asset classes, including global equities, ETFs, foreign exchange, futures, fixed income, cryptocurrencies, and other commodities. Its analytics platform provides a range of pre- and post-trade services, data products, and compliance tools for clients to invest, trade, and manage risk across markets. The company was founded in 2008 and is headquartered in New York, New York.",993,"{'maxAge': 1, 'name': 'Mr. Brett Michael Fairclough', 'age': 39, 'title': 'Co-Pres & Co-COO', 'yearBorn': 1983, 'fiscalYear': 2022, 'totalPay': 1633333, 'exercisedValue': 0, 'unexercisedValue': 0}",2,10,6,10,9,1693526400,1672444800,86400,2,17.94,17.88,17.07,17.98,17.94,17.88,17.07,17.98,0.96,0.0561,1693440000,0.6857,4.24,0.240663,12.228572,7.0452676,2145974,2145974,936191,1282290,1282290,17.15,17.2,1400,1200,2789858304,16.26,23.74,1.6124885,18.4252,18.92985,0.96,0.0535117,USD,-3200429568,0.08218,88623167,94049800,1841551,1890616,1690761600,1693440000,0.0196,0.01599,0.88012004,2.66,0.0207,13.564,1.2621646,1672444800,1703980800,1688083200,-0.804,135684992,1.4,2.43,-3.12,-1.85,NMS,EQUITY,VIRT,VIRT,"Virtu Financial, Inc.","Virtu Financial, Inc.",1429191000,America/New_York,EDT,-14400000,17.12,26.0,19.0,21.14,21.0,2.4,buy,7,9657101312,102.681,4569336832,1.146,1.146,1730157056,294.359,17.544,0.02089,0.1574,1083065000,622796992,-0.795,-0.309,0.48062,0.0,0.18773001,USD,
3,1633 Broadway,41st Floor,New York,NY,10019,United States,212 418 0100,https://www.virtu.com,Capital Markets,Financial Services,"Virtu Financial, Inc., a financial services company in New York. The company operates through two segments, Market Making and Execution Services. Its product suite includes offerings in execution, liquidity sourcing, analytics and broker-neutral, and multi-dealer platforms in workflow technology. The company's solutions enable clients to trade on various venues across countries and in multiple asset classes, including global equities, ETFs, foreign exchange, futures, fixed income, cryptocurrencies, and other commodities. Its analytics platform provides a range of pre- and post-trade services, data products, and compliance tools for clients to invest, trade, and manage risk across markets. The company was founded in 2008 and is headquartered in New York, New York.",993,"{'maxAge': 1, 'name': 'Mr. Vincent J. Viola', 'age': 66, 'title': 'Founder & Chairman Emeritus', 'yearBorn': 1956, 'fiscalYear': 2022, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",2,10,6,10,9,1693526400,1672444800,86400,2,17.94,17.88,17.07,17.98,17.94,17.88,17.07,17.98,0.96,0.0561,1693440000,0.6857,4.24,0.240663,12.228572,7.0452676,2145974,2145974,936191,1282290,1282290,17.15,17.2,1400,1200,2789858304,16.26,23.74,1.6124885,18.4252,18.92985,0.96,0.0535117,USD,-3200429568,0.08218,88623167,94049800,1841551,1890616,1690761600,1693440000,0.0196,0.01599,0.88012004,2.66,0.0207,13.564,1.2621646,1672444800,1703980800,1688083200,-0.804,135684992,1.4,2.43,-3.12,-1.85,NMS,EQUITY,VIRT,VIRT,"Virtu Financial, Inc.","Virtu Financial, Inc.",1429191000,America/New_York,EDT,-14400000,17.12,26.0,19.0,21.14,21.0,2.4,buy,7,9657101312,102.681,4569336832,1.146,1.146,1730157056,294.359,17.544,0.02089,0.1574,1083065000,622796992,-0.795,-0.309,0.48062,0.0,0.18773001,USD,
4,1633 Broadway,41st Floor,New York,NY,10019,United States,212 418 0100,https://www.virtu.com,Capital Markets,Financial Services,"Virtu Financial, Inc., a financial services company in New York. The company operates through two segments, Market Making and Execution Services. Its product suite includes offerings in execution, liquidity sourcing, analytics and broker-neutral, and multi-dealer platforms in workflow technology. The company's solutions enable clients to trade on various venues across countries and in multiple asset classes, including global equities, ETFs, foreign exchange, futures, fixed income, cryptocurrencies, and other commodities. Its analytics platform provides a range of pre- and post-trade services, data products, and compliance tools for clients to invest, trade, and manage risk across markets. The company was founded in 2008 and is headquartered in New York, New York.",993,"{'maxAge': 1, 'name': 'Mr. Sean Patrick Galvin', 'age': 56, 'title': 'Exec. VP & CFO', 'yearBorn': 1966, 'fiscalYear': 2022, 'totalPay': 780000, 'exercisedValue': 0, 'unexercisedValue': 0}",2,10,6,10,9,1693526400,1672444800,86400,2,17.94,17.88,17.07,17.98,17.94,17.88,17.07,17.98,0.96,0.0561,1693440000,0.6857,4.24,0.240663,12.228572,7.0452676,2145974,2145974,936191,1282290,1282290,17.15,17.2,1400,1200,2789858304,16.26,23.74,1.6124885,18.4252,18.92985,0.96,0.0535117,USD,-3200429568,0.08218,88623167,94049800,1841551,1890616,1690761600,1693440000,0.0196,0.01599,0.88012004,2.66,0.0207,13.564,1.2621646,1672444800,1703980800,1688083200,-0.804,135684992,1.4,2.43,-3.12,-1.85,NMS,EQUITY,VIRT,VIRT,"Virtu Financial, Inc.","Virtu Financial, Inc.",1429191000,America/New_York,EDT,-14400000,17.12,26.0,19.0,21.14,21.0,2.4,buy,7,9657101312,102.681,4569336832,1.146,1.146,1730157056,294.359,17.544,0.02089,0.1574,1083065000,622796992,-0.795,-0.309,0.48062,0.0,0.18773001,USD,
5,1633 Broadway,41st Floor,New York,NY,10019,United States,212 418 0100,https://www.virtu.com,Capital Markets,Financial Services,"Virtu Financial, Inc., a financial services company in New York. The company operates through two segments, Market Making and Execution Services. Its product suite includes offerings in execution, liquidity sourcing, analytics and broker-neutral, and multi-dealer platforms in workflow technology. The company's solutions enable clients to trade on various venues across countries and in multiple asset classes, including global equities, ETFs, foreign exchange, futures, fixed income, cryptocurrencies, and other commodities. Its analytics platform provides a range of pre- and post-trade services, data products, and compliance tools for clients to invest, trade, and manage risk across markets. The company was founded in 2008 and is headquartered in New York, New York.",993,"{'maxAge': 1, 'name': 'Mr. Stephen John Cavoli Sr.', 'age': 52, 'title': 'Exec. VP of Markets & Global Head of Execution Services', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 1632833, 'exercisedValue': 0, 'unexercisedValue': 0}",2,10,6,10,9,1693526400,1672444800,86400,2,17.94,17.88,17.07,17.98,17.94,17.88,17.07,17.98,0.96,0.0561,1693440000,0.6857,4.24,0.240663,12.228572,7.0452676,2145974,2145974,936191,1282290,1282290,17.15,17.2,1400,1200,2789858304,16.26,23.74,1.6124885,18.4252,18.92985,0.96,0.0535117,USD,-3200429568,0.08218,88623167,94049800,1841551,1890616,1690761600,1693440000,0.0196,0.01599,0.88012004,2.66,0.0207,13.564,1.2621646,1672444800,1703980800,1688083200,-0.804,135684992,1.4,2.43,-3.12,-1.85,NMS,EQUITY,VIRT,VIRT,"Virtu Financial, Inc.","Virtu Financial, Inc.",1429191000,America/New_York,EDT,-14400000,17.12,26.0,19.0,21.14,21.0,2.4,buy,7,9657101312,102.681,4569336832,1.146,1.146,1730157056,294.359,17.544,0.02089,0.1574,1083065000,622796992,-0.795,-0.309,0.48062,0.0,0.18773001,USD,
6,1633 Broadway,41st Floor,New York,NY,10019,United States,212 418 0100,https://www.virtu.com,Capital Markets,Financial Services,"Virtu Financial, Inc., a financial services company in New York. The company operates through two segments, Market Making and Execution Services. Its product suite includes offerings in execution, liquidity sourcing, analytics and broker-neutral, and multi-dealer platforms in workflow technology. The company's solutions enable clients to trade on various venues across countries and in multiple asset classes, including global equities, ETFs, foreign exchange, futures, fixed income, cryptocurrencies, and other commodities. Its analytics platform provides a range of pre- and post-trade services, data products, and compliance tools for clients to invest, trade, and manage risk across markets. The company was founded in 2008 and is headquartered in New York, New York.",993,"{'maxAge': 1, 'name': 'Mr. Aaron  Simons', 'title': 'Exec. VP & CTO', 'exercisedValue': 0, 'unexercisedValue': 0}",2,10,6,10,9,1693526400,1672444800,86400,2,17.94,17.88,17.07,17.98,17.94,17.88,17.07,17.98,0.96,0.0561,1693440000,0.6857,4.24,0.240663,12.228572,7.0452676,2145974,2145974,936191,1282290,1282290,17.15,17.2,1400,1200,2789858304,16.26,23.74,1.6124885,18.4252,18.92985,0.96,0.0535117,USD,-3200429568,0.08218,88623167,94049800,1841551,1890616,1690761600,1693440000,0.0196,0.01599,0.88012004,2.66,0.0207,13.564,1.2621646,1672444800,1703980800,1688083200,-0.804,135684992,1.4,2.43,-3.12,-1.85,NMS,EQUITY,VIRT,VIRT,"Virtu Financial, Inc.","Virtu Financial, Inc.",1429191000,America/New_York,EDT,-14400000,17.12,26.0,19.0,21.14,21.0,2.4,buy,7,9657101312,102.681,4569336832,1.146,1.146,1730157056,294.359,17.544,0.02089,0.1574,1083065000,622796992,-0.795,-0.309,0.48062,0.0,0.18773001,USD,
7,1633 Broadway,41st Floor,New York,NY,10019,United States,212 418 0100,https://www.virtu.com,Capital Markets,Financial Services,"Virtu Financial, Inc., a financial services company in New York. The company operates through two segments, Market Making and Execution Services. Its product suite includes offerings in execution, liquidity sourcing, analytics and broker-neutral, and multi-dealer platforms in workflow technology. The company's solutions enable clients to trade on various venues across countries and in multiple asset classes, including global equities, ETFs, foreign exchange, futures, fixed income, cryptocurrencies, and other commodities. Its analytics platform provides a range of pre- and post-trade services, data products, and compliance tools for clients to invest, trade, and manage risk across markets. The company was founded in 2008 and is headquartered in New York, New York.",993,"{'maxAge': 1, 'name': 'Mr. Justin  Waldie', 'title': 'Sr. VP, Gen. Counsel & Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",2,10,6,10,9,1693526400,1672444800,86400,2,17.94,17.88,17.07,17.98,17.94,17.88,17.07,17.98,0.96,0.0561,1693440000,0.6857,4.24,0.240663,12.228572,7.0452676,2145974,2145974,936191,1282290,1282290,17.15,17.2,1400,1200,2789858304,16.26,23.74,1.6124885,18.4252,18.92985,0.96,0.0535117,USD,-3200429568,0.08218,88623167,94049800,1841551,1890616,1690761600,1693440000,0.0196,0.01599,0.88012004,2.66,0.0207,13.564,1.2621646,1672444800,1703980800,1688083200,-0.804,135684992,1.4,2.43,-3.12,-1.85,NMS,EQUITY,VIRT,VIRT,"Virtu Financial, Inc.","Virtu Financial, Inc.",1429191000,America/New_York,EDT,-14400000,17.12,26.0,19.0,21.14,21.0,2.4,buy,7,9657101312,102.681,4569336832,1.146,1.146,1730157056,294.359,17.544,0.02089,0.1574,1083065000,622796992,-0.795,-0.309,0.48062,0.0,0.18773001,USD,
8,1633 Broadway,41st Floor,New York,NY,10019,United States,212 418 0100,https://www.virtu.com,Capital Markets,Financial Services,"Virtu Financial, Inc., a financial services company in New York. The company operates through two segments, Market Making and Execution Services. Its product suite includes offerings in execution, liquidity sourcing, analytics and broker-neutral, and multi-dealer platforms in workflow technology. The company's solutions enable clients to trade on various venues across countries and in multiple asset classes, including global equities, ETFs, foreign exchange, futures, fixed income, cryptocurrencies, and other commodities. Its analytics platform provides a range of pre- and post-trade services, data products, and compliance tools for clients to invest, trade, and manage risk across markets. The company was founded in 2008 and is headquartered in New York, New York.",993,"{'maxAge': 1, 'name': 'Ms. Akiko  Imai', 'title': 'Global Head of New Sales', 'exercisedValue': 0, 'unexercisedValue': 0}",2,10,6,10,9,1693526400,1672444800,86400,2,17.94,17.88,17.07,17.98,17.94,17.88,17.07,17.98,0.96,0.0561,1693440000,0.6857,4.24,0.240663,12.228572,7.0452676,2145974,2145974,936191,1282290,1282290,17.15,17.2,1400,1200,2789858304,16.26,23.74,1.6124885,18.4252,18.92985,0.96,0.0535117,USD,-3200429568,0.08218,88623167,94049800,1841551,1890616,1690761600,1693440000,0.0196,0.01599,0.88012004,2.66,0.0207,13.564,1.2621646,1672444800,1703980800,1688083200,-0.804,135684992,1.4,2.43,-3.12,-1.85,NMS,EQUITY,VIRT,VIRT,"Virtu Financial, Inc.","Virtu Financial, Inc.",1429191000,America/New_York,EDT,-14400000,17.12,26.0,19.0,21.14,21.0,2.4,buy,7,9657101312,102.681,4569336832,1.146,1.146,1730157056,294.359,17.544,0.02089,0.1574,1083065000,622796992,-0.795,-0.309,0.48062,0.0,0.18773001,USD,
9,1633 Broadway,41st Floor,New York,NY,10019,United States,212 418 0100,https://www.virtu.com,Capital Markets,Financial Services,"Virtu Financial, Inc., a financial services company in New York. The company operates through two segments, Market Making and Execution Services. Its product suite includes offerings in execution, liquidity sourcing, analytics and broker-neutral, and multi-dealer platforms in workflow technology. The company's solutions enable clients to trade on various venues across countries and in multiple asset classes, including global equities, ETFs, foreign exchange, futures, fixed income, cryptocurrencies, and other commodities. Its analytics platform provides a range of pre- and post-trade services, data products, and compliance tools for clients to invest, trade, and manage risk across markets. The company was founded in 2008 and is headquartered in New York, New York.",993,"{'maxAge': 1, 'name': 'Mr. Andrew  Smith', 'title': 'Sr. VP of Global Bus. Devel. & Corp. Strategy', 'exercisedValue': 0, 'unexercisedValue': 0}",2,10,6,10,9,1693526400,1672444800,86400,2,17.94,17.88,17.07,17.98,17.94,17.88,17.07,17.98,0.96,0.0561,1693440000,0.6857,4.24,0.240663,12.228572,7.0452676,2145974,2145974,936191,1282290,1282290,17.15,17.2,1400,1200,2789858304,16.26,23.74,1.6124885,18.4252,18.92985,0.96,0.0535117,USD,-3200429568,0.08218,88623167,94049800,1841551,1890616,1690761600,1693440000,0.0196,0.01599,0.88012004,2.66,0.0207,13.564,1.2621646,1672444800,1703980800,1688083200,-0.804,135684992,1.4,2.43,-3.12,-1.85,NMS,EQUITY,VIRT,VIRT,"Virtu Financial, Inc.","Virtu Financial, Inc.",1429191000,America/New_York,EDT,-14400000,17.12,26.0,19.0,21.14,21.0,2.4,buy,7,9657101312,102.681,4569336832,1.146,1.146,1730157056,294.359,17.544,0.02089,0.1574,1083065000,622796992,-0.795,-0.309,0.48062,0.0,0.18773001,USD,
