,address1,address2,city,state,zip,country,phone,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,500 East Pratt Street,Suite 1300,Baltimore,MD,21202,United States,410-752-5900,https://www.adamsfunds.com,Asset Management,Asset Management,Financial Services,Financial Services,"Adams Natural Resources Fund, Inc. is a publicly owned investment manager. The firm invests in the public equity markets across the globe. The firm manages closed-end equity fund focused on the energy and material sectors. It invests in stocks of companies of all market capitalizations operating in the energy and natural resources sector including oil companies, exploration and production, utilities, services, and basic materials sectors. The firm employs a fundamental analysis with a bottom-up stock picking approach while focusing on earnings growth prospects, defendable market position, market competition, macroeconomic backdrop, cash flow generation, valuation, capital allocation, return on capital, mileposts and catalysts, and point in cycle identification to make its investments. It benchmarks the performance of its portfolios against a composite index of 80% Dow Jones Oil and Gas Index and 20% Dow Jones Basic Materials Index. The firm was formerly known as Petroleum & Resources Corporation. Adams Natural Resources Fund, Inc. was founded in 1929 and is based in Baltimore, Maryland with an additional office in Boston, Massachusetts.","{'maxAge': 1, 'name': 'Mr. James P. Haynie C.F.A., CFA', 'age': 59, 'title': 'Chief Exec. Officer and Sr. Portfolio Mang.', 'yearBorn': 1963, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,23.48,23.37,23.2,23.4613,23.48,23.37,23.2,23.4613,0.4,0.017,1692230400,0.4005,5.67,1.284923,5.7199016,388.00003,43317,43317,46193,40640,40640,22.96,23.65,1100,800,582440000,18.58,24.5,25.639702,22.503,21.38655,1.63,0.069420785,USD,587633344,4.38515,23536131,25018900,407147,440875,1690761600,1693440000,0.0163,0.0054699997,0.33299,9.08,0.0163,25018900,24.805,0.9385205,1672444800,1703980800,1688083200,99614648,4.07,0.06,3:2,972000000,25.868,0.10488844,0.14113986,0.1,1692230400,NYQ,EQUITY,PEO,PEO,"Adams Natural Resources Fund, I","Adams Natural Resources Fund, Inc.",322151400,America/New_York,EDT,9ec65df1-065a-359d-bc81-f9840e730c30,finmb_323203,-14400000,23.28,none,150375,0.006,0,0.72,1.158,22716332,0.907,0.0202,0.1702,22929655,-0.019,1.0,0.0,0.83787,USD,
1,500 East Pratt Street,Suite 1300,Baltimore,MD,21202,United States,410-752-5900,https://www.adamsfunds.com,Asset Management,Asset Management,Financial Services,Financial Services,"Adams Natural Resources Fund, Inc. is a publicly owned investment manager. The firm invests in the public equity markets across the globe. The firm manages closed-end equity fund focused on the energy and material sectors. It invests in stocks of companies of all market capitalizations operating in the energy and natural resources sector including oil companies, exploration and production, utilities, services, and basic materials sectors. The firm employs a fundamental analysis with a bottom-up stock picking approach while focusing on earnings growth prospects, defendable market position, market competition, macroeconomic backdrop, cash flow generation, valuation, capital allocation, return on capital, mileposts and catalysts, and point in cycle identification to make its investments. It benchmarks the performance of its portfolios against a composite index of 80% Dow Jones Oil and Gas Index and 20% Dow Jones Basic Materials Index. The firm was formerly known as Petroleum & Resources Corporation. Adams Natural Resources Fund, Inc. was founded in 1929 and is based in Baltimore, Maryland with an additional office in Boston, Massachusetts.","{'maxAge': 1, 'name': 'Mr. Brian S. Hook C.F.A., CPA, CFA, CPA', 'age': 52, 'title': 'Chief Financial Officer', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,23.48,23.37,23.2,23.4613,23.48,23.37,23.2,23.4613,0.4,0.017,1692230400,0.4005,5.67,1.284923,5.7199016,388.00003,43317,43317,46193,40640,40640,22.96,23.65,1100,800,582440000,18.58,24.5,25.639702,22.503,21.38655,1.63,0.069420785,USD,587633344,4.38515,23536131,25018900,407147,440875,1690761600,1693440000,0.0163,0.0054699997,0.33299,9.08,0.0163,25018900,24.805,0.9385205,1672444800,1703980800,1688083200,99614648,4.07,0.06,3:2,972000000,25.868,0.10488844,0.14113986,0.1,1692230400,NYQ,EQUITY,PEO,PEO,"Adams Natural Resources Fund, I","Adams Natural Resources Fund, Inc.",322151400,America/New_York,EDT,9ec65df1-065a-359d-bc81-f9840e730c30,finmb_323203,-14400000,23.28,none,150375,0.006,0,0.72,1.158,22716332,0.907,0.0202,0.1702,22929655,-0.019,1.0,0.0,0.83787,USD,
2,500 East Pratt Street,Suite 1300,Baltimore,MD,21202,United States,410-752-5900,https://www.adamsfunds.com,Asset Management,Asset Management,Financial Services,Financial Services,"Adams Natural Resources Fund, Inc. is a publicly owned investment manager. The firm invests in the public equity markets across the globe. The firm manages closed-end equity fund focused on the energy and material sectors. It invests in stocks of companies of all market capitalizations operating in the energy and natural resources sector including oil companies, exploration and production, utilities, services, and basic materials sectors. The firm employs a fundamental analysis with a bottom-up stock picking approach while focusing on earnings growth prospects, defendable market position, market competition, macroeconomic backdrop, cash flow generation, valuation, capital allocation, return on capital, mileposts and catalysts, and point in cycle identification to make its investments. It benchmarks the performance of its portfolios against a composite index of 80% Dow Jones Oil and Gas Index and 20% Dow Jones Basic Materials Index. The firm was formerly known as Petroleum & Resources Corporation. Adams Natural Resources Fund, Inc. was founded in 1929 and is based in Baltimore, Maryland with an additional office in Boston, Massachusetts.","{'maxAge': 1, 'name': 'Mr. Douglas Cotton Swindell', 'age': 58, 'title': 'Pres and Portfolio Mang.', 'yearBorn': 1964, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,23.48,23.37,23.2,23.4613,23.48,23.37,23.2,23.4613,0.4,0.017,1692230400,0.4005,5.67,1.284923,5.7199016,388.00003,43317,43317,46193,40640,40640,22.96,23.65,1100,800,582440000,18.58,24.5,25.639702,22.503,21.38655,1.63,0.069420785,USD,587633344,4.38515,23536131,25018900,407147,440875,1690761600,1693440000,0.0163,0.0054699997,0.33299,9.08,0.0163,25018900,24.805,0.9385205,1672444800,1703980800,1688083200,99614648,4.07,0.06,3:2,972000000,25.868,0.10488844,0.14113986,0.1,1692230400,NYQ,EQUITY,PEO,PEO,"Adams Natural Resources Fund, I","Adams Natural Resources Fund, Inc.",322151400,America/New_York,EDT,9ec65df1-065a-359d-bc81-f9840e730c30,finmb_323203,-14400000,23.28,none,150375,0.006,0,0.72,1.158,22716332,0.907,0.0202,0.1702,22929655,-0.019,1.0,0.0,0.83787,USD,
3,500 East Pratt Street,Suite 1300,Baltimore,MD,21202,United States,410-752-5900,https://www.adamsfunds.com,Asset Management,Asset Management,Financial Services,Financial Services,"Adams Natural Resources Fund, Inc. is a publicly owned investment manager. The firm invests in the public equity markets across the globe. The firm manages closed-end equity fund focused on the energy and material sectors. It invests in stocks of companies of all market capitalizations operating in the energy and natural resources sector including oil companies, exploration and production, utilities, services, and basic materials sectors. The firm employs a fundamental analysis with a bottom-up stock picking approach while focusing on earnings growth prospects, defendable market position, market competition, macroeconomic backdrop, cash flow generation, valuation, capital allocation, return on capital, mileposts and catalysts, and point in cycle identification to make its investments. It benchmarks the performance of its portfolios against a composite index of 80% Dow Jones Oil and Gas Index and 20% Dow Jones Basic Materials Index. The firm was formerly known as Petroleum & Resources Corporation. Adams Natural Resources Fund, Inc. was founded in 1929 and is based in Baltimore, Maryland with an additional office in Boston, Massachusetts.","{'maxAge': 1, 'name': 'Ms. Janis F. Kerns', 'age': 58, 'title': 'Gen. Counsel, Corp. Sec. & Chief Compliance Officer', 'yearBorn': 1964, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,23.48,23.37,23.2,23.4613,23.48,23.37,23.2,23.4613,0.4,0.017,1692230400,0.4005,5.67,1.284923,5.7199016,388.00003,43317,43317,46193,40640,40640,22.96,23.65,1100,800,582440000,18.58,24.5,25.639702,22.503,21.38655,1.63,0.069420785,USD,587633344,4.38515,23536131,25018900,407147,440875,1690761600,1693440000,0.0163,0.0054699997,0.33299,9.08,0.0163,25018900,24.805,0.9385205,1672444800,1703980800,1688083200,99614648,4.07,0.06,3:2,972000000,25.868,0.10488844,0.14113986,0.1,1692230400,NYQ,EQUITY,PEO,PEO,"Adams Natural Resources Fund, I","Adams Natural Resources Fund, Inc.",322151400,America/New_York,EDT,9ec65df1-065a-359d-bc81-f9840e730c30,finmb_323203,-14400000,23.28,none,150375,0.006,0,0.72,1.158,22716332,0.907,0.0202,0.1702,22929655,-0.019,1.0,0.0,0.83787,USD,
4,500 East Pratt Street,Suite 1300,Baltimore,MD,21202,United States,410-752-5900,https://www.adamsfunds.com,Asset Management,Asset Management,Financial Services,Financial Services,"Adams Natural Resources Fund, Inc. is a publicly owned investment manager. The firm invests in the public equity markets across the globe. The firm manages closed-end equity fund focused on the energy and material sectors. It invests in stocks of companies of all market capitalizations operating in the energy and natural resources sector including oil companies, exploration and production, utilities, services, and basic materials sectors. The firm employs a fundamental analysis with a bottom-up stock picking approach while focusing on earnings growth prospects, defendable market position, market competition, macroeconomic backdrop, cash flow generation, valuation, capital allocation, return on capital, mileposts and catalysts, and point in cycle identification to make its investments. It benchmarks the performance of its portfolios against a composite index of 80% Dow Jones Oil and Gas Index and 20% Dow Jones Basic Materials Index. The firm was formerly known as Petroleum & Resources Corporation. Adams Natural Resources Fund, Inc. was founded in 1929 and is based in Baltimore, Maryland with an additional office in Boston, Massachusetts.","{'maxAge': 1, 'name': 'Mr. Gregory W. Buckley', 'age': 51, 'title': 'Exec. VP & Portfolio Mang.', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,23.48,23.37,23.2,23.4613,23.48,23.37,23.2,23.4613,0.4,0.017,1692230400,0.4005,5.67,1.284923,5.7199016,388.00003,43317,43317,46193,40640,40640,22.96,23.65,1100,800,582440000,18.58,24.5,25.639702,22.503,21.38655,1.63,0.069420785,USD,587633344,4.38515,23536131,25018900,407147,440875,1690761600,1693440000,0.0163,0.0054699997,0.33299,9.08,0.0163,25018900,24.805,0.9385205,1672444800,1703980800,1688083200,99614648,4.07,0.06,3:2,972000000,25.868,0.10488844,0.14113986,0.1,1692230400,NYQ,EQUITY,PEO,PEO,"Adams Natural Resources Fund, I","Adams Natural Resources Fund, Inc.",322151400,America/New_York,EDT,9ec65df1-065a-359d-bc81-f9840e730c30,finmb_323203,-14400000,23.28,none,150375,0.006,0,0.72,1.158,22716332,0.907,0.0202,0.1702,22929655,-0.019,1.0,0.0,0.83787,USD,
5,500 East Pratt Street,Suite 1300,Baltimore,MD,21202,United States,410-752-5900,https://www.adamsfunds.com,Asset Management,Asset Management,Financial Services,Financial Services,"Adams Natural Resources Fund, Inc. is a publicly owned investment manager. The firm invests in the public equity markets across the globe. The firm manages closed-end equity fund focused on the energy and material sectors. It invests in stocks of companies of all market capitalizations operating in the energy and natural resources sector including oil companies, exploration and production, utilities, services, and basic materials sectors. The firm employs a fundamental analysis with a bottom-up stock picking approach while focusing on earnings growth prospects, defendable market position, market competition, macroeconomic backdrop, cash flow generation, valuation, capital allocation, return on capital, mileposts and catalysts, and point in cycle identification to make its investments. It benchmarks the performance of its portfolios against a composite index of 80% Dow Jones Oil and Gas Index and 20% Dow Jones Basic Materials Index. The firm was formerly known as Petroleum & Resources Corporation. Adams Natural Resources Fund, Inc. was founded in 1929 and is based in Baltimore, Maryland with an additional office in Boston, Massachusetts.","{'maxAge': 1, 'name': 'Ms. Christine M. Sloan CPA', 'title': 'Treasurer & Director of HR', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,23.48,23.37,23.2,23.4613,23.48,23.37,23.2,23.4613,0.4,0.017,1692230400,0.4005,5.67,1.284923,5.7199016,388.00003,43317,43317,46193,40640,40640,22.96,23.65,1100,800,582440000,18.58,24.5,25.639702,22.503,21.38655,1.63,0.069420785,USD,587633344,4.38515,23536131,25018900,407147,440875,1690761600,1693440000,0.0163,0.0054699997,0.33299,9.08,0.0163,25018900,24.805,0.9385205,1672444800,1703980800,1688083200,99614648,4.07,0.06,3:2,972000000,25.868,0.10488844,0.14113986,0.1,1692230400,NYQ,EQUITY,PEO,PEO,"Adams Natural Resources Fund, I","Adams Natural Resources Fund, Inc.",322151400,America/New_York,EDT,9ec65df1-065a-359d-bc81-f9840e730c30,finmb_323203,-14400000,23.28,none,150375,0.006,0,0.72,1.158,22716332,0.907,0.0202,0.1702,22929655,-0.019,1.0,0.0,0.83787,USD,
6,500 East Pratt Street,Suite 1300,Baltimore,MD,21202,United States,410-752-5900,https://www.adamsfunds.com,Asset Management,Asset Management,Financial Services,Financial Services,"Adams Natural Resources Fund, Inc. is a publicly owned investment manager. The firm invests in the public equity markets across the globe. The firm manages closed-end equity fund focused on the energy and material sectors. It invests in stocks of companies of all market capitalizations operating in the energy and natural resources sector including oil companies, exploration and production, utilities, services, and basic materials sectors. The firm employs a fundamental analysis with a bottom-up stock picking approach while focusing on earnings growth prospects, defendable market position, market competition, macroeconomic backdrop, cash flow generation, valuation, capital allocation, return on capital, mileposts and catalysts, and point in cycle identification to make its investments. It benchmarks the performance of its portfolios against a composite index of 80% Dow Jones Oil and Gas Index and 20% Dow Jones Basic Materials Index. The firm was formerly known as Petroleum & Resources Corporation. Adams Natural Resources Fund, Inc. was founded in 1929 and is based in Baltimore, Maryland with an additional office in Boston, Massachusetts.","{'maxAge': 1, 'name': 'Mr. Michael A. Kijesky C.F.A., CFA', 'title': 'VP of Research & Sr. Equity Analyst', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,23.48,23.37,23.2,23.4613,23.48,23.37,23.2,23.4613,0.4,0.017,1692230400,0.4005,5.67,1.284923,5.7199016,388.00003,43317,43317,46193,40640,40640,22.96,23.65,1100,800,582440000,18.58,24.5,25.639702,22.503,21.38655,1.63,0.069420785,USD,587633344,4.38515,23536131,25018900,407147,440875,1690761600,1693440000,0.0163,0.0054699997,0.33299,9.08,0.0163,25018900,24.805,0.9385205,1672444800,1703980800,1688083200,99614648,4.07,0.06,3:2,972000000,25.868,0.10488844,0.14113986,0.1,1692230400,NYQ,EQUITY,PEO,PEO,"Adams Natural Resources Fund, I","Adams Natural Resources Fund, Inc.",322151400,America/New_York,EDT,9ec65df1-065a-359d-bc81-f9840e730c30,finmb_323203,-14400000,23.28,none,150375,0.006,0,0.72,1.158,22716332,0.907,0.0202,0.1702,22929655,-0.019,1.0,0.0,0.83787,USD,
7,500 East Pratt Street,Suite 1300,Baltimore,MD,21202,United States,410-752-5900,https://www.adamsfunds.com,Asset Management,Asset Management,Financial Services,Financial Services,"Adams Natural Resources Fund, Inc. is a publicly owned investment manager. The firm invests in the public equity markets across the globe. The firm manages closed-end equity fund focused on the energy and material sectors. It invests in stocks of companies of all market capitalizations operating in the energy and natural resources sector including oil companies, exploration and production, utilities, services, and basic materials sectors. The firm employs a fundamental analysis with a bottom-up stock picking approach while focusing on earnings growth prospects, defendable market position, market competition, macroeconomic backdrop, cash flow generation, valuation, capital allocation, return on capital, mileposts and catalysts, and point in cycle identification to make its investments. It benchmarks the performance of its portfolios against a composite index of 80% Dow Jones Oil and Gas Index and 20% Dow Jones Basic Materials Index. The firm was formerly known as Petroleum & Resources Corporation. Adams Natural Resources Fund, Inc. was founded in 1929 and is based in Baltimore, Maryland with an additional office in Boston, Massachusetts.","{'maxAge': 1, 'name': 'Mr. Michael E. Rega C.F.A., CFA', 'age': 62, 'title': 'VP of Research & Sr. Equity Analyst', 'yearBorn': 1960, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,23.48,23.37,23.2,23.4613,23.48,23.37,23.2,23.4613,0.4,0.017,1692230400,0.4005,5.67,1.284923,5.7199016,388.00003,43317,43317,46193,40640,40640,22.96,23.65,1100,800,582440000,18.58,24.5,25.639702,22.503,21.38655,1.63,0.069420785,USD,587633344,4.38515,23536131,25018900,407147,440875,1690761600,1693440000,0.0163,0.0054699997,0.33299,9.08,0.0163,25018900,24.805,0.9385205,1672444800,1703980800,1688083200,99614648,4.07,0.06,3:2,972000000,25.868,0.10488844,0.14113986,0.1,1692230400,NYQ,EQUITY,PEO,PEO,"Adams Natural Resources Fund, I","Adams Natural Resources Fund, Inc.",322151400,America/New_York,EDT,9ec65df1-065a-359d-bc81-f9840e730c30,finmb_323203,-14400000,23.28,none,150375,0.006,0,0.72,1.158,22716332,0.907,0.0202,0.1702,22929655,-0.019,1.0,0.0,0.83787,USD,
8,500 East Pratt Street,Suite 1300,Baltimore,MD,21202,United States,410-752-5900,https://www.adamsfunds.com,Asset Management,Asset Management,Financial Services,Financial Services,"Adams Natural Resources Fund, Inc. is a publicly owned investment manager. The firm invests in the public equity markets across the globe. The firm manages closed-end equity fund focused on the energy and material sectors. It invests in stocks of companies of all market capitalizations operating in the energy and natural resources sector including oil companies, exploration and production, utilities, services, and basic materials sectors. The firm employs a fundamental analysis with a bottom-up stock picking approach while focusing on earnings growth prospects, defendable market position, market competition, macroeconomic backdrop, cash flow generation, valuation, capital allocation, return on capital, mileposts and catalysts, and point in cycle identification to make its investments. It benchmarks the performance of its portfolios against a composite index of 80% Dow Jones Oil and Gas Index and 20% Dow Jones Basic Materials Index. The firm was formerly known as Petroleum & Resources Corporation. Adams Natural Resources Fund, Inc. was founded in 1929 and is based in Baltimore, Maryland with an additional office in Boston, Massachusetts.","{'maxAge': 1, 'name': 'Mr. Jeffrey R. Schollaert C.F.A.', 'title': 'Sr. Equity Analyst', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,23.48,23.37,23.2,23.4613,23.48,23.37,23.2,23.4613,0.4,0.017,1692230400,0.4005,5.67,1.284923,5.7199016,388.00003,43317,43317,46193,40640,40640,22.96,23.65,1100,800,582440000,18.58,24.5,25.639702,22.503,21.38655,1.63,0.069420785,USD,587633344,4.38515,23536131,25018900,407147,440875,1690761600,1693440000,0.0163,0.0054699997,0.33299,9.08,0.0163,25018900,24.805,0.9385205,1672444800,1703980800,1688083200,99614648,4.07,0.06,3:2,972000000,25.868,0.10488844,0.14113986,0.1,1692230400,NYQ,EQUITY,PEO,PEO,"Adams Natural Resources Fund, I","Adams Natural Resources Fund, Inc.",322151400,America/New_York,EDT,9ec65df1-065a-359d-bc81-f9840e730c30,finmb_323203,-14400000,23.28,none,150375,0.006,0,0.72,1.158,22716332,0.907,0.0202,0.1702,22929655,-0.019,1.0,0.0,0.83787,USD,
9,500 East Pratt Street,Suite 1300,Baltimore,MD,21202,United States,410-752-5900,https://www.adamsfunds.com,Asset Management,Asset Management,Financial Services,Financial Services,"Adams Natural Resources Fund, Inc. is a publicly owned investment manager. The firm invests in the public equity markets across the globe. The firm manages closed-end equity fund focused on the energy and material sectors. It invests in stocks of companies of all market capitalizations operating in the energy and natural resources sector including oil companies, exploration and production, utilities, services, and basic materials sectors. The firm employs a fundamental analysis with a bottom-up stock picking approach while focusing on earnings growth prospects, defendable market position, market competition, macroeconomic backdrop, cash flow generation, valuation, capital allocation, return on capital, mileposts and catalysts, and point in cycle identification to make its investments. It benchmarks the performance of its portfolios against a composite index of 80% Dow Jones Oil and Gas Index and 20% Dow Jones Basic Materials Index. The firm was formerly known as Petroleum & Resources Corporation. Adams Natural Resources Fund, Inc. was founded in 1929 and is based in Baltimore, Maryland with an additional office in Boston, Massachusetts.","{'maxAge': 1, 'name': 'Ms. Xuying  Chang C.F.A.', 'title': 'Sr. Equity Analyst', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,23.48,23.37,23.2,23.4613,23.48,23.37,23.2,23.4613,0.4,0.017,1692230400,0.4005,5.67,1.284923,5.7199016,388.00003,43317,43317,46193,40640,40640,22.96,23.65,1100,800,582440000,18.58,24.5,25.639702,22.503,21.38655,1.63,0.069420785,USD,587633344,4.38515,23536131,25018900,407147,440875,1690761600,1693440000,0.0163,0.0054699997,0.33299,9.08,0.0163,25018900,24.805,0.9385205,1672444800,1703980800,1688083200,99614648,4.07,0.06,3:2,972000000,25.868,0.10488844,0.14113986,0.1,1692230400,NYQ,EQUITY,PEO,PEO,"Adams Natural Resources Fund, I","Adams Natural Resources Fund, Inc.",322151400,America/New_York,EDT,9ec65df1-065a-359d-bc81-f9840e730c30,finmb_323203,-14400000,23.28,none,150375,0.006,0,0.72,1.158,22716332,0.907,0.0202,0.1702,22929655,-0.019,1.0,0.0,0.83787,USD,
