,address1,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,45 Gresham Street,London,EC2V 7BF,United Kingdom,44 20 7260 1000,https://www.numis.com,Capital Markets,Financial Services,"Numis Corporation Plc, through its subsidiaries, provides various investment banking services in the United Kingdom, the United States, and Ireland. The company offers investment banking services, including corporate broking, debt advisory, equity capital markets, growth capital solutions, IPOs, and mergers and acquisitions. It also provides equities services, such as research, and sales and trading. The company serves investment trusts, asset managers, private companies, private equity funds, private client fund managers, family offices, sovereign wealth funds, hedge funds, and venture capital funds. Numis Corporation Plc was incorporated in 1989 and is based in London, the United Kingdom.",338,"{'maxAge': 1, 'name': 'Mr. Alexander Burnell Ham', 'age': 39, 'title': 'Co-CEO, Head of Investment Banking & Exec. Director', 'yearBorn': 1983, 'fiscalYear': 2022, 'totalPay': 1959000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,335.0,335.0,335.0,336.0,335.0,335.0,335.0,336.0,0.14,0.0403,1684368000,8.4375,4.59,0.881006,16750.0,0.19142857,123976,123976,507643,91393,91393,335.0,336.0,0,0,368510048,170.0,349.5,2.8278623,333.38,272.45676,0.135,0.00040298508,GBp,221160528,0.01396,60538404,110003000,0.44754001,0.50539,1.649,203.15343,1664496000,1696032000,1680220800,-0.708,1819000,0.02,17.5,5:1,1108339200,1.697,LSE,EQUITY,NUM.L,NUM.L,NUMIS CORPORATION PLC ORD 5P,Numis Corporation Plc,827913600,Europe/London,BST,3600000,335.0,none,185522000,1.703,41698000,1.42,1.453,130314000,23.212,1.189,0.00319,0.00982,140666000,15496000,-0.705,-0.141,1.0,0.0,0.06553,GBP,
1,45 Gresham Street,London,EC2V 7BF,United Kingdom,44 20 7260 1000,https://www.numis.com,Capital Markets,Financial Services,"Numis Corporation Plc, through its subsidiaries, provides various investment banking services in the United Kingdom, the United States, and Ireland. The company offers investment banking services, including corporate broking, debt advisory, equity capital markets, growth capital solutions, IPOs, and mergers and acquisitions. It also provides equities services, such as research, and sales and trading. The company serves investment trusts, asset managers, private companies, private equity funds, private client fund managers, family offices, sovereign wealth funds, hedge funds, and venture capital funds. Numis Corporation Plc was incorporated in 1989 and is based in London, the United Kingdom.",338,"{'maxAge': 1, 'name': 'Mr. Ross James Mitchinson', 'age': 44, 'title': 'Co-CEO, Head of Equities & Exec. Director', 'yearBorn': 1978, 'fiscalYear': 2022, 'totalPay': 1710000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,335.0,335.0,335.0,336.0,335.0,335.0,335.0,336.0,0.14,0.0403,1684368000,8.4375,4.59,0.881006,16750.0,0.19142857,123976,123976,507643,91393,91393,335.0,336.0,0,0,368510048,170.0,349.5,2.8278623,333.38,272.45676,0.135,0.00040298508,GBp,221160528,0.01396,60538404,110003000,0.44754001,0.50539,1.649,203.15343,1664496000,1696032000,1680220800,-0.708,1819000,0.02,17.5,5:1,1108339200,1.697,LSE,EQUITY,NUM.L,NUM.L,NUMIS CORPORATION PLC ORD 5P,Numis Corporation Plc,827913600,Europe/London,BST,3600000,335.0,none,185522000,1.703,41698000,1.42,1.453,130314000,23.212,1.189,0.00319,0.00982,140666000,15496000,-0.705,-0.141,1.0,0.0,0.06553,GBP,
2,45 Gresham Street,London,EC2V 7BF,United Kingdom,44 20 7260 1000,https://www.numis.com,Capital Markets,Financial Services,"Numis Corporation Plc, through its subsidiaries, provides various investment banking services in the United Kingdom, the United States, and Ireland. The company offers investment banking services, including corporate broking, debt advisory, equity capital markets, growth capital solutions, IPOs, and mergers and acquisitions. It also provides equities services, such as research, and sales and trading. The company serves investment trusts, asset managers, private companies, private equity funds, private client fund managers, family offices, sovereign wealth funds, hedge funds, and venture capital funds. Numis Corporation Plc was incorporated in 1989 and is based in London, the United Kingdom.",338,"{'maxAge': 1, 'name': 'Mr. Andrew Mark Holloway', 'age': 43, 'title': 'CFO, COO & Exec. Director', 'yearBorn': 1979, 'fiscalYear': 2022, 'totalPay': 642000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,335.0,335.0,335.0,336.0,335.0,335.0,335.0,336.0,0.14,0.0403,1684368000,8.4375,4.59,0.881006,16750.0,0.19142857,123976,123976,507643,91393,91393,335.0,336.0,0,0,368510048,170.0,349.5,2.8278623,333.38,272.45676,0.135,0.00040298508,GBp,221160528,0.01396,60538404,110003000,0.44754001,0.50539,1.649,203.15343,1664496000,1696032000,1680220800,-0.708,1819000,0.02,17.5,5:1,1108339200,1.697,LSE,EQUITY,NUM.L,NUM.L,NUMIS CORPORATION PLC ORD 5P,Numis Corporation Plc,827913600,Europe/London,BST,3600000,335.0,none,185522000,1.703,41698000,1.42,1.453,130314000,23.212,1.189,0.00319,0.00982,140666000,15496000,-0.705,-0.141,1.0,0.0,0.06553,GBP,
3,45 Gresham Street,London,EC2V 7BF,United Kingdom,44 20 7260 1000,https://www.numis.com,Capital Markets,Financial Services,"Numis Corporation Plc, through its subsidiaries, provides various investment banking services in the United Kingdom, the United States, and Ireland. The company offers investment banking services, including corporate broking, debt advisory, equity capital markets, growth capital solutions, IPOs, and mergers and acquisitions. It also provides equities services, such as research, and sales and trading. The company serves investment trusts, asset managers, private companies, private equity funds, private client fund managers, family offices, sovereign wealth funds, hedge funds, and venture capital funds. Numis Corporation Plc was incorporated in 1989 and is based in London, the United Kingdom.",338,"{'maxAge': 1, 'name': 'Ian  Wright', 'title': 'Head of Compliance', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,335.0,335.0,335.0,336.0,335.0,335.0,335.0,336.0,0.14,0.0403,1684368000,8.4375,4.59,0.881006,16750.0,0.19142857,123976,123976,507643,91393,91393,335.0,336.0,0,0,368510048,170.0,349.5,2.8278623,333.38,272.45676,0.135,0.00040298508,GBp,221160528,0.01396,60538404,110003000,0.44754001,0.50539,1.649,203.15343,1664496000,1696032000,1680220800,-0.708,1819000,0.02,17.5,5:1,1108339200,1.697,LSE,EQUITY,NUM.L,NUM.L,NUMIS CORPORATION PLC ORD 5P,Numis Corporation Plc,827913600,Europe/London,BST,3600000,335.0,none,185522000,1.703,41698000,1.42,1.453,130314000,23.212,1.189,0.00319,0.00982,140666000,15496000,-0.705,-0.141,1.0,0.0,0.06553,GBP,
4,45 Gresham Street,London,EC2V 7BF,United Kingdom,44 20 7260 1000,https://www.numis.com,Capital Markets,Financial Services,"Numis Corporation Plc, through its subsidiaries, provides various investment banking services in the United Kingdom, the United States, and Ireland. The company offers investment banking services, including corporate broking, debt advisory, equity capital markets, growth capital solutions, IPOs, and mergers and acquisitions. It also provides equities services, such as research, and sales and trading. The company serves investment trusts, asset managers, private companies, private equity funds, private client fund managers, family offices, sovereign wealth funds, hedge funds, and venture capital funds. Numis Corporation Plc was incorporated in 1989 and is based in London, the United Kingdom.",338,"{'maxAge': 1, 'name': 'Noreen  Biddle-Shah', 'title': 'Head of Corp. Communications', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,335.0,335.0,335.0,336.0,335.0,335.0,335.0,336.0,0.14,0.0403,1684368000,8.4375,4.59,0.881006,16750.0,0.19142857,123976,123976,507643,91393,91393,335.0,336.0,0,0,368510048,170.0,349.5,2.8278623,333.38,272.45676,0.135,0.00040298508,GBp,221160528,0.01396,60538404,110003000,0.44754001,0.50539,1.649,203.15343,1664496000,1696032000,1680220800,-0.708,1819000,0.02,17.5,5:1,1108339200,1.697,LSE,EQUITY,NUM.L,NUM.L,NUMIS CORPORATION PLC ORD 5P,Numis Corporation Plc,827913600,Europe/London,BST,3600000,335.0,none,185522000,1.703,41698000,1.42,1.453,130314000,23.212,1.189,0.00319,0.00982,140666000,15496000,-0.705,-0.141,1.0,0.0,0.06553,GBP,
5,45 Gresham Street,London,EC2V 7BF,United Kingdom,44 20 7260 1000,https://www.numis.com,Capital Markets,Financial Services,"Numis Corporation Plc, through its subsidiaries, provides various investment banking services in the United Kingdom, the United States, and Ireland. The company offers investment banking services, including corporate broking, debt advisory, equity capital markets, growth capital solutions, IPOs, and mergers and acquisitions. It also provides equities services, such as research, and sales and trading. The company serves investment trusts, asset managers, private companies, private equity funds, private client fund managers, family offices, sovereign wealth funds, hedge funds, and venture capital funds. Numis Corporation Plc was incorporated in 1989 and is based in London, the United Kingdom.",338,"{'maxAge': 1, 'name': 'Nick  Stockman', 'title': 'Head of Sales', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,335.0,335.0,335.0,336.0,335.0,335.0,335.0,336.0,0.14,0.0403,1684368000,8.4375,4.59,0.881006,16750.0,0.19142857,123976,123976,507643,91393,91393,335.0,336.0,0,0,368510048,170.0,349.5,2.8278623,333.38,272.45676,0.135,0.00040298508,GBp,221160528,0.01396,60538404,110003000,0.44754001,0.50539,1.649,203.15343,1664496000,1696032000,1680220800,-0.708,1819000,0.02,17.5,5:1,1108339200,1.697,LSE,EQUITY,NUM.L,NUM.L,NUMIS CORPORATION PLC ORD 5P,Numis Corporation Plc,827913600,Europe/London,BST,3600000,335.0,none,185522000,1.703,41698000,1.42,1.453,130314000,23.212,1.189,0.00319,0.00982,140666000,15496000,-0.705,-0.141,1.0,0.0,0.06553,GBP,
6,45 Gresham Street,London,EC2V 7BF,United Kingdom,44 20 7260 1000,https://www.numis.com,Capital Markets,Financial Services,"Numis Corporation Plc, through its subsidiaries, provides various investment banking services in the United Kingdom, the United States, and Ireland. The company offers investment banking services, including corporate broking, debt advisory, equity capital markets, growth capital solutions, IPOs, and mergers and acquisitions. It also provides equities services, such as research, and sales and trading. The company serves investment trusts, asset managers, private companies, private equity funds, private client fund managers, family offices, sovereign wealth funds, hedge funds, and venture capital funds. Numis Corporation Plc was incorporated in 1989 and is based in London, the United Kingdom.",338,"{'maxAge': 1, 'name': 'Ms. Mica Magdelena Ross', 'age': 39, 'title': 'Head of HR', 'yearBorn': 1983, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,335.0,335.0,335.0,336.0,335.0,335.0,335.0,336.0,0.14,0.0403,1684368000,8.4375,4.59,0.881006,16750.0,0.19142857,123976,123976,507643,91393,91393,335.0,336.0,0,0,368510048,170.0,349.5,2.8278623,333.38,272.45676,0.135,0.00040298508,GBp,221160528,0.01396,60538404,110003000,0.44754001,0.50539,1.649,203.15343,1664496000,1696032000,1680220800,-0.708,1819000,0.02,17.5,5:1,1108339200,1.697,LSE,EQUITY,NUM.L,NUM.L,NUMIS CORPORATION PLC ORD 5P,Numis Corporation Plc,827913600,Europe/London,BST,3600000,335.0,none,185522000,1.703,41698000,1.42,1.453,130314000,23.212,1.189,0.00319,0.00982,140666000,15496000,-0.705,-0.141,1.0,0.0,0.06553,GBP,
7,45 Gresham Street,London,EC2V 7BF,United Kingdom,44 20 7260 1000,https://www.numis.com,Capital Markets,Financial Services,"Numis Corporation Plc, through its subsidiaries, provides various investment banking services in the United Kingdom, the United States, and Ireland. The company offers investment banking services, including corporate broking, debt advisory, equity capital markets, growth capital solutions, IPOs, and mergers and acquisitions. It also provides equities services, such as research, and sales and trading. The company serves investment trusts, asset managers, private companies, private equity funds, private client fund managers, family offices, sovereign wealth funds, hedge funds, and venture capital funds. Numis Corporation Plc was incorporated in 1989 and is based in London, the United Kingdom.",338,"{'maxAge': 1, 'name': 'Mr. Michael  Lee', 'title': 'Chief Risk Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,335.0,335.0,335.0,336.0,335.0,335.0,335.0,336.0,0.14,0.0403,1684368000,8.4375,4.59,0.881006,16750.0,0.19142857,123976,123976,507643,91393,91393,335.0,336.0,0,0,368510048,170.0,349.5,2.8278623,333.38,272.45676,0.135,0.00040298508,GBp,221160528,0.01396,60538404,110003000,0.44754001,0.50539,1.649,203.15343,1664496000,1696032000,1680220800,-0.708,1819000,0.02,17.5,5:1,1108339200,1.697,LSE,EQUITY,NUM.L,NUM.L,NUMIS CORPORATION PLC ORD 5P,Numis Corporation Plc,827913600,Europe/London,BST,3600000,335.0,none,185522000,1.703,41698000,1.42,1.453,130314000,23.212,1.189,0.00319,0.00982,140666000,15496000,-0.705,-0.141,1.0,0.0,0.06553,GBP,
8,45 Gresham Street,London,EC2V 7BF,United Kingdom,44 20 7260 1000,https://www.numis.com,Capital Markets,Financial Services,"Numis Corporation Plc, through its subsidiaries, provides various investment banking services in the United Kingdom, the United States, and Ireland. The company offers investment banking services, including corporate broking, debt advisory, equity capital markets, growth capital solutions, IPOs, and mergers and acquisitions. It also provides equities services, such as research, and sales and trading. The company serves investment trusts, asset managers, private companies, private equity funds, private client fund managers, family offices, sovereign wealth funds, hedge funds, and venture capital funds. Numis Corporation Plc was incorporated in 1989 and is based in London, the United Kingdom.",338,"{'maxAge': 1, 'name': 'Mr. James Alexander Taylor', 'age': 48, 'title': 'Head of Investment Banking', 'yearBorn': 1974, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,335.0,335.0,335.0,336.0,335.0,335.0,335.0,336.0,0.14,0.0403,1684368000,8.4375,4.59,0.881006,16750.0,0.19142857,123976,123976,507643,91393,91393,335.0,336.0,0,0,368510048,170.0,349.5,2.8278623,333.38,272.45676,0.135,0.00040298508,GBp,221160528,0.01396,60538404,110003000,0.44754001,0.50539,1.649,203.15343,1664496000,1696032000,1680220800,-0.708,1819000,0.02,17.5,5:1,1108339200,1.697,LSE,EQUITY,NUM.L,NUM.L,NUMIS CORPORATION PLC ORD 5P,Numis Corporation Plc,827913600,Europe/London,BST,3600000,335.0,none,185522000,1.703,41698000,1.42,1.453,130314000,23.212,1.189,0.00319,0.00982,140666000,15496000,-0.705,-0.141,1.0,0.0,0.06553,GBP,
9,45 Gresham Street,London,EC2V 7BF,United Kingdom,44 20 7260 1000,https://www.numis.com,Capital Markets,Financial Services,"Numis Corporation Plc, through its subsidiaries, provides various investment banking services in the United Kingdom, the United States, and Ireland. The company offers investment banking services, including corporate broking, debt advisory, equity capital markets, growth capital solutions, IPOs, and mergers and acquisitions. It also provides equities services, such as research, and sales and trading. The company serves investment trusts, asset managers, private companies, private equity funds, private client fund managers, family offices, sovereign wealth funds, hedge funds, and venture capital funds. Numis Corporation Plc was incorporated in 1989 and is based in London, the United Kingdom.",338,"{'maxAge': 1, 'name': 'Mr. Stuart  Ord', 'title': 'Head of M&A', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,335.0,335.0,335.0,336.0,335.0,335.0,335.0,336.0,0.14,0.0403,1684368000,8.4375,4.59,0.881006,16750.0,0.19142857,123976,123976,507643,91393,91393,335.0,336.0,0,0,368510048,170.0,349.5,2.8278623,333.38,272.45676,0.135,0.00040298508,GBp,221160528,0.01396,60538404,110003000,0.44754001,0.50539,1.649,203.15343,1664496000,1696032000,1680220800,-0.708,1819000,0.02,17.5,5:1,1108339200,1.697,LSE,EQUITY,NUM.L,NUM.L,NUMIS CORPORATION PLC ORD 5P,Numis Corporation Plc,827913600,Europe/London,BST,3600000,335.0,none,185522000,1.703,41698000,1.42,1.453,130314000,23.212,1.189,0.00319,0.00982,140666000,15496000,-0.705,-0.141,1.0,0.0,0.06553,GBP,
