,address1,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,10368 West Centennial Road,Littleton,CO,80127,United States,720 681 6304,720 681 6129,https://www.cpicardgroup.com,Credit Services,Financial Services,"CPI Card Group Inc., together with its subsidiaries, engages in the design, production, data personalization, packaging, and fulfillment of financial payment cards. It operates through Debit and Credit, and Prepaid Debit segments. The Debit and Credit segment produces financial payment cards and provides integrated card services to card-issuing financial institutions. Its products include Europay, Mastercard, and Visa (EMV) and non-EMV financial payment cards, including contact and contactless cards, plastic and encased metal cards, and Second Wave payment cards, as well as private label credit cards. This segment also provides on-demand services and various integrated card services, including card personalization and fulfillment, and instant issuance services. The Prepaid Debit segment primarily offers integrated card services comprising tamper-evident security packaging services to prepaid debit card providers. It also produces financial payment cards issued on the networks of the payment card brands. It serves issuers of debit and credit cards, Prepaid Debit Card program managers, community banks, credit unions, and group service providers in the United States. The company was formerly known as CPI Holdings I, Inc. and changed its name to CPI Card Group Inc. in August 2015. CPI Card Group Inc. was incorporated in 2007 and is headquartered in Littleton, Colorado.",1375,"{'maxAge': 1, 'name': 'Mr. Scott T. Scheirman', 'age': 59, 'title': 'Pres, CEO & Director', 'yearBorn': 1963, 'fiscalYear': 2022, 'totalPay': 3431434, 'exercisedValue': 0, 'unexercisedValue': 8738648}",1672444800,86400,2,19.04,18.9,18.085,19.16,19.04,18.9,18.085,19.16,1497398400,0.0,1.205739,5.286908,4.9427085,42344,42344,72909,23850,23850,18.25,20.28,1000,2200,216958480,15.22,45.95,0.4456601,21.8405,30.640724,0.0,0.0,USD,514393280,0.08583,4164390,11430900,200167,213985,1690761600,1693440000,0.0175,0.059899997,0.75644,2.72,0.047399998,-5.509,1672444800,1703980800,1688083200,0.06,41783000,3.59,3.84,0.48,1:5,1513728000,1.057,5.157,NGM,EQUITY,PMTS,PMTS,CPI Card Group Inc.,CPI Card Group Inc.,1444311000,America/New_York,EDT,-14400000,18.98,49.0,49.0,49.0,49.0,2.0,buy,1,11168000,0.977,99755000,307916992,1.607,3.161,486824992,42.822,0.17843,184798000,23689876,49806000,0.058,0.015,0.38937,0.20491,0.17292999,USD,
1,10368 West Centennial Road,Littleton,CO,80127,United States,720 681 6304,720 681 6129,https://www.cpicardgroup.com,Credit Services,Financial Services,"CPI Card Group Inc., together with its subsidiaries, engages in the design, production, data personalization, packaging, and fulfillment of financial payment cards. It operates through Debit and Credit, and Prepaid Debit segments. The Debit and Credit segment produces financial payment cards and provides integrated card services to card-issuing financial institutions. Its products include Europay, Mastercard, and Visa (EMV) and non-EMV financial payment cards, including contact and contactless cards, plastic and encased metal cards, and Second Wave payment cards, as well as private label credit cards. This segment also provides on-demand services and various integrated card services, including card personalization and fulfillment, and instant issuance services. The Prepaid Debit segment primarily offers integrated card services comprising tamper-evident security packaging services to prepaid debit card providers. It also produces financial payment cards issued on the networks of the payment card brands. It serves issuers of debit and credit cards, Prepaid Debit Card program managers, community banks, credit unions, and group service providers in the United States. The company was formerly known as CPI Holdings I, Inc. and changed its name to CPI Card Group Inc. in August 2015. CPI Card Group Inc. was incorporated in 2007 and is headquartered in Littleton, Colorado.",1375,"{'maxAge': 1, 'name': 'Mr. Lane R. Dubin', 'age': 53, 'title': 'Exec. VP and Chief Devel. & Digital Officer', 'yearBorn': 1969, 'fiscalYear': 2022, 'totalPay': 1328046, 'exercisedValue': 0, 'unexercisedValue': 1160712}",1672444800,86400,2,19.04,18.9,18.085,19.16,19.04,18.9,18.085,19.16,1497398400,0.0,1.205739,5.286908,4.9427085,42344,42344,72909,23850,23850,18.25,20.28,1000,2200,216958480,15.22,45.95,0.4456601,21.8405,30.640724,0.0,0.0,USD,514393280,0.08583,4164390,11430900,200167,213985,1690761600,1693440000,0.0175,0.059899997,0.75644,2.72,0.047399998,-5.509,1672444800,1703980800,1688083200,0.06,41783000,3.59,3.84,0.48,1:5,1513728000,1.057,5.157,NGM,EQUITY,PMTS,PMTS,CPI Card Group Inc.,CPI Card Group Inc.,1444311000,America/New_York,EDT,-14400000,18.98,49.0,49.0,49.0,49.0,2.0,buy,1,11168000,0.977,99755000,307916992,1.607,3.161,486824992,42.822,0.17843,184798000,23689876,49806000,0.058,0.015,0.38937,0.20491,0.17292999,USD,
2,10368 West Centennial Road,Littleton,CO,80127,United States,720 681 6304,720 681 6129,https://www.cpicardgroup.com,Credit Services,Financial Services,"CPI Card Group Inc., together with its subsidiaries, engages in the design, production, data personalization, packaging, and fulfillment of financial payment cards. It operates through Debit and Credit, and Prepaid Debit segments. The Debit and Credit segment produces financial payment cards and provides integrated card services to card-issuing financial institutions. Its products include Europay, Mastercard, and Visa (EMV) and non-EMV financial payment cards, including contact and contactless cards, plastic and encased metal cards, and Second Wave payment cards, as well as private label credit cards. This segment also provides on-demand services and various integrated card services, including card personalization and fulfillment, and instant issuance services. The Prepaid Debit segment primarily offers integrated card services comprising tamper-evident security packaging services to prepaid debit card providers. It also produces financial payment cards issued on the networks of the payment card brands. It serves issuers of debit and credit cards, Prepaid Debit Card program managers, community banks, credit unions, and group service providers in the United States. The company was formerly known as CPI Holdings I, Inc. and changed its name to CPI Card Group Inc. in August 2015. CPI Card Group Inc. was incorporated in 2007 and is headquartered in Littleton, Colorado.",1375,"{'maxAge': 1, 'name': 'Mr. John D. Lowe CFA, CPA', 'age': 45, 'title': 'Exec. VP of End-to-End Payment Solutions', 'yearBorn': 1977, 'fiscalYear': 2022, 'totalPay': 1146200, 'exercisedValue': 0, 'unexercisedValue': 2583677}",1672444800,86400,2,19.04,18.9,18.085,19.16,19.04,18.9,18.085,19.16,1497398400,0.0,1.205739,5.286908,4.9427085,42344,42344,72909,23850,23850,18.25,20.28,1000,2200,216958480,15.22,45.95,0.4456601,21.8405,30.640724,0.0,0.0,USD,514393280,0.08583,4164390,11430900,200167,213985,1690761600,1693440000,0.0175,0.059899997,0.75644,2.72,0.047399998,-5.509,1672444800,1703980800,1688083200,0.06,41783000,3.59,3.84,0.48,1:5,1513728000,1.057,5.157,NGM,EQUITY,PMTS,PMTS,CPI Card Group Inc.,CPI Card Group Inc.,1444311000,America/New_York,EDT,-14400000,18.98,49.0,49.0,49.0,49.0,2.0,buy,1,11168000,0.977,99755000,307916992,1.607,3.161,486824992,42.822,0.17843,184798000,23689876,49806000,0.058,0.015,0.38937,0.20491,0.17292999,USD,
3,10368 West Centennial Road,Littleton,CO,80127,United States,720 681 6304,720 681 6129,https://www.cpicardgroup.com,Credit Services,Financial Services,"CPI Card Group Inc., together with its subsidiaries, engages in the design, production, data personalization, packaging, and fulfillment of financial payment cards. It operates through Debit and Credit, and Prepaid Debit segments. The Debit and Credit segment produces financial payment cards and provides integrated card services to card-issuing financial institutions. Its products include Europay, Mastercard, and Visa (EMV) and non-EMV financial payment cards, including contact and contactless cards, plastic and encased metal cards, and Second Wave payment cards, as well as private label credit cards. This segment also provides on-demand services and various integrated card services, including card personalization and fulfillment, and instant issuance services. The Prepaid Debit segment primarily offers integrated card services comprising tamper-evident security packaging services to prepaid debit card providers. It also produces financial payment cards issued on the networks of the payment card brands. It serves issuers of debit and credit cards, Prepaid Debit Card program managers, community banks, credit unions, and group service providers in the United States. The company was formerly known as CPI Holdings I, Inc. and changed its name to CPI Card Group Inc. in August 2015. CPI Card Group Inc. was incorporated in 2007 and is headquartered in Littleton, Colorado.",1375,"{'maxAge': 1, 'name': 'Mr. Jeffrey A. Hochstadt', 'title': 'Chief Financial Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,19.04,18.9,18.085,19.16,19.04,18.9,18.085,19.16,1497398400,0.0,1.205739,5.286908,4.9427085,42344,42344,72909,23850,23850,18.25,20.28,1000,2200,216958480,15.22,45.95,0.4456601,21.8405,30.640724,0.0,0.0,USD,514393280,0.08583,4164390,11430900,200167,213985,1690761600,1693440000,0.0175,0.059899997,0.75644,2.72,0.047399998,-5.509,1672444800,1703980800,1688083200,0.06,41783000,3.59,3.84,0.48,1:5,1513728000,1.057,5.157,NGM,EQUITY,PMTS,PMTS,CPI Card Group Inc.,CPI Card Group Inc.,1444311000,America/New_York,EDT,-14400000,18.98,49.0,49.0,49.0,49.0,2.0,buy,1,11168000,0.977,99755000,307916992,1.607,3.161,486824992,42.822,0.17843,184798000,23689876,49806000,0.058,0.015,0.38937,0.20491,0.17292999,USD,
4,10368 West Centennial Road,Littleton,CO,80127,United States,720 681 6304,720 681 6129,https://www.cpicardgroup.com,Credit Services,Financial Services,"CPI Card Group Inc., together with its subsidiaries, engages in the design, production, data personalization, packaging, and fulfillment of financial payment cards. It operates through Debit and Credit, and Prepaid Debit segments. The Debit and Credit segment produces financial payment cards and provides integrated card services to card-issuing financial institutions. Its products include Europay, Mastercard, and Visa (EMV) and non-EMV financial payment cards, including contact and contactless cards, plastic and encased metal cards, and Second Wave payment cards, as well as private label credit cards. This segment also provides on-demand services and various integrated card services, including card personalization and fulfillment, and instant issuance services. The Prepaid Debit segment primarily offers integrated card services comprising tamper-evident security packaging services to prepaid debit card providers. It also produces financial payment cards issued on the networks of the payment card brands. It serves issuers of debit and credit cards, Prepaid Debit Card program managers, community banks, credit unions, and group service providers in the United States. The company was formerly known as CPI Holdings I, Inc. and changed its name to CPI Card Group Inc. in August 2015. CPI Card Group Inc. was incorporated in 2007 and is headquartered in Littleton, Colorado.",1375,"{'maxAge': 1, 'name': 'Ms. Donna Renee Abbey', 'age': 46, 'title': 'Chief Accounting Officer & Controller', 'yearBorn': 1976, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,19.04,18.9,18.085,19.16,19.04,18.9,18.085,19.16,1497398400,0.0,1.205739,5.286908,4.9427085,42344,42344,72909,23850,23850,18.25,20.28,1000,2200,216958480,15.22,45.95,0.4456601,21.8405,30.640724,0.0,0.0,USD,514393280,0.08583,4164390,11430900,200167,213985,1690761600,1693440000,0.0175,0.059899997,0.75644,2.72,0.047399998,-5.509,1672444800,1703980800,1688083200,0.06,41783000,3.59,3.84,0.48,1:5,1513728000,1.057,5.157,NGM,EQUITY,PMTS,PMTS,CPI Card Group Inc.,CPI Card Group Inc.,1444311000,America/New_York,EDT,-14400000,18.98,49.0,49.0,49.0,49.0,2.0,buy,1,11168000,0.977,99755000,307916992,1.607,3.161,486824992,42.822,0.17843,184798000,23689876,49806000,0.058,0.015,0.38937,0.20491,0.17292999,USD,
5,10368 West Centennial Road,Littleton,CO,80127,United States,720 681 6304,720 681 6129,https://www.cpicardgroup.com,Credit Services,Financial Services,"CPI Card Group Inc., together with its subsidiaries, engages in the design, production, data personalization, packaging, and fulfillment of financial payment cards. It operates through Debit and Credit, and Prepaid Debit segments. The Debit and Credit segment produces financial payment cards and provides integrated card services to card-issuing financial institutions. Its products include Europay, Mastercard, and Visa (EMV) and non-EMV financial payment cards, including contact and contactless cards, plastic and encased metal cards, and Second Wave payment cards, as well as private label credit cards. This segment also provides on-demand services and various integrated card services, including card personalization and fulfillment, and instant issuance services. The Prepaid Debit segment primarily offers integrated card services comprising tamper-evident security packaging services to prepaid debit card providers. It also produces financial payment cards issued on the networks of the payment card brands. It serves issuers of debit and credit cards, Prepaid Debit Card program managers, community banks, credit unions, and group service providers in the United States. The company was formerly known as CPI Holdings I, Inc. and changed its name to CPI Card Group Inc. in August 2015. CPI Card Group Inc. was incorporated in 2007 and is headquartered in Littleton, Colorado.",1375,"{'maxAge': 1, 'name': 'Ms. Sarah Elizabeth Williams', 'age': 46, 'title': 'Chief Technology Officer', 'yearBorn': 1976, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,19.04,18.9,18.085,19.16,19.04,18.9,18.085,19.16,1497398400,0.0,1.205739,5.286908,4.9427085,42344,42344,72909,23850,23850,18.25,20.28,1000,2200,216958480,15.22,45.95,0.4456601,21.8405,30.640724,0.0,0.0,USD,514393280,0.08583,4164390,11430900,200167,213985,1690761600,1693440000,0.0175,0.059899997,0.75644,2.72,0.047399998,-5.509,1672444800,1703980800,1688083200,0.06,41783000,3.59,3.84,0.48,1:5,1513728000,1.057,5.157,NGM,EQUITY,PMTS,PMTS,CPI Card Group Inc.,CPI Card Group Inc.,1444311000,America/New_York,EDT,-14400000,18.98,49.0,49.0,49.0,49.0,2.0,buy,1,11168000,0.977,99755000,307916992,1.607,3.161,486824992,42.822,0.17843,184798000,23689876,49806000,0.058,0.015,0.38937,0.20491,0.17292999,USD,
6,10368 West Centennial Road,Littleton,CO,80127,United States,720 681 6304,720 681 6129,https://www.cpicardgroup.com,Credit Services,Financial Services,"CPI Card Group Inc., together with its subsidiaries, engages in the design, production, data personalization, packaging, and fulfillment of financial payment cards. It operates through Debit and Credit, and Prepaid Debit segments. The Debit and Credit segment produces financial payment cards and provides integrated card services to card-issuing financial institutions. Its products include Europay, Mastercard, and Visa (EMV) and non-EMV financial payment cards, including contact and contactless cards, plastic and encased metal cards, and Second Wave payment cards, as well as private label credit cards. This segment also provides on-demand services and various integrated card services, including card personalization and fulfillment, and instant issuance services. The Prepaid Debit segment primarily offers integrated card services comprising tamper-evident security packaging services to prepaid debit card providers. It also produces financial payment cards issued on the networks of the payment card brands. It serves issuers of debit and credit cards, Prepaid Debit Card program managers, community banks, credit unions, and group service providers in the United States. The company was formerly known as CPI Holdings I, Inc. and changed its name to CPI Card Group Inc. in August 2015. CPI Card Group Inc. was incorporated in 2007 and is headquartered in Littleton, Colorado.",1375,"{'maxAge': 1, 'name': 'Mr. Michael A. Salop', 'age': 57, 'title': 'Head of Investor Relations', 'yearBorn': 1965, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,19.04,18.9,18.085,19.16,19.04,18.9,18.085,19.16,1497398400,0.0,1.205739,5.286908,4.9427085,42344,42344,72909,23850,23850,18.25,20.28,1000,2200,216958480,15.22,45.95,0.4456601,21.8405,30.640724,0.0,0.0,USD,514393280,0.08583,4164390,11430900,200167,213985,1690761600,1693440000,0.0175,0.059899997,0.75644,2.72,0.047399998,-5.509,1672444800,1703980800,1688083200,0.06,41783000,3.59,3.84,0.48,1:5,1513728000,1.057,5.157,NGM,EQUITY,PMTS,PMTS,CPI Card Group Inc.,CPI Card Group Inc.,1444311000,America/New_York,EDT,-14400000,18.98,49.0,49.0,49.0,49.0,2.0,buy,1,11168000,0.977,99755000,307916992,1.607,3.161,486824992,42.822,0.17843,184798000,23689876,49806000,0.058,0.015,0.38937,0.20491,0.17292999,USD,
7,10368 West Centennial Road,Littleton,CO,80127,United States,720 681 6304,720 681 6129,https://www.cpicardgroup.com,Credit Services,Financial Services,"CPI Card Group Inc., together with its subsidiaries, engages in the design, production, data personalization, packaging, and fulfillment of financial payment cards. It operates through Debit and Credit, and Prepaid Debit segments. The Debit and Credit segment produces financial payment cards and provides integrated card services to card-issuing financial institutions. Its products include Europay, Mastercard, and Visa (EMV) and non-EMV financial payment cards, including contact and contactless cards, plastic and encased metal cards, and Second Wave payment cards, as well as private label credit cards. This segment also provides on-demand services and various integrated card services, including card personalization and fulfillment, and instant issuance services. The Prepaid Debit segment primarily offers integrated card services comprising tamper-evident security packaging services to prepaid debit card providers. It also produces financial payment cards issued on the networks of the payment card brands. It serves issuers of debit and credit cards, Prepaid Debit Card program managers, community banks, credit unions, and group service providers in the United States. The company was formerly known as CPI Holdings I, Inc. and changed its name to CPI Card Group Inc. in August 2015. CPI Card Group Inc. was incorporated in 2007 and is headquartered in Littleton, Colorado.",1375,"{'maxAge': 1, 'name': 'Ms. Sarah J. Kilgore', 'age': 53, 'title': 'Chief Legal & Compliance Officer and Corp. Sec.', 'yearBorn': 1969, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,19.04,18.9,18.085,19.16,19.04,18.9,18.085,19.16,1497398400,0.0,1.205739,5.286908,4.9427085,42344,42344,72909,23850,23850,18.25,20.28,1000,2200,216958480,15.22,45.95,0.4456601,21.8405,30.640724,0.0,0.0,USD,514393280,0.08583,4164390,11430900,200167,213985,1690761600,1693440000,0.0175,0.059899997,0.75644,2.72,0.047399998,-5.509,1672444800,1703980800,1688083200,0.06,41783000,3.59,3.84,0.48,1:5,1513728000,1.057,5.157,NGM,EQUITY,PMTS,PMTS,CPI Card Group Inc.,CPI Card Group Inc.,1444311000,America/New_York,EDT,-14400000,18.98,49.0,49.0,49.0,49.0,2.0,buy,1,11168000,0.977,99755000,307916992,1.607,3.161,486824992,42.822,0.17843,184798000,23689876,49806000,0.058,0.015,0.38937,0.20491,0.17292999,USD,
8,10368 West Centennial Road,Littleton,CO,80127,United States,720 681 6304,720 681 6129,https://www.cpicardgroup.com,Credit Services,Financial Services,"CPI Card Group Inc., together with its subsidiaries, engages in the design, production, data personalization, packaging, and fulfillment of financial payment cards. It operates through Debit and Credit, and Prepaid Debit segments. The Debit and Credit segment produces financial payment cards and provides integrated card services to card-issuing financial institutions. Its products include Europay, Mastercard, and Visa (EMV) and non-EMV financial payment cards, including contact and contactless cards, plastic and encased metal cards, and Second Wave payment cards, as well as private label credit cards. This segment also provides on-demand services and various integrated card services, including card personalization and fulfillment, and instant issuance services. The Prepaid Debit segment primarily offers integrated card services comprising tamper-evident security packaging services to prepaid debit card providers. It also produces financial payment cards issued on the networks of the payment card brands. It serves issuers of debit and credit cards, Prepaid Debit Card program managers, community banks, credit unions, and group service providers in the United States. The company was formerly known as CPI Holdings I, Inc. and changed its name to CPI Card Group Inc. in August 2015. CPI Card Group Inc. was incorporated in 2007 and is headquartered in Littleton, Colorado.",1375,"{'maxAge': 1, 'name': 'Ms. Beth  Starkey', 'title': 'Chief Marketing Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,19.04,18.9,18.085,19.16,19.04,18.9,18.085,19.16,1497398400,0.0,1.205739,5.286908,4.9427085,42344,42344,72909,23850,23850,18.25,20.28,1000,2200,216958480,15.22,45.95,0.4456601,21.8405,30.640724,0.0,0.0,USD,514393280,0.08583,4164390,11430900,200167,213985,1690761600,1693440000,0.0175,0.059899997,0.75644,2.72,0.047399998,-5.509,1672444800,1703980800,1688083200,0.06,41783000,3.59,3.84,0.48,1:5,1513728000,1.057,5.157,NGM,EQUITY,PMTS,PMTS,CPI Card Group Inc.,CPI Card Group Inc.,1444311000,America/New_York,EDT,-14400000,18.98,49.0,49.0,49.0,49.0,2.0,buy,1,11168000,0.977,99755000,307916992,1.607,3.161,486824992,42.822,0.17843,184798000,23689876,49806000,0.058,0.015,0.38937,0.20491,0.17292999,USD,
9,10368 West Centennial Road,Littleton,CO,80127,United States,720 681 6304,720 681 6129,https://www.cpicardgroup.com,Credit Services,Financial Services,"CPI Card Group Inc., together with its subsidiaries, engages in the design, production, data personalization, packaging, and fulfillment of financial payment cards. It operates through Debit and Credit, and Prepaid Debit segments. The Debit and Credit segment produces financial payment cards and provides integrated card services to card-issuing financial institutions. Its products include Europay, Mastercard, and Visa (EMV) and non-EMV financial payment cards, including contact and contactless cards, plastic and encased metal cards, and Second Wave payment cards, as well as private label credit cards. This segment also provides on-demand services and various integrated card services, including card personalization and fulfillment, and instant issuance services. The Prepaid Debit segment primarily offers integrated card services comprising tamper-evident security packaging services to prepaid debit card providers. It also produces financial payment cards issued on the networks of the payment card brands. It serves issuers of debit and credit cards, Prepaid Debit Card program managers, community banks, credit unions, and group service providers in the United States. The company was formerly known as CPI Holdings I, Inc. and changed its name to CPI Card Group Inc. in August 2015. CPI Card Group Inc. was incorporated in 2007 and is headquartered in Littleton, Colorado.",1375,"{'maxAge': 1, 'name': 'Ms. Sonya  Vollmer', 'age': 48, 'title': 'Chief HR Officer', 'yearBorn': 1974, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,19.04,18.9,18.085,19.16,19.04,18.9,18.085,19.16,1497398400,0.0,1.205739,5.286908,4.9427085,42344,42344,72909,23850,23850,18.25,20.28,1000,2200,216958480,15.22,45.95,0.4456601,21.8405,30.640724,0.0,0.0,USD,514393280,0.08583,4164390,11430900,200167,213985,1690761600,1693440000,0.0175,0.059899997,0.75644,2.72,0.047399998,-5.509,1672444800,1703980800,1688083200,0.06,41783000,3.59,3.84,0.48,1:5,1513728000,1.057,5.157,NGM,EQUITY,PMTS,PMTS,CPI Card Group Inc.,CPI Card Group Inc.,1444311000,America/New_York,EDT,-14400000,18.98,49.0,49.0,49.0,49.0,2.0,buy,1,11168000,0.977,99755000,307916992,1.607,3.161,486824992,42.822,0.17843,184798000,23689876,49806000,0.058,0.015,0.38937,0.20491,0.17292999,USD,
