,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,5 West Mendenhall,Suite 105,Bozeman,MT,59715,United States,406 982 7276,https://www.fico.com,Software—Application,Technology,"Fair Isaac Corporation develops analytic, software, and data decisioning technologies and services that enable businesses to automate, enhance, and connect decisions in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. It operates through two segments, Scores and Software. The Software segment provides pre-configured analytic and decision management solution designed for various business needs or processes, such as account origination, customer management, customer engagement, fraud detection, financial crimes compliance, and marketing, as well as associated professional services. This segment also offers FICO Platform, a modular software offering designed to support advanced analytic and decision use cases, as well as stand-alone analytic and decisioning software that can be configured by customers to address a wide range of business use cases. The Scores segment provides business-to-business scoring solutions and services for consumers that give clients access to predictive credit and other scores that can be integrated into their transaction streams and decision-making processes, as well as business-to-consumer scoring solutions comprising myFICO.com subscription offerings. Fair Isaac Corporation markets its products and services primarily through its direct sales organization and indirect channels, as well as online. The company was formerly known as Fair Isaac & Company, Inc. and changed its name to Fair Isaac Corporation in July 1992. Fair Isaac Corporation was founded in 1956 and is headquartered in Bozeman, Montana.",3437,"{'maxAge': 1, 'name': 'Mr. William J. Lansing', 'age': 64, 'title': 'Pres, CEO & Director', 'yearBorn': 1958, 'fiscalYear': 2022, 'totalPay': 1971770, 'exercisedValue': 0, 'unexercisedValue': 9491125}",10,4,2,7,6,1693526400,1672444800,86400,2,906.52,903.22,874.17,903.22,906.52,903.22,874.17,903.22,1488326400,0.0,1.214038,53.731163,37.15715,400243,400243,164493,190390,190390,888.84,1427.48,1000,800,22157709312,389.84,916.41,15.046945,855.9826,734.4999,0.0,0.0,USD,24342532096,0.2843,24204215,24857200,563486,533316,1690761600,1693440000,0.0227,0.02033,0.91289,3.91,0.0319,-28.281,1664496000,1696032000,1688083200,0.377,418649984,16.59,23.99,2.52,3:2,1078963200,16.531,38.94,NYQ,EQUITY,FICO,FICO,Fair Isaac Corproation,Fair Isaac Corporation,553959000,America/New_York,EDT,-14400000,891.4,1100.0,850.0,960.11,950.0,2.3,buy,9,163022000,6.558,625134016,1971992064,1.392,1.463,1472572032,58.709,0.25044,1075096000,360812000,449692000,0.407,0.142,0.78900003,0.42452,0.4138,USD,2.3108
1,5 West Mendenhall,Suite 105,Bozeman,MT,59715,United States,406 982 7276,https://www.fico.com,Software—Application,Technology,"Fair Isaac Corporation develops analytic, software, and data decisioning technologies and services that enable businesses to automate, enhance, and connect decisions in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. It operates through two segments, Scores and Software. The Software segment provides pre-configured analytic and decision management solution designed for various business needs or processes, such as account origination, customer management, customer engagement, fraud detection, financial crimes compliance, and marketing, as well as associated professional services. This segment also offers FICO Platform, a modular software offering designed to support advanced analytic and decision use cases, as well as stand-alone analytic and decisioning software that can be configured by customers to address a wide range of business use cases. The Scores segment provides business-to-business scoring solutions and services for consumers that give clients access to predictive credit and other scores that can be integrated into their transaction streams and decision-making processes, as well as business-to-consumer scoring solutions comprising myFICO.com subscription offerings. Fair Isaac Corporation markets its products and services primarily through its direct sales organization and indirect channels, as well as online. The company was formerly known as Fair Isaac & Company, Inc. and changed its name to Fair Isaac Corporation in July 1992. Fair Isaac Corporation was founded in 1956 and is headquartered in Bozeman, Montana.",3437,"{'maxAge': 1, 'name': 'Mr. Mark Russell Scadina', 'age': 53, 'title': 'Exec. VP, Gen. Counsel & Corp. Sec.', 'yearBorn': 1969, 'fiscalYear': 2022, 'totalPay': 730084, 'exercisedValue': 0, 'unexercisedValue': 1254181}",10,4,2,7,6,1693526400,1672444800,86400,2,906.52,903.22,874.17,903.22,906.52,903.22,874.17,903.22,1488326400,0.0,1.214038,53.731163,37.15715,400243,400243,164493,190390,190390,888.84,1427.48,1000,800,22157709312,389.84,916.41,15.046945,855.9826,734.4999,0.0,0.0,USD,24342532096,0.2843,24204215,24857200,563486,533316,1690761600,1693440000,0.0227,0.02033,0.91289,3.91,0.0319,-28.281,1664496000,1696032000,1688083200,0.377,418649984,16.59,23.99,2.52,3:2,1078963200,16.531,38.94,NYQ,EQUITY,FICO,FICO,Fair Isaac Corproation,Fair Isaac Corporation,553959000,America/New_York,EDT,-14400000,891.4,1100.0,850.0,960.11,950.0,2.3,buy,9,163022000,6.558,625134016,1971992064,1.392,1.463,1472572032,58.709,0.25044,1075096000,360812000,449692000,0.407,0.142,0.78900003,0.42452,0.4138,USD,2.3108
2,5 West Mendenhall,Suite 105,Bozeman,MT,59715,United States,406 982 7276,https://www.fico.com,Software—Application,Technology,"Fair Isaac Corporation develops analytic, software, and data decisioning technologies and services that enable businesses to automate, enhance, and connect decisions in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. It operates through two segments, Scores and Software. The Software segment provides pre-configured analytic and decision management solution designed for various business needs or processes, such as account origination, customer management, customer engagement, fraud detection, financial crimes compliance, and marketing, as well as associated professional services. This segment also offers FICO Platform, a modular software offering designed to support advanced analytic and decision use cases, as well as stand-alone analytic and decisioning software that can be configured by customers to address a wide range of business use cases. The Scores segment provides business-to-business scoring solutions and services for consumers that give clients access to predictive credit and other scores that can be integrated into their transaction streams and decision-making processes, as well as business-to-consumer scoring solutions comprising myFICO.com subscription offerings. Fair Isaac Corporation markets its products and services primarily through its direct sales organization and indirect channels, as well as online. The company was formerly known as Fair Isaac & Company, Inc. and changed its name to Fair Isaac Corporation in July 1992. Fair Isaac Corporation was founded in 1956 and is headquartered in Bozeman, Montana.",3437,"{'maxAge': 1, 'name': 'Mr. James M. Wehmann', 'age': 57, 'title': 'Exec. VP of Scores', 'yearBorn': 1965, 'fiscalYear': 2022, 'totalPay': 886846, 'exercisedValue': 0, 'unexercisedValue': 0}",10,4,2,7,6,1693526400,1672444800,86400,2,906.52,903.22,874.17,903.22,906.52,903.22,874.17,903.22,1488326400,0.0,1.214038,53.731163,37.15715,400243,400243,164493,190390,190390,888.84,1427.48,1000,800,22157709312,389.84,916.41,15.046945,855.9826,734.4999,0.0,0.0,USD,24342532096,0.2843,24204215,24857200,563486,533316,1690761600,1693440000,0.0227,0.02033,0.91289,3.91,0.0319,-28.281,1664496000,1696032000,1688083200,0.377,418649984,16.59,23.99,2.52,3:2,1078963200,16.531,38.94,NYQ,EQUITY,FICO,FICO,Fair Isaac Corproation,Fair Isaac Corporation,553959000,America/New_York,EDT,-14400000,891.4,1100.0,850.0,960.11,950.0,2.3,buy,9,163022000,6.558,625134016,1971992064,1.392,1.463,1472572032,58.709,0.25044,1075096000,360812000,449692000,0.407,0.142,0.78900003,0.42452,0.4138,USD,2.3108
3,5 West Mendenhall,Suite 105,Bozeman,MT,59715,United States,406 982 7276,https://www.fico.com,Software—Application,Technology,"Fair Isaac Corporation develops analytic, software, and data decisioning technologies and services that enable businesses to automate, enhance, and connect decisions in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. It operates through two segments, Scores and Software. The Software segment provides pre-configured analytic and decision management solution designed for various business needs or processes, such as account origination, customer management, customer engagement, fraud detection, financial crimes compliance, and marketing, as well as associated professional services. This segment also offers FICO Platform, a modular software offering designed to support advanced analytic and decision use cases, as well as stand-alone analytic and decisioning software that can be configured by customers to address a wide range of business use cases. The Scores segment provides business-to-business scoring solutions and services for consumers that give clients access to predictive credit and other scores that can be integrated into their transaction streams and decision-making processes, as well as business-to-consumer scoring solutions comprising myFICO.com subscription offerings. Fair Isaac Corporation markets its products and services primarily through its direct sales organization and indirect channels, as well as online. The company was formerly known as Fair Isaac & Company, Inc. and changed its name to Fair Isaac Corporation in July 1992. Fair Isaac Corporation was founded in 1956 and is headquartered in Bozeman, Montana.",3437,"{'maxAge': 1, 'name': 'Ms. Stephanie  Covert', 'age': 42, 'title': 'Exec. VP for Software', 'yearBorn': 1980, 'fiscalYear': 2022, 'totalPay': 865635, 'exercisedValue': 0, 'unexercisedValue': 0}",10,4,2,7,6,1693526400,1672444800,86400,2,906.52,903.22,874.17,903.22,906.52,903.22,874.17,903.22,1488326400,0.0,1.214038,53.731163,37.15715,400243,400243,164493,190390,190390,888.84,1427.48,1000,800,22157709312,389.84,916.41,15.046945,855.9826,734.4999,0.0,0.0,USD,24342532096,0.2843,24204215,24857200,563486,533316,1690761600,1693440000,0.0227,0.02033,0.91289,3.91,0.0319,-28.281,1664496000,1696032000,1688083200,0.377,418649984,16.59,23.99,2.52,3:2,1078963200,16.531,38.94,NYQ,EQUITY,FICO,FICO,Fair Isaac Corproation,Fair Isaac Corporation,553959000,America/New_York,EDT,-14400000,891.4,1100.0,850.0,960.11,950.0,2.3,buy,9,163022000,6.558,625134016,1971992064,1.392,1.463,1472572032,58.709,0.25044,1075096000,360812000,449692000,0.407,0.142,0.78900003,0.42452,0.4138,USD,2.3108
4,5 West Mendenhall,Suite 105,Bozeman,MT,59715,United States,406 982 7276,https://www.fico.com,Software—Application,Technology,"Fair Isaac Corporation develops analytic, software, and data decisioning technologies and services that enable businesses to automate, enhance, and connect decisions in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. It operates through two segments, Scores and Software. The Software segment provides pre-configured analytic and decision management solution designed for various business needs or processes, such as account origination, customer management, customer engagement, fraud detection, financial crimes compliance, and marketing, as well as associated professional services. This segment also offers FICO Platform, a modular software offering designed to support advanced analytic and decision use cases, as well as stand-alone analytic and decisioning software that can be configured by customers to address a wide range of business use cases. The Scores segment provides business-to-business scoring solutions and services for consumers that give clients access to predictive credit and other scores that can be integrated into their transaction streams and decision-making processes, as well as business-to-consumer scoring solutions comprising myFICO.com subscription offerings. Fair Isaac Corporation markets its products and services primarily through its direct sales organization and indirect channels, as well as online. The company was formerly known as Fair Isaac & Company, Inc. and changed its name to Fair Isaac Corporation in July 1992. Fair Isaac Corporation was founded in 1956 and is headquartered in Bozeman, Montana.",3437,"{'maxAge': 1, 'name': 'Mr. Steven P. Weber', 'title': 'Exec. VP & CFO', 'exercisedValue': 0, 'unexercisedValue': 0}",10,4,2,7,6,1693526400,1672444800,86400,2,906.52,903.22,874.17,903.22,906.52,903.22,874.17,903.22,1488326400,0.0,1.214038,53.731163,37.15715,400243,400243,164493,190390,190390,888.84,1427.48,1000,800,22157709312,389.84,916.41,15.046945,855.9826,734.4999,0.0,0.0,USD,24342532096,0.2843,24204215,24857200,563486,533316,1690761600,1693440000,0.0227,0.02033,0.91289,3.91,0.0319,-28.281,1664496000,1696032000,1688083200,0.377,418649984,16.59,23.99,2.52,3:2,1078963200,16.531,38.94,NYQ,EQUITY,FICO,FICO,Fair Isaac Corproation,Fair Isaac Corporation,553959000,America/New_York,EDT,-14400000,891.4,1100.0,850.0,960.11,950.0,2.3,buy,9,163022000,6.558,625134016,1971992064,1.392,1.463,1472572032,58.709,0.25044,1075096000,360812000,449692000,0.407,0.142,0.78900003,0.42452,0.4138,USD,2.3108
5,5 West Mendenhall,Suite 105,Bozeman,MT,59715,United States,406 982 7276,https://www.fico.com,Software—Application,Technology,"Fair Isaac Corporation develops analytic, software, and data decisioning technologies and services that enable businesses to automate, enhance, and connect decisions in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. It operates through two segments, Scores and Software. The Software segment provides pre-configured analytic and decision management solution designed for various business needs or processes, such as account origination, customer management, customer engagement, fraud detection, financial crimes compliance, and marketing, as well as associated professional services. This segment also offers FICO Platform, a modular software offering designed to support advanced analytic and decision use cases, as well as stand-alone analytic and decisioning software that can be configured by customers to address a wide range of business use cases. The Scores segment provides business-to-business scoring solutions and services for consumers that give clients access to predictive credit and other scores that can be integrated into their transaction streams and decision-making processes, as well as business-to-consumer scoring solutions comprising myFICO.com subscription offerings. Fair Isaac Corporation markets its products and services primarily through its direct sales organization and indirect channels, as well as online. The company was formerly known as Fair Isaac & Company, Inc. and changed its name to Fair Isaac Corporation in July 1992. Fair Isaac Corporation was founded in 1956 and is headquartered in Bozeman, Montana.",3437,"{'maxAge': 1, 'name': 'Mr. Michael S. Leonard', 'age': 57, 'title': 'VP & Chief Accounting Officer', 'yearBorn': 1965, 'exercisedValue': 0, 'unexercisedValue': 0}",10,4,2,7,6,1693526400,1672444800,86400,2,906.52,903.22,874.17,903.22,906.52,903.22,874.17,903.22,1488326400,0.0,1.214038,53.731163,37.15715,400243,400243,164493,190390,190390,888.84,1427.48,1000,800,22157709312,389.84,916.41,15.046945,855.9826,734.4999,0.0,0.0,USD,24342532096,0.2843,24204215,24857200,563486,533316,1690761600,1693440000,0.0227,0.02033,0.91289,3.91,0.0319,-28.281,1664496000,1696032000,1688083200,0.377,418649984,16.59,23.99,2.52,3:2,1078963200,16.531,38.94,NYQ,EQUITY,FICO,FICO,Fair Isaac Corproation,Fair Isaac Corporation,553959000,America/New_York,EDT,-14400000,891.4,1100.0,850.0,960.11,950.0,2.3,buy,9,163022000,6.558,625134016,1971992064,1.392,1.463,1472572032,58.709,0.25044,1075096000,360812000,449692000,0.407,0.142,0.78900003,0.42452,0.4138,USD,2.3108
6,5 West Mendenhall,Suite 105,Bozeman,MT,59715,United States,406 982 7276,https://www.fico.com,Software—Application,Technology,"Fair Isaac Corporation develops analytic, software, and data decisioning technologies and services that enable businesses to automate, enhance, and connect decisions in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. It operates through two segments, Scores and Software. The Software segment provides pre-configured analytic and decision management solution designed for various business needs or processes, such as account origination, customer management, customer engagement, fraud detection, financial crimes compliance, and marketing, as well as associated professional services. This segment also offers FICO Platform, a modular software offering designed to support advanced analytic and decision use cases, as well as stand-alone analytic and decisioning software that can be configured by customers to address a wide range of business use cases. The Scores segment provides business-to-business scoring solutions and services for consumers that give clients access to predictive credit and other scores that can be integrated into their transaction streams and decision-making processes, as well as business-to-consumer scoring solutions comprising myFICO.com subscription offerings. Fair Isaac Corporation markets its products and services primarily through its direct sales organization and indirect channels, as well as online. The company was formerly known as Fair Isaac & Company, Inc. and changed its name to Fair Isaac Corporation in July 1992. Fair Isaac Corporation was founded in 1956 and is headquartered in Bozeman, Montana.",3437,"{'maxAge': 1, 'name': 'Mr. Amir  Hermelin', 'title': 'VP & CTO', 'exercisedValue': 0, 'unexercisedValue': 0}",10,4,2,7,6,1693526400,1672444800,86400,2,906.52,903.22,874.17,903.22,906.52,903.22,874.17,903.22,1488326400,0.0,1.214038,53.731163,37.15715,400243,400243,164493,190390,190390,888.84,1427.48,1000,800,22157709312,389.84,916.41,15.046945,855.9826,734.4999,0.0,0.0,USD,24342532096,0.2843,24204215,24857200,563486,533316,1690761600,1693440000,0.0227,0.02033,0.91289,3.91,0.0319,-28.281,1664496000,1696032000,1688083200,0.377,418649984,16.59,23.99,2.52,3:2,1078963200,16.531,38.94,NYQ,EQUITY,FICO,FICO,Fair Isaac Corproation,Fair Isaac Corporation,553959000,America/New_York,EDT,-14400000,891.4,1100.0,850.0,960.11,950.0,2.3,buy,9,163022000,6.558,625134016,1971992064,1.392,1.463,1472572032,58.709,0.25044,1075096000,360812000,449692000,0.407,0.142,0.78900003,0.42452,0.4138,USD,2.3108
7,5 West Mendenhall,Suite 105,Bozeman,MT,59715,United States,406 982 7276,https://www.fico.com,Software—Application,Technology,"Fair Isaac Corporation develops analytic, software, and data decisioning technologies and services that enable businesses to automate, enhance, and connect decisions in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. It operates through two segments, Scores and Software. The Software segment provides pre-configured analytic and decision management solution designed for various business needs or processes, such as account origination, customer management, customer engagement, fraud detection, financial crimes compliance, and marketing, as well as associated professional services. This segment also offers FICO Platform, a modular software offering designed to support advanced analytic and decision use cases, as well as stand-alone analytic and decisioning software that can be configured by customers to address a wide range of business use cases. The Scores segment provides business-to-business scoring solutions and services for consumers that give clients access to predictive credit and other scores that can be integrated into their transaction streams and decision-making processes, as well as business-to-consumer scoring solutions comprising myFICO.com subscription offerings. Fair Isaac Corporation markets its products and services primarily through its direct sales organization and indirect channels, as well as online. The company was formerly known as Fair Isaac & Company, Inc. and changed its name to Fair Isaac Corporation in July 1992. Fair Isaac Corporation was founded in 1956 and is headquartered in Bozeman, Montana.",3437,"{'maxAge': 1, 'name': 'Mr. Don  Peterson', 'age': 60, 'title': 'VP of Global Sales & Client Success', 'yearBorn': 1962, 'exercisedValue': 0, 'unexercisedValue': 0}",10,4,2,7,6,1693526400,1672444800,86400,2,906.52,903.22,874.17,903.22,906.52,903.22,874.17,903.22,1488326400,0.0,1.214038,53.731163,37.15715,400243,400243,164493,190390,190390,888.84,1427.48,1000,800,22157709312,389.84,916.41,15.046945,855.9826,734.4999,0.0,0.0,USD,24342532096,0.2843,24204215,24857200,563486,533316,1690761600,1693440000,0.0227,0.02033,0.91289,3.91,0.0319,-28.281,1664496000,1696032000,1688083200,0.377,418649984,16.59,23.99,2.52,3:2,1078963200,16.531,38.94,NYQ,EQUITY,FICO,FICO,Fair Isaac Corproation,Fair Isaac Corporation,553959000,America/New_York,EDT,-14400000,891.4,1100.0,850.0,960.11,950.0,2.3,buy,9,163022000,6.558,625134016,1971992064,1.392,1.463,1472572032,58.709,0.25044,1075096000,360812000,449692000,0.407,0.142,0.78900003,0.42452,0.4138,USD,2.3108
8,5 West Mendenhall,Suite 105,Bozeman,MT,59715,United States,406 982 7276,https://www.fico.com,Software—Application,Technology,"Fair Isaac Corporation develops analytic, software, and data decisioning technologies and services that enable businesses to automate, enhance, and connect decisions in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. It operates through two segments, Scores and Software. The Software segment provides pre-configured analytic and decision management solution designed for various business needs or processes, such as account origination, customer management, customer engagement, fraud detection, financial crimes compliance, and marketing, as well as associated professional services. This segment also offers FICO Platform, a modular software offering designed to support advanced analytic and decision use cases, as well as stand-alone analytic and decisioning software that can be configured by customers to address a wide range of business use cases. The Scores segment provides business-to-business scoring solutions and services for consumers that give clients access to predictive credit and other scores that can be integrated into their transaction streams and decision-making processes, as well as business-to-consumer scoring solutions comprising myFICO.com subscription offerings. Fair Isaac Corporation markets its products and services primarily through its direct sales organization and indirect channels, as well as online. The company was formerly known as Fair Isaac & Company, Inc. and changed its name to Fair Isaac Corporation in July 1992. Fair Isaac Corporation was founded in 1956 and is headquartered in Bozeman, Montana.",3437,"{'maxAge': 1, 'name': 'Mr. Nikhil  Behl', 'age': 48, 'title': 'Exec. VP & Chief Marketing Officer', 'yearBorn': 1974, 'exercisedValue': 0, 'unexercisedValue': 0}",10,4,2,7,6,1693526400,1672444800,86400,2,906.52,903.22,874.17,903.22,906.52,903.22,874.17,903.22,1488326400,0.0,1.214038,53.731163,37.15715,400243,400243,164493,190390,190390,888.84,1427.48,1000,800,22157709312,389.84,916.41,15.046945,855.9826,734.4999,0.0,0.0,USD,24342532096,0.2843,24204215,24857200,563486,533316,1690761600,1693440000,0.0227,0.02033,0.91289,3.91,0.0319,-28.281,1664496000,1696032000,1688083200,0.377,418649984,16.59,23.99,2.52,3:2,1078963200,16.531,38.94,NYQ,EQUITY,FICO,FICO,Fair Isaac Corproation,Fair Isaac Corporation,553959000,America/New_York,EDT,-14400000,891.4,1100.0,850.0,960.11,950.0,2.3,buy,9,163022000,6.558,625134016,1971992064,1.392,1.463,1472572032,58.709,0.25044,1075096000,360812000,449692000,0.407,0.142,0.78900003,0.42452,0.4138,USD,2.3108
9,5 West Mendenhall,Suite 105,Bozeman,MT,59715,United States,406 982 7276,https://www.fico.com,Software—Application,Technology,"Fair Isaac Corporation develops analytic, software, and data decisioning technologies and services that enable businesses to automate, enhance, and connect decisions in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. It operates through two segments, Scores and Software. The Software segment provides pre-configured analytic and decision management solution designed for various business needs or processes, such as account origination, customer management, customer engagement, fraud detection, financial crimes compliance, and marketing, as well as associated professional services. This segment also offers FICO Platform, a modular software offering designed to support advanced analytic and decision use cases, as well as stand-alone analytic and decisioning software that can be configured by customers to address a wide range of business use cases. The Scores segment provides business-to-business scoring solutions and services for consumers that give clients access to predictive credit and other scores that can be integrated into their transaction streams and decision-making processes, as well as business-to-consumer scoring solutions comprising myFICO.com subscription offerings. Fair Isaac Corporation markets its products and services primarily through its direct sales organization and indirect channels, as well as online. The company was formerly known as Fair Isaac & Company, Inc. and changed its name to Fair Isaac Corporation in July 1992. Fair Isaac Corporation was founded in 1956 and is headquartered in Bozeman, Montana.",3437,"{'maxAge': 1, 'name': 'Mr. Richard Shawn Deal', 'age': 55, 'title': 'Exec. VP & Chief HR Officer', 'yearBorn': 1967, 'fiscalYear': 2009, 'exercisedValue': 0, 'unexercisedValue': 0}",10,4,2,7,6,1693526400,1672444800,86400,2,906.52,903.22,874.17,903.22,906.52,903.22,874.17,903.22,1488326400,0.0,1.214038,53.731163,37.15715,400243,400243,164493,190390,190390,888.84,1427.48,1000,800,22157709312,389.84,916.41,15.046945,855.9826,734.4999,0.0,0.0,USD,24342532096,0.2843,24204215,24857200,563486,533316,1690761600,1693440000,0.0227,0.02033,0.91289,3.91,0.0319,-28.281,1664496000,1696032000,1688083200,0.377,418649984,16.59,23.99,2.52,3:2,1078963200,16.531,38.94,NYQ,EQUITY,FICO,FICO,Fair Isaac Corproation,Fair Isaac Corporation,553959000,America/New_York,EDT,-14400000,891.4,1100.0,850.0,960.11,950.0,2.3,buy,9,163022000,6.558,625134016,1971992064,1.392,1.463,1472572032,58.709,0.25044,1075096000,360812000,449692000,0.407,0.142,0.78900003,0.42452,0.4138,USD,2.3108
