,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,totalRevenue,debtToEquity,revenuePerShare,grossProfits,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,InoxGFL Towers,Plot No. 17 Sector - 16A,Noida,201301,India,91 12 0614 9600,91 12 0614 9610,https://www.inoxwind.com,Specialty Industrial Machinery,Industrials,"Inox Wind Limited manufactures and distributes wind turbine generators and components for independent power producers, utilities, public sector undertakings, businesses, and private investors in India. The company provides wind turbine generator components, including nacelles, hubs, rotor blade sets, and tubular towers. It offers a range of services, such as wind resource assessment, site acquisition, infrastructure development, erection, procurement and commissioning, and long-term operations and maintenance services for wind power projects. Inox Wind Limited was incorporated in 2009 and is headquartered in Noida, India. The company is a subsidiary of Inox Wind Energy Limited.",831,"{'maxAge': 1, 'name': 'Mr. Kailash Lal Tarachandani', 'age': 54, 'title': 'Chief Exec. Officer', 'yearBorn': 1968, 'fiscalYear': 2023, 'totalPay': 1776000, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,194.85,193.05,193.05,201.8,194.85,193.05,193.05,201.8,0.0,0.572805,66753,66753,574338,57322,57322,196.7,198.2,0,0,64211755008,89.6,228.0,7.3377314,193.893,131.995,0.0,0.0,INR,89633185792,-0.68738,99673443,325948000,0.83938,0.00312,54.08,3.6427515,1680220800,1711843200,1688083200,-6015200256,-20.55,10.243,-44.33,BSE,EQUITY,INOXWIND.BO,INOXWIND.BO,Inox Wind Limited,Inox Wind Limited,1428551100,Asia/Kolkata,IST,19800000,197.0,none,2717199872,8.459,-2021969024,23822100480,8750900224,105.343,26.1,1549891000,0.656,0.21022,-0.23106001,-0.35839,INR,
1,InoxGFL Towers,Plot No. 17 Sector - 16A,Noida,201301,India,91 12 0614 9600,91 12 0614 9610,https://www.inoxwind.com,Specialty Industrial Machinery,Industrials,"Inox Wind Limited manufactures and distributes wind turbine generators and components for independent power producers, utilities, public sector undertakings, businesses, and private investors in India. The company provides wind turbine generator components, including nacelles, hubs, rotor blade sets, and tubular towers. It offers a range of services, such as wind resource assessment, site acquisition, infrastructure development, erection, procurement and commissioning, and long-term operations and maintenance services for wind power projects. Inox Wind Limited was incorporated in 2009 and is headquartered in Noida, India. The company is a subsidiary of Inox Wind Energy Limited.",831,"{'maxAge': 1, 'name': 'Mr. Devansh K. Jain', 'age': 36, 'title': 'Whole-Time Director', 'yearBorn': 1986, 'fiscalYear': 2023, 'totalPay': 12064000, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,194.85,193.05,193.05,201.8,194.85,193.05,193.05,201.8,0.0,0.572805,66753,66753,574338,57322,57322,196.7,198.2,0,0,64211755008,89.6,228.0,7.3377314,193.893,131.995,0.0,0.0,INR,89633185792,-0.68738,99673443,325948000,0.83938,0.00312,54.08,3.6427515,1680220800,1711843200,1688083200,-6015200256,-20.55,10.243,-44.33,BSE,EQUITY,INOXWIND.BO,INOXWIND.BO,Inox Wind Limited,Inox Wind Limited,1428551100,Asia/Kolkata,IST,19800000,197.0,none,2717199872,8.459,-2021969024,23822100480,8750900224,105.343,26.1,1549891000,0.656,0.21022,-0.23106001,-0.35839,INR,
2,InoxGFL Towers,Plot No. 17 Sector - 16A,Noida,201301,India,91 12 0614 9600,91 12 0614 9610,https://www.inoxwind.com,Specialty Industrial Machinery,Industrials,"Inox Wind Limited manufactures and distributes wind turbine generators and components for independent power producers, utilities, public sector undertakings, businesses, and private investors in India. The company provides wind turbine generator components, including nacelles, hubs, rotor blade sets, and tubular towers. It offers a range of services, such as wind resource assessment, site acquisition, infrastructure development, erection, procurement and commissioning, and long-term operations and maintenance services for wind power projects. Inox Wind Limited was incorporated in 2009 and is headquartered in Noida, India. The company is a subsidiary of Inox Wind Energy Limited.",831,"{'maxAge': 1, 'name': 'Mr. Manoj Shambhu Dixit', 'title': 'Whole Time Director', 'fiscalYear': 2023, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,194.85,193.05,193.05,201.8,194.85,193.05,193.05,201.8,0.0,0.572805,66753,66753,574338,57322,57322,196.7,198.2,0,0,64211755008,89.6,228.0,7.3377314,193.893,131.995,0.0,0.0,INR,89633185792,-0.68738,99673443,325948000,0.83938,0.00312,54.08,3.6427515,1680220800,1711843200,1688083200,-6015200256,-20.55,10.243,-44.33,BSE,EQUITY,INOXWIND.BO,INOXWIND.BO,Inox Wind Limited,Inox Wind Limited,1428551100,Asia/Kolkata,IST,19800000,197.0,none,2717199872,8.459,-2021969024,23822100480,8750900224,105.343,26.1,1549891000,0.656,0.21022,-0.23106001,-0.35839,INR,
3,InoxGFL Towers,Plot No. 17 Sector - 16A,Noida,201301,India,91 12 0614 9600,91 12 0614 9610,https://www.inoxwind.com,Specialty Industrial Machinery,Industrials,"Inox Wind Limited manufactures and distributes wind turbine generators and components for independent power producers, utilities, public sector undertakings, businesses, and private investors in India. The company provides wind turbine generator components, including nacelles, hubs, rotor blade sets, and tubular towers. It offers a range of services, such as wind resource assessment, site acquisition, infrastructure development, erection, procurement and commissioning, and long-term operations and maintenance services for wind power projects. Inox Wind Limited was incorporated in 2009 and is headquartered in Noida, India. The company is a subsidiary of Inox Wind Energy Limited.",831,"{'maxAge': 1, 'name': 'Mr. Narayan  Lodha', 'age': 44, 'title': 'Chief Financial Officer', 'yearBorn': 1978, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,194.85,193.05,193.05,201.8,194.85,193.05,193.05,201.8,0.0,0.572805,66753,66753,574338,57322,57322,196.7,198.2,0,0,64211755008,89.6,228.0,7.3377314,193.893,131.995,0.0,0.0,INR,89633185792,-0.68738,99673443,325948000,0.83938,0.00312,54.08,3.6427515,1680220800,1711843200,1688083200,-6015200256,-20.55,10.243,-44.33,BSE,EQUITY,INOXWIND.BO,INOXWIND.BO,Inox Wind Limited,Inox Wind Limited,1428551100,Asia/Kolkata,IST,19800000,197.0,none,2717199872,8.459,-2021969024,23822100480,8750900224,105.343,26.1,1549891000,0.656,0.21022,-0.23106001,-0.35839,INR,
4,InoxGFL Towers,Plot No. 17 Sector - 16A,Noida,201301,India,91 12 0614 9600,91 12 0614 9610,https://www.inoxwind.com,Specialty Industrial Machinery,Industrials,"Inox Wind Limited manufactures and distributes wind turbine generators and components for independent power producers, utilities, public sector undertakings, businesses, and private investors in India. The company provides wind turbine generator components, including nacelles, hubs, rotor blade sets, and tubular towers. It offers a range of services, such as wind resource assessment, site acquisition, infrastructure development, erection, procurement and commissioning, and long-term operations and maintenance services for wind power projects. Inox Wind Limited was incorporated in 2009 and is headquartered in Noida, India. The company is a subsidiary of Inox Wind Energy Limited.",831,"{'maxAge': 1, 'name': 'Mr. D. K Pashine', 'age': 57, 'title': 'Head of Operation and Coordination', 'yearBorn': 1965, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,194.85,193.05,193.05,201.8,194.85,193.05,193.05,201.8,0.0,0.572805,66753,66753,574338,57322,57322,196.7,198.2,0,0,64211755008,89.6,228.0,7.3377314,193.893,131.995,0.0,0.0,INR,89633185792,-0.68738,99673443,325948000,0.83938,0.00312,54.08,3.6427515,1680220800,1711843200,1688083200,-6015200256,-20.55,10.243,-44.33,BSE,EQUITY,INOXWIND.BO,INOXWIND.BO,Inox Wind Limited,Inox Wind Limited,1428551100,Asia/Kolkata,IST,19800000,197.0,none,2717199872,8.459,-2021969024,23822100480,8750900224,105.343,26.1,1549891000,0.656,0.21022,-0.23106001,-0.35839,INR,
5,InoxGFL Towers,Plot No. 17 Sector - 16A,Noida,201301,India,91 12 0614 9600,91 12 0614 9610,https://www.inoxwind.com,Specialty Industrial Machinery,Industrials,"Inox Wind Limited manufactures and distributes wind turbine generators and components for independent power producers, utilities, public sector undertakings, businesses, and private investors in India. The company provides wind turbine generator components, including nacelles, hubs, rotor blade sets, and tubular towers. It offers a range of services, such as wind resource assessment, site acquisition, infrastructure development, erection, procurement and commissioning, and long-term operations and maintenance services for wind power projects. Inox Wind Limited was incorporated in 2009 and is headquartered in Noida, India. The company is a subsidiary of Inox Wind Energy Limited.",831,"{'maxAge': 1, 'name': 'Dheeraj  Sood', 'title': 'Head of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,194.85,193.05,193.05,201.8,194.85,193.05,193.05,201.8,0.0,0.572805,66753,66753,574338,57322,57322,196.7,198.2,0,0,64211755008,89.6,228.0,7.3377314,193.893,131.995,0.0,0.0,INR,89633185792,-0.68738,99673443,325948000,0.83938,0.00312,54.08,3.6427515,1680220800,1711843200,1688083200,-6015200256,-20.55,10.243,-44.33,BSE,EQUITY,INOXWIND.BO,INOXWIND.BO,Inox Wind Limited,Inox Wind Limited,1428551100,Asia/Kolkata,IST,19800000,197.0,none,2717199872,8.459,-2021969024,23822100480,8750900224,105.343,26.1,1549891000,0.656,0.21022,-0.23106001,-0.35839,INR,
6,InoxGFL Towers,Plot No. 17 Sector - 16A,Noida,201301,India,91 12 0614 9600,91 12 0614 9610,https://www.inoxwind.com,Specialty Industrial Machinery,Industrials,"Inox Wind Limited manufactures and distributes wind turbine generators and components for independent power producers, utilities, public sector undertakings, businesses, and private investors in India. The company provides wind turbine generator components, including nacelles, hubs, rotor blade sets, and tubular towers. It offers a range of services, such as wind resource assessment, site acquisition, infrastructure development, erection, procurement and commissioning, and long-term operations and maintenance services for wind power projects. Inox Wind Limited was incorporated in 2009 and is headquartered in Noida, India. The company is a subsidiary of Inox Wind Energy Limited.",831,"{'maxAge': 1, 'name': 'Mr. Kalyan  Ghosh', 'title': 'Head of Legal & Secretarial', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,194.85,193.05,193.05,201.8,194.85,193.05,193.05,201.8,0.0,0.572805,66753,66753,574338,57322,57322,196.7,198.2,0,0,64211755008,89.6,228.0,7.3377314,193.893,131.995,0.0,0.0,INR,89633185792,-0.68738,99673443,325948000,0.83938,0.00312,54.08,3.6427515,1680220800,1711843200,1688083200,-6015200256,-20.55,10.243,-44.33,BSE,EQUITY,INOXWIND.BO,INOXWIND.BO,Inox Wind Limited,Inox Wind Limited,1428551100,Asia/Kolkata,IST,19800000,197.0,none,2717199872,8.459,-2021969024,23822100480,8750900224,105.343,26.1,1549891000,0.656,0.21022,-0.23106001,-0.35839,INR,
7,InoxGFL Towers,Plot No. 17 Sector - 16A,Noida,201301,India,91 12 0614 9600,91 12 0614 9610,https://www.inoxwind.com,Specialty Industrial Machinery,Industrials,"Inox Wind Limited manufactures and distributes wind turbine generators and components for independent power producers, utilities, public sector undertakings, businesses, and private investors in India. The company provides wind turbine generator components, including nacelles, hubs, rotor blade sets, and tubular towers. It offers a range of services, such as wind resource assessment, site acquisition, infrastructure development, erection, procurement and commissioning, and long-term operations and maintenance services for wind power projects. Inox Wind Limited was incorporated in 2009 and is headquartered in Noida, India. The company is a subsidiary of Inox Wind Energy Limited.",831,"{'maxAge': 1, 'name': 'Mr. Deepak  Banga', 'title': 'Compliance Officer & Company Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,194.85,193.05,193.05,201.8,194.85,193.05,193.05,201.8,0.0,0.572805,66753,66753,574338,57322,57322,196.7,198.2,0,0,64211755008,89.6,228.0,7.3377314,193.893,131.995,0.0,0.0,INR,89633185792,-0.68738,99673443,325948000,0.83938,0.00312,54.08,3.6427515,1680220800,1711843200,1688083200,-6015200256,-20.55,10.243,-44.33,BSE,EQUITY,INOXWIND.BO,INOXWIND.BO,Inox Wind Limited,Inox Wind Limited,1428551100,Asia/Kolkata,IST,19800000,197.0,none,2717199872,8.459,-2021969024,23822100480,8750900224,105.343,26.1,1549891000,0.656,0.21022,-0.23106001,-0.35839,INR,
8,InoxGFL Towers,Plot No. 17 Sector - 16A,Noida,201301,India,91 12 0614 9600,91 12 0614 9610,https://www.inoxwind.com,Specialty Industrial Machinery,Industrials,"Inox Wind Limited manufactures and distributes wind turbine generators and components for independent power producers, utilities, public sector undertakings, businesses, and private investors in India. The company provides wind turbine generator components, including nacelles, hubs, rotor blade sets, and tubular towers. It offers a range of services, such as wind resource assessment, site acquisition, infrastructure development, erection, procurement and commissioning, and long-term operations and maintenance services for wind power projects. Inox Wind Limited was incorporated in 2009 and is headquartered in Noida, India. The company is a subsidiary of Inox Wind Energy Limited.",831,"{'maxAge': 1, 'name': 'Mr. Jainesh  Pranay', 'age': 47, 'title': 'Head Production of Una Unit', 'yearBorn': 1975, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,194.85,193.05,193.05,201.8,194.85,193.05,193.05,201.8,0.0,0.572805,66753,66753,574338,57322,57322,196.7,198.2,0,0,64211755008,89.6,228.0,7.3377314,193.893,131.995,0.0,0.0,INR,89633185792,-0.68738,99673443,325948000,0.83938,0.00312,54.08,3.6427515,1680220800,1711843200,1688083200,-6015200256,-20.55,10.243,-44.33,BSE,EQUITY,INOXWIND.BO,INOXWIND.BO,Inox Wind Limited,Inox Wind Limited,1428551100,Asia/Kolkata,IST,19800000,197.0,none,2717199872,8.459,-2021969024,23822100480,8750900224,105.343,26.1,1549891000,0.656,0.21022,-0.23106001,-0.35839,INR,
9,InoxGFL Towers,Plot No. 17 Sector - 16A,Noida,201301,India,91 12 0614 9600,91 12 0614 9610,https://www.inoxwind.com,Specialty Industrial Machinery,Industrials,"Inox Wind Limited manufactures and distributes wind turbine generators and components for independent power producers, utilities, public sector undertakings, businesses, and private investors in India. The company provides wind turbine generator components, including nacelles, hubs, rotor blade sets, and tubular towers. It offers a range of services, such as wind resource assessment, site acquisition, infrastructure development, erection, procurement and commissioning, and long-term operations and maintenance services for wind power projects. Inox Wind Limited was incorporated in 2009 and is headquartered in Noida, India. The company is a subsidiary of Inox Wind Energy Limited.",831,"{'maxAge': 1, 'name': 'Mr. Rajinder  Singh', 'age': 50, 'title': 'Head of Supply Chain Management', 'yearBorn': 1972, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,194.85,193.05,193.05,201.8,194.85,193.05,193.05,201.8,0.0,0.572805,66753,66753,574338,57322,57322,196.7,198.2,0,0,64211755008,89.6,228.0,7.3377314,193.893,131.995,0.0,0.0,INR,89633185792,-0.68738,99673443,325948000,0.83938,0.00312,54.08,3.6427515,1680220800,1711843200,1688083200,-6015200256,-20.55,10.243,-44.33,BSE,EQUITY,INOXWIND.BO,INOXWIND.BO,Inox Wind Limited,Inox Wind Limited,1428551100,Asia/Kolkata,IST,19800000,197.0,none,2717199872,8.459,-2021969024,23822100480,8750900224,105.343,26.1,1549891000,0.656,0.21022,-0.23106001,-0.35839,INR,
