,address1,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,fiveYearAvgDividendYield,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,3 Barrington Road,Altrincham,WA14 1GY,United Kingdom,44 161 5524506,44 1925 234503,https://www.assuraplc.com,REIT—Healthcare Facilities,Real Estate,"Assura plc is a national healthcare premises specialist and UK REIT based in Warrington, UK - caring for more than 600 primary healthcare buildings, from which over six million patients are served. A constituent of the FTSE 250 and the EPRA indices, as at 31 March 2023, Assura's portfolio was valued at £2.7 billion. At Assura, we BUILD for health. Assura builds better spaces for people and places, invests in skills and inspires new ways of working, and unlocks the power of design and innovation to deliver lasting impact for communities - aiming for six million people to have benefitted from improvements to and through its healthcare buildings by 2026. Assura is leading for a sustainable future, targeting net zero carbon across its portfolio by 2040.",86,"{'maxAge': 1, 'name': 'Mr. Jonathan Stewart Murphy ACA, MBA', 'age': 50, 'title': 'CEO & Exec. Director', 'yearBorn': 1972, 'fiscalYear': 2023, 'totalPay': 860000, 'exercisedValue': 0, 'unexercisedValue': 0}",7,2,1,1,2,1693526400,1703980800,86400,2,46.18,46.22,45.36,46.7,46.18,46.22,45.36,46.7,0.03,0.071,1694044800,4.47,0.269519,12.920454,12228150,12228150,5973870,5425045,5425045,45.24,45.48,0,0,1348622976,43.04,63.55,8.966908,46.0392,49.96095,0.031,0.00067128625,GBp,2482867200,-0.79254997,2957513364,2965309952,0.0023999999,0.82462,0.536,84.850746,1680220800,1711843200,1680220800,-119200000,-0.04,3.52,2.92,16.508,19.991,LSE,EQUITY,AGR.L,AGR.L,ASSURA PLC ORD 10P,Assura Plc,1069401600,Europe/London,BST,3600000,45.48,70.0,48.0,55.45,55.0,2.2,buy,11,117600000,0.04,124200000,1252600064,1.918,1.947,150400000,78.904,0.051,0.02565,-0.07059,136037504,94100000,0.057,0.91754997,0.8258,0.82447,GBP,
1,3 Barrington Road,Altrincham,WA14 1GY,United Kingdom,44 161 5524506,44 1925 234503,https://www.assuraplc.com,REIT—Healthcare Facilities,Real Estate,"Assura plc is a national healthcare premises specialist and UK REIT based in Warrington, UK - caring for more than 600 primary healthcare buildings, from which over six million patients are served. A constituent of the FTSE 250 and the EPRA indices, as at 31 March 2023, Assura's portfolio was valued at £2.7 billion. At Assura, we BUILD for health. Assura builds better spaces for people and places, invests in skills and inspires new ways of working, and unlocks the power of design and innovation to deliver lasting impact for communities - aiming for six million people to have benefitted from improvements to and through its healthcare buildings by 2026. Assura is leading for a sustainable future, targeting net zero carbon across its portfolio by 2040.",86,"{'maxAge': 1, 'name': 'Ms. Jayne  Marie Cottam', 'age': 48, 'title': 'CFO & Exec. Director', 'yearBorn': 1974, 'fiscalYear': 2023, 'totalPay': 484000, 'exercisedValue': 0, 'unexercisedValue': 0}",7,2,1,1,2,1693526400,1703980800,86400,2,46.18,46.22,45.36,46.7,46.18,46.22,45.36,46.7,0.03,0.071,1694044800,4.47,0.269519,12.920454,12228150,12228150,5973870,5425045,5425045,45.24,45.48,0,0,1348622976,43.04,63.55,8.966908,46.0392,49.96095,0.031,0.00067128625,GBp,2482867200,-0.79254997,2957513364,2965309952,0.0023999999,0.82462,0.536,84.850746,1680220800,1711843200,1680220800,-119200000,-0.04,3.52,2.92,16.508,19.991,LSE,EQUITY,AGR.L,AGR.L,ASSURA PLC ORD 10P,Assura Plc,1069401600,Europe/London,BST,3600000,45.48,70.0,48.0,55.45,55.0,2.2,buy,11,117600000,0.04,124200000,1252600064,1.918,1.947,150400000,78.904,0.051,0.02565,-0.07059,136037504,94100000,0.057,0.91754997,0.8258,0.82447,GBP,
2,3 Barrington Road,Altrincham,WA14 1GY,United Kingdom,44 161 5524506,44 1925 234503,https://www.assuraplc.com,REIT—Healthcare Facilities,Real Estate,"Assura plc is a national healthcare premises specialist and UK REIT based in Warrington, UK - caring for more than 600 primary healthcare buildings, from which over six million patients are served. A constituent of the FTSE 250 and the EPRA indices, as at 31 March 2023, Assura's portfolio was valued at £2.7 billion. At Assura, we BUILD for health. Assura builds better spaces for people and places, invests in skills and inspires new ways of working, and unlocks the power of design and innovation to deliver lasting impact for communities - aiming for six million people to have benefitted from improvements to and through its healthcare buildings by 2026. Assura is leading for a sustainable future, targeting net zero carbon across its portfolio by 2040.",86,"{'maxAge': 1, 'name': 'Ms. Amanda  Roddy', 'title': 'Sr. Investment Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",7,2,1,1,2,1693526400,1703980800,86400,2,46.18,46.22,45.36,46.7,46.18,46.22,45.36,46.7,0.03,0.071,1694044800,4.47,0.269519,12.920454,12228150,12228150,5973870,5425045,5425045,45.24,45.48,0,0,1348622976,43.04,63.55,8.966908,46.0392,49.96095,0.031,0.00067128625,GBp,2482867200,-0.79254997,2957513364,2965309952,0.0023999999,0.82462,0.536,84.850746,1680220800,1711843200,1680220800,-119200000,-0.04,3.52,2.92,16.508,19.991,LSE,EQUITY,AGR.L,AGR.L,ASSURA PLC ORD 10P,Assura Plc,1069401600,Europe/London,BST,3600000,45.48,70.0,48.0,55.45,55.0,2.2,buy,11,117600000,0.04,124200000,1252600064,1.918,1.947,150400000,78.904,0.051,0.02565,-0.07059,136037504,94100000,0.057,0.91754997,0.8258,0.82447,GBP,
3,3 Barrington Road,Altrincham,WA14 1GY,United Kingdom,44 161 5524506,44 1925 234503,https://www.assuraplc.com,REIT—Healthcare Facilities,Real Estate,"Assura plc is a national healthcare premises specialist and UK REIT based in Warrington, UK - caring for more than 600 primary healthcare buildings, from which over six million patients are served. A constituent of the FTSE 250 and the EPRA indices, as at 31 March 2023, Assura's portfolio was valued at £2.7 billion. At Assura, we BUILD for health. Assura builds better spaces for people and places, invests in skills and inspires new ways of working, and unlocks the power of design and innovation to deliver lasting impact for communities - aiming for six million people to have benefitted from improvements to and through its healthcare buildings by 2026. Assura is leading for a sustainable future, targeting net zero carbon across its portfolio by 2040.",86,"{'maxAge': 1, 'name': 'Ms. Joanne  Cullen', 'title': 'Sr. Management Accountant', 'exercisedValue': 0, 'unexercisedValue': 0}",7,2,1,1,2,1693526400,1703980800,86400,2,46.18,46.22,45.36,46.7,46.18,46.22,45.36,46.7,0.03,0.071,1694044800,4.47,0.269519,12.920454,12228150,12228150,5973870,5425045,5425045,45.24,45.48,0,0,1348622976,43.04,63.55,8.966908,46.0392,49.96095,0.031,0.00067128625,GBp,2482867200,-0.79254997,2957513364,2965309952,0.0023999999,0.82462,0.536,84.850746,1680220800,1711843200,1680220800,-119200000,-0.04,3.52,2.92,16.508,19.991,LSE,EQUITY,AGR.L,AGR.L,ASSURA PLC ORD 10P,Assura Plc,1069401600,Europe/London,BST,3600000,45.48,70.0,48.0,55.45,55.0,2.2,buy,11,117600000,0.04,124200000,1252600064,1.918,1.947,150400000,78.904,0.051,0.02565,-0.07059,136037504,94100000,0.057,0.91754997,0.8258,0.82447,GBP,
4,3 Barrington Road,Altrincham,WA14 1GY,United Kingdom,44 161 5524506,44 1925 234503,https://www.assuraplc.com,REIT—Healthcare Facilities,Real Estate,"Assura plc is a national healthcare premises specialist and UK REIT based in Warrington, UK - caring for more than 600 primary healthcare buildings, from which over six million patients are served. A constituent of the FTSE 250 and the EPRA indices, as at 31 March 2023, Assura's portfolio was valued at £2.7 billion. At Assura, we BUILD for health. Assura builds better spaces for people and places, invests in skills and inspires new ways of working, and unlocks the power of design and innovation to deliver lasting impact for communities - aiming for six million people to have benefitted from improvements to and through its healthcare buildings by 2026. Assura is leading for a sustainable future, targeting net zero carbon across its portfolio by 2040.",86,"{'maxAge': 1, 'name': 'Mr. David  Purcell', 'title': 'Investor Relations Director', 'exercisedValue': 0, 'unexercisedValue': 0}",7,2,1,1,2,1693526400,1703980800,86400,2,46.18,46.22,45.36,46.7,46.18,46.22,45.36,46.7,0.03,0.071,1694044800,4.47,0.269519,12.920454,12228150,12228150,5973870,5425045,5425045,45.24,45.48,0,0,1348622976,43.04,63.55,8.966908,46.0392,49.96095,0.031,0.00067128625,GBp,2482867200,-0.79254997,2957513364,2965309952,0.0023999999,0.82462,0.536,84.850746,1680220800,1711843200,1680220800,-119200000,-0.04,3.52,2.92,16.508,19.991,LSE,EQUITY,AGR.L,AGR.L,ASSURA PLC ORD 10P,Assura Plc,1069401600,Europe/London,BST,3600000,45.48,70.0,48.0,55.45,55.0,2.2,buy,11,117600000,0.04,124200000,1252600064,1.918,1.947,150400000,78.904,0.051,0.02565,-0.07059,136037504,94100000,0.057,0.91754997,0.8258,0.82447,GBP,
5,3 Barrington Road,Altrincham,WA14 1GY,United Kingdom,44 161 5524506,44 1925 234503,https://www.assuraplc.com,REIT—Healthcare Facilities,Real Estate,"Assura plc is a national healthcare premises specialist and UK REIT based in Warrington, UK - caring for more than 600 primary healthcare buildings, from which over six million patients are served. A constituent of the FTSE 250 and the EPRA indices, as at 31 March 2023, Assura's portfolio was valued at £2.7 billion. At Assura, we BUILD for health. Assura builds better spaces for people and places, invests in skills and inspires new ways of working, and unlocks the power of design and innovation to deliver lasting impact for communities - aiming for six million people to have benefitted from improvements to and through its healthcare buildings by 2026. Assura is leading for a sustainable future, targeting net zero carbon across its portfolio by 2040.",86,"{'maxAge': 1, 'name': 'Ms. Orla  Ball', 'title': 'Head of Legal & Company Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",7,2,1,1,2,1693526400,1703980800,86400,2,46.18,46.22,45.36,46.7,46.18,46.22,45.36,46.7,0.03,0.071,1694044800,4.47,0.269519,12.920454,12228150,12228150,5973870,5425045,5425045,45.24,45.48,0,0,1348622976,43.04,63.55,8.966908,46.0392,49.96095,0.031,0.00067128625,GBp,2482867200,-0.79254997,2957513364,2965309952,0.0023999999,0.82462,0.536,84.850746,1680220800,1711843200,1680220800,-119200000,-0.04,3.52,2.92,16.508,19.991,LSE,EQUITY,AGR.L,AGR.L,ASSURA PLC ORD 10P,Assura Plc,1069401600,Europe/London,BST,3600000,45.48,70.0,48.0,55.45,55.0,2.2,buy,11,117600000,0.04,124200000,1252600064,1.918,1.947,150400000,78.904,0.051,0.02565,-0.07059,136037504,94100000,0.057,0.91754997,0.8258,0.82447,GBP,
6,3 Barrington Road,Altrincham,WA14 1GY,United Kingdom,44 161 5524506,44 1925 234503,https://www.assuraplc.com,REIT—Healthcare Facilities,Real Estate,"Assura plc is a national healthcare premises specialist and UK REIT based in Warrington, UK - caring for more than 600 primary healthcare buildings, from which over six million patients are served. A constituent of the FTSE 250 and the EPRA indices, as at 31 March 2023, Assura's portfolio was valued at £2.7 billion. At Assura, we BUILD for health. Assura builds better spaces for people and places, invests in skills and inspires new ways of working, and unlocks the power of design and innovation to deliver lasting impact for communities - aiming for six million people to have benefitted from improvements to and through its healthcare buildings by 2026. Assura is leading for a sustainable future, targeting net zero carbon across its portfolio by 2040.",86,"{'maxAge': 1, 'name': 'Ms. Debbie  Chalcraft', 'title': 'Group Compliance Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",7,2,1,1,2,1693526400,1703980800,86400,2,46.18,46.22,45.36,46.7,46.18,46.22,45.36,46.7,0.03,0.071,1694044800,4.47,0.269519,12.920454,12228150,12228150,5973870,5425045,5425045,45.24,45.48,0,0,1348622976,43.04,63.55,8.966908,46.0392,49.96095,0.031,0.00067128625,GBp,2482867200,-0.79254997,2957513364,2965309952,0.0023999999,0.82462,0.536,84.850746,1680220800,1711843200,1680220800,-119200000,-0.04,3.52,2.92,16.508,19.991,LSE,EQUITY,AGR.L,AGR.L,ASSURA PLC ORD 10P,Assura Plc,1069401600,Europe/London,BST,3600000,45.48,70.0,48.0,55.45,55.0,2.2,buy,11,117600000,0.04,124200000,1252600064,1.918,1.947,150400000,78.904,0.051,0.02565,-0.07059,136037504,94100000,0.057,0.91754997,0.8258,0.82447,GBP,
7,3 Barrington Road,Altrincham,WA14 1GY,United Kingdom,44 161 5524506,44 1925 234503,https://www.assuraplc.com,REIT—Healthcare Facilities,Real Estate,"Assura plc is a national healthcare premises specialist and UK REIT based in Warrington, UK - caring for more than 600 primary healthcare buildings, from which over six million patients are served. A constituent of the FTSE 250 and the EPRA indices, as at 31 March 2023, Assura's portfolio was valued at £2.7 billion. At Assura, we BUILD for health. Assura builds better spaces for people and places, invests in skills and inspires new ways of working, and unlocks the power of design and innovation to deliver lasting impact for communities - aiming for six million people to have benefitted from improvements to and through its healthcare buildings by 2026. Assura is leading for a sustainable future, targeting net zero carbon across its portfolio by 2040.",86,"{'maxAge': 1, 'name': 'Ms. Francesca  Harris', 'title': 'Marketing Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",7,2,1,1,2,1693526400,1703980800,86400,2,46.18,46.22,45.36,46.7,46.18,46.22,45.36,46.7,0.03,0.071,1694044800,4.47,0.269519,12.920454,12228150,12228150,5973870,5425045,5425045,45.24,45.48,0,0,1348622976,43.04,63.55,8.966908,46.0392,49.96095,0.031,0.00067128625,GBp,2482867200,-0.79254997,2957513364,2965309952,0.0023999999,0.82462,0.536,84.850746,1680220800,1711843200,1680220800,-119200000,-0.04,3.52,2.92,16.508,19.991,LSE,EQUITY,AGR.L,AGR.L,ASSURA PLC ORD 10P,Assura Plc,1069401600,Europe/London,BST,3600000,45.48,70.0,48.0,55.45,55.0,2.2,buy,11,117600000,0.04,124200000,1252600064,1.918,1.947,150400000,78.904,0.051,0.02565,-0.07059,136037504,94100000,0.057,0.91754997,0.8258,0.82447,GBP,
8,3 Barrington Road,Altrincham,WA14 1GY,United Kingdom,44 161 5524506,44 1925 234503,https://www.assuraplc.com,REIT—Healthcare Facilities,Real Estate,"Assura plc is a national healthcare premises specialist and UK REIT based in Warrington, UK - caring for more than 600 primary healthcare buildings, from which over six million patients are served. A constituent of the FTSE 250 and the EPRA indices, as at 31 March 2023, Assura's portfolio was valued at £2.7 billion. At Assura, we BUILD for health. Assura builds better spaces for people and places, invests in skills and inspires new ways of working, and unlocks the power of design and innovation to deliver lasting impact for communities - aiming for six million people to have benefitted from improvements to and through its healthcare buildings by 2026. Assura is leading for a sustainable future, targeting net zero carbon across its portfolio by 2040.",86,"{'maxAge': 1, 'name': 'Ms. Sarah  Taylor', 'title': 'Chief People Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",7,2,1,1,2,1693526400,1703980800,86400,2,46.18,46.22,45.36,46.7,46.18,46.22,45.36,46.7,0.03,0.071,1694044800,4.47,0.269519,12.920454,12228150,12228150,5973870,5425045,5425045,45.24,45.48,0,0,1348622976,43.04,63.55,8.966908,46.0392,49.96095,0.031,0.00067128625,GBp,2482867200,-0.79254997,2957513364,2965309952,0.0023999999,0.82462,0.536,84.850746,1680220800,1711843200,1680220800,-119200000,-0.04,3.52,2.92,16.508,19.991,LSE,EQUITY,AGR.L,AGR.L,ASSURA PLC ORD 10P,Assura Plc,1069401600,Europe/London,BST,3600000,45.48,70.0,48.0,55.45,55.0,2.2,buy,11,117600000,0.04,124200000,1252600064,1.918,1.947,150400000,78.904,0.051,0.02565,-0.07059,136037504,94100000,0.057,0.91754997,0.8258,0.82447,GBP,
9,3 Barrington Road,Altrincham,WA14 1GY,United Kingdom,44 161 5524506,44 1925 234503,https://www.assuraplc.com,REIT—Healthcare Facilities,Real Estate,"Assura plc is a national healthcare premises specialist and UK REIT based in Warrington, UK - caring for more than 600 primary healthcare buildings, from which over six million patients are served. A constituent of the FTSE 250 and the EPRA indices, as at 31 March 2023, Assura's portfolio was valued at £2.7 billion. At Assura, we BUILD for health. Assura builds better spaces for people and places, invests in skills and inspires new ways of working, and unlocks the power of design and innovation to deliver lasting impact for communities - aiming for six million people to have benefitted from improvements to and through its healthcare buildings by 2026. Assura is leading for a sustainable future, targeting net zero carbon across its portfolio by 2040.",86,"{'maxAge': 1, 'name': 'Mr. Robert  James', 'title': 'Head of Devel.', 'exercisedValue': 0, 'unexercisedValue': 0}",7,2,1,1,2,1693526400,1703980800,86400,2,46.18,46.22,45.36,46.7,46.18,46.22,45.36,46.7,0.03,0.071,1694044800,4.47,0.269519,12.920454,12228150,12228150,5973870,5425045,5425045,45.24,45.48,0,0,1348622976,43.04,63.55,8.966908,46.0392,49.96095,0.031,0.00067128625,GBp,2482867200,-0.79254997,2957513364,2965309952,0.0023999999,0.82462,0.536,84.850746,1680220800,1711843200,1680220800,-119200000,-0.04,3.52,2.92,16.508,19.991,LSE,EQUITY,AGR.L,AGR.L,ASSURA PLC ORD 10P,Assura Plc,1069401600,Europe/London,BST,3600000,45.48,70.0,48.0,55.45,55.0,2.2,buy,11,117600000,0.04,124200000,1252600064,1.918,1.947,150400000,78.904,0.051,0.02565,-0.07059,136037504,94100000,0.057,0.91754997,0.8258,0.82447,GBP,
