,address1,address2,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Oak House,Hirzel Street,Saint Peter Port,GY1 2NP,Guernsey,44 1481 723 450,https://www.burfordcapital.com,Asset Management,Financial Services,"Burford Capital Limited, through its subsidiaries, provides legal finance products and services worldwide. The company operates through two segments, Capital Provision, and Asset Management and Other Provision. The Capital Provision segment provides capital to the legal industry or in connection with legal matters directly and through investment in private funds. The Asset Management and Other Services segment provides services to the legal industry, including litigation insurance. The company also offers alternative strategies, including lower risk legal finance, post-settlement, and complex strategies. The company was incorporated in 2009 and is based in Saint Peter Port, Guernsey.",158,"{'maxAge': 1, 'name': 'Mr. Christopher P. Bogart', 'age': 57, 'title': 'CEO & Director', 'yearBorn': 1965, 'fiscalYear': 2022, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,15.45,15.11,14.71,15.29,15.45,15.11,14.71,15.29,0.12,0.0084,1699488000,0.1042,1.021396,12.375,946536,946536,668745,1594850,1594850,14.75,14.99,900,800,3251556096,6.09,17.7,13.397154,13.5624,11.1279,0.125,0.008090615,USD,5231544832,1.0772899,200238565,218960000,2167728,2091434,1690761600,1693440000,0.0099,0.09241,0.64569,4.46,0.0123000005,8.869,1.6743714,1672444800,1703980800,1688083200,261463008,1.2,21.555,NYQ,EQUITY,BUR,BUR,Burford Capital Limited,Burford Capital Limited,1603114200,America/New_York,EDT,-14400000,14.85,20.0,16.7,18.68,19.0,1.3,strong_buy,4,472516000,2.158,1658504960,32.617,32.617,242704992,60.616,1.11,0.01071,0.13578,310982000,-46983000,-545190016,-0.376,0.93781,0.0,0.31861,USD,
1,Oak House,Hirzel Street,Saint Peter Port,GY1 2NP,Guernsey,44 1481 723 450,https://www.burfordcapital.com,Asset Management,Financial Services,"Burford Capital Limited, through its subsidiaries, provides legal finance products and services worldwide. The company operates through two segments, Capital Provision, and Asset Management and Other Provision. The Capital Provision segment provides capital to the legal industry or in connection with legal matters directly and through investment in private funds. The Asset Management and Other Services segment provides services to the legal industry, including litigation insurance. The company also offers alternative strategies, including lower risk legal finance, post-settlement, and complex strategies. The company was incorporated in 2009 and is based in Saint Peter Port, Guernsey.",158,"{'maxAge': 1, 'name': 'Mr. Daniel  Hall', 'title': 'Co-Founder, MD & Co-Heads of EMEA', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,15.45,15.11,14.71,15.29,15.45,15.11,14.71,15.29,0.12,0.0084,1699488000,0.1042,1.021396,12.375,946536,946536,668745,1594850,1594850,14.75,14.99,900,800,3251556096,6.09,17.7,13.397154,13.5624,11.1279,0.125,0.008090615,USD,5231544832,1.0772899,200238565,218960000,2167728,2091434,1690761600,1693440000,0.0099,0.09241,0.64569,4.46,0.0123000005,8.869,1.6743714,1672444800,1703980800,1688083200,261463008,1.2,21.555,NYQ,EQUITY,BUR,BUR,Burford Capital Limited,Burford Capital Limited,1603114200,America/New_York,EDT,-14400000,14.85,20.0,16.7,18.68,19.0,1.3,strong_buy,4,472516000,2.158,1658504960,32.617,32.617,242704992,60.616,1.11,0.01071,0.13578,310982000,-46983000,-545190016,-0.376,0.93781,0.0,0.31861,USD,
2,Oak House,Hirzel Street,Saint Peter Port,GY1 2NP,Guernsey,44 1481 723 450,https://www.burfordcapital.com,Asset Management,Financial Services,"Burford Capital Limited, through its subsidiaries, provides legal finance products and services worldwide. The company operates through two segments, Capital Provision, and Asset Management and Other Provision. The Capital Provision segment provides capital to the legal industry or in connection with legal matters directly and through investment in private funds. The Asset Management and Other Services segment provides services to the legal industry, including litigation insurance. The company also offers alternative strategies, including lower risk legal finance, post-settlement, and complex strategies. The company was incorporated in 2009 and is based in Saint Peter Port, Guernsey.",158,"{'maxAge': 1, 'name': 'Mr. Jordan  Licht', 'age': 44, 'title': 'Chief Financial Officer', 'yearBorn': 1978, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,15.45,15.11,14.71,15.29,15.45,15.11,14.71,15.29,0.12,0.0084,1699488000,0.1042,1.021396,12.375,946536,946536,668745,1594850,1594850,14.75,14.99,900,800,3251556096,6.09,17.7,13.397154,13.5624,11.1279,0.125,0.008090615,USD,5231544832,1.0772899,200238565,218960000,2167728,2091434,1690761600,1693440000,0.0099,0.09241,0.64569,4.46,0.0123000005,8.869,1.6743714,1672444800,1703980800,1688083200,261463008,1.2,21.555,NYQ,EQUITY,BUR,BUR,Burford Capital Limited,Burford Capital Limited,1603114200,America/New_York,EDT,-14400000,14.85,20.0,16.7,18.68,19.0,1.3,strong_buy,4,472516000,2.158,1658504960,32.617,32.617,242704992,60.616,1.11,0.01071,0.13578,310982000,-46983000,-545190016,-0.376,0.93781,0.0,0.31861,USD,
3,Oak House,Hirzel Street,Saint Peter Port,GY1 2NP,Guernsey,44 1481 723 450,https://www.burfordcapital.com,Asset Management,Financial Services,"Burford Capital Limited, through its subsidiaries, provides legal finance products and services worldwide. The company operates through two segments, Capital Provision, and Asset Management and Other Provision. The Capital Provision segment provides capital to the legal industry or in connection with legal matters directly and through investment in private funds. The Asset Management and Other Services segment provides services to the legal industry, including litigation insurance. The company also offers alternative strategies, including lower risk legal finance, post-settlement, and complex strategies. The company was incorporated in 2009 and is based in Saint Peter Port, Guernsey.",158,"{'maxAge': 1, 'name': 'Ms. Aviva O. Will', 'age': 53, 'title': 'Co-Chief Operating Officer', 'yearBorn': 1969, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,15.45,15.11,14.71,15.29,15.45,15.11,14.71,15.29,0.12,0.0084,1699488000,0.1042,1.021396,12.375,946536,946536,668745,1594850,1594850,14.75,14.99,900,800,3251556096,6.09,17.7,13.397154,13.5624,11.1279,0.125,0.008090615,USD,5231544832,1.0772899,200238565,218960000,2167728,2091434,1690761600,1693440000,0.0099,0.09241,0.64569,4.46,0.0123000005,8.869,1.6743714,1672444800,1703980800,1688083200,261463008,1.2,21.555,NYQ,EQUITY,BUR,BUR,Burford Capital Limited,Burford Capital Limited,1603114200,America/New_York,EDT,-14400000,14.85,20.0,16.7,18.68,19.0,1.3,strong_buy,4,472516000,2.158,1658504960,32.617,32.617,242704992,60.616,1.11,0.01071,0.13578,310982000,-46983000,-545190016,-0.376,0.93781,0.0,0.31861,USD,
4,Oak House,Hirzel Street,Saint Peter Port,GY1 2NP,Guernsey,44 1481 723 450,https://www.burfordcapital.com,Asset Management,Financial Services,"Burford Capital Limited, through its subsidiaries, provides legal finance products and services worldwide. The company operates through two segments, Capital Provision, and Asset Management and Other Provision. The Capital Provision segment provides capital to the legal industry or in connection with legal matters directly and through investment in private funds. The Asset Management and Other Services segment provides services to the legal industry, including litigation insurance. The company also offers alternative strategies, including lower risk legal finance, post-settlement, and complex strategies. The company was incorporated in 2009 and is based in Saint Peter Port, Guernsey.",158,"{'maxAge': 1, 'name': 'Mr. David  Perla', 'age': 52, 'title': 'Co-Chief Operating Officer', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,15.45,15.11,14.71,15.29,15.45,15.11,14.71,15.29,0.12,0.0084,1699488000,0.1042,1.021396,12.375,946536,946536,668745,1594850,1594850,14.75,14.99,900,800,3251556096,6.09,17.7,13.397154,13.5624,11.1279,0.125,0.008090615,USD,5231544832,1.0772899,200238565,218960000,2167728,2091434,1690761600,1693440000,0.0099,0.09241,0.64569,4.46,0.0123000005,8.869,1.6743714,1672444800,1703980800,1688083200,261463008,1.2,21.555,NYQ,EQUITY,BUR,BUR,Burford Capital Limited,Burford Capital Limited,1603114200,America/New_York,EDT,-14400000,14.85,20.0,16.7,18.68,19.0,1.3,strong_buy,4,472516000,2.158,1658504960,32.617,32.617,242704992,60.616,1.11,0.01071,0.13578,310982000,-46983000,-545190016,-0.376,0.93781,0.0,0.31861,USD,
5,Oak House,Hirzel Street,Saint Peter Port,GY1 2NP,Guernsey,44 1481 723 450,https://www.burfordcapital.com,Asset Management,Financial Services,"Burford Capital Limited, through its subsidiaries, provides legal finance products and services worldwide. The company operates through two segments, Capital Provision, and Asset Management and Other Provision. The Capital Provision segment provides capital to the legal industry or in connection with legal matters directly and through investment in private funds. The Asset Management and Other Services segment provides services to the legal industry, including litigation insurance. The company also offers alternative strategies, including lower risk legal finance, post-settlement, and complex strategies. The company was incorporated in 2009 and is based in Saint Peter Port, Guernsey.",158,"{'maxAge': 1, 'name': 'Mr. Jonathan T. Molot', 'age': 55, 'title': 'Chief Investment Officer', 'yearBorn': 1967, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,15.45,15.11,14.71,15.29,15.45,15.11,14.71,15.29,0.12,0.0084,1699488000,0.1042,1.021396,12.375,946536,946536,668745,1594850,1594850,14.75,14.99,900,800,3251556096,6.09,17.7,13.397154,13.5624,11.1279,0.125,0.008090615,USD,5231544832,1.0772899,200238565,218960000,2167728,2091434,1690761600,1693440000,0.0099,0.09241,0.64569,4.46,0.0123000005,8.869,1.6743714,1672444800,1703980800,1688083200,261463008,1.2,21.555,NYQ,EQUITY,BUR,BUR,Burford Capital Limited,Burford Capital Limited,1603114200,America/New_York,EDT,-14400000,14.85,20.0,16.7,18.68,19.0,1.3,strong_buy,4,472516000,2.158,1658504960,32.617,32.617,242704992,60.616,1.11,0.01071,0.13578,310982000,-46983000,-545190016,-0.376,0.93781,0.0,0.31861,USD,
6,Oak House,Hirzel Street,Saint Peter Port,GY1 2NP,Guernsey,44 1481 723 450,https://www.burfordcapital.com,Asset Management,Financial Services,"Burford Capital Limited, through its subsidiaries, provides legal finance products and services worldwide. The company operates through two segments, Capital Provision, and Asset Management and Other Provision. The Capital Provision segment provides capital to the legal industry or in connection with legal matters directly and through investment in private funds. The Asset Management and Other Services segment provides services to the legal industry, including litigation insurance. The company also offers alternative strategies, including lower risk legal finance, post-settlement, and complex strategies. The company was incorporated in 2009 and is based in Saint Peter Port, Guernsey.",158,"{'maxAge': 1, 'name': 'Mr. Charles  Utley A.C.A.', 'title': 'Chief Accounting Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,15.45,15.11,14.71,15.29,15.45,15.11,14.71,15.29,0.12,0.0084,1699488000,0.1042,1.021396,12.375,946536,946536,668745,1594850,1594850,14.75,14.99,900,800,3251556096,6.09,17.7,13.397154,13.5624,11.1279,0.125,0.008090615,USD,5231544832,1.0772899,200238565,218960000,2167728,2091434,1690761600,1693440000,0.0099,0.09241,0.64569,4.46,0.0123000005,8.869,1.6743714,1672444800,1703980800,1688083200,261463008,1.2,21.555,NYQ,EQUITY,BUR,BUR,Burford Capital Limited,Burford Capital Limited,1603114200,America/New_York,EDT,-14400000,14.85,20.0,16.7,18.68,19.0,1.3,strong_buy,4,472516000,2.158,1658504960,32.617,32.617,242704992,60.616,1.11,0.01071,0.13578,310982000,-46983000,-545190016,-0.376,0.93781,0.0,0.31861,USD,
7,Oak House,Hirzel Street,Saint Peter Port,GY1 2NP,Guernsey,44 1481 723 450,https://www.burfordcapital.com,Asset Management,Financial Services,"Burford Capital Limited, through its subsidiaries, provides legal finance products and services worldwide. The company operates through two segments, Capital Provision, and Asset Management and Other Provision. The Capital Provision segment provides capital to the legal industry or in connection with legal matters directly and through investment in private funds. The Asset Management and Other Services segment provides services to the legal industry, including litigation insurance. The company also offers alternative strategies, including lower risk legal finance, post-settlement, and complex strategies. The company was incorporated in 2009 and is based in Saint Peter Port, Guernsey.",158,"{'maxAge': 1, 'name': 'Mr. Mark N. Klein', 'age': 54, 'title': 'Chief Admin. Officer & Gen. Counsel', 'yearBorn': 1968, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,15.45,15.11,14.71,15.29,15.45,15.11,14.71,15.29,0.12,0.0084,1699488000,0.1042,1.021396,12.375,946536,946536,668745,1594850,1594850,14.75,14.99,900,800,3251556096,6.09,17.7,13.397154,13.5624,11.1279,0.125,0.008090615,USD,5231544832,1.0772899,200238565,218960000,2167728,2091434,1690761600,1693440000,0.0099,0.09241,0.64569,4.46,0.0123000005,8.869,1.6743714,1672444800,1703980800,1688083200,261463008,1.2,21.555,NYQ,EQUITY,BUR,BUR,Burford Capital Limited,Burford Capital Limited,1603114200,America/New_York,EDT,-14400000,14.85,20.0,16.7,18.68,19.0,1.3,strong_buy,4,472516000,2.158,1658504960,32.617,32.617,242704992,60.616,1.11,0.01071,0.13578,310982000,-46983000,-545190016,-0.376,0.93781,0.0,0.31861,USD,
8,Oak House,Hirzel Street,Saint Peter Port,GY1 2NP,Guernsey,44 1481 723 450,https://www.burfordcapital.com,Asset Management,Financial Services,"Burford Capital Limited, through its subsidiaries, provides legal finance products and services worldwide. The company operates through two segments, Capital Provision, and Asset Management and Other Provision. The Capital Provision segment provides capital to the legal industry or in connection with legal matters directly and through investment in private funds. The Asset Management and Other Services segment provides services to the legal industry, including litigation insurance. The company also offers alternative strategies, including lower risk legal finance, post-settlement, and complex strategies. The company was incorporated in 2009 and is based in Saint Peter Port, Guernsey.",158,"{'maxAge': 1, 'name': 'Ms. Monika Kumari Singh', 'title': 'Chief Compliance Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,15.45,15.11,14.71,15.29,15.45,15.11,14.71,15.29,0.12,0.0084,1699488000,0.1042,1.021396,12.375,946536,946536,668745,1594850,1594850,14.75,14.99,900,800,3251556096,6.09,17.7,13.397154,13.5624,11.1279,0.125,0.008090615,USD,5231544832,1.0772899,200238565,218960000,2167728,2091434,1690761600,1693440000,0.0099,0.09241,0.64569,4.46,0.0123000005,8.869,1.6743714,1672444800,1703980800,1688083200,261463008,1.2,21.555,NYQ,EQUITY,BUR,BUR,Burford Capital Limited,Burford Capital Limited,1603114200,America/New_York,EDT,-14400000,14.85,20.0,16.7,18.68,19.0,1.3,strong_buy,4,472516000,2.158,1658504960,32.617,32.617,242704992,60.616,1.11,0.01071,0.13578,310982000,-46983000,-545190016,-0.376,0.93781,0.0,0.31861,USD,
9,Oak House,Hirzel Street,Saint Peter Port,GY1 2NP,Guernsey,44 1481 723 450,https://www.burfordcapital.com,Asset Management,Financial Services,"Burford Capital Limited, through its subsidiaries, provides legal finance products and services worldwide. The company operates through two segments, Capital Provision, and Asset Management and Other Provision. The Capital Provision segment provides capital to the legal industry or in connection with legal matters directly and through investment in private funds. The Asset Management and Other Services segment provides services to the legal industry, including litigation insurance. The company also offers alternative strategies, including lower risk legal finance, post-settlement, and complex strategies. The company was incorporated in 2009 and is based in Saint Peter Port, Guernsey.",158,"{'maxAge': 1, 'name': 'Mr. David  Helfenbein', 'title': 'VP of PR', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,15.45,15.11,14.71,15.29,15.45,15.11,14.71,15.29,0.12,0.0084,1699488000,0.1042,1.021396,12.375,946536,946536,668745,1594850,1594850,14.75,14.99,900,800,3251556096,6.09,17.7,13.397154,13.5624,11.1279,0.125,0.008090615,USD,5231544832,1.0772899,200238565,218960000,2167728,2091434,1690761600,1693440000,0.0099,0.09241,0.64569,4.46,0.0123000005,8.869,1.6743714,1672444800,1703980800,1688083200,261463008,1.2,21.555,NYQ,EQUITY,BUR,BUR,Burford Capital Limited,Burford Capital Limited,1603114200,America/New_York,EDT,-14400000,14.85,20.0,16.7,18.68,19.0,1.3,strong_buy,4,472516000,2.158,1658504960,32.617,32.617,242704992,60.616,1.11,0.01071,0.13578,310982000,-46983000,-545190016,-0.376,0.93781,0.0,0.31861,USD,
