,address1,address2,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Lodge Way House,Lodge Way Harlestone Road,Northampton,NN5 7UG,United Kingdom,44 1604 752 424,https://www.travisperkinsplc.co.uk,Building Products & Equipment,Industrials,"Travis Perkins plc engages in distribution of building material products in the United Kingdom. It operates through Merchanting and Toolstation segments. The company supplies tools and building materials. It also distributes pipeline related products, as well as provides heating solutions. In addition, the company engages in civils and drainage related services. Further, it provides insulation and interior building products to interior building specialists, contractors, and builders. The company markets its products under Travis Perkins, Toolstation, BSS, Keyline, and CCF brands. Travis Perkins plc was founded in 1797 and is headquartered in Northampton, the United Kingdom.",19956,"{'maxAge': 1, 'name': 'Mr. Nicholas John Roberts', 'age': 54, 'title': 'CEO & Exec. Director', 'yearBorn': 1968, 'fiscalYear': 2022, 'totalPay': 930393, 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,1,1,1,1693526400,1672444800,86400,2,10.14,10.34,10.34,10.35,10.14,10.34,10.34,10.35,0.48,0.0463,1681084800,0.5772,1.475225,12.176471,568,568,1600,581,581,0.0,0.0,0,0,2224266752,7.77,13.22,0.45095018,10.73146,11.319391,0.39,0.038461536,USD,3006478336,0.029660001,205890164,212508992,0.0,0.00023,10.029,1.0320072,1672444800,1703980800,1688083200,-0.433,146300000,0.85,0:1,1621296000,0.61,9.624,PNK,EQUITY,TPRKY,TPRKY,TRAVIS PERKINS SPON ADR EA REPR,Travis Perkins plc,1317907800,America/New_York,EDT,-14400000,10.35,none,334500000,1.591,312400000,1208600064,0.871,1.425,4932400128,57.304,23.485,0.03254,0.06903,1384700000,230412496,360400000,-0.427,-0.025,0.26808,0.06334,0.04547,GBP,
1,Lodge Way House,Lodge Way Harlestone Road,Northampton,NN5 7UG,United Kingdom,44 1604 752 424,https://www.travisperkinsplc.co.uk,Building Products & Equipment,Industrials,"Travis Perkins plc engages in distribution of building material products in the United Kingdom. It operates through Merchanting and Toolstation segments. The company supplies tools and building materials. It also distributes pipeline related products, as well as provides heating solutions. In addition, the company engages in civils and drainage related services. Further, it provides insulation and interior building products to interior building specialists, contractors, and builders. The company markets its products under Travis Perkins, Toolstation, BSS, Keyline, and CCF brands. Travis Perkins plc was founded in 1797 and is headquartered in Northampton, the United Kingdom.",19956,"{'maxAge': 1, 'name': 'Mr. Alan R. Williams ACMA, AMCT, BA Hons, CGMA', 'age': 53, 'title': 'CFO & Exec. Director', 'yearBorn': 1969, 'fiscalYear': 2022, 'totalPay': 814250, 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,1,1,1,1693526400,1672444800,86400,2,10.14,10.34,10.34,10.35,10.14,10.34,10.34,10.35,0.48,0.0463,1681084800,0.5772,1.475225,12.176471,568,568,1600,581,581,0.0,0.0,0,0,2224266752,7.77,13.22,0.45095018,10.73146,11.319391,0.39,0.038461536,USD,3006478336,0.029660001,205890164,212508992,0.0,0.00023,10.029,1.0320072,1672444800,1703980800,1688083200,-0.433,146300000,0.85,0:1,1621296000,0.61,9.624,PNK,EQUITY,TPRKY,TPRKY,TRAVIS PERKINS SPON ADR EA REPR,Travis Perkins plc,1317907800,America/New_York,EDT,-14400000,10.35,none,334500000,1.591,312400000,1208600064,0.871,1.425,4932400128,57.304,23.485,0.03254,0.06903,1384700000,230412496,360400000,-0.427,-0.025,0.26808,0.06334,0.04547,GBP,
2,Lodge Way House,Lodge Way Harlestone Road,Northampton,NN5 7UG,United Kingdom,44 1604 752 424,https://www.travisperkinsplc.co.uk,Building Products & Equipment,Industrials,"Travis Perkins plc engages in distribution of building material products in the United Kingdom. It operates through Merchanting and Toolstation segments. The company supplies tools and building materials. It also distributes pipeline related products, as well as provides heating solutions. In addition, the company engages in civils and drainage related services. Further, it provides insulation and interior building products to interior building specialists, contractors, and builders. The company markets its products under Travis Perkins, Toolstation, BSS, Keyline, and CCF brands. Travis Perkins plc was founded in 1797 and is headquartered in Northampton, the United Kingdom.",19956,"{'maxAge': 1, 'name': 'Mr. Frank M. Elkins', 'age': 55, 'title': 'Group Chief Operating Officer', 'yearBorn': 1967, 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,1,1,1,1693526400,1672444800,86400,2,10.14,10.34,10.34,10.35,10.14,10.34,10.34,10.35,0.48,0.0463,1681084800,0.5772,1.475225,12.176471,568,568,1600,581,581,0.0,0.0,0,0,2224266752,7.77,13.22,0.45095018,10.73146,11.319391,0.39,0.038461536,USD,3006478336,0.029660001,205890164,212508992,0.0,0.00023,10.029,1.0320072,1672444800,1703980800,1688083200,-0.433,146300000,0.85,0:1,1621296000,0.61,9.624,PNK,EQUITY,TPRKY,TPRKY,TRAVIS PERKINS SPON ADR EA REPR,Travis Perkins plc,1317907800,America/New_York,EDT,-14400000,10.35,none,334500000,1.591,312400000,1208600064,0.871,1.425,4932400128,57.304,23.485,0.03254,0.06903,1384700000,230412496,360400000,-0.427,-0.025,0.26808,0.06334,0.04547,GBP,
3,Lodge Way House,Lodge Way Harlestone Road,Northampton,NN5 7UG,United Kingdom,44 1604 752 424,https://www.travisperkinsplc.co.uk,Building Products & Equipment,Industrials,"Travis Perkins plc engages in distribution of building material products in the United Kingdom. It operates through Merchanting and Toolstation segments. The company supplies tools and building materials. It also distributes pipeline related products, as well as provides heating solutions. In addition, the company engages in civils and drainage related services. Further, it provides insulation and interior building products to interior building specialists, contractors, and builders. The company markets its products under Travis Perkins, Toolstation, BSS, Keyline, and CCF brands. Travis Perkins plc was founded in 1797 and is headquartered in Northampton, the United Kingdom.",19956,"{'maxAge': 1, 'name': 'Phil  Tenney', 'title': 'Group Chief Information & Technology Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,1,1,1,1693526400,1672444800,86400,2,10.14,10.34,10.34,10.35,10.14,10.34,10.34,10.35,0.48,0.0463,1681084800,0.5772,1.475225,12.176471,568,568,1600,581,581,0.0,0.0,0,0,2224266752,7.77,13.22,0.45095018,10.73146,11.319391,0.39,0.038461536,USD,3006478336,0.029660001,205890164,212508992,0.0,0.00023,10.029,1.0320072,1672444800,1703980800,1688083200,-0.433,146300000,0.85,0:1,1621296000,0.61,9.624,PNK,EQUITY,TPRKY,TPRKY,TRAVIS PERKINS SPON ADR EA REPR,Travis Perkins plc,1317907800,America/New_York,EDT,-14400000,10.35,none,334500000,1.591,312400000,1208600064,0.871,1.425,4932400128,57.304,23.485,0.03254,0.06903,1384700000,230412496,360400000,-0.427,-0.025,0.26808,0.06334,0.04547,GBP,
4,Lodge Way House,Lodge Way Harlestone Road,Northampton,NN5 7UG,United Kingdom,44 1604 752 424,https://www.travisperkinsplc.co.uk,Building Products & Equipment,Industrials,"Travis Perkins plc engages in distribution of building material products in the United Kingdom. It operates through Merchanting and Toolstation segments. The company supplies tools and building materials. It also distributes pipeline related products, as well as provides heating solutions. In addition, the company engages in civils and drainage related services. Further, it provides insulation and interior building products to interior building specialists, contractors, and builders. The company markets its products under Travis Perkins, Toolstation, BSS, Keyline, and CCF brands. Travis Perkins plc was founded in 1797 and is headquartered in Northampton, the United Kingdom.",19956,"{'maxAge': 1, 'name': 'Mr. Heinrich  Richter', 'title': 'Investor Relations Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,1,1,1,1693526400,1672444800,86400,2,10.14,10.34,10.34,10.35,10.14,10.34,10.34,10.35,0.48,0.0463,1681084800,0.5772,1.475225,12.176471,568,568,1600,581,581,0.0,0.0,0,0,2224266752,7.77,13.22,0.45095018,10.73146,11.319391,0.39,0.038461536,USD,3006478336,0.029660001,205890164,212508992,0.0,0.00023,10.029,1.0320072,1672444800,1703980800,1688083200,-0.433,146300000,0.85,0:1,1621296000,0.61,9.624,PNK,EQUITY,TPRKY,TPRKY,TRAVIS PERKINS SPON ADR EA REPR,Travis Perkins plc,1317907800,America/New_York,EDT,-14400000,10.35,none,334500000,1.591,312400000,1208600064,0.871,1.425,4932400128,57.304,23.485,0.03254,0.06903,1384700000,230412496,360400000,-0.427,-0.025,0.26808,0.06334,0.04547,GBP,
5,Lodge Way House,Lodge Way Harlestone Road,Northampton,NN5 7UG,United Kingdom,44 1604 752 424,https://www.travisperkinsplc.co.uk,Building Products & Equipment,Industrials,"Travis Perkins plc engages in distribution of building material products in the United Kingdom. It operates through Merchanting and Toolstation segments. The company supplies tools and building materials. It also distributes pipeline related products, as well as provides heating solutions. In addition, the company engages in civils and drainage related services. Further, it provides insulation and interior building products to interior building specialists, contractors, and builders. The company markets its products under Travis Perkins, Toolstation, BSS, Keyline, and CCF brands. Travis Perkins plc was founded in 1797 and is headquartered in Northampton, the United Kingdom.",19956,"{'maxAge': 1, 'name': 'Mr. Robin  Miller', 'age': 51, 'title': 'Company Sec. & Gen. Counsel', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,1,1,1,1693526400,1672444800,86400,2,10.14,10.34,10.34,10.35,10.14,10.34,10.34,10.35,0.48,0.0463,1681084800,0.5772,1.475225,12.176471,568,568,1600,581,581,0.0,0.0,0,0,2224266752,7.77,13.22,0.45095018,10.73146,11.319391,0.39,0.038461536,USD,3006478336,0.029660001,205890164,212508992,0.0,0.00023,10.029,1.0320072,1672444800,1703980800,1688083200,-0.433,146300000,0.85,0:1,1621296000,0.61,9.624,PNK,EQUITY,TPRKY,TPRKY,TRAVIS PERKINS SPON ADR EA REPR,Travis Perkins plc,1317907800,America/New_York,EDT,-14400000,10.35,none,334500000,1.591,312400000,1208600064,0.871,1.425,4932400128,57.304,23.485,0.03254,0.06903,1384700000,230412496,360400000,-0.427,-0.025,0.26808,0.06334,0.04547,GBP,
6,Lodge Way House,Lodge Way Harlestone Road,Northampton,NN5 7UG,United Kingdom,44 1604 752 424,https://www.travisperkinsplc.co.uk,Building Products & Equipment,Industrials,"Travis Perkins plc engages in distribution of building material products in the United Kingdom. It operates through Merchanting and Toolstation segments. The company supplies tools and building materials. It also distributes pipeline related products, as well as provides heating solutions. In addition, the company engages in civils and drainage related services. Further, it provides insulation and interior building products to interior building specialists, contractors, and builders. The company markets its products under Travis Perkins, Toolstation, BSS, Keyline, and CCF brands. Travis Perkins plc was founded in 1797 and is headquartered in Northampton, the United Kingdom.",19956,"{'maxAge': 1, 'name': 'Emma  Rose', 'title': 'Group HR Director', 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,1,1,1,1693526400,1672444800,86400,2,10.14,10.34,10.34,10.35,10.14,10.34,10.34,10.35,0.48,0.0463,1681084800,0.5772,1.475225,12.176471,568,568,1600,581,581,0.0,0.0,0,0,2224266752,7.77,13.22,0.45095018,10.73146,11.319391,0.39,0.038461536,USD,3006478336,0.029660001,205890164,212508992,0.0,0.00023,10.029,1.0320072,1672444800,1703980800,1688083200,-0.433,146300000,0.85,0:1,1621296000,0.61,9.624,PNK,EQUITY,TPRKY,TPRKY,TRAVIS PERKINS SPON ADR EA REPR,Travis Perkins plc,1317907800,America/New_York,EDT,-14400000,10.35,none,334500000,1.591,312400000,1208600064,0.871,1.425,4932400128,57.304,23.485,0.03254,0.06903,1384700000,230412496,360400000,-0.427,-0.025,0.26808,0.06334,0.04547,GBP,
7,Lodge Way House,Lodge Way Harlestone Road,Northampton,NN5 7UG,United Kingdom,44 1604 752 424,https://www.travisperkinsplc.co.uk,Building Products & Equipment,Industrials,"Travis Perkins plc engages in distribution of building material products in the United Kingdom. It operates through Merchanting and Toolstation segments. The company supplies tools and building materials. It also distributes pipeline related products, as well as provides heating solutions. In addition, the company engages in civils and drainage related services. Further, it provides insulation and interior building products to interior building specialists, contractors, and builders. The company markets its products under Travis Perkins, Toolstation, BSS, Keyline, and CCF brands. Travis Perkins plc was founded in 1797 and is headquartered in Northampton, the United Kingdom.",19956,"{'maxAge': 1, 'name': 'Ms. Catherine  Gibson', 'title': 'Managing Director of CCF', 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,1,1,1,1693526400,1672444800,86400,2,10.14,10.34,10.34,10.35,10.14,10.34,10.34,10.35,0.48,0.0463,1681084800,0.5772,1.475225,12.176471,568,568,1600,581,581,0.0,0.0,0,0,2224266752,7.77,13.22,0.45095018,10.73146,11.319391,0.39,0.038461536,USD,3006478336,0.029660001,205890164,212508992,0.0,0.00023,10.029,1.0320072,1672444800,1703980800,1688083200,-0.433,146300000,0.85,0:1,1621296000,0.61,9.624,PNK,EQUITY,TPRKY,TPRKY,TRAVIS PERKINS SPON ADR EA REPR,Travis Perkins plc,1317907800,America/New_York,EDT,-14400000,10.35,none,334500000,1.591,312400000,1208600064,0.871,1.425,4932400128,57.304,23.485,0.03254,0.06903,1384700000,230412496,360400000,-0.427,-0.025,0.26808,0.06334,0.04547,GBP,
8,Lodge Way House,Lodge Way Harlestone Road,Northampton,NN5 7UG,United Kingdom,44 1604 752 424,https://www.travisperkinsplc.co.uk,Building Products & Equipment,Industrials,"Travis Perkins plc engages in distribution of building material products in the United Kingdom. It operates through Merchanting and Toolstation segments. The company supplies tools and building materials. It also distributes pipeline related products, as well as provides heating solutions. In addition, the company engages in civils and drainage related services. Further, it provides insulation and interior building products to interior building specialists, contractors, and builders. The company markets its products under Travis Perkins, Toolstation, BSS, Keyline, and CCF brands. Travis Perkins plc was founded in 1797 and is headquartered in Northampton, the United Kingdom.",19956,"{'maxAge': 1, 'name': 'Dean  Pinner', 'title': 'Managing Director of Keyline', 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,1,1,1,1693526400,1672444800,86400,2,10.14,10.34,10.34,10.35,10.14,10.34,10.34,10.35,0.48,0.0463,1681084800,0.5772,1.475225,12.176471,568,568,1600,581,581,0.0,0.0,0,0,2224266752,7.77,13.22,0.45095018,10.73146,11.319391,0.39,0.038461536,USD,3006478336,0.029660001,205890164,212508992,0.0,0.00023,10.029,1.0320072,1672444800,1703980800,1688083200,-0.433,146300000,0.85,0:1,1621296000,0.61,9.624,PNK,EQUITY,TPRKY,TPRKY,TRAVIS PERKINS SPON ADR EA REPR,Travis Perkins plc,1317907800,America/New_York,EDT,-14400000,10.35,none,334500000,1.591,312400000,1208600064,0.871,1.425,4932400128,57.304,23.485,0.03254,0.06903,1384700000,230412496,360400000,-0.427,-0.025,0.26808,0.06334,0.04547,GBP,
9,Lodge Way House,Lodge Way Harlestone Road,Northampton,NN5 7UG,United Kingdom,44 1604 752 424,https://www.travisperkinsplc.co.uk,Building Products & Equipment,Industrials,"Travis Perkins plc engages in distribution of building material products in the United Kingdom. It operates through Merchanting and Toolstation segments. The company supplies tools and building materials. It also distributes pipeline related products, as well as provides heating solutions. In addition, the company engages in civils and drainage related services. Further, it provides insulation and interior building products to interior building specialists, contractors, and builders. The company markets its products under Travis Perkins, Toolstation, BSS, Keyline, and CCF brands. Travis Perkins plc was founded in 1797 and is headquartered in Northampton, the United Kingdom.",19956,"{'maxAge': 1, 'name': 'Megan  Adlen', 'title': 'Group Sustainability Director', 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,1,1,1,1693526400,1672444800,86400,2,10.14,10.34,10.34,10.35,10.14,10.34,10.34,10.35,0.48,0.0463,1681084800,0.5772,1.475225,12.176471,568,568,1600,581,581,0.0,0.0,0,0,2224266752,7.77,13.22,0.45095018,10.73146,11.319391,0.39,0.038461536,USD,3006478336,0.029660001,205890164,212508992,0.0,0.00023,10.029,1.0320072,1672444800,1703980800,1688083200,-0.433,146300000,0.85,0:1,1621296000,0.61,9.624,PNK,EQUITY,TPRKY,TPRKY,TRAVIS PERKINS SPON ADR EA REPR,Travis Perkins plc,1317907800,America/New_York,EDT,-14400000,10.35,none,334500000,1.591,312400000,1208600064,0.871,1.425,4932400128,57.304,23.485,0.03254,0.06903,1384700000,230412496,360400000,-0.427,-0.025,0.26808,0.06334,0.04547,GBP,
