,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,totalDebt,totalRevenue,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,388 Greenwich Street,New York,NY,10013,United States,212 559 1000,https://www.citigroup.com,Banks—Diversified,Financial Services,"Citigroup Inc., a diversified financial services holding company, provides various financial products and services to consumers, corporations, governments, and institutions in North America, Latin America, Asia, Europe, the Middle East, and Africa. It operates through three segments: Institutional Clients Group (ICG), Personal Banking and Wealth Management (PBWM), and Legacy Franchises. The ICG segment offers wholesale banking products and services, including fixed income and equity sales and trading, foreign exchange, prime brokerage, derivative, equity and fixed income research, corporate lending, investment banking and advisory, private banking, cash management, trade finance, and securities services to corporate, institutional, and public sector clients. The PBWM segment offers traditional banking services to retail and small business customers through retail banking, cash, rewards, value portfolios, and co-branded cards. It also provides various banking, credit cards, custody, trust, mortgages, home equity, small business, and personal consumer loans. The Legacy Franchises segment provides traditional retail banking and branded card products to retail and small business customers. The company was founded in 1812 and is headquartered in New York, New York.",240000,"{'maxAge': 1, 'name': 'Ms. Jane Nind Fraser', 'age': 54, 'title': 'CEO & Director', 'yearBorn': 1968, 'fiscalYear': 2022, 'totalPay': 6530800, 'exercisedValue': 0, 'unexercisedValue': 0}",5,1,3,1,1,1693526400,1672444800,86400,2,43.14,42.75,42.66,43.24,43.14,42.75,42.66,43.24,2.06,0.0478,1691107200,0.3233,3.47,1.567427,6.768621,7.166107,22420400,22420400,16454240,17899750,17899750,42.72,42.77,2200,3200,82246647808,40.01,53.23,1.1616102,44.2364,46.70245,2.04,0.0472879,USD,-303024209920,0.19084999,1866256048,1925699968,23850493,22287951,1690761600,1693440000,0.0124,0.00196,0.72576,1.55,0.0124,97.873,0.43638182,1672444800,1703980800,1688083200,-0.359,12321999872,6.31,5.96,1.88,1:10,1304899200,-4.28,NYQ,EQUITY,C,C,"Citigroup, Inc.",Citigroup Inc.,221149800,America/New_York,EDT,-14400000,42.71,95.0,43.0,54.12,50.0,2.5,buy,25,1041078026240,540.622,634030981120,70803996672,36.497,0.0056800004,0.06676,70560000000,-73718996992,-0.394,-0.03,0.0,0.0,0.25133,USD,
1,388 Greenwich Street,New York,NY,10013,United States,212 559 1000,https://www.citigroup.com,Banks—Diversified,Financial Services,"Citigroup Inc., a diversified financial services holding company, provides various financial products and services to consumers, corporations, governments, and institutions in North America, Latin America, Asia, Europe, the Middle East, and Africa. It operates through three segments: Institutional Clients Group (ICG), Personal Banking and Wealth Management (PBWM), and Legacy Franchises. The ICG segment offers wholesale banking products and services, including fixed income and equity sales and trading, foreign exchange, prime brokerage, derivative, equity and fixed income research, corporate lending, investment banking and advisory, private banking, cash management, trade finance, and securities services to corporate, institutional, and public sector clients. The PBWM segment offers traditional banking services to retail and small business customers through retail banking, cash, rewards, value portfolios, and co-branded cards. It also provides various banking, credit cards, custody, trust, mortgages, home equity, small business, and personal consumer loans. The Legacy Franchises segment provides traditional retail banking and branded card products to retail and small business customers. The company was founded in 1812 and is headquartered in New York, New York.",240000,"{'maxAge': 1, 'name': 'Mr. Mark A.L. Mason', 'age': 52, 'title': 'Chief Financial Officer', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 7842539, 'exercisedValue': 0, 'unexercisedValue': 0}",5,1,3,1,1,1693526400,1672444800,86400,2,43.14,42.75,42.66,43.24,43.14,42.75,42.66,43.24,2.06,0.0478,1691107200,0.3233,3.47,1.567427,6.768621,7.166107,22420400,22420400,16454240,17899750,17899750,42.72,42.77,2200,3200,82246647808,40.01,53.23,1.1616102,44.2364,46.70245,2.04,0.0472879,USD,-303024209920,0.19084999,1866256048,1925699968,23850493,22287951,1690761600,1693440000,0.0124,0.00196,0.72576,1.55,0.0124,97.873,0.43638182,1672444800,1703980800,1688083200,-0.359,12321999872,6.31,5.96,1.88,1:10,1304899200,-4.28,NYQ,EQUITY,C,C,"Citigroup, Inc.",Citigroup Inc.,221149800,America/New_York,EDT,-14400000,42.71,95.0,43.0,54.12,50.0,2.5,buy,25,1041078026240,540.622,634030981120,70803996672,36.497,0.0056800004,0.06676,70560000000,-73718996992,-0.394,-0.03,0.0,0.0,0.25133,USD,
2,388 Greenwich Street,New York,NY,10013,United States,212 559 1000,https://www.citigroup.com,Banks—Diversified,Financial Services,"Citigroup Inc., a diversified financial services holding company, provides various financial products and services to consumers, corporations, governments, and institutions in North America, Latin America, Asia, Europe, the Middle East, and Africa. It operates through three segments: Institutional Clients Group (ICG), Personal Banking and Wealth Management (PBWM), and Legacy Franchises. The ICG segment offers wholesale banking products and services, including fixed income and equity sales and trading, foreign exchange, prime brokerage, derivative, equity and fixed income research, corporate lending, investment banking and advisory, private banking, cash management, trade finance, and securities services to corporate, institutional, and public sector clients. The PBWM segment offers traditional banking services to retail and small business customers through retail banking, cash, rewards, value portfolios, and co-branded cards. It also provides various banking, credit cards, custody, trust, mortgages, home equity, small business, and personal consumer loans. The Legacy Franchises segment provides traditional retail banking and branded card products to retail and small business customers. The company was founded in 1812 and is headquartered in New York, New York.",240000,"{'maxAge': 1, 'name': 'Mr. Anand  Selvakesari', 'age': 54, 'title': 'Chief Operating Officer', 'yearBorn': 1968, 'fiscalYear': 2022, 'totalPay': 8453987, 'exercisedValue': 0, 'unexercisedValue': 0}",5,1,3,1,1,1693526400,1672444800,86400,2,43.14,42.75,42.66,43.24,43.14,42.75,42.66,43.24,2.06,0.0478,1691107200,0.3233,3.47,1.567427,6.768621,7.166107,22420400,22420400,16454240,17899750,17899750,42.72,42.77,2200,3200,82246647808,40.01,53.23,1.1616102,44.2364,46.70245,2.04,0.0472879,USD,-303024209920,0.19084999,1866256048,1925699968,23850493,22287951,1690761600,1693440000,0.0124,0.00196,0.72576,1.55,0.0124,97.873,0.43638182,1672444800,1703980800,1688083200,-0.359,12321999872,6.31,5.96,1.88,1:10,1304899200,-4.28,NYQ,EQUITY,C,C,"Citigroup, Inc.",Citigroup Inc.,221149800,America/New_York,EDT,-14400000,42.71,95.0,43.0,54.12,50.0,2.5,buy,25,1041078026240,540.622,634030981120,70803996672,36.497,0.0056800004,0.06676,70560000000,-73718996992,-0.394,-0.03,0.0,0.0,0.25133,USD,
3,388 Greenwich Street,New York,NY,10013,United States,212 559 1000,https://www.citigroup.com,Banks—Diversified,Financial Services,"Citigroup Inc., a diversified financial services holding company, provides various financial products and services to consumers, corporations, governments, and institutions in North America, Latin America, Asia, Europe, the Middle East, and Africa. It operates through three segments: Institutional Clients Group (ICG), Personal Banking and Wealth Management (PBWM), and Legacy Franchises. The ICG segment offers wholesale banking products and services, including fixed income and equity sales and trading, foreign exchange, prime brokerage, derivative, equity and fixed income research, corporate lending, investment banking and advisory, private banking, cash management, trade finance, and securities services to corporate, institutional, and public sector clients. The PBWM segment offers traditional banking services to retail and small business customers through retail banking, cash, rewards, value portfolios, and co-branded cards. It also provides various banking, credit cards, custody, trust, mortgages, home equity, small business, and personal consumer loans. The Legacy Franchises segment provides traditional retail banking and branded card products to retail and small business customers. The company was founded in 1812 and is headquartered in New York, New York.",240000,"{'maxAge': 1, 'name': 'Mr. Paco  Ybarra', 'age': 60, 'title': 'Sr. Advisor to Exec. Management Team', 'yearBorn': 1962, 'fiscalYear': 2022, 'totalPay': 12318942, 'exercisedValue': 0, 'unexercisedValue': 0}",5,1,3,1,1,1693526400,1672444800,86400,2,43.14,42.75,42.66,43.24,43.14,42.75,42.66,43.24,2.06,0.0478,1691107200,0.3233,3.47,1.567427,6.768621,7.166107,22420400,22420400,16454240,17899750,17899750,42.72,42.77,2200,3200,82246647808,40.01,53.23,1.1616102,44.2364,46.70245,2.04,0.0472879,USD,-303024209920,0.19084999,1866256048,1925699968,23850493,22287951,1690761600,1693440000,0.0124,0.00196,0.72576,1.55,0.0124,97.873,0.43638182,1672444800,1703980800,1688083200,-0.359,12321999872,6.31,5.96,1.88,1:10,1304899200,-4.28,NYQ,EQUITY,C,C,"Citigroup, Inc.",Citigroup Inc.,221149800,America/New_York,EDT,-14400000,42.71,95.0,43.0,54.12,50.0,2.5,buy,25,1041078026240,540.622,634030981120,70803996672,36.497,0.0056800004,0.06676,70560000000,-73718996992,-0.394,-0.03,0.0,0.0,0.25133,USD,
4,388 Greenwich Street,New York,NY,10013,United States,212 559 1000,https://www.citigroup.com,Banks—Diversified,Financial Services,"Citigroup Inc., a diversified financial services holding company, provides various financial products and services to consumers, corporations, governments, and institutions in North America, Latin America, Asia, Europe, the Middle East, and Africa. It operates through three segments: Institutional Clients Group (ICG), Personal Banking and Wealth Management (PBWM), and Legacy Franchises. The ICG segment offers wholesale banking products and services, including fixed income and equity sales and trading, foreign exchange, prime brokerage, derivative, equity and fixed income research, corporate lending, investment banking and advisory, private banking, cash management, trade finance, and securities services to corporate, institutional, and public sector clients. The PBWM segment offers traditional banking services to retail and small business customers through retail banking, cash, rewards, value portfolios, and co-branded cards. It also provides various banking, credit cards, custody, trust, mortgages, home equity, small business, and personal consumer loans. The Legacy Franchises segment provides traditional retail banking and branded card products to retail and small business customers. The company was founded in 1812 and is headquartered in New York, New York.",240000,"{'maxAge': 1, 'name': 'Mr. Peter  Babej', 'age': 58, 'title': 'Interim Head of Banking', 'yearBorn': 1964, 'fiscalYear': 2022, 'totalPay': 7909114, 'exercisedValue': 0, 'unexercisedValue': 0}",5,1,3,1,1,1693526400,1672444800,86400,2,43.14,42.75,42.66,43.24,43.14,42.75,42.66,43.24,2.06,0.0478,1691107200,0.3233,3.47,1.567427,6.768621,7.166107,22420400,22420400,16454240,17899750,17899750,42.72,42.77,2200,3200,82246647808,40.01,53.23,1.1616102,44.2364,46.70245,2.04,0.0472879,USD,-303024209920,0.19084999,1866256048,1925699968,23850493,22287951,1690761600,1693440000,0.0124,0.00196,0.72576,1.55,0.0124,97.873,0.43638182,1672444800,1703980800,1688083200,-0.359,12321999872,6.31,5.96,1.88,1:10,1304899200,-4.28,NYQ,EQUITY,C,C,"Citigroup, Inc.",Citigroup Inc.,221149800,America/New_York,EDT,-14400000,42.71,95.0,43.0,54.12,50.0,2.5,buy,25,1041078026240,540.622,634030981120,70803996672,36.497,0.0056800004,0.06676,70560000000,-73718996992,-0.394,-0.03,0.0,0.0,0.25133,USD,
5,388 Greenwich Street,New York,NY,10013,United States,212 559 1000,https://www.citigroup.com,Banks—Diversified,Financial Services,"Citigroup Inc., a diversified financial services holding company, provides various financial products and services to consumers, corporations, governments, and institutions in North America, Latin America, Asia, Europe, the Middle East, and Africa. It operates through three segments: Institutional Clients Group (ICG), Personal Banking and Wealth Management (PBWM), and Legacy Franchises. The ICG segment offers wholesale banking products and services, including fixed income and equity sales and trading, foreign exchange, prime brokerage, derivative, equity and fixed income research, corporate lending, investment banking and advisory, private banking, cash management, trade finance, and securities services to corporate, institutional, and public sector clients. The PBWM segment offers traditional banking services to retail and small business customers through retail banking, cash, rewards, value portfolios, and co-branded cards. It also provides various banking, credit cards, custody, trust, mortgages, home equity, small business, and personal consumer loans. The Legacy Franchises segment provides traditional retail banking and branded card products to retail and small business customers. The company was founded in 1812 and is headquartered in New York, New York.",240000,"{'maxAge': 1, 'name': 'Mr. David R. Bailin', 'title': 'Chief Investment Officer & Global Head of Investments', 'exercisedValue': 0, 'unexercisedValue': 0}",5,1,3,1,1,1693526400,1672444800,86400,2,43.14,42.75,42.66,43.24,43.14,42.75,42.66,43.24,2.06,0.0478,1691107200,0.3233,3.47,1.567427,6.768621,7.166107,22420400,22420400,16454240,17899750,17899750,42.72,42.77,2200,3200,82246647808,40.01,53.23,1.1616102,44.2364,46.70245,2.04,0.0472879,USD,-303024209920,0.19084999,1866256048,1925699968,23850493,22287951,1690761600,1693440000,0.0124,0.00196,0.72576,1.55,0.0124,97.873,0.43638182,1672444800,1703980800,1688083200,-0.359,12321999872,6.31,5.96,1.88,1:10,1304899200,-4.28,NYQ,EQUITY,C,C,"Citigroup, Inc.",Citigroup Inc.,221149800,America/New_York,EDT,-14400000,42.71,95.0,43.0,54.12,50.0,2.5,buy,25,1041078026240,540.622,634030981120,70803996672,36.497,0.0056800004,0.06676,70560000000,-73718996992,-0.394,-0.03,0.0,0.0,0.25133,USD,
6,388 Greenwich Street,New York,NY,10013,United States,212 559 1000,https://www.citigroup.com,Banks—Diversified,Financial Services,"Citigroup Inc., a diversified financial services holding company, provides various financial products and services to consumers, corporations, governments, and institutions in North America, Latin America, Asia, Europe, the Middle East, and Africa. It operates through three segments: Institutional Clients Group (ICG), Personal Banking and Wealth Management (PBWM), and Legacy Franchises. The ICG segment offers wholesale banking products and services, including fixed income and equity sales and trading, foreign exchange, prime brokerage, derivative, equity and fixed income research, corporate lending, investment banking and advisory, private banking, cash management, trade finance, and securities services to corporate, institutional, and public sector clients. The PBWM segment offers traditional banking services to retail and small business customers through retail banking, cash, rewards, value portfolios, and co-branded cards. It also provides various banking, credit cards, custody, trust, mortgages, home equity, small business, and personal consumer loans. The Legacy Franchises segment provides traditional retail banking and branded card products to retail and small business customers. The company was founded in 1812 and is headquartered in New York, New York.",240000,"{'maxAge': 1, 'name': 'Mr. Johnbull E. Okpara', 'age': 50, 'title': 'Chief Accounting Officer & Controller', 'yearBorn': 1972, 'exercisedValue': 0, 'unexercisedValue': 0}",5,1,3,1,1,1693526400,1672444800,86400,2,43.14,42.75,42.66,43.24,43.14,42.75,42.66,43.24,2.06,0.0478,1691107200,0.3233,3.47,1.567427,6.768621,7.166107,22420400,22420400,16454240,17899750,17899750,42.72,42.77,2200,3200,82246647808,40.01,53.23,1.1616102,44.2364,46.70245,2.04,0.0472879,USD,-303024209920,0.19084999,1866256048,1925699968,23850493,22287951,1690761600,1693440000,0.0124,0.00196,0.72576,1.55,0.0124,97.873,0.43638182,1672444800,1703980800,1688083200,-0.359,12321999872,6.31,5.96,1.88,1:10,1304899200,-4.28,NYQ,EQUITY,C,C,"Citigroup, Inc.",Citigroup Inc.,221149800,America/New_York,EDT,-14400000,42.71,95.0,43.0,54.12,50.0,2.5,buy,25,1041078026240,540.622,634030981120,70803996672,36.497,0.0056800004,0.06676,70560000000,-73718996992,-0.394,-0.03,0.0,0.0,0.25133,USD,
7,388 Greenwich Street,New York,NY,10013,United States,212 559 1000,https://www.citigroup.com,Banks—Diversified,Financial Services,"Citigroup Inc., a diversified financial services holding company, provides various financial products and services to consumers, corporations, governments, and institutions in North America, Latin America, Asia, Europe, the Middle East, and Africa. It operates through three segments: Institutional Clients Group (ICG), Personal Banking and Wealth Management (PBWM), and Legacy Franchises. The ICG segment offers wholesale banking products and services, including fixed income and equity sales and trading, foreign exchange, prime brokerage, derivative, equity and fixed income research, corporate lending, investment banking and advisory, private banking, cash management, trade finance, and securities services to corporate, institutional, and public sector clients. The PBWM segment offers traditional banking services to retail and small business customers through retail banking, cash, rewards, value portfolios, and co-branded cards. It also provides various banking, credit cards, custody, trust, mortgages, home equity, small business, and personal consumer loans. The Legacy Franchises segment provides traditional retail banking and branded card products to retail and small business customers. The company was founded in 1812 and is headquartered in New York, New York.",240000,"{'maxAge': 1, 'name': 'Mr. Michael  Whitaker', 'age': 58, 'title': 'Head of Enterprise Infrastructure Operations & Technology', 'yearBorn': 1964, 'fiscalYear': 2020, 'exercisedValue': 0, 'unexercisedValue': 0}",5,1,3,1,1,1693526400,1672444800,86400,2,43.14,42.75,42.66,43.24,43.14,42.75,42.66,43.24,2.06,0.0478,1691107200,0.3233,3.47,1.567427,6.768621,7.166107,22420400,22420400,16454240,17899750,17899750,42.72,42.77,2200,3200,82246647808,40.01,53.23,1.1616102,44.2364,46.70245,2.04,0.0472879,USD,-303024209920,0.19084999,1866256048,1925699968,23850493,22287951,1690761600,1693440000,0.0124,0.00196,0.72576,1.55,0.0124,97.873,0.43638182,1672444800,1703980800,1688083200,-0.359,12321999872,6.31,5.96,1.88,1:10,1304899200,-4.28,NYQ,EQUITY,C,C,"Citigroup, Inc.",Citigroup Inc.,221149800,America/New_York,EDT,-14400000,42.71,95.0,43.0,54.12,50.0,2.5,buy,25,1041078026240,540.622,634030981120,70803996672,36.497,0.0056800004,0.06676,70560000000,-73718996992,-0.394,-0.03,0.0,0.0,0.25133,USD,
8,388 Greenwich Street,New York,NY,10013,United States,212 559 1000,https://www.citigroup.com,Banks—Diversified,Financial Services,"Citigroup Inc., a diversified financial services holding company, provides various financial products and services to consumers, corporations, governments, and institutions in North America, Latin America, Asia, Europe, the Middle East, and Africa. It operates through three segments: Institutional Clients Group (ICG), Personal Banking and Wealth Management (PBWM), and Legacy Franchises. The ICG segment offers wholesale banking products and services, including fixed income and equity sales and trading, foreign exchange, prime brokerage, derivative, equity and fixed income research, corporate lending, investment banking and advisory, private banking, cash management, trade finance, and securities services to corporate, institutional, and public sector clients. The PBWM segment offers traditional banking services to retail and small business customers through retail banking, cash, rewards, value portfolios, and co-branded cards. It also provides various banking, credit cards, custody, trust, mortgages, home equity, small business, and personal consumer loans. The Legacy Franchises segment provides traditional retail banking and branded card products to retail and small business customers. The company was founded in 1812 and is headquartered in New York, New York.",240000,"{'maxAge': 1, 'name': 'Ms. Jennifer  Landis', 'title': 'Head of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",5,1,3,1,1,1693526400,1672444800,86400,2,43.14,42.75,42.66,43.24,43.14,42.75,42.66,43.24,2.06,0.0478,1691107200,0.3233,3.47,1.567427,6.768621,7.166107,22420400,22420400,16454240,17899750,17899750,42.72,42.77,2200,3200,82246647808,40.01,53.23,1.1616102,44.2364,46.70245,2.04,0.0472879,USD,-303024209920,0.19084999,1866256048,1925699968,23850493,22287951,1690761600,1693440000,0.0124,0.00196,0.72576,1.55,0.0124,97.873,0.43638182,1672444800,1703980800,1688083200,-0.359,12321999872,6.31,5.96,1.88,1:10,1304899200,-4.28,NYQ,EQUITY,C,C,"Citigroup, Inc.",Citigroup Inc.,221149800,America/New_York,EDT,-14400000,42.71,95.0,43.0,54.12,50.0,2.5,buy,25,1041078026240,540.622,634030981120,70803996672,36.497,0.0056800004,0.06676,70560000000,-73718996992,-0.394,-0.03,0.0,0.0,0.25133,USD,
9,388 Greenwich Street,New York,NY,10013,United States,212 559 1000,https://www.citigroup.com,Banks—Diversified,Financial Services,"Citigroup Inc., a diversified financial services holding company, provides various financial products and services to consumers, corporations, governments, and institutions in North America, Latin America, Asia, Europe, the Middle East, and Africa. It operates through three segments: Institutional Clients Group (ICG), Personal Banking and Wealth Management (PBWM), and Legacy Franchises. The ICG segment offers wholesale banking products and services, including fixed income and equity sales and trading, foreign exchange, prime brokerage, derivative, equity and fixed income research, corporate lending, investment banking and advisory, private banking, cash management, trade finance, and securities services to corporate, institutional, and public sector clients. The PBWM segment offers traditional banking services to retail and small business customers through retail banking, cash, rewards, value portfolios, and co-branded cards. It also provides various banking, credit cards, custody, trust, mortgages, home equity, small business, and personal consumer loans. The Legacy Franchises segment provides traditional retail banking and branded card products to retail and small business customers. The company was founded in 1812 and is headquartered in New York, New York.",240000,"{'maxAge': 1, 'name': 'Mr. Brent J. McIntosh', 'age': 48, 'title': 'Gen. Counsel & Corp. Sec.', 'yearBorn': 1974, 'exercisedValue': 0, 'unexercisedValue': 0}",5,1,3,1,1,1693526400,1672444800,86400,2,43.14,42.75,42.66,43.24,43.14,42.75,42.66,43.24,2.06,0.0478,1691107200,0.3233,3.47,1.567427,6.768621,7.166107,22420400,22420400,16454240,17899750,17899750,42.72,42.77,2200,3200,82246647808,40.01,53.23,1.1616102,44.2364,46.70245,2.04,0.0472879,USD,-303024209920,0.19084999,1866256048,1925699968,23850493,22287951,1690761600,1693440000,0.0124,0.00196,0.72576,1.55,0.0124,97.873,0.43638182,1672444800,1703980800,1688083200,-0.359,12321999872,6.31,5.96,1.88,1:10,1304899200,-4.28,NYQ,EQUITY,C,C,"Citigroup, Inc.",Citigroup Inc.,221149800,America/New_York,EDT,-14400000,42.71,95.0,43.0,54.12,50.0,2.5,buy,25,1041078026240,540.622,634030981120,70803996672,36.497,0.0056800004,0.06676,70560000000,-73718996992,-0.394,-0.03,0.0,0.0,0.25133,USD,
