,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,fiveYearAvgDividendYield,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,"Canterbury Court, Kennington Park","Business Centre, 1-3 Brixton Road",London,SW9 6DE,United Kingdom,44 20 7138 3300,44 20 7247 0157,https://www.workspace.co.uk,REIT—Office,Real Estate,"Workspace is London's leading owner and operator of flexible workspace, managing five million sq. ft. of sustainable space with 76 core locations in London and the South East. We are home to some 4,000 of London's fastest growing and established brands from a diverse range of sectors. Our purpose, to give businesses the freedom to grow, is based on the belief that in the right space, teams can achieve more. That in environments they tailor themselves, free from constraint and compromise, teams are best able to collaborate, build their culture and realise their potential. We have a unique combination of a highly effective and scalable operating platform, a portfolio of distinctive properties, and an ownership model that allows us to offer true flexibility. We provide customers with blank canvas space to create a home for their business, alongside leases that give them the freedom to easily scale up and down within our well-connected, extensive portfolio. We are inherently sustainable  we invest across the capital, breathing new life into old buildings and creating hubs of economic activity that help flatten London's working map. We work closely with our local communities to ensure we make a positive and lasting environmental and social impact, creating value over the long term. Workspace was established in 1987, has been listed on the London Stock Exchange since 1993, is a FTSE 250 listed Real Estate Investment Trust (REIT) and a member of the European Public Real Estate Association (EPRA). Workspace is a registered trademark of Workspace Group PLC, London, UK.",293,"{'maxAge': 1, 'name': 'Mr. Graham  Clemett A.C.A., ACA, B.S., BSc.', 'age': 61, 'title': 'CEO & Director', 'yearBorn': 1961, 'fiscalYear': 2023, 'totalPay': 1042200, 'exercisedValue': 0, 'unexercisedValue': 0}",3,2,4,1,1,1693526400,1703980800,86400,2,496.4,498.4,489.6,502.5,496.4,498.4,489.6,502.5,0.26,0.0517,1688601600,3.91,1.07545,14.045071,468151,468151,309688,235446,235446,498.6,498.6,0,0,956803392,335.2,557.5,5.4925566,496.258,482.621,0.258,0.00051974214,GBp,1879848192,-0.21699,136699803,191898000,0.5695,0.83217,9.336,53.406166,1680220800,1711843200,1680220800,-37800000,-0.2,35.5,0.88,1:10,1312761600,10.791,19.3,LSE,EQUITY,WKP.L,WKP.L,WORKSPACE GROUP PLC ORD GBP1,Workspace Group Plc,755769600,Europe/London,BST,3600000,498.6,700.0,440.0,583.6,619.5,2.1,buy,10,18500000,0.097,97400000,943600000,0.266,1.188,174200000,52.783,0.915,0.02221,-0.021070002,-14187500,78800000,0.282,0.66933995,0.55912995,0.54592,GBP,2.3209
1,"Canterbury Court, Kennington Park","Business Centre, 1-3 Brixton Road",London,SW9 6DE,United Kingdom,44 20 7138 3300,44 20 7247 0157,https://www.workspace.co.uk,REIT—Office,Real Estate,"Workspace is London's leading owner and operator of flexible workspace, managing five million sq. ft. of sustainable space with 76 core locations in London and the South East. We are home to some 4,000 of London's fastest growing and established brands from a diverse range of sectors. Our purpose, to give businesses the freedom to grow, is based on the belief that in the right space, teams can achieve more. That in environments they tailor themselves, free from constraint and compromise, teams are best able to collaborate, build their culture and realise their potential. We have a unique combination of a highly effective and scalable operating platform, a portfolio of distinctive properties, and an ownership model that allows us to offer true flexibility. We provide customers with blank canvas space to create a home for their business, alongside leases that give them the freedom to easily scale up and down within our well-connected, extensive portfolio. We are inherently sustainable  we invest across the capital, breathing new life into old buildings and creating hubs of economic activity that help flatten London's working map. We work closely with our local communities to ensure we make a positive and lasting environmental and social impact, creating value over the long term. Workspace was established in 1987, has been listed on the London Stock Exchange since 1993, is a FTSE 250 listed Real Estate Investment Trust (REIT) and a member of the European Public Real Estate Association (EPRA). Workspace is a registered trademark of Workspace Group PLC, London, UK.",293,"{'maxAge': 1, 'name': 'Mr. David Neville Benson', 'age': 52, 'title': 'CFO & Director', 'yearBorn': 1970, 'fiscalYear': 2023, 'totalPay': 772700, 'exercisedValue': 0, 'unexercisedValue': 0}",3,2,4,1,1,1693526400,1703980800,86400,2,496.4,498.4,489.6,502.5,496.4,498.4,489.6,502.5,0.26,0.0517,1688601600,3.91,1.07545,14.045071,468151,468151,309688,235446,235446,498.6,498.6,0,0,956803392,335.2,557.5,5.4925566,496.258,482.621,0.258,0.00051974214,GBp,1879848192,-0.21699,136699803,191898000,0.5695,0.83217,9.336,53.406166,1680220800,1711843200,1680220800,-37800000,-0.2,35.5,0.88,1:10,1312761600,10.791,19.3,LSE,EQUITY,WKP.L,WKP.L,WORKSPACE GROUP PLC ORD GBP1,Workspace Group Plc,755769600,Europe/London,BST,3600000,498.6,700.0,440.0,583.6,619.5,2.1,buy,10,18500000,0.097,97400000,943600000,0.266,1.188,174200000,52.783,0.915,0.02221,-0.021070002,-14187500,78800000,0.282,0.66933995,0.55912995,0.54592,GBP,2.3209
2,"Canterbury Court, Kennington Park","Business Centre, 1-3 Brixton Road",London,SW9 6DE,United Kingdom,44 20 7138 3300,44 20 7247 0157,https://www.workspace.co.uk,REIT—Office,Real Estate,"Workspace is London's leading owner and operator of flexible workspace, managing five million sq. ft. of sustainable space with 76 core locations in London and the South East. We are home to some 4,000 of London's fastest growing and established brands from a diverse range of sectors. Our purpose, to give businesses the freedom to grow, is based on the belief that in the right space, teams can achieve more. That in environments they tailor themselves, free from constraint and compromise, teams are best able to collaborate, build their culture and realise their potential. We have a unique combination of a highly effective and scalable operating platform, a portfolio of distinctive properties, and an ownership model that allows us to offer true flexibility. We provide customers with blank canvas space to create a home for their business, alongside leases that give them the freedom to easily scale up and down within our well-connected, extensive portfolio. We are inherently sustainable  we invest across the capital, breathing new life into old buildings and creating hubs of economic activity that help flatten London's working map. We work closely with our local communities to ensure we make a positive and lasting environmental and social impact, creating value over the long term. Workspace was established in 1987, has been listed on the London Stock Exchange since 1993, is a FTSE 250 listed Real Estate Investment Trust (REIT) and a member of the European Public Real Estate Association (EPRA). Workspace is a registered trademark of Workspace Group PLC, London, UK.",293,"{'maxAge': 1, 'name': 'Mr. Richard  Swayne', 'title': 'Investment Director', 'exercisedValue': 0, 'unexercisedValue': 0}",3,2,4,1,1,1693526400,1703980800,86400,2,496.4,498.4,489.6,502.5,496.4,498.4,489.6,502.5,0.26,0.0517,1688601600,3.91,1.07545,14.045071,468151,468151,309688,235446,235446,498.6,498.6,0,0,956803392,335.2,557.5,5.4925566,496.258,482.621,0.258,0.00051974214,GBp,1879848192,-0.21699,136699803,191898000,0.5695,0.83217,9.336,53.406166,1680220800,1711843200,1680220800,-37800000,-0.2,35.5,0.88,1:10,1312761600,10.791,19.3,LSE,EQUITY,WKP.L,WKP.L,WORKSPACE GROUP PLC ORD GBP1,Workspace Group Plc,755769600,Europe/London,BST,3600000,498.6,700.0,440.0,583.6,619.5,2.1,buy,10,18500000,0.097,97400000,943600000,0.266,1.188,174200000,52.783,0.915,0.02221,-0.021070002,-14187500,78800000,0.282,0.66933995,0.55912995,0.54592,GBP,2.3209
3,"Canterbury Court, Kennington Park","Business Centre, 1-3 Brixton Road",London,SW9 6DE,United Kingdom,44 20 7138 3300,44 20 7247 0157,https://www.workspace.co.uk,REIT—Office,Real Estate,"Workspace is London's leading owner and operator of flexible workspace, managing five million sq. ft. of sustainable space with 76 core locations in London and the South East. We are home to some 4,000 of London's fastest growing and established brands from a diverse range of sectors. Our purpose, to give businesses the freedom to grow, is based on the belief that in the right space, teams can achieve more. That in environments they tailor themselves, free from constraint and compromise, teams are best able to collaborate, build their culture and realise their potential. We have a unique combination of a highly effective and scalable operating platform, a portfolio of distinctive properties, and an ownership model that allows us to offer true flexibility. We provide customers with blank canvas space to create a home for their business, alongside leases that give them the freedom to easily scale up and down within our well-connected, extensive portfolio. We are inherently sustainable  we invest across the capital, breathing new life into old buildings and creating hubs of economic activity that help flatten London's working map. We work closely with our local communities to ensure we make a positive and lasting environmental and social impact, creating value over the long term. Workspace was established in 1987, has been listed on the London Stock Exchange since 1993, is a FTSE 250 listed Real Estate Investment Trust (REIT) and a member of the European Public Real Estate Association (EPRA). Workspace is a registered trademark of Workspace Group PLC, London, UK.",293,"{'maxAge': 1, 'name': 'Kate  Ankers', 'title': 'Chief Accountant', 'exercisedValue': 0, 'unexercisedValue': 0}",3,2,4,1,1,1693526400,1703980800,86400,2,496.4,498.4,489.6,502.5,496.4,498.4,489.6,502.5,0.26,0.0517,1688601600,3.91,1.07545,14.045071,468151,468151,309688,235446,235446,498.6,498.6,0,0,956803392,335.2,557.5,5.4925566,496.258,482.621,0.258,0.00051974214,GBp,1879848192,-0.21699,136699803,191898000,0.5695,0.83217,9.336,53.406166,1680220800,1711843200,1680220800,-37800000,-0.2,35.5,0.88,1:10,1312761600,10.791,19.3,LSE,EQUITY,WKP.L,WKP.L,WORKSPACE GROUP PLC ORD GBP1,Workspace Group Plc,755769600,Europe/London,BST,3600000,498.6,700.0,440.0,583.6,619.5,2.1,buy,10,18500000,0.097,97400000,943600000,0.266,1.188,174200000,52.783,0.915,0.02221,-0.021070002,-14187500,78800000,0.282,0.66933995,0.55912995,0.54592,GBP,2.3209
4,"Canterbury Court, Kennington Park","Business Centre, 1-3 Brixton Road",London,SW9 6DE,United Kingdom,44 20 7138 3300,44 20 7247 0157,https://www.workspace.co.uk,REIT—Office,Real Estate,"Workspace is London's leading owner and operator of flexible workspace, managing five million sq. ft. of sustainable space with 76 core locations in London and the South East. We are home to some 4,000 of London's fastest growing and established brands from a diverse range of sectors. Our purpose, to give businesses the freedom to grow, is based on the belief that in the right space, teams can achieve more. That in environments they tailor themselves, free from constraint and compromise, teams are best able to collaborate, build their culture and realise their potential. We have a unique combination of a highly effective and scalable operating platform, a portfolio of distinctive properties, and an ownership model that allows us to offer true flexibility. We provide customers with blank canvas space to create a home for their business, alongside leases that give them the freedom to easily scale up and down within our well-connected, extensive portfolio. We are inherently sustainable  we invest across the capital, breathing new life into old buildings and creating hubs of economic activity that help flatten London's working map. We work closely with our local communities to ensure we make a positive and lasting environmental and social impact, creating value over the long term. Workspace was established in 1987, has been listed on the London Stock Exchange since 1993, is a FTSE 250 listed Real Estate Investment Trust (REIT) and a member of the European Public Real Estate Association (EPRA). Workspace is a registered trademark of Workspace Group PLC, London, UK.",293,"{'maxAge': 1, 'name': 'Chris  Boultwood', 'title': 'Head of Technology', 'exercisedValue': 0, 'unexercisedValue': 0}",3,2,4,1,1,1693526400,1703980800,86400,2,496.4,498.4,489.6,502.5,496.4,498.4,489.6,502.5,0.26,0.0517,1688601600,3.91,1.07545,14.045071,468151,468151,309688,235446,235446,498.6,498.6,0,0,956803392,335.2,557.5,5.4925566,496.258,482.621,0.258,0.00051974214,GBp,1879848192,-0.21699,136699803,191898000,0.5695,0.83217,9.336,53.406166,1680220800,1711843200,1680220800,-37800000,-0.2,35.5,0.88,1:10,1312761600,10.791,19.3,LSE,EQUITY,WKP.L,WKP.L,WORKSPACE GROUP PLC ORD GBP1,Workspace Group Plc,755769600,Europe/London,BST,3600000,498.6,700.0,440.0,583.6,619.5,2.1,buy,10,18500000,0.097,97400000,943600000,0.266,1.188,174200000,52.783,0.915,0.02221,-0.021070002,-14187500,78800000,0.282,0.66933995,0.55912995,0.54592,GBP,2.3209
5,"Canterbury Court, Kennington Park","Business Centre, 1-3 Brixton Road",London,SW9 6DE,United Kingdom,44 20 7138 3300,44 20 7247 0157,https://www.workspace.co.uk,REIT—Office,Real Estate,"Workspace is London's leading owner and operator of flexible workspace, managing five million sq. ft. of sustainable space with 76 core locations in London and the South East. We are home to some 4,000 of London's fastest growing and established brands from a diverse range of sectors. Our purpose, to give businesses the freedom to grow, is based on the belief that in the right space, teams can achieve more. That in environments they tailor themselves, free from constraint and compromise, teams are best able to collaborate, build their culture and realise their potential. We have a unique combination of a highly effective and scalable operating platform, a portfolio of distinctive properties, and an ownership model that allows us to offer true flexibility. We provide customers with blank canvas space to create a home for their business, alongside leases that give them the freedom to easily scale up and down within our well-connected, extensive portfolio. We are inherently sustainable  we invest across the capital, breathing new life into old buildings and creating hubs of economic activity that help flatten London's working map. We work closely with our local communities to ensure we make a positive and lasting environmental and social impact, creating value over the long term. Workspace was established in 1987, has been listed on the London Stock Exchange since 1993, is a FTSE 250 listed Real Estate Investment Trust (REIT) and a member of the European Public Real Estate Association (EPRA). Workspace is a registered trademark of Workspace Group PLC, London, UK.",293,"{'maxAge': 1, 'name': 'Ms. Cynthia H. Alers', 'title': 'Interim Head of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",3,2,4,1,1,1693526400,1703980800,86400,2,496.4,498.4,489.6,502.5,496.4,498.4,489.6,502.5,0.26,0.0517,1688601600,3.91,1.07545,14.045071,468151,468151,309688,235446,235446,498.6,498.6,0,0,956803392,335.2,557.5,5.4925566,496.258,482.621,0.258,0.00051974214,GBp,1879848192,-0.21699,136699803,191898000,0.5695,0.83217,9.336,53.406166,1680220800,1711843200,1680220800,-37800000,-0.2,35.5,0.88,1:10,1312761600,10.791,19.3,LSE,EQUITY,WKP.L,WKP.L,WORKSPACE GROUP PLC ORD GBP1,Workspace Group Plc,755769600,Europe/London,BST,3600000,498.6,700.0,440.0,583.6,619.5,2.1,buy,10,18500000,0.097,97400000,943600000,0.266,1.188,174200000,52.783,0.915,0.02221,-0.021070002,-14187500,78800000,0.282,0.66933995,0.55912995,0.54592,GBP,2.3209
6,"Canterbury Court, Kennington Park","Business Centre, 1-3 Brixton Road",London,SW9 6DE,United Kingdom,44 20 7138 3300,44 20 7247 0157,https://www.workspace.co.uk,REIT—Office,Real Estate,"Workspace is London's leading owner and operator of flexible workspace, managing five million sq. ft. of sustainable space with 76 core locations in London and the South East. We are home to some 4,000 of London's fastest growing and established brands from a diverse range of sectors. Our purpose, to give businesses the freedom to grow, is based on the belief that in the right space, teams can achieve more. That in environments they tailor themselves, free from constraint and compromise, teams are best able to collaborate, build their culture and realise their potential. We have a unique combination of a highly effective and scalable operating platform, a portfolio of distinctive properties, and an ownership model that allows us to offer true flexibility. We provide customers with blank canvas space to create a home for their business, alongside leases that give them the freedom to easily scale up and down within our well-connected, extensive portfolio. We are inherently sustainable  we invest across the capital, breathing new life into old buildings and creating hubs of economic activity that help flatten London's working map. We work closely with our local communities to ensure we make a positive and lasting environmental and social impact, creating value over the long term. Workspace was established in 1987, has been listed on the London Stock Exchange since 1993, is a FTSE 250 listed Real Estate Investment Trust (REIT) and a member of the European Public Real Estate Association (EPRA). Workspace is a registered trademark of Workspace Group PLC, London, UK.",293,"{'maxAge': 1, 'name': 'Ms. Clare  Marland', 'title': 'Head of Corp. Communications', 'exercisedValue': 0, 'unexercisedValue': 0}",3,2,4,1,1,1693526400,1703980800,86400,2,496.4,498.4,489.6,502.5,496.4,498.4,489.6,502.5,0.26,0.0517,1688601600,3.91,1.07545,14.045071,468151,468151,309688,235446,235446,498.6,498.6,0,0,956803392,335.2,557.5,5.4925566,496.258,482.621,0.258,0.00051974214,GBp,1879848192,-0.21699,136699803,191898000,0.5695,0.83217,9.336,53.406166,1680220800,1711843200,1680220800,-37800000,-0.2,35.5,0.88,1:10,1312761600,10.791,19.3,LSE,EQUITY,WKP.L,WKP.L,WORKSPACE GROUP PLC ORD GBP1,Workspace Group Plc,755769600,Europe/London,BST,3600000,498.6,700.0,440.0,583.6,619.5,2.1,buy,10,18500000,0.097,97400000,943600000,0.266,1.188,174200000,52.783,0.915,0.02221,-0.021070002,-14187500,78800000,0.282,0.66933995,0.55912995,0.54592,GBP,2.3209
7,"Canterbury Court, Kennington Park","Business Centre, 1-3 Brixton Road",London,SW9 6DE,United Kingdom,44 20 7138 3300,44 20 7247 0157,https://www.workspace.co.uk,REIT—Office,Real Estate,"Workspace is London's leading owner and operator of flexible workspace, managing five million sq. ft. of sustainable space with 76 core locations in London and the South East. We are home to some 4,000 of London's fastest growing and established brands from a diverse range of sectors. Our purpose, to give businesses the freedom to grow, is based on the belief that in the right space, teams can achieve more. That in environments they tailor themselves, free from constraint and compromise, teams are best able to collaborate, build their culture and realise their potential. We have a unique combination of a highly effective and scalable operating platform, a portfolio of distinctive properties, and an ownership model that allows us to offer true flexibility. We provide customers with blank canvas space to create a home for their business, alongside leases that give them the freedom to easily scale up and down within our well-connected, extensive portfolio. We are inherently sustainable  we invest across the capital, breathing new life into old buildings and creating hubs of economic activity that help flatten London's working map. We work closely with our local communities to ensure we make a positive and lasting environmental and social impact, creating value over the long term. Workspace was established in 1987, has been listed on the London Stock Exchange since 1993, is a FTSE 250 listed Real Estate Investment Trust (REIT) and a member of the European Public Real Estate Association (EPRA). Workspace is a registered trademark of Workspace Group PLC, London, UK.",293,"{'maxAge': 1, 'name': 'Mr. Charles  Fraser', 'title': 'Head of Sales', 'exercisedValue': 0, 'unexercisedValue': 0}",3,2,4,1,1,1693526400,1703980800,86400,2,496.4,498.4,489.6,502.5,496.4,498.4,489.6,502.5,0.26,0.0517,1688601600,3.91,1.07545,14.045071,468151,468151,309688,235446,235446,498.6,498.6,0,0,956803392,335.2,557.5,5.4925566,496.258,482.621,0.258,0.00051974214,GBp,1879848192,-0.21699,136699803,191898000,0.5695,0.83217,9.336,53.406166,1680220800,1711843200,1680220800,-37800000,-0.2,35.5,0.88,1:10,1312761600,10.791,19.3,LSE,EQUITY,WKP.L,WKP.L,WORKSPACE GROUP PLC ORD GBP1,Workspace Group Plc,755769600,Europe/London,BST,3600000,498.6,700.0,440.0,583.6,619.5,2.1,buy,10,18500000,0.097,97400000,943600000,0.266,1.188,174200000,52.783,0.915,0.02221,-0.021070002,-14187500,78800000,0.282,0.66933995,0.55912995,0.54592,GBP,2.3209
8,"Canterbury Court, Kennington Park","Business Centre, 1-3 Brixton Road",London,SW9 6DE,United Kingdom,44 20 7138 3300,44 20 7247 0157,https://www.workspace.co.uk,REIT—Office,Real Estate,"Workspace is London's leading owner and operator of flexible workspace, managing five million sq. ft. of sustainable space with 76 core locations in London and the South East. We are home to some 4,000 of London's fastest growing and established brands from a diverse range of sectors. Our purpose, to give businesses the freedom to grow, is based on the belief that in the right space, teams can achieve more. That in environments they tailor themselves, free from constraint and compromise, teams are best able to collaborate, build their culture and realise their potential. We have a unique combination of a highly effective and scalable operating platform, a portfolio of distinctive properties, and an ownership model that allows us to offer true flexibility. We provide customers with blank canvas space to create a home for their business, alongside leases that give them the freedom to easily scale up and down within our well-connected, extensive portfolio. We are inherently sustainable  we invest across the capital, breathing new life into old buildings and creating hubs of economic activity that help flatten London's working map. We work closely with our local communities to ensure we make a positive and lasting environmental and social impact, creating value over the long term. Workspace was established in 1987, has been listed on the London Stock Exchange since 1993, is a FTSE 250 listed Real Estate Investment Trust (REIT) and a member of the European Public Real Estate Association (EPRA). Workspace is a registered trademark of Workspace Group PLC, London, UK.",293,"{'maxAge': 1, 'name': 'Mr. Paul  Hewlett', 'title': 'Director of Strategy & Corp. Devel.', 'exercisedValue': 0, 'unexercisedValue': 0}",3,2,4,1,1,1693526400,1703980800,86400,2,496.4,498.4,489.6,502.5,496.4,498.4,489.6,502.5,0.26,0.0517,1688601600,3.91,1.07545,14.045071,468151,468151,309688,235446,235446,498.6,498.6,0,0,956803392,335.2,557.5,5.4925566,496.258,482.621,0.258,0.00051974214,GBp,1879848192,-0.21699,136699803,191898000,0.5695,0.83217,9.336,53.406166,1680220800,1711843200,1680220800,-37800000,-0.2,35.5,0.88,1:10,1312761600,10.791,19.3,LSE,EQUITY,WKP.L,WKP.L,WORKSPACE GROUP PLC ORD GBP1,Workspace Group Plc,755769600,Europe/London,BST,3600000,498.6,700.0,440.0,583.6,619.5,2.1,buy,10,18500000,0.097,97400000,943600000,0.266,1.188,174200000,52.783,0.915,0.02221,-0.021070002,-14187500,78800000,0.282,0.66933995,0.55912995,0.54592,GBP,2.3209
9,"Canterbury Court, Kennington Park","Business Centre, 1-3 Brixton Road",London,SW9 6DE,United Kingdom,44 20 7138 3300,44 20 7247 0157,https://www.workspace.co.uk,REIT—Office,Real Estate,"Workspace is London's leading owner and operator of flexible workspace, managing five million sq. ft. of sustainable space with 76 core locations in London and the South East. We are home to some 4,000 of London's fastest growing and established brands from a diverse range of sectors. Our purpose, to give businesses the freedom to grow, is based on the belief that in the right space, teams can achieve more. That in environments they tailor themselves, free from constraint and compromise, teams are best able to collaborate, build their culture and realise their potential. We have a unique combination of a highly effective and scalable operating platform, a portfolio of distinctive properties, and an ownership model that allows us to offer true flexibility. We provide customers with blank canvas space to create a home for their business, alongside leases that give them the freedom to easily scale up and down within our well-connected, extensive portfolio. We are inherently sustainable  we invest across the capital, breathing new life into old buildings and creating hubs of economic activity that help flatten London's working map. We work closely with our local communities to ensure we make a positive and lasting environmental and social impact, creating value over the long term. Workspace was established in 1987, has been listed on the London Stock Exchange since 1993, is a FTSE 250 listed Real Estate Investment Trust (REIT) and a member of the European Public Real Estate Association (EPRA). Workspace is a registered trademark of Workspace Group PLC, London, UK.",293,"{'maxAge': 1, 'name': 'Satpreet  Dhariwal', 'title': 'Sr. HR Mang. & Chair of Supporting Others group', 'exercisedValue': 0, 'unexercisedValue': 0}",3,2,4,1,1,1693526400,1703980800,86400,2,496.4,498.4,489.6,502.5,496.4,498.4,489.6,502.5,0.26,0.0517,1688601600,3.91,1.07545,14.045071,468151,468151,309688,235446,235446,498.6,498.6,0,0,956803392,335.2,557.5,5.4925566,496.258,482.621,0.258,0.00051974214,GBp,1879848192,-0.21699,136699803,191898000,0.5695,0.83217,9.336,53.406166,1680220800,1711843200,1680220800,-37800000,-0.2,35.5,0.88,1:10,1312761600,10.791,19.3,LSE,EQUITY,WKP.L,WKP.L,WORKSPACE GROUP PLC ORD GBP1,Workspace Group Plc,755769600,Europe/London,BST,3600000,498.6,700.0,440.0,583.6,619.5,2.1,buy,10,18500000,0.097,97400000,943600000,0.266,1.188,174200000,52.783,0.915,0.02221,-0.021070002,-14187500,78800000,0.282,0.66933995,0.55912995,0.54592,GBP,2.3209
