,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,111 Huntington Avenue,Boston,MA,02199,United States,617 954 5000,https://www.mfs.com/en-us/individual-investor/product-strategies/closed-end-funds/MMT-mfs-multimarket-income-trust.html#tab-overview,Asset Management,Financial Services,"MFS Multimarket Income Trust is a closed ended fixed income mutual fund launched and managed by MFS Investment Management, Inc. The fund invests in the fixed income markets across the globe with greater emphasis on United States. It seeks to invest in fixed income securities issued by U.S. Government, foreign government, mortgage backed, and other asset-backed securities of U.S. and foreign issuers, corporate bonds of U.S. and foreign issuers, and debt instruments of issuers located in emerging market countries with an average duration of 5.1 years. The fund employs fundamental analysis with bottom-up stock picking approach while focusing on factors such as underlying credit quality, collateral characteristics, and indenture provisions, and the issuer's management ability, capital structure, leverage, and ability to meet its current obligations. It seeks to benchmarks the performance of its portfolio against a combination of the Citigroup World Government Bond Non-Dollar Hedged Index, JPMorgan Emerging Markets Bond Index Global, Lehman Brothers U.S. Credit Bond Index, Lehman Brothers U.S. Government/Mortgage Bond Index, and Lehman Brothers U.S. High-Yield Corporate Bond Index. MFS Multimarket Income Trust was formed on March 12, 1987 and is domiciled in the Unites States.","{'maxAge': 1, 'name': 'Ms. Robin Ann Stelmach', 'age': 61, 'title': 'Pres and Trustee', 'yearBorn': 1961, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,4.35,4.35,4.32,4.35,4.35,4.35,4.32,4.35,0.39,0.0908,1694476800,4.9738,8.77,0.68845,54.250004,156518,156518,106777,87860,87860,4.32,4.34,2900,800,253720752,4.12,4.96,11.527966,4.47,4.54395,0.401,0.09218391,USD,348489312,0.22365999,58461000,10238,7790,1690761600,1693440000,0.0002,0.0,0.19861999,0.1,5.0,0.86800003,1667174400,1698710400,1682812800,4922542,0.08,15.834,NYQ,EQUITY,MMT,MMT,MFS Multimarket Income Trust,MFS Multimarket Income Trust,541953000,America/New_York,EDT,-14400000,4.34,none,231565,0.004,95000000,0.106,0.115,22009152,32.499,0.376,0.02931,0.01607,19380407,15842858,37313836,0.281,1.0,0.0,0.87253,USD,
1,111 Huntington Avenue,Boston,MA,02199,United States,617 954 5000,https://www.mfs.com/en-us/individual-investor/product-strategies/closed-end-funds/MMT-mfs-multimarket-income-trust.html#tab-overview,Asset Management,Financial Services,"MFS Multimarket Income Trust is a closed ended fixed income mutual fund launched and managed by MFS Investment Management, Inc. The fund invests in the fixed income markets across the globe with greater emphasis on United States. It seeks to invest in fixed income securities issued by U.S. Government, foreign government, mortgage backed, and other asset-backed securities of U.S. and foreign issuers, corporate bonds of U.S. and foreign issuers, and debt instruments of issuers located in emerging market countries with an average duration of 5.1 years. The fund employs fundamental analysis with bottom-up stock picking approach while focusing on factors such as underlying credit quality, collateral characteristics, and indenture provisions, and the issuer's management ability, capital structure, leverage, and ability to meet its current obligations. It seeks to benchmarks the performance of its portfolio against a combination of the Citigroup World Government Bond Non-Dollar Hedged Index, JPMorgan Emerging Markets Bond Index Global, Lehman Brothers U.S. Credit Bond Index, Lehman Brothers U.S. Government/Mortgage Bond Index, and Lehman Brothers U.S. High-Yield Corporate Bond Index. MFS Multimarket Income Trust was formed on March 12, 1987 and is domiciled in the Unites States.","{'maxAge': 1, 'name': 'Mr. Frank L. Tarantino', 'age': 78, 'title': 'Independent Chief Compliance Officer', 'yearBorn': 1944, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,4.35,4.35,4.32,4.35,4.35,4.35,4.32,4.35,0.39,0.0908,1694476800,4.9738,8.77,0.68845,54.250004,156518,156518,106777,87860,87860,4.32,4.34,2900,800,253720752,4.12,4.96,11.527966,4.47,4.54395,0.401,0.09218391,USD,348489312,0.22365999,58461000,10238,7790,1690761600,1693440000,0.0002,0.0,0.19861999,0.1,5.0,0.86800003,1667174400,1698710400,1682812800,4922542,0.08,15.834,NYQ,EQUITY,MMT,MMT,MFS Multimarket Income Trust,MFS Multimarket Income Trust,541953000,America/New_York,EDT,-14400000,4.34,none,231565,0.004,95000000,0.106,0.115,22009152,32.499,0.376,0.02931,0.01607,19380407,15842858,37313836,0.281,1.0,0.0,0.87253,USD,
2,111 Huntington Avenue,Boston,MA,02199,United States,617 954 5000,https://www.mfs.com/en-us/individual-investor/product-strategies/closed-end-funds/MMT-mfs-multimarket-income-trust.html#tab-overview,Asset Management,Financial Services,"MFS Multimarket Income Trust is a closed ended fixed income mutual fund launched and managed by MFS Investment Management, Inc. The fund invests in the fixed income markets across the globe with greater emphasis on United States. It seeks to invest in fixed income securities issued by U.S. Government, foreign government, mortgage backed, and other asset-backed securities of U.S. and foreign issuers, corporate bonds of U.S. and foreign issuers, and debt instruments of issuers located in emerging market countries with an average duration of 5.1 years. The fund employs fundamental analysis with bottom-up stock picking approach while focusing on factors such as underlying credit quality, collateral characteristics, and indenture provisions, and the issuer's management ability, capital structure, leverage, and ability to meet its current obligations. It seeks to benchmarks the performance of its portfolio against a combination of the Citigroup World Government Bond Non-Dollar Hedged Index, JPMorgan Emerging Markets Bond Index Global, Lehman Brothers U.S. Credit Bond Index, Lehman Brothers U.S. Government/Mortgage Bond Index, and Lehman Brothers U.S. High-Yield Corporate Bond Index. MFS Multimarket Income Trust was formed on March 12, 1987 and is domiciled in the Unites States.","{'maxAge': 1, 'name': 'Mr. Richard S. Weitzel', 'age': 52, 'title': 'Assistant Sec. & Assistant Clerk', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,4.35,4.35,4.32,4.35,4.35,4.35,4.32,4.35,0.39,0.0908,1694476800,4.9738,8.77,0.68845,54.250004,156518,156518,106777,87860,87860,4.32,4.34,2900,800,253720752,4.12,4.96,11.527966,4.47,4.54395,0.401,0.09218391,USD,348489312,0.22365999,58461000,10238,7790,1690761600,1693440000,0.0002,0.0,0.19861999,0.1,5.0,0.86800003,1667174400,1698710400,1682812800,4922542,0.08,15.834,NYQ,EQUITY,MMT,MMT,MFS Multimarket Income Trust,MFS Multimarket Income Trust,541953000,America/New_York,EDT,-14400000,4.34,none,231565,0.004,95000000,0.106,0.115,22009152,32.499,0.376,0.02931,0.01607,19380407,15842858,37313836,0.281,1.0,0.0,0.87253,USD,
3,111 Huntington Avenue,Boston,MA,02199,United States,617 954 5000,https://www.mfs.com/en-us/individual-investor/product-strategies/closed-end-funds/MMT-mfs-multimarket-income-trust.html#tab-overview,Asset Management,Financial Services,"MFS Multimarket Income Trust is a closed ended fixed income mutual fund launched and managed by MFS Investment Management, Inc. The fund invests in the fixed income markets across the globe with greater emphasis on United States. It seeks to invest in fixed income securities issued by U.S. Government, foreign government, mortgage backed, and other asset-backed securities of U.S. and foreign issuers, corporate bonds of U.S. and foreign issuers, and debt instruments of issuers located in emerging market countries with an average duration of 5.1 years. The fund employs fundamental analysis with bottom-up stock picking approach while focusing on factors such as underlying credit quality, collateral characteristics, and indenture provisions, and the issuer's management ability, capital structure, leverage, and ability to meet its current obligations. It seeks to benchmarks the performance of its portfolio against a combination of the Citigroup World Government Bond Non-Dollar Hedged Index, JPMorgan Emerging Markets Bond Index Global, Lehman Brothers U.S. Credit Bond Index, Lehman Brothers U.S. Government/Mortgage Bond Index, and Lehman Brothers U.S. High-Yield Corporate Bond Index. MFS Multimarket Income Trust was formed on March 12, 1987 and is domiciled in the Unites States.","{'maxAge': 1, 'name': 'Mr. Kasey L. Philips', 'age': 51, 'title': 'Assistant Treasurer', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,4.35,4.35,4.32,4.35,4.35,4.35,4.32,4.35,0.39,0.0908,1694476800,4.9738,8.77,0.68845,54.250004,156518,156518,106777,87860,87860,4.32,4.34,2900,800,253720752,4.12,4.96,11.527966,4.47,4.54395,0.401,0.09218391,USD,348489312,0.22365999,58461000,10238,7790,1690761600,1693440000,0.0002,0.0,0.19861999,0.1,5.0,0.86800003,1667174400,1698710400,1682812800,4922542,0.08,15.834,NYQ,EQUITY,MMT,MMT,MFS Multimarket Income Trust,MFS Multimarket Income Trust,541953000,America/New_York,EDT,-14400000,4.34,none,231565,0.004,95000000,0.106,0.115,22009152,32.499,0.376,0.02931,0.01607,19380407,15842858,37313836,0.281,1.0,0.0,0.87253,USD,
4,111 Huntington Avenue,Boston,MA,02199,United States,617 954 5000,https://www.mfs.com/en-us/individual-investor/product-strategies/closed-end-funds/MMT-mfs-multimarket-income-trust.html#tab-overview,Asset Management,Financial Services,"MFS Multimarket Income Trust is a closed ended fixed income mutual fund launched and managed by MFS Investment Management, Inc. The fund invests in the fixed income markets across the globe with greater emphasis on United States. It seeks to invest in fixed income securities issued by U.S. Government, foreign government, mortgage backed, and other asset-backed securities of U.S. and foreign issuers, corporate bonds of U.S. and foreign issuers, and debt instruments of issuers located in emerging market countries with an average duration of 5.1 years. The fund employs fundamental analysis with bottom-up stock picking approach while focusing on factors such as underlying credit quality, collateral characteristics, and indenture provisions, and the issuer's management ability, capital structure, leverage, and ability to meet its current obligations. It seeks to benchmarks the performance of its portfolio against a combination of the Citigroup World Government Bond Non-Dollar Hedged Index, JPMorgan Emerging Markets Bond Index Global, Lehman Brothers U.S. Credit Bond Index, Lehman Brothers U.S. Government/Mortgage Bond Index, and Lehman Brothers U.S. High-Yield Corporate Bond Index. MFS Multimarket Income Trust was formed on March 12, 1987 and is domiciled in the Unites States.","{'maxAge': 1, 'name': 'Mr. Brian E. Langenfeld', 'age': 49, 'title': 'Assistant Sec. and Assistant Clerk', 'yearBorn': 1973, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,4.35,4.35,4.32,4.35,4.35,4.35,4.32,4.35,0.39,0.0908,1694476800,4.9738,8.77,0.68845,54.250004,156518,156518,106777,87860,87860,4.32,4.34,2900,800,253720752,4.12,4.96,11.527966,4.47,4.54395,0.401,0.09218391,USD,348489312,0.22365999,58461000,10238,7790,1690761600,1693440000,0.0002,0.0,0.19861999,0.1,5.0,0.86800003,1667174400,1698710400,1682812800,4922542,0.08,15.834,NYQ,EQUITY,MMT,MMT,MFS Multimarket Income Trust,MFS Multimarket Income Trust,541953000,America/New_York,EDT,-14400000,4.34,none,231565,0.004,95000000,0.106,0.115,22009152,32.499,0.376,0.02931,0.01607,19380407,15842858,37313836,0.281,1.0,0.0,0.87253,USD,
5,111 Huntington Avenue,Boston,MA,02199,United States,617 954 5000,https://www.mfs.com/en-us/individual-investor/product-strategies/closed-end-funds/MMT-mfs-multimarket-income-trust.html#tab-overview,Asset Management,Financial Services,"MFS Multimarket Income Trust is a closed ended fixed income mutual fund launched and managed by MFS Investment Management, Inc. The fund invests in the fixed income markets across the globe with greater emphasis on United States. It seeks to invest in fixed income securities issued by U.S. Government, foreign government, mortgage backed, and other asset-backed securities of U.S. and foreign issuers, corporate bonds of U.S. and foreign issuers, and debt instruments of issuers located in emerging market countries with an average duration of 5.1 years. The fund employs fundamental analysis with bottom-up stock picking approach while focusing on factors such as underlying credit quality, collateral characteristics, and indenture provisions, and the issuer's management ability, capital structure, leverage, and ability to meet its current obligations. It seeks to benchmarks the performance of its portfolio against a combination of the Citigroup World Government Bond Non-Dollar Hedged Index, JPMorgan Emerging Markets Bond Index Global, Lehman Brothers U.S. Credit Bond Index, Lehman Brothers U.S. Government/Mortgage Bond Index, and Lehman Brothers U.S. High-Yield Corporate Bond Index. MFS Multimarket Income Trust was formed on March 12, 1987 and is domiciled in the Unites States.","{'maxAge': 1, 'name': 'Ms. Susan A. Pereira', 'age': 51, 'title': 'Assistant Sec. and Assistant Clerk', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,4.35,4.35,4.32,4.35,4.35,4.35,4.32,4.35,0.39,0.0908,1694476800,4.9738,8.77,0.68845,54.250004,156518,156518,106777,87860,87860,4.32,4.34,2900,800,253720752,4.12,4.96,11.527966,4.47,4.54395,0.401,0.09218391,USD,348489312,0.22365999,58461000,10238,7790,1690761600,1693440000,0.0002,0.0,0.19861999,0.1,5.0,0.86800003,1667174400,1698710400,1682812800,4922542,0.08,15.834,NYQ,EQUITY,MMT,MMT,MFS Multimarket Income Trust,MFS Multimarket Income Trust,541953000,America/New_York,EDT,-14400000,4.34,none,231565,0.004,95000000,0.106,0.115,22009152,32.499,0.376,0.02931,0.01607,19380407,15842858,37313836,0.281,1.0,0.0,0.87253,USD,
6,111 Huntington Avenue,Boston,MA,02199,United States,617 954 5000,https://www.mfs.com/en-us/individual-investor/product-strategies/closed-end-funds/MMT-mfs-multimarket-income-trust.html#tab-overview,Asset Management,Financial Services,"MFS Multimarket Income Trust is a closed ended fixed income mutual fund launched and managed by MFS Investment Management, Inc. The fund invests in the fixed income markets across the globe with greater emphasis on United States. It seeks to invest in fixed income securities issued by U.S. Government, foreign government, mortgage backed, and other asset-backed securities of U.S. and foreign issuers, corporate bonds of U.S. and foreign issuers, and debt instruments of issuers located in emerging market countries with an average duration of 5.1 years. The fund employs fundamental analysis with bottom-up stock picking approach while focusing on factors such as underlying credit quality, collateral characteristics, and indenture provisions, and the issuer's management ability, capital structure, leverage, and ability to meet its current obligations. It seeks to benchmarks the performance of its portfolio against a combination of the Citigroup World Government Bond Non-Dollar Hedged Index, JPMorgan Emerging Markets Bond Index Global, Lehman Brothers U.S. Credit Bond Index, Lehman Brothers U.S. Government/Mortgage Bond Index, and Lehman Brothers U.S. High-Yield Corporate Bond Index. MFS Multimarket Income Trust was formed on March 12, 1987 and is domiciled in the Unites States.","{'maxAge': 1, 'name': 'Mr. Ethan D. Corey', 'age': 58, 'title': 'Assistant Sec. and Assistant Clerk', 'yearBorn': 1964, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,4.35,4.35,4.32,4.35,4.35,4.35,4.32,4.35,0.39,0.0908,1694476800,4.9738,8.77,0.68845,54.250004,156518,156518,106777,87860,87860,4.32,4.34,2900,800,253720752,4.12,4.96,11.527966,4.47,4.54395,0.401,0.09218391,USD,348489312,0.22365999,58461000,10238,7790,1690761600,1693440000,0.0002,0.0,0.19861999,0.1,5.0,0.86800003,1667174400,1698710400,1682812800,4922542,0.08,15.834,NYQ,EQUITY,MMT,MMT,MFS Multimarket Income Trust,MFS Multimarket Income Trust,541953000,America/New_York,EDT,-14400000,4.34,none,231565,0.004,95000000,0.106,0.115,22009152,32.499,0.376,0.02931,0.01607,19380407,15842858,37313836,0.281,1.0,0.0,0.87253,USD,
7,111 Huntington Avenue,Boston,MA,02199,United States,617 954 5000,https://www.mfs.com/en-us/individual-investor/product-strategies/closed-end-funds/MMT-mfs-multimarket-income-trust.html#tab-overview,Asset Management,Financial Services,"MFS Multimarket Income Trust is a closed ended fixed income mutual fund launched and managed by MFS Investment Management, Inc. The fund invests in the fixed income markets across the globe with greater emphasis on United States. It seeks to invest in fixed income securities issued by U.S. Government, foreign government, mortgage backed, and other asset-backed securities of U.S. and foreign issuers, corporate bonds of U.S. and foreign issuers, and debt instruments of issuers located in emerging market countries with an average duration of 5.1 years. The fund employs fundamental analysis with bottom-up stock picking approach while focusing on factors such as underlying credit quality, collateral characteristics, and indenture provisions, and the issuer's management ability, capital structure, leverage, and ability to meet its current obligations. It seeks to benchmarks the performance of its portfolio against a combination of the Citigroup World Government Bond Non-Dollar Hedged Index, JPMorgan Emerging Markets Bond Index Global, Lehman Brothers U.S. Credit Bond Index, Lehman Brothers U.S. Government/Mortgage Bond Index, and Lehman Brothers U.S. High-Yield Corporate Bond Index. MFS Multimarket Income Trust was formed on March 12, 1987 and is domiciled in the Unites States.","{'maxAge': 1, 'name': 'Mr. Thomas H. Connors', 'age': 62, 'title': 'Assistant Sec. and Assistant Clerk', 'yearBorn': 1960, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,4.35,4.35,4.32,4.35,4.35,4.35,4.32,4.35,0.39,0.0908,1694476800,4.9738,8.77,0.68845,54.250004,156518,156518,106777,87860,87860,4.32,4.34,2900,800,253720752,4.12,4.96,11.527966,4.47,4.54395,0.401,0.09218391,USD,348489312,0.22365999,58461000,10238,7790,1690761600,1693440000,0.0002,0.0,0.19861999,0.1,5.0,0.86800003,1667174400,1698710400,1682812800,4922542,0.08,15.834,NYQ,EQUITY,MMT,MMT,MFS Multimarket Income Trust,MFS Multimarket Income Trust,541953000,America/New_York,EDT,-14400000,4.34,none,231565,0.004,95000000,0.106,0.115,22009152,32.499,0.376,0.02931,0.01607,19380407,15842858,37313836,0.281,1.0,0.0,0.87253,USD,
8,111 Huntington Avenue,Boston,MA,02199,United States,617 954 5000,https://www.mfs.com/en-us/individual-investor/product-strategies/closed-end-funds/MMT-mfs-multimarket-income-trust.html#tab-overview,Asset Management,Financial Services,"MFS Multimarket Income Trust is a closed ended fixed income mutual fund launched and managed by MFS Investment Management, Inc. The fund invests in the fixed income markets across the globe with greater emphasis on United States. It seeks to invest in fixed income securities issued by U.S. Government, foreign government, mortgage backed, and other asset-backed securities of U.S. and foreign issuers, corporate bonds of U.S. and foreign issuers, and debt instruments of issuers located in emerging market countries with an average duration of 5.1 years. The fund employs fundamental analysis with bottom-up stock picking approach while focusing on factors such as underlying credit quality, collateral characteristics, and indenture provisions, and the issuer's management ability, capital structure, leverage, and ability to meet its current obligations. It seeks to benchmarks the performance of its portfolio against a combination of the Citigroup World Government Bond Non-Dollar Hedged Index, JPMorgan Emerging Markets Bond Index Global, Lehman Brothers U.S. Credit Bond Index, Lehman Brothers U.S. Government/Mortgage Bond Index, and Lehman Brothers U.S. High-Yield Corporate Bond Index. MFS Multimarket Income Trust was formed on March 12, 1987 and is domiciled in the Unites States.","{'maxAge': 1, 'name': 'Mr. Christopher R. Bohane', 'age': 48, 'title': 'Assistant Sec. and Assistant Clerk', 'yearBorn': 1974, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,4.35,4.35,4.32,4.35,4.35,4.35,4.32,4.35,0.39,0.0908,1694476800,4.9738,8.77,0.68845,54.250004,156518,156518,106777,87860,87860,4.32,4.34,2900,800,253720752,4.12,4.96,11.527966,4.47,4.54395,0.401,0.09218391,USD,348489312,0.22365999,58461000,10238,7790,1690761600,1693440000,0.0002,0.0,0.19861999,0.1,5.0,0.86800003,1667174400,1698710400,1682812800,4922542,0.08,15.834,NYQ,EQUITY,MMT,MMT,MFS Multimarket Income Trust,MFS Multimarket Income Trust,541953000,America/New_York,EDT,-14400000,4.34,none,231565,0.004,95000000,0.106,0.115,22009152,32.499,0.376,0.02931,0.01607,19380407,15842858,37313836,0.281,1.0,0.0,0.87253,USD,
9,111 Huntington Avenue,Boston,MA,02199,United States,617 954 5000,https://www.mfs.com/en-us/individual-investor/product-strategies/closed-end-funds/MMT-mfs-multimarket-income-trust.html#tab-overview,Asset Management,Financial Services,"MFS Multimarket Income Trust is a closed ended fixed income mutual fund launched and managed by MFS Investment Management, Inc. The fund invests in the fixed income markets across the globe with greater emphasis on United States. It seeks to invest in fixed income securities issued by U.S. Government, foreign government, mortgage backed, and other asset-backed securities of U.S. and foreign issuers, corporate bonds of U.S. and foreign issuers, and debt instruments of issuers located in emerging market countries with an average duration of 5.1 years. The fund employs fundamental analysis with bottom-up stock picking approach while focusing on factors such as underlying credit quality, collateral characteristics, and indenture provisions, and the issuer's management ability, capital structure, leverage, and ability to meet its current obligations. It seeks to benchmarks the performance of its portfolio against a combination of the Citigroup World Government Bond Non-Dollar Hedged Index, JPMorgan Emerging Markets Bond Index Global, Lehman Brothers U.S. Credit Bond Index, Lehman Brothers U.S. Government/Mortgage Bond Index, and Lehman Brothers U.S. High-Yield Corporate Bond Index. MFS Multimarket Income Trust was formed on March 12, 1987 and is domiciled in the Unites States.","{'maxAge': 1, 'name': 'Mr. Matthew W. Ryan CFA', 'title': 'Portfolio Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,4.35,4.35,4.32,4.35,4.35,4.35,4.32,4.35,0.39,0.0908,1694476800,4.9738,8.77,0.68845,54.250004,156518,156518,106777,87860,87860,4.32,4.34,2900,800,253720752,4.12,4.96,11.527966,4.47,4.54395,0.401,0.09218391,USD,348489312,0.22365999,58461000,10238,7790,1690761600,1693440000,0.0002,0.0,0.19861999,0.1,5.0,0.86800003,1667174400,1698710400,1682812800,4922542,0.08,15.834,NYQ,EQUITY,MMT,MMT,MFS Multimarket Income Trust,MFS Multimarket Income Trust,541953000,America/New_York,EDT,-14400000,4.34,none,231565,0.004,95000000,0.106,0.115,22009152,32.499,0.376,0.02931,0.01607,19380407,15842858,37313836,0.281,1.0,0.0,0.87253,USD,
