,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,4000 Meridian Boulevard,Franklin,TN,37067,United States,615 465 7000,https://www.chs.net,Medical Care Facilities,Healthcare,"Community Health Systems, Inc. owns, leases, and operates general acute care hospitals in the United States. It offers general acute care, emergency room, general and specialty surgery, critical care, internal medicine, obstetrics, diagnostic, psychiatric, and rehabilitation services, as well as skilled nursing and home care services. The company also provides outpatient services at primary care practices, urgent care centers, free-standing emergency departments, ambulatory surgery centers, imaging and diagnostic centers, and direct-to-consumer virtual health visits. As of December 31, 2021, it owned or leased 80 affiliated hospitals with an aggregate of 12,832 licensed beds. The company was founded in 1985 and is headquartered in Franklin, Tennessee.",51000,"{'maxAge': 1, 'name': 'Mr. Tim L. Hingtgen', 'age': 54, 'title': 'CEO & Director', 'yearBorn': 1968, 'fiscalYear': 2022, 'totalPay': 2023683, 'exercisedValue': 0, 'unexercisedValue': 0}",2,5,5,1,2,1693526400,1672444800,86400,4,3.16,3.18,3.05,3.2,3.16,3.18,3.05,3.2,1355356800,0.0,1.756569,1.4311925,10.064516,2297470,2297470,1296987,1276400,1276400,3.05,3.19,2900,1800,426797280,1.88,8.01,0.034446917,3.8324,4.3993,0.0,0.0,USD,13430777856,0.022920001,106044335,136794000,8396927,6691696,1690761600,1693440000,0.0614,0.07115,0.79560995,5.62,0.0813,-11.392,1672444800,1703980800,1688083200,284000000,2.18,0.31,0.75,121:100,1461283200,1.084,10.796,NYQ,EQUITY,CYH,CYH,"Community Health Systems, Inc.","Community Health Systems, Inc.",960557400,America/New_York,EDT,-14400000,3.12,13.75,4.0,6.64,6.25,2.4,buy,10,118000000,0.903,1244000000,12472000512,1.101,1.538,12389999616,95.553,0.0337,4906000000,-272750016,237000000,0.062,0.40161,0.1004,0.06465,USD,
1,4000 Meridian Boulevard,Franklin,TN,37067,United States,615 465 7000,https://www.chs.net,Medical Care Facilities,Healthcare,"Community Health Systems, Inc. owns, leases, and operates general acute care hospitals in the United States. It offers general acute care, emergency room, general and specialty surgery, critical care, internal medicine, obstetrics, diagnostic, psychiatric, and rehabilitation services, as well as skilled nursing and home care services. The company also provides outpatient services at primary care practices, urgent care centers, free-standing emergency departments, ambulatory surgery centers, imaging and diagnostic centers, and direct-to-consumer virtual health visits. As of December 31, 2021, it owned or leased 80 affiliated hospitals with an aggregate of 12,832 licensed beds. The company was founded in 1985 and is headquartered in Franklin, Tennessee.",51000,"{'maxAge': 1, 'name': 'Mr. Kevin J. Hammons', 'age': 56, 'title': 'Pres & CFO', 'yearBorn': 1966, 'fiscalYear': 2022, 'totalPay': 1039481, 'exercisedValue': 0, 'unexercisedValue': 0}",2,5,5,1,2,1693526400,1672444800,86400,4,3.16,3.18,3.05,3.2,3.16,3.18,3.05,3.2,1355356800,0.0,1.756569,1.4311925,10.064516,2297470,2297470,1296987,1276400,1276400,3.05,3.19,2900,1800,426797280,1.88,8.01,0.034446917,3.8324,4.3993,0.0,0.0,USD,13430777856,0.022920001,106044335,136794000,8396927,6691696,1690761600,1693440000,0.0614,0.07115,0.79560995,5.62,0.0813,-11.392,1672444800,1703980800,1688083200,284000000,2.18,0.31,0.75,121:100,1461283200,1.084,10.796,NYQ,EQUITY,CYH,CYH,"Community Health Systems, Inc.","Community Health Systems, Inc.",960557400,America/New_York,EDT,-14400000,3.12,13.75,4.0,6.64,6.25,2.4,buy,10,118000000,0.903,1244000000,12472000512,1.101,1.538,12389999616,95.553,0.0337,4906000000,-272750016,237000000,0.062,0.40161,0.1004,0.06465,USD,
2,4000 Meridian Boulevard,Franklin,TN,37067,United States,615 465 7000,https://www.chs.net,Medical Care Facilities,Healthcare,"Community Health Systems, Inc. owns, leases, and operates general acute care hospitals in the United States. It offers general acute care, emergency room, general and specialty surgery, critical care, internal medicine, obstetrics, diagnostic, psychiatric, and rehabilitation services, as well as skilled nursing and home care services. The company also provides outpatient services at primary care practices, urgent care centers, free-standing emergency departments, ambulatory surgery centers, imaging and diagnostic centers, and direct-to-consumer virtual health visits. As of December 31, 2021, it owned or leased 80 affiliated hospitals with an aggregate of 12,832 licensed beds. The company was founded in 1985 and is headquartered in Franklin, Tennessee.",51000,"{'maxAge': 1, 'name': 'Dr. Lynn T. Simon M.D., MBA', 'age': 62, 'title': 'Pres of Healthcare Innovation & Chief Medical Officer', 'yearBorn': 1960, 'fiscalYear': 2022, 'totalPay': 875618, 'exercisedValue': 0, 'unexercisedValue': 0}",2,5,5,1,2,1693526400,1672444800,86400,4,3.16,3.18,3.05,3.2,3.16,3.18,3.05,3.2,1355356800,0.0,1.756569,1.4311925,10.064516,2297470,2297470,1296987,1276400,1276400,3.05,3.19,2900,1800,426797280,1.88,8.01,0.034446917,3.8324,4.3993,0.0,0.0,USD,13430777856,0.022920001,106044335,136794000,8396927,6691696,1690761600,1693440000,0.0614,0.07115,0.79560995,5.62,0.0813,-11.392,1672444800,1703980800,1688083200,284000000,2.18,0.31,0.75,121:100,1461283200,1.084,10.796,NYQ,EQUITY,CYH,CYH,"Community Health Systems, Inc.","Community Health Systems, Inc.",960557400,America/New_York,EDT,-14400000,3.12,13.75,4.0,6.64,6.25,2.4,buy,10,118000000,0.903,1244000000,12472000512,1.101,1.538,12389999616,95.553,0.0337,4906000000,-272750016,237000000,0.062,0.40161,0.1004,0.06465,USD,
3,4000 Meridian Boulevard,Franklin,TN,37067,United States,615 465 7000,https://www.chs.net,Medical Care Facilities,Healthcare,"Community Health Systems, Inc. owns, leases, and operates general acute care hospitals in the United States. It offers general acute care, emergency room, general and specialty surgery, critical care, internal medicine, obstetrics, diagnostic, psychiatric, and rehabilitation services, as well as skilled nursing and home care services. The company also provides outpatient services at primary care practices, urgent care centers, free-standing emergency departments, ambulatory surgery centers, imaging and diagnostic centers, and direct-to-consumer virtual health visits. As of December 31, 2021, it owned or leased 80 affiliated hospitals with an aggregate of 12,832 licensed beds. The company was founded in 1985 and is headquartered in Franklin, Tennessee.",51000,"{'maxAge': 1, 'name': 'Mr. Mark B. Medley', 'age': 56, 'title': 'Pres of Region 3 Operations', 'yearBorn': 1966, 'fiscalYear': 2022, 'totalPay': 787006, 'exercisedValue': 0, 'unexercisedValue': 19920}",2,5,5,1,2,1693526400,1672444800,86400,4,3.16,3.18,3.05,3.2,3.16,3.18,3.05,3.2,1355356800,0.0,1.756569,1.4311925,10.064516,2297470,2297470,1296987,1276400,1276400,3.05,3.19,2900,1800,426797280,1.88,8.01,0.034446917,3.8324,4.3993,0.0,0.0,USD,13430777856,0.022920001,106044335,136794000,8396927,6691696,1690761600,1693440000,0.0614,0.07115,0.79560995,5.62,0.0813,-11.392,1672444800,1703980800,1688083200,284000000,2.18,0.31,0.75,121:100,1461283200,1.084,10.796,NYQ,EQUITY,CYH,CYH,"Community Health Systems, Inc.","Community Health Systems, Inc.",960557400,America/New_York,EDT,-14400000,3.12,13.75,4.0,6.64,6.25,2.4,buy,10,118000000,0.903,1244000000,12472000512,1.101,1.538,12389999616,95.553,0.0337,4906000000,-272750016,237000000,0.062,0.40161,0.1004,0.06465,USD,
4,4000 Meridian Boulevard,Franklin,TN,37067,United States,615 465 7000,https://www.chs.net,Medical Care Facilities,Healthcare,"Community Health Systems, Inc. owns, leases, and operates general acute care hospitals in the United States. It offers general acute care, emergency room, general and specialty surgery, critical care, internal medicine, obstetrics, diagnostic, psychiatric, and rehabilitation services, as well as skilled nursing and home care services. The company also provides outpatient services at primary care practices, urgent care centers, free-standing emergency departments, ambulatory surgery centers, imaging and diagnostic centers, and direct-to-consumer virtual health visits. As of December 31, 2021, it owned or leased 80 affiliated hospitals with an aggregate of 12,832 licensed beds. The company was founded in 1985 and is headquartered in Franklin, Tennessee.",51000,"{'maxAge': 1, 'name': 'Mr. Jason K. Johnson', 'age': 47, 'title': 'Sr. VP & Chief Accounting Officer', 'yearBorn': 1975, 'exercisedValue': 0, 'unexercisedValue': 0}",2,5,5,1,2,1693526400,1672444800,86400,4,3.16,3.18,3.05,3.2,3.16,3.18,3.05,3.2,1355356800,0.0,1.756569,1.4311925,10.064516,2297470,2297470,1296987,1276400,1276400,3.05,3.19,2900,1800,426797280,1.88,8.01,0.034446917,3.8324,4.3993,0.0,0.0,USD,13430777856,0.022920001,106044335,136794000,8396927,6691696,1690761600,1693440000,0.0614,0.07115,0.79560995,5.62,0.0813,-11.392,1672444800,1703980800,1688083200,284000000,2.18,0.31,0.75,121:100,1461283200,1.084,10.796,NYQ,EQUITY,CYH,CYH,"Community Health Systems, Inc.","Community Health Systems, Inc.",960557400,America/New_York,EDT,-14400000,3.12,13.75,4.0,6.64,6.25,2.4,buy,10,118000000,0.903,1244000000,12472000512,1.101,1.538,12389999616,95.553,0.0337,4906000000,-272750016,237000000,0.062,0.40161,0.1004,0.06465,USD,
5,4000 Meridian Boulevard,Franklin,TN,37067,United States,615 465 7000,https://www.chs.net,Medical Care Facilities,Healthcare,"Community Health Systems, Inc. owns, leases, and operates general acute care hospitals in the United States. It offers general acute care, emergency room, general and specialty surgery, critical care, internal medicine, obstetrics, diagnostic, psychiatric, and rehabilitation services, as well as skilled nursing and home care services. The company also provides outpatient services at primary care practices, urgent care centers, free-standing emergency departments, ambulatory surgery centers, imaging and diagnostic centers, and direct-to-consumer virtual health visits. As of December 31, 2021, it owned or leased 80 affiliated hospitals with an aggregate of 12,832 licensed beds. The company was founded in 1985 and is headquartered in Franklin, Tennessee.",51000,"{'maxAge': 1, 'name': 'Shelly  Schussele', 'title': 'Sr. Director of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",2,5,5,1,2,1693526400,1672444800,86400,4,3.16,3.18,3.05,3.2,3.16,3.18,3.05,3.2,1355356800,0.0,1.756569,1.4311925,10.064516,2297470,2297470,1296987,1276400,1276400,3.05,3.19,2900,1800,426797280,1.88,8.01,0.034446917,3.8324,4.3993,0.0,0.0,USD,13430777856,0.022920001,106044335,136794000,8396927,6691696,1690761600,1693440000,0.0614,0.07115,0.79560995,5.62,0.0813,-11.392,1672444800,1703980800,1688083200,284000000,2.18,0.31,0.75,121:100,1461283200,1.084,10.796,NYQ,EQUITY,CYH,CYH,"Community Health Systems, Inc.","Community Health Systems, Inc.",960557400,America/New_York,EDT,-14400000,3.12,13.75,4.0,6.64,6.25,2.4,buy,10,118000000,0.903,1244000000,12472000512,1.101,1.538,12389999616,95.553,0.0337,4906000000,-272750016,237000000,0.062,0.40161,0.1004,0.06465,USD,
6,4000 Meridian Boulevard,Franklin,TN,37067,United States,615 465 7000,https://www.chs.net,Medical Care Facilities,Healthcare,"Community Health Systems, Inc. owns, leases, and operates general acute care hospitals in the United States. It offers general acute care, emergency room, general and specialty surgery, critical care, internal medicine, obstetrics, diagnostic, psychiatric, and rehabilitation services, as well as skilled nursing and home care services. The company also provides outpatient services at primary care practices, urgent care centers, free-standing emergency departments, ambulatory surgery centers, imaging and diagnostic centers, and direct-to-consumer virtual health visits. As of December 31, 2021, it owned or leased 80 affiliated hospitals with an aggregate of 12,832 licensed beds. The company was founded in 1985 and is headquartered in Franklin, Tennessee.",51000,"{'maxAge': 1, 'name': 'Mr. Justin D. Pitt', 'age': 46, 'title': 'Exec. VP, Gen. Counsel & Assistant Sec.', 'yearBorn': 1976, 'exercisedValue': 0, 'unexercisedValue': 0}",2,5,5,1,2,1693526400,1672444800,86400,4,3.16,3.18,3.05,3.2,3.16,3.18,3.05,3.2,1355356800,0.0,1.756569,1.4311925,10.064516,2297470,2297470,1296987,1276400,1276400,3.05,3.19,2900,1800,426797280,1.88,8.01,0.034446917,3.8324,4.3993,0.0,0.0,USD,13430777856,0.022920001,106044335,136794000,8396927,6691696,1690761600,1693440000,0.0614,0.07115,0.79560995,5.62,0.0813,-11.392,1672444800,1703980800,1688083200,284000000,2.18,0.31,0.75,121:100,1461283200,1.084,10.796,NYQ,EQUITY,CYH,CYH,"Community Health Systems, Inc.","Community Health Systems, Inc.",960557400,America/New_York,EDT,-14400000,3.12,13.75,4.0,6.64,6.25,2.4,buy,10,118000000,0.903,1244000000,12472000512,1.101,1.538,12389999616,95.553,0.0337,4906000000,-272750016,237000000,0.062,0.40161,0.1004,0.06465,USD,
7,4000 Meridian Boulevard,Franklin,TN,37067,United States,615 465 7000,https://www.chs.net,Medical Care Facilities,Healthcare,"Community Health Systems, Inc. owns, leases, and operates general acute care hospitals in the United States. It offers general acute care, emergency room, general and specialty surgery, critical care, internal medicine, obstetrics, diagnostic, psychiatric, and rehabilitation services, as well as skilled nursing and home care services. The company also provides outpatient services at primary care practices, urgent care centers, free-standing emergency departments, ambulatory surgery centers, imaging and diagnostic centers, and direct-to-consumer virtual health visits. As of December 31, 2021, it owned or leased 80 affiliated hospitals with an aggregate of 12,832 licensed beds. The company was founded in 1985 and is headquartered in Franklin, Tennessee.",51000,"{'maxAge': 1, 'name': 'Ms. Beth  Witte', 'title': 'Sr. VP Corp. Compliance & Privacy Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",2,5,5,1,2,1693526400,1672444800,86400,4,3.16,3.18,3.05,3.2,3.16,3.18,3.05,3.2,1355356800,0.0,1.756569,1.4311925,10.064516,2297470,2297470,1296987,1276400,1276400,3.05,3.19,2900,1800,426797280,1.88,8.01,0.034446917,3.8324,4.3993,0.0,0.0,USD,13430777856,0.022920001,106044335,136794000,8396927,6691696,1690761600,1693440000,0.0614,0.07115,0.79560995,5.62,0.0813,-11.392,1672444800,1703980800,1688083200,284000000,2.18,0.31,0.75,121:100,1461283200,1.084,10.796,NYQ,EQUITY,CYH,CYH,"Community Health Systems, Inc.","Community Health Systems, Inc.",960557400,America/New_York,EDT,-14400000,3.12,13.75,4.0,6.64,6.25,2.4,buy,10,118000000,0.903,1244000000,12472000512,1.101,1.538,12389999616,95.553,0.0337,4906000000,-272750016,237000000,0.062,0.40161,0.1004,0.06465,USD,
8,4000 Meridian Boulevard,Franklin,TN,37067,United States,615 465 7000,https://www.chs.net,Medical Care Facilities,Healthcare,"Community Health Systems, Inc. owns, leases, and operates general acute care hospitals in the United States. It offers general acute care, emergency room, general and specialty surgery, critical care, internal medicine, obstetrics, diagnostic, psychiatric, and rehabilitation services, as well as skilled nursing and home care services. The company also provides outpatient services at primary care practices, urgent care centers, free-standing emergency departments, ambulatory surgery centers, imaging and diagnostic centers, and direct-to-consumer virtual health visits. As of December 31, 2021, it owned or leased 80 affiliated hospitals with an aggregate of 12,832 licensed beds. The company was founded in 1985 and is headquartered in Franklin, Tennessee.",51000,"{'maxAge': 1, 'name': 'Ms. Tomi J. Galin', 'title': 'Exec. VP of Corp. Communications, Marketing & Public Affairs', 'exercisedValue': 0, 'unexercisedValue': 0}",2,5,5,1,2,1693526400,1672444800,86400,4,3.16,3.18,3.05,3.2,3.16,3.18,3.05,3.2,1355356800,0.0,1.756569,1.4311925,10.064516,2297470,2297470,1296987,1276400,1276400,3.05,3.19,2900,1800,426797280,1.88,8.01,0.034446917,3.8324,4.3993,0.0,0.0,USD,13430777856,0.022920001,106044335,136794000,8396927,6691696,1690761600,1693440000,0.0614,0.07115,0.79560995,5.62,0.0813,-11.392,1672444800,1703980800,1688083200,284000000,2.18,0.31,0.75,121:100,1461283200,1.084,10.796,NYQ,EQUITY,CYH,CYH,"Community Health Systems, Inc.","Community Health Systems, Inc.",960557400,America/New_York,EDT,-14400000,3.12,13.75,4.0,6.64,6.25,2.4,buy,10,118000000,0.903,1244000000,12472000512,1.101,1.538,12389999616,95.553,0.0337,4906000000,-272750016,237000000,0.062,0.40161,0.1004,0.06465,USD,
9,4000 Meridian Boulevard,Franklin,TN,37067,United States,615 465 7000,https://www.chs.net,Medical Care Facilities,Healthcare,"Community Health Systems, Inc. owns, leases, and operates general acute care hospitals in the United States. It offers general acute care, emergency room, general and specialty surgery, critical care, internal medicine, obstetrics, diagnostic, psychiatric, and rehabilitation services, as well as skilled nursing and home care services. The company also provides outpatient services at primary care practices, urgent care centers, free-standing emergency departments, ambulatory surgery centers, imaging and diagnostic centers, and direct-to-consumer virtual health visits. As of December 31, 2021, it owned or leased 80 affiliated hospitals with an aggregate of 12,832 licensed beds. The company was founded in 1985 and is headquartered in Franklin, Tennessee.",51000,"{'maxAge': 1, 'name': 'Mr. James Matthew Hayes', 'age': 51, 'title': 'Exec. VP & Chief HR Officer', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",2,5,5,1,2,1693526400,1672444800,86400,4,3.16,3.18,3.05,3.2,3.16,3.18,3.05,3.2,1355356800,0.0,1.756569,1.4311925,10.064516,2297470,2297470,1296987,1276400,1276400,3.05,3.19,2900,1800,426797280,1.88,8.01,0.034446917,3.8324,4.3993,0.0,0.0,USD,13430777856,0.022920001,106044335,136794000,8396927,6691696,1690761600,1693440000,0.0614,0.07115,0.79560995,5.62,0.0813,-11.392,1672444800,1703980800,1688083200,284000000,2.18,0.31,0.75,121:100,1461283200,1.084,10.796,NYQ,EQUITY,CYH,CYH,"Community Health Systems, Inc.","Community Health Systems, Inc.",960557400,America/New_York,EDT,-14400000,3.12,13.75,4.0,6.64,6.25,2.4,buy,10,118000000,0.903,1244000000,12472000512,1.101,1.538,12389999616,95.553,0.0337,4906000000,-272750016,237000000,0.062,0.40161,0.1004,0.06465,USD,
