,address1,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,60 rue de Wattignies,Paris,75012,France,33 1 40 26 04 70,33 1 40 26 04 44,https://www.nanobiotix.com,Biotechnology,Healthcare,"Nanobiotix S.A., a clinical-stage biotechnology, focuses on developing product candidates for the treatment of cancer and other unmet medical needs. Its lead product candidate is NBTXR3, a sterile aqueous suspension of crystalline hafnium oxide nanoparticles used for the treatment of soft tissue sarcoma, head and neck cancers, liver cancers, prostate cancer, pancreatic cancer, esophageal cancer, rectal cancer, and non-small cell lung cancer. Nanobiotix S.A. has a partnership with Lian Oncology Limited to develop and commercialize NBTXR3 in Greater China, South Korea, Singapore, and Thailand. Nanobiotix S.A. was incorporated in 2003 and is headquartered in Paris, France.",102,"{'maxAge': 1, 'name': 'Mr. Laurent  Levy Ph.D.', 'age': 49, 'title': 'Co-Founder, Pres of the Exec. Board & CEO', 'yearBorn': 1973, 'fiscalYear': 2022, 'totalPay': 635145, 'exercisedValue': 0, 'unexercisedValue': 0}",9,7,10,7,9,1693526400,1672444800,86400,2,9.26,9.29,8.83,9.35,9.26,9.29,8.83,9.35,0.0,1.28003,-15.839286,102825,102825,390491,178369,178369,312138848,1.612,10.4,65.355705,7.8654,4.8217,0.0,0.0,EUR,320932800,0.0,30549315,34875900,0.037839998,0.25379,-0.776,1672444800,1703980800,1672444800,-57041000,-1.62,-0.56,67.197,-7.108,PAR,EQUITY,NANO.PA,NANO.PA,NANOBIOTIX,Nanobiotix S.A.,1351497600,Europe/Paris,CEST,7200000,8.87,15.0,6.1,11.0,11.5,1.2,strong_buy,4,41388000,1.187,-45151000,53168000,1.233,1.38,4776000,0.137,-0.35376,4776000,-24736250,-37104000,1.596,1.0,0.0,-9.57224,EUR,
1,60 rue de Wattignies,Paris,75012,France,33 1 40 26 04 70,33 1 40 26 04 44,https://www.nanobiotix.com,Biotechnology,Healthcare,"Nanobiotix S.A., a clinical-stage biotechnology, focuses on developing product candidates for the treatment of cancer and other unmet medical needs. Its lead product candidate is NBTXR3, a sterile aqueous suspension of crystalline hafnium oxide nanoparticles used for the treatment of soft tissue sarcoma, head and neck cancers, liver cancers, prostate cancer, pancreatic cancer, esophageal cancer, rectal cancer, and non-small cell lung cancer. Nanobiotix S.A. has a partnership with Lian Oncology Limited to develop and commercialize NBTXR3 in Greater China, South Korea, Singapore, and Thailand. Nanobiotix S.A. was incorporated in 2003 and is headquartered in Paris, France.",102,"{'maxAge': 1, 'name': 'Mr. Bart  Van Rhijn', 'age': 49, 'title': 'CFO & Member of Exec. Board', 'yearBorn': 1973, 'fiscalYear': 2022, 'totalPay': 563444, 'exercisedValue': 0, 'unexercisedValue': 0}",9,7,10,7,9,1693526400,1672444800,86400,2,9.26,9.29,8.83,9.35,9.26,9.29,8.83,9.35,0.0,1.28003,-15.839286,102825,102825,390491,178369,178369,312138848,1.612,10.4,65.355705,7.8654,4.8217,0.0,0.0,EUR,320932800,0.0,30549315,34875900,0.037839998,0.25379,-0.776,1672444800,1703980800,1672444800,-57041000,-1.62,-0.56,67.197,-7.108,PAR,EQUITY,NANO.PA,NANO.PA,NANOBIOTIX,Nanobiotix S.A.,1351497600,Europe/Paris,CEST,7200000,8.87,15.0,6.1,11.0,11.5,1.2,strong_buy,4,41388000,1.187,-45151000,53168000,1.233,1.38,4776000,0.137,-0.35376,4776000,-24736250,-37104000,1.596,1.0,0.0,-9.57224,EUR,
2,60 rue de Wattignies,Paris,75012,France,33 1 40 26 04 70,33 1 40 26 04 44,https://www.nanobiotix.com,Biotechnology,Healthcare,"Nanobiotix S.A., a clinical-stage biotechnology, focuses on developing product candidates for the treatment of cancer and other unmet medical needs. Its lead product candidate is NBTXR3, a sterile aqueous suspension of crystalline hafnium oxide nanoparticles used for the treatment of soft tissue sarcoma, head and neck cancers, liver cancers, prostate cancer, pancreatic cancer, esophageal cancer, rectal cancer, and non-small cell lung cancer. Nanobiotix S.A. has a partnership with Lian Oncology Limited to develop and commercialize NBTXR3 in Greater China, South Korea, Singapore, and Thailand. Nanobiotix S.A. was incorporated in 2003 and is headquartered in Paris, France.",102,"{'maxAge': 1, 'name': 'Ms. Anne-Juliette  Hermant M.A.', 'age': 48, 'title': 'Chief People Officer & Member of Exec. Board', 'yearBorn': 1974, 'fiscalYear': 2022, 'totalPay': 309750, 'exercisedValue': 0, 'unexercisedValue': 0}",9,7,10,7,9,1693526400,1672444800,86400,2,9.26,9.29,8.83,9.35,9.26,9.29,8.83,9.35,0.0,1.28003,-15.839286,102825,102825,390491,178369,178369,312138848,1.612,10.4,65.355705,7.8654,4.8217,0.0,0.0,EUR,320932800,0.0,30549315,34875900,0.037839998,0.25379,-0.776,1672444800,1703980800,1672444800,-57041000,-1.62,-0.56,67.197,-7.108,PAR,EQUITY,NANO.PA,NANO.PA,NANOBIOTIX,Nanobiotix S.A.,1351497600,Europe/Paris,CEST,7200000,8.87,15.0,6.1,11.0,11.5,1.2,strong_buy,4,41388000,1.187,-45151000,53168000,1.233,1.38,4776000,0.137,-0.35376,4776000,-24736250,-37104000,1.596,1.0,0.0,-9.57224,EUR,
3,60 rue de Wattignies,Paris,75012,France,33 1 40 26 04 70,33 1 40 26 04 44,https://www.nanobiotix.com,Biotechnology,Healthcare,"Nanobiotix S.A., a clinical-stage biotechnology, focuses on developing product candidates for the treatment of cancer and other unmet medical needs. Its lead product candidate is NBTXR3, a sterile aqueous suspension of crystalline hafnium oxide nanoparticles used for the treatment of soft tissue sarcoma, head and neck cancers, liver cancers, prostate cancer, pancreatic cancer, esophageal cancer, rectal cancer, and non-small cell lung cancer. Nanobiotix S.A. has a partnership with Lian Oncology Limited to develop and commercialize NBTXR3 in Greater China, South Korea, Singapore, and Thailand. Nanobiotix S.A. was incorporated in 2003 and is headquartered in Paris, France.",102,"{'maxAge': 1, 'name': 'Mr. Earl J. Bergey Ph.d.', 'age': 67, 'title': 'Co-Founder', 'yearBorn': 1955, 'exercisedValue': 0, 'unexercisedValue': 0}",9,7,10,7,9,1693526400,1672444800,86400,2,9.26,9.29,8.83,9.35,9.26,9.29,8.83,9.35,0.0,1.28003,-15.839286,102825,102825,390491,178369,178369,312138848,1.612,10.4,65.355705,7.8654,4.8217,0.0,0.0,EUR,320932800,0.0,30549315,34875900,0.037839998,0.25379,-0.776,1672444800,1703980800,1672444800,-57041000,-1.62,-0.56,67.197,-7.108,PAR,EQUITY,NANO.PA,NANO.PA,NANOBIOTIX,Nanobiotix S.A.,1351497600,Europe/Paris,CEST,7200000,8.87,15.0,6.1,11.0,11.5,1.2,strong_buy,4,41388000,1.187,-45151000,53168000,1.233,1.38,4776000,0.137,-0.35376,4776000,-24736250,-37104000,1.596,1.0,0.0,-9.57224,EUR,
4,60 rue de Wattignies,Paris,75012,France,33 1 40 26 04 70,33 1 40 26 04 44,https://www.nanobiotix.com,Biotechnology,Healthcare,"Nanobiotix S.A., a clinical-stage biotechnology, focuses on developing product candidates for the treatment of cancer and other unmet medical needs. Its lead product candidate is NBTXR3, a sterile aqueous suspension of crystalline hafnium oxide nanoparticles used for the treatment of soft tissue sarcoma, head and neck cancers, liver cancers, prostate cancer, pancreatic cancer, esophageal cancer, rectal cancer, and non-small cell lung cancer. Nanobiotix S.A. has a partnership with Lian Oncology Limited to develop and commercialize NBTXR3 in Greater China, South Korea, Singapore, and Thailand. Nanobiotix S.A. was incorporated in 2003 and is headquartered in Paris, France.",102,"{'maxAge': 1, 'name': 'Mr. Alain  Dostie', 'title': 'Chief Operating Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",9,7,10,7,9,1693526400,1672444800,86400,2,9.26,9.29,8.83,9.35,9.26,9.29,8.83,9.35,0.0,1.28003,-15.839286,102825,102825,390491,178369,178369,312138848,1.612,10.4,65.355705,7.8654,4.8217,0.0,0.0,EUR,320932800,0.0,30549315,34875900,0.037839998,0.25379,-0.776,1672444800,1703980800,1672444800,-57041000,-1.62,-0.56,67.197,-7.108,PAR,EQUITY,NANO.PA,NANO.PA,NANOBIOTIX,Nanobiotix S.A.,1351497600,Europe/Paris,CEST,7200000,8.87,15.0,6.1,11.0,11.5,1.2,strong_buy,4,41388000,1.187,-45151000,53168000,1.233,1.38,4776000,0.137,-0.35376,4776000,-24736250,-37104000,1.596,1.0,0.0,-9.57224,EUR,
5,60 rue de Wattignies,Paris,75012,France,33 1 40 26 04 70,33 1 40 26 04 44,https://www.nanobiotix.com,Biotechnology,Healthcare,"Nanobiotix S.A., a clinical-stage biotechnology, focuses on developing product candidates for the treatment of cancer and other unmet medical needs. Its lead product candidate is NBTXR3, a sterile aqueous suspension of crystalline hafnium oxide nanoparticles used for the treatment of soft tissue sarcoma, head and neck cancers, liver cancers, prostate cancer, pancreatic cancer, esophageal cancer, rectal cancer, and non-small cell lung cancer. Nanobiotix S.A. has a partnership with Lian Oncology Limited to develop and commercialize NBTXR3 in Greater China, South Korea, Singapore, and Thailand. Nanobiotix S.A. was incorporated in 2003 and is headquartered in Paris, France.",102,"{'maxAge': 1, 'name': 'Ms. Kathryn M. McNeil', 'age': 47, 'title': 'Sr. VP of Investor Relations', 'yearBorn': 1975, 'exercisedValue': 0, 'unexercisedValue': 0}",9,7,10,7,9,1693526400,1672444800,86400,2,9.26,9.29,8.83,9.35,9.26,9.29,8.83,9.35,0.0,1.28003,-15.839286,102825,102825,390491,178369,178369,312138848,1.612,10.4,65.355705,7.8654,4.8217,0.0,0.0,EUR,320932800,0.0,30549315,34875900,0.037839998,0.25379,-0.776,1672444800,1703980800,1672444800,-57041000,-1.62,-0.56,67.197,-7.108,PAR,EQUITY,NANO.PA,NANO.PA,NANOBIOTIX,Nanobiotix S.A.,1351497600,Europe/Paris,CEST,7200000,8.87,15.0,6.1,11.0,11.5,1.2,strong_buy,4,41388000,1.187,-45151000,53168000,1.233,1.38,4776000,0.137,-0.35376,4776000,-24736250,-37104000,1.596,1.0,0.0,-9.57224,EUR,
6,60 rue de Wattignies,Paris,75012,France,33 1 40 26 04 70,33 1 40 26 04 44,https://www.nanobiotix.com,Biotechnology,Healthcare,"Nanobiotix S.A., a clinical-stage biotechnology, focuses on developing product candidates for the treatment of cancer and other unmet medical needs. Its lead product candidate is NBTXR3, a sterile aqueous suspension of crystalline hafnium oxide nanoparticles used for the treatment of soft tissue sarcoma, head and neck cancers, liver cancers, prostate cancer, pancreatic cancer, esophageal cancer, rectal cancer, and non-small cell lung cancer. Nanobiotix S.A. has a partnership with Lian Oncology Limited to develop and commercialize NBTXR3 in Greater China, South Korea, Singapore, and Thailand. Nanobiotix S.A. was incorporated in 2003 and is headquartered in Paris, France.",102,"{'maxAge': 1, 'name': 'Mr. Brandon  Owens', 'title': 'VP of Strategic Marketing & Corp. Communication', 'exercisedValue': 0, 'unexercisedValue': 0}",9,7,10,7,9,1693526400,1672444800,86400,2,9.26,9.29,8.83,9.35,9.26,9.29,8.83,9.35,0.0,1.28003,-15.839286,102825,102825,390491,178369,178369,312138848,1.612,10.4,65.355705,7.8654,4.8217,0.0,0.0,EUR,320932800,0.0,30549315,34875900,0.037839998,0.25379,-0.776,1672444800,1703980800,1672444800,-57041000,-1.62,-0.56,67.197,-7.108,PAR,EQUITY,NANO.PA,NANO.PA,NANOBIOTIX,Nanobiotix S.A.,1351497600,Europe/Paris,CEST,7200000,8.87,15.0,6.1,11.0,11.5,1.2,strong_buy,4,41388000,1.187,-45151000,53168000,1.233,1.38,4776000,0.137,-0.35376,4776000,-24736250,-37104000,1.596,1.0,0.0,-9.57224,EUR,
7,60 rue de Wattignies,Paris,75012,France,33 1 40 26 04 70,33 1 40 26 04 44,https://www.nanobiotix.com,Biotechnology,Healthcare,"Nanobiotix S.A., a clinical-stage biotechnology, focuses on developing product candidates for the treatment of cancer and other unmet medical needs. Its lead product candidate is NBTXR3, a sterile aqueous suspension of crystalline hafnium oxide nanoparticles used for the treatment of soft tissue sarcoma, head and neck cancers, liver cancers, prostate cancer, pancreatic cancer, esophageal cancer, rectal cancer, and non-small cell lung cancer. Nanobiotix S.A. has a partnership with Lian Oncology Limited to develop and commercialize NBTXR3 in Greater China, South Korea, Singapore, and Thailand. Nanobiotix S.A. was incorporated in 2003 and is headquartered in Paris, France.",102,"{'maxAge': 1, 'name': 'Mr. Patrick  Tricoli M.B.A., Pharm.D.', 'title': 'Global Head of Bus. Devel.', 'exercisedValue': 0, 'unexercisedValue': 0}",9,7,10,7,9,1693526400,1672444800,86400,2,9.26,9.29,8.83,9.35,9.26,9.29,8.83,9.35,0.0,1.28003,-15.839286,102825,102825,390491,178369,178369,312138848,1.612,10.4,65.355705,7.8654,4.8217,0.0,0.0,EUR,320932800,0.0,30549315,34875900,0.037839998,0.25379,-0.776,1672444800,1703980800,1672444800,-57041000,-1.62,-0.56,67.197,-7.108,PAR,EQUITY,NANO.PA,NANO.PA,NANOBIOTIX,Nanobiotix S.A.,1351497600,Europe/Paris,CEST,7200000,8.87,15.0,6.1,11.0,11.5,1.2,strong_buy,4,41388000,1.187,-45151000,53168000,1.233,1.38,4776000,0.137,-0.35376,4776000,-24736250,-37104000,1.596,1.0,0.0,-9.57224,EUR,
8,60 rue de Wattignies,Paris,75012,France,33 1 40 26 04 70,33 1 40 26 04 44,https://www.nanobiotix.com,Biotechnology,Healthcare,"Nanobiotix S.A., a clinical-stage biotechnology, focuses on developing product candidates for the treatment of cancer and other unmet medical needs. Its lead product candidate is NBTXR3, a sterile aqueous suspension of crystalline hafnium oxide nanoparticles used for the treatment of soft tissue sarcoma, head and neck cancers, liver cancers, prostate cancer, pancreatic cancer, esophageal cancer, rectal cancer, and non-small cell lung cancer. Nanobiotix S.A. has a partnership with Lian Oncology Limited to develop and commercialize NBTXR3 in Greater China, South Korea, Singapore, and Thailand. Nanobiotix S.A. was incorporated in 2003 and is headquartered in Paris, France.",102,"{'maxAge': 1, 'name': 'Ms. Margaret  Galluzzi', 'title': 'VP & Global Head of Clinical Operations', 'exercisedValue': 0, 'unexercisedValue': 0}",9,7,10,7,9,1693526400,1672444800,86400,2,9.26,9.29,8.83,9.35,9.26,9.29,8.83,9.35,0.0,1.28003,-15.839286,102825,102825,390491,178369,178369,312138848,1.612,10.4,65.355705,7.8654,4.8217,0.0,0.0,EUR,320932800,0.0,30549315,34875900,0.037839998,0.25379,-0.776,1672444800,1703980800,1672444800,-57041000,-1.62,-0.56,67.197,-7.108,PAR,EQUITY,NANO.PA,NANO.PA,NANOBIOTIX,Nanobiotix S.A.,1351497600,Europe/Paris,CEST,7200000,8.87,15.0,6.1,11.0,11.5,1.2,strong_buy,4,41388000,1.187,-45151000,53168000,1.233,1.38,4776000,0.137,-0.35376,4776000,-24736250,-37104000,1.596,1.0,0.0,-9.57224,EUR,
9,60 rue de Wattignies,Paris,75012,France,33 1 40 26 04 70,33 1 40 26 04 44,https://www.nanobiotix.com,Biotechnology,Healthcare,"Nanobiotix S.A., a clinical-stage biotechnology, focuses on developing product candidates for the treatment of cancer and other unmet medical needs. Its lead product candidate is NBTXR3, a sterile aqueous suspension of crystalline hafnium oxide nanoparticles used for the treatment of soft tissue sarcoma, head and neck cancers, liver cancers, prostate cancer, pancreatic cancer, esophageal cancer, rectal cancer, and non-small cell lung cancer. Nanobiotix S.A. has a partnership with Lian Oncology Limited to develop and commercialize NBTXR3 in Greater China, South Korea, Singapore, and Thailand. Nanobiotix S.A. was incorporated in 2003 and is headquartered in Paris, France.",102,"{'maxAge': 1, 'name': 'Mr. Ventzislav  Vassilev M.D.', 'title': 'VP & Global Head of Safety Vigilance', 'exercisedValue': 0, 'unexercisedValue': 0}",9,7,10,7,9,1693526400,1672444800,86400,2,9.26,9.29,8.83,9.35,9.26,9.29,8.83,9.35,0.0,1.28003,-15.839286,102825,102825,390491,178369,178369,312138848,1.612,10.4,65.355705,7.8654,4.8217,0.0,0.0,EUR,320932800,0.0,30549315,34875900,0.037839998,0.25379,-0.776,1672444800,1703980800,1672444800,-57041000,-1.62,-0.56,67.197,-7.108,PAR,EQUITY,NANO.PA,NANO.PA,NANOBIOTIX,Nanobiotix S.A.,1351497600,Europe/Paris,CEST,7200000,8.87,15.0,6.1,11.0,11.5,1.2,strong_buy,4,41388000,1.187,-45151000,53168000,1.233,1.38,4776000,0.137,-0.35376,4776000,-24736250,-37104000,1.596,1.0,0.0,-9.57224,EUR,
