,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,4600 South Syracuse Street,Suite 500,Denver,CO,80237,United States,(720) 428-5050,(949) 407-0800,https://www.healthpeak.com,REIT—Healthcare Facilities,Real Estate,"Healthpeak Properties, Inc. is a fully integrated real estate investment trust (REIT) and S&P 500 company. Healthpeak owns, operates and develops high-quality real estate for healthcare discovery and delivery.",199,"{'maxAge': 1, 'name': 'Mr. Scott M. Brinker', 'age': 45, 'title': 'Pres, CEO & Director', 'yearBorn': 1977, 'fiscalYear': 2022, 'totalPay': 2422685, 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,1,8,1,1693526400,1672444800,86400,2,19.0,19.0,18.9,19.0,19.0,19.0,18.9,19.0,1.1,0.0581,1691107200,1.2245,4.71,0.8852,20.87912,45.2381,535,535,10,53,53,19.0,19.1,10394025984,17.5,25.8,4.9121523,18.96,20.841,1.2,0.06315789,EUR,17620531200,0.25111,545232597,547054016,0.00298,0.96149004,11.946,1.5904906,1672444800,1703980800,1688083200,-0.241,529972992,0.91,0.42,26.27,8.327,16.588,FRA,EQUITY,HC5.F,HC5.F,HEALTHPEAK PROP.INC. DL 1,"Healthpeak Properties, Inc.",1189749600,Europe/Berlin,CEST,7200000,19.0,41.0,32.0,37.59,38.0,2.3,buy,17,137230000,0.251,1062272000,6773140992,0.531,1.309,2115981952,95.053,3.9,0.01434,0.07952,1194700000,1088404352,922329984,-0.283,0.053,0.57879,0.50202,0.16766001,USD,
1,4600 South Syracuse Street,Suite 500,Denver,CO,80237,United States,(720) 428-5050,(949) 407-0800,https://www.healthpeak.com,REIT—Healthcare Facilities,Real Estate,"Healthpeak Properties, Inc. is a fully integrated real estate investment trust (REIT) and S&P 500 company. Healthpeak owns, operates and develops high-quality real estate for healthcare discovery and delivery.",199,"{'maxAge': 1, 'name': 'Mr. Peter A. Scott', 'age': 42, 'title': 'Chief Financial Officer', 'yearBorn': 1980, 'fiscalYear': 2022, 'totalPay': 2106100, 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,1,8,1,1693526400,1672444800,86400,2,19.0,19.0,18.9,19.0,19.0,19.0,18.9,19.0,1.1,0.0581,1691107200,1.2245,4.71,0.8852,20.87912,45.2381,535,535,10,53,53,19.0,19.1,10394025984,17.5,25.8,4.9121523,18.96,20.841,1.2,0.06315789,EUR,17620531200,0.25111,545232597,547054016,0.00298,0.96149004,11.946,1.5904906,1672444800,1703980800,1688083200,-0.241,529972992,0.91,0.42,26.27,8.327,16.588,FRA,EQUITY,HC5.F,HC5.F,HEALTHPEAK PROP.INC. DL 1,"Healthpeak Properties, Inc.",1189749600,Europe/Berlin,CEST,7200000,19.0,41.0,32.0,37.59,38.0,2.3,buy,17,137230000,0.251,1062272000,6773140992,0.531,1.309,2115981952,95.053,3.9,0.01434,0.07952,1194700000,1088404352,922329984,-0.283,0.053,0.57879,0.50202,0.16766001,USD,
2,4600 South Syracuse Street,Suite 500,Denver,CO,80237,United States,(720) 428-5050,(949) 407-0800,https://www.healthpeak.com,REIT—Healthcare Facilities,Real Estate,"Healthpeak Properties, Inc. is a fully integrated real estate investment trust (REIT) and S&P 500 company. Healthpeak owns, operates and develops high-quality real estate for healthcare discovery and delivery.",199,"{'maxAge': 1, 'name': 'Mr. Thomas M. Klaritch', 'age': 64, 'title': 'Chief Operating Officer', 'yearBorn': 1958, 'fiscalYear': 2022, 'totalPay': 1911710, 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,1,8,1,1693526400,1672444800,86400,2,19.0,19.0,18.9,19.0,19.0,19.0,18.9,19.0,1.1,0.0581,1691107200,1.2245,4.71,0.8852,20.87912,45.2381,535,535,10,53,53,19.0,19.1,10394025984,17.5,25.8,4.9121523,18.96,20.841,1.2,0.06315789,EUR,17620531200,0.25111,545232597,547054016,0.00298,0.96149004,11.946,1.5904906,1672444800,1703980800,1688083200,-0.241,529972992,0.91,0.42,26.27,8.327,16.588,FRA,EQUITY,HC5.F,HC5.F,HEALTHPEAK PROP.INC. DL 1,"Healthpeak Properties, Inc.",1189749600,Europe/Berlin,CEST,7200000,19.0,41.0,32.0,37.59,38.0,2.3,buy,17,137230000,0.251,1062272000,6773140992,0.531,1.309,2115981952,95.053,3.9,0.01434,0.07952,1194700000,1088404352,922329984,-0.283,0.053,0.57879,0.50202,0.16766001,USD,
3,4600 South Syracuse Street,Suite 500,Denver,CO,80237,United States,(720) 428-5050,(949) 407-0800,https://www.healthpeak.com,REIT—Healthcare Facilities,Real Estate,"Healthpeak Properties, Inc. is a fully integrated real estate investment trust (REIT) and S&P 500 company. Healthpeak owns, operates and develops high-quality real estate for healthcare discovery and delivery.",199,"{'maxAge': 1, 'name': 'Mr. Adam G. Mabry', 'age': 37, 'title': 'Chief Investment Officer', 'yearBorn': 1985, 'fiscalYear': 2022, 'totalPay': 1015588, 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,1,8,1,1693526400,1672444800,86400,2,19.0,19.0,18.9,19.0,19.0,19.0,18.9,19.0,1.1,0.0581,1691107200,1.2245,4.71,0.8852,20.87912,45.2381,535,535,10,53,53,19.0,19.1,10394025984,17.5,25.8,4.9121523,18.96,20.841,1.2,0.06315789,EUR,17620531200,0.25111,545232597,547054016,0.00298,0.96149004,11.946,1.5904906,1672444800,1703980800,1688083200,-0.241,529972992,0.91,0.42,26.27,8.327,16.588,FRA,EQUITY,HC5.F,HC5.F,HEALTHPEAK PROP.INC. DL 1,"Healthpeak Properties, Inc.",1189749600,Europe/Berlin,CEST,7200000,19.0,41.0,32.0,37.59,38.0,2.3,buy,17,137230000,0.251,1062272000,6773140992,0.531,1.309,2115981952,95.053,3.9,0.01434,0.07952,1194700000,1088404352,922329984,-0.283,0.053,0.57879,0.50202,0.16766001,USD,
4,4600 South Syracuse Street,Suite 500,Denver,CO,80237,United States,(720) 428-5050,(949) 407-0800,https://www.healthpeak.com,REIT—Healthcare Facilities,Real Estate,"Healthpeak Properties, Inc. is a fully integrated real estate investment trust (REIT) and S&P 500 company. Healthpeak owns, operates and develops high-quality real estate for healthcare discovery and delivery.",199,"{'maxAge': 1, 'name': 'Mr. Scott R. Bohn', 'age': 43, 'title': 'Chief Devel. Officer & Co-Head of Lab', 'yearBorn': 1979, 'fiscalYear': 2022, 'totalPay': 1113556, 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,1,8,1,1693526400,1672444800,86400,2,19.0,19.0,18.9,19.0,19.0,19.0,18.9,19.0,1.1,0.0581,1691107200,1.2245,4.71,0.8852,20.87912,45.2381,535,535,10,53,53,19.0,19.1,10394025984,17.5,25.8,4.9121523,18.96,20.841,1.2,0.06315789,EUR,17620531200,0.25111,545232597,547054016,0.00298,0.96149004,11.946,1.5904906,1672444800,1703980800,1688083200,-0.241,529972992,0.91,0.42,26.27,8.327,16.588,FRA,EQUITY,HC5.F,HC5.F,HEALTHPEAK PROP.INC. DL 1,"Healthpeak Properties, Inc.",1189749600,Europe/Berlin,CEST,7200000,19.0,41.0,32.0,37.59,38.0,2.3,buy,17,137230000,0.251,1062272000,6773140992,0.531,1.309,2115981952,95.053,3.9,0.01434,0.07952,1194700000,1088404352,922329984,-0.283,0.053,0.57879,0.50202,0.16766001,USD,
5,4600 South Syracuse Street,Suite 500,Denver,CO,80237,United States,(720) 428-5050,(949) 407-0800,https://www.healthpeak.com,REIT—Healthcare Facilities,Real Estate,"Healthpeak Properties, Inc. is a fully integrated real estate investment trust (REIT) and S&P 500 company. Healthpeak owns, operates and develops high-quality real estate for healthcare discovery and delivery.",199,"{'maxAge': 1, 'name': 'Mr. Shawn G. Johnston', 'age': 42, 'title': 'Exec. VP & Chief Accounting Officer', 'yearBorn': 1980, 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,1,8,1,1693526400,1672444800,86400,2,19.0,19.0,18.9,19.0,19.0,19.0,18.9,19.0,1.1,0.0581,1691107200,1.2245,4.71,0.8852,20.87912,45.2381,535,535,10,53,53,19.0,19.1,10394025984,17.5,25.8,4.9121523,18.96,20.841,1.2,0.06315789,EUR,17620531200,0.25111,545232597,547054016,0.00298,0.96149004,11.946,1.5904906,1672444800,1703980800,1688083200,-0.241,529972992,0.91,0.42,26.27,8.327,16.588,FRA,EQUITY,HC5.F,HC5.F,HEALTHPEAK PROP.INC. DL 1,"Healthpeak Properties, Inc.",1189749600,Europe/Berlin,CEST,7200000,19.0,41.0,32.0,37.59,38.0,2.3,buy,17,137230000,0.251,1062272000,6773140992,0.531,1.309,2115981952,95.053,3.9,0.01434,0.07952,1194700000,1088404352,922329984,-0.283,0.053,0.57879,0.50202,0.16766001,USD,
6,4600 South Syracuse Street,Suite 500,Denver,CO,80237,United States,(720) 428-5050,(949) 407-0800,https://www.healthpeak.com,REIT—Healthcare Facilities,Real Estate,"Healthpeak Properties, Inc. is a fully integrated real estate investment trust (REIT) and S&P 500 company. Healthpeak owns, operates and develops high-quality real estate for healthcare discovery and delivery.",199,"{'maxAge': 1, 'name': 'Mr. Ankit B. Patadia', 'age': 44, 'title': 'Exec. VP & Treasurer of Corp. Fin.', 'yearBorn': 1978, 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,1,8,1,1693526400,1672444800,86400,2,19.0,19.0,18.9,19.0,19.0,19.0,18.9,19.0,1.1,0.0581,1691107200,1.2245,4.71,0.8852,20.87912,45.2381,535,535,10,53,53,19.0,19.1,10394025984,17.5,25.8,4.9121523,18.96,20.841,1.2,0.06315789,EUR,17620531200,0.25111,545232597,547054016,0.00298,0.96149004,11.946,1.5904906,1672444800,1703980800,1688083200,-0.241,529972992,0.91,0.42,26.27,8.327,16.588,FRA,EQUITY,HC5.F,HC5.F,HEALTHPEAK PROP.INC. DL 1,"Healthpeak Properties, Inc.",1189749600,Europe/Berlin,CEST,7200000,19.0,41.0,32.0,37.59,38.0,2.3,buy,17,137230000,0.251,1062272000,6773140992,0.531,1.309,2115981952,95.053,3.9,0.01434,0.07952,1194700000,1088404352,922329984,-0.283,0.053,0.57879,0.50202,0.16766001,USD,
7,4600 South Syracuse Street,Suite 500,Denver,CO,80237,United States,(720) 428-5050,(949) 407-0800,https://www.healthpeak.com,REIT—Healthcare Facilities,Real Estate,"Healthpeak Properties, Inc. is a fully integrated real estate investment trust (REIT) and S&P 500 company. Healthpeak owns, operates and develops high-quality real estate for healthcare discovery and delivery.",199,"{'maxAge': 1, 'name': 'Mr. Andrew  Johns CFA', 'title': 'Sr. VP of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,1,8,1,1693526400,1672444800,86400,2,19.0,19.0,18.9,19.0,19.0,19.0,18.9,19.0,1.1,0.0581,1691107200,1.2245,4.71,0.8852,20.87912,45.2381,535,535,10,53,53,19.0,19.1,10394025984,17.5,25.8,4.9121523,18.96,20.841,1.2,0.06315789,EUR,17620531200,0.25111,545232597,547054016,0.00298,0.96149004,11.946,1.5904906,1672444800,1703980800,1688083200,-0.241,529972992,0.91,0.42,26.27,8.327,16.588,FRA,EQUITY,HC5.F,HC5.F,HEALTHPEAK PROP.INC. DL 1,"Healthpeak Properties, Inc.",1189749600,Europe/Berlin,CEST,7200000,19.0,41.0,32.0,37.59,38.0,2.3,buy,17,137230000,0.251,1062272000,6773140992,0.531,1.309,2115981952,95.053,3.9,0.01434,0.07952,1194700000,1088404352,922329984,-0.283,0.053,0.57879,0.50202,0.16766001,USD,
8,4600 South Syracuse Street,Suite 500,Denver,CO,80237,United States,(720) 428-5050,(949) 407-0800,https://www.healthpeak.com,REIT—Healthcare Facilities,Real Estate,"Healthpeak Properties, Inc. is a fully integrated real estate investment trust (REIT) and S&P 500 company. Healthpeak owns, operates and develops high-quality real estate for healthcare discovery and delivery.",199,"{'maxAge': 1, 'name': 'Mr. Jeffrey H. Miller', 'age': 62, 'title': 'Gen. Counsel', 'yearBorn': 1960, 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,1,8,1,1693526400,1672444800,86400,2,19.0,19.0,18.9,19.0,19.0,19.0,18.9,19.0,1.1,0.0581,1691107200,1.2245,4.71,0.8852,20.87912,45.2381,535,535,10,53,53,19.0,19.1,10394025984,17.5,25.8,4.9121523,18.96,20.841,1.2,0.06315789,EUR,17620531200,0.25111,545232597,547054016,0.00298,0.96149004,11.946,1.5904906,1672444800,1703980800,1688083200,-0.241,529972992,0.91,0.42,26.27,8.327,16.588,FRA,EQUITY,HC5.F,HC5.F,HEALTHPEAK PROP.INC. DL 1,"Healthpeak Properties, Inc.",1189749600,Europe/Berlin,CEST,7200000,19.0,41.0,32.0,37.59,38.0,2.3,buy,17,137230000,0.251,1062272000,6773140992,0.531,1.309,2115981952,95.053,3.9,0.01434,0.07952,1194700000,1088404352,922329984,-0.283,0.053,0.57879,0.50202,0.16766001,USD,
9,4600 South Syracuse Street,Suite 500,Denver,CO,80237,United States,(720) 428-5050,(949) 407-0800,https://www.healthpeak.com,REIT—Healthcare Facilities,Real Estate,"Healthpeak Properties, Inc. is a fully integrated real estate investment trust (REIT) and S&P 500 company. Healthpeak owns, operates and develops high-quality real estate for healthcare discovery and delivery.",199,"{'maxAge': 1, 'name': 'Ms. Lisa A. Alonso', 'age': 45, 'title': 'Exec. VP & Chief HR Officer', 'yearBorn': 1977, 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,1,8,1,1693526400,1672444800,86400,2,19.0,19.0,18.9,19.0,19.0,19.0,18.9,19.0,1.1,0.0581,1691107200,1.2245,4.71,0.8852,20.87912,45.2381,535,535,10,53,53,19.0,19.1,10394025984,17.5,25.8,4.9121523,18.96,20.841,1.2,0.06315789,EUR,17620531200,0.25111,545232597,547054016,0.00298,0.96149004,11.946,1.5904906,1672444800,1703980800,1688083200,-0.241,529972992,0.91,0.42,26.27,8.327,16.588,FRA,EQUITY,HC5.F,HC5.F,HEALTHPEAK PROP.INC. DL 1,"Healthpeak Properties, Inc.",1189749600,Europe/Berlin,CEST,7200000,19.0,41.0,32.0,37.59,38.0,2.3,buy,17,137230000,0.251,1062272000,6773140992,0.531,1.309,2115981952,95.053,3.9,0.01434,0.07952,1194700000,1088404352,922329984,-0.283,0.053,0.57879,0.50202,0.16766001,USD,
