,address1,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,177-181 Avenue Pierre Brossolette,Montrouge,92120,France,33 1 55 42 78 78,33 1 43 26 10 83,https://www.dbv-technologies.com,Biotechnology,Healthcare,"DBV Technologies S.A., a clinical-stage biopharmaceutical company, engages in the research and development of epicutaneous immunotherapy products. Its lead product candidate is Viaskin Peanut, an immunotherapy product, which has completed Phase III clinical trial for the treatment of peanut allergies. The company is also developing Viaskin Milk that is in Phase I/II clinical trial for the treatment of immunoglobulin E (IgE) mediated cow's milk protein allergy (CMPA) and eosinophilic esophagitis. Its other earlier stage research programs include a vaccine for the respiratory syncytial virus, as well as treatments for Crohn's disease, celiac disease, and type I diabetes. The company has a collaboration with Nestlé Health Science to develop MAG1C, a ready-to-use atopy patch test for the diagnosis of non-IgE mediated CMPA in infants and toddlers. DBV Technologies S.A. was incorporated in 2002 and is headquartered in Montrouge, France.",88,"{'maxAge': 1, 'name': 'Mr. Daniel  Tassé', 'age': 62, 'title': 'CEO & Director', 'yearBorn': 1960, 'fiscalYear': 2022, 'totalPay': 1213805, 'exercisedValue': 0, 'unexercisedValue': 0}",6,9,10,1,9,1693526400,1672444800,86400,4,2.91,2.91,2.852,2.96,2.91,2.91,2.852,2.96,0.0,1.169669,-3.5800002,64080,64080,78074,96842,96842,287150368,2.254,4.35,54.67448,3.01648,3.02788,0.0,0.0,EUR,103403216,0.0,33446025,96101000,0.06356,0.28369,1.709,1.6758338,1672444800,1703980800,1688083200,-101332000,-0.95,-0.8,0.14,19.688,-1.149,PAR,EQUITY,DBV.PA,DBV.PA,DBV TECHNOLOGIES,DBV Technologies S.A.,1333004400,Europe/Paris,CEST,7200000,2.864,9.0,2.5,6.0,5.8,1.8,buy,6,173960992,1.81,-89996000,2131000,5.725,5.859,5252000,1.297,0.056,-0.25441998,-0.49593,4844000,-52741752,-90327000,0.496,1.0,0.0,-19.47411,USD,
1,177-181 Avenue Pierre Brossolette,Montrouge,92120,France,33 1 55 42 78 78,33 1 43 26 10 83,https://www.dbv-technologies.com,Biotechnology,Healthcare,"DBV Technologies S.A., a clinical-stage biopharmaceutical company, engages in the research and development of epicutaneous immunotherapy products. Its lead product candidate is Viaskin Peanut, an immunotherapy product, which has completed Phase III clinical trial for the treatment of peanut allergies. The company is also developing Viaskin Milk that is in Phase I/II clinical trial for the treatment of immunoglobulin E (IgE) mediated cow's milk protein allergy (CMPA) and eosinophilic esophagitis. Its other earlier stage research programs include a vaccine for the respiratory syncytial virus, as well as treatments for Crohn's disease, celiac disease, and type I diabetes. The company has a collaboration with Nestlé Health Science to develop MAG1C, a ready-to-use atopy patch test for the diagnosis of non-IgE mediated CMPA in infants and toddlers. DBV Technologies S.A. was incorporated in 2002 and is headquartered in Montrouge, France.",88,"{'maxAge': 1, 'name': 'Mr. Sébastien  Robitaille', 'age': 52, 'title': 'Chief Financial Officer', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 335165, 'exercisedValue': 0, 'unexercisedValue': 0}",6,9,10,1,9,1693526400,1672444800,86400,4,2.91,2.91,2.852,2.96,2.91,2.91,2.852,2.96,0.0,1.169669,-3.5800002,64080,64080,78074,96842,96842,287150368,2.254,4.35,54.67448,3.01648,3.02788,0.0,0.0,EUR,103403216,0.0,33446025,96101000,0.06356,0.28369,1.709,1.6758338,1672444800,1703980800,1688083200,-101332000,-0.95,-0.8,0.14,19.688,-1.149,PAR,EQUITY,DBV.PA,DBV.PA,DBV TECHNOLOGIES,DBV Technologies S.A.,1333004400,Europe/Paris,CEST,7200000,2.864,9.0,2.5,6.0,5.8,1.8,buy,6,173960992,1.81,-89996000,2131000,5.725,5.859,5252000,1.297,0.056,-0.25441998,-0.49593,4844000,-52741752,-90327000,0.496,1.0,0.0,-19.47411,USD,
2,177-181 Avenue Pierre Brossolette,Montrouge,92120,France,33 1 55 42 78 78,33 1 43 26 10 83,https://www.dbv-technologies.com,Biotechnology,Healthcare,"DBV Technologies S.A., a clinical-stage biopharmaceutical company, engages in the research and development of epicutaneous immunotherapy products. Its lead product candidate is Viaskin Peanut, an immunotherapy product, which has completed Phase III clinical trial for the treatment of peanut allergies. The company is also developing Viaskin Milk that is in Phase I/II clinical trial for the treatment of immunoglobulin E (IgE) mediated cow's milk protein allergy (CMPA) and eosinophilic esophagitis. Its other earlier stage research programs include a vaccine for the respiratory syncytial virus, as well as treatments for Crohn's disease, celiac disease, and type I diabetes. The company has a collaboration with Nestlé Health Science to develop MAG1C, a ready-to-use atopy patch test for the diagnosis of non-IgE mediated CMPA in infants and toddlers. DBV Technologies S.A. was incorporated in 2002 and is headquartered in Montrouge, France.",88,"{'maxAge': 1, 'name': 'Dr. Pharis  Mohideen', 'age': 57, 'title': 'Chief Medical Officer', 'yearBorn': 1965, 'fiscalYear': 2022, 'totalPay': 725120, 'exercisedValue': 0, 'unexercisedValue': 0}",6,9,10,1,9,1693526400,1672444800,86400,4,2.91,2.91,2.852,2.96,2.91,2.91,2.852,2.96,0.0,1.169669,-3.5800002,64080,64080,78074,96842,96842,287150368,2.254,4.35,54.67448,3.01648,3.02788,0.0,0.0,EUR,103403216,0.0,33446025,96101000,0.06356,0.28369,1.709,1.6758338,1672444800,1703980800,1688083200,-101332000,-0.95,-0.8,0.14,19.688,-1.149,PAR,EQUITY,DBV.PA,DBV.PA,DBV TECHNOLOGIES,DBV Technologies S.A.,1333004400,Europe/Paris,CEST,7200000,2.864,9.0,2.5,6.0,5.8,1.8,buy,6,173960992,1.81,-89996000,2131000,5.725,5.859,5252000,1.297,0.056,-0.25441998,-0.49593,4844000,-52741752,-90327000,0.496,1.0,0.0,-19.47411,USD,
3,177-181 Avenue Pierre Brossolette,Montrouge,92120,France,33 1 55 42 78 78,33 1 43 26 10 83,https://www.dbv-technologies.com,Biotechnology,Healthcare,"DBV Technologies S.A., a clinical-stage biopharmaceutical company, engages in the research and development of epicutaneous immunotherapy products. Its lead product candidate is Viaskin Peanut, an immunotherapy product, which has completed Phase III clinical trial for the treatment of peanut allergies. The company is also developing Viaskin Milk that is in Phase I/II clinical trial for the treatment of immunoglobulin E (IgE) mediated cow's milk protein allergy (CMPA) and eosinophilic esophagitis. Its other earlier stage research programs include a vaccine for the respiratory syncytial virus, as well as treatments for Crohn's disease, celiac disease, and type I diabetes. The company has a collaboration with Nestlé Health Science to develop MAG1C, a ready-to-use atopy patch test for the diagnosis of non-IgE mediated CMPA in infants and toddlers. DBV Technologies S.A. was incorporated in 2002 and is headquartered in Montrouge, France.",88,"{'maxAge': 1, 'name': 'Mr. Pascal  Wotling', 'title': 'Chief Technical Operations Officer & Chief Quality Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",6,9,10,1,9,1693526400,1672444800,86400,4,2.91,2.91,2.852,2.96,2.91,2.91,2.852,2.96,0.0,1.169669,-3.5800002,64080,64080,78074,96842,96842,287150368,2.254,4.35,54.67448,3.01648,3.02788,0.0,0.0,EUR,103403216,0.0,33446025,96101000,0.06356,0.28369,1.709,1.6758338,1672444800,1703980800,1688083200,-101332000,-0.95,-0.8,0.14,19.688,-1.149,PAR,EQUITY,DBV.PA,DBV.PA,DBV TECHNOLOGIES,DBV Technologies S.A.,1333004400,Europe/Paris,CEST,7200000,2.864,9.0,2.5,6.0,5.8,1.8,buy,6,173960992,1.81,-89996000,2131000,5.725,5.859,5252000,1.297,0.056,-0.25441998,-0.49593,4844000,-52741752,-90327000,0.496,1.0,0.0,-19.47411,USD,
4,177-181 Avenue Pierre Brossolette,Montrouge,92120,France,33 1 55 42 78 78,33 1 43 26 10 83,https://www.dbv-technologies.com,Biotechnology,Healthcare,"DBV Technologies S.A., a clinical-stage biopharmaceutical company, engages in the research and development of epicutaneous immunotherapy products. Its lead product candidate is Viaskin Peanut, an immunotherapy product, which has completed Phase III clinical trial for the treatment of peanut allergies. The company is also developing Viaskin Milk that is in Phase I/II clinical trial for the treatment of immunoglobulin E (IgE) mediated cow's milk protein allergy (CMPA) and eosinophilic esophagitis. Its other earlier stage research programs include a vaccine for the respiratory syncytial virus, as well as treatments for Crohn's disease, celiac disease, and type I diabetes. The company has a collaboration with Nestlé Health Science to develop MAG1C, a ready-to-use atopy patch test for the diagnosis of non-IgE mediated CMPA in infants and toddlers. DBV Technologies S.A. was incorporated in 2002 and is headquartered in Montrouge, France.",88,"{'maxAge': 1, 'name': 'Ms. Michele F. Robertson', 'title': 'Chief Legal Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",6,9,10,1,9,1693526400,1672444800,86400,4,2.91,2.91,2.852,2.96,2.91,2.91,2.852,2.96,0.0,1.169669,-3.5800002,64080,64080,78074,96842,96842,287150368,2.254,4.35,54.67448,3.01648,3.02788,0.0,0.0,EUR,103403216,0.0,33446025,96101000,0.06356,0.28369,1.709,1.6758338,1672444800,1703980800,1688083200,-101332000,-0.95,-0.8,0.14,19.688,-1.149,PAR,EQUITY,DBV.PA,DBV.PA,DBV TECHNOLOGIES,DBV Technologies S.A.,1333004400,Europe/Paris,CEST,7200000,2.864,9.0,2.5,6.0,5.8,1.8,buy,6,173960992,1.81,-89996000,2131000,5.725,5.859,5252000,1.297,0.056,-0.25441998,-0.49593,4844000,-52741752,-90327000,0.496,1.0,0.0,-19.47411,USD,
5,177-181 Avenue Pierre Brossolette,Montrouge,92120,France,33 1 55 42 78 78,33 1 43 26 10 83,https://www.dbv-technologies.com,Biotechnology,Healthcare,"DBV Technologies S.A., a clinical-stage biopharmaceutical company, engages in the research and development of epicutaneous immunotherapy products. Its lead product candidate is Viaskin Peanut, an immunotherapy product, which has completed Phase III clinical trial for the treatment of peanut allergies. The company is also developing Viaskin Milk that is in Phase I/II clinical trial for the treatment of immunoglobulin E (IgE) mediated cow's milk protein allergy (CMPA) and eosinophilic esophagitis. Its other earlier stage research programs include a vaccine for the respiratory syncytial virus, as well as treatments for Crohn's disease, celiac disease, and type I diabetes. The company has a collaboration with Nestlé Health Science to develop MAG1C, a ready-to-use atopy patch test for the diagnosis of non-IgE mediated CMPA in infants and toddlers. DBV Technologies S.A. was incorporated in 2002 and is headquartered in Montrouge, France.",88,"{'maxAge': 1, 'name': 'Joseph  Becker', 'title': 'VP of Global Corp. Communications', 'exercisedValue': 0, 'unexercisedValue': 0}",6,9,10,1,9,1693526400,1672444800,86400,4,2.91,2.91,2.852,2.96,2.91,2.91,2.852,2.96,0.0,1.169669,-3.5800002,64080,64080,78074,96842,96842,287150368,2.254,4.35,54.67448,3.01648,3.02788,0.0,0.0,EUR,103403216,0.0,33446025,96101000,0.06356,0.28369,1.709,1.6758338,1672444800,1703980800,1688083200,-101332000,-0.95,-0.8,0.14,19.688,-1.149,PAR,EQUITY,DBV.PA,DBV.PA,DBV TECHNOLOGIES,DBV Technologies S.A.,1333004400,Europe/Paris,CEST,7200000,2.864,9.0,2.5,6.0,5.8,1.8,buy,6,173960992,1.81,-89996000,2131000,5.725,5.859,5252000,1.297,0.056,-0.25441998,-0.49593,4844000,-52741752,-90327000,0.496,1.0,0.0,-19.47411,USD,
6,177-181 Avenue Pierre Brossolette,Montrouge,92120,France,33 1 55 42 78 78,33 1 43 26 10 83,https://www.dbv-technologies.com,Biotechnology,Healthcare,"DBV Technologies S.A., a clinical-stage biopharmaceutical company, engages in the research and development of epicutaneous immunotherapy products. Its lead product candidate is Viaskin Peanut, an immunotherapy product, which has completed Phase III clinical trial for the treatment of peanut allergies. The company is also developing Viaskin Milk that is in Phase I/II clinical trial for the treatment of immunoglobulin E (IgE) mediated cow's milk protein allergy (CMPA) and eosinophilic esophagitis. Its other earlier stage research programs include a vaccine for the respiratory syncytial virus, as well as treatments for Crohn's disease, celiac disease, and type I diabetes. The company has a collaboration with Nestlé Health Science to develop MAG1C, a ready-to-use atopy patch test for the diagnosis of non-IgE mediated CMPA in infants and toddlers. DBV Technologies S.A. was incorporated in 2002 and is headquartered in Montrouge, France.",88,"{'maxAge': 1, 'name': 'Ms. Caroline  Daniere', 'age': 47, 'title': 'Chief HR Officer & Chief of Staff', 'yearBorn': 1975, 'exercisedValue': 0, 'unexercisedValue': 0}",6,9,10,1,9,1693526400,1672444800,86400,4,2.91,2.91,2.852,2.96,2.91,2.91,2.852,2.96,0.0,1.169669,-3.5800002,64080,64080,78074,96842,96842,287150368,2.254,4.35,54.67448,3.01648,3.02788,0.0,0.0,EUR,103403216,0.0,33446025,96101000,0.06356,0.28369,1.709,1.6758338,1672444800,1703980800,1688083200,-101332000,-0.95,-0.8,0.14,19.688,-1.149,PAR,EQUITY,DBV.PA,DBV.PA,DBV TECHNOLOGIES,DBV Technologies S.A.,1333004400,Europe/Paris,CEST,7200000,2.864,9.0,2.5,6.0,5.8,1.8,buy,6,173960992,1.81,-89996000,2131000,5.725,5.859,5252000,1.297,0.056,-0.25441998,-0.49593,4844000,-52741752,-90327000,0.496,1.0,0.0,-19.47411,USD,
7,177-181 Avenue Pierre Brossolette,Montrouge,92120,France,33 1 55 42 78 78,33 1 43 26 10 83,https://www.dbv-technologies.com,Biotechnology,Healthcare,"DBV Technologies S.A., a clinical-stage biopharmaceutical company, engages in the research and development of epicutaneous immunotherapy products. Its lead product candidate is Viaskin Peanut, an immunotherapy product, which has completed Phase III clinical trial for the treatment of peanut allergies. The company is also developing Viaskin Milk that is in Phase I/II clinical trial for the treatment of immunoglobulin E (IgE) mediated cow's milk protein allergy (CMPA) and eosinophilic esophagitis. Its other earlier stage research programs include a vaccine for the respiratory syncytial virus, as well as treatments for Crohn's disease, celiac disease, and type I diabetes. The company has a collaboration with Nestlé Health Science to develop MAG1C, a ready-to-use atopy patch test for the diagnosis of non-IgE mediated CMPA in infants and toddlers. DBV Technologies S.A. was incorporated in 2002 and is headquartered in Montrouge, France.",88,"{'maxAge': 1, 'name': 'Dr. Wence  Agbotounou', 'title': 'Chief Clinical Trial Officer & Sr. VP', 'exercisedValue': 0, 'unexercisedValue': 0}",6,9,10,1,9,1693526400,1672444800,86400,4,2.91,2.91,2.852,2.96,2.91,2.91,2.852,2.96,0.0,1.169669,-3.5800002,64080,64080,78074,96842,96842,287150368,2.254,4.35,54.67448,3.01648,3.02788,0.0,0.0,EUR,103403216,0.0,33446025,96101000,0.06356,0.28369,1.709,1.6758338,1672444800,1703980800,1688083200,-101332000,-0.95,-0.8,0.14,19.688,-1.149,PAR,EQUITY,DBV.PA,DBV.PA,DBV TECHNOLOGIES,DBV Technologies S.A.,1333004400,Europe/Paris,CEST,7200000,2.864,9.0,2.5,6.0,5.8,1.8,buy,6,173960992,1.81,-89996000,2131000,5.725,5.859,5252000,1.297,0.056,-0.25441998,-0.49593,4844000,-52741752,-90327000,0.496,1.0,0.0,-19.47411,USD,
8,177-181 Avenue Pierre Brossolette,Montrouge,92120,France,33 1 55 42 78 78,33 1 43 26 10 83,https://www.dbv-technologies.com,Biotechnology,Healthcare,"DBV Technologies S.A., a clinical-stage biopharmaceutical company, engages in the research and development of epicutaneous immunotherapy products. Its lead product candidate is Viaskin Peanut, an immunotherapy product, which has completed Phase III clinical trial for the treatment of peanut allergies. The company is also developing Viaskin Milk that is in Phase I/II clinical trial for the treatment of immunoglobulin E (IgE) mediated cow's milk protein allergy (CMPA) and eosinophilic esophagitis. Its other earlier stage research programs include a vaccine for the respiratory syncytial virus, as well as treatments for Crohn's disease, celiac disease, and type I diabetes. The company has a collaboration with Nestlé Health Science to develop MAG1C, a ready-to-use atopy patch test for the diagnosis of non-IgE mediated CMPA in infants and toddlers. DBV Technologies S.A. was incorporated in 2002 and is headquartered in Montrouge, France.",88,"{'maxAge': 1, 'name': 'Mr. Edward P. Jordan M.B.A.', 'age': 54, 'title': 'Sr. VP of Commercial Operations North America', 'yearBorn': 1968, 'exercisedValue': 0, 'unexercisedValue': 0}",6,9,10,1,9,1693526400,1672444800,86400,4,2.91,2.91,2.852,2.96,2.91,2.91,2.852,2.96,0.0,1.169669,-3.5800002,64080,64080,78074,96842,96842,287150368,2.254,4.35,54.67448,3.01648,3.02788,0.0,0.0,EUR,103403216,0.0,33446025,96101000,0.06356,0.28369,1.709,1.6758338,1672444800,1703980800,1688083200,-101332000,-0.95,-0.8,0.14,19.688,-1.149,PAR,EQUITY,DBV.PA,DBV.PA,DBV TECHNOLOGIES,DBV Technologies S.A.,1333004400,Europe/Paris,CEST,7200000,2.864,9.0,2.5,6.0,5.8,1.8,buy,6,173960992,1.81,-89996000,2131000,5.725,5.859,5252000,1.297,0.056,-0.25441998,-0.49593,4844000,-52741752,-90327000,0.496,1.0,0.0,-19.47411,USD,
9,177-181 Avenue Pierre Brossolette,Montrouge,92120,France,33 1 55 42 78 78,33 1 43 26 10 83,https://www.dbv-technologies.com,Biotechnology,Healthcare,"DBV Technologies S.A., a clinical-stage biopharmaceutical company, engages in the research and development of epicutaneous immunotherapy products. Its lead product candidate is Viaskin Peanut, an immunotherapy product, which has completed Phase III clinical trial for the treatment of peanut allergies. The company is also developing Viaskin Milk that is in Phase I/II clinical trial for the treatment of immunoglobulin E (IgE) mediated cow's milk protein allergy (CMPA) and eosinophilic esophagitis. Its other earlier stage research programs include a vaccine for the respiratory syncytial virus, as well as treatments for Crohn's disease, celiac disease, and type I diabetes. The company has a collaboration with Nestlé Health Science to develop MAG1C, a ready-to-use atopy patch test for the diagnosis of non-IgE mediated CMPA in infants and toddlers. DBV Technologies S.A. was incorporated in 2002 and is headquartered in Montrouge, France.",88,"{'maxAge': 1, 'name': 'Alan  Kerr', 'title': 'Sr. VP & Head of Global Regulatory Affairs', 'exercisedValue': 0, 'unexercisedValue': 0}",6,9,10,1,9,1693526400,1672444800,86400,4,2.91,2.91,2.852,2.96,2.91,2.91,2.852,2.96,0.0,1.169669,-3.5800002,64080,64080,78074,96842,96842,287150368,2.254,4.35,54.67448,3.01648,3.02788,0.0,0.0,EUR,103403216,0.0,33446025,96101000,0.06356,0.28369,1.709,1.6758338,1672444800,1703980800,1688083200,-101332000,-0.95,-0.8,0.14,19.688,-1.149,PAR,EQUITY,DBV.PA,DBV.PA,DBV TECHNOLOGIES,DBV Technologies S.A.,1333004400,Europe/Paris,CEST,7200000,2.864,9.0,2.5,6.0,5.8,1.8,buy,6,173960992,1.81,-89996000,2131000,5.725,5.859,5252000,1.297,0.056,-0.25441998,-0.49593,4844000,-52741752,-90327000,0.496,1.0,0.0,-19.47411,USD,
