,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,7628 Thorndike Road,Greensboro,NC,27409-9421,United States,336 664 1233,https://www.qorvo.com,Semiconductors,Technology,"Qorvo, Inc. engages in development and commercialization of technologies and products for wireless, wired, and power markets. It operates through three segments: High Performance Analog (HPA), Connectivity and Sensors Group (CSG), and Advanced Cellular Group (ACG). The HPA segment supplies radio frequency and power management solutions for automotive, defense and aerospace, cellular infrastructure, broadband, and other markets. The CSG segment supplies connectivity and sensor components and systems featuring various technologies, such as UWB, Matter, Bluetooth Low Energy, Zigbee, Thread, Wi-Fi, cellular IoT, and MEMS-/BAW-based sensors. It serves markets, such as smart home, industrial automation, automotive, smartphones, wearables, gaming, and industrial and enterprise access points. The ACG segment supplies cellular RF solutions for smartphones, wearables, laptops, tablets, and various other devices. The company also offers foundry services for defense primes and other defense and aerospace customers. The company sells its products directly to original equipment manufacturers and original design manufacturers, as well as through a network of sales representative firms and distributors. It operates in the United States, China, other Asian countries, Taiwan, and Europe. The company was founded in 1957 and is headquartered in Greensboro, North Carolina.",8500,"{'maxAge': 1, 'name': 'Mr. Robert A. Bruggeworth', 'age': 61, 'title': 'Pres, CEO & Director', 'yearBorn': 1961, 'fiscalYear': 2023, 'totalPay': 1693813, 'exercisedValue': 0, 'unexercisedValue': 0}",3,7,6,5,5,1693526400,1703980800,86400,2,96.1,95.65,95.18,97.0,96.1,95.65,95.18,97.0,0.0,1.43603,12.756649,1980877,1980877,1206012,1540540,1540540,94.5,97.0,800,800,9392544768,75.38,114.587,2.948804,103.6102,99.51735,0.0,0.0,USD,10696488960,-0.0029199999,97160451,97910400,2049210,1954907,1690761600,1693440000,0.0209,0.0052,0.90257,1.71,0.0239,38.881,2.4672718,1680307200,1711929600,1688169600,-9312000,-0.1,7.52,1.92,1:4,1420156800,3.358,22.76,NMS,EQUITY,QRVO,QRVO,"Qorvo, Inc.","Qorvo, Inc.",1420209000,America/New_York,EDT,-14400000,95.93,136.0,85.0,114.38,113.0,2.8,hold,25,744428032,7.603,469963008,2048368000,1.677,3.267,3185204992,53.731,31.681,0.01211,-0.0023,1296942000,421364992,615113984,-0.371,0.38187,0.14755,0.04264,USD,1.4871
1,7628 Thorndike Road,Greensboro,NC,27409-9421,United States,336 664 1233,https://www.qorvo.com,Semiconductors,Technology,"Qorvo, Inc. engages in development and commercialization of technologies and products for wireless, wired, and power markets. It operates through three segments: High Performance Analog (HPA), Connectivity and Sensors Group (CSG), and Advanced Cellular Group (ACG). The HPA segment supplies radio frequency and power management solutions for automotive, defense and aerospace, cellular infrastructure, broadband, and other markets. The CSG segment supplies connectivity and sensor components and systems featuring various technologies, such as UWB, Matter, Bluetooth Low Energy, Zigbee, Thread, Wi-Fi, cellular IoT, and MEMS-/BAW-based sensors. It serves markets, such as smart home, industrial automation, automotive, smartphones, wearables, gaming, and industrial and enterprise access points. The ACG segment supplies cellular RF solutions for smartphones, wearables, laptops, tablets, and various other devices. The company also offers foundry services for defense primes and other defense and aerospace customers. The company sells its products directly to original equipment manufacturers and original design manufacturers, as well as through a network of sales representative firms and distributors. It operates in the United States, China, other Asian countries, Taiwan, and Europe. The company was founded in 1957 and is headquartered in Greensboro, North Carolina.",8500,"{'maxAge': 1, 'name': 'Mr. Grant A. Brown', 'age': 45, 'title': 'Sr. VP & CFO', 'yearBorn': 1977, 'fiscalYear': 2023, 'totalPay': 834321, 'exercisedValue': 0, 'unexercisedValue': 0}",3,7,6,5,5,1693526400,1703980800,86400,2,96.1,95.65,95.18,97.0,96.1,95.65,95.18,97.0,0.0,1.43603,12.756649,1980877,1980877,1206012,1540540,1540540,94.5,97.0,800,800,9392544768,75.38,114.587,2.948804,103.6102,99.51735,0.0,0.0,USD,10696488960,-0.0029199999,97160451,97910400,2049210,1954907,1690761600,1693440000,0.0209,0.0052,0.90257,1.71,0.0239,38.881,2.4672718,1680307200,1711929600,1688169600,-9312000,-0.1,7.52,1.92,1:4,1420156800,3.358,22.76,NMS,EQUITY,QRVO,QRVO,"Qorvo, Inc.","Qorvo, Inc.",1420209000,America/New_York,EDT,-14400000,95.93,136.0,85.0,114.38,113.0,2.8,hold,25,744428032,7.603,469963008,2048368000,1.677,3.267,3185204992,53.731,31.681,0.01211,-0.0023,1296942000,421364992,615113984,-0.371,0.38187,0.14755,0.04264,USD,1.4871
2,7628 Thorndike Road,Greensboro,NC,27409-9421,United States,336 664 1233,https://www.qorvo.com,Semiconductors,Technology,"Qorvo, Inc. engages in development and commercialization of technologies and products for wireless, wired, and power markets. It operates through three segments: High Performance Analog (HPA), Connectivity and Sensors Group (CSG), and Advanced Cellular Group (ACG). The HPA segment supplies radio frequency and power management solutions for automotive, defense and aerospace, cellular infrastructure, broadband, and other markets. The CSG segment supplies connectivity and sensor components and systems featuring various technologies, such as UWB, Matter, Bluetooth Low Energy, Zigbee, Thread, Wi-Fi, cellular IoT, and MEMS-/BAW-based sensors. It serves markets, such as smart home, industrial automation, automotive, smartphones, wearables, gaming, and industrial and enterprise access points. The ACG segment supplies cellular RF solutions for smartphones, wearables, laptops, tablets, and various other devices. The company also offers foundry services for defense primes and other defense and aerospace customers. The company sells its products directly to original equipment manufacturers and original design manufacturers, as well as through a network of sales representative firms and distributors. It operates in the United States, China, other Asian countries, Taiwan, and Europe. The company was founded in 1957 and is headquartered in Greensboro, North Carolina.",8500,"{'maxAge': 1, 'name': 'Mr. Paul J. Fego', 'age': 64, 'title': 'Sr. VP of Global Operations', 'yearBorn': 1958, 'fiscalYear': 2023, 'totalPay': 724515, 'exercisedValue': 0, 'unexercisedValue': 0}",3,7,6,5,5,1693526400,1703980800,86400,2,96.1,95.65,95.18,97.0,96.1,95.65,95.18,97.0,0.0,1.43603,12.756649,1980877,1980877,1206012,1540540,1540540,94.5,97.0,800,800,9392544768,75.38,114.587,2.948804,103.6102,99.51735,0.0,0.0,USD,10696488960,-0.0029199999,97160451,97910400,2049210,1954907,1690761600,1693440000,0.0209,0.0052,0.90257,1.71,0.0239,38.881,2.4672718,1680307200,1711929600,1688169600,-9312000,-0.1,7.52,1.92,1:4,1420156800,3.358,22.76,NMS,EQUITY,QRVO,QRVO,"Qorvo, Inc.","Qorvo, Inc.",1420209000,America/New_York,EDT,-14400000,95.93,136.0,85.0,114.38,113.0,2.8,hold,25,744428032,7.603,469963008,2048368000,1.677,3.267,3185204992,53.731,31.681,0.01211,-0.0023,1296942000,421364992,615113984,-0.371,0.38187,0.14755,0.04264,USD,1.4871
3,7628 Thorndike Road,Greensboro,NC,27409-9421,United States,336 664 1233,https://www.qorvo.com,Semiconductors,Technology,"Qorvo, Inc. engages in development and commercialization of technologies and products for wireless, wired, and power markets. It operates through three segments: High Performance Analog (HPA), Connectivity and Sensors Group (CSG), and Advanced Cellular Group (ACG). The HPA segment supplies radio frequency and power management solutions for automotive, defense and aerospace, cellular infrastructure, broadband, and other markets. The CSG segment supplies connectivity and sensor components and systems featuring various technologies, such as UWB, Matter, Bluetooth Low Energy, Zigbee, Thread, Wi-Fi, cellular IoT, and MEMS-/BAW-based sensors. It serves markets, such as smart home, industrial automation, automotive, smartphones, wearables, gaming, and industrial and enterprise access points. The ACG segment supplies cellular RF solutions for smartphones, wearables, laptops, tablets, and various other devices. The company also offers foundry services for defense primes and other defense and aerospace customers. The company sells its products directly to original equipment manufacturers and original design manufacturers, as well as through a network of sales representative firms and distributors. It operates in the United States, China, other Asian countries, Taiwan, and Europe. The company was founded in 1957 and is headquartered in Greensboro, North Carolina.",8500,"{'maxAge': 1, 'name': 'Mr. Steven E. Creviston', 'age': 58, 'title': 'Sr. VP and Pres of Connectivity & Sensors', 'yearBorn': 1964, 'fiscalYear': 2023, 'totalPay': 810692, 'exercisedValue': 0, 'unexercisedValue': 0}",3,7,6,5,5,1693526400,1703980800,86400,2,96.1,95.65,95.18,97.0,96.1,95.65,95.18,97.0,0.0,1.43603,12.756649,1980877,1980877,1206012,1540540,1540540,94.5,97.0,800,800,9392544768,75.38,114.587,2.948804,103.6102,99.51735,0.0,0.0,USD,10696488960,-0.0029199999,97160451,97910400,2049210,1954907,1690761600,1693440000,0.0209,0.0052,0.90257,1.71,0.0239,38.881,2.4672718,1680307200,1711929600,1688169600,-9312000,-0.1,7.52,1.92,1:4,1420156800,3.358,22.76,NMS,EQUITY,QRVO,QRVO,"Qorvo, Inc.","Qorvo, Inc.",1420209000,America/New_York,EDT,-14400000,95.93,136.0,85.0,114.38,113.0,2.8,hold,25,744428032,7.603,469963008,2048368000,1.677,3.267,3185204992,53.731,31.681,0.01211,-0.0023,1296942000,421364992,615113984,-0.371,0.38187,0.14755,0.04264,USD,1.4871
4,7628 Thorndike Road,Greensboro,NC,27409-9421,United States,336 664 1233,https://www.qorvo.com,Semiconductors,Technology,"Qorvo, Inc. engages in development and commercialization of technologies and products for wireless, wired, and power markets. It operates through three segments: High Performance Analog (HPA), Connectivity and Sensors Group (CSG), and Advanced Cellular Group (ACG). The HPA segment supplies radio frequency and power management solutions for automotive, defense and aerospace, cellular infrastructure, broadband, and other markets. The CSG segment supplies connectivity and sensor components and systems featuring various technologies, such as UWB, Matter, Bluetooth Low Energy, Zigbee, Thread, Wi-Fi, cellular IoT, and MEMS-/BAW-based sensors. It serves markets, such as smart home, industrial automation, automotive, smartphones, wearables, gaming, and industrial and enterprise access points. The ACG segment supplies cellular RF solutions for smartphones, wearables, laptops, tablets, and various other devices. The company also offers foundry services for defense primes and other defense and aerospace customers. The company sells its products directly to original equipment manufacturers and original design manufacturers, as well as through a network of sales representative firms and distributors. It operates in the United States, China, other Asian countries, Taiwan, and Europe. The company was founded in 1957 and is headquartered in Greensboro, North Carolina.",8500,"{'maxAge': 1, 'name': 'Mr. Philip J. Chesley', 'age': 51, 'title': 'Sr. VP & Pres of High Performance Analog', 'yearBorn': 1971, 'fiscalYear': 2023, 'totalPay': 694010, 'exercisedValue': 0, 'unexercisedValue': 0}",3,7,6,5,5,1693526400,1703980800,86400,2,96.1,95.65,95.18,97.0,96.1,95.65,95.18,97.0,0.0,1.43603,12.756649,1980877,1980877,1206012,1540540,1540540,94.5,97.0,800,800,9392544768,75.38,114.587,2.948804,103.6102,99.51735,0.0,0.0,USD,10696488960,-0.0029199999,97160451,97910400,2049210,1954907,1690761600,1693440000,0.0209,0.0052,0.90257,1.71,0.0239,38.881,2.4672718,1680307200,1711929600,1688169600,-9312000,-0.1,7.52,1.92,1:4,1420156800,3.358,22.76,NMS,EQUITY,QRVO,QRVO,"Qorvo, Inc.","Qorvo, Inc.",1420209000,America/New_York,EDT,-14400000,95.93,136.0,85.0,114.38,113.0,2.8,hold,25,744428032,7.603,469963008,2048368000,1.677,3.267,3185204992,53.731,31.681,0.01211,-0.0023,1296942000,421364992,615113984,-0.371,0.38187,0.14755,0.04264,USD,1.4871
5,7628 Thorndike Road,Greensboro,NC,27409-9421,United States,336 664 1233,https://www.qorvo.com,Semiconductors,Technology,"Qorvo, Inc. engages in development and commercialization of technologies and products for wireless, wired, and power markets. It operates through three segments: High Performance Analog (HPA), Connectivity and Sensors Group (CSG), and Advanced Cellular Group (ACG). The HPA segment supplies radio frequency and power management solutions for automotive, defense and aerospace, cellular infrastructure, broadband, and other markets. The CSG segment supplies connectivity and sensor components and systems featuring various technologies, such as UWB, Matter, Bluetooth Low Energy, Zigbee, Thread, Wi-Fi, cellular IoT, and MEMS-/BAW-based sensors. It serves markets, such as smart home, industrial automation, automotive, smartphones, wearables, gaming, and industrial and enterprise access points. The ACG segment supplies cellular RF solutions for smartphones, wearables, laptops, tablets, and various other devices. The company also offers foundry services for defense primes and other defense and aerospace customers. The company sells its products directly to original equipment manufacturers and original design manufacturers, as well as through a network of sales representative firms and distributors. It operates in the United States, China, other Asian countries, Taiwan, and Europe. The company was founded in 1957 and is headquartered in Greensboro, North Carolina.",8500,"{'maxAge': 1, 'name': 'Mr. Douglas  DeLieto', 'title': 'VP of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",3,7,6,5,5,1693526400,1703980800,86400,2,96.1,95.65,95.18,97.0,96.1,95.65,95.18,97.0,0.0,1.43603,12.756649,1980877,1980877,1206012,1540540,1540540,94.5,97.0,800,800,9392544768,75.38,114.587,2.948804,103.6102,99.51735,0.0,0.0,USD,10696488960,-0.0029199999,97160451,97910400,2049210,1954907,1690761600,1693440000,0.0209,0.0052,0.90257,1.71,0.0239,38.881,2.4672718,1680307200,1711929600,1688169600,-9312000,-0.1,7.52,1.92,1:4,1420156800,3.358,22.76,NMS,EQUITY,QRVO,QRVO,"Qorvo, Inc.","Qorvo, Inc.",1420209000,America/New_York,EDT,-14400000,95.93,136.0,85.0,114.38,113.0,2.8,hold,25,744428032,7.603,469963008,2048368000,1.677,3.267,3185204992,53.731,31.681,0.01211,-0.0023,1296942000,421364992,615113984,-0.371,0.38187,0.14755,0.04264,USD,1.4871
6,7628 Thorndike Road,Greensboro,NC,27409-9421,United States,336 664 1233,https://www.qorvo.com,Semiconductors,Technology,"Qorvo, Inc. engages in development and commercialization of technologies and products for wireless, wired, and power markets. It operates through three segments: High Performance Analog (HPA), Connectivity and Sensors Group (CSG), and Advanced Cellular Group (ACG). The HPA segment supplies radio frequency and power management solutions for automotive, defense and aerospace, cellular infrastructure, broadband, and other markets. The CSG segment supplies connectivity and sensor components and systems featuring various technologies, such as UWB, Matter, Bluetooth Low Energy, Zigbee, Thread, Wi-Fi, cellular IoT, and MEMS-/BAW-based sensors. It serves markets, such as smart home, industrial automation, automotive, smartphones, wearables, gaming, and industrial and enterprise access points. The ACG segment supplies cellular RF solutions for smartphones, wearables, laptops, tablets, and various other devices. The company also offers foundry services for defense primes and other defense and aerospace customers. The company sells its products directly to original equipment manufacturers and original design manufacturers, as well as through a network of sales representative firms and distributors. It operates in the United States, China, other Asian countries, Taiwan, and Europe. The company was founded in 1957 and is headquartered in Greensboro, North Carolina.",8500,"{'maxAge': 1, 'name': 'Mr. Jason K. Givens', 'title': 'Sr. VP, Gen. Counsel & Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",3,7,6,5,5,1693526400,1703980800,86400,2,96.1,95.65,95.18,97.0,96.1,95.65,95.18,97.0,0.0,1.43603,12.756649,1980877,1980877,1206012,1540540,1540540,94.5,97.0,800,800,9392544768,75.38,114.587,2.948804,103.6102,99.51735,0.0,0.0,USD,10696488960,-0.0029199999,97160451,97910400,2049210,1954907,1690761600,1693440000,0.0209,0.0052,0.90257,1.71,0.0239,38.881,2.4672718,1680307200,1711929600,1688169600,-9312000,-0.1,7.52,1.92,1:4,1420156800,3.358,22.76,NMS,EQUITY,QRVO,QRVO,"Qorvo, Inc.","Qorvo, Inc.",1420209000,America/New_York,EDT,-14400000,95.93,136.0,85.0,114.38,113.0,2.8,hold,25,744428032,7.603,469963008,2048368000,1.677,3.267,3185204992,53.731,31.681,0.01211,-0.0023,1296942000,421364992,615113984,-0.371,0.38187,0.14755,0.04264,USD,1.4871
7,7628 Thorndike Road,Greensboro,NC,27409-9421,United States,336 664 1233,https://www.qorvo.com,Semiconductors,Technology,"Qorvo, Inc. engages in development and commercialization of technologies and products for wireless, wired, and power markets. It operates through three segments: High Performance Analog (HPA), Connectivity and Sensors Group (CSG), and Advanced Cellular Group (ACG). The HPA segment supplies radio frequency and power management solutions for automotive, defense and aerospace, cellular infrastructure, broadband, and other markets. The CSG segment supplies connectivity and sensor components and systems featuring various technologies, such as UWB, Matter, Bluetooth Low Energy, Zigbee, Thread, Wi-Fi, cellular IoT, and MEMS-/BAW-based sensors. It serves markets, such as smart home, industrial automation, automotive, smartphones, wearables, gaming, and industrial and enterprise access points. The ACG segment supplies cellular RF solutions for smartphones, wearables, laptops, tablets, and various other devices. The company also offers foundry services for defense primes and other defense and aerospace customers. The company sells its products directly to original equipment manufacturers and original design manufacturers, as well as through a network of sales representative firms and distributors. It operates in the United States, China, other Asian countries, Taiwan, and Europe. The company was founded in 1957 and is headquartered in Greensboro, North Carolina.",8500,"{'maxAge': 1, 'name': 'Mr. Brent  Dietz', 'title': 'Director of Corp. Communications', 'exercisedValue': 0, 'unexercisedValue': 0}",3,7,6,5,5,1693526400,1703980800,86400,2,96.1,95.65,95.18,97.0,96.1,95.65,95.18,97.0,0.0,1.43603,12.756649,1980877,1980877,1206012,1540540,1540540,94.5,97.0,800,800,9392544768,75.38,114.587,2.948804,103.6102,99.51735,0.0,0.0,USD,10696488960,-0.0029199999,97160451,97910400,2049210,1954907,1690761600,1693440000,0.0209,0.0052,0.90257,1.71,0.0239,38.881,2.4672718,1680307200,1711929600,1688169600,-9312000,-0.1,7.52,1.92,1:4,1420156800,3.358,22.76,NMS,EQUITY,QRVO,QRVO,"Qorvo, Inc.","Qorvo, Inc.",1420209000,America/New_York,EDT,-14400000,95.93,136.0,85.0,114.38,113.0,2.8,hold,25,744428032,7.603,469963008,2048368000,1.677,3.267,3185204992,53.731,31.681,0.01211,-0.0023,1296942000,421364992,615113984,-0.371,0.38187,0.14755,0.04264,USD,1.4871
8,7628 Thorndike Road,Greensboro,NC,27409-9421,United States,336 664 1233,https://www.qorvo.com,Semiconductors,Technology,"Qorvo, Inc. engages in development and commercialization of technologies and products for wireless, wired, and power markets. It operates through three segments: High Performance Analog (HPA), Connectivity and Sensors Group (CSG), and Advanced Cellular Group (ACG). The HPA segment supplies radio frequency and power management solutions for automotive, defense and aerospace, cellular infrastructure, broadband, and other markets. The CSG segment supplies connectivity and sensor components and systems featuring various technologies, such as UWB, Matter, Bluetooth Low Energy, Zigbee, Thread, Wi-Fi, cellular IoT, and MEMS-/BAW-based sensors. It serves markets, such as smart home, industrial automation, automotive, smartphones, wearables, gaming, and industrial and enterprise access points. The ACG segment supplies cellular RF solutions for smartphones, wearables, laptops, tablets, and various other devices. The company also offers foundry services for defense primes and other defense and aerospace customers. The company sells its products directly to original equipment manufacturers and original design manufacturers, as well as through a network of sales representative firms and distributors. It operates in the United States, China, other Asian countries, Taiwan, and Europe. The company was founded in 1957 and is headquartered in Greensboro, North Carolina.",8500,"{'maxAge': 1, 'name': 'Mr. David  Fullwood', 'title': 'Sr. VP of Sales & Marketing', 'exercisedValue': 0, 'unexercisedValue': 0}",3,7,6,5,5,1693526400,1703980800,86400,2,96.1,95.65,95.18,97.0,96.1,95.65,95.18,97.0,0.0,1.43603,12.756649,1980877,1980877,1206012,1540540,1540540,94.5,97.0,800,800,9392544768,75.38,114.587,2.948804,103.6102,99.51735,0.0,0.0,USD,10696488960,-0.0029199999,97160451,97910400,2049210,1954907,1690761600,1693440000,0.0209,0.0052,0.90257,1.71,0.0239,38.881,2.4672718,1680307200,1711929600,1688169600,-9312000,-0.1,7.52,1.92,1:4,1420156800,3.358,22.76,NMS,EQUITY,QRVO,QRVO,"Qorvo, Inc.","Qorvo, Inc.",1420209000,America/New_York,EDT,-14400000,95.93,136.0,85.0,114.38,113.0,2.8,hold,25,744428032,7.603,469963008,2048368000,1.677,3.267,3185204992,53.731,31.681,0.01211,-0.0023,1296942000,421364992,615113984,-0.371,0.38187,0.14755,0.04264,USD,1.4871
9,7628 Thorndike Road,Greensboro,NC,27409-9421,United States,336 664 1233,https://www.qorvo.com,Semiconductors,Technology,"Qorvo, Inc. engages in development and commercialization of technologies and products for wireless, wired, and power markets. It operates through three segments: High Performance Analog (HPA), Connectivity and Sensors Group (CSG), and Advanced Cellular Group (ACG). The HPA segment supplies radio frequency and power management solutions for automotive, defense and aerospace, cellular infrastructure, broadband, and other markets. The CSG segment supplies connectivity and sensor components and systems featuring various technologies, such as UWB, Matter, Bluetooth Low Energy, Zigbee, Thread, Wi-Fi, cellular IoT, and MEMS-/BAW-based sensors. It serves markets, such as smart home, industrial automation, automotive, smartphones, wearables, gaming, and industrial and enterprise access points. The ACG segment supplies cellular RF solutions for smartphones, wearables, laptops, tablets, and various other devices. The company also offers foundry services for defense primes and other defense and aerospace customers. The company sells its products directly to original equipment manufacturers and original design manufacturers, as well as through a network of sales representative firms and distributors. It operates in the United States, China, other Asian countries, Taiwan, and Europe. The company was founded in 1957 and is headquartered in Greensboro, North Carolina.",8500,"{'maxAge': 1, 'name': 'Ms. Debra  Howard', 'title': 'Sr. VP & Chief HR Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",3,7,6,5,5,1693526400,1703980800,86400,2,96.1,95.65,95.18,97.0,96.1,95.65,95.18,97.0,0.0,1.43603,12.756649,1980877,1980877,1206012,1540540,1540540,94.5,97.0,800,800,9392544768,75.38,114.587,2.948804,103.6102,99.51735,0.0,0.0,USD,10696488960,-0.0029199999,97160451,97910400,2049210,1954907,1690761600,1693440000,0.0209,0.0052,0.90257,1.71,0.0239,38.881,2.4672718,1680307200,1711929600,1688169600,-9312000,-0.1,7.52,1.92,1:4,1420156800,3.358,22.76,NMS,EQUITY,QRVO,QRVO,"Qorvo, Inc.","Qorvo, Inc.",1420209000,America/New_York,EDT,-14400000,95.93,136.0,85.0,114.38,113.0,2.8,hold,25,744428032,7.603,469963008,2048368000,1.677,3.267,3185204992,53.731,31.681,0.01211,-0.0023,1296942000,421364992,615113984,-0.371,0.38187,0.14755,0.04264,USD,1.4871
