,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,3043 Townsgate Road,Westlake Village,CA,91361,United States,818 224 7442,https://www.pennymacmortgageinvestmenttrust.com,REIT—Mortgage,Real Estate,"PennyMac Mortgage Investment Trust, a specialty finance company, primarily invests in mortgage-related assets in the United States. It operates through four segments: Credit Sensitive Strategies, Interest Rate Sensitive Strategies, Correspondent Production, and Corporate. The company's Credit Sensitive Strategies segment invests in credit risk transfer (CRT) agreements, CRT securities, distressed loans, real estate, and non-agency subordinated bonds. Its Interest Rate Sensitive Strategies segment engages in investing in mortgage servicing rights, excess servicing spreads, and agency and senior non-agency mortgage-backed securities (MBS), as well as related interest rate hedging activities. The company's Correspondent Production segment is involved in purchasing, pooling, and reselling newly originated prime credit residential loans directly or in the form of MBS. PNMAC Capital Management, LLC acts as the manager of PennyMac Mortgage Investment Trust. The company qualifies as a real estate investment trust for federal income tax purposes. It generally would not be subject to federal corporate income taxes if it distributes at least 90% of its taxable income to its shareholders. PennyMac Mortgage Investment Trust was founded in 2009 and is headquartered in Westlake Village, California.","{'maxAge': 1, 'name': 'Mr. David A. Spector', 'age': 59, 'title': 'Chairman & CEO', 'yearBorn': 1963, 'fiscalYear': 2022, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",1,6,2,4,3,1693526400,1672444800,86400,2,12.98,12.89,12.83,13.015,12.98,12.89,12.83,13.015,1.6,0.1237,1697068800,2.8525,10.71,1.408367,21.196722,9.369565,1782338,1782338,629727,625800,625800,12.96,12.96,900,1400,1121811968,10.78,15.78,1.8861718,13.1918,13.07395,1.67,0.12865947,USD,12534268928,0.17132999,70512786,86760400,3187580,2979588,1690761600,1693440000,0.0367,0.01011,0.71659,5.67,0.053400002,16.021,0.8070657,1672444800,1703980800,1688083200,59675000,0.61,1.38,2.59,21.075,NYQ,EQUITY,PMT,PMT,PennyMac Mortgage Investment Tr,PennyMac Mortgage Investment Trust,1248960600,America/New_York,EDT,-14400000,12.93,15.0,12.5,13.69,13.5,2.7,hold,8,267816992,3.087,11138792448,0.285,0.7,594755968,576.692,6.688,0.0076599997,0.05092,-321203000,850444032,0.75084996,0.0,0.28676,USD,
1,3043 Townsgate Road,Westlake Village,CA,91361,United States,818 224 7442,https://www.pennymacmortgageinvestmenttrust.com,REIT—Mortgage,Real Estate,"PennyMac Mortgage Investment Trust, a specialty finance company, primarily invests in mortgage-related assets in the United States. It operates through four segments: Credit Sensitive Strategies, Interest Rate Sensitive Strategies, Correspondent Production, and Corporate. The company's Credit Sensitive Strategies segment invests in credit risk transfer (CRT) agreements, CRT securities, distressed loans, real estate, and non-agency subordinated bonds. Its Interest Rate Sensitive Strategies segment engages in investing in mortgage servicing rights, excess servicing spreads, and agency and senior non-agency mortgage-backed securities (MBS), as well as related interest rate hedging activities. The company's Correspondent Production segment is involved in purchasing, pooling, and reselling newly originated prime credit residential loans directly or in the form of MBS. PNMAC Capital Management, LLC acts as the manager of PennyMac Mortgage Investment Trust. The company qualifies as a real estate investment trust for federal income tax purposes. It generally would not be subject to federal corporate income taxes if it distributes at least 90% of its taxable income to its shareholders. PennyMac Mortgage Investment Trust was founded in 2009 and is headquartered in Westlake Village, California.","{'maxAge': 1, 'name': 'Mr. Douglas Edward Jones', 'age': 65, 'title': 'Pres, Chief Mortgage Banking Officer & Director', 'yearBorn': 1957, 'fiscalYear': 2022, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",1,6,2,4,3,1693526400,1672444800,86400,2,12.98,12.89,12.83,13.015,12.98,12.89,12.83,13.015,1.6,0.1237,1697068800,2.8525,10.71,1.408367,21.196722,9.369565,1782338,1782338,629727,625800,625800,12.96,12.96,900,1400,1121811968,10.78,15.78,1.8861718,13.1918,13.07395,1.67,0.12865947,USD,12534268928,0.17132999,70512786,86760400,3187580,2979588,1690761600,1693440000,0.0367,0.01011,0.71659,5.67,0.053400002,16.021,0.8070657,1672444800,1703980800,1688083200,59675000,0.61,1.38,2.59,21.075,NYQ,EQUITY,PMT,PMT,PennyMac Mortgage Investment Tr,PennyMac Mortgage Investment Trust,1248960600,America/New_York,EDT,-14400000,12.93,15.0,12.5,13.69,13.5,2.7,hold,8,267816992,3.087,11138792448,0.285,0.7,594755968,576.692,6.688,0.0076599997,0.05092,-321203000,850444032,0.75084996,0.0,0.28676,USD,
2,3043 Townsgate Road,Westlake Village,CA,91361,United States,818 224 7442,https://www.pennymacmortgageinvestmenttrust.com,REIT—Mortgage,Real Estate,"PennyMac Mortgage Investment Trust, a specialty finance company, primarily invests in mortgage-related assets in the United States. It operates through four segments: Credit Sensitive Strategies, Interest Rate Sensitive Strategies, Correspondent Production, and Corporate. The company's Credit Sensitive Strategies segment invests in credit risk transfer (CRT) agreements, CRT securities, distressed loans, real estate, and non-agency subordinated bonds. Its Interest Rate Sensitive Strategies segment engages in investing in mortgage servicing rights, excess servicing spreads, and agency and senior non-agency mortgage-backed securities (MBS), as well as related interest rate hedging activities. The company's Correspondent Production segment is involved in purchasing, pooling, and reselling newly originated prime credit residential loans directly or in the form of MBS. PNMAC Capital Management, LLC acts as the manager of PennyMac Mortgage Investment Trust. The company qualifies as a real estate investment trust for federal income tax purposes. It generally would not be subject to federal corporate income taxes if it distributes at least 90% of its taxable income to its shareholders. PennyMac Mortgage Investment Trust was founded in 2009 and is headquartered in Westlake Village, California.","{'maxAge': 1, 'name': 'Mr. Daniel Stanley Perotti', 'age': 41, 'title': 'Sr. MD & CFO', 'yearBorn': 1981, 'fiscalYear': 2022, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",1,6,2,4,3,1693526400,1672444800,86400,2,12.98,12.89,12.83,13.015,12.98,12.89,12.83,13.015,1.6,0.1237,1697068800,2.8525,10.71,1.408367,21.196722,9.369565,1782338,1782338,629727,625800,625800,12.96,12.96,900,1400,1121811968,10.78,15.78,1.8861718,13.1918,13.07395,1.67,0.12865947,USD,12534268928,0.17132999,70512786,86760400,3187580,2979588,1690761600,1693440000,0.0367,0.01011,0.71659,5.67,0.053400002,16.021,0.8070657,1672444800,1703980800,1688083200,59675000,0.61,1.38,2.59,21.075,NYQ,EQUITY,PMT,PMT,PennyMac Mortgage Investment Tr,PennyMac Mortgage Investment Trust,1248960600,America/New_York,EDT,-14400000,12.93,15.0,12.5,13.69,13.5,2.7,hold,8,267816992,3.087,11138792448,0.285,0.7,594755968,576.692,6.688,0.0076599997,0.05092,-321203000,850444032,0.75084996,0.0,0.28676,USD,
3,3043 Townsgate Road,Westlake Village,CA,91361,United States,818 224 7442,https://www.pennymacmortgageinvestmenttrust.com,REIT—Mortgage,Real Estate,"PennyMac Mortgage Investment Trust, a specialty finance company, primarily invests in mortgage-related assets in the United States. It operates through four segments: Credit Sensitive Strategies, Interest Rate Sensitive Strategies, Correspondent Production, and Corporate. The company's Credit Sensitive Strategies segment invests in credit risk transfer (CRT) agreements, CRT securities, distressed loans, real estate, and non-agency subordinated bonds. Its Interest Rate Sensitive Strategies segment engages in investing in mortgage servicing rights, excess servicing spreads, and agency and senior non-agency mortgage-backed securities (MBS), as well as related interest rate hedging activities. The company's Correspondent Production segment is involved in purchasing, pooling, and reselling newly originated prime credit residential loans directly or in the form of MBS. PNMAC Capital Management, LLC acts as the manager of PennyMac Mortgage Investment Trust. The company qualifies as a real estate investment trust for federal income tax purposes. It generally would not be subject to federal corporate income taxes if it distributes at least 90% of its taxable income to its shareholders. PennyMac Mortgage Investment Trust was founded in 2009 and is headquartered in Westlake Village, California.","{'maxAge': 1, 'name': 'Mr. Derek W. Stark J.D.', 'age': 54, 'title': 'Sr. MD, Chief Legal Officer & Sec.', 'yearBorn': 1968, 'fiscalYear': 2022, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",1,6,2,4,3,1693526400,1672444800,86400,2,12.98,12.89,12.83,13.015,12.98,12.89,12.83,13.015,1.6,0.1237,1697068800,2.8525,10.71,1.408367,21.196722,9.369565,1782338,1782338,629727,625800,625800,12.96,12.96,900,1400,1121811968,10.78,15.78,1.8861718,13.1918,13.07395,1.67,0.12865947,USD,12534268928,0.17132999,70512786,86760400,3187580,2979588,1690761600,1693440000,0.0367,0.01011,0.71659,5.67,0.053400002,16.021,0.8070657,1672444800,1703980800,1688083200,59675000,0.61,1.38,2.59,21.075,NYQ,EQUITY,PMT,PMT,PennyMac Mortgage Investment Tr,PennyMac Mortgage Investment Trust,1248960600,America/New_York,EDT,-14400000,12.93,15.0,12.5,13.69,13.5,2.7,hold,8,267816992,3.087,11138792448,0.285,0.7,594755968,576.692,6.688,0.0076599997,0.05092,-321203000,850444032,0.75084996,0.0,0.28676,USD,
4,3043 Townsgate Road,Westlake Village,CA,91361,United States,818 224 7442,https://www.pennymacmortgageinvestmenttrust.com,REIT—Mortgage,Real Estate,"PennyMac Mortgage Investment Trust, a specialty finance company, primarily invests in mortgage-related assets in the United States. It operates through four segments: Credit Sensitive Strategies, Interest Rate Sensitive Strategies, Correspondent Production, and Corporate. The company's Credit Sensitive Strategies segment invests in credit risk transfer (CRT) agreements, CRT securities, distressed loans, real estate, and non-agency subordinated bonds. Its Interest Rate Sensitive Strategies segment engages in investing in mortgage servicing rights, excess servicing spreads, and agency and senior non-agency mortgage-backed securities (MBS), as well as related interest rate hedging activities. The company's Correspondent Production segment is involved in purchasing, pooling, and reselling newly originated prime credit residential loans directly or in the form of MBS. PNMAC Capital Management, LLC acts as the manager of PennyMac Mortgage Investment Trust. The company qualifies as a real estate investment trust for federal income tax purposes. It generally would not be subject to federal corporate income taxes if it distributes at least 90% of its taxable income to its shareholders. PennyMac Mortgage Investment Trust was founded in 2009 and is headquartered in Westlake Village, California.","{'maxAge': 1, 'name': 'Mr. William  Chang', 'title': 'Sr. MD & Chief Investment Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1,6,2,4,3,1693526400,1672444800,86400,2,12.98,12.89,12.83,13.015,12.98,12.89,12.83,13.015,1.6,0.1237,1697068800,2.8525,10.71,1.408367,21.196722,9.369565,1782338,1782338,629727,625800,625800,12.96,12.96,900,1400,1121811968,10.78,15.78,1.8861718,13.1918,13.07395,1.67,0.12865947,USD,12534268928,0.17132999,70512786,86760400,3187580,2979588,1690761600,1693440000,0.0367,0.01011,0.71659,5.67,0.053400002,16.021,0.8070657,1672444800,1703980800,1688083200,59675000,0.61,1.38,2.59,21.075,NYQ,EQUITY,PMT,PMT,PennyMac Mortgage Investment Tr,PennyMac Mortgage Investment Trust,1248960600,America/New_York,EDT,-14400000,12.93,15.0,12.5,13.69,13.5,2.7,hold,8,267816992,3.087,11138792448,0.285,0.7,594755968,576.692,6.688,0.0076599997,0.05092,-321203000,850444032,0.75084996,0.0,0.28676,USD,
5,3043 Townsgate Road,Westlake Village,CA,91361,United States,818 224 7442,https://www.pennymacmortgageinvestmenttrust.com,REIT—Mortgage,Real Estate,"PennyMac Mortgage Investment Trust, a specialty finance company, primarily invests in mortgage-related assets in the United States. It operates through four segments: Credit Sensitive Strategies, Interest Rate Sensitive Strategies, Correspondent Production, and Corporate. The company's Credit Sensitive Strategies segment invests in credit risk transfer (CRT) agreements, CRT securities, distressed loans, real estate, and non-agency subordinated bonds. Its Interest Rate Sensitive Strategies segment engages in investing in mortgage servicing rights, excess servicing spreads, and agency and senior non-agency mortgage-backed securities (MBS), as well as related interest rate hedging activities. The company's Correspondent Production segment is involved in purchasing, pooling, and reselling newly originated prime credit residential loans directly or in the form of MBS. PNMAC Capital Management, LLC acts as the manager of PennyMac Mortgage Investment Trust. The company qualifies as a real estate investment trust for federal income tax purposes. It generally would not be subject to federal corporate income taxes if it distributes at least 90% of its taxable income to its shareholders. PennyMac Mortgage Investment Trust was founded in 2009 and is headquartered in Westlake Village, California.","{'maxAge': 1, 'name': 'Mr. Gregory L. Hendry', 'age': 61, 'title': 'Chief Accounting Officer', 'yearBorn': 1961, 'exercisedValue': 0, 'unexercisedValue': 0}",1,6,2,4,3,1693526400,1672444800,86400,2,12.98,12.89,12.83,13.015,12.98,12.89,12.83,13.015,1.6,0.1237,1697068800,2.8525,10.71,1.408367,21.196722,9.369565,1782338,1782338,629727,625800,625800,12.96,12.96,900,1400,1121811968,10.78,15.78,1.8861718,13.1918,13.07395,1.67,0.12865947,USD,12534268928,0.17132999,70512786,86760400,3187580,2979588,1690761600,1693440000,0.0367,0.01011,0.71659,5.67,0.053400002,16.021,0.8070657,1672444800,1703980800,1688083200,59675000,0.61,1.38,2.59,21.075,NYQ,EQUITY,PMT,PMT,PennyMac Mortgage Investment Tr,PennyMac Mortgage Investment Trust,1248960600,America/New_York,EDT,-14400000,12.93,15.0,12.5,13.69,13.5,2.7,hold,8,267816992,3.087,11138792448,0.285,0.7,594755968,576.692,6.688,0.0076599997,0.05092,-321203000,850444032,0.75084996,0.0,0.28676,USD,
6,3043 Townsgate Road,Westlake Village,CA,91361,United States,818 224 7442,https://www.pennymacmortgageinvestmenttrust.com,REIT—Mortgage,Real Estate,"PennyMac Mortgage Investment Trust, a specialty finance company, primarily invests in mortgage-related assets in the United States. It operates through four segments: Credit Sensitive Strategies, Interest Rate Sensitive Strategies, Correspondent Production, and Corporate. The company's Credit Sensitive Strategies segment invests in credit risk transfer (CRT) agreements, CRT securities, distressed loans, real estate, and non-agency subordinated bonds. Its Interest Rate Sensitive Strategies segment engages in investing in mortgage servicing rights, excess servicing spreads, and agency and senior non-agency mortgage-backed securities (MBS), as well as related interest rate hedging activities. The company's Correspondent Production segment is involved in purchasing, pooling, and reselling newly originated prime credit residential loans directly or in the form of MBS. PNMAC Capital Management, LLC acts as the manager of PennyMac Mortgage Investment Trust. The company qualifies as a real estate investment trust for federal income tax purposes. It generally would not be subject to federal corporate income taxes if it distributes at least 90% of its taxable income to its shareholders. PennyMac Mortgage Investment Trust was founded in 2009 and is headquartered in Westlake Village, California.","{'maxAge': 1, 'name': 'Mr. Kevin  Chamberlain', 'title': 'Exec. VP of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",1,6,2,4,3,1693526400,1672444800,86400,2,12.98,12.89,12.83,13.015,12.98,12.89,12.83,13.015,1.6,0.1237,1697068800,2.8525,10.71,1.408367,21.196722,9.369565,1782338,1782338,629727,625800,625800,12.96,12.96,900,1400,1121811968,10.78,15.78,1.8861718,13.1918,13.07395,1.67,0.12865947,USD,12534268928,0.17132999,70512786,86760400,3187580,2979588,1690761600,1693440000,0.0367,0.01011,0.71659,5.67,0.053400002,16.021,0.8070657,1672444800,1703980800,1688083200,59675000,0.61,1.38,2.59,21.075,NYQ,EQUITY,PMT,PMT,PennyMac Mortgage Investment Tr,PennyMac Mortgage Investment Trust,1248960600,America/New_York,EDT,-14400000,12.93,15.0,12.5,13.69,13.5,2.7,hold,8,267816992,3.087,11138792448,0.285,0.7,594755968,576.692,6.688,0.0076599997,0.05092,-321203000,850444032,0.75084996,0.0,0.28676,USD,
7,3043 Townsgate Road,Westlake Village,CA,91361,United States,818 224 7442,https://www.pennymacmortgageinvestmenttrust.com,REIT—Mortgage,Real Estate,"PennyMac Mortgage Investment Trust, a specialty finance company, primarily invests in mortgage-related assets in the United States. It operates through four segments: Credit Sensitive Strategies, Interest Rate Sensitive Strategies, Correspondent Production, and Corporate. The company's Credit Sensitive Strategies segment invests in credit risk transfer (CRT) agreements, CRT securities, distressed loans, real estate, and non-agency subordinated bonds. Its Interest Rate Sensitive Strategies segment engages in investing in mortgage servicing rights, excess servicing spreads, and agency and senior non-agency mortgage-backed securities (MBS), as well as related interest rate hedging activities. The company's Correspondent Production segment is involved in purchasing, pooling, and reselling newly originated prime credit residential loans directly or in the form of MBS. PNMAC Capital Management, LLC acts as the manager of PennyMac Mortgage Investment Trust. The company qualifies as a real estate investment trust for federal income tax purposes. It generally would not be subject to federal corporate income taxes if it distributes at least 90% of its taxable income to its shareholders. PennyMac Mortgage Investment Trust was founded in 2009 and is headquartered in Westlake Village, California.","{'maxAge': 1, 'name': 'Mr. James  Follette', 'age': 49, 'title': 'Sr. MD & Chief Mortgage Operations Officer', 'yearBorn': 1973, 'exercisedValue': 0, 'unexercisedValue': 0}",1,6,2,4,3,1693526400,1672444800,86400,2,12.98,12.89,12.83,13.015,12.98,12.89,12.83,13.015,1.6,0.1237,1697068800,2.8525,10.71,1.408367,21.196722,9.369565,1782338,1782338,629727,625800,625800,12.96,12.96,900,1400,1121811968,10.78,15.78,1.8861718,13.1918,13.07395,1.67,0.12865947,USD,12534268928,0.17132999,70512786,86760400,3187580,2979588,1690761600,1693440000,0.0367,0.01011,0.71659,5.67,0.053400002,16.021,0.8070657,1672444800,1703980800,1688083200,59675000,0.61,1.38,2.59,21.075,NYQ,EQUITY,PMT,PMT,PennyMac Mortgage Investment Tr,PennyMac Mortgage Investment Trust,1248960600,America/New_York,EDT,-14400000,12.93,15.0,12.5,13.69,13.5,2.7,hold,8,267816992,3.087,11138792448,0.285,0.7,594755968,576.692,6.688,0.0076599997,0.05092,-321203000,850444032,0.75084996,0.0,0.28676,USD,
8,3043 Townsgate Road,Westlake Village,CA,91361,United States,818 224 7442,https://www.pennymacmortgageinvestmenttrust.com,REIT—Mortgage,Real Estate,"PennyMac Mortgage Investment Trust, a specialty finance company, primarily invests in mortgage-related assets in the United States. It operates through four segments: Credit Sensitive Strategies, Interest Rate Sensitive Strategies, Correspondent Production, and Corporate. The company's Credit Sensitive Strategies segment invests in credit risk transfer (CRT) agreements, CRT securities, distressed loans, real estate, and non-agency subordinated bonds. Its Interest Rate Sensitive Strategies segment engages in investing in mortgage servicing rights, excess servicing spreads, and agency and senior non-agency mortgage-backed securities (MBS), as well as related interest rate hedging activities. The company's Correspondent Production segment is involved in purchasing, pooling, and reselling newly originated prime credit residential loans directly or in the form of MBS. PNMAC Capital Management, LLC acts as the manager of PennyMac Mortgage Investment Trust. The company qualifies as a real estate investment trust for federal income tax purposes. It generally would not be subject to federal corporate income taxes if it distributes at least 90% of its taxable income to its shareholders. PennyMac Mortgage Investment Trust was founded in 2009 and is headquartered in Westlake Village, California.","{'maxAge': 1, 'name': 'Mr. Scott  Bridges', 'title': 'Sr. Managing Director of Consumer Direct Lending Division', 'exercisedValue': 0, 'unexercisedValue': 0}",1,6,2,4,3,1693526400,1672444800,86400,2,12.98,12.89,12.83,13.015,12.98,12.89,12.83,13.015,1.6,0.1237,1697068800,2.8525,10.71,1.408367,21.196722,9.369565,1782338,1782338,629727,625800,625800,12.96,12.96,900,1400,1121811968,10.78,15.78,1.8861718,13.1918,13.07395,1.67,0.12865947,USD,12534268928,0.17132999,70512786,86760400,3187580,2979588,1690761600,1693440000,0.0367,0.01011,0.71659,5.67,0.053400002,16.021,0.8070657,1672444800,1703980800,1688083200,59675000,0.61,1.38,2.59,21.075,NYQ,EQUITY,PMT,PMT,PennyMac Mortgage Investment Tr,PennyMac Mortgage Investment Trust,1248960600,America/New_York,EDT,-14400000,12.93,15.0,12.5,13.69,13.5,2.7,hold,8,267816992,3.087,11138792448,0.285,0.7,594755968,576.692,6.688,0.0076599997,0.05092,-321203000,850444032,0.75084996,0.0,0.28676,USD,
9,3043 Townsgate Road,Westlake Village,CA,91361,United States,818 224 7442,https://www.pennymacmortgageinvestmenttrust.com,REIT—Mortgage,Real Estate,"PennyMac Mortgage Investment Trust, a specialty finance company, primarily invests in mortgage-related assets in the United States. It operates through four segments: Credit Sensitive Strategies, Interest Rate Sensitive Strategies, Correspondent Production, and Corporate. The company's Credit Sensitive Strategies segment invests in credit risk transfer (CRT) agreements, CRT securities, distressed loans, real estate, and non-agency subordinated bonds. Its Interest Rate Sensitive Strategies segment engages in investing in mortgage servicing rights, excess servicing spreads, and agency and senior non-agency mortgage-backed securities (MBS), as well as related interest rate hedging activities. The company's Correspondent Production segment is involved in purchasing, pooling, and reselling newly originated prime credit residential loans directly or in the form of MBS. PNMAC Capital Management, LLC acts as the manager of PennyMac Mortgage Investment Trust. The company qualifies as a real estate investment trust for federal income tax purposes. It generally would not be subject to federal corporate income taxes if it distributes at least 90% of its taxable income to its shareholders. PennyMac Mortgage Investment Trust was founded in 2009 and is headquartered in Westlake Village, California.","{'maxAge': 1, 'name': 'Ms. Pamela K. Marsh CPA', 'title': 'MD & Treasurer', 'exercisedValue': 0, 'unexercisedValue': 0}",1,6,2,4,3,1693526400,1672444800,86400,2,12.98,12.89,12.83,13.015,12.98,12.89,12.83,13.015,1.6,0.1237,1697068800,2.8525,10.71,1.408367,21.196722,9.369565,1782338,1782338,629727,625800,625800,12.96,12.96,900,1400,1121811968,10.78,15.78,1.8861718,13.1918,13.07395,1.67,0.12865947,USD,12534268928,0.17132999,70512786,86760400,3187580,2979588,1690761600,1693440000,0.0367,0.01011,0.71659,5.67,0.053400002,16.021,0.8070657,1672444800,1703980800,1688083200,59675000,0.61,1.38,2.59,21.075,NYQ,EQUITY,PMT,PMT,PennyMac Mortgage Investment Tr,PennyMac Mortgage Investment Trust,1248960600,America/New_York,EDT,-14400000,12.93,15.0,12.5,13.69,13.5,2.7,hold,8,267816992,3.087,11138792448,0.285,0.7,594755968,576.692,6.688,0.0076599997,0.05092,-321203000,850444032,0.75084996,0.0,0.28676,USD,
