,address1,city,state,zip,country,phone,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,111 West Congress Street,Charles Town,WV,25414,United States,304 724 3700,https://www.apei.com,Education & Training Services,Education & Training Services,Consumer Defensive,Consumer Defensive,"American Public Education, Inc., together with its subsidiaries, provides online and campus-based postsecondary education and career learning. It operates through three segments: American Public University System, Rasmussen University, and Hondros College of Nursing. The company offers 136 degree programs and 115 certificate programs in various fields of study, including nursing, public health, public administration, and business administration. It also provides nursing-and health sciences-focused postsecondary education, diploma in practical nursing, and an associate degree in nursing. The company was incorporated in 1991 and is headquartered in Charles Town, West Virginia.",2357,"{'maxAge': 1, 'name': 'Ms. Angela K. Selden', 'age': 56, 'title': 'Pres, CEO & Director', 'yearBorn': 1966, 'fiscalYear': 2022, 'totalPay': 1031834, 'exercisedValue': 0, 'unexercisedValue': 0}",3,1,3,2,1,1693526400,1672444800,86400,4,4.99,5.04,4.75,5.04,4.99,5.04,4.75,5.04,0.0,0.770746,239.00002,70324,70324,137738,51650,51650,4.5,4.92,1800,800,84961632,3.76,14.22,0.14186847,5.1552,7.82405,0.0,0.0,USD,220617632,-0.112320006,12498424,17774400,231059,280158,1690761600,1693440000,0.012999999,0.03306,0.97788,2.99,0.0143,17774400,13.798,0.34642702,1672444800,1703980800,1688083200,-70261000,-3.63,0.02,-0.09,0.368,7.888,-0.42478943,0.14113986,NMS,EQUITY,APEI,APEI,"American Public Education, Inc.","American Public Education, Inc.",1194618600,America/New_York,EDT,3461f919-8c1b-319a-9d25-973f4710d59c,finmb_25024657,-14400000,4.78,10.0,6.0,8.0,8.0,2.2,buy,3,112804000,6.346,27968000,208768992,1.856,2.386,598876032,73.283,32.077,-0.00369,-0.22389999,317856000,9039500,12323000,-0.016,0.5098,0.0467,-0.00601,USD,
1,111 West Congress Street,Charles Town,WV,25414,United States,304 724 3700,https://www.apei.com,Education & Training Services,Education & Training Services,Consumer Defensive,Consumer Defensive,"American Public Education, Inc., together with its subsidiaries, provides online and campus-based postsecondary education and career learning. It operates through three segments: American Public University System, Rasmussen University, and Hondros College of Nursing. The company offers 136 degree programs and 115 certificate programs in various fields of study, including nursing, public health, public administration, and business administration. It also provides nursing-and health sciences-focused postsecondary education, diploma in practical nursing, and an associate degree in nursing. The company was incorporated in 1991 and is headquartered in Charles Town, West Virginia.",2357,"{'maxAge': 1, 'name': 'Mr. Richard W. Sunderland Jr., CPA, CPA', 'age': 62, 'title': 'Exec. VP & CFO', 'yearBorn': 1960, 'fiscalYear': 2022, 'totalPay': 570484, 'exercisedValue': 0, 'unexercisedValue': 0}",3,1,3,2,1,1693526400,1672444800,86400,4,4.99,5.04,4.75,5.04,4.99,5.04,4.75,5.04,0.0,0.770746,239.00002,70324,70324,137738,51650,51650,4.5,4.92,1800,800,84961632,3.76,14.22,0.14186847,5.1552,7.82405,0.0,0.0,USD,220617632,-0.112320006,12498424,17774400,231059,280158,1690761600,1693440000,0.012999999,0.03306,0.97788,2.99,0.0143,17774400,13.798,0.34642702,1672444800,1703980800,1688083200,-70261000,-3.63,0.02,-0.09,0.368,7.888,-0.42478943,0.14113986,NMS,EQUITY,APEI,APEI,"American Public Education, Inc.","American Public Education, Inc.",1194618600,America/New_York,EDT,3461f919-8c1b-319a-9d25-973f4710d59c,finmb_25024657,-14400000,4.78,10.0,6.0,8.0,8.0,2.2,buy,3,112804000,6.346,27968000,208768992,1.856,2.386,598876032,73.283,32.077,-0.00369,-0.22389999,317856000,9039500,12323000,-0.016,0.5098,0.0467,-0.00601,USD,
2,111 West Congress Street,Charles Town,WV,25414,United States,304 724 3700,https://www.apei.com,Education & Training Services,Education & Training Services,Consumer Defensive,Consumer Defensive,"American Public Education, Inc., together with its subsidiaries, provides online and campus-based postsecondary education and career learning. It operates through three segments: American Public University System, Rasmussen University, and Hondros College of Nursing. The company offers 136 degree programs and 115 certificate programs in various fields of study, including nursing, public health, public administration, and business administration. It also provides nursing-and health sciences-focused postsecondary education, diploma in practical nursing, and an associate degree in nursing. The company was incorporated in 1991 and is headquartered in Charles Town, West Virginia.",2357,"{'maxAge': 1, 'name': 'Mr. Thomas A. Beckett', 'age': 54, 'title': 'Sr. VP, Gen. Counsel & Sec.', 'yearBorn': 1968, 'fiscalYear': 2022, 'totalPay': 407670, 'exercisedValue': 0, 'unexercisedValue': 0}",3,1,3,2,1,1693526400,1672444800,86400,4,4.99,5.04,4.75,5.04,4.99,5.04,4.75,5.04,0.0,0.770746,239.00002,70324,70324,137738,51650,51650,4.5,4.92,1800,800,84961632,3.76,14.22,0.14186847,5.1552,7.82405,0.0,0.0,USD,220617632,-0.112320006,12498424,17774400,231059,280158,1690761600,1693440000,0.012999999,0.03306,0.97788,2.99,0.0143,17774400,13.798,0.34642702,1672444800,1703980800,1688083200,-70261000,-3.63,0.02,-0.09,0.368,7.888,-0.42478943,0.14113986,NMS,EQUITY,APEI,APEI,"American Public Education, Inc.","American Public Education, Inc.",1194618600,America/New_York,EDT,3461f919-8c1b-319a-9d25-973f4710d59c,finmb_25024657,-14400000,4.78,10.0,6.0,8.0,8.0,2.2,buy,3,112804000,6.346,27968000,208768992,1.856,2.386,598876032,73.283,32.077,-0.00369,-0.22389999,317856000,9039500,12323000,-0.016,0.5098,0.0467,-0.00601,USD,
3,111 West Congress Street,Charles Town,WV,25414,United States,304 724 3700,https://www.apei.com,Education & Training Services,Education & Training Services,Consumer Defensive,Consumer Defensive,"American Public Education, Inc., together with its subsidiaries, provides online and campus-based postsecondary education and career learning. It operates through three segments: American Public University System, Rasmussen University, and Hondros College of Nursing. The company offers 136 degree programs and 115 certificate programs in various fields of study, including nursing, public health, public administration, and business administration. It also provides nursing-and health sciences-focused postsecondary education, diploma in practical nursing, and an associate degree in nursing. The company was incorporated in 1991 and is headquartered in Charles Town, West Virginia.",2357,"{'maxAge': 1, 'name': 'Mr. Harry T. Wilkins CPA', 'age': 65, 'title': 'Chief Exec. Officer of Hondros College of Nursing', 'yearBorn': 1957, 'fiscalYear': 2022, 'totalPay': 444309, 'exercisedValue': 0, 'unexercisedValue': 0}",3,1,3,2,1,1693526400,1672444800,86400,4,4.99,5.04,4.75,5.04,4.99,5.04,4.75,5.04,0.0,0.770746,239.00002,70324,70324,137738,51650,51650,4.5,4.92,1800,800,84961632,3.76,14.22,0.14186847,5.1552,7.82405,0.0,0.0,USD,220617632,-0.112320006,12498424,17774400,231059,280158,1690761600,1693440000,0.012999999,0.03306,0.97788,2.99,0.0143,17774400,13.798,0.34642702,1672444800,1703980800,1688083200,-70261000,-3.63,0.02,-0.09,0.368,7.888,-0.42478943,0.14113986,NMS,EQUITY,APEI,APEI,"American Public Education, Inc.","American Public Education, Inc.",1194618600,America/New_York,EDT,3461f919-8c1b-319a-9d25-973f4710d59c,finmb_25024657,-14400000,4.78,10.0,6.0,8.0,8.0,2.2,buy,3,112804000,6.346,27968000,208768992,1.856,2.386,598876032,73.283,32.077,-0.00369,-0.22389999,317856000,9039500,12323000,-0.016,0.5098,0.0467,-0.00601,USD,
4,111 West Congress Street,Charles Town,WV,25414,United States,304 724 3700,https://www.apei.com,Education & Training Services,Education & Training Services,Consumer Defensive,Consumer Defensive,"American Public Education, Inc., together with its subsidiaries, provides online and campus-based postsecondary education and career learning. It operates through three segments: American Public University System, Rasmussen University, and Hondros College of Nursing. The company offers 136 degree programs and 115 certificate programs in various fields of study, including nursing, public health, public administration, and business administration. It also provides nursing-and health sciences-focused postsecondary education, diploma in practical nursing, and an associate degree in nursing. The company was incorporated in 1991 and is headquartered in Charles Town, West Virginia.",2357,"{'maxAge': 1, 'name': 'Mr. Craig S. MacGibbon', 'age': 58, 'title': 'Exec. VP & Chief Information Officer', 'yearBorn': 1964, 'exercisedValue': 0, 'unexercisedValue': 0}",3,1,3,2,1,1693526400,1672444800,86400,4,4.99,5.04,4.75,5.04,4.99,5.04,4.75,5.04,0.0,0.770746,239.00002,70324,70324,137738,51650,51650,4.5,4.92,1800,800,84961632,3.76,14.22,0.14186847,5.1552,7.82405,0.0,0.0,USD,220617632,-0.112320006,12498424,17774400,231059,280158,1690761600,1693440000,0.012999999,0.03306,0.97788,2.99,0.0143,17774400,13.798,0.34642702,1672444800,1703980800,1688083200,-70261000,-3.63,0.02,-0.09,0.368,7.888,-0.42478943,0.14113986,NMS,EQUITY,APEI,APEI,"American Public Education, Inc.","American Public Education, Inc.",1194618600,America/New_York,EDT,3461f919-8c1b-319a-9d25-973f4710d59c,finmb_25024657,-14400000,4.78,10.0,6.0,8.0,8.0,2.2,buy,3,112804000,6.346,27968000,208768992,1.856,2.386,598876032,73.283,32.077,-0.00369,-0.22389999,317856000,9039500,12323000,-0.016,0.5098,0.0467,-0.00601,USD,
5,111 West Congress Street,Charles Town,WV,25414,United States,304 724 3700,https://www.apei.com,Education & Training Services,Education & Training Services,Consumer Defensive,Consumer Defensive,"American Public Education, Inc., together with its subsidiaries, provides online and campus-based postsecondary education and career learning. It operates through three segments: American Public University System, Rasmussen University, and Hondros College of Nursing. The company offers 136 degree programs and 115 certificate programs in various fields of study, including nursing, public health, public administration, and business administration. It also provides nursing-and health sciences-focused postsecondary education, diploma in practical nursing, and an associate degree in nursing. The company was incorporated in 1991 and is headquartered in Charles Town, West Virginia.",2357,"{'maxAge': 1, 'name': 'Ryan  Koren', 'title': 'Assistant VP of Investor Relations & Corp. Devel.', 'exercisedValue': 0, 'unexercisedValue': 0}",3,1,3,2,1,1693526400,1672444800,86400,4,4.99,5.04,4.75,5.04,4.99,5.04,4.75,5.04,0.0,0.770746,239.00002,70324,70324,137738,51650,51650,4.5,4.92,1800,800,84961632,3.76,14.22,0.14186847,5.1552,7.82405,0.0,0.0,USD,220617632,-0.112320006,12498424,17774400,231059,280158,1690761600,1693440000,0.012999999,0.03306,0.97788,2.99,0.0143,17774400,13.798,0.34642702,1672444800,1703980800,1688083200,-70261000,-3.63,0.02,-0.09,0.368,7.888,-0.42478943,0.14113986,NMS,EQUITY,APEI,APEI,"American Public Education, Inc.","American Public Education, Inc.",1194618600,America/New_York,EDT,3461f919-8c1b-319a-9d25-973f4710d59c,finmb_25024657,-14400000,4.78,10.0,6.0,8.0,8.0,2.2,buy,3,112804000,6.346,27968000,208768992,1.856,2.386,598876032,73.283,32.077,-0.00369,-0.22389999,317856000,9039500,12323000,-0.016,0.5098,0.0467,-0.00601,USD,
6,111 West Congress Street,Charles Town,WV,25414,United States,304 724 3700,https://www.apei.com,Education & Training Services,Education & Training Services,Consumer Defensive,Consumer Defensive,"American Public Education, Inc., together with its subsidiaries, provides online and campus-based postsecondary education and career learning. It operates through three segments: American Public University System, Rasmussen University, and Hondros College of Nursing. The company offers 136 degree programs and 115 certificate programs in various fields of study, including nursing, public health, public administration, and business administration. It also provides nursing-and health sciences-focused postsecondary education, diploma in practical nursing, and an associate degree in nursing. The company was incorporated in 1991 and is headquartered in Charles Town, West Virginia.",2357,"{'maxAge': 1, 'name': 'Frank  Tutalo', 'title': 'Director of PR', 'exercisedValue': 0, 'unexercisedValue': 0}",3,1,3,2,1,1693526400,1672444800,86400,4,4.99,5.04,4.75,5.04,4.99,5.04,4.75,5.04,0.0,0.770746,239.00002,70324,70324,137738,51650,51650,4.5,4.92,1800,800,84961632,3.76,14.22,0.14186847,5.1552,7.82405,0.0,0.0,USD,220617632,-0.112320006,12498424,17774400,231059,280158,1690761600,1693440000,0.012999999,0.03306,0.97788,2.99,0.0143,17774400,13.798,0.34642702,1672444800,1703980800,1688083200,-70261000,-3.63,0.02,-0.09,0.368,7.888,-0.42478943,0.14113986,NMS,EQUITY,APEI,APEI,"American Public Education, Inc.","American Public Education, Inc.",1194618600,America/New_York,EDT,3461f919-8c1b-319a-9d25-973f4710d59c,finmb_25024657,-14400000,4.78,10.0,6.0,8.0,8.0,2.2,buy,3,112804000,6.346,27968000,208768992,1.856,2.386,598876032,73.283,32.077,-0.00369,-0.22389999,317856000,9039500,12323000,-0.016,0.5098,0.0467,-0.00601,USD,
7,111 West Congress Street,Charles Town,WV,25414,United States,304 724 3700,https://www.apei.com,Education & Training Services,Education & Training Services,Consumer Defensive,Consumer Defensive,"American Public Education, Inc., together with its subsidiaries, provides online and campus-based postsecondary education and career learning. It operates through three segments: American Public University System, Rasmussen University, and Hondros College of Nursing. The company offers 136 degree programs and 115 certificate programs in various fields of study, including nursing, public health, public administration, and business administration. It also provides nursing-and health sciences-focused postsecondary education, diploma in practical nursing, and an associate degree in nursing. The company was incorporated in 1991 and is headquartered in Charles Town, West Virginia.",2357,"{'maxAge': 1, 'name': 'Mr. Steven M. Somers C.F.A., CFA', 'title': 'Sr. VP, Chief Strategy & Corp. Devel. Officer and Acting Pres of GS USA', 'exercisedValue': 0, 'unexercisedValue': 0}",3,1,3,2,1,1693526400,1672444800,86400,4,4.99,5.04,4.75,5.04,4.99,5.04,4.75,5.04,0.0,0.770746,239.00002,70324,70324,137738,51650,51650,4.5,4.92,1800,800,84961632,3.76,14.22,0.14186847,5.1552,7.82405,0.0,0.0,USD,220617632,-0.112320006,12498424,17774400,231059,280158,1690761600,1693440000,0.012999999,0.03306,0.97788,2.99,0.0143,17774400,13.798,0.34642702,1672444800,1703980800,1688083200,-70261000,-3.63,0.02,-0.09,0.368,7.888,-0.42478943,0.14113986,NMS,EQUITY,APEI,APEI,"American Public Education, Inc.","American Public Education, Inc.",1194618600,America/New_York,EDT,3461f919-8c1b-319a-9d25-973f4710d59c,finmb_25024657,-14400000,4.78,10.0,6.0,8.0,8.0,2.2,buy,3,112804000,6.346,27968000,208768992,1.856,2.386,598876032,73.283,32.077,-0.00369,-0.22389999,317856000,9039500,12323000,-0.016,0.5098,0.0467,-0.00601,USD,
8,111 West Congress Street,Charles Town,WV,25414,United States,304 724 3700,https://www.apei.com,Education & Training Services,Education & Training Services,Consumer Defensive,Consumer Defensive,"American Public Education, Inc., together with its subsidiaries, provides online and campus-based postsecondary education and career learning. It operates through three segments: American Public University System, Rasmussen University, and Hondros College of Nursing. The company offers 136 degree programs and 115 certificate programs in various fields of study, including nursing, public health, public administration, and business administration. It also provides nursing-and health sciences-focused postsecondary education, diploma in practical nursing, and an associate degree in nursing. The company was incorporated in 1991 and is headquartered in Charles Town, West Virginia.",2357,"{'maxAge': 1, 'name': 'Ms. Tanya J. Axenson', 'age': 46, 'title': 'Sr. VP & Chief Human Resource Officer', 'yearBorn': 1976, 'exercisedValue': 0, 'unexercisedValue': 0}",3,1,3,2,1,1693526400,1672444800,86400,4,4.99,5.04,4.75,5.04,4.99,5.04,4.75,5.04,0.0,0.770746,239.00002,70324,70324,137738,51650,51650,4.5,4.92,1800,800,84961632,3.76,14.22,0.14186847,5.1552,7.82405,0.0,0.0,USD,220617632,-0.112320006,12498424,17774400,231059,280158,1690761600,1693440000,0.012999999,0.03306,0.97788,2.99,0.0143,17774400,13.798,0.34642702,1672444800,1703980800,1688083200,-70261000,-3.63,0.02,-0.09,0.368,7.888,-0.42478943,0.14113986,NMS,EQUITY,APEI,APEI,"American Public Education, Inc.","American Public Education, Inc.",1194618600,America/New_York,EDT,3461f919-8c1b-319a-9d25-973f4710d59c,finmb_25024657,-14400000,4.78,10.0,6.0,8.0,8.0,2.2,buy,3,112804000,6.346,27968000,208768992,1.856,2.386,598876032,73.283,32.077,-0.00369,-0.22389999,317856000,9039500,12323000,-0.016,0.5098,0.0467,-0.00601,USD,
9,111 West Congress Street,Charles Town,WV,25414,United States,304 724 3700,https://www.apei.com,Education & Training Services,Education & Training Services,Consumer Defensive,Consumer Defensive,"American Public Education, Inc., together with its subsidiaries, provides online and campus-based postsecondary education and career learning. It operates through three segments: American Public University System, Rasmussen University, and Hondros College of Nursing. The company offers 136 degree programs and 115 certificate programs in various fields of study, including nursing, public health, public administration, and business administration. It also provides nursing-and health sciences-focused postsecondary education, diploma in practical nursing, and an associate degree in nursing. The company was incorporated in 1991 and is headquartered in Charles Town, West Virginia.",2357,"{'maxAge': 1, 'name': 'Mr. Andy  McShane', 'title': 'Sr. VP of Engagement, Automation & Performance Analytics', 'exercisedValue': 0, 'unexercisedValue': 0}",3,1,3,2,1,1693526400,1672444800,86400,4,4.99,5.04,4.75,5.04,4.99,5.04,4.75,5.04,0.0,0.770746,239.00002,70324,70324,137738,51650,51650,4.5,4.92,1800,800,84961632,3.76,14.22,0.14186847,5.1552,7.82405,0.0,0.0,USD,220617632,-0.112320006,12498424,17774400,231059,280158,1690761600,1693440000,0.012999999,0.03306,0.97788,2.99,0.0143,17774400,13.798,0.34642702,1672444800,1703980800,1688083200,-70261000,-3.63,0.02,-0.09,0.368,7.888,-0.42478943,0.14113986,NMS,EQUITY,APEI,APEI,"American Public Education, Inc.","American Public Education, Inc.",1194618600,America/New_York,EDT,3461f919-8c1b-319a-9d25-973f4710d59c,finmb_25024657,-14400000,4.78,10.0,6.0,8.0,8.0,2.2,buy,3,112804000,6.346,27968000,208768992,1.856,2.386,598876032,73.283,32.077,-0.00369,-0.22389999,317856000,9039500,12323000,-0.016,0.5098,0.0467,-0.00601,USD,
