,address1,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,50 Hudson Yards,New York,NY,10001,United States,212 810 5300,212 810 5801,https://www.blackrockbkcc.com,Asset Management,Financial Services,"BlackRock Capital Investment Corporation, formerly known as BlackRock Kelso Capital Corporation, is a Business Development Company specializing in investments in middle market companies. The fund invests in all industries. It prefers to invest between $10 million and $50 million and can invest more or less in companies with EBITDA or operating cash flow between $10 million and $50 million. The fund invests in the form of senior and junior secured, unsecured, and subordinated debt securities and loans including cash flow, asset backed, and junior lien facilities and equity securities. It's equity investments can be structured in the form of warrants, preferred stock, common equity co-investments, and direct investments in common stock. The fund's debt investments are principally structured to provide for current cash interest and to a lesser extent non-cash interest, particularly with subordinated debt investments, through a pay-in-kind (PIK) feature. It can also make non-control investments.","{'maxAge': 1, 'name': 'Mr. James Edward Keenan C.F.A., CFA', 'age': 46, 'title': 'Chairman & Interim CEO', 'yearBorn': 1976, 'fiscalYear': 2022, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,3.82,3.78,3.71,3.82,3.82,3.78,3.71,3.82,0.4,0.1047,1694649600,2.6667001,12.85,1.402489,25.333332,8.260869,470407,470407,205706,411190,411190,3.73,3.81,4000,1400,275773216,3.03,3.95,3.820104,3.5704,3.5071,0.4,0.10471205,USD,549435520,0.14581001,72571904,384002,386747,1690761600,1693440000,0.0053,0.01351,0.1907,2.49,0.0054,4.327,0.87820655,1672444800,1703980800,1688083200,10525850,0.15,0.46,2.65,7.611,NMS,EQUITY,BKCC,BKCC,BlackRock Capital Investment Co,BlackRock Capital Investment Corporation,1182951000,America/New_York,EDT,-14400000,3.8,4.0,4.0,4.0,4.0,3.5,hold,1,12405398,0.171,284616192,1.052,1.072,72189976,90.634,0.993,0.05322,0.03241,57935794,23650696,-22944774,0.625,1.0,0.0,0.71032995,USD,
1,50 Hudson Yards,New York,NY,10001,United States,212 810 5300,212 810 5801,https://www.blackrockbkcc.com,Asset Management,Financial Services,"BlackRock Capital Investment Corporation, formerly known as BlackRock Kelso Capital Corporation, is a Business Development Company specializing in investments in middle market companies. The fund invests in all industries. It prefers to invest between $10 million and $50 million and can invest more or less in companies with EBITDA or operating cash flow between $10 million and $50 million. The fund invests in the form of senior and junior secured, unsecured, and subordinated debt securities and loans including cash flow, asset backed, and junior lien facilities and equity securities. It's equity investments can be structured in the form of warrants, preferred stock, common equity co-investments, and direct investments in common stock. The fund's debt investments are principally structured to provide for current cash interest and to a lesser extent non-cash interest, particularly with subordinated debt investments, through a pay-in-kind (PIK) feature. It can also make non-control investments.","{'maxAge': 1, 'name': 'Mr. Nik  Singhal CFA', 'age': 48, 'title': 'MD & Pres', 'yearBorn': 1974, 'fiscalYear': 2022, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,3.82,3.78,3.71,3.82,3.82,3.78,3.71,3.82,0.4,0.1047,1694649600,2.6667001,12.85,1.402489,25.333332,8.260869,470407,470407,205706,411190,411190,3.73,3.81,4000,1400,275773216,3.03,3.95,3.820104,3.5704,3.5071,0.4,0.10471205,USD,549435520,0.14581001,72571904,384002,386747,1690761600,1693440000,0.0053,0.01351,0.1907,2.49,0.0054,4.327,0.87820655,1672444800,1703980800,1688083200,10525850,0.15,0.46,2.65,7.611,NMS,EQUITY,BKCC,BKCC,BlackRock Capital Investment Co,BlackRock Capital Investment Corporation,1182951000,America/New_York,EDT,-14400000,3.8,4.0,4.0,4.0,4.0,3.5,hold,1,12405398,0.171,284616192,1.052,1.072,72189976,90.634,0.993,0.05322,0.03241,57935794,23650696,-22944774,0.625,1.0,0.0,0.71032995,USD,
2,50 Hudson Yards,New York,NY,10001,United States,212 810 5300,212 810 5801,https://www.blackrockbkcc.com,Asset Management,Financial Services,"BlackRock Capital Investment Corporation, formerly known as BlackRock Kelso Capital Corporation, is a Business Development Company specializing in investments in middle market companies. The fund invests in all industries. It prefers to invest between $10 million and $50 million and can invest more or less in companies with EBITDA or operating cash flow between $10 million and $50 million. The fund invests in the form of senior and junior secured, unsecured, and subordinated debt securities and loans including cash flow, asset backed, and junior lien facilities and equity securities. It's equity investments can be structured in the form of warrants, preferred stock, common equity co-investments, and direct investments in common stock. The fund's debt investments are principally structured to provide for current cash interest and to a lesser extent non-cash interest, particularly with subordinated debt investments, through a pay-in-kind (PIK) feature. It can also make non-control investments.","{'maxAge': 1, 'name': 'Mr. Chip  Holladay', 'age': 47, 'title': 'Interim CFO & Treasurer', 'yearBorn': 1975, 'fiscalYear': 2022, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,3.82,3.78,3.71,3.82,3.82,3.78,3.71,3.82,0.4,0.1047,1694649600,2.6667001,12.85,1.402489,25.333332,8.260869,470407,470407,205706,411190,411190,3.73,3.81,4000,1400,275773216,3.03,3.95,3.820104,3.5704,3.5071,0.4,0.10471205,USD,549435520,0.14581001,72571904,384002,386747,1690761600,1693440000,0.0053,0.01351,0.1907,2.49,0.0054,4.327,0.87820655,1672444800,1703980800,1688083200,10525850,0.15,0.46,2.65,7.611,NMS,EQUITY,BKCC,BKCC,BlackRock Capital Investment Co,BlackRock Capital Investment Corporation,1182951000,America/New_York,EDT,-14400000,3.8,4.0,4.0,4.0,4.0,3.5,hold,1,12405398,0.171,284616192,1.052,1.072,72189976,90.634,0.993,0.05322,0.03241,57935794,23650696,-22944774,0.625,1.0,0.0,0.71032995,USD,
3,50 Hudson Yards,New York,NY,10001,United States,212 810 5300,212 810 5801,https://www.blackrockbkcc.com,Asset Management,Financial Services,"BlackRock Capital Investment Corporation, formerly known as BlackRock Kelso Capital Corporation, is a Business Development Company specializing in investments in middle market companies. The fund invests in all industries. It prefers to invest between $10 million and $50 million and can invest more or less in companies with EBITDA or operating cash flow between $10 million and $50 million. The fund invests in the form of senior and junior secured, unsecured, and subordinated debt securities and loans including cash flow, asset backed, and junior lien facilities and equity securities. It's equity investments can be structured in the form of warrants, preferred stock, common equity co-investments, and direct investments in common stock. The fund's debt investments are principally structured to provide for current cash interest and to a lesser extent non-cash interest, particularly with subordinated debt investments, through a pay-in-kind (PIK) feature. It can also make non-control investments.","{'maxAge': 1, 'name': 'Mr. Laurence D. Paredes Esq.', 'age': 54, 'title': 'Gen. Counsel & Corp. Sec.', 'yearBorn': 1968, 'fiscalYear': 2022, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,3.82,3.78,3.71,3.82,3.82,3.78,3.71,3.82,0.4,0.1047,1694649600,2.6667001,12.85,1.402489,25.333332,8.260869,470407,470407,205706,411190,411190,3.73,3.81,4000,1400,275773216,3.03,3.95,3.820104,3.5704,3.5071,0.4,0.10471205,USD,549435520,0.14581001,72571904,384002,386747,1690761600,1693440000,0.0053,0.01351,0.1907,2.49,0.0054,4.327,0.87820655,1672444800,1703980800,1688083200,10525850,0.15,0.46,2.65,7.611,NMS,EQUITY,BKCC,BKCC,BlackRock Capital Investment Co,BlackRock Capital Investment Corporation,1182951000,America/New_York,EDT,-14400000,3.8,4.0,4.0,4.0,4.0,3.5,hold,1,12405398,0.171,284616192,1.052,1.072,72189976,90.634,0.993,0.05322,0.03241,57935794,23650696,-22944774,0.625,1.0,0.0,0.71032995,USD,
4,50 Hudson Yards,New York,NY,10001,United States,212 810 5300,212 810 5801,https://www.blackrockbkcc.com,Asset Management,Financial Services,"BlackRock Capital Investment Corporation, formerly known as BlackRock Kelso Capital Corporation, is a Business Development Company specializing in investments in middle market companies. The fund invests in all industries. It prefers to invest between $10 million and $50 million and can invest more or less in companies with EBITDA or operating cash flow between $10 million and $50 million. The fund invests in the form of senior and junior secured, unsecured, and subordinated debt securities and loans including cash flow, asset backed, and junior lien facilities and equity securities. It's equity investments can be structured in the form of warrants, preferred stock, common equity co-investments, and direct investments in common stock. The fund's debt investments are principally structured to provide for current cash interest and to a lesser extent non-cash interest, particularly with subordinated debt investments, through a pay-in-kind (PIK) feature. It can also make non-control investments.","{'maxAge': 1, 'name': 'Mr. Charles Choon Sik Park', 'age': 55, 'title': 'Chief Compliance Officer', 'yearBorn': 1967, 'fiscalYear': 2022, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,3.82,3.78,3.71,3.82,3.82,3.78,3.71,3.82,0.4,0.1047,1694649600,2.6667001,12.85,1.402489,25.333332,8.260869,470407,470407,205706,411190,411190,3.73,3.81,4000,1400,275773216,3.03,3.95,3.820104,3.5704,3.5071,0.4,0.10471205,USD,549435520,0.14581001,72571904,384002,386747,1690761600,1693440000,0.0053,0.01351,0.1907,2.49,0.0054,4.327,0.87820655,1672444800,1703980800,1688083200,10525850,0.15,0.46,2.65,7.611,NMS,EQUITY,BKCC,BKCC,BlackRock Capital Investment Co,BlackRock Capital Investment Corporation,1182951000,America/New_York,EDT,-14400000,3.8,4.0,4.0,4.0,4.0,3.5,hold,1,12405398,0.171,284616192,1.052,1.072,72189976,90.634,0.993,0.05322,0.03241,57935794,23650696,-22944774,0.625,1.0,0.0,0.71032995,USD,
5,50 Hudson Yards,New York,NY,10001,United States,212 810 5300,212 810 5801,https://www.blackrockbkcc.com,Asset Management,Financial Services,"BlackRock Capital Investment Corporation, formerly known as BlackRock Kelso Capital Corporation, is a Business Development Company specializing in investments in middle market companies. The fund invests in all industries. It prefers to invest between $10 million and $50 million and can invest more or less in companies with EBITDA or operating cash flow between $10 million and $50 million. The fund invests in the form of senior and junior secured, unsecured, and subordinated debt securities and loans including cash flow, asset backed, and junior lien facilities and equity securities. It's equity investments can be structured in the form of warrants, preferred stock, common equity co-investments, and direct investments in common stock. The fund's debt investments are principally structured to provide for current cash interest and to a lesser extent non-cash interest, particularly with subordinated debt investments, through a pay-in-kind (PIK) feature. It can also make non-control investments.","{'maxAge': 1, 'name': 'Mr. R. Marshall Merriman', 'title': 'MD & Vice Chairman of Blackrock US Private Capital Group', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,3.82,3.78,3.71,3.82,3.82,3.78,3.71,3.82,0.4,0.1047,1694649600,2.6667001,12.85,1.402489,25.333332,8.260869,470407,470407,205706,411190,411190,3.73,3.81,4000,1400,275773216,3.03,3.95,3.820104,3.5704,3.5071,0.4,0.10471205,USD,549435520,0.14581001,72571904,384002,386747,1690761600,1693440000,0.0053,0.01351,0.1907,2.49,0.0054,4.327,0.87820655,1672444800,1703980800,1688083200,10525850,0.15,0.46,2.65,7.611,NMS,EQUITY,BKCC,BKCC,BlackRock Capital Investment Co,BlackRock Capital Investment Corporation,1182951000,America/New_York,EDT,-14400000,3.8,4.0,4.0,4.0,4.0,3.5,hold,1,12405398,0.171,284616192,1.052,1.072,72189976,90.634,0.993,0.05322,0.03241,57935794,23650696,-22944774,0.625,1.0,0.0,0.71032995,USD,
6,50 Hudson Yards,New York,NY,10001,United States,212 810 5300,212 810 5801,https://www.blackrockbkcc.com,Asset Management,Financial Services,"BlackRock Capital Investment Corporation, formerly known as BlackRock Kelso Capital Corporation, is a Business Development Company specializing in investments in middle market companies. The fund invests in all industries. It prefers to invest between $10 million and $50 million and can invest more or less in companies with EBITDA or operating cash flow between $10 million and $50 million. The fund invests in the form of senior and junior secured, unsecured, and subordinated debt securities and loans including cash flow, asset backed, and junior lien facilities and equity securities. It's equity investments can be structured in the form of warrants, preferred stock, common equity co-investments, and direct investments in common stock. The fund's debt investments are principally structured to provide for current cash interest and to a lesser extent non-cash interest, particularly with subordinated debt investments, through a pay-in-kind (PIK) feature. It can also make non-control investments.","{'maxAge': 1, 'name': 'Mr. Jason A. Mehring', 'age': 50, 'title': 'Managing Director', 'yearBorn': 1972, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,3.82,3.78,3.71,3.82,3.82,3.78,3.71,3.82,0.4,0.1047,1694649600,2.6667001,12.85,1.402489,25.333332,8.260869,470407,470407,205706,411190,411190,3.73,3.81,4000,1400,275773216,3.03,3.95,3.820104,3.5704,3.5071,0.4,0.10471205,USD,549435520,0.14581001,72571904,384002,386747,1690761600,1693440000,0.0053,0.01351,0.1907,2.49,0.0054,4.327,0.87820655,1672444800,1703980800,1688083200,10525850,0.15,0.46,2.65,7.611,NMS,EQUITY,BKCC,BKCC,BlackRock Capital Investment Co,BlackRock Capital Investment Corporation,1182951000,America/New_York,EDT,-14400000,3.8,4.0,4.0,4.0,4.0,3.5,hold,1,12405398,0.171,284616192,1.052,1.072,72189976,90.634,0.993,0.05322,0.03241,57935794,23650696,-22944774,0.625,1.0,0.0,0.71032995,USD,
7,50 Hudson Yards,New York,NY,10001,United States,212 810 5300,212 810 5801,https://www.blackrockbkcc.com,Asset Management,Financial Services,"BlackRock Capital Investment Corporation, formerly known as BlackRock Kelso Capital Corporation, is a Business Development Company specializing in investments in middle market companies. The fund invests in all industries. It prefers to invest between $10 million and $50 million and can invest more or less in companies with EBITDA or operating cash flow between $10 million and $50 million. The fund invests in the form of senior and junior secured, unsecured, and subordinated debt securities and loans including cash flow, asset backed, and junior lien facilities and equity securities. It's equity investments can be structured in the form of warrants, preferred stock, common equity co-investments, and direct investments in common stock. The fund's debt investments are principally structured to provide for current cash interest and to a lesser extent non-cash interest, particularly with subordinated debt investments, through a pay-in-kind (PIK) feature. It can also make non-control investments.","{'maxAge': 1, 'name': 'Mr. Mark J. Williams', 'title': 'Managing Director', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,3.82,3.78,3.71,3.82,3.82,3.78,3.71,3.82,0.4,0.1047,1694649600,2.6667001,12.85,1.402489,25.333332,8.260869,470407,470407,205706,411190,411190,3.73,3.81,4000,1400,275773216,3.03,3.95,3.820104,3.5704,3.5071,0.4,0.10471205,USD,549435520,0.14581001,72571904,384002,386747,1690761600,1693440000,0.0053,0.01351,0.1907,2.49,0.0054,4.327,0.87820655,1672444800,1703980800,1688083200,10525850,0.15,0.46,2.65,7.611,NMS,EQUITY,BKCC,BKCC,BlackRock Capital Investment Co,BlackRock Capital Investment Corporation,1182951000,America/New_York,EDT,-14400000,3.8,4.0,4.0,4.0,4.0,3.5,hold,1,12405398,0.171,284616192,1.052,1.072,72189976,90.634,0.993,0.05322,0.03241,57935794,23650696,-22944774,0.625,1.0,0.0,0.71032995,USD,
8,50 Hudson Yards,New York,NY,10001,United States,212 810 5300,212 810 5801,https://www.blackrockbkcc.com,Asset Management,Financial Services,"BlackRock Capital Investment Corporation, formerly known as BlackRock Kelso Capital Corporation, is a Business Development Company specializing in investments in middle market companies. The fund invests in all industries. It prefers to invest between $10 million and $50 million and can invest more or less in companies with EBITDA or operating cash flow between $10 million and $50 million. The fund invests in the form of senior and junior secured, unsecured, and subordinated debt securities and loans including cash flow, asset backed, and junior lien facilities and equity securities. It's equity investments can be structured in the form of warrants, preferred stock, common equity co-investments, and direct investments in common stock. The fund's debt investments are principally structured to provide for current cash interest and to a lesser extent non-cash interest, particularly with subordinated debt investments, through a pay-in-kind (PIK) feature. It can also make non-control investments.","{'maxAge': 1, 'name': 'Mr. Aaron  Kless', 'title': 'Managing Director', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,3.82,3.78,3.71,3.82,3.82,3.78,3.71,3.82,0.4,0.1047,1694649600,2.6667001,12.85,1.402489,25.333332,8.260869,470407,470407,205706,411190,411190,3.73,3.81,4000,1400,275773216,3.03,3.95,3.820104,3.5704,3.5071,0.4,0.10471205,USD,549435520,0.14581001,72571904,384002,386747,1690761600,1693440000,0.0053,0.01351,0.1907,2.49,0.0054,4.327,0.87820655,1672444800,1703980800,1688083200,10525850,0.15,0.46,2.65,7.611,NMS,EQUITY,BKCC,BKCC,BlackRock Capital Investment Co,BlackRock Capital Investment Corporation,1182951000,America/New_York,EDT,-14400000,3.8,4.0,4.0,4.0,4.0,3.5,hold,1,12405398,0.171,284616192,1.052,1.072,72189976,90.634,0.993,0.05322,0.03241,57935794,23650696,-22944774,0.625,1.0,0.0,0.71032995,USD,
9,50 Hudson Yards,New York,NY,10001,United States,212 810 5300,212 810 5801,https://www.blackrockbkcc.com,Asset Management,Financial Services,"BlackRock Capital Investment Corporation, formerly known as BlackRock Kelso Capital Corporation, is a Business Development Company specializing in investments in middle market companies. The fund invests in all industries. It prefers to invest between $10 million and $50 million and can invest more or less in companies with EBITDA or operating cash flow between $10 million and $50 million. The fund invests in the form of senior and junior secured, unsecured, and subordinated debt securities and loans including cash flow, asset backed, and junior lien facilities and equity securities. It's equity investments can be structured in the form of warrants, preferred stock, common equity co-investments, and direct investments in common stock. The fund's debt investments are principally structured to provide for current cash interest and to a lesser extent non-cash interest, particularly with subordinated debt investments, through a pay-in-kind (PIK) feature. It can also make non-control investments.","{'maxAge': 1, 'name': 'Mr. Alex  Dashiell C.F.A., CFA', 'title': 'Managing Director of US Private Capital Group', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,3.82,3.78,3.71,3.82,3.82,3.78,3.71,3.82,0.4,0.1047,1694649600,2.6667001,12.85,1.402489,25.333332,8.260869,470407,470407,205706,411190,411190,3.73,3.81,4000,1400,275773216,3.03,3.95,3.820104,3.5704,3.5071,0.4,0.10471205,USD,549435520,0.14581001,72571904,384002,386747,1690761600,1693440000,0.0053,0.01351,0.1907,2.49,0.0054,4.327,0.87820655,1672444800,1703980800,1688083200,10525850,0.15,0.46,2.65,7.611,NMS,EQUITY,BKCC,BKCC,BlackRock Capital Investment Co,BlackRock Capital Investment Corporation,1182951000,America/New_York,EDT,-14400000,3.8,4.0,4.0,4.0,4.0,3.5,hold,1,12405398,0.171,284616192,1.052,1.072,72189976,90.634,0.993,0.05322,0.03241,57935794,23650696,-22944774,0.625,1.0,0.0,0.71032995,USD,
