,address1,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Schottenring 30,Vienna,1010,Austria,43 50 390 22000,43 50 390 99 22000,https://www.vig.com,Insurance—Diversified,Financial Services,"Vienna Insurance Group AG, together with its subsidiaries, provides various insurance products and services in life, health, and property and casualty areas in Austria and internationally. The company offers motor own damage, rail vehicle own damage, aircraft own damage, transport, fire and natural hazards, third party liability, carrier, aircraft liability, general liability, credit, guarantee, legal expenses, assistance, marine, aviation, and travel health insurance products, as well as sea, lake, and river shipping own damage and liability insurance products. It also offers reinsurance products and services. The company sells its products through sales employees, banks, brokers, and agents. Vienna Insurance Group AG was founded in 1824 and is headquartered in Vienna, Austria. Vienna Insurance Group AG operates as a subsidiary of Wiener Städtische Wechselseitige Versicherungsverein - Vermögensverwaltung - Vienna Insurance Group.",29000,"{'maxAge': 1, 'name': 'Mr. Hartwig  Loger', 'age': 57, 'title': 'Chairman of the Managing Board, CEO & GM', 'yearBorn': 1965, 'fiscalYear': 2022, 'totalPay': 1309000, 'exercisedValue': 0, 'unexercisedValue': 0}",2,6,2,10,5,1693526400,1672444800,86400,2,25.65,25.8,25.65,25.85,25.65,25.8,25.65,25.85,1.3,0.0507,1685404800,0.1958,3.8855422,7.6557865,64969,64969,22841,26266,26266,25.65,23.1,55500,7500,3302400000,20.55,27.4,0.21901518,24.639,24.627,1.3,0.05068226,EUR,4436237824,0.043899998,35238400,128000000,0.72470003,0.08335,30.655,0.8416245,1672444800,1703980800,1688083200,2.061,654465984,6.64,3.37,1.12,7:1,1090195200,0.294,2.833,VIE,EQUITY,VIG.VI,VIG.VI,VIENNA INSURANCE GROUP AG,Vienna Insurance Group AG,946886100,Europe/Amsterdam,CEST,7200000,25.8,28.5,24.5,26.78,27.0,1.6,buy,5,1773993984,13.859,1566008448,2665587968,3.334,5.759,15078407168,44.712,93.674,0.03898,0.12666,1517624000,-9331264512,405907008,4.443,0.25847,0.10386,0.20073,EUR,
1,Schottenring 30,Vienna,1010,Austria,43 50 390 22000,43 50 390 99 22000,https://www.vig.com,Insurance—Diversified,Financial Services,"Vienna Insurance Group AG, together with its subsidiaries, provides various insurance products and services in life, health, and property and casualty areas in Austria and internationally. The company offers motor own damage, rail vehicle own damage, aircraft own damage, transport, fire and natural hazards, third party liability, carrier, aircraft liability, general liability, credit, guarantee, legal expenses, assistance, marine, aviation, and travel health insurance products, as well as sea, lake, and river shipping own damage and liability insurance products. It also offers reinsurance products and services. The company sells its products through sales employees, banks, brokers, and agents. Vienna Insurance Group AG was founded in 1824 and is headquartered in Vienna, Austria. Vienna Insurance Group AG operates as a subsidiary of Wiener Städtische Wechselseitige Versicherungsverein - Vermögensverwaltung - Vienna Insurance Group.",29000,"{'maxAge': 1, 'name': 'Magistrate Liane  Hirner', 'age': 54, 'title': 'Member of the Managing Board, Chief Fin. & Risk Officer', 'yearBorn': 1968, 'fiscalYear': 2022, 'totalPay': 1239000, 'exercisedValue': 0, 'unexercisedValue': 0}",2,6,2,10,5,1693526400,1672444800,86400,2,25.65,25.8,25.65,25.85,25.65,25.8,25.65,25.85,1.3,0.0507,1685404800,0.1958,3.8855422,7.6557865,64969,64969,22841,26266,26266,25.65,23.1,55500,7500,3302400000,20.55,27.4,0.21901518,24.639,24.627,1.3,0.05068226,EUR,4436237824,0.043899998,35238400,128000000,0.72470003,0.08335,30.655,0.8416245,1672444800,1703980800,1688083200,2.061,654465984,6.64,3.37,1.12,7:1,1090195200,0.294,2.833,VIE,EQUITY,VIG.VI,VIG.VI,VIENNA INSURANCE GROUP AG,Vienna Insurance Group AG,946886100,Europe/Amsterdam,CEST,7200000,25.8,28.5,24.5,26.78,27.0,1.6,buy,5,1773993984,13.859,1566008448,2665587968,3.334,5.759,15078407168,44.712,93.674,0.03898,0.12666,1517624000,-9331264512,405907008,4.443,0.25847,0.10386,0.20073,EUR,
2,Schottenring 30,Vienna,1010,Austria,43 50 390 22000,43 50 390 99 22000,https://www.vig.com,Insurance—Diversified,Financial Services,"Vienna Insurance Group AG, together with its subsidiaries, provides various insurance products and services in life, health, and property and casualty areas in Austria and internationally. The company offers motor own damage, rail vehicle own damage, aircraft own damage, transport, fire and natural hazards, third party liability, carrier, aircraft liability, general liability, credit, guarantee, legal expenses, assistance, marine, aviation, and travel health insurance products, as well as sea, lake, and river shipping own damage and liability insurance products. It also offers reinsurance products and services. The company sells its products through sales employees, banks, brokers, and agents. Vienna Insurance Group AG was founded in 1824 and is headquartered in Vienna, Austria. Vienna Insurance Group AG operates as a subsidiary of Wiener Städtische Wechselseitige Versicherungsverein - Vermögensverwaltung - Vienna Insurance Group.",29000,"{'maxAge': 1, 'name': 'Mr. Peter Franz Hofinger', 'age': 51, 'title': 'Deputy GM & Deputy Chairman of the Managing Board', 'yearBorn': 1971, 'fiscalYear': 2022, 'totalPay': 1239000, 'exercisedValue': 0, 'unexercisedValue': 0}",2,6,2,10,5,1693526400,1672444800,86400,2,25.65,25.8,25.65,25.85,25.65,25.8,25.65,25.85,1.3,0.0507,1685404800,0.1958,3.8855422,7.6557865,64969,64969,22841,26266,26266,25.65,23.1,55500,7500,3302400000,20.55,27.4,0.21901518,24.639,24.627,1.3,0.05068226,EUR,4436237824,0.043899998,35238400,128000000,0.72470003,0.08335,30.655,0.8416245,1672444800,1703980800,1688083200,2.061,654465984,6.64,3.37,1.12,7:1,1090195200,0.294,2.833,VIE,EQUITY,VIG.VI,VIG.VI,VIENNA INSURANCE GROUP AG,Vienna Insurance Group AG,946886100,Europe/Amsterdam,CEST,7200000,25.8,28.5,24.5,26.78,27.0,1.6,buy,5,1773993984,13.859,1566008448,2665587968,3.334,5.759,15078407168,44.712,93.674,0.03898,0.12666,1517624000,-9331264512,405907008,4.443,0.25847,0.10386,0.20073,EUR,
3,Schottenring 30,Vienna,1010,Austria,43 50 390 22000,43 50 390 99 22000,https://www.vig.com,Insurance—Diversified,Financial Services,"Vienna Insurance Group AG, together with its subsidiaries, provides various insurance products and services in life, health, and property and casualty areas in Austria and internationally. The company offers motor own damage, rail vehicle own damage, aircraft own damage, transport, fire and natural hazards, third party liability, carrier, aircraft liability, general liability, credit, guarantee, legal expenses, assistance, marine, aviation, and travel health insurance products, as well as sea, lake, and river shipping own damage and liability insurance products. It also offers reinsurance products and services. The company sells its products through sales employees, banks, brokers, and agents. Vienna Insurance Group AG was founded in 1824 and is headquartered in Vienna, Austria. Vienna Insurance Group AG operates as a subsidiary of Wiener Städtische Wechselseitige Versicherungsverein - Vermögensverwaltung - Vienna Insurance Group.",29000,"{'maxAge': 1, 'name': 'Mr. Gabor  Lehel', 'age': 45, 'title': 'Member of the Managing Board & CIO', 'yearBorn': 1977, 'fiscalYear': 2022, 'totalPay': 1180000, 'exercisedValue': 0, 'unexercisedValue': 0}",2,6,2,10,5,1693526400,1672444800,86400,2,25.65,25.8,25.65,25.85,25.65,25.8,25.65,25.85,1.3,0.0507,1685404800,0.1958,3.8855422,7.6557865,64969,64969,22841,26266,26266,25.65,23.1,55500,7500,3302400000,20.55,27.4,0.21901518,24.639,24.627,1.3,0.05068226,EUR,4436237824,0.043899998,35238400,128000000,0.72470003,0.08335,30.655,0.8416245,1672444800,1703980800,1688083200,2.061,654465984,6.64,3.37,1.12,7:1,1090195200,0.294,2.833,VIE,EQUITY,VIG.VI,VIG.VI,VIENNA INSURANCE GROUP AG,Vienna Insurance Group AG,946886100,Europe/Amsterdam,CEST,7200000,25.8,28.5,24.5,26.78,27.0,1.6,buy,5,1773993984,13.859,1566008448,2665587968,3.334,5.759,15078407168,44.712,93.674,0.03898,0.12666,1517624000,-9331264512,405907008,4.443,0.25847,0.10386,0.20073,EUR,
4,Schottenring 30,Vienna,1010,Austria,43 50 390 22000,43 50 390 99 22000,https://www.vig.com,Insurance—Diversified,Financial Services,"Vienna Insurance Group AG, together with its subsidiaries, provides various insurance products and services in life, health, and property and casualty areas in Austria and internationally. The company offers motor own damage, rail vehicle own damage, aircraft own damage, transport, fire and natural hazards, third party liability, carrier, aircraft liability, general liability, credit, guarantee, legal expenses, assistance, marine, aviation, and travel health insurance products, as well as sea, lake, and river shipping own damage and liability insurance products. It also offers reinsurance products and services. The company sells its products through sales employees, banks, brokers, and agents. Vienna Insurance Group AG was founded in 1824 and is headquartered in Vienna, Austria. Vienna Insurance Group AG operates as a subsidiary of Wiener Städtische Wechselseitige Versicherungsverein - Vermögensverwaltung - Vienna Insurance Group.",29000,"{'maxAge': 1, 'name': 'Magistrate Gerhard  Lahner M.Sc.', 'age': 45, 'title': 'Member of the Managing Board & COO', 'yearBorn': 1977, 'fiscalYear': 2022, 'totalPay': 1180000, 'exercisedValue': 0, 'unexercisedValue': 0}",2,6,2,10,5,1693526400,1672444800,86400,2,25.65,25.8,25.65,25.85,25.65,25.8,25.65,25.85,1.3,0.0507,1685404800,0.1958,3.8855422,7.6557865,64969,64969,22841,26266,26266,25.65,23.1,55500,7500,3302400000,20.55,27.4,0.21901518,24.639,24.627,1.3,0.05068226,EUR,4436237824,0.043899998,35238400,128000000,0.72470003,0.08335,30.655,0.8416245,1672444800,1703980800,1688083200,2.061,654465984,6.64,3.37,1.12,7:1,1090195200,0.294,2.833,VIE,EQUITY,VIG.VI,VIG.VI,VIENNA INSURANCE GROUP AG,Vienna Insurance Group AG,946886100,Europe/Amsterdam,CEST,7200000,25.8,28.5,24.5,26.78,27.0,1.6,buy,5,1773993984,13.859,1566008448,2665587968,3.334,5.759,15078407168,44.712,93.674,0.03898,0.12666,1517624000,-9331264512,405907008,4.443,0.25847,0.10386,0.20073,EUR,
5,Schottenring 30,Vienna,1010,Austria,43 50 390 22000,43 50 390 99 22000,https://www.vig.com,Insurance—Diversified,Financial Services,"Vienna Insurance Group AG, together with its subsidiaries, provides various insurance products and services in life, health, and property and casualty areas in Austria and internationally. The company offers motor own damage, rail vehicle own damage, aircraft own damage, transport, fire and natural hazards, third party liability, carrier, aircraft liability, general liability, credit, guarantee, legal expenses, assistance, marine, aviation, and travel health insurance products, as well as sea, lake, and river shipping own damage and liability insurance products. It also offers reinsurance products and services. The company sells its products through sales employees, banks, brokers, and agents. Vienna Insurance Group AG was founded in 1824 and is headquartered in Vienna, Austria. Vienna Insurance Group AG operates as a subsidiary of Wiener Städtische Wechselseitige Versicherungsverein - Vermögensverwaltung - Vienna Insurance Group.",29000,"{'maxAge': 1, 'name': 'Mr. Harald  Riener', 'age': 53, 'title': 'Member of the Managing Board', 'yearBorn': 1969, 'fiscalYear': 2022, 'totalPay': 1180000, 'exercisedValue': 0, 'unexercisedValue': 0}",2,6,2,10,5,1693526400,1672444800,86400,2,25.65,25.8,25.65,25.85,25.65,25.8,25.65,25.85,1.3,0.0507,1685404800,0.1958,3.8855422,7.6557865,64969,64969,22841,26266,26266,25.65,23.1,55500,7500,3302400000,20.55,27.4,0.21901518,24.639,24.627,1.3,0.05068226,EUR,4436237824,0.043899998,35238400,128000000,0.72470003,0.08335,30.655,0.8416245,1672444800,1703980800,1688083200,2.061,654465984,6.64,3.37,1.12,7:1,1090195200,0.294,2.833,VIE,EQUITY,VIG.VI,VIG.VI,VIENNA INSURANCE GROUP AG,Vienna Insurance Group AG,946886100,Europe/Amsterdam,CEST,7200000,25.8,28.5,24.5,26.78,27.0,1.6,buy,5,1773993984,13.859,1566008448,2665587968,3.334,5.759,15078407168,44.712,93.674,0.03898,0.12666,1517624000,-9331264512,405907008,4.443,0.25847,0.10386,0.20073,EUR,
6,Schottenring 30,Vienna,1010,Austria,43 50 390 22000,43 50 390 99 22000,https://www.vig.com,Insurance—Diversified,Financial Services,"Vienna Insurance Group AG, together with its subsidiaries, provides various insurance products and services in life, health, and property and casualty areas in Austria and internationally. The company offers motor own damage, rail vehicle own damage, aircraft own damage, transport, fire and natural hazards, third party liability, carrier, aircraft liability, general liability, credit, guarantee, legal expenses, assistance, marine, aviation, and travel health insurance products, as well as sea, lake, and river shipping own damage and liability insurance products. It also offers reinsurance products and services. The company sells its products through sales employees, banks, brokers, and agents. Vienna Insurance Group AG was founded in 1824 and is headquartered in Vienna, Austria. Vienna Insurance Group AG operates as a subsidiary of Wiener Städtische Wechselseitige Versicherungsverein - Vermögensverwaltung - Vienna Insurance Group.",29000,"{'maxAge': 1, 'name': 'Ms. Nina  Higatzberger-Schwarz', 'title': 'Head of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",2,6,2,10,5,1693526400,1672444800,86400,2,25.65,25.8,25.65,25.85,25.65,25.8,25.65,25.85,1.3,0.0507,1685404800,0.1958,3.8855422,7.6557865,64969,64969,22841,26266,26266,25.65,23.1,55500,7500,3302400000,20.55,27.4,0.21901518,24.639,24.627,1.3,0.05068226,EUR,4436237824,0.043899998,35238400,128000000,0.72470003,0.08335,30.655,0.8416245,1672444800,1703980800,1688083200,2.061,654465984,6.64,3.37,1.12,7:1,1090195200,0.294,2.833,VIE,EQUITY,VIG.VI,VIG.VI,VIENNA INSURANCE GROUP AG,Vienna Insurance Group AG,946886100,Europe/Amsterdam,CEST,7200000,25.8,28.5,24.5,26.78,27.0,1.6,buy,5,1773993984,13.859,1566008448,2665587968,3.334,5.759,15078407168,44.712,93.674,0.03898,0.12666,1517624000,-9331264512,405907008,4.443,0.25847,0.10386,0.20073,EUR,
7,Schottenring 30,Vienna,1010,Austria,43 50 390 22000,43 50 390 99 22000,https://www.vig.com,Insurance—Diversified,Financial Services,"Vienna Insurance Group AG, together with its subsidiaries, provides various insurance products and services in life, health, and property and casualty areas in Austria and internationally. The company offers motor own damage, rail vehicle own damage, aircraft own damage, transport, fire and natural hazards, third party liability, carrier, aircraft liability, general liability, credit, guarantee, legal expenses, assistance, marine, aviation, and travel health insurance products, as well as sea, lake, and river shipping own damage and liability insurance products. It also offers reinsurance products and services. The company sells its products through sales employees, banks, brokers, and agents. Vienna Insurance Group AG was founded in 1824 and is headquartered in Vienna, Austria. Vienna Insurance Group AG operates as a subsidiary of Wiener Städtische Wechselseitige Versicherungsverein - Vermögensverwaltung - Vienna Insurance Group.",29000,"{'maxAge': 1, 'name': 'Mr. Stephan  Klinger', 'title': 'Head of Legal Department', 'exercisedValue': 0, 'unexercisedValue': 0}",2,6,2,10,5,1693526400,1672444800,86400,2,25.65,25.8,25.65,25.85,25.65,25.8,25.65,25.85,1.3,0.0507,1685404800,0.1958,3.8855422,7.6557865,64969,64969,22841,26266,26266,25.65,23.1,55500,7500,3302400000,20.55,27.4,0.21901518,24.639,24.627,1.3,0.05068226,EUR,4436237824,0.043899998,35238400,128000000,0.72470003,0.08335,30.655,0.8416245,1672444800,1703980800,1688083200,2.061,654465984,6.64,3.37,1.12,7:1,1090195200,0.294,2.833,VIE,EQUITY,VIG.VI,VIG.VI,VIENNA INSURANCE GROUP AG,Vienna Insurance Group AG,946886100,Europe/Amsterdam,CEST,7200000,25.8,28.5,24.5,26.78,27.0,1.6,buy,5,1773993984,13.859,1566008448,2665587968,3.334,5.759,15078407168,44.712,93.674,0.03898,0.12666,1517624000,-9331264512,405907008,4.443,0.25847,0.10386,0.20073,EUR,
8,Schottenring 30,Vienna,1010,Austria,43 50 390 22000,43 50 390 99 22000,https://www.vig.com,Insurance—Diversified,Financial Services,"Vienna Insurance Group AG, together with its subsidiaries, provides various insurance products and services in life, health, and property and casualty areas in Austria and internationally. The company offers motor own damage, rail vehicle own damage, aircraft own damage, transport, fire and natural hazards, third party liability, carrier, aircraft liability, general liability, credit, guarantee, legal expenses, assistance, marine, aviation, and travel health insurance products, as well as sea, lake, and river shipping own damage and liability insurance products. It also offers reinsurance products and services. The company sells its products through sales employees, banks, brokers, and agents. Vienna Insurance Group AG was founded in 1824 and is headquartered in Vienna, Austria. Vienna Insurance Group AG operates as a subsidiary of Wiener Städtische Wechselseitige Versicherungsverein - Vermögensverwaltung - Vienna Insurance Group.",29000,"{'maxAge': 1, 'name': 'Ms. Natalia  Cadek', 'title': 'Group Compliance Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",2,6,2,10,5,1693526400,1672444800,86400,2,25.65,25.8,25.65,25.85,25.65,25.8,25.65,25.85,1.3,0.0507,1685404800,0.1958,3.8855422,7.6557865,64969,64969,22841,26266,26266,25.65,23.1,55500,7500,3302400000,20.55,27.4,0.21901518,24.639,24.627,1.3,0.05068226,EUR,4436237824,0.043899998,35238400,128000000,0.72470003,0.08335,30.655,0.8416245,1672444800,1703980800,1688083200,2.061,654465984,6.64,3.37,1.12,7:1,1090195200,0.294,2.833,VIE,EQUITY,VIG.VI,VIG.VI,VIENNA INSURANCE GROUP AG,Vienna Insurance Group AG,946886100,Europe/Amsterdam,CEST,7200000,25.8,28.5,24.5,26.78,27.0,1.6,buy,5,1773993984,13.859,1566008448,2665587968,3.334,5.759,15078407168,44.712,93.674,0.03898,0.12666,1517624000,-9331264512,405907008,4.443,0.25847,0.10386,0.20073,EUR,
9,Schottenring 30,Vienna,1010,Austria,43 50 390 22000,43 50 390 99 22000,https://www.vig.com,Insurance—Diversified,Financial Services,"Vienna Insurance Group AG, together with its subsidiaries, provides various insurance products and services in life, health, and property and casualty areas in Austria and internationally. The company offers motor own damage, rail vehicle own damage, aircraft own damage, transport, fire and natural hazards, third party liability, carrier, aircraft liability, general liability, credit, guarantee, legal expenses, assistance, marine, aviation, and travel health insurance products, as well as sea, lake, and river shipping own damage and liability insurance products. It also offers reinsurance products and services. The company sells its products through sales employees, banks, brokers, and agents. Vienna Insurance Group AG was founded in 1824 and is headquartered in Vienna, Austria. Vienna Insurance Group AG operates as a subsidiary of Wiener Städtische Wechselseitige Versicherungsverein - Vermögensverwaltung - Vienna Insurance Group.",29000,"{'maxAge': 1, 'name': 'Mr. Wolfgang  Haas', 'title': 'Head of Communication & Marketing', 'exercisedValue': 0, 'unexercisedValue': 0}",2,6,2,10,5,1693526400,1672444800,86400,2,25.65,25.8,25.65,25.85,25.65,25.8,25.65,25.85,1.3,0.0507,1685404800,0.1958,3.8855422,7.6557865,64969,64969,22841,26266,26266,25.65,23.1,55500,7500,3302400000,20.55,27.4,0.21901518,24.639,24.627,1.3,0.05068226,EUR,4436237824,0.043899998,35238400,128000000,0.72470003,0.08335,30.655,0.8416245,1672444800,1703980800,1688083200,2.061,654465984,6.64,3.37,1.12,7:1,1090195200,0.294,2.833,VIE,EQUITY,VIG.VI,VIG.VI,VIENNA INSURANCE GROUP AG,Vienna Insurance Group AG,946886100,Europe/Amsterdam,CEST,7200000,25.8,28.5,24.5,26.78,27.0,1.6,buy,5,1773993984,13.859,1566008448,2665587968,3.334,5.759,15078407168,44.712,93.674,0.03898,0.12666,1517624000,-9331264512,405907008,4.443,0.25847,0.10386,0.20073,EUR,
