,address1,address2,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,"13-1, Yurakucho 1-chome",Chiyoda-ku,Tokyo,100-8411,Japan,81 3 3216 1222,https://www.dai-ichi-life-hd.com,Insurance—Life,Financial Services,"Dai-ichi Life Holdings, Inc., together its subsidiaries, provides insurance products in Japan, the United States, and internationally. It operates through Domestic Life Insurance Business, Overseas Insurance Business, and Other Business segments. The company offers individual life insurance and annuities. The company was formerly known as The Dai-Ichi Life Insurance Company, Limited and changed its name to Dai-ichi Life Holdings, Inc. in October 2016. The company was incorporated in 1902 and is headquartered in Tokyo, Japan.",60997,"{'maxAge': 1, 'name': 'Mr. Tetsuya  Kikuta B.Com., M.B.A.', 'age': 58, 'title': 'Pres & Representative Director', 'yearBorn': 1964, 'exercisedValue': 0, 'unexercisedValue': 0}",1,6,1,1,4,1693526400,86400,2,19.7,19.7,19.5,19.7,19.7,19.7,19.5,19.7,1.13,0.0573,1711584000,0.50450003,3.54,0.682432,18.055555,320,320,15,57,57,19.5,20.2,52100,50100,19438106624,15.2,22.0,0.002063462,17.314,18.007,86.0,4.365482,EUR,-718763458560,0.01895,827480435,983360000,0.049050003,0.52506,3171.615,0.006148287,1680220800,1711843200,1688083200,-0.17,178512003072,1.08,100:1,1380153600,-0.076,-0.692,FRA,EQUITY,QHH.F,QHH.F,DAI-ICHI LIFE HOLDINGS,"Dai-ichi Life Holdings, Inc.",1270533600,Europe/Berlin,CEST,7200000,19.5,none,1697652015104,1726.558,1038635499520,959709970432,0.808,1.867,9420142542848,30.774,9367.398,0.0090499995,0.054250002,-0.135,0.083,0.24379998,0.11026,0.09842,JPY,1.1113
1,"13-1, Yurakucho 1-chome",Chiyoda-ku,Tokyo,100-8411,Japan,81 3 3216 1222,https://www.dai-ichi-life-hd.com,Insurance—Life,Financial Services,"Dai-ichi Life Holdings, Inc., together its subsidiaries, provides insurance products in Japan, the United States, and internationally. It operates through Domestic Life Insurance Business, Overseas Insurance Business, and Other Business segments. The company offers individual life insurance and annuities. The company was formerly known as The Dai-Ichi Life Insurance Company, Limited and changed its name to Dai-ichi Life Holdings, Inc. in October 2016. The company was incorporated in 1902 and is headquartered in Tokyo, Japan.",60997,"{'maxAge': 1, 'name': 'Taisuke  Nishimura', 'title': 'Exec. Officer & CFO', 'exercisedValue': 0, 'unexercisedValue': 0}",1,6,1,1,4,1693526400,86400,2,19.7,19.7,19.5,19.7,19.7,19.7,19.5,19.7,1.13,0.0573,1711584000,0.50450003,3.54,0.682432,18.055555,320,320,15,57,57,19.5,20.2,52100,50100,19438106624,15.2,22.0,0.002063462,17.314,18.007,86.0,4.365482,EUR,-718763458560,0.01895,827480435,983360000,0.049050003,0.52506,3171.615,0.006148287,1680220800,1711843200,1688083200,-0.17,178512003072,1.08,100:1,1380153600,-0.076,-0.692,FRA,EQUITY,QHH.F,QHH.F,DAI-ICHI LIFE HOLDINGS,"Dai-ichi Life Holdings, Inc.",1270533600,Europe/Berlin,CEST,7200000,19.5,none,1697652015104,1726.558,1038635499520,959709970432,0.808,1.867,9420142542848,30.774,9367.398,0.0090499995,0.054250002,-0.135,0.083,0.24379998,0.11026,0.09842,JPY,1.1113
2,"13-1, Yurakucho 1-chome",Chiyoda-ku,Tokyo,100-8411,Japan,81 3 3216 1222,https://www.dai-ichi-life-hd.com,Insurance—Life,Financial Services,"Dai-ichi Life Holdings, Inc., together its subsidiaries, provides insurance products in Japan, the United States, and internationally. It operates through Domestic Life Insurance Business, Overseas Insurance Business, and Other Business segments. The company offers individual life insurance and annuities. The company was formerly known as The Dai-Ichi Life Insurance Company, Limited and changed its name to Dai-ichi Life Holdings, Inc. in October 2016. The company was incorporated in 1902 and is headquartered in Tokyo, Japan.",60997,"{'maxAge': 1, 'name': 'Mr. Stephen  Barnham', 'title': 'Sr. Managing Exec. Officer and Chief Information & Chief Digital Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1,6,1,1,4,1693526400,86400,2,19.7,19.7,19.5,19.7,19.7,19.7,19.5,19.7,1.13,0.0573,1711584000,0.50450003,3.54,0.682432,18.055555,320,320,15,57,57,19.5,20.2,52100,50100,19438106624,15.2,22.0,0.002063462,17.314,18.007,86.0,4.365482,EUR,-718763458560,0.01895,827480435,983360000,0.049050003,0.52506,3171.615,0.006148287,1680220800,1711843200,1688083200,-0.17,178512003072,1.08,100:1,1380153600,-0.076,-0.692,FRA,EQUITY,QHH.F,QHH.F,DAI-ICHI LIFE HOLDINGS,"Dai-ichi Life Holdings, Inc.",1270533600,Europe/Berlin,CEST,7200000,19.5,none,1697652015104,1726.558,1038635499520,959709970432,0.808,1.867,9420142542848,30.774,9367.398,0.0090499995,0.054250002,-0.135,0.083,0.24379998,0.11026,0.09842,JPY,1.1113
3,"13-1, Yurakucho 1-chome",Chiyoda-ku,Tokyo,100-8411,Japan,81 3 3216 1222,https://www.dai-ichi-life-hd.com,Insurance—Life,Financial Services,"Dai-ichi Life Holdings, Inc., together its subsidiaries, provides insurance products in Japan, the United States, and internationally. It operates through Domestic Life Insurance Business, Overseas Insurance Business, and Other Business segments. The company offers individual life insurance and annuities. The company was formerly known as The Dai-Ichi Life Insurance Company, Limited and changed its name to Dai-ichi Life Holdings, Inc. in October 2016. The company was incorporated in 1902 and is headquartered in Tokyo, Japan.",60997,"{'maxAge': 1, 'name': 'Mr. Webster  Coates', 'age': 44, 'title': 'Exec. Officer & Chief Compliance Officer', 'yearBorn': 1978, 'exercisedValue': 0, 'unexercisedValue': 0}",1,6,1,1,4,1693526400,86400,2,19.7,19.7,19.5,19.7,19.7,19.7,19.5,19.7,1.13,0.0573,1711584000,0.50450003,3.54,0.682432,18.055555,320,320,15,57,57,19.5,20.2,52100,50100,19438106624,15.2,22.0,0.002063462,17.314,18.007,86.0,4.365482,EUR,-718763458560,0.01895,827480435,983360000,0.049050003,0.52506,3171.615,0.006148287,1680220800,1711843200,1688083200,-0.17,178512003072,1.08,100:1,1380153600,-0.076,-0.692,FRA,EQUITY,QHH.F,QHH.F,DAI-ICHI LIFE HOLDINGS,"Dai-ichi Life Holdings, Inc.",1270533600,Europe/Berlin,CEST,7200000,19.5,none,1697652015104,1726.558,1038635499520,959709970432,0.808,1.867,9420142542848,30.774,9367.398,0.0090499995,0.054250002,-0.135,0.083,0.24379998,0.11026,0.09842,JPY,1.1113
4,"13-1, Yurakucho 1-chome",Chiyoda-ku,Tokyo,100-8411,Japan,81 3 3216 1222,https://www.dai-ichi-life-hd.com,Insurance—Life,Financial Services,"Dai-ichi Life Holdings, Inc., together its subsidiaries, provides insurance products in Japan, the United States, and internationally. It operates through Domestic Life Insurance Business, Overseas Insurance Business, and Other Business segments. The company offers individual life insurance and annuities. The company was formerly known as The Dai-Ichi Life Insurance Company, Limited and changed its name to Dai-ichi Life Holdings, Inc. in October 2016. The company was incorporated in 1902 and is headquartered in Tokyo, Japan.",60997,"{'maxAge': 1, 'name': 'Kyoko  Wada', 'title': 'Exec. Officer & Chief Communication Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1,6,1,1,4,1693526400,86400,2,19.7,19.7,19.5,19.7,19.7,19.7,19.5,19.7,1.13,0.0573,1711584000,0.50450003,3.54,0.682432,18.055555,320,320,15,57,57,19.5,20.2,52100,50100,19438106624,15.2,22.0,0.002063462,17.314,18.007,86.0,4.365482,EUR,-718763458560,0.01895,827480435,983360000,0.049050003,0.52506,3171.615,0.006148287,1680220800,1711843200,1688083200,-0.17,178512003072,1.08,100:1,1380153600,-0.076,-0.692,FRA,EQUITY,QHH.F,QHH.F,DAI-ICHI LIFE HOLDINGS,"Dai-ichi Life Holdings, Inc.",1270533600,Europe/Berlin,CEST,7200000,19.5,none,1697652015104,1726.558,1038635499520,959709970432,0.808,1.867,9420142542848,30.774,9367.398,0.0090499995,0.054250002,-0.135,0.083,0.24379998,0.11026,0.09842,JPY,1.1113
5,"13-1, Yurakucho 1-chome",Chiyoda-ku,Tokyo,100-8411,Japan,81 3 3216 1222,https://www.dai-ichi-life-hd.com,Insurance—Life,Financial Services,"Dai-ichi Life Holdings, Inc., together its subsidiaries, provides insurance products in Japan, the United States, and internationally. It operates through Domestic Life Insurance Business, Overseas Insurance Business, and Other Business segments. The company offers individual life insurance and annuities. The company was formerly known as The Dai-Ichi Life Insurance Company, Limited and changed its name to Dai-ichi Life Holdings, Inc. in October 2016. The company was incorporated in 1902 and is headquartered in Tokyo, Japan.",60997,"{'maxAge': 1, 'name': 'Mr. Hiroshi  Shoji', 'age': 58, 'title': 'Managing Exec. Officer & Director', 'yearBorn': 1964, 'exercisedValue': 0, 'unexercisedValue': 0}",1,6,1,1,4,1693526400,86400,2,19.7,19.7,19.5,19.7,19.7,19.7,19.5,19.7,1.13,0.0573,1711584000,0.50450003,3.54,0.682432,18.055555,320,320,15,57,57,19.5,20.2,52100,50100,19438106624,15.2,22.0,0.002063462,17.314,18.007,86.0,4.365482,EUR,-718763458560,0.01895,827480435,983360000,0.049050003,0.52506,3171.615,0.006148287,1680220800,1711843200,1688083200,-0.17,178512003072,1.08,100:1,1380153600,-0.076,-0.692,FRA,EQUITY,QHH.F,QHH.F,DAI-ICHI LIFE HOLDINGS,"Dai-ichi Life Holdings, Inc.",1270533600,Europe/Berlin,CEST,7200000,19.5,none,1697652015104,1726.558,1038635499520,959709970432,0.808,1.867,9420142542848,30.774,9367.398,0.0090499995,0.054250002,-0.135,0.083,0.24379998,0.11026,0.09842,JPY,1.1113
6,"13-1, Yurakucho 1-chome",Chiyoda-ku,Tokyo,100-8411,Japan,81 3 3216 1222,https://www.dai-ichi-life-hd.com,Insurance—Life,Financial Services,"Dai-ichi Life Holdings, Inc., together its subsidiaries, provides insurance products in Japan, the United States, and internationally. It operates through Domestic Life Insurance Business, Overseas Insurance Business, and Other Business segments. The company offers individual life insurance and annuities. The company was formerly known as The Dai-Ichi Life Insurance Company, Limited and changed its name to Dai-ichi Life Holdings, Inc. in October 2016. The company was incorporated in 1902 and is headquartered in Tokyo, Japan.",60997,"{'maxAge': 1, 'name': 'Mr. Mamoru  Akashi', 'age': 58, 'title': 'Managing Exec. Officer', 'yearBorn': 1964, 'exercisedValue': 0, 'unexercisedValue': 0}",1,6,1,1,4,1693526400,86400,2,19.7,19.7,19.5,19.7,19.7,19.7,19.5,19.7,1.13,0.0573,1711584000,0.50450003,3.54,0.682432,18.055555,320,320,15,57,57,19.5,20.2,52100,50100,19438106624,15.2,22.0,0.002063462,17.314,18.007,86.0,4.365482,EUR,-718763458560,0.01895,827480435,983360000,0.049050003,0.52506,3171.615,0.006148287,1680220800,1711843200,1688083200,-0.17,178512003072,1.08,100:1,1380153600,-0.076,-0.692,FRA,EQUITY,QHH.F,QHH.F,DAI-ICHI LIFE HOLDINGS,"Dai-ichi Life Holdings, Inc.",1270533600,Europe/Berlin,CEST,7200000,19.5,none,1697652015104,1726.558,1038635499520,959709970432,0.808,1.867,9420142542848,30.774,9367.398,0.0090499995,0.054250002,-0.135,0.083,0.24379998,0.11026,0.09842,JPY,1.1113
7,"13-1, Yurakucho 1-chome",Chiyoda-ku,Tokyo,100-8411,Japan,81 3 3216 1222,https://www.dai-ichi-life-hd.com,Insurance—Life,Financial Services,"Dai-ichi Life Holdings, Inc., together its subsidiaries, provides insurance products in Japan, the United States, and internationally. It operates through Domestic Life Insurance Business, Overseas Insurance Business, and Other Business segments. The company offers individual life insurance and annuities. The company was formerly known as The Dai-Ichi Life Insurance Company, Limited and changed its name to Dai-ichi Life Holdings, Inc. in October 2016. The company was incorporated in 1902 and is headquartered in Tokyo, Japan.",60997,"{'maxAge': 1, 'name': 'Yuji  Tokuoka', 'title': 'Sr. Managing Exec. Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1,6,1,1,4,1693526400,86400,2,19.7,19.7,19.5,19.7,19.7,19.7,19.5,19.7,1.13,0.0573,1711584000,0.50450003,3.54,0.682432,18.055555,320,320,15,57,57,19.5,20.2,52100,50100,19438106624,15.2,22.0,0.002063462,17.314,18.007,86.0,4.365482,EUR,-718763458560,0.01895,827480435,983360000,0.049050003,0.52506,3171.615,0.006148287,1680220800,1711843200,1688083200,-0.17,178512003072,1.08,100:1,1380153600,-0.076,-0.692,FRA,EQUITY,QHH.F,QHH.F,DAI-ICHI LIFE HOLDINGS,"Dai-ichi Life Holdings, Inc.",1270533600,Europe/Berlin,CEST,7200000,19.5,none,1697652015104,1726.558,1038635499520,959709970432,0.808,1.867,9420142542848,30.774,9367.398,0.0090499995,0.054250002,-0.135,0.083,0.24379998,0.11026,0.09842,JPY,1.1113
8,"13-1, Yurakucho 1-chome",Chiyoda-ku,Tokyo,100-8411,Japan,81 3 3216 1222,https://www.dai-ichi-life-hd.com,Insurance—Life,Financial Services,"Dai-ichi Life Holdings, Inc., together its subsidiaries, provides insurance products in Japan, the United States, and internationally. It operates through Domestic Life Insurance Business, Overseas Insurance Business, and Other Business segments. The company offers individual life insurance and annuities. The company was formerly known as The Dai-Ichi Life Insurance Company, Limited and changed its name to Dai-ichi Life Holdings, Inc. in October 2016. The company was incorporated in 1902 and is headquartered in Tokyo, Japan.",60997,"{'maxAge': 1, 'name': 'Mr. Toshiaki  Sumino', 'age': 53, 'title': 'Exec. Director', 'yearBorn': 1969, 'exercisedValue': 0, 'unexercisedValue': 0}",1,6,1,1,4,1693526400,86400,2,19.7,19.7,19.5,19.7,19.7,19.7,19.5,19.7,1.13,0.0573,1711584000,0.50450003,3.54,0.682432,18.055555,320,320,15,57,57,19.5,20.2,52100,50100,19438106624,15.2,22.0,0.002063462,17.314,18.007,86.0,4.365482,EUR,-718763458560,0.01895,827480435,983360000,0.049050003,0.52506,3171.615,0.006148287,1680220800,1711843200,1688083200,-0.17,178512003072,1.08,100:1,1380153600,-0.076,-0.692,FRA,EQUITY,QHH.F,QHH.F,DAI-ICHI LIFE HOLDINGS,"Dai-ichi Life Holdings, Inc.",1270533600,Europe/Berlin,CEST,7200000,19.5,none,1697652015104,1726.558,1038635499520,959709970432,0.808,1.867,9420142542848,30.774,9367.398,0.0090499995,0.054250002,-0.135,0.083,0.24379998,0.11026,0.09842,JPY,1.1113
9,"13-1, Yurakucho 1-chome",Chiyoda-ku,Tokyo,100-8411,Japan,81 3 3216 1222,https://www.dai-ichi-life-hd.com,Insurance—Life,Financial Services,"Dai-ichi Life Holdings, Inc., together its subsidiaries, provides insurance products in Japan, the United States, and internationally. It operates through Domestic Life Insurance Business, Overseas Insurance Business, and Other Business segments. The company offers individual life insurance and annuities. The company was formerly known as The Dai-Ichi Life Insurance Company, Limited and changed its name to Dai-ichi Life Holdings, Inc. in October 2016. The company was incorporated in 1902 and is headquartered in Tokyo, Japan.",60997,"{'maxAge': 1, 'name': 'Mr. Hidehiko  Sogano', 'age': 62, 'title': 'Managing Exec. Officer, Chief Sustainability Officer & Director', 'yearBorn': 1960, 'exercisedValue': 0, 'unexercisedValue': 0}",1,6,1,1,4,1693526400,86400,2,19.7,19.7,19.5,19.7,19.7,19.7,19.5,19.7,1.13,0.0573,1711584000,0.50450003,3.54,0.682432,18.055555,320,320,15,57,57,19.5,20.2,52100,50100,19438106624,15.2,22.0,0.002063462,17.314,18.007,86.0,4.365482,EUR,-718763458560,0.01895,827480435,983360000,0.049050003,0.52506,3171.615,0.006148287,1680220800,1711843200,1688083200,-0.17,178512003072,1.08,100:1,1380153600,-0.076,-0.692,FRA,EQUITY,QHH.F,QHH.F,DAI-ICHI LIFE HOLDINGS,"Dai-ichi Life Holdings, Inc.",1270533600,Europe/Berlin,CEST,7200000,19.5,none,1697652015104,1726.558,1038635499520,959709970432,0.808,1.867,9420142542848,30.774,9367.398,0.0090499995,0.054250002,-0.135,0.083,0.24379998,0.11026,0.09842,JPY,1.1113
