,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,168 Robinson Road,#25-00 Capital Tower,Singapore,068912,Singapore,65 6713 2888,65 6713 2999,https://www.cict.com.sg,REIT—Retail,Real Estate,"CapitaLand Integrated Commercial Trust (CICT) is the first and largest real estate investment trust (REIT) listed on Singapore Exchange Securities Trading Limited (SGX-ST) with a market capitalisation of S$13.6 billion as at 31 July 2023. It debuted on SGX-ST as CapitaLand Mall Trust in July 2002 and was renamed CICT in November 2020 following the merger with CapitaLand Commercial Trust. CICT owns and invests in quality income-producing assets primarily used for commercial (including retail and/or office) purpose, located predominantly in Singapore. As the largest proxy for Singapore commercial real estate, CICT's portfolio comprises 21 properties in Singapore, two properties in Frankfurt, Germany, and three properties in Sydney, Australia with a total property value of S$24.2 billion based on valuations of its proportionate interests in the portfolio as at 31 December 2022. CICT is managed by CapitaLand Integrated Commercial Trust Management Limited, a wholly owned subsidiary of CapitaLand Investment Limited, a leading global real estate investment manager with a strong Asia foothold.","{'maxAge': 1, 'name': 'Mr. Tee Hieong  Tan', 'age': 55, 'title': 'CEO & Exec. Non-Independent Director of CapitaLand Integrated Commercial Trust Management Ltd', 'yearBorn': 1967, 'fiscalYear': 2018, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",1546214400,86400,4,1.9,1.92,1.91,1.95,1.9,1.92,1.91,1.95,0.11,0.054899998,1691452800,1.0095,4.43,0.709084,19.4,17.636364,27717800,27717800,14289476,11779220,11779220,1.93,1.94,0,0,12909886464,1.74,2.18,8.443767,1.9406,1.98295,0.107,0.05631579,SGD,22582036480,0.45624,5117328054,6654580224,0.00301,0.55461,2.122,0.9142319,1672444800,1703980800,1688083200,-0.062,697558976,0.1,0.11,4.78,14.77,22.587,SES,EQUITY,C38U.SI,C38U.SI,CapLand IntCom T,CapitaLand Integrated Commercial Trust,1194224400,Asia/Singapore,SGT,28800000,1.94,2.35,2.0,2.25,2.3,1.9,buy,15,254160992,0.038,999776000,9724459008,0.355,0.36,1528925056,67.885,0.23,0.025190001,0.04913,974429000,518816128,1085688960,-0.066,0.127,0.67061996,0.65391,0.65127,SGD,2.7451
1,168 Robinson Road,#25-00 Capital Tower,Singapore,068912,Singapore,65 6713 2888,65 6713 2999,https://www.cict.com.sg,REIT—Retail,Real Estate,"CapitaLand Integrated Commercial Trust (CICT) is the first and largest real estate investment trust (REIT) listed on Singapore Exchange Securities Trading Limited (SGX-ST) with a market capitalisation of S$13.6 billion as at 31 July 2023. It debuted on SGX-ST as CapitaLand Mall Trust in July 2002 and was renamed CICT in November 2020 following the merger with CapitaLand Commercial Trust. CICT owns and invests in quality income-producing assets primarily used for commercial (including retail and/or office) purpose, located predominantly in Singapore. As the largest proxy for Singapore commercial real estate, CICT's portfolio comprises 21 properties in Singapore, two properties in Frankfurt, Germany, and three properties in Sydney, Australia with a total property value of S$24.2 billion based on valuations of its proportionate interests in the portfolio as at 31 December 2022. CICT is managed by CapitaLand Integrated Commercial Trust Management Limited, a wholly owned subsidiary of CapitaLand Investment Limited, a leading global real estate investment manager with a strong Asia foothold.","{'maxAge': 1, 'name': 'Ms. Mei Lian  Wong', 'age': 51, 'title': 'Chief Financial Officer of CapitaLand Integrated Commercial Trust Management Limited', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",1546214400,86400,4,1.9,1.92,1.91,1.95,1.9,1.92,1.91,1.95,0.11,0.054899998,1691452800,1.0095,4.43,0.709084,19.4,17.636364,27717800,27717800,14289476,11779220,11779220,1.93,1.94,0,0,12909886464,1.74,2.18,8.443767,1.9406,1.98295,0.107,0.05631579,SGD,22582036480,0.45624,5117328054,6654580224,0.00301,0.55461,2.122,0.9142319,1672444800,1703980800,1688083200,-0.062,697558976,0.1,0.11,4.78,14.77,22.587,SES,EQUITY,C38U.SI,C38U.SI,CapLand IntCom T,CapitaLand Integrated Commercial Trust,1194224400,Asia/Singapore,SGT,28800000,1.94,2.35,2.0,2.25,2.3,1.9,buy,15,254160992,0.038,999776000,9724459008,0.355,0.36,1528925056,67.885,0.23,0.025190001,0.04913,974429000,518816128,1085688960,-0.066,0.127,0.67061996,0.65391,0.65127,SGD,2.7451
2,168 Robinson Road,#25-00 Capital Tower,Singapore,068912,Singapore,65 6713 2888,65 6713 2999,https://www.cict.com.sg,REIT—Retail,Real Estate,"CapitaLand Integrated Commercial Trust (CICT) is the first and largest real estate investment trust (REIT) listed on Singapore Exchange Securities Trading Limited (SGX-ST) with a market capitalisation of S$13.6 billion as at 31 July 2023. It debuted on SGX-ST as CapitaLand Mall Trust in July 2002 and was renamed CICT in November 2020 following the merger with CapitaLand Commercial Trust. CICT owns and invests in quality income-producing assets primarily used for commercial (including retail and/or office) purpose, located predominantly in Singapore. As the largest proxy for Singapore commercial real estate, CICT's portfolio comprises 21 properties in Singapore, two properties in Frankfurt, Germany, and three properties in Sydney, Australia with a total property value of S$24.2 billion based on valuations of its proportionate interests in the portfolio as at 31 December 2022. CICT is managed by CapitaLand Integrated Commercial Trust Management Limited, a wholly owned subsidiary of CapitaLand Investment Limited, a leading global real estate investment manager with a strong Asia foothold.","{'maxAge': 1, 'name': 'Ms. Jacqueline  Lee', 'title': 'Head of Investment of CapitaLand Integrated Commercial Trust Mgmt Ltd', 'exercisedValue': 0, 'unexercisedValue': 0}",1546214400,86400,4,1.9,1.92,1.91,1.95,1.9,1.92,1.91,1.95,0.11,0.054899998,1691452800,1.0095,4.43,0.709084,19.4,17.636364,27717800,27717800,14289476,11779220,11779220,1.93,1.94,0,0,12909886464,1.74,2.18,8.443767,1.9406,1.98295,0.107,0.05631579,SGD,22582036480,0.45624,5117328054,6654580224,0.00301,0.55461,2.122,0.9142319,1672444800,1703980800,1688083200,-0.062,697558976,0.1,0.11,4.78,14.77,22.587,SES,EQUITY,C38U.SI,C38U.SI,CapLand IntCom T,CapitaLand Integrated Commercial Trust,1194224400,Asia/Singapore,SGT,28800000,1.94,2.35,2.0,2.25,2.3,1.9,buy,15,254160992,0.038,999776000,9724459008,0.355,0.36,1528925056,67.885,0.23,0.025190001,0.04913,974429000,518816128,1085688960,-0.066,0.127,0.67061996,0.65391,0.65127,SGD,2.7451
3,168 Robinson Road,#25-00 Capital Tower,Singapore,068912,Singapore,65 6713 2888,65 6713 2999,https://www.cict.com.sg,REIT—Retail,Real Estate,"CapitaLand Integrated Commercial Trust (CICT) is the first and largest real estate investment trust (REIT) listed on Singapore Exchange Securities Trading Limited (SGX-ST) with a market capitalisation of S$13.6 billion as at 31 July 2023. It debuted on SGX-ST as CapitaLand Mall Trust in July 2002 and was renamed CICT in November 2020 following the merger with CapitaLand Commercial Trust. CICT owns and invests in quality income-producing assets primarily used for commercial (including retail and/or office) purpose, located predominantly in Singapore. As the largest proxy for Singapore commercial real estate, CICT's portfolio comprises 21 properties in Singapore, two properties in Frankfurt, Germany, and three properties in Sydney, Australia with a total property value of S$24.2 billion based on valuations of its proportionate interests in the portfolio as at 31 December 2022. CICT is managed by CapitaLand Integrated Commercial Trust Management Limited, a wholly owned subsidiary of CapitaLand Investment Limited, a leading global real estate investment manager with a strong Asia foothold.","{'maxAge': 1, 'name': 'Ms. Mei Peng  Ho', 'title': 'Head of Investor Relations of CapitaLand Integrated Commercial Trust Management Limited', 'exercisedValue': 0, 'unexercisedValue': 0}",1546214400,86400,4,1.9,1.92,1.91,1.95,1.9,1.92,1.91,1.95,0.11,0.054899998,1691452800,1.0095,4.43,0.709084,19.4,17.636364,27717800,27717800,14289476,11779220,11779220,1.93,1.94,0,0,12909886464,1.74,2.18,8.443767,1.9406,1.98295,0.107,0.05631579,SGD,22582036480,0.45624,5117328054,6654580224,0.00301,0.55461,2.122,0.9142319,1672444800,1703980800,1688083200,-0.062,697558976,0.1,0.11,4.78,14.77,22.587,SES,EQUITY,C38U.SI,C38U.SI,CapLand IntCom T,CapitaLand Integrated Commercial Trust,1194224400,Asia/Singapore,SGT,28800000,1.94,2.35,2.0,2.25,2.3,1.9,buy,15,254160992,0.038,999776000,9724459008,0.355,0.36,1528925056,67.885,0.23,0.025190001,0.04913,974429000,518816128,1085688960,-0.066,0.127,0.67061996,0.65391,0.65127,SGD,2.7451
4,168 Robinson Road,#25-00 Capital Tower,Singapore,068912,Singapore,65 6713 2888,65 6713 2999,https://www.cict.com.sg,REIT—Retail,Real Estate,"CapitaLand Integrated Commercial Trust (CICT) is the first and largest real estate investment trust (REIT) listed on Singapore Exchange Securities Trading Limited (SGX-ST) with a market capitalisation of S$13.6 billion as at 31 July 2023. It debuted on SGX-ST as CapitaLand Mall Trust in July 2002 and was renamed CICT in November 2020 following the merger with CapitaLand Commercial Trust. CICT owns and invests in quality income-producing assets primarily used for commercial (including retail and/or office) purpose, located predominantly in Singapore. As the largest proxy for Singapore commercial real estate, CICT's portfolio comprises 21 properties in Singapore, two properties in Frankfurt, Germany, and three properties in Sydney, Australia with a total property value of S$24.2 billion based on valuations of its proportionate interests in the portfolio as at 31 December 2022. CICT is managed by CapitaLand Integrated Commercial Trust Management Limited, a wholly owned subsidiary of CapitaLand Investment Limited, a leading global real estate investment manager with a strong Asia foothold.","{'maxAge': 1, 'name': 'Ms. Pei Siang  Chia', 'title': 'VP of Group Communications', 'exercisedValue': 0, 'unexercisedValue': 0}",1546214400,86400,4,1.9,1.92,1.91,1.95,1.9,1.92,1.91,1.95,0.11,0.054899998,1691452800,1.0095,4.43,0.709084,19.4,17.636364,27717800,27717800,14289476,11779220,11779220,1.93,1.94,0,0,12909886464,1.74,2.18,8.443767,1.9406,1.98295,0.107,0.05631579,SGD,22582036480,0.45624,5117328054,6654580224,0.00301,0.55461,2.122,0.9142319,1672444800,1703980800,1688083200,-0.062,697558976,0.1,0.11,4.78,14.77,22.587,SES,EQUITY,C38U.SI,C38U.SI,CapLand IntCom T,CapitaLand Integrated Commercial Trust,1194224400,Asia/Singapore,SGT,28800000,1.94,2.35,2.0,2.25,2.3,1.9,buy,15,254160992,0.038,999776000,9724459008,0.355,0.36,1528925056,67.885,0.23,0.025190001,0.04913,974429000,518816128,1085688960,-0.066,0.127,0.67061996,0.65391,0.65127,SGD,2.7451
5,168 Robinson Road,#25-00 Capital Tower,Singapore,068912,Singapore,65 6713 2888,65 6713 2999,https://www.cict.com.sg,REIT—Retail,Real Estate,"CapitaLand Integrated Commercial Trust (CICT) is the first and largest real estate investment trust (REIT) listed on Singapore Exchange Securities Trading Limited (SGX-ST) with a market capitalisation of S$13.6 billion as at 31 July 2023. It debuted on SGX-ST as CapitaLand Mall Trust in July 2002 and was renamed CICT in November 2020 following the merger with CapitaLand Commercial Trust. CICT owns and invests in quality income-producing assets primarily used for commercial (including retail and/or office) purpose, located predominantly in Singapore. As the largest proxy for Singapore commercial real estate, CICT's portfolio comprises 21 properties in Singapore, two properties in Frankfurt, Germany, and three properties in Sydney, Australia with a total property value of S$24.2 billion based on valuations of its proportionate interests in the portfolio as at 31 December 2022. CICT is managed by CapitaLand Integrated Commercial Trust Management Limited, a wholly owned subsidiary of CapitaLand Investment Limited, a leading global real estate investment manager with a strong Asia foothold.","{'maxAge': 1, 'name': 'Ms. Teresa  Teow', 'title': 'Head of Retail Mgmt for Singapore & Director - CapitaLand Mall Trust Mgmt Ltd', 'exercisedValue': 0, 'unexercisedValue': 0}",1546214400,86400,4,1.9,1.92,1.91,1.95,1.9,1.92,1.91,1.95,0.11,0.054899998,1691452800,1.0095,4.43,0.709084,19.4,17.636364,27717800,27717800,14289476,11779220,11779220,1.93,1.94,0,0,12909886464,1.74,2.18,8.443767,1.9406,1.98295,0.107,0.05631579,SGD,22582036480,0.45624,5117328054,6654580224,0.00301,0.55461,2.122,0.9142319,1672444800,1703980800,1688083200,-0.062,697558976,0.1,0.11,4.78,14.77,22.587,SES,EQUITY,C38U.SI,C38U.SI,CapLand IntCom T,CapitaLand Integrated Commercial Trust,1194224400,Asia/Singapore,SGT,28800000,1.94,2.35,2.0,2.25,2.3,1.9,buy,15,254160992,0.038,999776000,9724459008,0.355,0.36,1528925056,67.885,0.23,0.025190001,0.04913,974429000,518816128,1085688960,-0.066,0.127,0.67061996,0.65391,0.65127,SGD,2.7451
6,168 Robinson Road,#25-00 Capital Tower,Singapore,068912,Singapore,65 6713 2888,65 6713 2999,https://www.cict.com.sg,REIT—Retail,Real Estate,"CapitaLand Integrated Commercial Trust (CICT) is the first and largest real estate investment trust (REIT) listed on Singapore Exchange Securities Trading Limited (SGX-ST) with a market capitalisation of S$13.6 billion as at 31 July 2023. It debuted on SGX-ST as CapitaLand Mall Trust in July 2002 and was renamed CICT in November 2020 following the merger with CapitaLand Commercial Trust. CICT owns and invests in quality income-producing assets primarily used for commercial (including retail and/or office) purpose, located predominantly in Singapore. As the largest proxy for Singapore commercial real estate, CICT's portfolio comprises 21 properties in Singapore, two properties in Frankfurt, Germany, and three properties in Sydney, Australia with a total property value of S$24.2 billion based on valuations of its proportionate interests in the portfolio as at 31 December 2022. CICT is managed by CapitaLand Integrated Commercial Trust Management Limited, a wholly owned subsidiary of CapitaLand Investment Limited, a leading global real estate investment manager with a strong Asia foothold.","{'maxAge': 1, 'name': 'Mr. Chee Seng Pang', 'title': 'Dy GM & Head of Property Mgmt - Capitamall Trust Mgmt Ltd - Mngr', 'exercisedValue': 0, 'unexercisedValue': 0}",1546214400,86400,4,1.9,1.92,1.91,1.95,1.9,1.92,1.91,1.95,0.11,0.054899998,1691452800,1.0095,4.43,0.709084,19.4,17.636364,27717800,27717800,14289476,11779220,11779220,1.93,1.94,0,0,12909886464,1.74,2.18,8.443767,1.9406,1.98295,0.107,0.05631579,SGD,22582036480,0.45624,5117328054,6654580224,0.00301,0.55461,2.122,0.9142319,1672444800,1703980800,1688083200,-0.062,697558976,0.1,0.11,4.78,14.77,22.587,SES,EQUITY,C38U.SI,C38U.SI,CapLand IntCom T,CapitaLand Integrated Commercial Trust,1194224400,Asia/Singapore,SGT,28800000,1.94,2.35,2.0,2.25,2.3,1.9,buy,15,254160992,0.038,999776000,9724459008,0.355,0.36,1528925056,67.885,0.23,0.025190001,0.04913,974429000,518816128,1085688960,-0.066,0.127,0.67061996,0.65391,0.65127,SGD,2.7451
7,168 Robinson Road,#25-00 Capital Tower,Singapore,068912,Singapore,65 6713 2888,65 6713 2999,https://www.cict.com.sg,REIT—Retail,Real Estate,"CapitaLand Integrated Commercial Trust (CICT) is the first and largest real estate investment trust (REIT) listed on Singapore Exchange Securities Trading Limited (SGX-ST) with a market capitalisation of S$13.6 billion as at 31 July 2023. It debuted on SGX-ST as CapitaLand Mall Trust in July 2002 and was renamed CICT in November 2020 following the merger with CapitaLand Commercial Trust. CICT owns and invests in quality income-producing assets primarily used for commercial (including retail and/or office) purpose, located predominantly in Singapore. As the largest proxy for Singapore commercial real estate, CICT's portfolio comprises 21 properties in Singapore, two properties in Frankfurt, Germany, and three properties in Sydney, Australia with a total property value of S$24.2 billion based on valuations of its proportionate interests in the portfolio as at 31 December 2022. CICT is managed by CapitaLand Integrated Commercial Trust Management Limited, a wholly owned subsidiary of CapitaLand Investment Limited, a leading global real estate investment manager with a strong Asia foothold.","{'maxAge': 1, 'name': 'Ms. Keng  Looi', 'title': 'Head of Asset Management -  CapitaLand Mall Trust Management Limited', 'exercisedValue': 0, 'unexercisedValue': 0}",1546214400,86400,4,1.9,1.92,1.91,1.95,1.9,1.92,1.91,1.95,0.11,0.054899998,1691452800,1.0095,4.43,0.709084,19.4,17.636364,27717800,27717800,14289476,11779220,11779220,1.93,1.94,0,0,12909886464,1.74,2.18,8.443767,1.9406,1.98295,0.107,0.05631579,SGD,22582036480,0.45624,5117328054,6654580224,0.00301,0.55461,2.122,0.9142319,1672444800,1703980800,1688083200,-0.062,697558976,0.1,0.11,4.78,14.77,22.587,SES,EQUITY,C38U.SI,C38U.SI,CapLand IntCom T,CapitaLand Integrated Commercial Trust,1194224400,Asia/Singapore,SGT,28800000,1.94,2.35,2.0,2.25,2.3,1.9,buy,15,254160992,0.038,999776000,9724459008,0.355,0.36,1528925056,67.885,0.23,0.025190001,0.04913,974429000,518816128,1085688960,-0.066,0.127,0.67061996,0.65391,0.65127,SGD,2.7451
8,168 Robinson Road,#25-00 Capital Tower,Singapore,068912,Singapore,65 6713 2888,65 6713 2999,https://www.cict.com.sg,REIT—Retail,Real Estate,"CapitaLand Integrated Commercial Trust (CICT) is the first and largest real estate investment trust (REIT) listed on Singapore Exchange Securities Trading Limited (SGX-ST) with a market capitalisation of S$13.6 billion as at 31 July 2023. It debuted on SGX-ST as CapitaLand Mall Trust in July 2002 and was renamed CICT in November 2020 following the merger with CapitaLand Commercial Trust. CICT owns and invests in quality income-producing assets primarily used for commercial (including retail and/or office) purpose, located predominantly in Singapore. As the largest proxy for Singapore commercial real estate, CICT's portfolio comprises 21 properties in Singapore, two properties in Frankfurt, Germany, and three properties in Sydney, Australia with a total property value of S$24.2 billion based on valuations of its proportionate interests in the portfolio as at 31 December 2022. CICT is managed by CapitaLand Integrated Commercial Trust Management Limited, a wholly owned subsidiary of CapitaLand Investment Limited, a leading global real estate investment manager with a strong Asia foothold.","{'maxAge': 1, 'name': 'Mr. Jason  Loy', 'title': 'Head of Operations for Singapore - Capitaland Mall Trust Management Limited', 'exercisedValue': 0, 'unexercisedValue': 0}",1546214400,86400,4,1.9,1.92,1.91,1.95,1.9,1.92,1.91,1.95,0.11,0.054899998,1691452800,1.0095,4.43,0.709084,19.4,17.636364,27717800,27717800,14289476,11779220,11779220,1.93,1.94,0,0,12909886464,1.74,2.18,8.443767,1.9406,1.98295,0.107,0.05631579,SGD,22582036480,0.45624,5117328054,6654580224,0.00301,0.55461,2.122,0.9142319,1672444800,1703980800,1688083200,-0.062,697558976,0.1,0.11,4.78,14.77,22.587,SES,EQUITY,C38U.SI,C38U.SI,CapLand IntCom T,CapitaLand Integrated Commercial Trust,1194224400,Asia/Singapore,SGT,28800000,1.94,2.35,2.0,2.25,2.3,1.9,buy,15,254160992,0.038,999776000,9724459008,0.355,0.36,1528925056,67.885,0.23,0.025190001,0.04913,974429000,518816128,1085688960,-0.066,0.127,0.67061996,0.65391,0.65127,SGD,2.7451
9,168 Robinson Road,#25-00 Capital Tower,Singapore,068912,Singapore,65 6713 2888,65 6713 2999,https://www.cict.com.sg,REIT—Retail,Real Estate,"CapitaLand Integrated Commercial Trust (CICT) is the first and largest real estate investment trust (REIT) listed on Singapore Exchange Securities Trading Limited (SGX-ST) with a market capitalisation of S$13.6 billion as at 31 July 2023. It debuted on SGX-ST as CapitaLand Mall Trust in July 2002 and was renamed CICT in November 2020 following the merger with CapitaLand Commercial Trust. CICT owns and invests in quality income-producing assets primarily used for commercial (including retail and/or office) purpose, located predominantly in Singapore. As the largest proxy for Singapore commercial real estate, CICT's portfolio comprises 21 properties in Singapore, two properties in Frankfurt, Germany, and three properties in Sydney, Australia with a total property value of S$24.2 billion based on valuations of its proportionate interests in the portfolio as at 31 December 2022. CICT is managed by CapitaLand Integrated Commercial Trust Management Limited, a wholly owned subsidiary of CapitaLand Investment Limited, a leading global real estate investment manager with a strong Asia foothold.","{'maxAge': 1, 'name': 'Ms. Cindy  Peh', 'title': 'Head of Leasing for Singapore - CapitaLand Mall Trust Management Limited', 'exercisedValue': 0, 'unexercisedValue': 0}",1546214400,86400,4,1.9,1.92,1.91,1.95,1.9,1.92,1.91,1.95,0.11,0.054899998,1691452800,1.0095,4.43,0.709084,19.4,17.636364,27717800,27717800,14289476,11779220,11779220,1.93,1.94,0,0,12909886464,1.74,2.18,8.443767,1.9406,1.98295,0.107,0.05631579,SGD,22582036480,0.45624,5117328054,6654580224,0.00301,0.55461,2.122,0.9142319,1672444800,1703980800,1688083200,-0.062,697558976,0.1,0.11,4.78,14.77,22.587,SES,EQUITY,C38U.SI,C38U.SI,CapLand IntCom T,CapitaLand Integrated Commercial Trust,1194224400,Asia/Singapore,SGT,28800000,1.94,2.35,2.0,2.25,2.3,1.9,buy,15,254160992,0.038,999776000,9724459008,0.355,0.36,1528925056,67.885,0.23,0.025190001,0.04913,974429000,518816128,1085688960,-0.066,0.127,0.67061996,0.65391,0.65127,SGD,2.7451
