,address1,address2,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Gate House,Turnpike Road,High Wycombe,HP12 3NR,United Kingdom,44 14 9455 8323,https://www.taylorwimpey.co.uk,Residential Construction,Consumer Cyclical,"Taylor Wimpey plc operates a residential developer in the United Kingdom and Spain. It builds and delivers various homes and communities. Taylor Wimpey plc was incorporated in 1935 and is based in High Wycombe, the United Kingdom.",5236,"{'maxAge': 1, 'name': 'Ms. Jennifer  Daly', 'age': 52, 'title': 'CEO & Exec. Director', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 1810687, 'exercisedValue': 0, 'unexercisedValue': 0}",2,7,1,1,4,1693526400,1672444800,86400,4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.12,0.0866,1697068800,0.5949,1.756006,7.0,500,500,129,390,390,0.0,0.0,0,0,5214383616,0.95,1.61,1.3100808,1.5418,1.45285,0.096,0.06857143,USD,4313220096,0.14034,3492488648,3532460032,0.00911,0.68847,1.278,1.0954616,1672444800,1703980800,1688256000,-0.326,558600000,0.2,1.084,5.839,PNK,EQUITY,TWODF,TWODF,TAYLOR WIMPEY,Taylor Wimpey plc,1266849000,America/New_York,EDT,-14400000,1.4,none,740400000,0.21,738700032,113300000,0.737,5.042,3980199936,2.513,1.128,0.07195,0.12719,1132400000,546974976,318900000,-0.308,-0.212,0.24165002,0.18559,0.18486999,GBP,
1,Gate House,Turnpike Road,High Wycombe,HP12 3NR,United Kingdom,44 14 9455 8323,https://www.taylorwimpey.co.uk,Residential Construction,Consumer Cyclical,"Taylor Wimpey plc operates a residential developer in the United Kingdom and Spain. It builds and delivers various homes and communities. Taylor Wimpey plc was incorporated in 1935 and is based in High Wycombe, the United Kingdom.",5236,"{'maxAge': 1, 'name': 'Mr. Christopher  Carney', 'age': 48, 'title': 'Group Fin. Director & Exec. Director', 'yearBorn': 1974, 'fiscalYear': 2022, 'totalPay': 1437898, 'exercisedValue': 0, 'unexercisedValue': 0}",2,7,1,1,4,1693526400,1672444800,86400,4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.12,0.0866,1697068800,0.5949,1.756006,7.0,500,500,129,390,390,0.0,0.0,0,0,5214383616,0.95,1.61,1.3100808,1.5418,1.45285,0.096,0.06857143,USD,4313220096,0.14034,3492488648,3532460032,0.00911,0.68847,1.278,1.0954616,1672444800,1703980800,1688256000,-0.326,558600000,0.2,1.084,5.839,PNK,EQUITY,TWODF,TWODF,TAYLOR WIMPEY,Taylor Wimpey plc,1266849000,America/New_York,EDT,-14400000,1.4,none,740400000,0.21,738700032,113300000,0.737,5.042,3980199936,2.513,1.128,0.07195,0.12719,1132400000,546974976,318900000,-0.308,-0.212,0.24165002,0.18559,0.18486999,GBP,
2,Gate House,Turnpike Road,High Wycombe,HP12 3NR,United Kingdom,44 14 9455 8323,https://www.taylorwimpey.co.uk,Residential Construction,Consumer Cyclical,"Taylor Wimpey plc operates a residential developer in the United Kingdom and Spain. It builds and delivers various homes and communities. Taylor Wimpey plc was incorporated in 1935 and is based in High Wycombe, the United Kingdom.",5236,"{'maxAge': 1, 'name': 'Mr. Muhammed Ishaq Kayani', 'title': 'Group Gen. Counsel & Company Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",2,7,1,1,4,1693526400,1672444800,86400,4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.12,0.0866,1697068800,0.5949,1.756006,7.0,500,500,129,390,390,0.0,0.0,0,0,5214383616,0.95,1.61,1.3100808,1.5418,1.45285,0.096,0.06857143,USD,4313220096,0.14034,3492488648,3532460032,0.00911,0.68847,1.278,1.0954616,1672444800,1703980800,1688256000,-0.326,558600000,0.2,1.084,5.839,PNK,EQUITY,TWODF,TWODF,TAYLOR WIMPEY,Taylor Wimpey plc,1266849000,America/New_York,EDT,-14400000,1.4,none,740400000,0.21,738700032,113300000,0.737,5.042,3980199936,2.513,1.128,0.07195,0.12719,1132400000,546974976,318900000,-0.308,-0.212,0.24165002,0.18559,0.18486999,GBP,
3,Gate House,Turnpike Road,High Wycombe,HP12 3NR,United Kingdom,44 14 9455 8323,https://www.taylorwimpey.co.uk,Residential Construction,Consumer Cyclical,"Taylor Wimpey plc operates a residential developer in the United Kingdom and Spain. It builds and delivers various homes and communities. Taylor Wimpey plc was incorporated in 1935 and is based in High Wycombe, the United Kingdom.",5236,"{'maxAge': 1, 'name': 'Ms. Trish  Henderson', 'title': 'Sales & Marketing Director', 'exercisedValue': 0, 'unexercisedValue': 0}",2,7,1,1,4,1693526400,1672444800,86400,4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.12,0.0866,1697068800,0.5949,1.756006,7.0,500,500,129,390,390,0.0,0.0,0,0,5214383616,0.95,1.61,1.3100808,1.5418,1.45285,0.096,0.06857143,USD,4313220096,0.14034,3492488648,3532460032,0.00911,0.68847,1.278,1.0954616,1672444800,1703980800,1688256000,-0.326,558600000,0.2,1.084,5.839,PNK,EQUITY,TWODF,TWODF,TAYLOR WIMPEY,Taylor Wimpey plc,1266849000,America/New_York,EDT,-14400000,1.4,none,740400000,0.21,738700032,113300000,0.737,5.042,3980199936,2.513,1.128,0.07195,0.12719,1132400000,546974976,318900000,-0.308,-0.212,0.24165002,0.18559,0.18486999,GBP,
4,Gate House,Turnpike Road,High Wycombe,HP12 3NR,United Kingdom,44 14 9455 8323,https://www.taylorwimpey.co.uk,Residential Construction,Consumer Cyclical,"Taylor Wimpey plc operates a residential developer in the United Kingdom and Spain. It builds and delivers various homes and communities. Taylor Wimpey plc was incorporated in 1935 and is based in High Wycombe, the United Kingdom.",5236,"{'maxAge': 1, 'name': 'Ms. Anne  Billson-Ross', 'age': 53, 'title': 'Group HR Director', 'yearBorn': 1969, 'exercisedValue': 0, 'unexercisedValue': 0}",2,7,1,1,4,1693526400,1672444800,86400,4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.12,0.0866,1697068800,0.5949,1.756006,7.0,500,500,129,390,390,0.0,0.0,0,0,5214383616,0.95,1.61,1.3100808,1.5418,1.45285,0.096,0.06857143,USD,4313220096,0.14034,3492488648,3532460032,0.00911,0.68847,1.278,1.0954616,1672444800,1703980800,1688256000,-0.326,558600000,0.2,1.084,5.839,PNK,EQUITY,TWODF,TWODF,TAYLOR WIMPEY,Taylor Wimpey plc,1266849000,America/New_York,EDT,-14400000,1.4,none,740400000,0.21,738700032,113300000,0.737,5.042,3980199936,2.513,1.128,0.07195,0.12719,1132400000,546974976,318900000,-0.308,-0.212,0.24165002,0.18559,0.18486999,GBP,
5,Gate House,Turnpike Road,High Wycombe,HP12 3NR,United Kingdom,44 14 9455 8323,https://www.taylorwimpey.co.uk,Residential Construction,Consumer Cyclical,"Taylor Wimpey plc operates a residential developer in the United Kingdom and Spain. It builds and delivers various homes and communities. Taylor Wimpey plc was incorporated in 1935 and is based in High Wycombe, the United Kingdom.",5236,"{'maxAge': 1, 'name': 'Mr. Lee  Bishop', 'title': 'Group MD of Strategic Land and Interim Divisional Chair, North West & Yorkshire', 'exercisedValue': 0, 'unexercisedValue': 0}",2,7,1,1,4,1693526400,1672444800,86400,4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.12,0.0866,1697068800,0.5949,1.756006,7.0,500,500,129,390,390,0.0,0.0,0,0,5214383616,0.95,1.61,1.3100808,1.5418,1.45285,0.096,0.06857143,USD,4313220096,0.14034,3492488648,3532460032,0.00911,0.68847,1.278,1.0954616,1672444800,1703980800,1688256000,-0.326,558600000,0.2,1.084,5.839,PNK,EQUITY,TWODF,TWODF,TAYLOR WIMPEY,Taylor Wimpey plc,1266849000,America/New_York,EDT,-14400000,1.4,none,740400000,0.21,738700032,113300000,0.737,5.042,3980199936,2.513,1.128,0.07195,0.12719,1132400000,546974976,318900000,-0.308,-0.212,0.24165002,0.18559,0.18486999,GBP,
6,Gate House,Turnpike Road,High Wycombe,HP12 3NR,United Kingdom,44 14 9455 8323,https://www.taylorwimpey.co.uk,Residential Construction,Consumer Cyclical,"Taylor Wimpey plc operates a residential developer in the United Kingdom and Spain. It builds and delivers various homes and communities. Taylor Wimpey plc was incorporated in 1935 and is based in High Wycombe, the United Kingdom.",5236,"{'maxAge': 1, 'name': 'Mr. Nigel  Holland', 'title': 'Divisional Chair of Central, South West & Spain', 'exercisedValue': 0, 'unexercisedValue': 0}",2,7,1,1,4,1693526400,1672444800,86400,4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.12,0.0866,1697068800,0.5949,1.756006,7.0,500,500,129,390,390,0.0,0.0,0,0,5214383616,0.95,1.61,1.3100808,1.5418,1.45285,0.096,0.06857143,USD,4313220096,0.14034,3492488648,3532460032,0.00911,0.68847,1.278,1.0954616,1672444800,1703980800,1688256000,-0.326,558600000,0.2,1.084,5.839,PNK,EQUITY,TWODF,TWODF,TAYLOR WIMPEY,Taylor Wimpey plc,1266849000,America/New_York,EDT,-14400000,1.4,none,740400000,0.21,738700032,113300000,0.737,5.042,3980199936,2.513,1.128,0.07195,0.12719,1132400000,546974976,318900000,-0.308,-0.212,0.24165002,0.18559,0.18486999,GBP,
7,Gate House,Turnpike Road,High Wycombe,HP12 3NR,United Kingdom,44 14 9455 8323,https://www.taylorwimpey.co.uk,Residential Construction,Consumer Cyclical,"Taylor Wimpey plc operates a residential developer in the United Kingdom and Spain. It builds and delivers various homes and communities. Taylor Wimpey plc was incorporated in 1935 and is based in High Wycombe, the United Kingdom.",5236,"{'maxAge': 1, 'name': 'Ms. Ingrid  Osborne', 'title': 'Divisional Chairman of London & South East', 'exercisedValue': 0, 'unexercisedValue': 0}",2,7,1,1,4,1693526400,1672444800,86400,4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.12,0.0866,1697068800,0.5949,1.756006,7.0,500,500,129,390,390,0.0,0.0,0,0,5214383616,0.95,1.61,1.3100808,1.5418,1.45285,0.096,0.06857143,USD,4313220096,0.14034,3492488648,3532460032,0.00911,0.68847,1.278,1.0954616,1672444800,1703980800,1688256000,-0.326,558600000,0.2,1.084,5.839,PNK,EQUITY,TWODF,TWODF,TAYLOR WIMPEY,Taylor Wimpey plc,1266849000,America/New_York,EDT,-14400000,1.4,none,740400000,0.21,738700032,113300000,0.737,5.042,3980199936,2.513,1.128,0.07195,0.12719,1132400000,546974976,318900000,-0.308,-0.212,0.24165002,0.18559,0.18486999,GBP,
8,Gate House,Turnpike Road,High Wycombe,HP12 3NR,United Kingdom,44 14 9455 8323,https://www.taylorwimpey.co.uk,Residential Construction,Consumer Cyclical,"Taylor Wimpey plc operates a residential developer in the United Kingdom and Spain. It builds and delivers various homes and communities. Taylor Wimpey plc was incorporated in 1935 and is based in High Wycombe, the United Kingdom.",5236,"{'maxAge': 1, 'name': 'Ian  Drummond', 'title': 'Divisional Chair of Scotland, North East & North Yorkshire', 'exercisedValue': 0, 'unexercisedValue': 0}",2,7,1,1,4,1693526400,1672444800,86400,4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.12,0.0866,1697068800,0.5949,1.756006,7.0,500,500,129,390,390,0.0,0.0,0,0,5214383616,0.95,1.61,1.3100808,1.5418,1.45285,0.096,0.06857143,USD,4313220096,0.14034,3492488648,3532460032,0.00911,0.68847,1.278,1.0954616,1672444800,1703980800,1688256000,-0.326,558600000,0.2,1.084,5.839,PNK,EQUITY,TWODF,TWODF,TAYLOR WIMPEY,Taylor Wimpey plc,1266849000,America/New_York,EDT,-14400000,1.4,none,740400000,0.21,738700032,113300000,0.737,5.042,3980199936,2.513,1.128,0.07195,0.12719,1132400000,546974976,318900000,-0.308,-0.212,0.24165002,0.18559,0.18486999,GBP,
9,Gate House,Turnpike Road,High Wycombe,HP12 3NR,United Kingdom,44 14 9455 8323,https://www.taylorwimpey.co.uk,Residential Construction,Consumer Cyclical,"Taylor Wimpey plc operates a residential developer in the United Kingdom and Spain. It builds and delivers various homes and communities. Taylor Wimpey plc was incorporated in 1935 and is based in High Wycombe, the United Kingdom.",5236,"{'maxAge': 1, 'name': 'Shaun  White', 'title': 'Divisional Chair of Midlands and Wales', 'exercisedValue': 0, 'unexercisedValue': 0}",2,7,1,1,4,1693526400,1672444800,86400,4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.12,0.0866,1697068800,0.5949,1.756006,7.0,500,500,129,390,390,0.0,0.0,0,0,5214383616,0.95,1.61,1.3100808,1.5418,1.45285,0.096,0.06857143,USD,4313220096,0.14034,3492488648,3532460032,0.00911,0.68847,1.278,1.0954616,1672444800,1703980800,1688256000,-0.326,558600000,0.2,1.084,5.839,PNK,EQUITY,TWODF,TWODF,TAYLOR WIMPEY,Taylor Wimpey plc,1266849000,America/New_York,EDT,-14400000,1.4,none,740400000,0.21,738700032,113300000,0.737,5.042,3980199936,2.513,1.128,0.07195,0.12719,1132400000,546974976,318900000,-0.308,-0.212,0.24165002,0.18559,0.18486999,GBP,
