,address1,address2,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,"7F, MK Ochanomizu Bldg.",1-8-2 Yushima Bunkyo-ku,Tokyo,113-0034,Japan,81 3 6845 0005,https://www.matsukiyococokara.com,Pharmaceutical Retailers,Healthcare,"MatsukiyoCocokara & Co. operates and manages a chain of drug stores and health insurance prescription pharmacies in Japan. The company is involved in the franchising of its stores. MatsukiyoCocokara & Co. was founded in 1932 and is based in Tokyo, Japan.",13657,"{'maxAge': 1, 'name': 'Mr. Kiyoo  Matsumoto', 'age': 49, 'title': 'CEO, Pres & Representative Director', 'yearBorn': 1973, 'fiscalYear': 2023, 'totalPay': 1152600, 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,5,4,5,1693526400,1703980800,86400,2,37.25,37.25,37.25,37.25,37.25,37.25,37.25,37.25,0.54,0.0146,1695859200,0.24180001,0.25,17.32558,397,397,0,0,0,5619497984,37.25,37.25,0.0057798307,37.25,37.25,0.0,0.0,USD,-64834351104,0.045879997,104338112,139400992,0.1534,0.36172,3517.697,0.010589315,1680220800,1711843200,1688083200,0.513,44612001792,2.15,-0.067,-0.723,PNK,EQUITY,MSMKF,MSMKF,MATSUKIYOCOCOKARA & CO,MatsukiyoCocokara & Co.,1403875800,America/New_York,EDT,-14400000,37.25,none,89629999104,642.97,89701752832,19363000320,0.984,2.24,972259983360,3.947,6931.384,0.06267,0.09392,0.534,0.092,0.34645,0.092259996,0.06929,JPY,
1,"7F, MK Ochanomizu Bldg.",1-8-2 Yushima Bunkyo-ku,Tokyo,113-0034,Japan,81 3 6845 0005,https://www.matsukiyococokara.com,Pharmaceutical Retailers,Healthcare,"MatsukiyoCocokara & Co. operates and manages a chain of drug stores and health insurance prescription pharmacies in Japan. The company is involved in the franchising of its stores. MatsukiyoCocokara & Co. was founded in 1932 and is based in Tokyo, Japan.",13657,"{'maxAge': 1, 'name': 'Mr. Takao  Watanabe', 'title': 'Exec. Officer & Deputy GM of Bus. Strategy Division', 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,5,4,5,1693526400,1703980800,86400,2,37.25,37.25,37.25,37.25,37.25,37.25,37.25,37.25,0.54,0.0146,1695859200,0.24180001,0.25,17.32558,397,397,0,0,0,5619497984,37.25,37.25,0.0057798307,37.25,37.25,0.0,0.0,USD,-64834351104,0.045879997,104338112,139400992,0.1534,0.36172,3517.697,0.010589315,1680220800,1711843200,1688083200,0.513,44612001792,2.15,-0.067,-0.723,PNK,EQUITY,MSMKF,MSMKF,MATSUKIYOCOCOKARA & CO,MatsukiyoCocokara & Co.,1403875800,America/New_York,EDT,-14400000,37.25,none,89629999104,642.97,89701752832,19363000320,0.984,2.24,972259983360,3.947,6931.384,0.06267,0.09392,0.534,0.092,0.34645,0.092259996,0.06929,JPY,
2,"7F, MK Ochanomizu Bldg.",1-8-2 Yushima Bunkyo-ku,Tokyo,113-0034,Japan,81 3 6845 0005,https://www.matsukiyococokara.com,Pharmaceutical Retailers,Healthcare,"MatsukiyoCocokara & Co. operates and manages a chain of drug stores and health insurance prescription pharmacies in Japan. The company is involved in the franchising of its stores. MatsukiyoCocokara & Co. was founded in 1932 and is based in Tokyo, Japan.",13657,"{'maxAge': 1, 'name': 'Mr. Takashi  Matsumoto', 'age': 47, 'title': 'Sr. MD, Head of Group Sales Planning & Representative Director', 'yearBorn': 1975, 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,5,4,5,1693526400,1703980800,86400,2,37.25,37.25,37.25,37.25,37.25,37.25,37.25,37.25,0.54,0.0146,1695859200,0.24180001,0.25,17.32558,397,397,0,0,0,5619497984,37.25,37.25,0.0057798307,37.25,37.25,0.0,0.0,USD,-64834351104,0.045879997,104338112,139400992,0.1534,0.36172,3517.697,0.010589315,1680220800,1711843200,1688083200,0.513,44612001792,2.15,-0.067,-0.723,PNK,EQUITY,MSMKF,MSMKF,MATSUKIYOCOCOKARA & CO,MatsukiyoCocokara & Co.,1403875800,America/New_York,EDT,-14400000,37.25,none,89629999104,642.97,89701752832,19363000320,0.984,2.24,972259983360,3.947,6931.384,0.06267,0.09392,0.534,0.092,0.34645,0.092259996,0.06929,JPY,
3,"7F, MK Ochanomizu Bldg.",1-8-2 Yushima Bunkyo-ku,Tokyo,113-0034,Japan,81 3 6845 0005,https://www.matsukiyococokara.com,Pharmaceutical Retailers,Healthcare,"MatsukiyoCocokara & Co. operates and manages a chain of drug stores and health insurance prescription pharmacies in Japan. The company is involved in the franchising of its stores. MatsukiyoCocokara & Co. was founded in 1932 and is based in Tokyo, Japan.",13657,"{'maxAge': 1, 'name': 'Mr. Akio  Ishibashi', 'age': 58, 'title': 'MD, Head of Group Management Planning & Director', 'yearBorn': 1964, 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,5,4,5,1693526400,1703980800,86400,2,37.25,37.25,37.25,37.25,37.25,37.25,37.25,37.25,0.54,0.0146,1695859200,0.24180001,0.25,17.32558,397,397,0,0,0,5619497984,37.25,37.25,0.0057798307,37.25,37.25,0.0,0.0,USD,-64834351104,0.045879997,104338112,139400992,0.1534,0.36172,3517.697,0.010589315,1680220800,1711843200,1688083200,0.513,44612001792,2.15,-0.067,-0.723,PNK,EQUITY,MSMKF,MSMKF,MATSUKIYOCOCOKARA & CO,MatsukiyoCocokara & Co.,1403875800,America/New_York,EDT,-14400000,37.25,none,89629999104,642.97,89701752832,19363000320,0.984,2.24,972259983360,3.947,6931.384,0.06267,0.09392,0.534,0.092,0.34645,0.092259996,0.06929,JPY,
4,"7F, MK Ochanomizu Bldg.",1-8-2 Yushima Bunkyo-ku,Tokyo,113-0034,Japan,81 3 6845 0005,https://www.matsukiyococokara.com,Pharmaceutical Retailers,Healthcare,"MatsukiyoCocokara & Co. operates and manages a chain of drug stores and health insurance prescription pharmacies in Japan. The company is involved in the franchising of its stores. MatsukiyoCocokara & Co. was founded in 1932 and is based in Tokyo, Japan.",13657,"{'maxAge': 1, 'name': 'Kazumasa  Sugito', 'title': 'Exec. Officer & Head of IT of Sales Division', 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,5,4,5,1693526400,1703980800,86400,2,37.25,37.25,37.25,37.25,37.25,37.25,37.25,37.25,0.54,0.0146,1695859200,0.24180001,0.25,17.32558,397,397,0,0,0,5619497984,37.25,37.25,0.0057798307,37.25,37.25,0.0,0.0,USD,-64834351104,0.045879997,104338112,139400992,0.1534,0.36172,3517.697,0.010589315,1680220800,1711843200,1688083200,0.513,44612001792,2.15,-0.067,-0.723,PNK,EQUITY,MSMKF,MSMKF,MATSUKIYOCOCOKARA & CO,MatsukiyoCocokara & Co.,1403875800,America/New_York,EDT,-14400000,37.25,none,89629999104,642.97,89701752832,19363000320,0.984,2.24,972259983360,3.947,6931.384,0.06267,0.09392,0.534,0.092,0.34645,0.092259996,0.06929,JPY,
5,"7F, MK Ochanomizu Bldg.",1-8-2 Yushima Bunkyo-ku,Tokyo,113-0034,Japan,81 3 6845 0005,https://www.matsukiyococokara.com,Pharmaceutical Retailers,Healthcare,"MatsukiyoCocokara & Co. operates and manages a chain of drug stores and health insurance prescription pharmacies in Japan. The company is involved in the franchising of its stores. MatsukiyoCocokara & Co. was founded in 1932 and is based in Tokyo, Japan.",13657,"{'maxAge': 1, 'name': 'Hiroshi  Ando', 'title': 'Exec. Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,5,4,5,1693526400,1703980800,86400,2,37.25,37.25,37.25,37.25,37.25,37.25,37.25,37.25,0.54,0.0146,1695859200,0.24180001,0.25,17.32558,397,397,0,0,0,5619497984,37.25,37.25,0.0057798307,37.25,37.25,0.0,0.0,USD,-64834351104,0.045879997,104338112,139400992,0.1534,0.36172,3517.697,0.010589315,1680220800,1711843200,1688083200,0.513,44612001792,2.15,-0.067,-0.723,PNK,EQUITY,MSMKF,MSMKF,MATSUKIYOCOCOKARA & CO,MatsukiyoCocokara & Co.,1403875800,America/New_York,EDT,-14400000,37.25,none,89629999104,642.97,89701752832,19363000320,0.984,2.24,972259983360,3.947,6931.384,0.06267,0.09392,0.534,0.092,0.34645,0.092259996,0.06929,JPY,
6,"7F, MK Ochanomizu Bldg.",1-8-2 Yushima Bunkyo-ku,Tokyo,113-0034,Japan,81 3 6845 0005,https://www.matsukiyococokara.com,Pharmaceutical Retailers,Healthcare,"MatsukiyoCocokara & Co. operates and manages a chain of drug stores and health insurance prescription pharmacies in Japan. The company is involved in the franchising of its stores. MatsukiyoCocokara & Co. was founded in 1932 and is based in Tokyo, Japan.",13657,"{'maxAge': 1, 'name': 'Ryoji  Miyata', 'title': 'Exec. Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,5,4,5,1693526400,1703980800,86400,2,37.25,37.25,37.25,37.25,37.25,37.25,37.25,37.25,0.54,0.0146,1695859200,0.24180001,0.25,17.32558,397,397,0,0,0,5619497984,37.25,37.25,0.0057798307,37.25,37.25,0.0,0.0,USD,-64834351104,0.045879997,104338112,139400992,0.1534,0.36172,3517.697,0.010589315,1680220800,1711843200,1688083200,0.513,44612001792,2.15,-0.067,-0.723,PNK,EQUITY,MSMKF,MSMKF,MATSUKIYOCOCOKARA & CO,MatsukiyoCocokara & Co.,1403875800,America/New_York,EDT,-14400000,37.25,none,89629999104,642.97,89701752832,19363000320,0.984,2.24,972259983360,3.947,6931.384,0.06267,0.09392,0.534,0.092,0.34645,0.092259996,0.06929,JPY,
7,"7F, MK Ochanomizu Bldg.",1-8-2 Yushima Bunkyo-ku,Tokyo,113-0034,Japan,81 3 6845 0005,https://www.matsukiyococokara.com,Pharmaceutical Retailers,Healthcare,"MatsukiyoCocokara & Co. operates and manages a chain of drug stores and health insurance prescription pharmacies in Japan. The company is involved in the franchising of its stores. MatsukiyoCocokara & Co. was founded in 1932 and is based in Tokyo, Japan.",13657,"{'maxAge': 1, 'name': 'Mr. Takashi  Matsuda', 'age': 50, 'title': 'Deputy Head of Group Sales Planning & Director', 'yearBorn': 1972, 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,5,4,5,1693526400,1703980800,86400,2,37.25,37.25,37.25,37.25,37.25,37.25,37.25,37.25,0.54,0.0146,1695859200,0.24180001,0.25,17.32558,397,397,0,0,0,5619497984,37.25,37.25,0.0057798307,37.25,37.25,0.0,0.0,USD,-64834351104,0.045879997,104338112,139400992,0.1534,0.36172,3517.697,0.010589315,1680220800,1711843200,1688083200,0.513,44612001792,2.15,-0.067,-0.723,PNK,EQUITY,MSMKF,MSMKF,MATSUKIYOCOCOKARA & CO,MatsukiyoCocokara & Co.,1403875800,America/New_York,EDT,-14400000,37.25,none,89629999104,642.97,89701752832,19363000320,0.984,2.24,972259983360,3.947,6931.384,0.06267,0.09392,0.534,0.092,0.34645,0.092259996,0.06929,JPY,
8,"7F, MK Ochanomizu Bldg.",1-8-2 Yushima Bunkyo-ku,Tokyo,113-0034,Japan,81 3 6845 0005,https://www.matsukiyococokara.com,Pharmaceutical Retailers,Healthcare,"MatsukiyoCocokara & Co. operates and manages a chain of drug stores and health insurance prescription pharmacies in Japan. The company is involved in the franchising of its stores. MatsukiyoCocokara & Co. was founded in 1932 and is based in Tokyo, Japan.",13657,"{'maxAge': 1, 'name': 'Hitoshi  Takagi', 'title': 'Exec. Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,5,4,5,1693526400,1703980800,86400,2,37.25,37.25,37.25,37.25,37.25,37.25,37.25,37.25,0.54,0.0146,1695859200,0.24180001,0.25,17.32558,397,397,0,0,0,5619497984,37.25,37.25,0.0057798307,37.25,37.25,0.0,0.0,USD,-64834351104,0.045879997,104338112,139400992,0.1534,0.36172,3517.697,0.010589315,1680220800,1711843200,1688083200,0.513,44612001792,2.15,-0.067,-0.723,PNK,EQUITY,MSMKF,MSMKF,MATSUKIYOCOCOKARA & CO,MatsukiyoCocokara & Co.,1403875800,America/New_York,EDT,-14400000,37.25,none,89629999104,642.97,89701752832,19363000320,0.984,2.24,972259983360,3.947,6931.384,0.06267,0.09392,0.534,0.092,0.34645,0.092259996,0.06929,JPY,
9,"7F, MK Ochanomizu Bldg.",1-8-2 Yushima Bunkyo-ku,Tokyo,113-0034,Japan,81 3 6845 0005,https://www.matsukiyococokara.com,Pharmaceutical Retailers,Healthcare,"MatsukiyoCocokara & Co. operates and manages a chain of drug stores and health insurance prescription pharmacies in Japan. The company is involved in the franchising of its stores. MatsukiyoCocokara & Co. was founded in 1932 and is based in Tokyo, Japan.",13657,"{'maxAge': 1, 'name': 'Taro  Yamauchi', 'title': 'Exec. Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,5,4,5,1693526400,1703980800,86400,2,37.25,37.25,37.25,37.25,37.25,37.25,37.25,37.25,0.54,0.0146,1695859200,0.24180001,0.25,17.32558,397,397,0,0,0,5619497984,37.25,37.25,0.0057798307,37.25,37.25,0.0,0.0,USD,-64834351104,0.045879997,104338112,139400992,0.1534,0.36172,3517.697,0.010589315,1680220800,1711843200,1688083200,0.513,44612001792,2.15,-0.067,-0.723,PNK,EQUITY,MSMKF,MSMKF,MATSUKIYOCOCOKARA & CO,MatsukiyoCocokara & Co.,1403875800,America/New_York,EDT,-14400000,37.25,none,89629999104,642.97,89701752832,19363000320,0.984,2.24,972259983360,3.947,6931.384,0.06267,0.09392,0.534,0.092,0.34645,0.092259996,0.06929,JPY,
