,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,210 Broadway,Cambridge,MA,02139,United States,855 522 3444,https://www.everquote.com,Internet Content & Information,Communication Services,"EverQuote, Inc. operates an online marketplace for insurance shopping in the United States. The company offers auto, home and renters, life, and health insurance. It also engages in online business activities. The company serves carriers and agents, as well as indirect distributors. The company was formerly known as AdHarmonics, Inc., and changed its name to EverQuote, Inc. in November 2014. EverQuote, Inc. was incorporated in 2008 and is based in Cambridge, Massachusetts.",612,"{'maxAge': 1, 'name': 'Mr. Jayme  Mendal', 'age': 36, 'title': 'Pres, CEO & Director', 'yearBorn': 1986, 'fiscalYear': 2022, 'totalPay': 546706, 'exercisedValue': 0, 'unexercisedValue': 979346}",8,10,8,10,10,1693526400,1672444800,86400,2,6.75,6.73,6.345,6.8,6.75,6.73,6.345,6.8,0.0,1.152489,-8.533334,353109,353109,310504,245940,245940,6.39,6.41,1400,800,213544320,5.23,18.86,0.5791252,6.4469,10.3728,0.0,0.0,USD,198797440,-0.083170004,20608354,27762000,1221327,1516591,1690761600,1693440000,0.0366,0.26379,0.70023,4.53,0.0583,3.163,2.0233955,1672444800,1703980800,1688083200,-30667000,-1.02,-0.75,0.41,0.539,-7.992,NGM,EQUITY,EVER,EVER,"EverQuote, Inc.","EverQuote, Inc.",1530192600,America/New_York,EDT,-14400000,6.4,11.0,6.0,8.5,8.5,2.3,buy,4,31048000,0.931,-24873000,4623000,1.742,1.879,368736000,4.38,11.321,-0.114259996,-0.28959998,380147000,11703625,-6307000,-0.333,0.93694,-0.06745,-0.07587,USD,
1,210 Broadway,Cambridge,MA,02139,United States,855 522 3444,https://www.everquote.com,Internet Content & Information,Communication Services,"EverQuote, Inc. operates an online marketplace for insurance shopping in the United States. The company offers auto, home and renters, life, and health insurance. It also engages in online business activities. The company serves carriers and agents, as well as indirect distributors. The company was formerly known as AdHarmonics, Inc., and changed its name to EverQuote, Inc. in November 2014. EverQuote, Inc. was incorporated in 2008 and is based in Cambridge, Massachusetts.",612,"{'maxAge': 1, 'name': 'Mr. David  Brainard', 'age': 50, 'title': 'Chief Technology Officer', 'yearBorn': 1972, 'fiscalYear': 2022, 'totalPay': 437754, 'exercisedValue': 0, 'unexercisedValue': 16656}",8,10,8,10,10,1693526400,1672444800,86400,2,6.75,6.73,6.345,6.8,6.75,6.73,6.345,6.8,0.0,1.152489,-8.533334,353109,353109,310504,245940,245940,6.39,6.41,1400,800,213544320,5.23,18.86,0.5791252,6.4469,10.3728,0.0,0.0,USD,198797440,-0.083170004,20608354,27762000,1221327,1516591,1690761600,1693440000,0.0366,0.26379,0.70023,4.53,0.0583,3.163,2.0233955,1672444800,1703980800,1688083200,-30667000,-1.02,-0.75,0.41,0.539,-7.992,NGM,EQUITY,EVER,EVER,"EverQuote, Inc.","EverQuote, Inc.",1530192600,America/New_York,EDT,-14400000,6.4,11.0,6.0,8.5,8.5,2.3,buy,4,31048000,0.931,-24873000,4623000,1.742,1.879,368736000,4.38,11.321,-0.114259996,-0.28959998,380147000,11703625,-6307000,-0.333,0.93694,-0.06745,-0.07587,USD,
2,210 Broadway,Cambridge,MA,02139,United States,855 522 3444,https://www.everquote.com,Internet Content & Information,Communication Services,"EverQuote, Inc. operates an online marketplace for insurance shopping in the United States. The company offers auto, home and renters, life, and health insurance. It also engages in online business activities. The company serves carriers and agents, as well as indirect distributors. The company was formerly known as AdHarmonics, Inc., and changed its name to EverQuote, Inc. in November 2014. EverQuote, Inc. was incorporated in 2008 and is based in Cambridge, Massachusetts.",612,"{'maxAge': 1, 'name': 'Mr. David Bransford Blundin', 'age': 55, 'title': 'Co-Founder & Chairman', 'yearBorn': 1967, 'fiscalYear': 2021, 'exercisedValue': 0, 'unexercisedValue': 0}",8,10,8,10,10,1693526400,1672444800,86400,2,6.75,6.73,6.345,6.8,6.75,6.73,6.345,6.8,0.0,1.152489,-8.533334,353109,353109,310504,245940,245940,6.39,6.41,1400,800,213544320,5.23,18.86,0.5791252,6.4469,10.3728,0.0,0.0,USD,198797440,-0.083170004,20608354,27762000,1221327,1516591,1690761600,1693440000,0.0366,0.26379,0.70023,4.53,0.0583,3.163,2.0233955,1672444800,1703980800,1688083200,-30667000,-1.02,-0.75,0.41,0.539,-7.992,NGM,EQUITY,EVER,EVER,"EverQuote, Inc.","EverQuote, Inc.",1530192600,America/New_York,EDT,-14400000,6.4,11.0,6.0,8.5,8.5,2.3,buy,4,31048000,0.931,-24873000,4623000,1.742,1.879,368736000,4.38,11.321,-0.114259996,-0.28959998,380147000,11703625,-6307000,-0.333,0.93694,-0.06745,-0.07587,USD,
3,210 Broadway,Cambridge,MA,02139,United States,855 522 3444,https://www.everquote.com,Internet Content & Information,Communication Services,"EverQuote, Inc. operates an online marketplace for insurance shopping in the United States. The company offers auto, home and renters, life, and health insurance. It also engages in online business activities. The company serves carriers and agents, as well as indirect distributors. The company was formerly known as AdHarmonics, Inc., and changed its name to EverQuote, Inc. in November 2014. EverQuote, Inc. was incorporated in 2008 and is based in Cambridge, Massachusetts.",612,"{'maxAge': 1, 'name': 'Mr. Tomas  Revesz Jr.', 'age': 48, 'title': 'Co-Founder & Chief Architect', 'yearBorn': 1974, 'fiscalYear': 2018, 'exercisedValue': 0, 'unexercisedValue': 0}",8,10,8,10,10,1693526400,1672444800,86400,2,6.75,6.73,6.345,6.8,6.75,6.73,6.345,6.8,0.0,1.152489,-8.533334,353109,353109,310504,245940,245940,6.39,6.41,1400,800,213544320,5.23,18.86,0.5791252,6.4469,10.3728,0.0,0.0,USD,198797440,-0.083170004,20608354,27762000,1221327,1516591,1690761600,1693440000,0.0366,0.26379,0.70023,4.53,0.0583,3.163,2.0233955,1672444800,1703980800,1688083200,-30667000,-1.02,-0.75,0.41,0.539,-7.992,NGM,EQUITY,EVER,EVER,"EverQuote, Inc.","EverQuote, Inc.",1530192600,America/New_York,EDT,-14400000,6.4,11.0,6.0,8.5,8.5,2.3,buy,4,31048000,0.931,-24873000,4623000,1.742,1.879,368736000,4.38,11.321,-0.114259996,-0.28959998,380147000,11703625,-6307000,-0.333,0.93694,-0.06745,-0.07587,USD,
4,210 Broadway,Cambridge,MA,02139,United States,855 522 3444,https://www.everquote.com,Internet Content & Information,Communication Services,"EverQuote, Inc. operates an online marketplace for insurance shopping in the United States. The company offers auto, home and renters, life, and health insurance. It also engages in online business activities. The company serves carriers and agents, as well as indirect distributors. The company was formerly known as AdHarmonics, Inc., and changed its name to EverQuote, Inc. in November 2014. EverQuote, Inc. was incorporated in 2008 and is based in Cambridge, Massachusetts.",612,"{'maxAge': 1, 'name': 'Mr. Joseph  Sanborn', 'title': 'Chief Financial Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",8,10,8,10,10,1693526400,1672444800,86400,2,6.75,6.73,6.345,6.8,6.75,6.73,6.345,6.8,0.0,1.152489,-8.533334,353109,353109,310504,245940,245940,6.39,6.41,1400,800,213544320,5.23,18.86,0.5791252,6.4469,10.3728,0.0,0.0,USD,198797440,-0.083170004,20608354,27762000,1221327,1516591,1690761600,1693440000,0.0366,0.26379,0.70023,4.53,0.0583,3.163,2.0233955,1672444800,1703980800,1688083200,-30667000,-1.02,-0.75,0.41,0.539,-7.992,NGM,EQUITY,EVER,EVER,"EverQuote, Inc.","EverQuote, Inc.",1530192600,America/New_York,EDT,-14400000,6.4,11.0,6.0,8.5,8.5,2.3,buy,4,31048000,0.931,-24873000,4623000,1.742,1.879,368736000,4.38,11.321,-0.114259996,-0.28959998,380147000,11703625,-6307000,-0.333,0.93694,-0.06745,-0.07587,USD,
5,210 Broadway,Cambridge,MA,02139,United States,855 522 3444,https://www.everquote.com,Internet Content & Information,Communication Services,"EverQuote, Inc. operates an online marketplace for insurance shopping in the United States. The company offers auto, home and renters, life, and health insurance. It also engages in online business activities. The company serves carriers and agents, as well as indirect distributors. The company was formerly known as AdHarmonics, Inc., and changed its name to EverQuote, Inc. in November 2014. EverQuote, Inc. was incorporated in 2008 and is based in Cambridge, Massachusetts.",612,"{'maxAge': 1, 'name': 'Mr. Eugene  Suzuki', 'age': 46, 'title': 'Chief Information Officer', 'yearBorn': 1976, 'exercisedValue': 0, 'unexercisedValue': 0}",8,10,8,10,10,1693526400,1672444800,86400,2,6.75,6.73,6.345,6.8,6.75,6.73,6.345,6.8,0.0,1.152489,-8.533334,353109,353109,310504,245940,245940,6.39,6.41,1400,800,213544320,5.23,18.86,0.5791252,6.4469,10.3728,0.0,0.0,USD,198797440,-0.083170004,20608354,27762000,1221327,1516591,1690761600,1693440000,0.0366,0.26379,0.70023,4.53,0.0583,3.163,2.0233955,1672444800,1703980800,1688083200,-30667000,-1.02,-0.75,0.41,0.539,-7.992,NGM,EQUITY,EVER,EVER,"EverQuote, Inc.","EverQuote, Inc.",1530192600,America/New_York,EDT,-14400000,6.4,11.0,6.0,8.5,8.5,2.3,buy,4,31048000,0.931,-24873000,4623000,1.742,1.879,368736000,4.38,11.321,-0.114259996,-0.28959998,380147000,11703625,-6307000,-0.333,0.93694,-0.06745,-0.07587,USD,
6,210 Broadway,Cambridge,MA,02139,United States,855 522 3444,https://www.everquote.com,Internet Content & Information,Communication Services,"EverQuote, Inc. operates an online marketplace for insurance shopping in the United States. The company offers auto, home and renters, life, and health insurance. It also engages in online business activities. The company serves carriers and agents, as well as indirect distributors. The company was formerly known as AdHarmonics, Inc., and changed its name to EverQuote, Inc. in November 2014. EverQuote, Inc. was incorporated in 2008 and is based in Cambridge, Massachusetts.",612,"{'maxAge': 1, 'name': 'Ms. Julia G. Brncic', 'age': 48, 'title': 'Gen. Counsel & Corp. Sec.', 'yearBorn': 1974, 'exercisedValue': 0, 'unexercisedValue': 0}",8,10,8,10,10,1693526400,1672444800,86400,2,6.75,6.73,6.345,6.8,6.75,6.73,6.345,6.8,0.0,1.152489,-8.533334,353109,353109,310504,245940,245940,6.39,6.41,1400,800,213544320,5.23,18.86,0.5791252,6.4469,10.3728,0.0,0.0,USD,198797440,-0.083170004,20608354,27762000,1221327,1516591,1690761600,1693440000,0.0366,0.26379,0.70023,4.53,0.0583,3.163,2.0233955,1672444800,1703980800,1688083200,-30667000,-1.02,-0.75,0.41,0.539,-7.992,NGM,EQUITY,EVER,EVER,"EverQuote, Inc.","EverQuote, Inc.",1530192600,America/New_York,EDT,-14400000,6.4,11.0,6.0,8.5,8.5,2.3,buy,4,31048000,0.931,-24873000,4623000,1.742,1.879,368736000,4.38,11.321,-0.114259996,-0.28959998,380147000,11703625,-6307000,-0.333,0.93694,-0.06745,-0.07587,USD,
7,210 Broadway,Cambridge,MA,02139,United States,855 522 3444,https://www.everquote.com,Internet Content & Information,Communication Services,"EverQuote, Inc. operates an online marketplace for insurance shopping in the United States. The company offers auto, home and renters, life, and health insurance. It also engages in online business activities. The company serves carriers and agents, as well as indirect distributors. The company was formerly known as AdHarmonics, Inc., and changed its name to EverQuote, Inc. in November 2014. EverQuote, Inc. was incorporated in 2008 and is based in Cambridge, Massachusetts.",612,"{'maxAge': 1, 'name': 'Mr. Garett  Kitch', 'title': 'Chief Sales Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",8,10,8,10,10,1693526400,1672444800,86400,2,6.75,6.73,6.345,6.8,6.75,6.73,6.345,6.8,0.0,1.152489,-8.533334,353109,353109,310504,245940,245940,6.39,6.41,1400,800,213544320,5.23,18.86,0.5791252,6.4469,10.3728,0.0,0.0,USD,198797440,-0.083170004,20608354,27762000,1221327,1516591,1690761600,1693440000,0.0366,0.26379,0.70023,4.53,0.0583,3.163,2.0233955,1672444800,1703980800,1688083200,-30667000,-1.02,-0.75,0.41,0.539,-7.992,NGM,EQUITY,EVER,EVER,"EverQuote, Inc.","EverQuote, Inc.",1530192600,America/New_York,EDT,-14400000,6.4,11.0,6.0,8.5,8.5,2.3,buy,4,31048000,0.931,-24873000,4623000,1.742,1.879,368736000,4.38,11.321,-0.114259996,-0.28959998,380147000,11703625,-6307000,-0.333,0.93694,-0.06745,-0.07587,USD,
8,210 Broadway,Cambridge,MA,02139,United States,855 522 3444,https://www.everquote.com,Internet Content & Information,Communication Services,"EverQuote, Inc. operates an online marketplace for insurance shopping in the United States. The company offers auto, home and renters, life, and health insurance. It also engages in online business activities. The company serves carriers and agents, as well as indirect distributors. The company was formerly known as AdHarmonics, Inc., and changed its name to EverQuote, Inc. in November 2014. EverQuote, Inc. was incorporated in 2008 and is based in Cambridge, Massachusetts.",612,"{'maxAge': 1, 'name': 'Mr. Tom  Ellis', 'title': 'Exec. VP of Growth Strategy', 'exercisedValue': 0, 'unexercisedValue': 0}",8,10,8,10,10,1693526400,1672444800,86400,2,6.75,6.73,6.345,6.8,6.75,6.73,6.345,6.8,0.0,1.152489,-8.533334,353109,353109,310504,245940,245940,6.39,6.41,1400,800,213544320,5.23,18.86,0.5791252,6.4469,10.3728,0.0,0.0,USD,198797440,-0.083170004,20608354,27762000,1221327,1516591,1690761600,1693440000,0.0366,0.26379,0.70023,4.53,0.0583,3.163,2.0233955,1672444800,1703980800,1688083200,-30667000,-1.02,-0.75,0.41,0.539,-7.992,NGM,EQUITY,EVER,EVER,"EverQuote, Inc.","EverQuote, Inc.",1530192600,America/New_York,EDT,-14400000,6.4,11.0,6.0,8.5,8.5,2.3,buy,4,31048000,0.931,-24873000,4623000,1.742,1.879,368736000,4.38,11.321,-0.114259996,-0.28959998,380147000,11703625,-6307000,-0.333,0.93694,-0.06745,-0.07587,USD,
9,210 Broadway,Cambridge,MA,02139,United States,855 522 3444,https://www.everquote.com,Internet Content & Information,Communication Services,"EverQuote, Inc. operates an online marketplace for insurance shopping in the United States. The company offers auto, home and renters, life, and health insurance. It also engages in online business activities. The company serves carriers and agents, as well as indirect distributors. The company was formerly known as AdHarmonics, Inc., and changed its name to EverQuote, Inc. in November 2014. EverQuote, Inc. was incorporated in 2008 and is based in Cambridge, Massachusetts.",612,"{'maxAge': 1, 'name': 'Mr. Hunter  Ingram', 'title': 'Chief Commercial Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",8,10,8,10,10,1693526400,1672444800,86400,2,6.75,6.73,6.345,6.8,6.75,6.73,6.345,6.8,0.0,1.152489,-8.533334,353109,353109,310504,245940,245940,6.39,6.41,1400,800,213544320,5.23,18.86,0.5791252,6.4469,10.3728,0.0,0.0,USD,198797440,-0.083170004,20608354,27762000,1221327,1516591,1690761600,1693440000,0.0366,0.26379,0.70023,4.53,0.0583,3.163,2.0233955,1672444800,1703980800,1688083200,-30667000,-1.02,-0.75,0.41,0.539,-7.992,NGM,EQUITY,EVER,EVER,"EverQuote, Inc.","EverQuote, Inc.",1530192600,America/New_York,EDT,-14400000,6.4,11.0,6.0,8.5,8.5,2.3,buy,4,31048000,0.931,-24873000,4623000,1.742,1.879,368736000,4.38,11.321,-0.114259996,-0.28959998,380147000,11703625,-6307000,-0.333,0.93694,-0.06745,-0.07587,USD,
