,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,535 Madison Avenue,4th Floor,New York,NY,10022,United States,212-906-7800,https://www.saratogainvestmentcorp.com,Asset Management,Financial Services,"Saratoga Investment Corp. is a business development company specializing in leveraged and management buyouts, acquisition financings, growth financings, recapitalization, debt refinancing, and transitional financing transactions at the lower end of middle market companies. It structures its investments as debt and equity by investing through first and second lien loans, mezzanine debt, co-investments, select high yield bonds, senior secured bonds, unsecured bonds, and preferred and common equity. The firm prefers to invest in aerospace, automotive aftermarket and services, business products and services, consumer products and services, education, environmental services, industrial services, financial services, food and beverage, healthcare products and services, logistics, distribution, manufacturing, restaurants services, food services, software services, technology services, specialty chemical, media and telecommunications. It seeks to invest in the United States. The firm primarily invests $5 million to $50 million in companies having EBITDA of $2 million or greater and revenues of $8 million to $250 million. The firm prefer to take a majority stake. It invests through direct lending as well as participation in loan syndicates. The firm was formerly known as GSC Investment Corp. Saratoga Investment Corp. was formed on 2007 and is based in New York, New York with an additional office in Florham Park, New Jersey.","{'maxAge': 1, 'name': 'Mr. Christian L. Oberbeck', 'age': 62, 'title': 'Chairman, CEO & Pres', 'yearBorn': 1960, 'fiscalYear': 2023, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,25.82,25.52,25.43,25.95,25.82,25.52,25.43,25.95,2.78,0.1082,1694563200,1.1296,8.52,1.385892,11.898148,6.745407,253217,253217,113122,164560,164560,25.59,25.68,1100,900,320730880,20.16,28.87,2.7875817,26.3426,26.1224,2.61,0.101084426,USD,1075483904,0.22554001,10132978,12479800,19187,26416,1690761600,1693440000,0.0015,0.18037,0.16155,0.24,0.0018000001,28.482,0.9023243,1677542400,1709078400,1685491200,25949924,2.16,3.81,1:10,1281657600,9.347,NYQ,EQUITY,SAR,SAR,Saratoga Investment Corp New,Saratoga Investment Corp.,1175002200,America/New_York,EDT,-14400000,25.7,30.0,25.0,28.11,28.75,1.6,buy,7,21987196,1.835,789590784,0.589,1.196,115057032,233.987,9.668,0.04802,0.07602,99104120,3224960,-161077024,0.854,1.0,0.0,0.71724,USD,
1,535 Madison Avenue,4th Floor,New York,NY,10022,United States,212-906-7800,https://www.saratogainvestmentcorp.com,Asset Management,Financial Services,"Saratoga Investment Corp. is a business development company specializing in leveraged and management buyouts, acquisition financings, growth financings, recapitalization, debt refinancing, and transitional financing transactions at the lower end of middle market companies. It structures its investments as debt and equity by investing through first and second lien loans, mezzanine debt, co-investments, select high yield bonds, senior secured bonds, unsecured bonds, and preferred and common equity. The firm prefers to invest in aerospace, automotive aftermarket and services, business products and services, consumer products and services, education, environmental services, industrial services, financial services, food and beverage, healthcare products and services, logistics, distribution, manufacturing, restaurants services, food services, software services, technology services, specialty chemical, media and telecommunications. It seeks to invest in the United States. The firm primarily invests $5 million to $50 million in companies having EBITDA of $2 million or greater and revenues of $8 million to $250 million. The firm prefer to take a majority stake. It invests through direct lending as well as participation in loan syndicates. The firm was formerly known as GSC Investment Corp. Saratoga Investment Corp. was formed on 2007 and is based in New York, New York with an additional office in Florham Park, New Jersey.","{'maxAge': 1, 'name': 'Mr. Henri J. Steenkamp', 'age': 46, 'title': 'Chief Compliance Officer, Sec., Treasurer, CFO & Director', 'yearBorn': 1976, 'fiscalYear': 2023, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,25.82,25.52,25.43,25.95,25.82,25.52,25.43,25.95,2.78,0.1082,1694563200,1.1296,8.52,1.385892,11.898148,6.745407,253217,253217,113122,164560,164560,25.59,25.68,1100,900,320730880,20.16,28.87,2.7875817,26.3426,26.1224,2.61,0.101084426,USD,1075483904,0.22554001,10132978,12479800,19187,26416,1690761600,1693440000,0.0015,0.18037,0.16155,0.24,0.0018000001,28.482,0.9023243,1677542400,1709078400,1685491200,25949924,2.16,3.81,1:10,1281657600,9.347,NYQ,EQUITY,SAR,SAR,Saratoga Investment Corp New,Saratoga Investment Corp.,1175002200,America/New_York,EDT,-14400000,25.7,30.0,25.0,28.11,28.75,1.6,buy,7,21987196,1.835,789590784,0.589,1.196,115057032,233.987,9.668,0.04802,0.07602,99104120,3224960,-161077024,0.854,1.0,0.0,0.71724,USD,
2,535 Madison Avenue,4th Floor,New York,NY,10022,United States,212-906-7800,https://www.saratogainvestmentcorp.com,Asset Management,Financial Services,"Saratoga Investment Corp. is a business development company specializing in leveraged and management buyouts, acquisition financings, growth financings, recapitalization, debt refinancing, and transitional financing transactions at the lower end of middle market companies. It structures its investments as debt and equity by investing through first and second lien loans, mezzanine debt, co-investments, select high yield bonds, senior secured bonds, unsecured bonds, and preferred and common equity. The firm prefers to invest in aerospace, automotive aftermarket and services, business products and services, consumer products and services, education, environmental services, industrial services, financial services, food and beverage, healthcare products and services, logistics, distribution, manufacturing, restaurants services, food services, software services, technology services, specialty chemical, media and telecommunications. It seeks to invest in the United States. The firm primarily invests $5 million to $50 million in companies having EBITDA of $2 million or greater and revenues of $8 million to $250 million. The firm prefer to take a majority stake. It invests through direct lending as well as participation in loan syndicates. The firm was formerly known as GSC Investment Corp. Saratoga Investment Corp. was formed on 2007 and is based in New York, New York with an additional office in Florham Park, New Jersey.","{'maxAge': 1, 'name': 'Mr. Michael Joseph Grisius', 'age': 58, 'title': 'Co-Managing Partner & Chief Investment Officer', 'yearBorn': 1964, 'fiscalYear': 2019, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,25.82,25.52,25.43,25.95,25.82,25.52,25.43,25.95,2.78,0.1082,1694563200,1.1296,8.52,1.385892,11.898148,6.745407,253217,253217,113122,164560,164560,25.59,25.68,1100,900,320730880,20.16,28.87,2.7875817,26.3426,26.1224,2.61,0.101084426,USD,1075483904,0.22554001,10132978,12479800,19187,26416,1690761600,1693440000,0.0015,0.18037,0.16155,0.24,0.0018000001,28.482,0.9023243,1677542400,1709078400,1685491200,25949924,2.16,3.81,1:10,1281657600,9.347,NYQ,EQUITY,SAR,SAR,Saratoga Investment Corp New,Saratoga Investment Corp.,1175002200,America/New_York,EDT,-14400000,25.7,30.0,25.0,28.11,28.75,1.6,buy,7,21987196,1.835,789590784,0.589,1.196,115057032,233.987,9.668,0.04802,0.07602,99104120,3224960,-161077024,0.854,1.0,0.0,0.71724,USD,
3,535 Madison Avenue,4th Floor,New York,NY,10022,United States,212-906-7800,https://www.saratogainvestmentcorp.com,Asset Management,Financial Services,"Saratoga Investment Corp. is a business development company specializing in leveraged and management buyouts, acquisition financings, growth financings, recapitalization, debt refinancing, and transitional financing transactions at the lower end of middle market companies. It structures its investments as debt and equity by investing through first and second lien loans, mezzanine debt, co-investments, select high yield bonds, senior secured bonds, unsecured bonds, and preferred and common equity. The firm prefers to invest in aerospace, automotive aftermarket and services, business products and services, consumer products and services, education, environmental services, industrial services, financial services, food and beverage, healthcare products and services, logistics, distribution, manufacturing, restaurants services, food services, software services, technology services, specialty chemical, media and telecommunications. It seeks to invest in the United States. The firm primarily invests $5 million to $50 million in companies having EBITDA of $2 million or greater and revenues of $8 million to $250 million. The firm prefer to take a majority stake. It invests through direct lending as well as participation in loan syndicates. The firm was formerly known as GSC Investment Corp. Saratoga Investment Corp. was formed on 2007 and is based in New York, New York with an additional office in Florham Park, New Jersey.","{'maxAge': 1, 'name': 'Mr. Adam  Prior', 'title': 'Sr. VP', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,25.82,25.52,25.43,25.95,25.82,25.52,25.43,25.95,2.78,0.1082,1694563200,1.1296,8.52,1.385892,11.898148,6.745407,253217,253217,113122,164560,164560,25.59,25.68,1100,900,320730880,20.16,28.87,2.7875817,26.3426,26.1224,2.61,0.101084426,USD,1075483904,0.22554001,10132978,12479800,19187,26416,1690761600,1693440000,0.0015,0.18037,0.16155,0.24,0.0018000001,28.482,0.9023243,1677542400,1709078400,1685491200,25949924,2.16,3.81,1:10,1281657600,9.347,NYQ,EQUITY,SAR,SAR,Saratoga Investment Corp New,Saratoga Investment Corp.,1175002200,America/New_York,EDT,-14400000,25.7,30.0,25.0,28.11,28.75,1.6,buy,7,21987196,1.835,789590784,0.589,1.196,115057032,233.987,9.668,0.04802,0.07602,99104120,3224960,-161077024,0.854,1.0,0.0,0.71724,USD,
4,535 Madison Avenue,4th Floor,New York,NY,10022,United States,212-906-7800,https://www.saratogainvestmentcorp.com,Asset Management,Financial Services,"Saratoga Investment Corp. is a business development company specializing in leveraged and management buyouts, acquisition financings, growth financings, recapitalization, debt refinancing, and transitional financing transactions at the lower end of middle market companies. It structures its investments as debt and equity by investing through first and second lien loans, mezzanine debt, co-investments, select high yield bonds, senior secured bonds, unsecured bonds, and preferred and common equity. The firm prefers to invest in aerospace, automotive aftermarket and services, business products and services, consumer products and services, education, environmental services, industrial services, financial services, food and beverage, healthcare products and services, logistics, distribution, manufacturing, restaurants services, food services, software services, technology services, specialty chemical, media and telecommunications. It seeks to invest in the United States. The firm primarily invests $5 million to $50 million in companies having EBITDA of $2 million or greater and revenues of $8 million to $250 million. The firm prefer to take a majority stake. It invests through direct lending as well as participation in loan syndicates. The firm was formerly known as GSC Investment Corp. Saratoga Investment Corp. was formed on 2007 and is based in New York, New York with an additional office in Florham Park, New Jersey.","{'maxAge': 1, 'name': 'Mr. Richard A. Petrocelli CPA', 'age': 54, 'title': 'Managing Director', 'yearBorn': 1968, 'fiscalYear': 2011, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,25.82,25.52,25.43,25.95,25.82,25.52,25.43,25.95,2.78,0.1082,1694563200,1.1296,8.52,1.385892,11.898148,6.745407,253217,253217,113122,164560,164560,25.59,25.68,1100,900,320730880,20.16,28.87,2.7875817,26.3426,26.1224,2.61,0.101084426,USD,1075483904,0.22554001,10132978,12479800,19187,26416,1690761600,1693440000,0.0015,0.18037,0.16155,0.24,0.0018000001,28.482,0.9023243,1677542400,1709078400,1685491200,25949924,2.16,3.81,1:10,1281657600,9.347,NYQ,EQUITY,SAR,SAR,Saratoga Investment Corp New,Saratoga Investment Corp.,1175002200,America/New_York,EDT,-14400000,25.7,30.0,25.0,28.11,28.75,1.6,buy,7,21987196,1.835,789590784,0.589,1.196,115057032,233.987,9.668,0.04802,0.07602,99104120,3224960,-161077024,0.854,1.0,0.0,0.71724,USD,
5,535 Madison Avenue,4th Floor,New York,NY,10022,United States,212-906-7800,https://www.saratogainvestmentcorp.com,Asset Management,Financial Services,"Saratoga Investment Corp. is a business development company specializing in leveraged and management buyouts, acquisition financings, growth financings, recapitalization, debt refinancing, and transitional financing transactions at the lower end of middle market companies. It structures its investments as debt and equity by investing through first and second lien loans, mezzanine debt, co-investments, select high yield bonds, senior secured bonds, unsecured bonds, and preferred and common equity. The firm prefers to invest in aerospace, automotive aftermarket and services, business products and services, consumer products and services, education, environmental services, industrial services, financial services, food and beverage, healthcare products and services, logistics, distribution, manufacturing, restaurants services, food services, software services, technology services, specialty chemical, media and telecommunications. It seeks to invest in the United States. The firm primarily invests $5 million to $50 million in companies having EBITDA of $2 million or greater and revenues of $8 million to $250 million. The firm prefer to take a majority stake. It invests through direct lending as well as participation in loan syndicates. The firm was formerly known as GSC Investment Corp. Saratoga Investment Corp. was formed on 2007 and is based in New York, New York with an additional office in Florham Park, New Jersey.","{'maxAge': 1, 'name': 'Mr. Paul B. West', 'title': 'Managing Director', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,25.82,25.52,25.43,25.95,25.82,25.52,25.43,25.95,2.78,0.1082,1694563200,1.1296,8.52,1.385892,11.898148,6.745407,253217,253217,113122,164560,164560,25.59,25.68,1100,900,320730880,20.16,28.87,2.7875817,26.3426,26.1224,2.61,0.101084426,USD,1075483904,0.22554001,10132978,12479800,19187,26416,1690761600,1693440000,0.0015,0.18037,0.16155,0.24,0.0018000001,28.482,0.9023243,1677542400,1709078400,1685491200,25949924,2.16,3.81,1:10,1281657600,9.347,NYQ,EQUITY,SAR,SAR,Saratoga Investment Corp New,Saratoga Investment Corp.,1175002200,America/New_York,EDT,-14400000,25.7,30.0,25.0,28.11,28.75,1.6,buy,7,21987196,1.835,789590784,0.589,1.196,115057032,233.987,9.668,0.04802,0.07602,99104120,3224960,-161077024,0.854,1.0,0.0,0.71724,USD,
6,535 Madison Avenue,4th Floor,New York,NY,10022,United States,212-906-7800,https://www.saratogainvestmentcorp.com,Asset Management,Financial Services,"Saratoga Investment Corp. is a business development company specializing in leveraged and management buyouts, acquisition financings, growth financings, recapitalization, debt refinancing, and transitional financing transactions at the lower end of middle market companies. It structures its investments as debt and equity by investing through first and second lien loans, mezzanine debt, co-investments, select high yield bonds, senior secured bonds, unsecured bonds, and preferred and common equity. The firm prefers to invest in aerospace, automotive aftermarket and services, business products and services, consumer products and services, education, environmental services, industrial services, financial services, food and beverage, healthcare products and services, logistics, distribution, manufacturing, restaurants services, food services, software services, technology services, specialty chemical, media and telecommunications. It seeks to invest in the United States. The firm primarily invests $5 million to $50 million in companies having EBITDA of $2 million or greater and revenues of $8 million to $250 million. The firm prefer to take a majority stake. It invests through direct lending as well as participation in loan syndicates. The firm was formerly known as GSC Investment Corp. Saratoga Investment Corp. was formed on 2007 and is based in New York, New York with an additional office in Florham Park, New Jersey.","{'maxAge': 1, 'name': 'Ms. Marissa Mann Andrews', 'title': 'Principal', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,25.82,25.52,25.43,25.95,25.82,25.52,25.43,25.95,2.78,0.1082,1694563200,1.1296,8.52,1.385892,11.898148,6.745407,253217,253217,113122,164560,164560,25.59,25.68,1100,900,320730880,20.16,28.87,2.7875817,26.3426,26.1224,2.61,0.101084426,USD,1075483904,0.22554001,10132978,12479800,19187,26416,1690761600,1693440000,0.0015,0.18037,0.16155,0.24,0.0018000001,28.482,0.9023243,1677542400,1709078400,1685491200,25949924,2.16,3.81,1:10,1281657600,9.347,NYQ,EQUITY,SAR,SAR,Saratoga Investment Corp New,Saratoga Investment Corp.,1175002200,America/New_York,EDT,-14400000,25.7,30.0,25.0,28.11,28.75,1.6,buy,7,21987196,1.835,789590784,0.589,1.196,115057032,233.987,9.668,0.04802,0.07602,99104120,3224960,-161077024,0.854,1.0,0.0,0.71724,USD,
7,535 Madison Avenue,4th Floor,New York,NY,10022,United States,212-906-7800,https://www.saratogainvestmentcorp.com,Asset Management,Financial Services,"Saratoga Investment Corp. is a business development company specializing in leveraged and management buyouts, acquisition financings, growth financings, recapitalization, debt refinancing, and transitional financing transactions at the lower end of middle market companies. It structures its investments as debt and equity by investing through first and second lien loans, mezzanine debt, co-investments, select high yield bonds, senior secured bonds, unsecured bonds, and preferred and common equity. The firm prefers to invest in aerospace, automotive aftermarket and services, business products and services, consumer products and services, education, environmental services, industrial services, financial services, food and beverage, healthcare products and services, logistics, distribution, manufacturing, restaurants services, food services, software services, technology services, specialty chemical, media and telecommunications. It seeks to invest in the United States. The firm primarily invests $5 million to $50 million in companies having EBITDA of $2 million or greater and revenues of $8 million to $250 million. The firm prefer to take a majority stake. It invests through direct lending as well as participation in loan syndicates. The firm was formerly known as GSC Investment Corp. Saratoga Investment Corp. was formed on 2007 and is based in New York, New York with an additional office in Florham Park, New Jersey.","{'maxAge': 1, 'name': 'Mr. Thomas V. Inglesby J.D.', 'title': 'MD & Portfolio Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,25.82,25.52,25.43,25.95,25.82,25.52,25.43,25.95,2.78,0.1082,1694563200,1.1296,8.52,1.385892,11.898148,6.745407,253217,253217,113122,164560,164560,25.59,25.68,1100,900,320730880,20.16,28.87,2.7875817,26.3426,26.1224,2.61,0.101084426,USD,1075483904,0.22554001,10132978,12479800,19187,26416,1690761600,1693440000,0.0015,0.18037,0.16155,0.24,0.0018000001,28.482,0.9023243,1677542400,1709078400,1685491200,25949924,2.16,3.81,1:10,1281657600,9.347,NYQ,EQUITY,SAR,SAR,Saratoga Investment Corp New,Saratoga Investment Corp.,1175002200,America/New_York,EDT,-14400000,25.7,30.0,25.0,28.11,28.75,1.6,buy,7,21987196,1.835,789590784,0.589,1.196,115057032,233.987,9.668,0.04802,0.07602,99104120,3224960,-161077024,0.854,1.0,0.0,0.71724,USD,
8,535 Madison Avenue,4th Floor,New York,NY,10022,United States,212-906-7800,https://www.saratogainvestmentcorp.com,Asset Management,Financial Services,"Saratoga Investment Corp. is a business development company specializing in leveraged and management buyouts, acquisition financings, growth financings, recapitalization, debt refinancing, and transitional financing transactions at the lower end of middle market companies. It structures its investments as debt and equity by investing through first and second lien loans, mezzanine debt, co-investments, select high yield bonds, senior secured bonds, unsecured bonds, and preferred and common equity. The firm prefers to invest in aerospace, automotive aftermarket and services, business products and services, consumer products and services, education, environmental services, industrial services, financial services, food and beverage, healthcare products and services, logistics, distribution, manufacturing, restaurants services, food services, software services, technology services, specialty chemical, media and telecommunications. It seeks to invest in the United States. The firm primarily invests $5 million to $50 million in companies having EBITDA of $2 million or greater and revenues of $8 million to $250 million. The firm prefer to take a majority stake. It invests through direct lending as well as participation in loan syndicates. The firm was formerly known as GSC Investment Corp. Saratoga Investment Corp. was formed on 2007 and is based in New York, New York with an additional office in Florham Park, New Jersey.","{'maxAge': 1, 'name': 'Mr. John F. MacMurray', 'title': 'MD & Portfolio Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,25.82,25.52,25.43,25.95,25.82,25.52,25.43,25.95,2.78,0.1082,1694563200,1.1296,8.52,1.385892,11.898148,6.745407,253217,253217,113122,164560,164560,25.59,25.68,1100,900,320730880,20.16,28.87,2.7875817,26.3426,26.1224,2.61,0.101084426,USD,1075483904,0.22554001,10132978,12479800,19187,26416,1690761600,1693440000,0.0015,0.18037,0.16155,0.24,0.0018000001,28.482,0.9023243,1677542400,1709078400,1685491200,25949924,2.16,3.81,1:10,1281657600,9.347,NYQ,EQUITY,SAR,SAR,Saratoga Investment Corp New,Saratoga Investment Corp.,1175002200,America/New_York,EDT,-14400000,25.7,30.0,25.0,28.11,28.75,1.6,buy,7,21987196,1.835,789590784,0.589,1.196,115057032,233.987,9.668,0.04802,0.07602,99104120,3224960,-161077024,0.854,1.0,0.0,0.71724,USD,
9,535 Madison Avenue,4th Floor,New York,NY,10022,United States,212-906-7800,https://www.saratogainvestmentcorp.com,Asset Management,Financial Services,"Saratoga Investment Corp. is a business development company specializing in leveraged and management buyouts, acquisition financings, growth financings, recapitalization, debt refinancing, and transitional financing transactions at the lower end of middle market companies. It structures its investments as debt and equity by investing through first and second lien loans, mezzanine debt, co-investments, select high yield bonds, senior secured bonds, unsecured bonds, and preferred and common equity. The firm prefers to invest in aerospace, automotive aftermarket and services, business products and services, consumer products and services, education, environmental services, industrial services, financial services, food and beverage, healthcare products and services, logistics, distribution, manufacturing, restaurants services, food services, software services, technology services, specialty chemical, media and telecommunications. It seeks to invest in the United States. The firm primarily invests $5 million to $50 million in companies having EBITDA of $2 million or greater and revenues of $8 million to $250 million. The firm prefer to take a majority stake. It invests through direct lending as well as participation in loan syndicates. The firm was formerly known as GSC Investment Corp. Saratoga Investment Corp. was formed on 2007 and is based in New York, New York with an additional office in Florham Park, New Jersey.","{'maxAge': 1, 'name': 'Mr. Charles G. Phillips IV', 'age': 74, 'title': 'Managing Director & Portfolio Mang.', 'yearBorn': 1948, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,25.82,25.52,25.43,25.95,25.82,25.52,25.43,25.95,2.78,0.1082,1694563200,1.1296,8.52,1.385892,11.898148,6.745407,253217,253217,113122,164560,164560,25.59,25.68,1100,900,320730880,20.16,28.87,2.7875817,26.3426,26.1224,2.61,0.101084426,USD,1075483904,0.22554001,10132978,12479800,19187,26416,1690761600,1693440000,0.0015,0.18037,0.16155,0.24,0.0018000001,28.482,0.9023243,1677542400,1709078400,1685491200,25949924,2.16,3.81,1:10,1281657600,9.347,NYQ,EQUITY,SAR,SAR,Saratoga Investment Corp New,Saratoga Investment Corp.,1175002200,America/New_York,EDT,-14400000,25.7,30.0,25.0,28.11,28.75,1.6,buy,7,21987196,1.835,789590784,0.589,1.196,115057032,233.987,9.668,0.04802,0.07602,99104120,3224960,-161077024,0.854,1.0,0.0,0.71724,USD,
