,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,"405 Lexington Avenue, 17th Floor",New York,NY,10174-0002,United States,212 297 6400,https://www.outfrontmedia.com,REIT—Specialty,Real Estate,"OUTFRONT leverages the power of technology, location and creativity to connect brands with consumers outside of their homes through one of the largest and most diverse sets of billboard, transit, and mobile assets in North America. Through its technology platform, OUTFRONT will fundamentally change the ways advertisers engage audiences on-the-go.",2357,"{'maxAge': 1, 'name': 'Mr. Jeremy J. Male', 'age': 64, 'title': 'Chairman & CEO', 'yearBorn': 1958, 'fiscalYear': 2022, 'totalPay': 3814601, 'exercisedValue': 0, 'unexercisedValue': 0}",6,8,5,5,6,1693526400,1672444800,86400,2,10.88,10.81,10.55,10.855,10.88,10.81,10.55,10.855,1.2,0.115100004,1693440000,1.769363,18.322035,4363495,4363495,2455045,3527450,3527450,10.5,11.0,2200,900,1784114944,10.39,21.65,0.98406786,13.018,15.71415,1.2,0.11029412,USD,6322264576,-0.22493,145806989,165043008,5083854,5825524,1690761600,1693440000,0.0308,0.00983,1.0532299,1.67,0.0575,3.758,2.8765302,1672444800,1703980800,1688083200,-416600000,-2.63,0.59,-0.43,3.487,14.611,NYQ,EQUITY,OUT,OUT,OUTFRONT Media Inc.,OUTFRONT Media Inc.,1396013400,America/New_York,EDT,-14400000,10.81,18.0,14.0,15.6,15.0,2.0,buy,5,42200000,0.256,432700000,4444299776,0.524,0.578,1812999936,596.871,11.021,0.028619999,-0.39013,860700000,174087504,240700000,0.041,0.47408,0.23866,0.14517,USD,1.1879
1,"405 Lexington Avenue, 17th Floor",New York,NY,10174-0002,United States,212 297 6400,https://www.outfrontmedia.com,REIT—Specialty,Real Estate,"OUTFRONT leverages the power of technology, location and creativity to connect brands with consumers outside of their homes through one of the largest and most diverse sets of billboard, transit, and mobile assets in North America. Through its technology platform, OUTFRONT will fundamentally change the ways advertisers engage audiences on-the-go.",2357,"{'maxAge': 1, 'name': 'Mr. Matthew  Siegel', 'age': 59, 'title': 'Exec. VP & CFO', 'yearBorn': 1963, 'fiscalYear': 2022, 'totalPay': 1550175, 'exercisedValue': 0, 'unexercisedValue': 0}",6,8,5,5,6,1693526400,1672444800,86400,2,10.88,10.81,10.55,10.855,10.88,10.81,10.55,10.855,1.2,0.115100004,1693440000,1.769363,18.322035,4363495,4363495,2455045,3527450,3527450,10.5,11.0,2200,900,1784114944,10.39,21.65,0.98406786,13.018,15.71415,1.2,0.11029412,USD,6322264576,-0.22493,145806989,165043008,5083854,5825524,1690761600,1693440000,0.0308,0.00983,1.0532299,1.67,0.0575,3.758,2.8765302,1672444800,1703980800,1688083200,-416600000,-2.63,0.59,-0.43,3.487,14.611,NYQ,EQUITY,OUT,OUT,OUTFRONT Media Inc.,OUTFRONT Media Inc.,1396013400,America/New_York,EDT,-14400000,10.81,18.0,14.0,15.6,15.0,2.0,buy,5,42200000,0.256,432700000,4444299776,0.524,0.578,1812999936,596.871,11.021,0.028619999,-0.39013,860700000,174087504,240700000,0.041,0.47408,0.23866,0.14517,USD,1.1879
2,"405 Lexington Avenue, 17th Floor",New York,NY,10174-0002,United States,212 297 6400,https://www.outfrontmedia.com,REIT—Specialty,Real Estate,"OUTFRONT leverages the power of technology, location and creativity to connect brands with consumers outside of their homes through one of the largest and most diverse sets of billboard, transit, and mobile assets in North America. Through its technology platform, OUTFRONT will fundamentally change the ways advertisers engage audiences on-the-go.",2357,"{'maxAge': 1, 'name': 'Mr. Richard H. Sauer', 'age': 64, 'title': 'Exec. VP & Gen. Counsel', 'yearBorn': 1958, 'fiscalYear': 2022, 'totalPay': 1294111, 'exercisedValue': 0, 'unexercisedValue': 0}",6,8,5,5,6,1693526400,1672444800,86400,2,10.88,10.81,10.55,10.855,10.88,10.81,10.55,10.855,1.2,0.115100004,1693440000,1.769363,18.322035,4363495,4363495,2455045,3527450,3527450,10.5,11.0,2200,900,1784114944,10.39,21.65,0.98406786,13.018,15.71415,1.2,0.11029412,USD,6322264576,-0.22493,145806989,165043008,5083854,5825524,1690761600,1693440000,0.0308,0.00983,1.0532299,1.67,0.0575,3.758,2.8765302,1672444800,1703980800,1688083200,-416600000,-2.63,0.59,-0.43,3.487,14.611,NYQ,EQUITY,OUT,OUT,OUTFRONT Media Inc.,OUTFRONT Media Inc.,1396013400,America/New_York,EDT,-14400000,10.81,18.0,14.0,15.6,15.0,2.0,buy,5,42200000,0.256,432700000,4444299776,0.524,0.578,1812999936,596.871,11.021,0.028619999,-0.39013,860700000,174087504,240700000,0.041,0.47408,0.23866,0.14517,USD,1.1879
3,"405 Lexington Avenue, 17th Floor",New York,NY,10174-0002,United States,212 297 6400,https://www.outfrontmedia.com,REIT—Specialty,Real Estate,"OUTFRONT leverages the power of technology, location and creativity to connect brands with consumers outside of their homes through one of the largest and most diverse sets of billboard, transit, and mobile assets in North America. Through its technology platform, OUTFRONT will fundamentally change the ways advertisers engage audiences on-the-go.",2357,"{'maxAge': 1, 'name': 'Mr. Andrew R. Sriubas', 'age': 53, 'title': 'Exec. VP & Chief Commercial Officer', 'yearBorn': 1969, 'fiscalYear': 2022, 'totalPay': 1546675, 'exercisedValue': 0, 'unexercisedValue': 0}",6,8,5,5,6,1693526400,1672444800,86400,2,10.88,10.81,10.55,10.855,10.88,10.81,10.55,10.855,1.2,0.115100004,1693440000,1.769363,18.322035,4363495,4363495,2455045,3527450,3527450,10.5,11.0,2200,900,1784114944,10.39,21.65,0.98406786,13.018,15.71415,1.2,0.11029412,USD,6322264576,-0.22493,145806989,165043008,5083854,5825524,1690761600,1693440000,0.0308,0.00983,1.0532299,1.67,0.0575,3.758,2.8765302,1672444800,1703980800,1688083200,-416600000,-2.63,0.59,-0.43,3.487,14.611,NYQ,EQUITY,OUT,OUT,OUTFRONT Media Inc.,OUTFRONT Media Inc.,1396013400,America/New_York,EDT,-14400000,10.81,18.0,14.0,15.6,15.0,2.0,buy,5,42200000,0.256,432700000,4444299776,0.524,0.578,1812999936,596.871,11.021,0.028619999,-0.39013,860700000,174087504,240700000,0.041,0.47408,0.23866,0.14517,USD,1.1879
4,"405 Lexington Avenue, 17th Floor",New York,NY,10174-0002,United States,212 297 6400,https://www.outfrontmedia.com,REIT—Specialty,Real Estate,"OUTFRONT leverages the power of technology, location and creativity to connect brands with consumers outside of their homes through one of the largest and most diverse sets of billboard, transit, and mobile assets in North America. Through its technology platform, OUTFRONT will fundamentally change the ways advertisers engage audiences on-the-go.",2357,"{'maxAge': 1, 'name': 'Mr. Clive  Punter', 'age': 55, 'title': 'Exec. VP & Chief Revenue Officer', 'yearBorn': 1967, 'fiscalYear': 2022, 'totalPay': 1501294, 'exercisedValue': 0, 'unexercisedValue': 0}",6,8,5,5,6,1693526400,1672444800,86400,2,10.88,10.81,10.55,10.855,10.88,10.81,10.55,10.855,1.2,0.115100004,1693440000,1.769363,18.322035,4363495,4363495,2455045,3527450,3527450,10.5,11.0,2200,900,1784114944,10.39,21.65,0.98406786,13.018,15.71415,1.2,0.11029412,USD,6322264576,-0.22493,145806989,165043008,5083854,5825524,1690761600,1693440000,0.0308,0.00983,1.0532299,1.67,0.0575,3.758,2.8765302,1672444800,1703980800,1688083200,-416600000,-2.63,0.59,-0.43,3.487,14.611,NYQ,EQUITY,OUT,OUT,OUTFRONT Media Inc.,OUTFRONT Media Inc.,1396013400,America/New_York,EDT,-14400000,10.81,18.0,14.0,15.6,15.0,2.0,buy,5,42200000,0.256,432700000,4444299776,0.524,0.578,1812999936,596.871,11.021,0.028619999,-0.39013,860700000,174087504,240700000,0.041,0.47408,0.23866,0.14517,USD,1.1879
5,"405 Lexington Avenue, 17th Floor",New York,NY,10174-0002,United States,212 297 6400,https://www.outfrontmedia.com,REIT—Specialty,Real Estate,"OUTFRONT leverages the power of technology, location and creativity to connect brands with consumers outside of their homes through one of the largest and most diverse sets of billboard, transit, and mobile assets in North America. Through its technology platform, OUTFRONT will fundamentally change the ways advertisers engage audiences on-the-go.",2357,"{'maxAge': 1, 'name': 'Mr. Steve  Hillwig', 'age': 58, 'title': 'Exec. VP of Operations', 'yearBorn': 1964, 'exercisedValue': 0, 'unexercisedValue': 0}",6,8,5,5,6,1693526400,1672444800,86400,2,10.88,10.81,10.55,10.855,10.88,10.81,10.55,10.855,1.2,0.115100004,1693440000,1.769363,18.322035,4363495,4363495,2455045,3527450,3527450,10.5,11.0,2200,900,1784114944,10.39,21.65,0.98406786,13.018,15.71415,1.2,0.11029412,USD,6322264576,-0.22493,145806989,165043008,5083854,5825524,1690761600,1693440000,0.0308,0.00983,1.0532299,1.67,0.0575,3.758,2.8765302,1672444800,1703980800,1688083200,-416600000,-2.63,0.59,-0.43,3.487,14.611,NYQ,EQUITY,OUT,OUT,OUTFRONT Media Inc.,OUTFRONT Media Inc.,1396013400,America/New_York,EDT,-14400000,10.81,18.0,14.0,15.6,15.0,2.0,buy,5,42200000,0.256,432700000,4444299776,0.524,0.578,1812999936,596.871,11.021,0.028619999,-0.39013,860700000,174087504,240700000,0.041,0.47408,0.23866,0.14517,USD,1.1879
6,"405 Lexington Avenue, 17th Floor",New York,NY,10174-0002,United States,212 297 6400,https://www.outfrontmedia.com,REIT—Specialty,Real Estate,"OUTFRONT leverages the power of technology, location and creativity to connect brands with consumers outside of their homes through one of the largest and most diverse sets of billboard, transit, and mobile assets in North America. Through its technology platform, OUTFRONT will fundamentally change the ways advertisers engage audiences on-the-go.",2357,"{'maxAge': 1, 'name': 'Mr. Patrick  Martin', 'age': 46, 'title': 'Sr. VP, Controller & Chief Accounting Officer', 'yearBorn': 1976, 'exercisedValue': 0, 'unexercisedValue': 0}",6,8,5,5,6,1693526400,1672444800,86400,2,10.88,10.81,10.55,10.855,10.88,10.81,10.55,10.855,1.2,0.115100004,1693440000,1.769363,18.322035,4363495,4363495,2455045,3527450,3527450,10.5,11.0,2200,900,1784114944,10.39,21.65,0.98406786,13.018,15.71415,1.2,0.11029412,USD,6322264576,-0.22493,145806989,165043008,5083854,5825524,1690761600,1693440000,0.0308,0.00983,1.0532299,1.67,0.0575,3.758,2.8765302,1672444800,1703980800,1688083200,-416600000,-2.63,0.59,-0.43,3.487,14.611,NYQ,EQUITY,OUT,OUT,OUTFRONT Media Inc.,OUTFRONT Media Inc.,1396013400,America/New_York,EDT,-14400000,10.81,18.0,14.0,15.6,15.0,2.0,buy,5,42200000,0.256,432700000,4444299776,0.524,0.578,1812999936,596.871,11.021,0.028619999,-0.39013,860700000,174087504,240700000,0.041,0.47408,0.23866,0.14517,USD,1.1879
7,"405 Lexington Avenue, 17th Floor",New York,NY,10174-0002,United States,212 297 6400,https://www.outfrontmedia.com,REIT—Specialty,Real Estate,"OUTFRONT leverages the power of technology, location and creativity to connect brands with consumers outside of their homes through one of the largest and most diverse sets of billboard, transit, and mobile assets in North America. Through its technology platform, OUTFRONT will fundamentally change the ways advertisers engage audiences on-the-go.",2357,"{'maxAge': 1, 'name': 'Mr. Lowell  Simpson', 'title': 'Exec. VP & Chief Information Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",6,8,5,5,6,1693526400,1672444800,86400,2,10.88,10.81,10.55,10.855,10.88,10.81,10.55,10.855,1.2,0.115100004,1693440000,1.769363,18.322035,4363495,4363495,2455045,3527450,3527450,10.5,11.0,2200,900,1784114944,10.39,21.65,0.98406786,13.018,15.71415,1.2,0.11029412,USD,6322264576,-0.22493,145806989,165043008,5083854,5825524,1690761600,1693440000,0.0308,0.00983,1.0532299,1.67,0.0575,3.758,2.8765302,1672444800,1703980800,1688083200,-416600000,-2.63,0.59,-0.43,3.487,14.611,NYQ,EQUITY,OUT,OUT,OUTFRONT Media Inc.,OUTFRONT Media Inc.,1396013400,America/New_York,EDT,-14400000,10.81,18.0,14.0,15.6,15.0,2.0,buy,5,42200000,0.256,432700000,4444299776,0.524,0.578,1812999936,596.871,11.021,0.028619999,-0.39013,860700000,174087504,240700000,0.041,0.47408,0.23866,0.14517,USD,1.1879
8,"405 Lexington Avenue, 17th Floor",New York,NY,10174-0002,United States,212 297 6400,https://www.outfrontmedia.com,REIT—Specialty,Real Estate,"OUTFRONT leverages the power of technology, location and creativity to connect brands with consumers outside of their homes through one of the largest and most diverse sets of billboard, transit, and mobile assets in North America. Through its technology platform, OUTFRONT will fundamentally change the ways advertisers engage audiences on-the-go.",2357,"{'maxAge': 1, 'name': 'Mr. Stephan Edward Bisson', 'title': 'VP of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",6,8,5,5,6,1693526400,1672444800,86400,2,10.88,10.81,10.55,10.855,10.88,10.81,10.55,10.855,1.2,0.115100004,1693440000,1.769363,18.322035,4363495,4363495,2455045,3527450,3527450,10.5,11.0,2200,900,1784114944,10.39,21.65,0.98406786,13.018,15.71415,1.2,0.11029412,USD,6322264576,-0.22493,145806989,165043008,5083854,5825524,1690761600,1693440000,0.0308,0.00983,1.0532299,1.67,0.0575,3.758,2.8765302,1672444800,1703980800,1688083200,-416600000,-2.63,0.59,-0.43,3.487,14.611,NYQ,EQUITY,OUT,OUT,OUTFRONT Media Inc.,OUTFRONT Media Inc.,1396013400,America/New_York,EDT,-14400000,10.81,18.0,14.0,15.6,15.0,2.0,buy,5,42200000,0.256,432700000,4444299776,0.524,0.578,1812999936,596.871,11.021,0.028619999,-0.39013,860700000,174087504,240700000,0.041,0.47408,0.23866,0.14517,USD,1.1879
9,"405 Lexington Avenue, 17th Floor",New York,NY,10174-0002,United States,212 297 6400,https://www.outfrontmedia.com,REIT—Specialty,Real Estate,"OUTFRONT leverages the power of technology, location and creativity to connect brands with consumers outside of their homes through one of the largest and most diverse sets of billboard, transit, and mobile assets in North America. Through its technology platform, OUTFRONT will fundamentally change the ways advertisers engage audiences on-the-go.",2357,"{'maxAge': 1, 'name': 'Courtney  Richards', 'title': 'Sr. PR & Events Specialist', 'exercisedValue': 0, 'unexercisedValue': 0}",6,8,5,5,6,1693526400,1672444800,86400,2,10.88,10.81,10.55,10.855,10.88,10.81,10.55,10.855,1.2,0.115100004,1693440000,1.769363,18.322035,4363495,4363495,2455045,3527450,3527450,10.5,11.0,2200,900,1784114944,10.39,21.65,0.98406786,13.018,15.71415,1.2,0.11029412,USD,6322264576,-0.22493,145806989,165043008,5083854,5825524,1690761600,1693440000,0.0308,0.00983,1.0532299,1.67,0.0575,3.758,2.8765302,1672444800,1703980800,1688083200,-416600000,-2.63,0.59,-0.43,3.487,14.611,NYQ,EQUITY,OUT,OUT,OUTFRONT Media Inc.,OUTFRONT Media Inc.,1396013400,America/New_York,EDT,-14400000,10.81,18.0,14.0,15.6,15.0,2.0,buy,5,42200000,0.256,432700000,4444299776,0.524,0.578,1812999936,596.871,11.021,0.028619999,-0.39013,860700000,174087504,240700000,0.041,0.47408,0.23866,0.14517,USD,1.1879
