,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,7900 Harkins Road,Lanham,MD,20706,United States,301 892 4350,https://2u.com,Education & Training Services,Consumer Defensive,"2U, Inc. operates as an online education platform company in the United States and internationally. The company operates through two segments, Degree Program and Alternative Credential. The Degree Program segment provides the technology and services to nonprofit colleges and universities to enable the online delivery of degree programs. This segment targets students seeking an undergraduate or graduate degree. The Alternative Credential segment offers online open courses, executive education programs, technical, skills-based boot camps, and micro-credential programs through nonprofit colleges and universities. This segment targets students seeking to reskill or upskill for career or personal development through shorter duration and lower-priced offerings. It also provides a platform that provides technology and technology-enabled services. The company was formerly known as 2Tor Inc. and changed its name to 2U, Inc. in October 2012. 2U, Inc. was incorporated in 2008 and is headquartered in Lanham, Maryland.",3445,"{'maxAge': 1, 'name': 'Mr. Christopher J. Paucek', 'age': 52, 'title': 'Co-Founder, CEO & Director', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 759150, 'exercisedValue': 0, 'unexercisedValue': 67921}",3,7,9,5,6,1693526400,1672444800,86400,4,3.03,3.02,2.89,3.025,3.03,3.02,2.89,3.025,0.0,1.233402,6.488889,1926088,1926088,1399483,1001640,1001640,2.89,2.93,1400,3100,237746400,2.83,13.15,0.25594953,3.5843,5.7134,0.0,0.0,USD,1151196288,-0.38889,72695818,81420000,8463622,7295425,1690761600,1693440000,0.1039,0.029930001,0.98843,4.22,0.12060001,3.626,0.8052951,1672444800,1703980800,1688083200,-361235008,-4.45,0.45,0.8,1.239,13.434,NMS,EQUITY,TWOU,TWOU,"2U, Inc.","2U, Inc.",1396013400,America/New_York,EDT,-14400000,2.92,9.0,4.0,6.04,6.0,2.3,buy,9,53301000,0.655,85693000,966750976,0.576,0.763,928880000,329.367,11.763,-0.01192,-0.80349,685397000,-29011250,-16535000,-0.08,0.70689005,0.092250004,-0.03666,USD,0.3017
1,7900 Harkins Road,Lanham,MD,20706,United States,301 892 4350,https://2u.com,Education & Training Services,Consumer Defensive,"2U, Inc. operates as an online education platform company in the United States and internationally. The company operates through two segments, Degree Program and Alternative Credential. The Degree Program segment provides the technology and services to nonprofit colleges and universities to enable the online delivery of degree programs. This segment targets students seeking an undergraduate or graduate degree. The Alternative Credential segment offers online open courses, executive education programs, technical, skills-based boot camps, and micro-credential programs through nonprofit colleges and universities. This segment targets students seeking to reskill or upskill for career or personal development through shorter duration and lower-priced offerings. It also provides a platform that provides technology and technology-enabled services. The company was formerly known as 2Tor Inc. and changed its name to 2U, Inc. in October 2012. 2U, Inc. was incorporated in 2008 and is headquartered in Lanham, Maryland.",3445,"{'maxAge': 1, 'name': 'Mr. Paul S. Lalljie', 'age': 49, 'title': 'CFO & Principal Accounting Officer', 'yearBorn': 1973, 'fiscalYear': 2022, 'totalPay': 562200, 'exercisedValue': 0, 'unexercisedValue': 0}",3,7,9,5,6,1693526400,1672444800,86400,4,3.03,3.02,2.89,3.025,3.03,3.02,2.89,3.025,0.0,1.233402,6.488889,1926088,1926088,1399483,1001640,1001640,2.89,2.93,1400,3100,237746400,2.83,13.15,0.25594953,3.5843,5.7134,0.0,0.0,USD,1151196288,-0.38889,72695818,81420000,8463622,7295425,1690761600,1693440000,0.1039,0.029930001,0.98843,4.22,0.12060001,3.626,0.8052951,1672444800,1703980800,1688083200,-361235008,-4.45,0.45,0.8,1.239,13.434,NMS,EQUITY,TWOU,TWOU,"2U, Inc.","2U, Inc.",1396013400,America/New_York,EDT,-14400000,2.92,9.0,4.0,6.04,6.0,2.3,buy,9,53301000,0.655,85693000,966750976,0.576,0.763,928880000,329.367,11.763,-0.01192,-0.80349,685397000,-29011250,-16535000,-0.08,0.70689005,0.092250004,-0.03666,USD,0.3017
2,7900 Harkins Road,Lanham,MD,20706,United States,301 892 4350,https://2u.com,Education & Training Services,Consumer Defensive,"2U, Inc. operates as an online education platform company in the United States and internationally. The company operates through two segments, Degree Program and Alternative Credential. The Degree Program segment provides the technology and services to nonprofit colleges and universities to enable the online delivery of degree programs. This segment targets students seeking an undergraduate or graduate degree. The Alternative Credential segment offers online open courses, executive education programs, technical, skills-based boot camps, and micro-credential programs through nonprofit colleges and universities. This segment targets students seeking to reskill or upskill for career or personal development through shorter duration and lower-priced offerings. It also provides a platform that provides technology and technology-enabled services. The company was formerly known as 2Tor Inc. and changed its name to 2U, Inc. in October 2012. 2U, Inc. was incorporated in 2008 and is headquartered in Lanham, Maryland.",3445,"{'maxAge': 1, 'name': 'Mr. Matthew J. Norden', 'age': 40, 'title': 'Chief Legal Officer', 'yearBorn': 1982, 'fiscalYear': 2022, 'totalPay': 469328, 'exercisedValue': 0, 'unexercisedValue': 0}",3,7,9,5,6,1693526400,1672444800,86400,4,3.03,3.02,2.89,3.025,3.03,3.02,2.89,3.025,0.0,1.233402,6.488889,1926088,1926088,1399483,1001640,1001640,2.89,2.93,1400,3100,237746400,2.83,13.15,0.25594953,3.5843,5.7134,0.0,0.0,USD,1151196288,-0.38889,72695818,81420000,8463622,7295425,1690761600,1693440000,0.1039,0.029930001,0.98843,4.22,0.12060001,3.626,0.8052951,1672444800,1703980800,1688083200,-361235008,-4.45,0.45,0.8,1.239,13.434,NMS,EQUITY,TWOU,TWOU,"2U, Inc.","2U, Inc.",1396013400,America/New_York,EDT,-14400000,2.92,9.0,4.0,6.04,6.0,2.3,buy,9,53301000,0.655,85693000,966750976,0.576,0.763,928880000,329.367,11.763,-0.01192,-0.80349,685397000,-29011250,-16535000,-0.08,0.70689005,0.092250004,-0.03666,USD,0.3017
3,7900 Harkins Road,Lanham,MD,20706,United States,301 892 4350,https://2u.com,Education & Training Services,Consumer Defensive,"2U, Inc. operates as an online education platform company in the United States and internationally. The company operates through two segments, Degree Program and Alternative Credential. The Degree Program segment provides the technology and services to nonprofit colleges and universities to enable the online delivery of degree programs. This segment targets students seeking an undergraduate or graduate degree. The Alternative Credential segment offers online open courses, executive education programs, technical, skills-based boot camps, and micro-credential programs through nonprofit colleges and universities. This segment targets students seeking to reskill or upskill for career or personal development through shorter duration and lower-priced offerings. It also provides a platform that provides technology and technology-enabled services. The company was formerly known as 2Tor Inc. and changed its name to 2U, Inc. in October 2012. 2U, Inc. was incorporated in 2008 and is headquartered in Lanham, Maryland.",3445,"{'maxAge': 1, 'name': 'Mr. Harsha  Mokkarala', 'age': 42, 'title': 'Chief Revenue Officer', 'yearBorn': 1980, 'fiscalYear': 2022, 'totalPay': 426933, 'exercisedValue': 0, 'unexercisedValue': 0}",3,7,9,5,6,1693526400,1672444800,86400,4,3.03,3.02,2.89,3.025,3.03,3.02,2.89,3.025,0.0,1.233402,6.488889,1926088,1926088,1399483,1001640,1001640,2.89,2.93,1400,3100,237746400,2.83,13.15,0.25594953,3.5843,5.7134,0.0,0.0,USD,1151196288,-0.38889,72695818,81420000,8463622,7295425,1690761600,1693440000,0.1039,0.029930001,0.98843,4.22,0.12060001,3.626,0.8052951,1672444800,1703980800,1688083200,-361235008,-4.45,0.45,0.8,1.239,13.434,NMS,EQUITY,TWOU,TWOU,"2U, Inc.","2U, Inc.",1396013400,America/New_York,EDT,-14400000,2.92,9.0,4.0,6.04,6.0,2.3,buy,9,53301000,0.655,85693000,966750976,0.576,0.763,928880000,329.367,11.763,-0.01192,-0.80349,685397000,-29011250,-16535000,-0.08,0.70689005,0.092250004,-0.03666,USD,0.3017
4,7900 Harkins Road,Lanham,MD,20706,United States,301 892 4350,https://2u.com,Education & Training Services,Consumer Defensive,"2U, Inc. operates as an online education platform company in the United States and internationally. The company operates through two segments, Degree Program and Alternative Credential. The Degree Program segment provides the technology and services to nonprofit colleges and universities to enable the online delivery of degree programs. This segment targets students seeking an undergraduate or graduate degree. The Alternative Credential segment offers online open courses, executive education programs, technical, skills-based boot camps, and micro-credential programs through nonprofit colleges and universities. This segment targets students seeking to reskill or upskill for career or personal development through shorter duration and lower-priced offerings. It also provides a platform that provides technology and technology-enabled services. The company was formerly known as 2Tor Inc. and changed its name to 2U, Inc. in October 2012. 2U, Inc. was incorporated in 2008 and is headquartered in Lanham, Maryland.",3445,"{'maxAge': 1, 'name': 'Mr. Stephen A. Virostek', 'title': 'Sr. VP of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",3,7,9,5,6,1693526400,1672444800,86400,4,3.03,3.02,2.89,3.025,3.03,3.02,2.89,3.025,0.0,1.233402,6.488889,1926088,1926088,1399483,1001640,1001640,2.89,2.93,1400,3100,237746400,2.83,13.15,0.25594953,3.5843,5.7134,0.0,0.0,USD,1151196288,-0.38889,72695818,81420000,8463622,7295425,1690761600,1693440000,0.1039,0.029930001,0.98843,4.22,0.12060001,3.626,0.8052951,1672444800,1703980800,1688083200,-361235008,-4.45,0.45,0.8,1.239,13.434,NMS,EQUITY,TWOU,TWOU,"2U, Inc.","2U, Inc.",1396013400,America/New_York,EDT,-14400000,2.92,9.0,4.0,6.04,6.0,2.3,buy,9,53301000,0.655,85693000,966750976,0.576,0.763,928880000,329.367,11.763,-0.01192,-0.80349,685397000,-29011250,-16535000,-0.08,0.70689005,0.092250004,-0.03666,USD,0.3017
5,7900 Harkins Road,Lanham,MD,20706,United States,301 892 4350,https://2u.com,Education & Training Services,Consumer Defensive,"2U, Inc. operates as an online education platform company in the United States and internationally. The company operates through two segments, Degree Program and Alternative Credential. The Degree Program segment provides the technology and services to nonprofit colleges and universities to enable the online delivery of degree programs. This segment targets students seeking an undergraduate or graduate degree. The Alternative Credential segment offers online open courses, executive education programs, technical, skills-based boot camps, and micro-credential programs through nonprofit colleges and universities. This segment targets students seeking to reskill or upskill for career or personal development through shorter duration and lower-priced offerings. It also provides a platform that provides technology and technology-enabled services. The company was formerly known as 2Tor Inc. and changed its name to 2U, Inc. in October 2012. 2U, Inc. was incorporated in 2008 and is headquartered in Lanham, Maryland.",3445,"{'maxAge': 1, 'name': 'Mr. Denis  Ryan', 'title': 'Exec. VP of Compliance & Regulatory Affairs', 'exercisedValue': 0, 'unexercisedValue': 0}",3,7,9,5,6,1693526400,1672444800,86400,4,3.03,3.02,2.89,3.025,3.03,3.02,2.89,3.025,0.0,1.233402,6.488889,1926088,1926088,1399483,1001640,1001640,2.89,2.93,1400,3100,237746400,2.83,13.15,0.25594953,3.5843,5.7134,0.0,0.0,USD,1151196288,-0.38889,72695818,81420000,8463622,7295425,1690761600,1693440000,0.1039,0.029930001,0.98843,4.22,0.12060001,3.626,0.8052951,1672444800,1703980800,1688083200,-361235008,-4.45,0.45,0.8,1.239,13.434,NMS,EQUITY,TWOU,TWOU,"2U, Inc.","2U, Inc.",1396013400,America/New_York,EDT,-14400000,2.92,9.0,4.0,6.04,6.0,2.3,buy,9,53301000,0.655,85693000,966750976,0.576,0.763,928880000,329.367,11.763,-0.01192,-0.80349,685397000,-29011250,-16535000,-0.08,0.70689005,0.092250004,-0.03666,USD,0.3017
6,7900 Harkins Road,Lanham,MD,20706,United States,301 892 4350,https://2u.com,Education & Training Services,Consumer Defensive,"2U, Inc. operates as an online education platform company in the United States and internationally. The company operates through two segments, Degree Program and Alternative Credential. The Degree Program segment provides the technology and services to nonprofit colleges and universities to enable the online delivery of degree programs. This segment targets students seeking an undergraduate or graduate degree. The Alternative Credential segment offers online open courses, executive education programs, technical, skills-based boot camps, and micro-credential programs through nonprofit colleges and universities. This segment targets students seeking to reskill or upskill for career or personal development through shorter duration and lower-priced offerings. It also provides a platform that provides technology and technology-enabled services. The company was formerly known as 2Tor Inc. and changed its name to 2U, Inc. in October 2012. 2U, Inc. was incorporated in 2008 and is headquartered in Lanham, Maryland.",3445,"{'maxAge': 1, 'name': 'Mr. Andy  Morgan', 'title': 'Exec. VP of Corp. Devel. & Head of Enterprise', 'exercisedValue': 0, 'unexercisedValue': 0}",3,7,9,5,6,1693526400,1672444800,86400,4,3.03,3.02,2.89,3.025,3.03,3.02,2.89,3.025,0.0,1.233402,6.488889,1926088,1926088,1399483,1001640,1001640,2.89,2.93,1400,3100,237746400,2.83,13.15,0.25594953,3.5843,5.7134,0.0,0.0,USD,1151196288,-0.38889,72695818,81420000,8463622,7295425,1690761600,1693440000,0.1039,0.029930001,0.98843,4.22,0.12060001,3.626,0.8052951,1672444800,1703980800,1688083200,-361235008,-4.45,0.45,0.8,1.239,13.434,NMS,EQUITY,TWOU,TWOU,"2U, Inc.","2U, Inc.",1396013400,America/New_York,EDT,-14400000,2.92,9.0,4.0,6.04,6.0,2.3,buy,9,53301000,0.655,85693000,966750976,0.576,0.763,928880000,329.367,11.763,-0.01192,-0.80349,685397000,-29011250,-16535000,-0.08,0.70689005,0.092250004,-0.03666,USD,0.3017
7,7900 Harkins Road,Lanham,MD,20706,United States,301 892 4350,https://2u.com,Education & Training Services,Consumer Defensive,"2U, Inc. operates as an online education platform company in the United States and internationally. The company operates through two segments, Degree Program and Alternative Credential. The Degree Program segment provides the technology and services to nonprofit colleges and universities to enable the online delivery of degree programs. This segment targets students seeking an undergraduate or graduate degree. The Alternative Credential segment offers online open courses, executive education programs, technical, skills-based boot camps, and micro-credential programs through nonprofit colleges and universities. This segment targets students seeking to reskill or upskill for career or personal development through shorter duration and lower-priced offerings. It also provides a platform that provides technology and technology-enabled services. The company was formerly known as 2Tor Inc. and changed its name to 2U, Inc. in October 2012. 2U, Inc. was incorporated in 2008 and is headquartered in Lanham, Maryland.",3445,"{'maxAge': 1, 'name': 'Mr. Michael  Kurbjeweit', 'title': 'Chief Marketing Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",3,7,9,5,6,1693526400,1672444800,86400,4,3.03,3.02,2.89,3.025,3.03,3.02,2.89,3.025,0.0,1.233402,6.488889,1926088,1926088,1399483,1001640,1001640,2.89,2.93,1400,3100,237746400,2.83,13.15,0.25594953,3.5843,5.7134,0.0,0.0,USD,1151196288,-0.38889,72695818,81420000,8463622,7295425,1690761600,1693440000,0.1039,0.029930001,0.98843,4.22,0.12060001,3.626,0.8052951,1672444800,1703980800,1688083200,-361235008,-4.45,0.45,0.8,1.239,13.434,NMS,EQUITY,TWOU,TWOU,"2U, Inc.","2U, Inc.",1396013400,America/New_York,EDT,-14400000,2.92,9.0,4.0,6.04,6.0,2.3,buy,9,53301000,0.655,85693000,966750976,0.576,0.763,928880000,329.367,11.763,-0.01192,-0.80349,685397000,-29011250,-16535000,-0.08,0.70689005,0.092250004,-0.03666,USD,0.3017
8,7900 Harkins Road,Lanham,MD,20706,United States,301 892 4350,https://2u.com,Education & Training Services,Consumer Defensive,"2U, Inc. operates as an online education platform company in the United States and internationally. The company operates through two segments, Degree Program and Alternative Credential. The Degree Program segment provides the technology and services to nonprofit colleges and universities to enable the online delivery of degree programs. This segment targets students seeking an undergraduate or graduate degree. The Alternative Credential segment offers online open courses, executive education programs, technical, skills-based boot camps, and micro-credential programs through nonprofit colleges and universities. This segment targets students seeking to reskill or upskill for career or personal development through shorter duration and lower-priced offerings. It also provides a platform that provides technology and technology-enabled services. The company was formerly known as 2Tor Inc. and changed its name to 2U, Inc. in October 2012. 2U, Inc. was incorporated in 2008 and is headquartered in Lanham, Maryland.",3445,"{'maxAge': 1, 'name': 'Mr. Adam  Drudge', 'title': 'Chief People Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",3,7,9,5,6,1693526400,1672444800,86400,4,3.03,3.02,2.89,3.025,3.03,3.02,2.89,3.025,0.0,1.233402,6.488889,1926088,1926088,1399483,1001640,1001640,2.89,2.93,1400,3100,237746400,2.83,13.15,0.25594953,3.5843,5.7134,0.0,0.0,USD,1151196288,-0.38889,72695818,81420000,8463622,7295425,1690761600,1693440000,0.1039,0.029930001,0.98843,4.22,0.12060001,3.626,0.8052951,1672444800,1703980800,1688083200,-361235008,-4.45,0.45,0.8,1.239,13.434,NMS,EQUITY,TWOU,TWOU,"2U, Inc.","2U, Inc.",1396013400,America/New_York,EDT,-14400000,2.92,9.0,4.0,6.04,6.0,2.3,buy,9,53301000,0.655,85693000,966750976,0.576,0.763,928880000,329.367,11.763,-0.01192,-0.80349,685397000,-29011250,-16535000,-0.08,0.70689005,0.092250004,-0.03666,USD,0.3017
9,7900 Harkins Road,Lanham,MD,20706,United States,301 892 4350,https://2u.com,Education & Training Services,Consumer Defensive,"2U, Inc. operates as an online education platform company in the United States and internationally. The company operates through two segments, Degree Program and Alternative Credential. The Degree Program segment provides the technology and services to nonprofit colleges and universities to enable the online delivery of degree programs. This segment targets students seeking an undergraduate or graduate degree. The Alternative Credential segment offers online open courses, executive education programs, technical, skills-based boot camps, and micro-credential programs through nonprofit colleges and universities. This segment targets students seeking to reskill or upskill for career or personal development through shorter duration and lower-priced offerings. It also provides a platform that provides technology and technology-enabled services. The company was formerly known as 2Tor Inc. and changed its name to 2U, Inc. in October 2012. 2U, Inc. was incorporated in 2008 and is headquartered in Lanham, Maryland.",3445,"{'maxAge': 1, 'name': 'Mr. Andrew  Hermalyn', 'title': 'Pres of Partnerships', 'exercisedValue': 0, 'unexercisedValue': 0}",3,7,9,5,6,1693526400,1672444800,86400,4,3.03,3.02,2.89,3.025,3.03,3.02,2.89,3.025,0.0,1.233402,6.488889,1926088,1926088,1399483,1001640,1001640,2.89,2.93,1400,3100,237746400,2.83,13.15,0.25594953,3.5843,5.7134,0.0,0.0,USD,1151196288,-0.38889,72695818,81420000,8463622,7295425,1690761600,1693440000,0.1039,0.029930001,0.98843,4.22,0.12060001,3.626,0.8052951,1672444800,1703980800,1688083200,-361235008,-4.45,0.45,0.8,1.239,13.434,NMS,EQUITY,TWOU,TWOU,"2U, Inc.","2U, Inc.",1396013400,America/New_York,EDT,-14400000,2.92,9.0,4.0,6.04,6.0,2.3,buy,9,53301000,0.655,85693000,966750976,0.576,0.763,928880000,329.367,11.763,-0.01192,-0.80349,685397000,-29011250,-16535000,-0.08,0.70689005,0.092250004,-0.03666,USD,0.3017
