,address1,address2,city,state,zip,country,phone,fax,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,recommendationMean,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,One World Trade Center,41st Floor,New York,NY,10007,United States,212 658 7470,212 208 3414,https://www.ambac.com,Insurance—Specialty,Insurance—Specialty,Financial Services,Financial Services,"Ambac Financial Group, Inc. operates as a financial services holding company. It operates three businesses: Specialty Property and Casualty Insurance, Insurance Distribution, and Legacy Financial Guarantee (LFG) Insurance. The Specialty Property and Casualty Insurance business provides specialty property and casualty program insurance with a focus commercial and personal liability risks. The Insurance Distribution business includes the specialty property and casualty insurance distribution business, which includes managing general agents and underwriters, insurance wholesalers, brokers, and other distribution businesses. The LFG Insurance business offers financial guarantee insurance policies that provide an unconditional and irrevocable guarantee, which protects the holder of a debt obligation against non-payment when due of the principal and interest on the obligations guaranteed. The company was incorporated in 1991 and is headquartered in New York, New York.",155,"{'maxAge': 1, 'name': 'Mr. Claude L. LeBlanc', 'age': 57, 'title': 'Pres, CEO & Director', 'yearBorn': 1965, 'fiscalYear': 2022, 'totalPay': 2765667, 'exercisedValue': 0, 'unexercisedValue': 0}",6,3,9,1,5,1693526400,1672444800,86400,2,13.01,12.95,12.75,13.01,13.01,12.95,12.75,13.01,0.0,1.142461,1.2736318,71.11111,906946,906946,374954,371130,371130,12.81,12.76,800,1100,579891200,12.03,17.75,1.81216,13.578,15.04305,0.0,0.0,USD,4616891392,1.4625,44146481,45304000,2274018,2334330,1690761600,1693440000,0.0502,0.026800001,0.8754,6.48,0.0699,45304000,27.591,0.4639194,1672444800,1703980800,1688083200,471000000,10.05,0.18,-2.96,14.428,8.777,-0.13161463,0.14113986,NYQ,EQUITY,AMBC,AMBC,"Ambac Financial Group, Inc.","Ambac Financial Group, Inc.",1367415000,America/New_York,EDT,84f08e85-a4dc-37db-b004-8fc6e87ca7fc,finmb_317460,-14400000,12.8,2.3,buy,636000000,14.038,526000000,4600000000,0.357,0.533,320000000,347.695,7.035,0.033800002,0.42981,674000000,1180875008,1424999936,3.615,2.12188,1.64375,1.5375,USD,
1,One World Trade Center,41st Floor,New York,NY,10007,United States,212 658 7470,212 208 3414,https://www.ambac.com,Insurance—Specialty,Insurance—Specialty,Financial Services,Financial Services,"Ambac Financial Group, Inc. operates as a financial services holding company. It operates three businesses: Specialty Property and Casualty Insurance, Insurance Distribution, and Legacy Financial Guarantee (LFG) Insurance. The Specialty Property and Casualty Insurance business provides specialty property and casualty program insurance with a focus commercial and personal liability risks. The Insurance Distribution business includes the specialty property and casualty insurance distribution business, which includes managing general agents and underwriters, insurance wholesalers, brokers, and other distribution businesses. The LFG Insurance business offers financial guarantee insurance policies that provide an unconditional and irrevocable guarantee, which protects the holder of a debt obligation against non-payment when due of the principal and interest on the obligations guaranteed. The company was incorporated in 1991 and is headquartered in New York, New York.",155,"{'maxAge': 1, 'name': 'Mr. David  Trick', 'age': 50, 'title': 'Exec. VP, CFO & Treasurer', 'yearBorn': 1972, 'fiscalYear': 2022, 'totalPay': 1427673, 'exercisedValue': 0, 'unexercisedValue': 0}",6,3,9,1,5,1693526400,1672444800,86400,2,13.01,12.95,12.75,13.01,13.01,12.95,12.75,13.01,0.0,1.142461,1.2736318,71.11111,906946,906946,374954,371130,371130,12.81,12.76,800,1100,579891200,12.03,17.75,1.81216,13.578,15.04305,0.0,0.0,USD,4616891392,1.4625,44146481,45304000,2274018,2334330,1690761600,1693440000,0.0502,0.026800001,0.8754,6.48,0.0699,45304000,27.591,0.4639194,1672444800,1703980800,1688083200,471000000,10.05,0.18,-2.96,14.428,8.777,-0.13161463,0.14113986,NYQ,EQUITY,AMBC,AMBC,"Ambac Financial Group, Inc.","Ambac Financial Group, Inc.",1367415000,America/New_York,EDT,84f08e85-a4dc-37db-b004-8fc6e87ca7fc,finmb_317460,-14400000,12.8,2.3,buy,636000000,14.038,526000000,4600000000,0.357,0.533,320000000,347.695,7.035,0.033800002,0.42981,674000000,1180875008,1424999936,3.615,2.12188,1.64375,1.5375,USD,
2,One World Trade Center,41st Floor,New York,NY,10007,United States,212 658 7470,212 208 3414,https://www.ambac.com,Insurance—Specialty,Insurance—Specialty,Financial Services,Financial Services,"Ambac Financial Group, Inc. operates as a financial services holding company. It operates three businesses: Specialty Property and Casualty Insurance, Insurance Distribution, and Legacy Financial Guarantee (LFG) Insurance. The Specialty Property and Casualty Insurance business provides specialty property and casualty program insurance with a focus commercial and personal liability risks. The Insurance Distribution business includes the specialty property and casualty insurance distribution business, which includes managing general agents and underwriters, insurance wholesalers, brokers, and other distribution businesses. The LFG Insurance business offers financial guarantee insurance policies that provide an unconditional and irrevocable guarantee, which protects the holder of a debt obligation against non-payment when due of the principal and interest on the obligations guaranteed. The company was incorporated in 1991 and is headquartered in New York, New York.",155,"{'maxAge': 1, 'name': 'Mr. Stephen Michael Ksenak', 'age': 56, 'title': 'Sr. MD & Gen. Counsel', 'yearBorn': 1966, 'fiscalYear': 2022, 'totalPay': 1333923, 'exercisedValue': 0, 'unexercisedValue': 0}",6,3,9,1,5,1693526400,1672444800,86400,2,13.01,12.95,12.75,13.01,13.01,12.95,12.75,13.01,0.0,1.142461,1.2736318,71.11111,906946,906946,374954,371130,371130,12.81,12.76,800,1100,579891200,12.03,17.75,1.81216,13.578,15.04305,0.0,0.0,USD,4616891392,1.4625,44146481,45304000,2274018,2334330,1690761600,1693440000,0.0502,0.026800001,0.8754,6.48,0.0699,45304000,27.591,0.4639194,1672444800,1703980800,1688083200,471000000,10.05,0.18,-2.96,14.428,8.777,-0.13161463,0.14113986,NYQ,EQUITY,AMBC,AMBC,"Ambac Financial Group, Inc.","Ambac Financial Group, Inc.",1367415000,America/New_York,EDT,84f08e85-a4dc-37db-b004-8fc6e87ca7fc,finmb_317460,-14400000,12.8,2.3,buy,636000000,14.038,526000000,4600000000,0.357,0.533,320000000,347.695,7.035,0.033800002,0.42981,674000000,1180875008,1424999936,3.615,2.12188,1.64375,1.5375,USD,
3,One World Trade Center,41st Floor,New York,NY,10007,United States,212 658 7470,212 208 3414,https://www.ambac.com,Insurance—Specialty,Insurance—Specialty,Financial Services,Financial Services,"Ambac Financial Group, Inc. operates as a financial services holding company. It operates three businesses: Specialty Property and Casualty Insurance, Insurance Distribution, and Legacy Financial Guarantee (LFG) Insurance. The Specialty Property and Casualty Insurance business provides specialty property and casualty program insurance with a focus commercial and personal liability risks. The Insurance Distribution business includes the specialty property and casualty insurance distribution business, which includes managing general agents and underwriters, insurance wholesalers, brokers, and other distribution businesses. The LFG Insurance business offers financial guarantee insurance policies that provide an unconditional and irrevocable guarantee, which protects the holder of a debt obligation against non-payment when due of the principal and interest on the obligations guaranteed. The company was incorporated in 1991 and is headquartered in New York, New York.",155,"{'maxAge': 1, 'name': 'Mr. David Peter Barranco', 'age': 51, 'title': 'Sr. MD and Head of Risk Management', 'yearBorn': 1971, 'fiscalYear': 2022, 'totalPay': 1228773, 'exercisedValue': 0, 'unexercisedValue': 0}",6,3,9,1,5,1693526400,1672444800,86400,2,13.01,12.95,12.75,13.01,13.01,12.95,12.75,13.01,0.0,1.142461,1.2736318,71.11111,906946,906946,374954,371130,371130,12.81,12.76,800,1100,579891200,12.03,17.75,1.81216,13.578,15.04305,0.0,0.0,USD,4616891392,1.4625,44146481,45304000,2274018,2334330,1690761600,1693440000,0.0502,0.026800001,0.8754,6.48,0.0699,45304000,27.591,0.4639194,1672444800,1703980800,1688083200,471000000,10.05,0.18,-2.96,14.428,8.777,-0.13161463,0.14113986,NYQ,EQUITY,AMBC,AMBC,"Ambac Financial Group, Inc.","Ambac Financial Group, Inc.",1367415000,America/New_York,EDT,84f08e85-a4dc-37db-b004-8fc6e87ca7fc,finmb_317460,-14400000,12.8,2.3,buy,636000000,14.038,526000000,4600000000,0.357,0.533,320000000,347.695,7.035,0.033800002,0.42981,674000000,1180875008,1424999936,3.615,2.12188,1.64375,1.5375,USD,
4,One World Trade Center,41st Floor,New York,NY,10007,United States,212 658 7470,212 208 3414,https://www.ambac.com,Insurance—Specialty,Insurance—Specialty,Financial Services,Financial Services,"Ambac Financial Group, Inc. operates as a financial services holding company. It operates three businesses: Specialty Property and Casualty Insurance, Insurance Distribution, and Legacy Financial Guarantee (LFG) Insurance. The Specialty Property and Casualty Insurance business provides specialty property and casualty program insurance with a focus commercial and personal liability risks. The Insurance Distribution business includes the specialty property and casualty insurance distribution business, which includes managing general agents and underwriters, insurance wholesalers, brokers, and other distribution businesses. The LFG Insurance business offers financial guarantee insurance policies that provide an unconditional and irrevocable guarantee, which protects the holder of a debt obligation against non-payment when due of the principal and interest on the obligations guaranteed. The company was incorporated in 1991 and is headquartered in New York, New York.",155,"{'maxAge': 1, 'name': 'Ms. Rhonta Sharon Smith', 'age': 51, 'title': 'Exec. VP & Chief Strategy Officer', 'yearBorn': 1971, 'fiscalYear': 2022, 'totalPay': 1247864, 'exercisedValue': 0, 'unexercisedValue': 0}",6,3,9,1,5,1693526400,1672444800,86400,2,13.01,12.95,12.75,13.01,13.01,12.95,12.75,13.01,0.0,1.142461,1.2736318,71.11111,906946,906946,374954,371130,371130,12.81,12.76,800,1100,579891200,12.03,17.75,1.81216,13.578,15.04305,0.0,0.0,USD,4616891392,1.4625,44146481,45304000,2274018,2334330,1690761600,1693440000,0.0502,0.026800001,0.8754,6.48,0.0699,45304000,27.591,0.4639194,1672444800,1703980800,1688083200,471000000,10.05,0.18,-2.96,14.428,8.777,-0.13161463,0.14113986,NYQ,EQUITY,AMBC,AMBC,"Ambac Financial Group, Inc.","Ambac Financial Group, Inc.",1367415000,America/New_York,EDT,84f08e85-a4dc-37db-b004-8fc6e87ca7fc,finmb_317460,-14400000,12.8,2.3,buy,636000000,14.038,526000000,4600000000,0.357,0.533,320000000,347.695,7.035,0.033800002,0.42981,674000000,1180875008,1424999936,3.615,2.12188,1.64375,1.5375,USD,
5,One World Trade Center,41st Floor,New York,NY,10007,United States,212 658 7470,212 208 3414,https://www.ambac.com,Insurance—Specialty,Insurance—Specialty,Financial Services,Financial Services,"Ambac Financial Group, Inc. operates as a financial services holding company. It operates three businesses: Specialty Property and Casualty Insurance, Insurance Distribution, and Legacy Financial Guarantee (LFG) Insurance. The Specialty Property and Casualty Insurance business provides specialty property and casualty program insurance with a focus commercial and personal liability risks. The Insurance Distribution business includes the specialty property and casualty insurance distribution business, which includes managing general agents and underwriters, insurance wholesalers, brokers, and other distribution businesses. The LFG Insurance business offers financial guarantee insurance policies that provide an unconditional and irrevocable guarantee, which protects the holder of a debt obligation against non-payment when due of the principal and interest on the obligations guaranteed. The company was incorporated in 1991 and is headquartered in New York, New York.",155,"{'maxAge': 1, 'name': 'Mr. Daniel Matthew McGinnis', 'age': 50, 'title': 'Sr. MD & COO', 'yearBorn': 1972, 'exercisedValue': 0, 'unexercisedValue': 0}",6,3,9,1,5,1693526400,1672444800,86400,2,13.01,12.95,12.75,13.01,13.01,12.95,12.75,13.01,0.0,1.142461,1.2736318,71.11111,906946,906946,374954,371130,371130,12.81,12.76,800,1100,579891200,12.03,17.75,1.81216,13.578,15.04305,0.0,0.0,USD,4616891392,1.4625,44146481,45304000,2274018,2334330,1690761600,1693440000,0.0502,0.026800001,0.8754,6.48,0.0699,45304000,27.591,0.4639194,1672444800,1703980800,1688083200,471000000,10.05,0.18,-2.96,14.428,8.777,-0.13161463,0.14113986,NYQ,EQUITY,AMBC,AMBC,"Ambac Financial Group, Inc.","Ambac Financial Group, Inc.",1367415000,America/New_York,EDT,84f08e85-a4dc-37db-b004-8fc6e87ca7fc,finmb_317460,-14400000,12.8,2.3,buy,636000000,14.038,526000000,4600000000,0.357,0.533,320000000,347.695,7.035,0.033800002,0.42981,674000000,1180875008,1424999936,3.615,2.12188,1.64375,1.5375,USD,
6,One World Trade Center,41st Floor,New York,NY,10007,United States,212 658 7470,212 208 3414,https://www.ambac.com,Insurance—Specialty,Insurance—Specialty,Financial Services,Financial Services,"Ambac Financial Group, Inc. operates as a financial services holding company. It operates three businesses: Specialty Property and Casualty Insurance, Insurance Distribution, and Legacy Financial Guarantee (LFG) Insurance. The Specialty Property and Casualty Insurance business provides specialty property and casualty program insurance with a focus commercial and personal liability risks. The Insurance Distribution business includes the specialty property and casualty insurance distribution business, which includes managing general agents and underwriters, insurance wholesalers, brokers, and other distribution businesses. The LFG Insurance business offers financial guarantee insurance policies that provide an unconditional and irrevocable guarantee, which protects the holder of a debt obligation against non-payment when due of the principal and interest on the obligations guaranteed. The company was incorporated in 1991 and is headquartered in New York, New York.",155,"{'maxAge': 1, 'name': 'Mr. Robert G. Donovan', 'title': 'Chief Investment Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",6,3,9,1,5,1693526400,1672444800,86400,2,13.01,12.95,12.75,13.01,13.01,12.95,12.75,13.01,0.0,1.142461,1.2736318,71.11111,906946,906946,374954,371130,371130,12.81,12.76,800,1100,579891200,12.03,17.75,1.81216,13.578,15.04305,0.0,0.0,USD,4616891392,1.4625,44146481,45304000,2274018,2334330,1690761600,1693440000,0.0502,0.026800001,0.8754,6.48,0.0699,45304000,27.591,0.4639194,1672444800,1703980800,1688083200,471000000,10.05,0.18,-2.96,14.428,8.777,-0.13161463,0.14113986,NYQ,EQUITY,AMBC,AMBC,"Ambac Financial Group, Inc.","Ambac Financial Group, Inc.",1367415000,America/New_York,EDT,84f08e85-a4dc-37db-b004-8fc6e87ca7fc,finmb_317460,-14400000,12.8,2.3,buy,636000000,14.038,526000000,4600000000,0.357,0.533,320000000,347.695,7.035,0.033800002,0.42981,674000000,1180875008,1424999936,3.615,2.12188,1.64375,1.5375,USD,
7,One World Trade Center,41st Floor,New York,NY,10007,United States,212 658 7470,212 208 3414,https://www.ambac.com,Insurance—Specialty,Insurance—Specialty,Financial Services,Financial Services,"Ambac Financial Group, Inc. operates as a financial services holding company. It operates three businesses: Specialty Property and Casualty Insurance, Insurance Distribution, and Legacy Financial Guarantee (LFG) Insurance. The Specialty Property and Casualty Insurance business provides specialty property and casualty program insurance with a focus commercial and personal liability risks. The Insurance Distribution business includes the specialty property and casualty insurance distribution business, which includes managing general agents and underwriters, insurance wholesalers, brokers, and other distribution businesses. The LFG Insurance business offers financial guarantee insurance policies that provide an unconditional and irrevocable guarantee, which protects the holder of a debt obligation against non-payment when due of the principal and interest on the obligations guaranteed. The company was incorporated in 1991 and is headquartered in New York, New York.",155,"{'maxAge': 1, 'name': 'Mr. Robert Bryan Eisman', 'age': 55, 'title': 'Sr. MD, Chief Accounting Officer & Controller', 'yearBorn': 1967, 'fiscalYear': 2017, 'exercisedValue': 0, 'unexercisedValue': 0}",6,3,9,1,5,1693526400,1672444800,86400,2,13.01,12.95,12.75,13.01,13.01,12.95,12.75,13.01,0.0,1.142461,1.2736318,71.11111,906946,906946,374954,371130,371130,12.81,12.76,800,1100,579891200,12.03,17.75,1.81216,13.578,15.04305,0.0,0.0,USD,4616891392,1.4625,44146481,45304000,2274018,2334330,1690761600,1693440000,0.0502,0.026800001,0.8754,6.48,0.0699,45304000,27.591,0.4639194,1672444800,1703980800,1688083200,471000000,10.05,0.18,-2.96,14.428,8.777,-0.13161463,0.14113986,NYQ,EQUITY,AMBC,AMBC,"Ambac Financial Group, Inc.","Ambac Financial Group, Inc.",1367415000,America/New_York,EDT,84f08e85-a4dc-37db-b004-8fc6e87ca7fc,finmb_317460,-14400000,12.8,2.3,buy,636000000,14.038,526000000,4600000000,0.357,0.533,320000000,347.695,7.035,0.033800002,0.42981,674000000,1180875008,1424999936,3.615,2.12188,1.64375,1.5375,USD,
8,One World Trade Center,41st Floor,New York,NY,10007,United States,212 658 7470,212 208 3414,https://www.ambac.com,Insurance—Specialty,Insurance—Specialty,Financial Services,Financial Services,"Ambac Financial Group, Inc. operates as a financial services holding company. It operates three businesses: Specialty Property and Casualty Insurance, Insurance Distribution, and Legacy Financial Guarantee (LFG) Insurance. The Specialty Property and Casualty Insurance business provides specialty property and casualty program insurance with a focus commercial and personal liability risks. The Insurance Distribution business includes the specialty property and casualty insurance distribution business, which includes managing general agents and underwriters, insurance wholesalers, brokers, and other distribution businesses. The LFG Insurance business offers financial guarantee insurance policies that provide an unconditional and irrevocable guarantee, which protects the holder of a debt obligation against non-payment when due of the principal and interest on the obligations guaranteed. The company was incorporated in 1991 and is headquartered in New York, New York.",155,"{'maxAge': 1, 'name': 'Mr. Charles Joseph Sebaski', 'title': 'MD & Head of Investor Relation', 'exercisedValue': 0, 'unexercisedValue': 0}",6,3,9,1,5,1693526400,1672444800,86400,2,13.01,12.95,12.75,13.01,13.01,12.95,12.75,13.01,0.0,1.142461,1.2736318,71.11111,906946,906946,374954,371130,371130,12.81,12.76,800,1100,579891200,12.03,17.75,1.81216,13.578,15.04305,0.0,0.0,USD,4616891392,1.4625,44146481,45304000,2274018,2334330,1690761600,1693440000,0.0502,0.026800001,0.8754,6.48,0.0699,45304000,27.591,0.4639194,1672444800,1703980800,1688083200,471000000,10.05,0.18,-2.96,14.428,8.777,-0.13161463,0.14113986,NYQ,EQUITY,AMBC,AMBC,"Ambac Financial Group, Inc.","Ambac Financial Group, Inc.",1367415000,America/New_York,EDT,84f08e85-a4dc-37db-b004-8fc6e87ca7fc,finmb_317460,-14400000,12.8,2.3,buy,636000000,14.038,526000000,4600000000,0.357,0.533,320000000,347.695,7.035,0.033800002,0.42981,674000000,1180875008,1424999936,3.615,2.12188,1.64375,1.5375,USD,
9,One World Trade Center,41st Floor,New York,NY,10007,United States,212 658 7470,212 208 3414,https://www.ambac.com,Insurance—Specialty,Insurance—Specialty,Financial Services,Financial Services,"Ambac Financial Group, Inc. operates as a financial services holding company. It operates three businesses: Specialty Property and Casualty Insurance, Insurance Distribution, and Legacy Financial Guarantee (LFG) Insurance. The Specialty Property and Casualty Insurance business provides specialty property and casualty program insurance with a focus commercial and personal liability risks. The Insurance Distribution business includes the specialty property and casualty insurance distribution business, which includes managing general agents and underwriters, insurance wholesalers, brokers, and other distribution businesses. The LFG Insurance business offers financial guarantee insurance policies that provide an unconditional and irrevocable guarantee, which protects the holder of a debt obligation against non-payment when due of the principal and interest on the obligations guaranteed. The company was incorporated in 1991 and is headquartered in New York, New York.",155,"{'maxAge': 1, 'name': 'Kate  Smith', 'title': 'Director of Corp. Communications', 'exercisedValue': 0, 'unexercisedValue': 0}",6,3,9,1,5,1693526400,1672444800,86400,2,13.01,12.95,12.75,13.01,13.01,12.95,12.75,13.01,0.0,1.142461,1.2736318,71.11111,906946,906946,374954,371130,371130,12.81,12.76,800,1100,579891200,12.03,17.75,1.81216,13.578,15.04305,0.0,0.0,USD,4616891392,1.4625,44146481,45304000,2274018,2334330,1690761600,1693440000,0.0502,0.026800001,0.8754,6.48,0.0699,45304000,27.591,0.4639194,1672444800,1703980800,1688083200,471000000,10.05,0.18,-2.96,14.428,8.777,-0.13161463,0.14113986,NYQ,EQUITY,AMBC,AMBC,"Ambac Financial Group, Inc.","Ambac Financial Group, Inc.",1367415000,America/New_York,EDT,84f08e85-a4dc-37db-b004-8fc6e87ca7fc,finmb_317460,-14400000,12.8,2.3,buy,636000000,14.038,526000000,4600000000,0.357,0.533,320000000,347.695,7.035,0.033800002,0.42981,674000000,1180875008,1424999936,3.615,2.12188,1.64375,1.5375,USD,
