,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,fiveYearAvgDividendYield,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,3625 Dufferin Street,Suite 500,Toronto,ON,M3K 1N4,Canada,(416) 635-7520,(416) 398-0040,https://www.hr-reit.com,REIT—Diversified,Real Estate,"H&R REIT is one of Canada's largest real estate investment trusts with total assets of approximately $11.1 billion as at June 30, 2023. H&R REIT has ownership interests in a North American portfolio comprised of high-quality residential, industrial, office and retail properties comprising over 27.7 million square feet. H&R's strategy is to create a simplified, growth-oriented business focused on residential and industrial properties in order to create sustainable long term value for unitholders. H&R plans to sell its office and retail properties as market conditions permit. H&R's target is to be a leading owner, operator and developer of residential and industrial properties, creating value through redevelopment and greenfield development in prime locations within Toronto, Montreal, Vancouver, and high growth U.S. sunbelt and gateway cities.","{'maxAge': 1, 'name': 'Mr. Thomas J. Hofstedter', 'age': 68, 'title': 'CEO & Exec. Chairman', 'yearBorn': 1954, 'fiscalYear': 2022, 'totalPay': 2151133, 'exercisedValue': 0, 'unexercisedValue': 0}",3,6,7,1,6,1693526400,1672444800,86400,2,7.45,7.25,7.45,7.45,7.45,7.25,7.45,7.45,0.45,0.06,1695859200,6.45,1.803528,15,15,10587,24920,24920,0.0,0.0,0,0,2148743936,7.25,9.87,2.347397,7.7064,8.5313,0.575,0.077181205,USD,5961088512,-0.22091,257888497,262098000,0.01878,0.28280002,20.087,0.37088662,1672444800,1703980800,1688083200,-202218000,-0.48,6.512,PNK,EQUITY,HRUFF,HRUFF,H&R REAL ESTATE INVESTMENT TRUS,H&R Real Estate Investment Trust,1287149400,America/New_York,EDT,-14400000,7.45,none,100558000,0.384,4109018112,0.107,0.264,915372992,77.728,3.443,0.03171,-0.03707,586729000,268076624,289220000,0.052,0.65584,0.0,0.63089,CAD,
1,3625 Dufferin Street,Suite 500,Toronto,ON,M3K 1N4,Canada,(416) 635-7520,(416) 398-0040,https://www.hr-reit.com,REIT—Diversified,Real Estate,"H&R REIT is one of Canada's largest real estate investment trusts with total assets of approximately $11.1 billion as at June 30, 2023. H&R REIT has ownership interests in a North American portfolio comprised of high-quality residential, industrial, office and retail properties comprising over 27.7 million square feet. H&R's strategy is to create a simplified, growth-oriented business focused on residential and industrial properties in order to create sustainable long term value for unitholders. H&R plans to sell its office and retail properties as market conditions permit. H&R's target is to be a leading owner, operator and developer of residential and industrial properties, creating value through redevelopment and greenfield development in prime locations within Toronto, Montreal, Vancouver, and high growth U.S. sunbelt and gateway cities.","{'maxAge': 1, 'name': 'Mr. Larry  Froom C.A., CPA, CA, CPA', 'title': 'Chief Financial Officer', 'fiscalYear': 2022, 'totalPay': 1337773, 'exercisedValue': 0, 'unexercisedValue': 0}",3,6,7,1,6,1693526400,1672444800,86400,2,7.45,7.25,7.45,7.45,7.45,7.25,7.45,7.45,0.45,0.06,1695859200,6.45,1.803528,15,15,10587,24920,24920,0.0,0.0,0,0,2148743936,7.25,9.87,2.347397,7.7064,8.5313,0.575,0.077181205,USD,5961088512,-0.22091,257888497,262098000,0.01878,0.28280002,20.087,0.37088662,1672444800,1703980800,1688083200,-202218000,-0.48,6.512,PNK,EQUITY,HRUFF,HRUFF,H&R REAL ESTATE INVESTMENT TRUS,H&R Real Estate Investment Trust,1287149400,America/New_York,EDT,-14400000,7.45,none,100558000,0.384,4109018112,0.107,0.264,915372992,77.728,3.443,0.03171,-0.03707,586729000,268076624,289220000,0.052,0.65584,0.0,0.63089,CAD,
2,3625 Dufferin Street,Suite 500,Toronto,ON,M3K 1N4,Canada,(416) 635-7520,(416) 398-0040,https://www.hr-reit.com,REIT—Diversified,Real Estate,"H&R REIT is one of Canada's largest real estate investment trusts with total assets of approximately $11.1 billion as at June 30, 2023. H&R REIT has ownership interests in a North American portfolio comprised of high-quality residential, industrial, office and retail properties comprising over 27.7 million square feet. H&R's strategy is to create a simplified, growth-oriented business focused on residential and industrial properties in order to create sustainable long term value for unitholders. H&R plans to sell its office and retail properties as market conditions permit. H&R's target is to be a leading owner, operator and developer of residential and industrial properties, creating value through redevelopment and greenfield development in prime locations within Toronto, Montreal, Vancouver, and high growth U.S. sunbelt and gateway cities.","{'maxAge': 1, 'name': 'Ms. Robyn  Kestenberg', 'title': 'Exec. VP of Office & Industrial', 'fiscalYear': 2022, 'totalPay': 959010, 'exercisedValue': 0, 'unexercisedValue': 0}",3,6,7,1,6,1693526400,1672444800,86400,2,7.45,7.25,7.45,7.45,7.45,7.25,7.45,7.45,0.45,0.06,1695859200,6.45,1.803528,15,15,10587,24920,24920,0.0,0.0,0,0,2148743936,7.25,9.87,2.347397,7.7064,8.5313,0.575,0.077181205,USD,5961088512,-0.22091,257888497,262098000,0.01878,0.28280002,20.087,0.37088662,1672444800,1703980800,1688083200,-202218000,-0.48,6.512,PNK,EQUITY,HRUFF,HRUFF,H&R REAL ESTATE INVESTMENT TRUS,H&R Real Estate Investment Trust,1287149400,America/New_York,EDT,-14400000,7.45,none,100558000,0.384,4109018112,0.107,0.264,915372992,77.728,3.443,0.03171,-0.03707,586729000,268076624,289220000,0.052,0.65584,0.0,0.63089,CAD,
3,3625 Dufferin Street,Suite 500,Toronto,ON,M3K 1N4,Canada,(416) 635-7520,(416) 398-0040,https://www.hr-reit.com,REIT—Diversified,Real Estate,"H&R REIT is one of Canada's largest real estate investment trusts with total assets of approximately $11.1 billion as at June 30, 2023. H&R REIT has ownership interests in a North American portfolio comprised of high-quality residential, industrial, office and retail properties comprising over 27.7 million square feet. H&R's strategy is to create a simplified, growth-oriented business focused on residential and industrial properties in order to create sustainable long term value for unitholders. H&R plans to sell its office and retail properties as market conditions permit. H&R's target is to be a leading owner, operator and developer of residential and industrial properties, creating value through redevelopment and greenfield development in prime locations within Toronto, Montreal, Vancouver, and high growth U.S. sunbelt and gateway cities.","{'maxAge': 1, 'name': 'Ms. Emily  Watson', 'title': 'Chief Operating Officer of Lantower Residential', 'fiscalYear': 2022, 'totalPay': 611368, 'exercisedValue': 0, 'unexercisedValue': 0}",3,6,7,1,6,1693526400,1672444800,86400,2,7.45,7.25,7.45,7.45,7.45,7.25,7.45,7.45,0.45,0.06,1695859200,6.45,1.803528,15,15,10587,24920,24920,0.0,0.0,0,0,2148743936,7.25,9.87,2.347397,7.7064,8.5313,0.575,0.077181205,USD,5961088512,-0.22091,257888497,262098000,0.01878,0.28280002,20.087,0.37088662,1672444800,1703980800,1688083200,-202218000,-0.48,6.512,PNK,EQUITY,HRUFF,HRUFF,H&R REAL ESTATE INVESTMENT TRUS,H&R Real Estate Investment Trust,1287149400,America/New_York,EDT,-14400000,7.45,none,100558000,0.384,4109018112,0.107,0.264,915372992,77.728,3.443,0.03171,-0.03707,586729000,268076624,289220000,0.052,0.65584,0.0,0.63089,CAD,
4,3625 Dufferin Street,Suite 500,Toronto,ON,M3K 1N4,Canada,(416) 635-7520,(416) 398-0040,https://www.hr-reit.com,REIT—Diversified,Real Estate,"H&R REIT is one of Canada's largest real estate investment trusts with total assets of approximately $11.1 billion as at June 30, 2023. H&R REIT has ownership interests in a North American portfolio comprised of high-quality residential, industrial, office and retail properties comprising over 27.7 million square feet. H&R's strategy is to create a simplified, growth-oriented business focused on residential and industrial properties in order to create sustainable long term value for unitholders. H&R plans to sell its office and retail properties as market conditions permit. H&R's target is to be a leading owner, operator and developer of residential and industrial properties, creating value through redevelopment and greenfield development in prime locations within Toronto, Montreal, Vancouver, and high growth U.S. sunbelt and gateway cities.","{'maxAge': 1, 'name': 'Mr. Blair  Kundell', 'title': 'Exec. VP of Operations', 'exercisedValue': 0, 'unexercisedValue': 0}",3,6,7,1,6,1693526400,1672444800,86400,2,7.45,7.25,7.45,7.45,7.45,7.25,7.45,7.45,0.45,0.06,1695859200,6.45,1.803528,15,15,10587,24920,24920,0.0,0.0,0,0,2148743936,7.25,9.87,2.347397,7.7064,8.5313,0.575,0.077181205,USD,5961088512,-0.22091,257888497,262098000,0.01878,0.28280002,20.087,0.37088662,1672444800,1703980800,1688083200,-202218000,-0.48,6.512,PNK,EQUITY,HRUFF,HRUFF,H&R REAL ESTATE INVESTMENT TRUS,H&R Real Estate Investment Trust,1287149400,America/New_York,EDT,-14400000,7.45,none,100558000,0.384,4109018112,0.107,0.264,915372992,77.728,3.443,0.03171,-0.03707,586729000,268076624,289220000,0.052,0.65584,0.0,0.63089,CAD,
5,3625 Dufferin Street,Suite 500,Toronto,ON,M3K 1N4,Canada,(416) 635-7520,(416) 398-0040,https://www.hr-reit.com,REIT—Diversified,Real Estate,"H&R REIT is one of Canada's largest real estate investment trusts with total assets of approximately $11.1 billion as at June 30, 2023. H&R REIT has ownership interests in a North American portfolio comprised of high-quality residential, industrial, office and retail properties comprising over 27.7 million square feet. H&R's strategy is to create a simplified, growth-oriented business focused on residential and industrial properties in order to create sustainable long term value for unitholders. H&R plans to sell its office and retail properties as market conditions permit. H&R's target is to be a leading owner, operator and developer of residential and industrial properties, creating value through redevelopment and greenfield development in prime locations within Toronto, Montreal, Vancouver, and high growth U.S. sunbelt and gateway cities.","{'maxAge': 1, 'name': 'Ms. Cheryl  Fried C.A., CPA, CA, CPA', 'title': 'Exec. VP of Fin.', 'fiscalYear': 2015, 'exercisedValue': 0, 'unexercisedValue': 0}",3,6,7,1,6,1693526400,1672444800,86400,2,7.45,7.25,7.45,7.45,7.45,7.25,7.45,7.45,0.45,0.06,1695859200,6.45,1.803528,15,15,10587,24920,24920,0.0,0.0,0,0,2148743936,7.25,9.87,2.347397,7.7064,8.5313,0.575,0.077181205,USD,5961088512,-0.22091,257888497,262098000,0.01878,0.28280002,20.087,0.37088662,1672444800,1703980800,1688083200,-202218000,-0.48,6.512,PNK,EQUITY,HRUFF,HRUFF,H&R REAL ESTATE INVESTMENT TRUS,H&R Real Estate Investment Trust,1287149400,America/New_York,EDT,-14400000,7.45,none,100558000,0.384,4109018112,0.107,0.264,915372992,77.728,3.443,0.03171,-0.03707,586729000,268076624,289220000,0.052,0.65584,0.0,0.63089,CAD,
6,3625 Dufferin Street,Suite 500,Toronto,ON,M3K 1N4,Canada,(416) 635-7520,(416) 398-0040,https://www.hr-reit.com,REIT—Diversified,Real Estate,"H&R REIT is one of Canada's largest real estate investment trusts with total assets of approximately $11.1 billion as at June 30, 2023. H&R REIT has ownership interests in a North American portfolio comprised of high-quality residential, industrial, office and retail properties comprising over 27.7 million square feet. H&R's strategy is to create a simplified, growth-oriented business focused on residential and industrial properties in order to create sustainable long term value for unitholders. H&R plans to sell its office and retail properties as market conditions permit. H&R's target is to be a leading owner, operator and developer of residential and industrial properties, creating value through redevelopment and greenfield development in prime locations within Toronto, Montreal, Vancouver, and high growth U.S. sunbelt and gateway cities.","{'maxAge': 1, 'name': 'Ms. Brenda  Huggins', 'title': 'Sr. VP of HR of Primaris', 'exercisedValue': 0, 'unexercisedValue': 0}",3,6,7,1,6,1693526400,1672444800,86400,2,7.45,7.25,7.45,7.45,7.45,7.25,7.45,7.45,0.45,0.06,1695859200,6.45,1.803528,15,15,10587,24920,24920,0.0,0.0,0,0,2148743936,7.25,9.87,2.347397,7.7064,8.5313,0.575,0.077181205,USD,5961088512,-0.22091,257888497,262098000,0.01878,0.28280002,20.087,0.37088662,1672444800,1703980800,1688083200,-202218000,-0.48,6.512,PNK,EQUITY,HRUFF,HRUFF,H&R REAL ESTATE INVESTMENT TRUS,H&R Real Estate Investment Trust,1287149400,America/New_York,EDT,-14400000,7.45,none,100558000,0.384,4109018112,0.107,0.264,915372992,77.728,3.443,0.03171,-0.03707,586729000,268076624,289220000,0.052,0.65584,0.0,0.63089,CAD,
7,3625 Dufferin Street,Suite 500,Toronto,ON,M3K 1N4,Canada,(416) 635-7520,(416) 398-0040,https://www.hr-reit.com,REIT—Diversified,Real Estate,"H&R REIT is one of Canada's largest real estate investment trusts with total assets of approximately $11.1 billion as at June 30, 2023. H&R REIT has ownership interests in a North American portfolio comprised of high-quality residential, industrial, office and retail properties comprising over 27.7 million square feet. H&R's strategy is to create a simplified, growth-oriented business focused on residential and industrial properties in order to create sustainable long term value for unitholders. H&R plans to sell its office and retail properties as market conditions permit. H&R's target is to be a leading owner, operator and developer of residential and industrial properties, creating value through redevelopment and greenfield development in prime locations within Toronto, Montreal, Vancouver, and high growth U.S. sunbelt and gateway cities.","{'maxAge': 1, 'name': 'Ms. Colleen  Grahn', 'title': 'Pres of Property Management- Lantower Residential', 'exercisedValue': 0, 'unexercisedValue': 0}",3,6,7,1,6,1693526400,1672444800,86400,2,7.45,7.25,7.45,7.45,7.45,7.25,7.45,7.45,0.45,0.06,1695859200,6.45,1.803528,15,15,10587,24920,24920,0.0,0.0,0,0,2148743936,7.25,9.87,2.347397,7.7064,8.5313,0.575,0.077181205,USD,5961088512,-0.22091,257888497,262098000,0.01878,0.28280002,20.087,0.37088662,1672444800,1703980800,1688083200,-202218000,-0.48,6.512,PNK,EQUITY,HRUFF,HRUFF,H&R REAL ESTATE INVESTMENT TRUS,H&R Real Estate Investment Trust,1287149400,America/New_York,EDT,-14400000,7.45,none,100558000,0.384,4109018112,0.107,0.264,915372992,77.728,3.443,0.03171,-0.03707,586729000,268076624,289220000,0.052,0.65584,0.0,0.63089,CAD,
8,3625 Dufferin Street,Suite 500,Toronto,ON,M3K 1N4,Canada,(416) 635-7520,(416) 398-0040,https://www.hr-reit.com,REIT—Diversified,Real Estate,"H&R REIT is one of Canada's largest real estate investment trusts with total assets of approximately $11.1 billion as at June 30, 2023. H&R REIT has ownership interests in a North American portfolio comprised of high-quality residential, industrial, office and retail properties comprising over 27.7 million square feet. H&R's strategy is to create a simplified, growth-oriented business focused on residential and industrial properties in order to create sustainable long term value for unitholders. H&R plans to sell its office and retail properties as market conditions permit. H&R's target is to be a leading owner, operator and developer of residential and industrial properties, creating value through redevelopment and greenfield development in prime locations within Toronto, Montreal, Vancouver, and high growth U.S. sunbelt and gateway cities.","{'maxAge': 1, 'name': 'Mr. Matthew  Kingston', 'title': 'Exec. VP of Devel. & Construction', 'exercisedValue': 0, 'unexercisedValue': 0}",3,6,7,1,6,1693526400,1672444800,86400,2,7.45,7.25,7.45,7.45,7.45,7.25,7.45,7.45,0.45,0.06,1695859200,6.45,1.803528,15,15,10587,24920,24920,0.0,0.0,0,0,2148743936,7.25,9.87,2.347397,7.7064,8.5313,0.575,0.077181205,USD,5961088512,-0.22091,257888497,262098000,0.01878,0.28280002,20.087,0.37088662,1672444800,1703980800,1688083200,-202218000,-0.48,6.512,PNK,EQUITY,HRUFF,HRUFF,H&R REAL ESTATE INVESTMENT TRUS,H&R Real Estate Investment Trust,1287149400,America/New_York,EDT,-14400000,7.45,none,100558000,0.384,4109018112,0.107,0.264,915372992,77.728,3.443,0.03171,-0.03707,586729000,268076624,289220000,0.052,0.65584,0.0,0.63089,CAD,
9,3625 Dufferin Street,Suite 500,Toronto,ON,M3K 1N4,Canada,(416) 635-7520,(416) 398-0040,https://www.hr-reit.com,REIT—Diversified,Real Estate,"H&R REIT is one of Canada's largest real estate investment trusts with total assets of approximately $11.1 billion as at June 30, 2023. H&R REIT has ownership interests in a North American portfolio comprised of high-quality residential, industrial, office and retail properties comprising over 27.7 million square feet. H&R's strategy is to create a simplified, growth-oriented business focused on residential and industrial properties in order to create sustainable long term value for unitholders. H&R plans to sell its office and retail properties as market conditions permit. H&R's target is to be a leading owner, operator and developer of residential and industrial properties, creating value through redevelopment and greenfield development in prime locations within Toronto, Montreal, Vancouver, and high growth U.S. sunbelt and gateway cities.","{'maxAge': 1, 'name': 'Ms. Audrey  Craig', 'title': 'Exec. VP of Accounting - Lantower Residential', 'exercisedValue': 0, 'unexercisedValue': 0}",3,6,7,1,6,1693526400,1672444800,86400,2,7.45,7.25,7.45,7.45,7.45,7.25,7.45,7.45,0.45,0.06,1695859200,6.45,1.803528,15,15,10587,24920,24920,0.0,0.0,0,0,2148743936,7.25,9.87,2.347397,7.7064,8.5313,0.575,0.077181205,USD,5961088512,-0.22091,257888497,262098000,0.01878,0.28280002,20.087,0.37088662,1672444800,1703980800,1688083200,-202218000,-0.48,6.512,PNK,EQUITY,HRUFF,HRUFF,H&R REAL ESTATE INVESTMENT TRUS,H&R Real Estate Investment Trust,1287149400,America/New_York,EDT,-14400000,7.45,none,100558000,0.384,4109018112,0.107,0.264,915372992,77.728,3.443,0.03171,-0.03707,586729000,268076624,289220000,0.052,0.65584,0.0,0.63089,CAD,
