,address1,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,100 Nagog Park,Acton,MA,01720,United States,978 600 7000,978 600 0120,https://www.insulet.com,Medical Devices,Healthcare,"Insulet Corporation develops, manufactures, and sells insulin delivery systems for people with insulin-dependent diabetes. It offers Omnipod System, a self-adhesive disposable tubeless Omnipod device that is worn on the body for up to three days at a time, as well as its wireless companion, the handheld personal diabetes manager. The company sells its products primarily through independent distributors and pharmacy channels, as well as directly in the United States, Canada, Europe, the Middle East, and Australia. Insulet Corporation was incorporated in 2000 and is headquartered in Acton, Massachusetts.",2600,"{'maxAge': 1, 'name': 'Dr. James R. Hollingshead Ph.D.', 'age': 59, 'title': 'Pres, CEO & Director', 'yearBorn': 1963, 'fiscalYear': 2022, 'totalPay': 2177039, 'exercisedValue': 0, 'unexercisedValue': 0}",6,5,8,10,9,1693526400,1672444800,86400,2,174.7,175.43,166.03,175.5538,174.7,175.43,166.03,175.5538,0.0,0.806362,190.65169,75.75,2339993,2339993,994861,1482390,1482390,169.23,169.7,1100,800,11847244800,166.03,335.91,8.086305,232.9156,282.97424,0.0,0.0,USD,12935449600,0.042930003,69478995,69821104,3328620,2762175,1690761600,1693440000,0.0477,0.00417,1.06401,2.44,0.0563,7.935,21.383741,1672444800,1703980800,1688083200,62900000,0.89,2.24,3.5,8.829,91.288,NMS,EQUITY,PODD,PODD,Insulet Corporation,Insulet Corporation,1179235800,America/New_York,EDT,-14400000,169.68,360.0,208.0,286.0,297.0,2.1,buy,16,660099968,9.454,141700000,1397799936,2.143,3.345,1465100032,252.356,21.064,0.020639999,0.12885,805600000,-59800000,151900000,0.324,0.61579,0.09672,0.05071,USD,0.5528
1,100 Nagog Park,Acton,MA,01720,United States,978 600 7000,978 600 0120,https://www.insulet.com,Medical Devices,Healthcare,"Insulet Corporation develops, manufactures, and sells insulin delivery systems for people with insulin-dependent diabetes. It offers Omnipod System, a self-adhesive disposable tubeless Omnipod device that is worn on the body for up to three days at a time, as well as its wireless companion, the handheld personal diabetes manager. The company sells its products primarily through independent distributors and pharmacy channels, as well as directly in the United States, Canada, Europe, the Middle East, and Australia. Insulet Corporation was incorporated in 2000 and is headquartered in Acton, Massachusetts.",2600,"{'maxAge': 1, 'name': 'Mr. Wayde D. McMillan', 'age': 51, 'title': 'Exec. VP,CFO & Treasurer', 'yearBorn': 1971, 'fiscalYear': 2022, 'totalPay': 1150797, 'exercisedValue': 0, 'unexercisedValue': 1657408}",6,5,8,10,9,1693526400,1672444800,86400,2,174.7,175.43,166.03,175.5538,174.7,175.43,166.03,175.5538,0.0,0.806362,190.65169,75.75,2339993,2339993,994861,1482390,1482390,169.23,169.7,1100,800,11847244800,166.03,335.91,8.086305,232.9156,282.97424,0.0,0.0,USD,12935449600,0.042930003,69478995,69821104,3328620,2762175,1690761600,1693440000,0.0477,0.00417,1.06401,2.44,0.0563,7.935,21.383741,1672444800,1703980800,1688083200,62900000,0.89,2.24,3.5,8.829,91.288,NMS,EQUITY,PODD,PODD,Insulet Corporation,Insulet Corporation,1179235800,America/New_York,EDT,-14400000,169.68,360.0,208.0,286.0,297.0,2.1,buy,16,660099968,9.454,141700000,1397799936,2.143,3.345,1465100032,252.356,21.064,0.020639999,0.12885,805600000,-59800000,151900000,0.324,0.61579,0.09672,0.05071,USD,0.5528
2,100 Nagog Park,Acton,MA,01720,United States,978 600 7000,978 600 0120,https://www.insulet.com,Medical Devices,Healthcare,"Insulet Corporation develops, manufactures, and sells insulin delivery systems for people with insulin-dependent diabetes. It offers Omnipod System, a self-adhesive disposable tubeless Omnipod device that is worn on the body for up to three days at a time, as well as its wireless companion, the handheld personal diabetes manager. The company sells its products primarily through independent distributors and pharmacy channels, as well as directly in the United States, Canada, Europe, the Middle East, and Australia. Insulet Corporation was incorporated in 2000 and is headquartered in Acton, Massachusetts.",2600,"{'maxAge': 1, 'name': 'Ms. Shacey  Petrovic', 'age': 48, 'title': 'Director & Advisor', 'yearBorn': 1974, 'fiscalYear': 2022, 'totalPay': 2959824, 'exercisedValue': 12993293, 'unexercisedValue': 9962036}",6,5,8,10,9,1693526400,1672444800,86400,2,174.7,175.43,166.03,175.5538,174.7,175.43,166.03,175.5538,0.0,0.806362,190.65169,75.75,2339993,2339993,994861,1482390,1482390,169.23,169.7,1100,800,11847244800,166.03,335.91,8.086305,232.9156,282.97424,0.0,0.0,USD,12935449600,0.042930003,69478995,69821104,3328620,2762175,1690761600,1693440000,0.0477,0.00417,1.06401,2.44,0.0563,7.935,21.383741,1672444800,1703980800,1688083200,62900000,0.89,2.24,3.5,8.829,91.288,NMS,EQUITY,PODD,PODD,Insulet Corporation,Insulet Corporation,1179235800,America/New_York,EDT,-14400000,169.68,360.0,208.0,286.0,297.0,2.1,buy,16,660099968,9.454,141700000,1397799936,2.143,3.345,1465100032,252.356,21.064,0.020639999,0.12885,805600000,-59800000,151900000,0.324,0.61579,0.09672,0.05071,USD,0.5528
3,100 Nagog Park,Acton,MA,01720,United States,978 600 7000,978 600 0120,https://www.insulet.com,Medical Devices,Healthcare,"Insulet Corporation develops, manufactures, and sells insulin delivery systems for people with insulin-dependent diabetes. It offers Omnipod System, a self-adhesive disposable tubeless Omnipod device that is worn on the body for up to three days at a time, as well as its wireless companion, the handheld personal diabetes manager. The company sells its products primarily through independent distributors and pharmacy channels, as well as directly in the United States, Canada, Europe, the Middle East, and Australia. Insulet Corporation was incorporated in 2000 and is headquartered in Acton, Massachusetts.",2600,"{'maxAge': 1, 'name': 'Mr. Eric  Benjamin', 'age': 39, 'title': 'Exec. VP, Chief Product & Customer Experience Officer', 'yearBorn': 1983, 'fiscalYear': 2022, 'totalPay': 947570, 'exercisedValue': 0, 'unexercisedValue': 2972974}",6,5,8,10,9,1693526400,1672444800,86400,2,174.7,175.43,166.03,175.5538,174.7,175.43,166.03,175.5538,0.0,0.806362,190.65169,75.75,2339993,2339993,994861,1482390,1482390,169.23,169.7,1100,800,11847244800,166.03,335.91,8.086305,232.9156,282.97424,0.0,0.0,USD,12935449600,0.042930003,69478995,69821104,3328620,2762175,1690761600,1693440000,0.0477,0.00417,1.06401,2.44,0.0563,7.935,21.383741,1672444800,1703980800,1688083200,62900000,0.89,2.24,3.5,8.829,91.288,NMS,EQUITY,PODD,PODD,Insulet Corporation,Insulet Corporation,1179235800,America/New_York,EDT,-14400000,169.68,360.0,208.0,286.0,297.0,2.1,buy,16,660099968,9.454,141700000,1397799936,2.143,3.345,1465100032,252.356,21.064,0.020639999,0.12885,805600000,-59800000,151900000,0.324,0.61579,0.09672,0.05071,USD,0.5528
4,100 Nagog Park,Acton,MA,01720,United States,978 600 7000,978 600 0120,https://www.insulet.com,Medical Devices,Healthcare,"Insulet Corporation develops, manufactures, and sells insulin delivery systems for people with insulin-dependent diabetes. It offers Omnipod System, a self-adhesive disposable tubeless Omnipod device that is worn on the body for up to three days at a time, as well as its wireless companion, the handheld personal diabetes manager. The company sells its products primarily through independent distributors and pharmacy channels, as well as directly in the United States, Canada, Europe, the Middle East, and Australia. Insulet Corporation was incorporated in 2000 and is headquartered in Acton, Massachusetts.",2600,"{'maxAge': 1, 'name': 'Mr. Prem  Singh', 'age': 45, 'title': 'Sr. VP of Global Operations', 'yearBorn': 1977, 'exercisedValue': 0, 'unexercisedValue': 0}",6,5,8,10,9,1693526400,1672444800,86400,2,174.7,175.43,166.03,175.5538,174.7,175.43,166.03,175.5538,0.0,0.806362,190.65169,75.75,2339993,2339993,994861,1482390,1482390,169.23,169.7,1100,800,11847244800,166.03,335.91,8.086305,232.9156,282.97424,0.0,0.0,USD,12935449600,0.042930003,69478995,69821104,3328620,2762175,1690761600,1693440000,0.0477,0.00417,1.06401,2.44,0.0563,7.935,21.383741,1672444800,1703980800,1688083200,62900000,0.89,2.24,3.5,8.829,91.288,NMS,EQUITY,PODD,PODD,Insulet Corporation,Insulet Corporation,1179235800,America/New_York,EDT,-14400000,169.68,360.0,208.0,286.0,297.0,2.1,buy,16,660099968,9.454,141700000,1397799936,2.143,3.345,1465100032,252.356,21.064,0.020639999,0.12885,805600000,-59800000,151900000,0.324,0.61579,0.09672,0.05071,USD,0.5528
5,100 Nagog Park,Acton,MA,01720,United States,978 600 7000,978 600 0120,https://www.insulet.com,Medical Devices,Healthcare,"Insulet Corporation develops, manufactures, and sells insulin delivery systems for people with insulin-dependent diabetes. It offers Omnipod System, a self-adhesive disposable tubeless Omnipod device that is worn on the body for up to three days at a time, as well as its wireless companion, the handheld personal diabetes manager. The company sells its products primarily through independent distributors and pharmacy channels, as well as directly in the United States, Canada, Europe, the Middle East, and Australia. Insulet Corporation was incorporated in 2000 and is headquartered in Acton, Massachusetts.",2600,"{'maxAge': 1, 'name': 'Ms. Lauren  Budden', 'title': 'VP, Chief Accounting Officer & Controller', 'exercisedValue': 0, 'unexercisedValue': 0}",6,5,8,10,9,1693526400,1672444800,86400,2,174.7,175.43,166.03,175.5538,174.7,175.43,166.03,175.5538,0.0,0.806362,190.65169,75.75,2339993,2339993,994861,1482390,1482390,169.23,169.7,1100,800,11847244800,166.03,335.91,8.086305,232.9156,282.97424,0.0,0.0,USD,12935449600,0.042930003,69478995,69821104,3328620,2762175,1690761600,1693440000,0.0477,0.00417,1.06401,2.44,0.0563,7.935,21.383741,1672444800,1703980800,1688083200,62900000,0.89,2.24,3.5,8.829,91.288,NMS,EQUITY,PODD,PODD,Insulet Corporation,Insulet Corporation,1179235800,America/New_York,EDT,-14400000,169.68,360.0,208.0,286.0,297.0,2.1,buy,16,660099968,9.454,141700000,1397799936,2.143,3.345,1465100032,252.356,21.064,0.020639999,0.12885,805600000,-59800000,151900000,0.324,0.61579,0.09672,0.05071,USD,0.5528
6,100 Nagog Park,Acton,MA,01720,United States,978 600 7000,978 600 0120,https://www.insulet.com,Medical Devices,Healthcare,"Insulet Corporation develops, manufactures, and sells insulin delivery systems for people with insulin-dependent diabetes. It offers Omnipod System, a self-adhesive disposable tubeless Omnipod device that is worn on the body for up to three days at a time, as well as its wireless companion, the handheld personal diabetes manager. The company sells its products primarily through independent distributors and pharmacy channels, as well as directly in the United States, Canada, Europe, the Middle East, and Australia. Insulet Corporation was incorporated in 2000 and is headquartered in Acton, Massachusetts.",2600,"{'maxAge': 1, 'name': 'Mr. Mark  Field', 'title': 'Sr. VP & CTO', 'exercisedValue': 0, 'unexercisedValue': 0}",6,5,8,10,9,1693526400,1672444800,86400,2,174.7,175.43,166.03,175.5538,174.7,175.43,166.03,175.5538,0.0,0.806362,190.65169,75.75,2339993,2339993,994861,1482390,1482390,169.23,169.7,1100,800,11847244800,166.03,335.91,8.086305,232.9156,282.97424,0.0,0.0,USD,12935449600,0.042930003,69478995,69821104,3328620,2762175,1690761600,1693440000,0.0477,0.00417,1.06401,2.44,0.0563,7.935,21.383741,1672444800,1703980800,1688083200,62900000,0.89,2.24,3.5,8.829,91.288,NMS,EQUITY,PODD,PODD,Insulet Corporation,Insulet Corporation,1179235800,America/New_York,EDT,-14400000,169.68,360.0,208.0,286.0,297.0,2.1,buy,16,660099968,9.454,141700000,1397799936,2.143,3.345,1465100032,252.356,21.064,0.020639999,0.12885,805600000,-59800000,151900000,0.324,0.61579,0.09672,0.05071,USD,0.5528
7,100 Nagog Park,Acton,MA,01720,United States,978 600 7000,978 600 0120,https://www.insulet.com,Medical Devices,Healthcare,"Insulet Corporation develops, manufactures, and sells insulin delivery systems for people with insulin-dependent diabetes. It offers Omnipod System, a self-adhesive disposable tubeless Omnipod device that is worn on the body for up to three days at a time, as well as its wireless companion, the handheld personal diabetes manager. The company sells its products primarily through independent distributors and pharmacy channels, as well as directly in the United States, Canada, Europe, the Middle East, and Australia. Insulet Corporation was incorporated in 2000 and is headquartered in Acton, Massachusetts.",2600,"{'maxAge': 1, 'name': 'Ms. Deborah R. Gordon CPA', 'age': 52, 'title': 'VP of Investor Relations', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}",6,5,8,10,9,1693526400,1672444800,86400,2,174.7,175.43,166.03,175.5538,174.7,175.43,166.03,175.5538,0.0,0.806362,190.65169,75.75,2339993,2339993,994861,1482390,1482390,169.23,169.7,1100,800,11847244800,166.03,335.91,8.086305,232.9156,282.97424,0.0,0.0,USD,12935449600,0.042930003,69478995,69821104,3328620,2762175,1690761600,1693440000,0.0477,0.00417,1.06401,2.44,0.0563,7.935,21.383741,1672444800,1703980800,1688083200,62900000,0.89,2.24,3.5,8.829,91.288,NMS,EQUITY,PODD,PODD,Insulet Corporation,Insulet Corporation,1179235800,America/New_York,EDT,-14400000,169.68,360.0,208.0,286.0,297.0,2.1,buy,16,660099968,9.454,141700000,1397799936,2.143,3.345,1465100032,252.356,21.064,0.020639999,0.12885,805600000,-59800000,151900000,0.324,0.61579,0.09672,0.05071,USD,0.5528
8,100 Nagog Park,Acton,MA,01720,United States,978 600 7000,978 600 0120,https://www.insulet.com,Medical Devices,Healthcare,"Insulet Corporation develops, manufactures, and sells insulin delivery systems for people with insulin-dependent diabetes. It offers Omnipod System, a self-adhesive disposable tubeless Omnipod device that is worn on the body for up to three days at a time, as well as its wireless companion, the handheld personal diabetes manager. The company sells its products primarily through independent distributors and pharmacy channels, as well as directly in the United States, Canada, Europe, the Middle East, and Australia. Insulet Corporation was incorporated in 2000 and is headquartered in Acton, Massachusetts.",2600,"{'maxAge': 1, 'name': 'Mr. John Wodick Kapples', 'age': 62, 'title': 'Sr. VP & Gen. Counsel', 'yearBorn': 1960, 'fiscalYear': 2021, 'exercisedValue': 0, 'unexercisedValue': 0}",6,5,8,10,9,1693526400,1672444800,86400,2,174.7,175.43,166.03,175.5538,174.7,175.43,166.03,175.5538,0.0,0.806362,190.65169,75.75,2339993,2339993,994861,1482390,1482390,169.23,169.7,1100,800,11847244800,166.03,335.91,8.086305,232.9156,282.97424,0.0,0.0,USD,12935449600,0.042930003,69478995,69821104,3328620,2762175,1690761600,1693440000,0.0477,0.00417,1.06401,2.44,0.0563,7.935,21.383741,1672444800,1703980800,1688083200,62900000,0.89,2.24,3.5,8.829,91.288,NMS,EQUITY,PODD,PODD,Insulet Corporation,Insulet Corporation,1179235800,America/New_York,EDT,-14400000,169.68,360.0,208.0,286.0,297.0,2.1,buy,16,660099968,9.454,141700000,1397799936,2.143,3.345,1465100032,252.356,21.064,0.020639999,0.12885,805600000,-59800000,151900000,0.324,0.61579,0.09672,0.05071,USD,0.5528
9,100 Nagog Park,Acton,MA,01720,United States,978 600 7000,978 600 0120,https://www.insulet.com,Medical Devices,Healthcare,"Insulet Corporation develops, manufactures, and sells insulin delivery systems for people with insulin-dependent diabetes. It offers Omnipod System, a self-adhesive disposable tubeless Omnipod device that is worn on the body for up to three days at a time, as well as its wireless companion, the handheld personal diabetes manager. The company sells its products primarily through independent distributors and pharmacy channels, as well as directly in the United States, Canada, Europe, the Middle East, and Australia. Insulet Corporation was incorporated in 2000 and is headquartered in Acton, Massachusetts.",2600,"{'maxAge': 1, 'name': 'Ms. Laetitia  Cousin', 'age': 46, 'title': 'Sr. VP of Regulatory Affairs, Quality Assurance & Compliance', 'yearBorn': 1976, 'exercisedValue': 0, 'unexercisedValue': 0}",6,5,8,10,9,1693526400,1672444800,86400,2,174.7,175.43,166.03,175.5538,174.7,175.43,166.03,175.5538,0.0,0.806362,190.65169,75.75,2339993,2339993,994861,1482390,1482390,169.23,169.7,1100,800,11847244800,166.03,335.91,8.086305,232.9156,282.97424,0.0,0.0,USD,12935449600,0.042930003,69478995,69821104,3328620,2762175,1690761600,1693440000,0.0477,0.00417,1.06401,2.44,0.0563,7.935,21.383741,1672444800,1703980800,1688083200,62900000,0.89,2.24,3.5,8.829,91.288,NMS,EQUITY,PODD,PODD,Insulet Corporation,Insulet Corporation,1179235800,America/New_York,EDT,-14400000,169.68,360.0,208.0,286.0,297.0,2.1,buy,16,660099968,9.454,141700000,1397799936,2.143,3.345,1465100032,252.356,21.064,0.020639999,0.12885,805600000,-59800000,151900000,0.324,0.61579,0.09672,0.05071,USD,0.5528
