,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,fiveYearAvgDividendYield,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,3310 West End Avenue,Fourth Floor Suite 700,Nashville,TN,37203,United States,615 269 8175,615 269 8461,https://www.healthcarerealty.com,REIT—Healthcare Facilities,Real Estate,"Healthcare Realty Trust is a real estate investment trust that integrates owning, managing, financing and developing income-producing real estate properties associated primarily with the delivery of outpatient healthcare services throughout the United States. As of June 30, 2023, the Company was invested in over 700 real estate properties totaling more than 40 million square feet and provided leasing and property management services to over 35 million square feet nationwide.",583,"{'maxAge': 1, 'name': 'Mr. Todd J. Meredith', 'age': 47, 'title': 'Pres, CEO & Director', 'yearBorn': 1975, 'fiscalYear': 2022, 'totalPay': 2273035, 'exercisedValue': 0, 'unexercisedValue': 0}",6,2,2,1,2,1693526400,1672444800,86400,2,16.84,16.71,16.4,16.74,16.84,16.71,16.4,16.74,1.24,0.0736,1691971200,4.18,0.670124,-52.09375,4436962,4436962,2461680,2811840,2811840,16.35,17.2,1200,1200,6348902400,16.21,23.7,4.8327885,18.1142,19.28215,1.24,0.07363421,USD,12177869824,-0.13498999,378568578,380857984,11901221,12313828,1690761600,1693440000,0.0312,0.0060900003,1.06911,4.46,0.052399997,18.851,0.8843032,1672444800,1703980800,1688083200,-179767008,-0.62,-0.32,9.27,14.851,NYQ,EQUITY,HR,HR,Healthcare Realty Trust Incorpo,Healthcare Realty Trust Incorporated,738509400,America/New_York,EDT,-14400000,16.67,24.0,17.0,20.57,20.0,2.5,buy,7,35904000,0.094,819985024,5693627904,0.174,0.175,1313714048,78.146,3.578,0.0044299997,-0.03793,584158000,557434624,412948000,1.33,0.63574004,0.62417,0.0484,USD,
1,3310 West End Avenue,Fourth Floor Suite 700,Nashville,TN,37203,United States,615 269 8175,615 269 8461,https://www.healthcarerealty.com,REIT—Healthcare Facilities,Real Estate,"Healthcare Realty Trust is a real estate investment trust that integrates owning, managing, financing and developing income-producing real estate properties associated primarily with the delivery of outpatient healthcare services throughout the United States. As of June 30, 2023, the Company was invested in over 700 real estate properties totaling more than 40 million square feet and provided leasing and property management services to over 35 million square feet nationwide.",583,"{'maxAge': 1, 'name': 'Mr. James Christopher Douglas', 'age': 46, 'title': 'Exec. VP & CFO', 'yearBorn': 1976, 'fiscalYear': 2022, 'totalPay': 1203371, 'exercisedValue': 0, 'unexercisedValue': 0}",6,2,2,1,2,1693526400,1672444800,86400,2,16.84,16.71,16.4,16.74,16.84,16.71,16.4,16.74,1.24,0.0736,1691971200,4.18,0.670124,-52.09375,4436962,4436962,2461680,2811840,2811840,16.35,17.2,1200,1200,6348902400,16.21,23.7,4.8327885,18.1142,19.28215,1.24,0.07363421,USD,12177869824,-0.13498999,378568578,380857984,11901221,12313828,1690761600,1693440000,0.0312,0.0060900003,1.06911,4.46,0.052399997,18.851,0.8843032,1672444800,1703980800,1688083200,-179767008,-0.62,-0.32,9.27,14.851,NYQ,EQUITY,HR,HR,Healthcare Realty Trust Incorpo,Healthcare Realty Trust Incorporated,738509400,America/New_York,EDT,-14400000,16.67,24.0,17.0,20.57,20.0,2.5,buy,7,35904000,0.094,819985024,5693627904,0.174,0.175,1313714048,78.146,3.578,0.0044299997,-0.03793,584158000,557434624,412948000,1.33,0.63574004,0.62417,0.0484,USD,
2,3310 West End Avenue,Fourth Floor Suite 700,Nashville,TN,37203,United States,615 269 8175,615 269 8461,https://www.healthcarerealty.com,REIT—Healthcare Facilities,Real Estate,"Healthcare Realty Trust is a real estate investment trust that integrates owning, managing, financing and developing income-producing real estate properties associated primarily with the delivery of outpatient healthcare services throughout the United States. As of June 30, 2023, the Company was invested in over 700 real estate properties totaling more than 40 million square feet and provided leasing and property management services to over 35 million square feet nationwide.",583,"{'maxAge': 1, 'name': 'Ms. Julie F. Wilson', 'age': 49, 'title': 'Exec. VP of Operations', 'yearBorn': 1973, 'fiscalYear': 2022, 'totalPay': 1128034, 'exercisedValue': 0, 'unexercisedValue': 0}",6,2,2,1,2,1693526400,1672444800,86400,2,16.84,16.71,16.4,16.74,16.84,16.71,16.4,16.74,1.24,0.0736,1691971200,4.18,0.670124,-52.09375,4436962,4436962,2461680,2811840,2811840,16.35,17.2,1200,1200,6348902400,16.21,23.7,4.8327885,18.1142,19.28215,1.24,0.07363421,USD,12177869824,-0.13498999,378568578,380857984,11901221,12313828,1690761600,1693440000,0.0312,0.0060900003,1.06911,4.46,0.052399997,18.851,0.8843032,1672444800,1703980800,1688083200,-179767008,-0.62,-0.32,9.27,14.851,NYQ,EQUITY,HR,HR,Healthcare Realty Trust Incorpo,Healthcare Realty Trust Incorporated,738509400,America/New_York,EDT,-14400000,16.67,24.0,17.0,20.57,20.0,2.5,buy,7,35904000,0.094,819985024,5693627904,0.174,0.175,1313714048,78.146,3.578,0.0044299997,-0.03793,584158000,557434624,412948000,1.33,0.63574004,0.62417,0.0484,USD,
3,3310 West End Avenue,Fourth Floor Suite 700,Nashville,TN,37203,United States,615 269 8175,615 269 8461,https://www.healthcarerealty.com,REIT—Healthcare Facilities,Real Estate,"Healthcare Realty Trust is a real estate investment trust that integrates owning, managing, financing and developing income-producing real estate properties associated primarily with the delivery of outpatient healthcare services throughout the United States. As of June 30, 2023, the Company was invested in over 700 real estate properties totaling more than 40 million square feet and provided leasing and property management services to over 35 million square feet nationwide.",583,"{'maxAge': 1, 'name': 'Mr. Robert E. Hull', 'age': 50, 'title': 'Exec. VP of Investments', 'yearBorn': 1972, 'fiscalYear': 2022, 'totalPay': 1265987, 'exercisedValue': 0, 'unexercisedValue': 0}",6,2,2,1,2,1693526400,1672444800,86400,2,16.84,16.71,16.4,16.74,16.84,16.71,16.4,16.74,1.24,0.0736,1691971200,4.18,0.670124,-52.09375,4436962,4436962,2461680,2811840,2811840,16.35,17.2,1200,1200,6348902400,16.21,23.7,4.8327885,18.1142,19.28215,1.24,0.07363421,USD,12177869824,-0.13498999,378568578,380857984,11901221,12313828,1690761600,1693440000,0.0312,0.0060900003,1.06911,4.46,0.052399997,18.851,0.8843032,1672444800,1703980800,1688083200,-179767008,-0.62,-0.32,9.27,14.851,NYQ,EQUITY,HR,HR,Healthcare Realty Trust Incorpo,Healthcare Realty Trust Incorporated,738509400,America/New_York,EDT,-14400000,16.67,24.0,17.0,20.57,20.0,2.5,buy,7,35904000,0.094,819985024,5693627904,0.174,0.175,1313714048,78.146,3.578,0.0044299997,-0.03793,584158000,557434624,412948000,1.33,0.63574004,0.62417,0.0484,USD,
4,3310 West End Avenue,Fourth Floor Suite 700,Nashville,TN,37203,United States,615 269 8175,615 269 8461,https://www.healthcarerealty.com,REIT—Healthcare Facilities,Real Estate,"Healthcare Realty Trust is a real estate investment trust that integrates owning, managing, financing and developing income-producing real estate properties associated primarily with the delivery of outpatient healthcare services throughout the United States. As of June 30, 2023, the Company was invested in over 700 real estate properties totaling more than 40 million square feet and provided leasing and property management services to over 35 million square feet nationwide.",583,"{'maxAge': 1, 'name': 'Mr. John M. Bryant Jr.', 'age': 55, 'title': 'Exec. VP & Gen. Counsel', 'yearBorn': 1967, 'fiscalYear': 2022, 'totalPay': 1128034, 'exercisedValue': 0, 'unexercisedValue': 0}",6,2,2,1,2,1693526400,1672444800,86400,2,16.84,16.71,16.4,16.74,16.84,16.71,16.4,16.74,1.24,0.0736,1691971200,4.18,0.670124,-52.09375,4436962,4436962,2461680,2811840,2811840,16.35,17.2,1200,1200,6348902400,16.21,23.7,4.8327885,18.1142,19.28215,1.24,0.07363421,USD,12177869824,-0.13498999,378568578,380857984,11901221,12313828,1690761600,1693440000,0.0312,0.0060900003,1.06911,4.46,0.052399997,18.851,0.8843032,1672444800,1703980800,1688083200,-179767008,-0.62,-0.32,9.27,14.851,NYQ,EQUITY,HR,HR,Healthcare Realty Trust Incorpo,Healthcare Realty Trust Incorporated,738509400,America/New_York,EDT,-14400000,16.67,24.0,17.0,20.57,20.0,2.5,buy,7,35904000,0.094,819985024,5693627904,0.174,0.175,1313714048,78.146,3.578,0.0044299997,-0.03793,584158000,557434624,412948000,1.33,0.63574004,0.62417,0.0484,USD,
5,3310 West End Avenue,Fourth Floor Suite 700,Nashville,TN,37203,United States,615 269 8175,615 269 8461,https://www.healthcarerealty.com,REIT—Healthcare Facilities,Real Estate,"Healthcare Realty Trust is a real estate investment trust that integrates owning, managing, financing and developing income-producing real estate properties associated primarily with the delivery of outpatient healthcare services throughout the United States. As of June 30, 2023, the Company was invested in over 700 real estate properties totaling more than 40 million square feet and provided leasing and property management services to over 35 million square feet nationwide.",583,"{'maxAge': 1, 'name': 'Ms. Amanda L. Callaway', 'age': 43, 'title': 'Sr. VP & Chief Accounting Officer', 'yearBorn': 1979, 'exercisedValue': 0, 'unexercisedValue': 0}",6,2,2,1,2,1693526400,1672444800,86400,2,16.84,16.71,16.4,16.74,16.84,16.71,16.4,16.74,1.24,0.0736,1691971200,4.18,0.670124,-52.09375,4436962,4436962,2461680,2811840,2811840,16.35,17.2,1200,1200,6348902400,16.21,23.7,4.8327885,18.1142,19.28215,1.24,0.07363421,USD,12177869824,-0.13498999,378568578,380857984,11901221,12313828,1690761600,1693440000,0.0312,0.0060900003,1.06911,4.46,0.052399997,18.851,0.8843032,1672444800,1703980800,1688083200,-179767008,-0.62,-0.32,9.27,14.851,NYQ,EQUITY,HR,HR,Healthcare Realty Trust Incorpo,Healthcare Realty Trust Incorporated,738509400,America/New_York,EDT,-14400000,16.67,24.0,17.0,20.57,20.0,2.5,buy,7,35904000,0.094,819985024,5693627904,0.174,0.175,1313714048,78.146,3.578,0.0044299997,-0.03793,584158000,557434624,412948000,1.33,0.63574004,0.62417,0.0484,USD,
6,3310 West End Avenue,Fourth Floor Suite 700,Nashville,TN,37203,United States,615 269 8175,615 269 8461,https://www.healthcarerealty.com,REIT—Healthcare Facilities,Real Estate,"Healthcare Realty Trust is a real estate investment trust that integrates owning, managing, financing and developing income-producing real estate properties associated primarily with the delivery of outpatient healthcare services throughout the United States. As of June 30, 2023, the Company was invested in over 700 real estate properties totaling more than 40 million square feet and provided leasing and property management services to over 35 million square feet nationwide.",583,"{'maxAge': 1, 'name': 'Andy  Baxter', 'title': 'Associate VP & CTO', 'exercisedValue': 0, 'unexercisedValue': 0}",6,2,2,1,2,1693526400,1672444800,86400,2,16.84,16.71,16.4,16.74,16.84,16.71,16.4,16.74,1.24,0.0736,1691971200,4.18,0.670124,-52.09375,4436962,4436962,2461680,2811840,2811840,16.35,17.2,1200,1200,6348902400,16.21,23.7,4.8327885,18.1142,19.28215,1.24,0.07363421,USD,12177869824,-0.13498999,378568578,380857984,11901221,12313828,1690761600,1693440000,0.0312,0.0060900003,1.06911,4.46,0.052399997,18.851,0.8843032,1672444800,1703980800,1688083200,-179767008,-0.62,-0.32,9.27,14.851,NYQ,EQUITY,HR,HR,Healthcare Realty Trust Incorpo,Healthcare Realty Trust Incorporated,738509400,America/New_York,EDT,-14400000,16.67,24.0,17.0,20.57,20.0,2.5,buy,7,35904000,0.094,819985024,5693627904,0.174,0.175,1313714048,78.146,3.578,0.0044299997,-0.03793,584158000,557434624,412948000,1.33,0.63574004,0.62417,0.0484,USD,
7,3310 West End Avenue,Fourth Floor Suite 700,Nashville,TN,37203,United States,615 269 8175,615 269 8461,https://www.healthcarerealty.com,REIT—Healthcare Facilities,Real Estate,"Healthcare Realty Trust is a real estate investment trust that integrates owning, managing, financing and developing income-producing real estate properties associated primarily with the delivery of outpatient healthcare services throughout the United States. As of June 30, 2023, the Company was invested in over 700 real estate properties totaling more than 40 million square feet and provided leasing and property management services to over 35 million square feet nationwide.",583,"{'maxAge': 1, 'name': 'Mr. Ronald M. Hubbard', 'title': 'VP of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",6,2,2,1,2,1693526400,1672444800,86400,2,16.84,16.71,16.4,16.74,16.84,16.71,16.4,16.74,1.24,0.0736,1691971200,4.18,0.670124,-52.09375,4436962,4436962,2461680,2811840,2811840,16.35,17.2,1200,1200,6348902400,16.21,23.7,4.8327885,18.1142,19.28215,1.24,0.07363421,USD,12177869824,-0.13498999,378568578,380857984,11901221,12313828,1690761600,1693440000,0.0312,0.0060900003,1.06911,4.46,0.052399997,18.851,0.8843032,1672444800,1703980800,1688083200,-179767008,-0.62,-0.32,9.27,14.851,NYQ,EQUITY,HR,HR,Healthcare Realty Trust Incorpo,Healthcare Realty Trust Incorporated,738509400,America/New_York,EDT,-14400000,16.67,24.0,17.0,20.57,20.0,2.5,buy,7,35904000,0.094,819985024,5693627904,0.174,0.175,1313714048,78.146,3.578,0.0044299997,-0.03793,584158000,557434624,412948000,1.33,0.63574004,0.62417,0.0484,USD,
8,3310 West End Avenue,Fourth Floor Suite 700,Nashville,TN,37203,United States,615 269 8175,615 269 8461,https://www.healthcarerealty.com,REIT—Healthcare Facilities,Real Estate,"Healthcare Realty Trust is a real estate investment trust that integrates owning, managing, financing and developing income-producing real estate properties associated primarily with the delivery of outpatient healthcare services throughout the United States. As of June 30, 2023, the Company was invested in over 700 real estate properties totaling more than 40 million square feet and provided leasing and property management services to over 35 million square feet nationwide.",583,"{'maxAge': 1, 'name': 'Ms. Bethany A. Mancini', 'title': 'Associate VP of Corp. Communications', 'exercisedValue': 0, 'unexercisedValue': 0}",6,2,2,1,2,1693526400,1672444800,86400,2,16.84,16.71,16.4,16.74,16.84,16.71,16.4,16.74,1.24,0.0736,1691971200,4.18,0.670124,-52.09375,4436962,4436962,2461680,2811840,2811840,16.35,17.2,1200,1200,6348902400,16.21,23.7,4.8327885,18.1142,19.28215,1.24,0.07363421,USD,12177869824,-0.13498999,378568578,380857984,11901221,12313828,1690761600,1693440000,0.0312,0.0060900003,1.06911,4.46,0.052399997,18.851,0.8843032,1672444800,1703980800,1688083200,-179767008,-0.62,-0.32,9.27,14.851,NYQ,EQUITY,HR,HR,Healthcare Realty Trust Incorpo,Healthcare Realty Trust Incorporated,738509400,America/New_York,EDT,-14400000,16.67,24.0,17.0,20.57,20.0,2.5,buy,7,35904000,0.094,819985024,5693627904,0.174,0.175,1313714048,78.146,3.578,0.0044299997,-0.03793,584158000,557434624,412948000,1.33,0.63574004,0.62417,0.0484,USD,
9,3310 West End Avenue,Fourth Floor Suite 700,Nashville,TN,37203,United States,615 269 8175,615 269 8461,https://www.healthcarerealty.com,REIT—Healthcare Facilities,Real Estate,"Healthcare Realty Trust is a real estate investment trust that integrates owning, managing, financing and developing income-producing real estate properties associated primarily with the delivery of outpatient healthcare services throughout the United States. As of June 30, 2023, the Company was invested in over 700 real estate properties totaling more than 40 million square feet and provided leasing and property management services to over 35 million square feet nationwide.",583,"{'maxAge': 1, 'name': 'Ms. Revell M. Michael', 'title': 'VP of Marketing', 'exercisedValue': 0, 'unexercisedValue': 0}",6,2,2,1,2,1693526400,1672444800,86400,2,16.84,16.71,16.4,16.74,16.84,16.71,16.4,16.74,1.24,0.0736,1691971200,4.18,0.670124,-52.09375,4436962,4436962,2461680,2811840,2811840,16.35,17.2,1200,1200,6348902400,16.21,23.7,4.8327885,18.1142,19.28215,1.24,0.07363421,USD,12177869824,-0.13498999,378568578,380857984,11901221,12313828,1690761600,1693440000,0.0312,0.0060900003,1.06911,4.46,0.052399997,18.851,0.8843032,1672444800,1703980800,1688083200,-179767008,-0.62,-0.32,9.27,14.851,NYQ,EQUITY,HR,HR,Healthcare Realty Trust Incorpo,Healthcare Realty Trust Incorporated,738509400,America/New_York,EDT,-14400000,16.67,24.0,17.0,20.57,20.0,2.5,buy,7,35904000,0.094,819985024,5693627904,0.174,0.175,1313714048,78.146,3.578,0.0044299997,-0.03793,584158000,557434624,412948000,1.33,0.63574004,0.62417,0.0484,USD,
