,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,"2170 Piedmont Road, NE",Atlanta,GA,30324,United States,404 888 2000,https://www.rollins.com,Personal Services,Consumer Cyclical,"Rollins, Inc., through its subsidiaries, provides pest and wildlife control services to residential and commercial customers in the United States and internationally. The company offers pest control services to residential properties protecting from common pests, including rodents, insects, and wildlife. It also provides workplace pest control solutions for customers across various end markets, such as healthcare, foodservice, and logistics. In addition, the company offers termite protection services and ancillary services. It serves clients directly, as well as through franchisee operations. Rollins, Inc. was incorporated in 1948 and is headquartered in Atlanta, Georgia.",17515,"{'maxAge': 1, 'name': 'Mr. Gary W. Rollins', 'age': 77, 'title': 'Exec. Chairman', 'yearBorn': 1945, 'fiscalYear': 2022, 'totalPay': 4196204, 'exercisedValue': 0, 'unexercisedValue': 0}",2,10,9,10,9,1693526400,1672444800,86400,2,35.0,34.8,34.6,34.8,35.0,34.8,34.6,34.8,0.49,0.0139999995,1691539200,0.6203,0.99,0.659405,46.756756,46.13333,5,5,3,0,0,34.6,35.0,30000,30000,16858952704,32.2,43.2,5.874488,37.172,35.908,0.49,0.014,EUR,17520678912,0.13645001,298077709,484096992,0.50866,0.44299,2.724,12.701908,1672444800,1703980800,1688083200,0.084,391590016,0.74,0.75,7.0,3:2,1607644800,6.105,27.902,FRA,EQUITY,RLS.F,RLS.F,ROLLINS INC.  DL 1,"Rollins, Inc.",1343282400,Europe/Berlin,CEST,7200000,34.6,42.0,33.0,38.33,40.0,2.5,buy,3,155547008,0.316,627932032,624627968,0.642,0.806,2869859072,46.537,5.828,0.13987,0.31481,1387424000,458718112,499299008,0.066,0.149,0.5166,0.2188,0.18586001,USD,2.6484
1,"2170 Piedmont Road, NE",Atlanta,GA,30324,United States,404 888 2000,https://www.rollins.com,Personal Services,Consumer Cyclical,"Rollins, Inc., through its subsidiaries, provides pest and wildlife control services to residential and commercial customers in the United States and internationally. The company offers pest control services to residential properties protecting from common pests, including rodents, insects, and wildlife. It also provides workplace pest control solutions for customers across various end markets, such as healthcare, foodservice, and logistics. In addition, the company offers termite protection services and ancillary services. It serves clients directly, as well as through franchisee operations. Rollins, Inc. was incorporated in 1948 and is headquartered in Atlanta, Georgia.",17515,"{'maxAge': 1, 'name': 'Mr. Jerry E. Gahlhoff Jr.', 'age': 49, 'title': 'Principal Exec. Officer, Pres, CEO & Director', 'yearBorn': 1973, 'fiscalYear': 2022, 'totalPay': 1491836, 'exercisedValue': 0, 'unexercisedValue': 0}",2,10,9,10,9,1693526400,1672444800,86400,2,35.0,34.8,34.6,34.8,35.0,34.8,34.6,34.8,0.49,0.0139999995,1691539200,0.6203,0.99,0.659405,46.756756,46.13333,5,5,3,0,0,34.6,35.0,30000,30000,16858952704,32.2,43.2,5.874488,37.172,35.908,0.49,0.014,EUR,17520678912,0.13645001,298077709,484096992,0.50866,0.44299,2.724,12.701908,1672444800,1703980800,1688083200,0.084,391590016,0.74,0.75,7.0,3:2,1607644800,6.105,27.902,FRA,EQUITY,RLS.F,RLS.F,ROLLINS INC.  DL 1,"Rollins, Inc.",1343282400,Europe/Berlin,CEST,7200000,34.6,42.0,33.0,38.33,40.0,2.5,buy,3,155547008,0.316,627932032,624627968,0.642,0.806,2869859072,46.537,5.828,0.13987,0.31481,1387424000,458718112,499299008,0.066,0.149,0.5166,0.2188,0.18586001,USD,2.6484
2,"2170 Piedmont Road, NE",Atlanta,GA,30324,United States,404 888 2000,https://www.rollins.com,Personal Services,Consumer Cyclical,"Rollins, Inc., through its subsidiaries, provides pest and wildlife control services to residential and commercial customers in the United States and internationally. The company offers pest control services to residential properties protecting from common pests, including rodents, insects, and wildlife. It also provides workplace pest control solutions for customers across various end markets, such as healthcare, foodservice, and logistics. In addition, the company offers termite protection services and ancillary services. It serves clients directly, as well as through franchisee operations. Rollins, Inc. was incorporated in 1948 and is headquartered in Atlanta, Georgia.",17515,"{'maxAge': 1, 'name': 'Mr. John F. Wilson', 'age': 64, 'title': 'Vice Chairman & Assistant to the Chairman', 'yearBorn': 1958, 'fiscalYear': 2022, 'totalPay': 2255703, 'exercisedValue': 0, 'unexercisedValue': 0}",2,10,9,10,9,1693526400,1672444800,86400,2,35.0,34.8,34.6,34.8,35.0,34.8,34.6,34.8,0.49,0.0139999995,1691539200,0.6203,0.99,0.659405,46.756756,46.13333,5,5,3,0,0,34.6,35.0,30000,30000,16858952704,32.2,43.2,5.874488,37.172,35.908,0.49,0.014,EUR,17520678912,0.13645001,298077709,484096992,0.50866,0.44299,2.724,12.701908,1672444800,1703980800,1688083200,0.084,391590016,0.74,0.75,7.0,3:2,1607644800,6.105,27.902,FRA,EQUITY,RLS.F,RLS.F,ROLLINS INC.  DL 1,"Rollins, Inc.",1343282400,Europe/Berlin,CEST,7200000,34.6,42.0,33.0,38.33,40.0,2.5,buy,3,155547008,0.316,627932032,624627968,0.642,0.806,2869859072,46.537,5.828,0.13987,0.31481,1387424000,458718112,499299008,0.066,0.149,0.5166,0.2188,0.18586001,USD,2.6484
3,"2170 Piedmont Road, NE",Atlanta,GA,30324,United States,404 888 2000,https://www.rollins.com,Personal Services,Consumer Cyclical,"Rollins, Inc., through its subsidiaries, provides pest and wildlife control services to residential and commercial customers in the United States and internationally. The company offers pest control services to residential properties protecting from common pests, including rodents, insects, and wildlife. It also provides workplace pest control solutions for customers across various end markets, such as healthcare, foodservice, and logistics. In addition, the company offers termite protection services and ancillary services. It serves clients directly, as well as through franchisee operations. Rollins, Inc. was incorporated in 1948 and is headquartered in Atlanta, Georgia.",17515,"{'maxAge': 1, 'name': 'Mr. Kenneth D. Krause', 'age': 46, 'title': 'Exec. VP, CFO & Treasurer', 'yearBorn': 1976, 'fiscalYear': 2022, 'totalPay': 1961260, 'exercisedValue': 0, 'unexercisedValue': 0}",2,10,9,10,9,1693526400,1672444800,86400,2,35.0,34.8,34.6,34.8,35.0,34.8,34.6,34.8,0.49,0.0139999995,1691539200,0.6203,0.99,0.659405,46.756756,46.13333,5,5,3,0,0,34.6,35.0,30000,30000,16858952704,32.2,43.2,5.874488,37.172,35.908,0.49,0.014,EUR,17520678912,0.13645001,298077709,484096992,0.50866,0.44299,2.724,12.701908,1672444800,1703980800,1688083200,0.084,391590016,0.74,0.75,7.0,3:2,1607644800,6.105,27.902,FRA,EQUITY,RLS.F,RLS.F,ROLLINS INC.  DL 1,"Rollins, Inc.",1343282400,Europe/Berlin,CEST,7200000,34.6,42.0,33.0,38.33,40.0,2.5,buy,3,155547008,0.316,627932032,624627968,0.642,0.806,2869859072,46.537,5.828,0.13987,0.31481,1387424000,458718112,499299008,0.066,0.149,0.5166,0.2188,0.18586001,USD,2.6484
4,"2170 Piedmont Road, NE",Atlanta,GA,30324,United States,404 888 2000,https://www.rollins.com,Personal Services,Consumer Cyclical,"Rollins, Inc., through its subsidiaries, provides pest and wildlife control services to residential and commercial customers in the United States and internationally. The company offers pest control services to residential properties protecting from common pests, including rodents, insects, and wildlife. It also provides workplace pest control solutions for customers across various end markets, such as healthcare, foodservice, and logistics. In addition, the company offers termite protection services and ancillary services. It serves clients directly, as well as through franchisee operations. Rollins, Inc. was incorporated in 1948 and is headquartered in Atlanta, Georgia.",17515,"{'maxAge': 1, 'name': 'Ms. Julie K. Bimmerman', 'age': 54, 'title': 'VP of Fin. & Investor Relations', 'yearBorn': 1968, 'fiscalYear': 2022, 'totalPay': 388157, 'exercisedValue': 0, 'unexercisedValue': 0}",2,10,9,10,9,1693526400,1672444800,86400,2,35.0,34.8,34.6,34.8,35.0,34.8,34.6,34.8,0.49,0.0139999995,1691539200,0.6203,0.99,0.659405,46.756756,46.13333,5,5,3,0,0,34.6,35.0,30000,30000,16858952704,32.2,43.2,5.874488,37.172,35.908,0.49,0.014,EUR,17520678912,0.13645001,298077709,484096992,0.50866,0.44299,2.724,12.701908,1672444800,1703980800,1688083200,0.084,391590016,0.74,0.75,7.0,3:2,1607644800,6.105,27.902,FRA,EQUITY,RLS.F,RLS.F,ROLLINS INC.  DL 1,"Rollins, Inc.",1343282400,Europe/Berlin,CEST,7200000,34.6,42.0,33.0,38.33,40.0,2.5,buy,3,155547008,0.316,627932032,624627968,0.642,0.806,2869859072,46.537,5.828,0.13987,0.31481,1387424000,458718112,499299008,0.066,0.149,0.5166,0.2188,0.18586001,USD,2.6484
5,"2170 Piedmont Road, NE",Atlanta,GA,30324,United States,404 888 2000,https://www.rollins.com,Personal Services,Consumer Cyclical,"Rollins, Inc., through its subsidiaries, provides pest and wildlife control services to residential and commercial customers in the United States and internationally. The company offers pest control services to residential properties protecting from common pests, including rodents, insects, and wildlife. It also provides workplace pest control solutions for customers across various end markets, such as healthcare, foodservice, and logistics. In addition, the company offers termite protection services and ancillary services. It serves clients directly, as well as through franchisee operations. Rollins, Inc. was incorporated in 1948 and is headquartered in Atlanta, Georgia.",17515,"{'maxAge': 1, 'name': 'Ms. Elizabeth Brannen Chandler', 'age': 58, 'title': 'VP, Gen. Counsel & Corp. Sec.', 'yearBorn': 1964, 'fiscalYear': 2022, 'totalPay': 942538, 'exercisedValue': 0, 'unexercisedValue': 0}",2,10,9,10,9,1693526400,1672444800,86400,2,35.0,34.8,34.6,34.8,35.0,34.8,34.6,34.8,0.49,0.0139999995,1691539200,0.6203,0.99,0.659405,46.756756,46.13333,5,5,3,0,0,34.6,35.0,30000,30000,16858952704,32.2,43.2,5.874488,37.172,35.908,0.49,0.014,EUR,17520678912,0.13645001,298077709,484096992,0.50866,0.44299,2.724,12.701908,1672444800,1703980800,1688083200,0.084,391590016,0.74,0.75,7.0,3:2,1607644800,6.105,27.902,FRA,EQUITY,RLS.F,RLS.F,ROLLINS INC.  DL 1,"Rollins, Inc.",1343282400,Europe/Berlin,CEST,7200000,34.6,42.0,33.0,38.33,40.0,2.5,buy,3,155547008,0.316,627932032,624627968,0.642,0.806,2869859072,46.537,5.828,0.13987,0.31481,1387424000,458718112,499299008,0.066,0.149,0.5166,0.2188,0.18586001,USD,2.6484
6,"2170 Piedmont Road, NE",Atlanta,GA,30324,United States,404 888 2000,https://www.rollins.com,Personal Services,Consumer Cyclical,"Rollins, Inc., through its subsidiaries, provides pest and wildlife control services to residential and commercial customers in the United States and internationally. The company offers pest control services to residential properties protecting from common pests, including rodents, insects, and wildlife. It also provides workplace pest control solutions for customers across various end markets, such as healthcare, foodservice, and logistics. In addition, the company offers termite protection services and ancillary services. It serves clients directly, as well as through franchisee operations. Rollins, Inc. was incorporated in 1948 and is headquartered in Atlanta, Georgia.",17515,"{'maxAge': 1, 'name': 'Ms. Traci  Hornfeck', 'age': 43, 'title': 'Chief Accounting Officer & Principal Accounting Officer', 'yearBorn': 1979, 'exercisedValue': 0, 'unexercisedValue': 0}",2,10,9,10,9,1693526400,1672444800,86400,2,35.0,34.8,34.6,34.8,35.0,34.8,34.6,34.8,0.49,0.0139999995,1691539200,0.6203,0.99,0.659405,46.756756,46.13333,5,5,3,0,0,34.6,35.0,30000,30000,16858952704,32.2,43.2,5.874488,37.172,35.908,0.49,0.014,EUR,17520678912,0.13645001,298077709,484096992,0.50866,0.44299,2.724,12.701908,1672444800,1703980800,1688083200,0.084,391590016,0.74,0.75,7.0,3:2,1607644800,6.105,27.902,FRA,EQUITY,RLS.F,RLS.F,ROLLINS INC.  DL 1,"Rollins, Inc.",1343282400,Europe/Berlin,CEST,7200000,34.6,42.0,33.0,38.33,40.0,2.5,buy,3,155547008,0.316,627932032,624627968,0.642,0.806,2869859072,46.537,5.828,0.13987,0.31481,1387424000,458718112,499299008,0.066,0.149,0.5166,0.2188,0.18586001,USD,2.6484
7,"2170 Piedmont Road, NE",Atlanta,GA,30324,United States,404 888 2000,https://www.rollins.com,Personal Services,Consumer Cyclical,"Rollins, Inc., through its subsidiaries, provides pest and wildlife control services to residential and commercial customers in the United States and internationally. The company offers pest control services to residential properties protecting from common pests, including rodents, insects, and wildlife. It also provides workplace pest control solutions for customers across various end markets, such as healthcare, foodservice, and logistics. In addition, the company offers termite protection services and ancillary services. It serves clients directly, as well as through franchisee operations. Rollins, Inc. was incorporated in 1948 and is headquartered in Atlanta, Georgia.",17515,"{'maxAge': 1, 'name': 'Mr. Thomas D. Tesh', 'title': 'Chief Admin. & Information Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",2,10,9,10,9,1693526400,1672444800,86400,2,35.0,34.8,34.6,34.8,35.0,34.8,34.6,34.8,0.49,0.0139999995,1691539200,0.6203,0.99,0.659405,46.756756,46.13333,5,5,3,0,0,34.6,35.0,30000,30000,16858952704,32.2,43.2,5.874488,37.172,35.908,0.49,0.014,EUR,17520678912,0.13645001,298077709,484096992,0.50866,0.44299,2.724,12.701908,1672444800,1703980800,1688083200,0.084,391590016,0.74,0.75,7.0,3:2,1607644800,6.105,27.902,FRA,EQUITY,RLS.F,RLS.F,ROLLINS INC.  DL 1,"Rollins, Inc.",1343282400,Europe/Berlin,CEST,7200000,34.6,42.0,33.0,38.33,40.0,2.5,buy,3,155547008,0.316,627932032,624627968,0.642,0.806,2869859072,46.537,5.828,0.13987,0.31481,1387424000,458718112,499299008,0.066,0.149,0.5166,0.2188,0.18586001,USD,2.6484
8,"2170 Piedmont Road, NE",Atlanta,GA,30324,United States,404 888 2000,https://www.rollins.com,Personal Services,Consumer Cyclical,"Rollins, Inc., through its subsidiaries, provides pest and wildlife control services to residential and commercial customers in the United States and internationally. The company offers pest control services to residential properties protecting from common pests, including rodents, insects, and wildlife. It also provides workplace pest control solutions for customers across various end markets, such as healthcare, foodservice, and logistics. In addition, the company offers termite protection services and ancillary services. It serves clients directly, as well as through franchisee operations. Rollins, Inc. was incorporated in 1948 and is headquartered in Atlanta, Georgia.",17515,"{'maxAge': 1, 'name': 'Mr. Kevin J. Smith', 'title': 'Chief Marketing Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",2,10,9,10,9,1693526400,1672444800,86400,2,35.0,34.8,34.6,34.8,35.0,34.8,34.6,34.8,0.49,0.0139999995,1691539200,0.6203,0.99,0.659405,46.756756,46.13333,5,5,3,0,0,34.6,35.0,30000,30000,16858952704,32.2,43.2,5.874488,37.172,35.908,0.49,0.014,EUR,17520678912,0.13645001,298077709,484096992,0.50866,0.44299,2.724,12.701908,1672444800,1703980800,1688083200,0.084,391590016,0.74,0.75,7.0,3:2,1607644800,6.105,27.902,FRA,EQUITY,RLS.F,RLS.F,ROLLINS INC.  DL 1,"Rollins, Inc.",1343282400,Europe/Berlin,CEST,7200000,34.6,42.0,33.0,38.33,40.0,2.5,buy,3,155547008,0.316,627932032,624627968,0.642,0.806,2869859072,46.537,5.828,0.13987,0.31481,1387424000,458718112,499299008,0.066,0.149,0.5166,0.2188,0.18586001,USD,2.6484
9,"2170 Piedmont Road, NE",Atlanta,GA,30324,United States,404 888 2000,https://www.rollins.com,Personal Services,Consumer Cyclical,"Rollins, Inc., through its subsidiaries, provides pest and wildlife control services to residential and commercial customers in the United States and internationally. The company offers pest control services to residential properties protecting from common pests, including rodents, insects, and wildlife. It also provides workplace pest control solutions for customers across various end markets, such as healthcare, foodservice, and logistics. In addition, the company offers termite protection services and ancillary services. It serves clients directly, as well as through franchisee operations. Rollins, Inc. was incorporated in 1948 and is headquartered in Atlanta, Georgia.",17515,"{'maxAge': 1, 'name': 'Mr. Steven  Leavitt', 'title': 'Group Pres of Rollins Brands', 'exercisedValue': 0, 'unexercisedValue': 0}",2,10,9,10,9,1693526400,1672444800,86400,2,35.0,34.8,34.6,34.8,35.0,34.8,34.6,34.8,0.49,0.0139999995,1691539200,0.6203,0.99,0.659405,46.756756,46.13333,5,5,3,0,0,34.6,35.0,30000,30000,16858952704,32.2,43.2,5.874488,37.172,35.908,0.49,0.014,EUR,17520678912,0.13645001,298077709,484096992,0.50866,0.44299,2.724,12.701908,1672444800,1703980800,1688083200,0.084,391590016,0.74,0.75,7.0,3:2,1607644800,6.105,27.902,FRA,EQUITY,RLS.F,RLS.F,ROLLINS INC.  DL 1,"Rollins, Inc.",1343282400,Europe/Berlin,CEST,7200000,34.6,42.0,33.0,38.33,40.0,2.5,buy,3,155547008,0.316,627932032,624627968,0.642,0.806,2869859072,46.537,5.828,0.13987,0.31481,1387424000,458718112,499299008,0.066,0.149,0.5166,0.2188,0.18586001,USD,2.6484
