,address1,address2,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,90 Whitfield Street,2nd Floor,London,W1T 4EZ,United Kingdom,44 207 632 8600,https://www.capriholdings.com,Luxury Goods,Consumer Cyclical,"Capri Holdings Limited designs, markets, distributes, and retails branded women's and men's apparel, footwear, and accessories in the United States, Canada, Latin America, Europe, the Middle East, Africa, and Asia. It operates through three segments: Versace, Jimmy Choo, and Michael Kors. The company offers ready-to-wear, accessories, footwear, handbags, scarves and belts, small leather goods, eyewear, watches, jewelry, fragrances, and home furnishings through a distribution network, including boutiques, department, and specialty stores, as well as through e-commerce sites. It also engages in licensing agreements to the manufacture and sale of watches, jewelry, eyewear, and fragrances. The company was formerly known as Michael Kors Holdings Limited and changed its name to Capri Holdings Limited in December 2018. Capri Holdings Limited was founded in 1981 and is headquartered in London, the United Kingdom.",10400,"{'maxAge': 1, 'name': 'Mr. John D. Idol', 'age': 63, 'title': 'Chairman & CEO', 'yearBorn': 1959, 'fiscalYear': 2023, 'totalPay': 5831769, 'exercisedValue': 10192, 'unexercisedValue': 0}",4,2,3,6,3,1693526400,1703980800,86400,2,48.565,49.13,49.075,49.225,48.565,49.13,49.075,49.225,0.0,2.196058,14.650297,9.270245,117,117,42,16,16,49.05,49.2,30000,30000,5716892672,30.705,63.14,1.0417079,40.9223,43.778175,0.0,0.0,EUR,9183397888,0.08437,113159527,116138000,0.024719998,0.95689005,15.603,3.154842,1680307200,1711929600,1688169600,-0.761,463000000,3.36,5.31,0.25,1.673,10.753,FRA,EQUITY,MKO.F,MKO.F,CAPRI HOLDINGS LTD,Capri Holdings Limited,1325055600,Europe/Berlin,CEST,7200000,49.225,92.0,61.0,72.89,75.0,2.1,buy,19,238000000,2.051,854000000,3707000064,0.387,1.326,5488000000,204.581,43.414,0.05618,0.22148001,3715000000,437375008,674000000,-0.708,-0.096,0.66071,0.15561,0.123,USD,1.192
1,90 Whitfield Street,2nd Floor,London,W1T 4EZ,United Kingdom,44 207 632 8600,https://www.capriholdings.com,Luxury Goods,Consumer Cyclical,"Capri Holdings Limited designs, markets, distributes, and retails branded women's and men's apparel, footwear, and accessories in the United States, Canada, Latin America, Europe, the Middle East, Africa, and Asia. It operates through three segments: Versace, Jimmy Choo, and Michael Kors. The company offers ready-to-wear, accessories, footwear, handbags, scarves and belts, small leather goods, eyewear, watches, jewelry, fragrances, and home furnishings through a distribution network, including boutiques, department, and specialty stores, as well as through e-commerce sites. It also engages in licensing agreements to the manufacture and sale of watches, jewelry, eyewear, and fragrances. The company was formerly known as Michael Kors Holdings Limited and changed its name to Capri Holdings Limited in December 2018. Capri Holdings Limited was founded in 1981 and is headquartered in London, the United Kingdom.",10400,"{'maxAge': 1, 'name': 'Mr. Thomas J. Edwards Jr.', 'age': 58, 'title': 'Exec. VP, CFO & COO', 'yearBorn': 1964, 'fiscalYear': 2023, 'totalPay': 2088700, 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,3,6,3,1693526400,1703980800,86400,2,48.565,49.13,49.075,49.225,48.565,49.13,49.075,49.225,0.0,2.196058,14.650297,9.270245,117,117,42,16,16,49.05,49.2,30000,30000,5716892672,30.705,63.14,1.0417079,40.9223,43.778175,0.0,0.0,EUR,9183397888,0.08437,113159527,116138000,0.024719998,0.95689005,15.603,3.154842,1680307200,1711929600,1688169600,-0.761,463000000,3.36,5.31,0.25,1.673,10.753,FRA,EQUITY,MKO.F,MKO.F,CAPRI HOLDINGS LTD,Capri Holdings Limited,1325055600,Europe/Berlin,CEST,7200000,49.225,92.0,61.0,72.89,75.0,2.1,buy,19,238000000,2.051,854000000,3707000064,0.387,1.326,5488000000,204.581,43.414,0.05618,0.22148001,3715000000,437375008,674000000,-0.708,-0.096,0.66071,0.15561,0.123,USD,1.192
2,90 Whitfield Street,2nd Floor,London,W1T 4EZ,United Kingdom,44 207 632 8600,https://www.capriholdings.com,Luxury Goods,Consumer Cyclical,"Capri Holdings Limited designs, markets, distributes, and retails branded women's and men's apparel, footwear, and accessories in the United States, Canada, Latin America, Europe, the Middle East, Africa, and Asia. It operates through three segments: Versace, Jimmy Choo, and Michael Kors. The company offers ready-to-wear, accessories, footwear, handbags, scarves and belts, small leather goods, eyewear, watches, jewelry, fragrances, and home furnishings through a distribution network, including boutiques, department, and specialty stores, as well as through e-commerce sites. It also engages in licensing agreements to the manufacture and sale of watches, jewelry, eyewear, and fragrances. The company was formerly known as Michael Kors Holdings Limited and changed its name to Capri Holdings Limited in December 2018. Capri Holdings Limited was founded in 1981 and is headquartered in London, the United Kingdom.",10400,"{'maxAge': 1, 'name': 'Ms. Krista A. McDonough', 'age': 41, 'title': 'Gen. Counsel, Sr. VP & Chief Sustainability Officer', 'yearBorn': 1981, 'fiscalYear': 2023, 'totalPay': 998700, 'exercisedValue': 0, 'unexercisedValue': 84823}",4,2,3,6,3,1693526400,1703980800,86400,2,48.565,49.13,49.075,49.225,48.565,49.13,49.075,49.225,0.0,2.196058,14.650297,9.270245,117,117,42,16,16,49.05,49.2,30000,30000,5716892672,30.705,63.14,1.0417079,40.9223,43.778175,0.0,0.0,EUR,9183397888,0.08437,113159527,116138000,0.024719998,0.95689005,15.603,3.154842,1680307200,1711929600,1688169600,-0.761,463000000,3.36,5.31,0.25,1.673,10.753,FRA,EQUITY,MKO.F,MKO.F,CAPRI HOLDINGS LTD,Capri Holdings Limited,1325055600,Europe/Berlin,CEST,7200000,49.225,92.0,61.0,72.89,75.0,2.1,buy,19,238000000,2.051,854000000,3707000064,0.387,1.326,5488000000,204.581,43.414,0.05618,0.22148001,3715000000,437375008,674000000,-0.708,-0.096,0.66071,0.15561,0.123,USD,1.192
3,90 Whitfield Street,2nd Floor,London,W1T 4EZ,United Kingdom,44 207 632 8600,https://www.capriholdings.com,Luxury Goods,Consumer Cyclical,"Capri Holdings Limited designs, markets, distributes, and retails branded women's and men's apparel, footwear, and accessories in the United States, Canada, Latin America, Europe, the Middle East, Africa, and Asia. It operates through three segments: Versace, Jimmy Choo, and Michael Kors. The company offers ready-to-wear, accessories, footwear, handbags, scarves and belts, small leather goods, eyewear, watches, jewelry, fragrances, and home furnishings through a distribution network, including boutiques, department, and specialty stores, as well as through e-commerce sites. It also engages in licensing agreements to the manufacture and sale of watches, jewelry, eyewear, and fragrances. The company was formerly known as Michael Kors Holdings Limited and changed its name to Capri Holdings Limited in December 2018. Capri Holdings Limited was founded in 1981 and is headquartered in London, the United Kingdom.",10400,"{'maxAge': 1, 'name': 'Ms. Jenna A. Hendricks', 'age': 41, 'title': 'Sr. VP & Chief People Officer', 'yearBorn': 1981, 'fiscalYear': 2023, 'totalPay': 915876, 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,3,6,3,1693526400,1703980800,86400,2,48.565,49.13,49.075,49.225,48.565,49.13,49.075,49.225,0.0,2.196058,14.650297,9.270245,117,117,42,16,16,49.05,49.2,30000,30000,5716892672,30.705,63.14,1.0417079,40.9223,43.778175,0.0,0.0,EUR,9183397888,0.08437,113159527,116138000,0.024719998,0.95689005,15.603,3.154842,1680307200,1711929600,1688169600,-0.761,463000000,3.36,5.31,0.25,1.673,10.753,FRA,EQUITY,MKO.F,MKO.F,CAPRI HOLDINGS LTD,Capri Holdings Limited,1325055600,Europe/Berlin,CEST,7200000,49.225,92.0,61.0,72.89,75.0,2.1,buy,19,238000000,2.051,854000000,3707000064,0.387,1.326,5488000000,204.581,43.414,0.05618,0.22148001,3715000000,437375008,674000000,-0.708,-0.096,0.66071,0.15561,0.123,USD,1.192
4,90 Whitfield Street,2nd Floor,London,W1T 4EZ,United Kingdom,44 207 632 8600,https://www.capriholdings.com,Luxury Goods,Consumer Cyclical,"Capri Holdings Limited designs, markets, distributes, and retails branded women's and men's apparel, footwear, and accessories in the United States, Canada, Latin America, Europe, the Middle East, Africa, and Asia. It operates through three segments: Versace, Jimmy Choo, and Michael Kors. The company offers ready-to-wear, accessories, footwear, handbags, scarves and belts, small leather goods, eyewear, watches, jewelry, fragrances, and home furnishings through a distribution network, including boutiques, department, and specialty stores, as well as through e-commerce sites. It also engages in licensing agreements to the manufacture and sale of watches, jewelry, eyewear, and fragrances. The company was formerly known as Michael Kors Holdings Limited and changed its name to Capri Holdings Limited in December 2018. Capri Holdings Limited was founded in 1981 and is headquartered in London, the United Kingdom.",10400,"{'maxAge': 1, 'name': 'Mr. Don  Witkowski', 'title': 'Pres', 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,3,6,3,1693526400,1703980800,86400,2,48.565,49.13,49.075,49.225,48.565,49.13,49.075,49.225,0.0,2.196058,14.650297,9.270245,117,117,42,16,16,49.05,49.2,30000,30000,5716892672,30.705,63.14,1.0417079,40.9223,43.778175,0.0,0.0,EUR,9183397888,0.08437,113159527,116138000,0.024719998,0.95689005,15.603,3.154842,1680307200,1711929600,1688169600,-0.761,463000000,3.36,5.31,0.25,1.673,10.753,FRA,EQUITY,MKO.F,MKO.F,CAPRI HOLDINGS LTD,Capri Holdings Limited,1325055600,Europe/Berlin,CEST,7200000,49.225,92.0,61.0,72.89,75.0,2.1,buy,19,238000000,2.051,854000000,3707000064,0.387,1.326,5488000000,204.581,43.414,0.05618,0.22148001,3715000000,437375008,674000000,-0.708,-0.096,0.66071,0.15561,0.123,USD,1.192
5,90 Whitfield Street,2nd Floor,London,W1T 4EZ,United Kingdom,44 207 632 8600,https://www.capriholdings.com,Luxury Goods,Consumer Cyclical,"Capri Holdings Limited designs, markets, distributes, and retails branded women's and men's apparel, footwear, and accessories in the United States, Canada, Latin America, Europe, the Middle East, Africa, and Asia. It operates through three segments: Versace, Jimmy Choo, and Michael Kors. The company offers ready-to-wear, accessories, footwear, handbags, scarves and belts, small leather goods, eyewear, watches, jewelry, fragrances, and home furnishings through a distribution network, including boutiques, department, and specialty stores, as well as through e-commerce sites. It also engages in licensing agreements to the manufacture and sale of watches, jewelry, eyewear, and fragrances. The company was formerly known as Michael Kors Holdings Limited and changed its name to Capri Holdings Limited in December 2018. Capri Holdings Limited was founded in 1981 and is headquartered in London, the United Kingdom.",10400,"{'maxAge': 1, 'name': 'Mr. Alejandro Martinez Galindo', 'title': 'Chief Information Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,3,6,3,1693526400,1703980800,86400,2,48.565,49.13,49.075,49.225,48.565,49.13,49.075,49.225,0.0,2.196058,14.650297,9.270245,117,117,42,16,16,49.05,49.2,30000,30000,5716892672,30.705,63.14,1.0417079,40.9223,43.778175,0.0,0.0,EUR,9183397888,0.08437,113159527,116138000,0.024719998,0.95689005,15.603,3.154842,1680307200,1711929600,1688169600,-0.761,463000000,3.36,5.31,0.25,1.673,10.753,FRA,EQUITY,MKO.F,MKO.F,CAPRI HOLDINGS LTD,Capri Holdings Limited,1325055600,Europe/Berlin,CEST,7200000,49.225,92.0,61.0,72.89,75.0,2.1,buy,19,238000000,2.051,854000000,3707000064,0.387,1.326,5488000000,204.581,43.414,0.05618,0.22148001,3715000000,437375008,674000000,-0.708,-0.096,0.66071,0.15561,0.123,USD,1.192
6,90 Whitfield Street,2nd Floor,London,W1T 4EZ,United Kingdom,44 207 632 8600,https://www.capriholdings.com,Luxury Goods,Consumer Cyclical,"Capri Holdings Limited designs, markets, distributes, and retails branded women's and men's apparel, footwear, and accessories in the United States, Canada, Latin America, Europe, the Middle East, Africa, and Asia. It operates through three segments: Versace, Jimmy Choo, and Michael Kors. The company offers ready-to-wear, accessories, footwear, handbags, scarves and belts, small leather goods, eyewear, watches, jewelry, fragrances, and home furnishings through a distribution network, including boutiques, department, and specialty stores, as well as through e-commerce sites. It also engages in licensing agreements to the manufacture and sale of watches, jewelry, eyewear, and fragrances. The company was formerly known as Michael Kors Holdings Limited and changed its name to Capri Holdings Limited in December 2018. Capri Holdings Limited was founded in 1981 and is headquartered in London, the United Kingdom.",10400,"{'maxAge': 1, 'name': 'Ms. Jennifer Michelle Davis', 'title': 'VP of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,3,6,3,1693526400,1703980800,86400,2,48.565,49.13,49.075,49.225,48.565,49.13,49.075,49.225,0.0,2.196058,14.650297,9.270245,117,117,42,16,16,49.05,49.2,30000,30000,5716892672,30.705,63.14,1.0417079,40.9223,43.778175,0.0,0.0,EUR,9183397888,0.08437,113159527,116138000,0.024719998,0.95689005,15.603,3.154842,1680307200,1711929600,1688169600,-0.761,463000000,3.36,5.31,0.25,1.673,10.753,FRA,EQUITY,MKO.F,MKO.F,CAPRI HOLDINGS LTD,Capri Holdings Limited,1325055600,Europe/Berlin,CEST,7200000,49.225,92.0,61.0,72.89,75.0,2.1,buy,19,238000000,2.051,854000000,3707000064,0.387,1.326,5488000000,204.581,43.414,0.05618,0.22148001,3715000000,437375008,674000000,-0.708,-0.096,0.66071,0.15561,0.123,USD,1.192
7,90 Whitfield Street,2nd Floor,London,W1T 4EZ,United Kingdom,44 207 632 8600,https://www.capriholdings.com,Luxury Goods,Consumer Cyclical,"Capri Holdings Limited designs, markets, distributes, and retails branded women's and men's apparel, footwear, and accessories in the United States, Canada, Latin America, Europe, the Middle East, Africa, and Asia. It operates through three segments: Versace, Jimmy Choo, and Michael Kors. The company offers ready-to-wear, accessories, footwear, handbags, scarves and belts, small leather goods, eyewear, watches, jewelry, fragrances, and home furnishings through a distribution network, including boutiques, department, and specialty stores, as well as through e-commerce sites. It also engages in licensing agreements to the manufacture and sale of watches, jewelry, eyewear, and fragrances. The company was formerly known as Michael Kors Holdings Limited and changed its name to Capri Holdings Limited in December 2018. Capri Holdings Limited was founded in 1981 and is headquartered in London, the United Kingdom.",10400,"{'maxAge': 1, 'name': 'Ms. Francesca  Leoni', 'title': 'Chief Brand Officer & Sr. VP', 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,3,6,3,1693526400,1703980800,86400,2,48.565,49.13,49.075,49.225,48.565,49.13,49.075,49.225,0.0,2.196058,14.650297,9.270245,117,117,42,16,16,49.05,49.2,30000,30000,5716892672,30.705,63.14,1.0417079,40.9223,43.778175,0.0,0.0,EUR,9183397888,0.08437,113159527,116138000,0.024719998,0.95689005,15.603,3.154842,1680307200,1711929600,1688169600,-0.761,463000000,3.36,5.31,0.25,1.673,10.753,FRA,EQUITY,MKO.F,MKO.F,CAPRI HOLDINGS LTD,Capri Holdings Limited,1325055600,Europe/Berlin,CEST,7200000,49.225,92.0,61.0,72.89,75.0,2.1,buy,19,238000000,2.051,854000000,3707000064,0.387,1.326,5488000000,204.581,43.414,0.05618,0.22148001,3715000000,437375008,674000000,-0.708,-0.096,0.66071,0.15561,0.123,USD,1.192
8,90 Whitfield Street,2nd Floor,London,W1T 4EZ,United Kingdom,44 207 632 8600,https://www.capriholdings.com,Luxury Goods,Consumer Cyclical,"Capri Holdings Limited designs, markets, distributes, and retails branded women's and men's apparel, footwear, and accessories in the United States, Canada, Latin America, Europe, the Middle East, Africa, and Asia. It operates through three segments: Versace, Jimmy Choo, and Michael Kors. The company offers ready-to-wear, accessories, footwear, handbags, scarves and belts, small leather goods, eyewear, watches, jewelry, fragrances, and home furnishings through a distribution network, including boutiques, department, and specialty stores, as well as through e-commerce sites. It also engages in licensing agreements to the manufacture and sale of watches, jewelry, eyewear, and fragrances. The company was formerly known as Michael Kors Holdings Limited and changed its name to Capri Holdings Limited in December 2018. Capri Holdings Limited was founded in 1981 and is headquartered in London, the United Kingdom.",10400,"{'maxAge': 1, 'name': 'Ms. Donatella  Versace', 'age': 63, 'title': 'Chief Creative Officer', 'yearBorn': 1959, 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,3,6,3,1693526400,1703980800,86400,2,48.565,49.13,49.075,49.225,48.565,49.13,49.075,49.225,0.0,2.196058,14.650297,9.270245,117,117,42,16,16,49.05,49.2,30000,30000,5716892672,30.705,63.14,1.0417079,40.9223,43.778175,0.0,0.0,EUR,9183397888,0.08437,113159527,116138000,0.024719998,0.95689005,15.603,3.154842,1680307200,1711929600,1688169600,-0.761,463000000,3.36,5.31,0.25,1.673,10.753,FRA,EQUITY,MKO.F,MKO.F,CAPRI HOLDINGS LTD,Capri Holdings Limited,1325055600,Europe/Berlin,CEST,7200000,49.225,92.0,61.0,72.89,75.0,2.1,buy,19,238000000,2.051,854000000,3707000064,0.387,1.326,5488000000,204.581,43.414,0.05618,0.22148001,3715000000,437375008,674000000,-0.708,-0.096,0.66071,0.15561,0.123,USD,1.192
9,90 Whitfield Street,2nd Floor,London,W1T 4EZ,United Kingdom,44 207 632 8600,https://www.capriholdings.com,Luxury Goods,Consumer Cyclical,"Capri Holdings Limited designs, markets, distributes, and retails branded women's and men's apparel, footwear, and accessories in the United States, Canada, Latin America, Europe, the Middle East, Africa, and Asia. It operates through three segments: Versace, Jimmy Choo, and Michael Kors. The company offers ready-to-wear, accessories, footwear, handbags, scarves and belts, small leather goods, eyewear, watches, jewelry, fragrances, and home furnishings through a distribution network, including boutiques, department, and specialty stores, as well as through e-commerce sites. It also engages in licensing agreements to the manufacture and sale of watches, jewelry, eyewear, and fragrances. The company was formerly known as Michael Kors Holdings Limited and changed its name to Capri Holdings Limited in December 2018. Capri Holdings Limited was founded in 1981 and is headquartered in London, the United Kingdom.",10400,"{'maxAge': 1, 'name': 'Mr. Cedric  Wilmotte', 'title': 'Chief Exec. Officer of Michael Kors', 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,3,6,3,1693526400,1703980800,86400,2,48.565,49.13,49.075,49.225,48.565,49.13,49.075,49.225,0.0,2.196058,14.650297,9.270245,117,117,42,16,16,49.05,49.2,30000,30000,5716892672,30.705,63.14,1.0417079,40.9223,43.778175,0.0,0.0,EUR,9183397888,0.08437,113159527,116138000,0.024719998,0.95689005,15.603,3.154842,1680307200,1711929600,1688169600,-0.761,463000000,3.36,5.31,0.25,1.673,10.753,FRA,EQUITY,MKO.F,MKO.F,CAPRI HOLDINGS LTD,Capri Holdings Limited,1325055600,Europe/Berlin,CEST,7200000,49.225,92.0,61.0,72.89,75.0,2.1,buy,19,238000000,2.051,854000000,3707000064,0.387,1.326,5488000000,204.581,43.414,0.05618,0.22148001,3715000000,437375008,674000000,-0.708,-0.096,0.66071,0.15561,0.123,USD,1.192
