,address1,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,200 West Street,New York,NY,10282,United States,212 902 1000,212 357 5281,https://www.goldmansachsbdc.com/content/gsam/us/en/bdc/homepage.html,Asset Management,Financial Services,"Goldman Sachs BDC, Inc. is a business development company specializing in middle market and mezzanine investment in private companies. It seeks to make capital appreciation through direct originations of secured debt, senior secured debt, junior secured debt, including first lien, first lien/last-out unitranche and second lien debt, unsecured debt, including mezzanine debt and, to a lesser extent, investments in equities. The fund primarily invests in United States. It seeks to invest between $10 million and $75 million in companies with EBITDA between $5 million and $75 million annually.","{'maxAge': 1, 'name': 'Mr. David Nathan Miller', 'age': 51, 'title': 'Co-Pres & Co-CEO', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,14.84,14.83,14.81,14.99,14.84,14.83,14.81,14.99,1.8,0.121300004,1695859200,2.1429,10.25,1.227869,17.833334,7.236715,533431,533431,447803,435050,435050,14.88,15.0,1100,800,1641268608,12.75,16.92,3.896825,14.3308,14.30255,1.8,0.1212938,USD,3538522624,0.21343,109564000,1106005,1233608,1690761600,1693440000,0.0101,0.00118,0.30335,2.54,0.0101,14.588,1.0268713,1672444800,1703980800,1688083200,2.516,89895000,0.84,2.07,-3.03,8.401,NYQ,EQUITY,GSBD,GSBD,"Goldman Sachs BDC, Inc.","Goldman Sachs BDC, Inc.",1426685400,America/New_York,EDT,-14400000,14.98,15.0,14.0,14.5,14.5,3.0,hold,4,42414000,0.387,1955014016,0.871,0.871,421180992,122.429,4.018,0.05953,0.05649,357452000,179952880,141076992,2.275,0.447,1.0,0.0,0.82719004,USD,
1,200 West Street,New York,NY,10282,United States,212 902 1000,212 357 5281,https://www.goldmansachsbdc.com/content/gsam/us/en/bdc/homepage.html,Asset Management,Financial Services,"Goldman Sachs BDC, Inc. is a business development company specializing in middle market and mezzanine investment in private companies. It seeks to make capital appreciation through direct originations of secured debt, senior secured debt, junior secured debt, including first lien, first lien/last-out unitranche and second lien debt, unsecured debt, including mezzanine debt and, to a lesser extent, investments in equities. The fund primarily invests in United States. It seeks to invest between $10 million and $75 million in companies with EBITDA between $5 million and $75 million annually.","{'maxAge': 1, 'name': 'Mr. Alex  Chi', 'age': 48, 'title': 'Co-Pres & Co-CEO', 'yearBorn': 1974, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,14.84,14.83,14.81,14.99,14.84,14.83,14.81,14.99,1.8,0.121300004,1695859200,2.1429,10.25,1.227869,17.833334,7.236715,533431,533431,447803,435050,435050,14.88,15.0,1100,800,1641268608,12.75,16.92,3.896825,14.3308,14.30255,1.8,0.1212938,USD,3538522624,0.21343,109564000,1106005,1233608,1690761600,1693440000,0.0101,0.00118,0.30335,2.54,0.0101,14.588,1.0268713,1672444800,1703980800,1688083200,2.516,89895000,0.84,2.07,-3.03,8.401,NYQ,EQUITY,GSBD,GSBD,"Goldman Sachs BDC, Inc.","Goldman Sachs BDC, Inc.",1426685400,America/New_York,EDT,-14400000,14.98,15.0,14.0,14.5,14.5,3.0,hold,4,42414000,0.387,1955014016,0.871,0.871,421180992,122.429,4.018,0.05953,0.05649,357452000,179952880,141076992,2.275,0.447,1.0,0.0,0.82719004,USD,
2,200 West Street,New York,NY,10282,United States,212 902 1000,212 357 5281,https://www.goldmansachsbdc.com/content/gsam/us/en/bdc/homepage.html,Asset Management,Financial Services,"Goldman Sachs BDC, Inc. is a business development company specializing in middle market and mezzanine investment in private companies. It seeks to make capital appreciation through direct originations of secured debt, senior secured debt, junior secured debt, including first lien, first lien/last-out unitranche and second lien debt, unsecured debt, including mezzanine debt and, to a lesser extent, investments in equities. The fund primarily invests in United States. It seeks to invest between $10 million and $75 million in companies with EBITDA between $5 million and $75 million annually.","{'maxAge': 1, 'name': 'Mr. David  Pessah', 'age': 36, 'title': 'CFO, Treasurer, Principal Accounting & Financial Officer', 'yearBorn': 1986, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,14.84,14.83,14.81,14.99,14.84,14.83,14.81,14.99,1.8,0.121300004,1695859200,2.1429,10.25,1.227869,17.833334,7.236715,533431,533431,447803,435050,435050,14.88,15.0,1100,800,1641268608,12.75,16.92,3.896825,14.3308,14.30255,1.8,0.1212938,USD,3538522624,0.21343,109564000,1106005,1233608,1690761600,1693440000,0.0101,0.00118,0.30335,2.54,0.0101,14.588,1.0268713,1672444800,1703980800,1688083200,2.516,89895000,0.84,2.07,-3.03,8.401,NYQ,EQUITY,GSBD,GSBD,"Goldman Sachs BDC, Inc.","Goldman Sachs BDC, Inc.",1426685400,America/New_York,EDT,-14400000,14.98,15.0,14.0,14.5,14.5,3.0,hold,4,42414000,0.387,1955014016,0.871,0.871,421180992,122.429,4.018,0.05953,0.05649,357452000,179952880,141076992,2.275,0.447,1.0,0.0,0.82719004,USD,
3,200 West Street,New York,NY,10282,United States,212 902 1000,212 357 5281,https://www.goldmansachsbdc.com/content/gsam/us/en/bdc/homepage.html,Asset Management,Financial Services,"Goldman Sachs BDC, Inc. is a business development company specializing in middle market and mezzanine investment in private companies. It seeks to make capital appreciation through direct originations of secured debt, senior secured debt, junior secured debt, including first lien, first lien/last-out unitranche and second lien debt, unsecured debt, including mezzanine debt and, to a lesser extent, investments in equities. The fund primarily invests in United States. It seeks to invest between $10 million and $75 million in companies with EBITDA between $5 million and $75 million annually.","{'maxAge': 1, 'name': 'Mr. Tucker  Greene', 'age': 47, 'title': 'Chief Operating Officer', 'yearBorn': 1975, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,14.84,14.83,14.81,14.99,14.84,14.83,14.81,14.99,1.8,0.121300004,1695859200,2.1429,10.25,1.227869,17.833334,7.236715,533431,533431,447803,435050,435050,14.88,15.0,1100,800,1641268608,12.75,16.92,3.896825,14.3308,14.30255,1.8,0.1212938,USD,3538522624,0.21343,109564000,1106005,1233608,1690761600,1693440000,0.0101,0.00118,0.30335,2.54,0.0101,14.588,1.0268713,1672444800,1703980800,1688083200,2.516,89895000,0.84,2.07,-3.03,8.401,NYQ,EQUITY,GSBD,GSBD,"Goldman Sachs BDC, Inc.","Goldman Sachs BDC, Inc.",1426685400,America/New_York,EDT,-14400000,14.98,15.0,14.0,14.5,14.5,3.0,hold,4,42414000,0.387,1955014016,0.871,0.871,421180992,122.429,4.018,0.05953,0.05649,357452000,179952880,141076992,2.275,0.447,1.0,0.0,0.82719004,USD,
4,200 West Street,New York,NY,10282,United States,212 902 1000,212 357 5281,https://www.goldmansachsbdc.com/content/gsam/us/en/bdc/homepage.html,Asset Management,Financial Services,"Goldman Sachs BDC, Inc. is a business development company specializing in middle market and mezzanine investment in private companies. It seeks to make capital appreciation through direct originations of secured debt, senior secured debt, junior secured debt, including first lien, first lien/last-out unitranche and second lien debt, unsecured debt, including mezzanine debt and, to a lesser extent, investments in equities. The fund primarily invests in United States. It seeks to invest between $10 million and $75 million in companies with EBITDA between $5 million and $75 million annually.","{'maxAge': 1, 'name': 'Ms. Katherine  Schneider', 'title': 'Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,14.84,14.83,14.81,14.99,14.84,14.83,14.81,14.99,1.8,0.121300004,1695859200,2.1429,10.25,1.227869,17.833334,7.236715,533431,533431,447803,435050,435050,14.88,15.0,1100,800,1641268608,12.75,16.92,3.896825,14.3308,14.30255,1.8,0.1212938,USD,3538522624,0.21343,109564000,1106005,1233608,1690761600,1693440000,0.0101,0.00118,0.30335,2.54,0.0101,14.588,1.0268713,1672444800,1703980800,1688083200,2.516,89895000,0.84,2.07,-3.03,8.401,NYQ,EQUITY,GSBD,GSBD,"Goldman Sachs BDC, Inc.","Goldman Sachs BDC, Inc.",1426685400,America/New_York,EDT,-14400000,14.98,15.0,14.0,14.5,14.5,3.0,hold,4,42414000,0.387,1955014016,0.871,0.871,421180992,122.429,4.018,0.05953,0.05649,357452000,179952880,141076992,2.275,0.447,1.0,0.0,0.82719004,USD,
5,200 West Street,New York,NY,10282,United States,212 902 1000,212 357 5281,https://www.goldmansachsbdc.com/content/gsam/us/en/bdc/homepage.html,Asset Management,Financial Services,"Goldman Sachs BDC, Inc. is a business development company specializing in middle market and mezzanine investment in private companies. It seeks to make capital appreciation through direct originations of secured debt, senior secured debt, junior secured debt, including first lien, first lien/last-out unitranche and second lien debt, unsecured debt, including mezzanine debt and, to a lesser extent, investments in equities. The fund primarily invests in United States. It seeks to invest between $10 million and $75 million in companies with EBITDA between $5 million and $75 million annually.","{'maxAge': 1, 'name': 'Ms. Julien H. Yoo', 'age': 50, 'title': 'Chief Compliance Officer', 'yearBorn': 1972, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,14.84,14.83,14.81,14.99,14.84,14.83,14.81,14.99,1.8,0.121300004,1695859200,2.1429,10.25,1.227869,17.833334,7.236715,533431,533431,447803,435050,435050,14.88,15.0,1100,800,1641268608,12.75,16.92,3.896825,14.3308,14.30255,1.8,0.1212938,USD,3538522624,0.21343,109564000,1106005,1233608,1690761600,1693440000,0.0101,0.00118,0.30335,2.54,0.0101,14.588,1.0268713,1672444800,1703980800,1688083200,2.516,89895000,0.84,2.07,-3.03,8.401,NYQ,EQUITY,GSBD,GSBD,"Goldman Sachs BDC, Inc.","Goldman Sachs BDC, Inc.",1426685400,America/New_York,EDT,-14400000,14.98,15.0,14.0,14.5,14.5,3.0,hold,4,42414000,0.387,1955014016,0.871,0.871,421180992,122.429,4.018,0.05953,0.05649,357452000,179952880,141076992,2.275,0.447,1.0,0.0,0.82719004,USD,
6,200 West Street,New York,NY,10282,United States,212 902 1000,212 357 5281,https://www.goldmansachsbdc.com/content/gsam/us/en/bdc/homepage.html,Asset Management,Financial Services,"Goldman Sachs BDC, Inc. is a business development company specializing in middle market and mezzanine investment in private companies. It seeks to make capital appreciation through direct originations of secured debt, senior secured debt, junior secured debt, including first lien, first lien/last-out unitranche and second lien debt, unsecured debt, including mezzanine debt and, to a lesser extent, investments in equities. The fund primarily invests in United States. It seeks to invest between $10 million and $75 million in companies with EBITDA between $5 million and $75 million annually.","{'maxAge': 1, 'name': 'Ms. Caroline L. Kraus', 'age': 44, 'title': 'Chief Legal Officer & Sec.', 'yearBorn': 1978, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,14.84,14.83,14.81,14.99,14.84,14.83,14.81,14.99,1.8,0.121300004,1695859200,2.1429,10.25,1.227869,17.833334,7.236715,533431,533431,447803,435050,435050,14.88,15.0,1100,800,1641268608,12.75,16.92,3.896825,14.3308,14.30255,1.8,0.1212938,USD,3538522624,0.21343,109564000,1106005,1233608,1690761600,1693440000,0.0101,0.00118,0.30335,2.54,0.0101,14.588,1.0268713,1672444800,1703980800,1688083200,2.516,89895000,0.84,2.07,-3.03,8.401,NYQ,EQUITY,GSBD,GSBD,"Goldman Sachs BDC, Inc.","Goldman Sachs BDC, Inc.",1426685400,America/New_York,EDT,-14400000,14.98,15.0,14.0,14.5,14.5,3.0,hold,4,42414000,0.387,1955014016,0.871,0.871,421180992,122.429,4.018,0.05953,0.05649,357452000,179952880,141076992,2.275,0.447,1.0,0.0,0.82719004,USD,
7,200 West Street,New York,NY,10282,United States,212 902 1000,212 357 5281,https://www.goldmansachsbdc.com/content/gsam/us/en/bdc/homepage.html,Asset Management,Financial Services,"Goldman Sachs BDC, Inc. is a business development company specializing in middle market and mezzanine investment in private companies. It seeks to make capital appreciation through direct originations of secured debt, senior secured debt, junior secured debt, including first lien, first lien/last-out unitranche and second lien debt, unsecured debt, including mezzanine debt and, to a lesser extent, investments in equities. The fund primarily invests in United States. It seeks to invest between $10 million and $75 million in companies with EBITDA between $5 million and $75 million annually.","{'maxAge': 1, 'name': 'Mr. David  Yu', 'age': 40, 'title': 'Exec. VP & Head of Research', 'yearBorn': 1982, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,14.84,14.83,14.81,14.99,14.84,14.83,14.81,14.99,1.8,0.121300004,1695859200,2.1429,10.25,1.227869,17.833334,7.236715,533431,533431,447803,435050,435050,14.88,15.0,1100,800,1641268608,12.75,16.92,3.896825,14.3308,14.30255,1.8,0.1212938,USD,3538522624,0.21343,109564000,1106005,1233608,1690761600,1693440000,0.0101,0.00118,0.30335,2.54,0.0101,14.588,1.0268713,1672444800,1703980800,1688083200,2.516,89895000,0.84,2.07,-3.03,8.401,NYQ,EQUITY,GSBD,GSBD,"Goldman Sachs BDC, Inc.","Goldman Sachs BDC, Inc.",1426685400,America/New_York,EDT,-14400000,14.98,15.0,14.0,14.5,14.5,3.0,hold,4,42414000,0.387,1955014016,0.871,0.871,421180992,122.429,4.018,0.05953,0.05649,357452000,179952880,141076992,2.275,0.447,1.0,0.0,0.82719004,USD,
8,200 West Street,New York,NY,10282,United States,212 902 1000,212 357 5281,https://www.goldmansachsbdc.com/content/gsam/us/en/bdc/homepage.html,Asset Management,Financial Services,"Goldman Sachs BDC, Inc. is a business development company specializing in middle market and mezzanine investment in private companies. It seeks to make capital appreciation through direct originations of secured debt, senior secured debt, junior secured debt, including first lien, first lien/last-out unitranche and second lien debt, unsecured debt, including mezzanine debt and, to a lesser extent, investments in equities. The fund primarily invests in United States. It seeks to invest between $10 million and $75 million in companies with EBITDA between $5 million and $75 million annually.","{'maxAge': 1, 'name': 'Mr. Jordan  Walter', 'age': 41, 'title': 'Exec. VP', 'yearBorn': 1981, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,14.84,14.83,14.81,14.99,14.84,14.83,14.81,14.99,1.8,0.121300004,1695859200,2.1429,10.25,1.227869,17.833334,7.236715,533431,533431,447803,435050,435050,14.88,15.0,1100,800,1641268608,12.75,16.92,3.896825,14.3308,14.30255,1.8,0.1212938,USD,3538522624,0.21343,109564000,1106005,1233608,1690761600,1693440000,0.0101,0.00118,0.30335,2.54,0.0101,14.588,1.0268713,1672444800,1703980800,1688083200,2.516,89895000,0.84,2.07,-3.03,8.401,NYQ,EQUITY,GSBD,GSBD,"Goldman Sachs BDC, Inc.","Goldman Sachs BDC, Inc.",1426685400,America/New_York,EDT,-14400000,14.98,15.0,14.0,14.5,14.5,3.0,hold,4,42414000,0.387,1955014016,0.871,0.871,421180992,122.429,4.018,0.05953,0.05649,357452000,179952880,141076992,2.275,0.447,1.0,0.0,0.82719004,USD,
9,200 West Street,New York,NY,10282,United States,212 902 1000,212 357 5281,https://www.goldmansachsbdc.com/content/gsam/us/en/bdc/homepage.html,Asset Management,Financial Services,"Goldman Sachs BDC, Inc. is a business development company specializing in middle market and mezzanine investment in private companies. It seeks to make capital appreciation through direct originations of secured debt, senior secured debt, junior secured debt, including first lien, first lien/last-out unitranche and second lien debt, unsecured debt, including mezzanine debt and, to a lesser extent, investments in equities. The fund primarily invests in United States. It seeks to invest between $10 million and $75 million in companies with EBITDA between $5 million and $75 million annually.","{'maxAge': 1, 'name': 'Mr. Michael V. Mastropaolo', 'age': 43, 'title': 'Exec. VP', 'yearBorn': 1979, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,14.84,14.83,14.81,14.99,14.84,14.83,14.81,14.99,1.8,0.121300004,1695859200,2.1429,10.25,1.227869,17.833334,7.236715,533431,533431,447803,435050,435050,14.88,15.0,1100,800,1641268608,12.75,16.92,3.896825,14.3308,14.30255,1.8,0.1212938,USD,3538522624,0.21343,109564000,1106005,1233608,1690761600,1693440000,0.0101,0.00118,0.30335,2.54,0.0101,14.588,1.0268713,1672444800,1703980800,1688083200,2.516,89895000,0.84,2.07,-3.03,8.401,NYQ,EQUITY,GSBD,GSBD,"Goldman Sachs BDC, Inc.","Goldman Sachs BDC, Inc.",1426685400,America/New_York,EDT,-14400000,14.98,15.0,14.0,14.5,14.5,3.0,hold,4,42414000,0.387,1955014016,0.871,0.871,421180992,122.429,4.018,0.05953,0.05649,357452000,179952880,141076992,2.275,0.447,1.0,0.0,0.82719004,USD,
