,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,407 - 8th Avenue S.W.,Suite 500,Calgary,AB,T2P 1E5,Canada,403-266-6000,403-266-7381,https://www.calfrac.com,Oil & Gas Equipment & Services,Energy,"Calfrac Well Services Ltd., together with its subsidiaries, provides specialized oilfield services in Canada, the United States, and Argentina. It offers hydraulic fracturing, coiled tubing, cementing, and other well stimulation services, as well as pressure pumping services to oil and natural gas industries. Calfrac Well Services Ltd. was founded in 1999 and is headquartered in Calgary, Canada.",2270,"{'maxAge': 1, 'name': 'Mr. Ronald P. Mathison B.Com., B.Comm (Hon), C.F.A., CPA, CA, CBV, CFA', 'age': 65, 'title': 'Co-Founder & Chairman', 'yearBorn': 1957, 'fiscalYear': 2022, 'totalPay': 45169, 'exercisedValue': 0, 'unexercisedValue': 0}",8,10,5,5,8,1693526400,1672444800,86400,4,4.45,4.56,4.45,4.45,4.45,4.56,4.45,4.45,1451347200,0.0,1.9237,2.8709676,2,2,1670,1010,1010,0.0,0.0,0,0,359827872,2.74,5.7,0.19492608,3.9992,3.81715,0.0,0.0,USD,714511744,0.08722,42809109,80860200,0.47586,0.2352,6.22,0.7154341,1672444800,1703980800,1688083200,146952992,1.55,1:50,1609200000,0.387,2.352,PNK,EQUITY,CFWFF,CFWFF,CALFRAC WELL SERVICES LTD,Calfrac Well Services Ltd.,1214314200,America/New_York,EDT,-14400000,4.45,none,2122000,0.026,303846016,356804992,1.68,2.463,1845970944,70.945,28.917,0.119849995,0.36949003,146129000,-65196752,141676992,0.465,0.14372,0.16459998,0.10465,CAD,
1,407 - 8th Avenue S.W.,Suite 500,Calgary,AB,T2P 1E5,Canada,403-266-6000,403-266-7381,https://www.calfrac.com,Oil & Gas Equipment & Services,Energy,"Calfrac Well Services Ltd., together with its subsidiaries, provides specialized oilfield services in Canada, the United States, and Argentina. It offers hydraulic fracturing, coiled tubing, cementing, and other well stimulation services, as well as pressure pumping services to oil and natural gas industries. Calfrac Well Services Ltd. was founded in 1999 and is headquartered in Calgary, Canada.",2270,"{'maxAge': 1, 'name': 'Mr. Patrick G. Powell', 'age': 65, 'title': 'CEO & Director', 'yearBorn': 1957, 'fiscalYear': 2022, 'totalPay': 1042974, 'exercisedValue': 0, 'unexercisedValue': 0}",8,10,5,5,8,1693526400,1672444800,86400,4,4.45,4.56,4.45,4.45,4.45,4.56,4.45,4.45,1451347200,0.0,1.9237,2.8709676,2,2,1670,1010,1010,0.0,0.0,0,0,359827872,2.74,5.7,0.19492608,3.9992,3.81715,0.0,0.0,USD,714511744,0.08722,42809109,80860200,0.47586,0.2352,6.22,0.7154341,1672444800,1703980800,1688083200,146952992,1.55,1:50,1609200000,0.387,2.352,PNK,EQUITY,CFWFF,CFWFF,CALFRAC WELL SERVICES LTD,Calfrac Well Services Ltd.,1214314200,America/New_York,EDT,-14400000,4.45,none,2122000,0.026,303846016,356804992,1.68,2.463,1845970944,70.945,28.917,0.119849995,0.36949003,146129000,-65196752,141676992,0.465,0.14372,0.16459998,0.10465,CAD,
2,407 - 8th Avenue S.W.,Suite 500,Calgary,AB,T2P 1E5,Canada,403-266-6000,403-266-7381,https://www.calfrac.com,Oil & Gas Equipment & Services,Energy,"Calfrac Well Services Ltd., together with its subsidiaries, provides specialized oilfield services in Canada, the United States, and Argentina. It offers hydraulic fracturing, coiled tubing, cementing, and other well stimulation services, as well as pressure pumping services to oil and natural gas industries. Calfrac Well Services Ltd. was founded in 1999 and is headquartered in Calgary, Canada.",2270,"{'maxAge': 1, 'name': 'Mr. Douglas Robert Ramsay', 'age': 66, 'title': 'Co-Founder & Independent Vice Chairman', 'yearBorn': 1956, 'fiscalYear': 2022, 'totalPay': 96922, 'exercisedValue': 0, 'unexercisedValue': 0}",8,10,5,5,8,1693526400,1672444800,86400,4,4.45,4.56,4.45,4.45,4.45,4.56,4.45,4.45,1451347200,0.0,1.9237,2.8709676,2,2,1670,1010,1010,0.0,0.0,0,0,359827872,2.74,5.7,0.19492608,3.9992,3.81715,0.0,0.0,USD,714511744,0.08722,42809109,80860200,0.47586,0.2352,6.22,0.7154341,1672444800,1703980800,1688083200,146952992,1.55,1:50,1609200000,0.387,2.352,PNK,EQUITY,CFWFF,CFWFF,CALFRAC WELL SERVICES LTD,Calfrac Well Services Ltd.,1214314200,America/New_York,EDT,-14400000,4.45,none,2122000,0.026,303846016,356804992,1.68,2.463,1845970944,70.945,28.917,0.119849995,0.36949003,146129000,-65196752,141676992,0.465,0.14372,0.16459998,0.10465,CAD,
3,407 - 8th Avenue S.W.,Suite 500,Calgary,AB,T2P 1E5,Canada,403-266-6000,403-266-7381,https://www.calfrac.com,Oil & Gas Equipment & Services,Energy,"Calfrac Well Services Ltd., together with its subsidiaries, provides specialized oilfield services in Canada, the United States, and Argentina. It offers hydraulic fracturing, coiled tubing, cementing, and other well stimulation services, as well as pressure pumping services to oil and natural gas industries. Calfrac Well Services Ltd. was founded in 1999 and is headquartered in Calgary, Canada.",2270,"{'maxAge': 1, 'name': 'Mr. Michael D. Olinek', 'title': 'Chief Financial Officer', 'fiscalYear': 2022, 'totalPay': 624092, 'exercisedValue': 0, 'unexercisedValue': 0}",8,10,5,5,8,1693526400,1672444800,86400,4,4.45,4.56,4.45,4.45,4.45,4.56,4.45,4.45,1451347200,0.0,1.9237,2.8709676,2,2,1670,1010,1010,0.0,0.0,0,0,359827872,2.74,5.7,0.19492608,3.9992,3.81715,0.0,0.0,USD,714511744,0.08722,42809109,80860200,0.47586,0.2352,6.22,0.7154341,1672444800,1703980800,1688083200,146952992,1.55,1:50,1609200000,0.387,2.352,PNK,EQUITY,CFWFF,CFWFF,CALFRAC WELL SERVICES LTD,Calfrac Well Services Ltd.,1214314200,America/New_York,EDT,-14400000,4.45,none,2122000,0.026,303846016,356804992,1.68,2.463,1845970944,70.945,28.917,0.119849995,0.36949003,146129000,-65196752,141676992,0.465,0.14372,0.16459998,0.10465,CAD,
4,407 - 8th Avenue S.W.,Suite 500,Calgary,AB,T2P 1E5,Canada,403-266-6000,403-266-7381,https://www.calfrac.com,Oil & Gas Equipment & Services,Energy,"Calfrac Well Services Ltd., together with its subsidiaries, provides specialized oilfield services in Canada, the United States, and Argentina. It offers hydraulic fracturing, coiled tubing, cementing, and other well stimulation services, as well as pressure pumping services to oil and natural gas industries. Calfrac Well Services Ltd. was founded in 1999 and is headquartered in Calgary, Canada.",2270,"{'maxAge': 1, 'name': 'Mr. Mark Douglas Rosen', 'title': 'Pres of United States Operations', 'fiscalYear': 2022, 'totalPay': 622902, 'exercisedValue': 0, 'unexercisedValue': 0}",8,10,5,5,8,1693526400,1672444800,86400,4,4.45,4.56,4.45,4.45,4.45,4.56,4.45,4.45,1451347200,0.0,1.9237,2.8709676,2,2,1670,1010,1010,0.0,0.0,0,0,359827872,2.74,5.7,0.19492608,3.9992,3.81715,0.0,0.0,USD,714511744,0.08722,42809109,80860200,0.47586,0.2352,6.22,0.7154341,1672444800,1703980800,1688083200,146952992,1.55,1:50,1609200000,0.387,2.352,PNK,EQUITY,CFWFF,CFWFF,CALFRAC WELL SERVICES LTD,Calfrac Well Services Ltd.,1214314200,America/New_York,EDT,-14400000,4.45,none,2122000,0.026,303846016,356804992,1.68,2.463,1845970944,70.945,28.917,0.119849995,0.36949003,146129000,-65196752,141676992,0.465,0.14372,0.16459998,0.10465,CAD,
5,407 - 8th Avenue S.W.,Suite 500,Calgary,AB,T2P 1E5,Canada,403-266-6000,403-266-7381,https://www.calfrac.com,Oil & Gas Equipment & Services,Energy,"Calfrac Well Services Ltd., together with its subsidiaries, provides specialized oilfield services in Canada, the United States, and Argentina. It offers hydraulic fracturing, coiled tubing, cementing, and other well stimulation services, as well as pressure pumping services to oil and natural gas industries. Calfrac Well Services Ltd. was founded in 1999 and is headquartered in Calgary, Canada.",2270,"{'maxAge': 1, 'name': 'Mr. James Michael Brown', 'title': 'VP of Technical Services', 'fiscalYear': 2021, 'exercisedValue': 0, 'unexercisedValue': 0}",8,10,5,5,8,1693526400,1672444800,86400,4,4.45,4.56,4.45,4.45,4.45,4.56,4.45,4.45,1451347200,0.0,1.9237,2.8709676,2,2,1670,1010,1010,0.0,0.0,0,0,359827872,2.74,5.7,0.19492608,3.9992,3.81715,0.0,0.0,USD,714511744,0.08722,42809109,80860200,0.47586,0.2352,6.22,0.7154341,1672444800,1703980800,1688083200,146952992,1.55,1:50,1609200000,0.387,2.352,PNK,EQUITY,CFWFF,CFWFF,CALFRAC WELL SERVICES LTD,Calfrac Well Services Ltd.,1214314200,America/New_York,EDT,-14400000,4.45,none,2122000,0.026,303846016,356804992,1.68,2.463,1845970944,70.945,28.917,0.119849995,0.36949003,146129000,-65196752,141676992,0.465,0.14372,0.16459998,0.10465,CAD,
6,407 - 8th Avenue S.W.,Suite 500,Calgary,AB,T2P 1E5,Canada,403-266-6000,403-266-7381,https://www.calfrac.com,Oil & Gas Equipment & Services,Energy,"Calfrac Well Services Ltd., together with its subsidiaries, provides specialized oilfield services in Canada, the United States, and Argentina. It offers hydraulic fracturing, coiled tubing, cementing, and other well stimulation services, as well as pressure pumping services to oil and natural gas industries. Calfrac Well Services Ltd. was founded in 1999 and is headquartered in Calgary, Canada.",2270,"{'maxAge': 1, 'name': 'Jeffrey Irwin Ellis', 'title': 'Gen. Counsel & Corp. Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",8,10,5,5,8,1693526400,1672444800,86400,4,4.45,4.56,4.45,4.45,4.45,4.56,4.45,4.45,1451347200,0.0,1.9237,2.8709676,2,2,1670,1010,1010,0.0,0.0,0,0,359827872,2.74,5.7,0.19492608,3.9992,3.81715,0.0,0.0,USD,714511744,0.08722,42809109,80860200,0.47586,0.2352,6.22,0.7154341,1672444800,1703980800,1688083200,146952992,1.55,1:50,1609200000,0.387,2.352,PNK,EQUITY,CFWFF,CFWFF,CALFRAC WELL SERVICES LTD,Calfrac Well Services Ltd.,1214314200,America/New_York,EDT,-14400000,4.45,none,2122000,0.026,303846016,356804992,1.68,2.463,1845970944,70.945,28.917,0.119849995,0.36949003,146129000,-65196752,141676992,0.465,0.14372,0.16459998,0.10465,CAD,
7,407 - 8th Avenue S.W.,Suite 500,Calgary,AB,T2P 1E5,Canada,403-266-6000,403-266-7381,https://www.calfrac.com,Oil & Gas Equipment & Services,Energy,"Calfrac Well Services Ltd., together with its subsidiaries, provides specialized oilfield services in Canada, the United States, and Argentina. It offers hydraulic fracturing, coiled tubing, cementing, and other well stimulation services, as well as pressure pumping services to oil and natural gas industries. Calfrac Well Services Ltd. was founded in 1999 and is headquartered in Calgary, Canada.",2270,"{'maxAge': 1, 'name': 'Brent W. Merchant', 'title': 'VP of Sales & Marketing', 'exercisedValue': 0, 'unexercisedValue': 0}",8,10,5,5,8,1693526400,1672444800,86400,4,4.45,4.56,4.45,4.45,4.45,4.56,4.45,4.45,1451347200,0.0,1.9237,2.8709676,2,2,1670,1010,1010,0.0,0.0,0,0,359827872,2.74,5.7,0.19492608,3.9992,3.81715,0.0,0.0,USD,714511744,0.08722,42809109,80860200,0.47586,0.2352,6.22,0.7154341,1672444800,1703980800,1688083200,146952992,1.55,1:50,1609200000,0.387,2.352,PNK,EQUITY,CFWFF,CFWFF,CALFRAC WELL SERVICES LTD,Calfrac Well Services Ltd.,1214314200,America/New_York,EDT,-14400000,4.45,none,2122000,0.026,303846016,356804992,1.68,2.463,1845970944,70.945,28.917,0.119849995,0.36949003,146129000,-65196752,141676992,0.465,0.14372,0.16459998,0.10465,CAD,
8,407 - 8th Avenue S.W.,Suite 500,Calgary,AB,T2P 1E5,Canada,403-266-6000,403-266-7381,https://www.calfrac.com,Oil & Gas Equipment & Services,Energy,"Calfrac Well Services Ltd., together with its subsidiaries, provides specialized oilfield services in Canada, the United States, and Argentina. It offers hydraulic fracturing, coiled tubing, cementing, and other well stimulation services, as well as pressure pumping services to oil and natural gas industries. Calfrac Well Services Ltd. was founded in 1999 and is headquartered in Calgary, Canada.",2270,"{'maxAge': 1, 'name': 'Jon  Koop', 'title': 'VP of HR', 'exercisedValue': 0, 'unexercisedValue': 0}",8,10,5,5,8,1693526400,1672444800,86400,4,4.45,4.56,4.45,4.45,4.45,4.56,4.45,4.45,1451347200,0.0,1.9237,2.8709676,2,2,1670,1010,1010,0.0,0.0,0,0,359827872,2.74,5.7,0.19492608,3.9992,3.81715,0.0,0.0,USD,714511744,0.08722,42809109,80860200,0.47586,0.2352,6.22,0.7154341,1672444800,1703980800,1688083200,146952992,1.55,1:50,1609200000,0.387,2.352,PNK,EQUITY,CFWFF,CFWFF,CALFRAC WELL SERVICES LTD,Calfrac Well Services Ltd.,1214314200,America/New_York,EDT,-14400000,4.45,none,2122000,0.026,303846016,356804992,1.68,2.463,1845970944,70.945,28.917,0.119849995,0.36949003,146129000,-65196752,141676992,0.465,0.14372,0.16459998,0.10465,CAD,
9,407 - 8th Avenue S.W.,Suite 500,Calgary,AB,T2P 1E5,Canada,403-266-6000,403-266-7381,https://www.calfrac.com,Oil & Gas Equipment & Services,Energy,"Calfrac Well Services Ltd., together with its subsidiaries, provides specialized oilfield services in Canada, the United States, and Argentina. It offers hydraulic fracturing, coiled tubing, cementing, and other well stimulation services, as well as pressure pumping services to oil and natural gas industries. Calfrac Well Services Ltd. was founded in 1999 and is headquartered in Calgary, Canada.",2270,"{'maxAge': 1, 'name': 'Mr. Gordon Troy Milgate', 'title': 'Pres of Canadian Operations', 'exercisedValue': 0, 'unexercisedValue': 0}",8,10,5,5,8,1693526400,1672444800,86400,4,4.45,4.56,4.45,4.45,4.45,4.56,4.45,4.45,1451347200,0.0,1.9237,2.8709676,2,2,1670,1010,1010,0.0,0.0,0,0,359827872,2.74,5.7,0.19492608,3.9992,3.81715,0.0,0.0,USD,714511744,0.08722,42809109,80860200,0.47586,0.2352,6.22,0.7154341,1672444800,1703980800,1688083200,146952992,1.55,1:50,1609200000,0.387,2.352,PNK,EQUITY,CFWFF,CFWFF,CALFRAC WELL SERVICES LTD,Calfrac Well Services Ltd.,1214314200,America/New_York,EDT,-14400000,4.45,none,2122000,0.026,303846016,356804992,1.68,2.463,1845970944,70.945,28.917,0.119849995,0.36949003,146129000,-65196752,141676992,0.465,0.14372,0.16459998,0.10465,CAD,
