,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,650 From Road,Suite 375,Paramus,NJ,07652-3556,United States,201 267 8000,https://www.movadogroup.com,Luxury Goods,Consumer Cyclical,"Movado Group, Inc. designs, sources, markets, and distributes watches worldwide. The company operates in two segments, Watch and Accessory Brands, and Company Stores. It offers its watches under the Movado, Concord, Ebel, Olivia Burton, and MVMT brands, as well as licensed brands, such as Coach, Tommy Hilfiger, HUGO BOSS, Lacoste, and Calvin Klein. The company also provides after-sales and shipping services. Its customers include jewelry store chains, department stores, independent regional jewelers, network of independent distributors, online marketplaces, licensors' retail stores, and third-party e-commerce retailers. The company also sells directly to consumers through its e-commerce platforms. Movado Group, Inc. was formerly known as North American Watch Corporation and changed its name to Movado Group, Inc. in 1996. The company was founded in 1961 and is based in Paramus, New Jersey.",992,"{'maxAge': 1, 'name': 'Mr. Efraim  Grinberg', 'age': 64, 'title': 'Chairman & CEO', 'yearBorn': 1958, 'fiscalYear': 2023, 'totalPay': 3187877, 'exercisedValue': 0, 'unexercisedValue': 0}",5,6,6,10,8,1693526400,1703980800,86400,2,27.19,27.28,26.63,27.55,27.19,27.28,26.63,27.55,1.4,0.052199997,1693958400,0.45900002,3.18,1.242392,8.793443,7.152,508645,508645,125506,190550,190550,26.57,27.0,1300,800,593961088,23.94,37.28,0.83542943,27.4222,29.4697,1.4,0.051489517,USD,458416800,0.097320005,16044471,15663100,489680,578230,1690761600,1693440000,0.0221,0.02724,0.96607,4.45,0.0448,22.613,1.1860434,1675123200,1706659200,1690761600,-0.665,69189000,3.05,3.75,0.81,2:1,1088380800,0.645,4.873,NYQ,EQUITY,MOV,MOV,Movado Group Inc.,"Movado Group, Inc.",749395800,America/New_York,EDT,-14400000,26.82,32.0,32.0,32.0,32.0,3.0,hold,1,219292000,9.902,94079000,80634000,2.696,4.391,710964992,16.002,31.925,0.0704,0.14472,54294876,88959000,-0.657,-0.123,0.56483,0.13232,0.12007,USD,
1,650 From Road,Suite 375,Paramus,NJ,07652-3556,United States,201 267 8000,https://www.movadogroup.com,Luxury Goods,Consumer Cyclical,"Movado Group, Inc. designs, sources, markets, and distributes watches worldwide. The company operates in two segments, Watch and Accessory Brands, and Company Stores. It offers its watches under the Movado, Concord, Ebel, Olivia Burton, and MVMT brands, as well as licensed brands, such as Coach, Tommy Hilfiger, HUGO BOSS, Lacoste, and Calvin Klein. The company also provides after-sales and shipping services. Its customers include jewelry store chains, department stores, independent regional jewelers, network of independent distributors, online marketplaces, licensors' retail stores, and third-party e-commerce retailers. The company also sells directly to consumers through its e-commerce platforms. Movado Group, Inc. was formerly known as North American Watch Corporation and changed its name to Movado Group, Inc. in 1996. The company was founded in 1961 and is based in Paramus, New Jersey.",992,"{'maxAge': 1, 'name': 'Ms. Sallie A. DeMarsilis', 'age': 57, 'title': 'Exec. VP, COO & CFO', 'yearBorn': 1965, 'fiscalYear': 2023, 'totalPay': 1157608, 'exercisedValue': 0, 'unexercisedValue': 293576}",5,6,6,10,8,1693526400,1703980800,86400,2,27.19,27.28,26.63,27.55,27.19,27.28,26.63,27.55,1.4,0.052199997,1693958400,0.45900002,3.18,1.242392,8.793443,7.152,508645,508645,125506,190550,190550,26.57,27.0,1300,800,593961088,23.94,37.28,0.83542943,27.4222,29.4697,1.4,0.051489517,USD,458416800,0.097320005,16044471,15663100,489680,578230,1690761600,1693440000,0.0221,0.02724,0.96607,4.45,0.0448,22.613,1.1860434,1675123200,1706659200,1690761600,-0.665,69189000,3.05,3.75,0.81,2:1,1088380800,0.645,4.873,NYQ,EQUITY,MOV,MOV,Movado Group Inc.,"Movado Group, Inc.",749395800,America/New_York,EDT,-14400000,26.82,32.0,32.0,32.0,32.0,3.0,hold,1,219292000,9.902,94079000,80634000,2.696,4.391,710964992,16.002,31.925,0.0704,0.14472,54294876,88959000,-0.657,-0.123,0.56483,0.13232,0.12007,USD,
2,650 From Road,Suite 375,Paramus,NJ,07652-3556,United States,201 267 8000,https://www.movadogroup.com,Luxury Goods,Consumer Cyclical,"Movado Group, Inc. designs, sources, markets, and distributes watches worldwide. The company operates in two segments, Watch and Accessory Brands, and Company Stores. It offers its watches under the Movado, Concord, Ebel, Olivia Burton, and MVMT brands, as well as licensed brands, such as Coach, Tommy Hilfiger, HUGO BOSS, Lacoste, and Calvin Klein. The company also provides after-sales and shipping services. Its customers include jewelry store chains, department stores, independent regional jewelers, network of independent distributors, online marketplaces, licensors' retail stores, and third-party e-commerce retailers. The company also sells directly to consumers through its e-commerce platforms. Movado Group, Inc. was formerly known as North American Watch Corporation and changed its name to Movado Group, Inc. in 1996. The company was founded in 1961 and is based in Paramus, New Jersey.",992,"{'maxAge': 1, 'name': 'Mr. Behzad  Soltani', 'age': 50, 'title': 'Exec. VP, Commercial Pres & Chief Technology Officer', 'yearBorn': 1972, 'fiscalYear': 2023, 'totalPay': 1032754, 'exercisedValue': 0, 'unexercisedValue': 0}",5,6,6,10,8,1693526400,1703980800,86400,2,27.19,27.28,26.63,27.55,27.19,27.28,26.63,27.55,1.4,0.052199997,1693958400,0.45900002,3.18,1.242392,8.793443,7.152,508645,508645,125506,190550,190550,26.57,27.0,1300,800,593961088,23.94,37.28,0.83542943,27.4222,29.4697,1.4,0.051489517,USD,458416800,0.097320005,16044471,15663100,489680,578230,1690761600,1693440000,0.0221,0.02724,0.96607,4.45,0.0448,22.613,1.1860434,1675123200,1706659200,1690761600,-0.665,69189000,3.05,3.75,0.81,2:1,1088380800,0.645,4.873,NYQ,EQUITY,MOV,MOV,Movado Group Inc.,"Movado Group, Inc.",749395800,America/New_York,EDT,-14400000,26.82,32.0,32.0,32.0,32.0,3.0,hold,1,219292000,9.902,94079000,80634000,2.696,4.391,710964992,16.002,31.925,0.0704,0.14472,54294876,88959000,-0.657,-0.123,0.56483,0.13232,0.12007,USD,
3,650 From Road,Suite 375,Paramus,NJ,07652-3556,United States,201 267 8000,https://www.movadogroup.com,Luxury Goods,Consumer Cyclical,"Movado Group, Inc. designs, sources, markets, and distributes watches worldwide. The company operates in two segments, Watch and Accessory Brands, and Company Stores. It offers its watches under the Movado, Concord, Ebel, Olivia Burton, and MVMT brands, as well as licensed brands, such as Coach, Tommy Hilfiger, HUGO BOSS, Lacoste, and Calvin Klein. The company also provides after-sales and shipping services. Its customers include jewelry store chains, department stores, independent regional jewelers, network of independent distributors, online marketplaces, licensors' retail stores, and third-party e-commerce retailers. The company also sells directly to consumers through its e-commerce platforms. Movado Group, Inc. was formerly known as North American Watch Corporation and changed its name to Movado Group, Inc. in 1996. The company was founded in 1961 and is based in Paramus, New Jersey.",992,"{'maxAge': 1, 'name': 'Mr. Mitchell C. Sussis', 'age': 57, 'title': 'Sr. VP, Gen. Counsel & Sec.', 'yearBorn': 1965, 'fiscalYear': 2023, 'totalPay': 598185, 'exercisedValue': 0, 'unexercisedValue': 120003}",5,6,6,10,8,1693526400,1703980800,86400,2,27.19,27.28,26.63,27.55,27.19,27.28,26.63,27.55,1.4,0.052199997,1693958400,0.45900002,3.18,1.242392,8.793443,7.152,508645,508645,125506,190550,190550,26.57,27.0,1300,800,593961088,23.94,37.28,0.83542943,27.4222,29.4697,1.4,0.051489517,USD,458416800,0.097320005,16044471,15663100,489680,578230,1690761600,1693440000,0.0221,0.02724,0.96607,4.45,0.0448,22.613,1.1860434,1675123200,1706659200,1690761600,-0.665,69189000,3.05,3.75,0.81,2:1,1088380800,0.645,4.873,NYQ,EQUITY,MOV,MOV,Movado Group Inc.,"Movado Group, Inc.",749395800,America/New_York,EDT,-14400000,26.82,32.0,32.0,32.0,32.0,3.0,hold,1,219292000,9.902,94079000,80634000,2.696,4.391,710964992,16.002,31.925,0.0704,0.14472,54294876,88959000,-0.657,-0.123,0.56483,0.13232,0.12007,USD,
4,650 From Road,Suite 375,Paramus,NJ,07652-3556,United States,201 267 8000,https://www.movadogroup.com,Luxury Goods,Consumer Cyclical,"Movado Group, Inc. designs, sources, markets, and distributes watches worldwide. The company operates in two segments, Watch and Accessory Brands, and Company Stores. It offers its watches under the Movado, Concord, Ebel, Olivia Burton, and MVMT brands, as well as licensed brands, such as Coach, Tommy Hilfiger, HUGO BOSS, Lacoste, and Calvin Klein. The company also provides after-sales and shipping services. Its customers include jewelry store chains, department stores, independent regional jewelers, network of independent distributors, online marketplaces, licensors' retail stores, and third-party e-commerce retailers. The company also sells directly to consumers through its e-commerce platforms. Movado Group, Inc. was formerly known as North American Watch Corporation and changed its name to Movado Group, Inc. in 1996. The company was founded in 1961 and is based in Paramus, New Jersey.",992,"{'maxAge': 1, 'name': 'Linda  Feeney', 'title': 'Sr. VP & Principal Accounting Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",5,6,6,10,8,1693526400,1703980800,86400,2,27.19,27.28,26.63,27.55,27.19,27.28,26.63,27.55,1.4,0.052199997,1693958400,0.45900002,3.18,1.242392,8.793443,7.152,508645,508645,125506,190550,190550,26.57,27.0,1300,800,593961088,23.94,37.28,0.83542943,27.4222,29.4697,1.4,0.051489517,USD,458416800,0.097320005,16044471,15663100,489680,578230,1690761600,1693440000,0.0221,0.02724,0.96607,4.45,0.0448,22.613,1.1860434,1675123200,1706659200,1690761600,-0.665,69189000,3.05,3.75,0.81,2:1,1088380800,0.645,4.873,NYQ,EQUITY,MOV,MOV,Movado Group Inc.,"Movado Group, Inc.",749395800,America/New_York,EDT,-14400000,26.82,32.0,32.0,32.0,32.0,3.0,hold,1,219292000,9.902,94079000,80634000,2.696,4.391,710964992,16.002,31.925,0.0704,0.14472,54294876,88959000,-0.657,-0.123,0.56483,0.13232,0.12007,USD,
5,650 From Road,Suite 375,Paramus,NJ,07652-3556,United States,201 267 8000,https://www.movadogroup.com,Luxury Goods,Consumer Cyclical,"Movado Group, Inc. designs, sources, markets, and distributes watches worldwide. The company operates in two segments, Watch and Accessory Brands, and Company Stores. It offers its watches under the Movado, Concord, Ebel, Olivia Burton, and MVMT brands, as well as licensed brands, such as Coach, Tommy Hilfiger, HUGO BOSS, Lacoste, and Calvin Klein. The company also provides after-sales and shipping services. Its customers include jewelry store chains, department stores, independent regional jewelers, network of independent distributors, online marketplaces, licensors' retail stores, and third-party e-commerce retailers. The company also sells directly to consumers through its e-commerce platforms. Movado Group, Inc. was formerly known as North American Watch Corporation and changed its name to Movado Group, Inc. in 1996. The company was founded in 1961 and is based in Paramus, New Jersey.",992,"{'maxAge': 1, 'name': 'Mr. Stephane  Gerschel', 'title': 'Chief Marketing Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",5,6,6,10,8,1693526400,1703980800,86400,2,27.19,27.28,26.63,27.55,27.19,27.28,26.63,27.55,1.4,0.052199997,1693958400,0.45900002,3.18,1.242392,8.793443,7.152,508645,508645,125506,190550,190550,26.57,27.0,1300,800,593961088,23.94,37.28,0.83542943,27.4222,29.4697,1.4,0.051489517,USD,458416800,0.097320005,16044471,15663100,489680,578230,1690761600,1693440000,0.0221,0.02724,0.96607,4.45,0.0448,22.613,1.1860434,1675123200,1706659200,1690761600,-0.665,69189000,3.05,3.75,0.81,2:1,1088380800,0.645,4.873,NYQ,EQUITY,MOV,MOV,Movado Group Inc.,"Movado Group, Inc.",749395800,America/New_York,EDT,-14400000,26.82,32.0,32.0,32.0,32.0,3.0,hold,1,219292000,9.902,94079000,80634000,2.696,4.391,710964992,16.002,31.925,0.0704,0.14472,54294876,88959000,-0.657,-0.123,0.56483,0.13232,0.12007,USD,
6,650 From Road,Suite 375,Paramus,NJ,07652-3556,United States,201 267 8000,https://www.movadogroup.com,Luxury Goods,Consumer Cyclical,"Movado Group, Inc. designs, sources, markets, and distributes watches worldwide. The company operates in two segments, Watch and Accessory Brands, and Company Stores. It offers its watches under the Movado, Concord, Ebel, Olivia Burton, and MVMT brands, as well as licensed brands, such as Coach, Tommy Hilfiger, HUGO BOSS, Lacoste, and Calvin Klein. The company also provides after-sales and shipping services. Its customers include jewelry store chains, department stores, independent regional jewelers, network of independent distributors, online marketplaces, licensors' retail stores, and third-party e-commerce retailers. The company also sells directly to consumers through its e-commerce platforms. Movado Group, Inc. was formerly known as North American Watch Corporation and changed its name to Movado Group, Inc. in 1996. The company was founded in 1961 and is based in Paramus, New Jersey.",992,"{'maxAge': 1, 'name': 'Ms. Michelle  Kennedy', 'title': 'Sr. VP of HR', 'exercisedValue': 0, 'unexercisedValue': 0}",5,6,6,10,8,1693526400,1703980800,86400,2,27.19,27.28,26.63,27.55,27.19,27.28,26.63,27.55,1.4,0.052199997,1693958400,0.45900002,3.18,1.242392,8.793443,7.152,508645,508645,125506,190550,190550,26.57,27.0,1300,800,593961088,23.94,37.28,0.83542943,27.4222,29.4697,1.4,0.051489517,USD,458416800,0.097320005,16044471,15663100,489680,578230,1690761600,1693440000,0.0221,0.02724,0.96607,4.45,0.0448,22.613,1.1860434,1675123200,1706659200,1690761600,-0.665,69189000,3.05,3.75,0.81,2:1,1088380800,0.645,4.873,NYQ,EQUITY,MOV,MOV,Movado Group Inc.,"Movado Group, Inc.",749395800,America/New_York,EDT,-14400000,26.82,32.0,32.0,32.0,32.0,3.0,hold,1,219292000,9.902,94079000,80634000,2.696,4.391,710964992,16.002,31.925,0.0704,0.14472,54294876,88959000,-0.657,-0.123,0.56483,0.13232,0.12007,USD,
7,650 From Road,Suite 375,Paramus,NJ,07652-3556,United States,201 267 8000,https://www.movadogroup.com,Luxury Goods,Consumer Cyclical,"Movado Group, Inc. designs, sources, markets, and distributes watches worldwide. The company operates in two segments, Watch and Accessory Brands, and Company Stores. It offers its watches under the Movado, Concord, Ebel, Olivia Burton, and MVMT brands, as well as licensed brands, such as Coach, Tommy Hilfiger, HUGO BOSS, Lacoste, and Calvin Klein. The company also provides after-sales and shipping services. Its customers include jewelry store chains, department stores, independent regional jewelers, network of independent distributors, online marketplaces, licensors' retail stores, and third-party e-commerce retailers. The company also sells directly to consumers through its e-commerce platforms. Movado Group, Inc. was formerly known as North American Watch Corporation and changed its name to Movado Group, Inc. in 1996. The company was founded in 1961 and is based in Paramus, New Jersey.",992,"{'maxAge': 1, 'name': 'Mr. Alexander  Grinberg', 'age': 59, 'title': 'Sr. VP of Customer Experience & Director', 'yearBorn': 1963, 'exercisedValue': 0, 'unexercisedValue': 0}",5,6,6,10,8,1693526400,1703980800,86400,2,27.19,27.28,26.63,27.55,27.19,27.28,26.63,27.55,1.4,0.052199997,1693958400,0.45900002,3.18,1.242392,8.793443,7.152,508645,508645,125506,190550,190550,26.57,27.0,1300,800,593961088,23.94,37.28,0.83542943,27.4222,29.4697,1.4,0.051489517,USD,458416800,0.097320005,16044471,15663100,489680,578230,1690761600,1693440000,0.0221,0.02724,0.96607,4.45,0.0448,22.613,1.1860434,1675123200,1706659200,1690761600,-0.665,69189000,3.05,3.75,0.81,2:1,1088380800,0.645,4.873,NYQ,EQUITY,MOV,MOV,Movado Group Inc.,"Movado Group, Inc.",749395800,America/New_York,EDT,-14400000,26.82,32.0,32.0,32.0,32.0,3.0,hold,1,219292000,9.902,94079000,80634000,2.696,4.391,710964992,16.002,31.925,0.0704,0.14472,54294876,88959000,-0.657,-0.123,0.56483,0.13232,0.12007,USD,
8,650 From Road,Suite 375,Paramus,NJ,07652-3556,United States,201 267 8000,https://www.movadogroup.com,Luxury Goods,Consumer Cyclical,"Movado Group, Inc. designs, sources, markets, and distributes watches worldwide. The company operates in two segments, Watch and Accessory Brands, and Company Stores. It offers its watches under the Movado, Concord, Ebel, Olivia Burton, and MVMT brands, as well as licensed brands, such as Coach, Tommy Hilfiger, HUGO BOSS, Lacoste, and Calvin Klein. The company also provides after-sales and shipping services. Its customers include jewelry store chains, department stores, independent regional jewelers, network of independent distributors, online marketplaces, licensors' retail stores, and third-party e-commerce retailers. The company also sells directly to consumers through its e-commerce platforms. Movado Group, Inc. was formerly known as North American Watch Corporation and changed its name to Movado Group, Inc. in 1996. The company was founded in 1961 and is based in Paramus, New Jersey.",992,"{'maxAge': 1, 'name': 'Ms. Margot  Grinberg', 'title': 'Pres of the Movado Brand & Sr. VP of E-Commerce', 'exercisedValue': 0, 'unexercisedValue': 0}",5,6,6,10,8,1693526400,1703980800,86400,2,27.19,27.28,26.63,27.55,27.19,27.28,26.63,27.55,1.4,0.052199997,1693958400,0.45900002,3.18,1.242392,8.793443,7.152,508645,508645,125506,190550,190550,26.57,27.0,1300,800,593961088,23.94,37.28,0.83542943,27.4222,29.4697,1.4,0.051489517,USD,458416800,0.097320005,16044471,15663100,489680,578230,1690761600,1693440000,0.0221,0.02724,0.96607,4.45,0.0448,22.613,1.1860434,1675123200,1706659200,1690761600,-0.665,69189000,3.05,3.75,0.81,2:1,1088380800,0.645,4.873,NYQ,EQUITY,MOV,MOV,Movado Group Inc.,"Movado Group, Inc.",749395800,America/New_York,EDT,-14400000,26.82,32.0,32.0,32.0,32.0,3.0,hold,1,219292000,9.902,94079000,80634000,2.696,4.391,710964992,16.002,31.925,0.0704,0.14472,54294876,88959000,-0.657,-0.123,0.56483,0.13232,0.12007,USD,
9,650 From Road,Suite 375,Paramus,NJ,07652-3556,United States,201 267 8000,https://www.movadogroup.com,Luxury Goods,Consumer Cyclical,"Movado Group, Inc. designs, sources, markets, and distributes watches worldwide. The company operates in two segments, Watch and Accessory Brands, and Company Stores. It offers its watches under the Movado, Concord, Ebel, Olivia Burton, and MVMT brands, as well as licensed brands, such as Coach, Tommy Hilfiger, HUGO BOSS, Lacoste, and Calvin Klein. The company also provides after-sales and shipping services. Its customers include jewelry store chains, department stores, independent regional jewelers, network of independent distributors, online marketplaces, licensors' retail stores, and third-party e-commerce retailers. The company also sells directly to consumers through its e-commerce platforms. Movado Group, Inc. was formerly known as North American Watch Corporation and changed its name to Movado Group, Inc. in 1996. The company was founded in 1961 and is based in Paramus, New Jersey.",992,"{'maxAge': 1, 'name': 'Mr. Francis Anthony Morelli', 'age': 71, 'title': 'Sr. VP of Global Information Technology & Operations', 'yearBorn': 1951, 'fiscalYear': 2020, 'exercisedValue': 0, 'unexercisedValue': 0}",5,6,6,10,8,1693526400,1703980800,86400,2,27.19,27.28,26.63,27.55,27.19,27.28,26.63,27.55,1.4,0.052199997,1693958400,0.45900002,3.18,1.242392,8.793443,7.152,508645,508645,125506,190550,190550,26.57,27.0,1300,800,593961088,23.94,37.28,0.83542943,27.4222,29.4697,1.4,0.051489517,USD,458416800,0.097320005,16044471,15663100,489680,578230,1690761600,1693440000,0.0221,0.02724,0.96607,4.45,0.0448,22.613,1.1860434,1675123200,1706659200,1690761600,-0.665,69189000,3.05,3.75,0.81,2:1,1088380800,0.645,4.873,NYQ,EQUITY,MOV,MOV,Movado Group Inc.,"Movado Group, Inc.",749395800,America/New_York,EDT,-14400000,26.82,32.0,32.0,32.0,32.0,3.0,hold,1,219292000,9.902,94079000,80634000,2.696,4.391,710964992,16.002,31.925,0.0704,0.14472,54294876,88959000,-0.657,-0.123,0.56483,0.13232,0.12007,USD,
