,address1,address2,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,East Tower,"Otemachi First Square 5-1, Otemachi 1-Chome Chiyoda-ku",Tokyo,100-8116,Japan,81 3 6838 5111,https://group.ntt,Telecom Services,Communication Services,"Nippon Telegraph and Telephone Corporation operates as a telecommunications company in Japan and internationally. It operates through Integrated ICT Business, Regional Communications Business, Global Solutions Business, and Others segments. The Integrated ICT Business segment offers mobile phone, domestic inter-prefectural communications, international communications, solutions, and system development and related services. The Regional Communications Business segment provides intra-prefectural communications and related ancillary services. The Global Solutions Business segment offers consulting, system and software development, network system, cloud, global data center, and related services. The Others segment engages in the real estate, energy, and other businesses. The company was founded in 1952 and is headquartered in Tokyo, Japan.",338651,"{'maxAge': 1, 'name': 'Mr. Akira  Shimada', 'age': 65, 'title': 'Pres, CEO & Representative Director', 'yearBorn': 1957, 'fiscalYear': 2023, 'totalPay': 671220, 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,1,9,4,1693526400,1703980800,86400,4,1.225,1.28,1.15,1.28,1.225,1.28,1.15,1.28,0.04,0.0324,1695859200,0.3388,3.25,0.192192,11.5,662936,662936,220198,175640,175640,0.0,0.0,0,0,103533117440,1.0204,1.43,0.007856276,1.1526,1.168008,4.8,3.9183674,USD,9803808112640,0.0926,52182762162,85260500992,0.35176998,0.18000999,104.974,0.010955093,1680220800,1711843200,1688083200,0.02,1220320952320,0.1,2:1,1577404800,0.744,2.892,PNK,EQUITY,NPPXF,NPPXF,NIPPON TEL & TEL CORP,Nippon Telegraph and Telephone Corporation,1234535400,America/New_York,EDT,-14400000,1.15,none,1141082947584,13.387,3389413916672,10006985441280,0.699,0.971,13178396213248,102.244,152.669,0.04453,0.13548,175774629888,2188722044928,0.059,0.014,0.13661,0.25719,0.13661,JPY,
1,East Tower,"Otemachi First Square 5-1, Otemachi 1-Chome Chiyoda-ku",Tokyo,100-8116,Japan,81 3 6838 5111,https://group.ntt,Telecom Services,Communication Services,"Nippon Telegraph and Telephone Corporation operates as a telecommunications company in Japan and internationally. It operates through Integrated ICT Business, Regional Communications Business, Global Solutions Business, and Others segments. The Integrated ICT Business segment offers mobile phone, domestic inter-prefectural communications, international communications, solutions, and system development and related services. The Regional Communications Business segment provides intra-prefectural communications and related ancillary services. The Global Solutions Business segment offers consulting, system and software development, network system, cloud, global data center, and related services. The Others segment engages in the real estate, energy, and other businesses. The company was founded in 1952 and is headquartered in Tokyo, Japan.",338651,"{'maxAge': 1, 'name': 'Mr. Takashi  Hiroi', 'age': 59, 'title': 'Sr. EVP, CFO, CCO, CHRO & Representative Director', 'yearBorn': 1963, 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,1,9,4,1693526400,1703980800,86400,4,1.225,1.28,1.15,1.28,1.225,1.28,1.15,1.28,0.04,0.0324,1695859200,0.3388,3.25,0.192192,11.5,662936,662936,220198,175640,175640,0.0,0.0,0,0,103533117440,1.0204,1.43,0.007856276,1.1526,1.168008,4.8,3.9183674,USD,9803808112640,0.0926,52182762162,85260500992,0.35176998,0.18000999,104.974,0.010955093,1680220800,1711843200,1688083200,0.02,1220320952320,0.1,2:1,1577404800,0.744,2.892,PNK,EQUITY,NPPXF,NPPXF,NIPPON TEL & TEL CORP,Nippon Telegraph and Telephone Corporation,1234535400,America/New_York,EDT,-14400000,1.15,none,1141082947584,13.387,3389413916672,10006985441280,0.699,0.971,13178396213248,102.244,152.669,0.04453,0.13548,175774629888,2188722044928,0.059,0.014,0.13661,0.25719,0.13661,JPY,
2,East Tower,"Otemachi First Square 5-1, Otemachi 1-Chome Chiyoda-ku",Tokyo,100-8116,Japan,81 3 6838 5111,https://group.ntt,Telecom Services,Communication Services,"Nippon Telegraph and Telephone Corporation operates as a telecommunications company in Japan and internationally. It operates through Integrated ICT Business, Regional Communications Business, Global Solutions Business, and Others segments. The Integrated ICT Business segment offers mobile phone, domestic inter-prefectural communications, international communications, solutions, and system development and related services. The Regional Communications Business segment provides intra-prefectural communications and related ancillary services. The Global Solutions Business segment offers consulting, system and software development, network system, cloud, global data center, and related services. The Others segment engages in the real estate, energy, and other businesses. The company was founded in 1952 and is headquartered in Tokyo, Japan.",338651,"{'maxAge': 1, 'name': 'Mr. Kazuhiko  Nakayama', 'age': 58, 'title': 'Sr. VP and Head of Fin. & Accounting', 'yearBorn': 1964, 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,1,9,4,1693526400,1703980800,86400,4,1.225,1.28,1.15,1.28,1.225,1.28,1.15,1.28,0.04,0.0324,1695859200,0.3388,3.25,0.192192,11.5,662936,662936,220198,175640,175640,0.0,0.0,0,0,103533117440,1.0204,1.43,0.007856276,1.1526,1.168008,4.8,3.9183674,USD,9803808112640,0.0926,52182762162,85260500992,0.35176998,0.18000999,104.974,0.010955093,1680220800,1711843200,1688083200,0.02,1220320952320,0.1,2:1,1577404800,0.744,2.892,PNK,EQUITY,NPPXF,NPPXF,NIPPON TEL & TEL CORP,Nippon Telegraph and Telephone Corporation,1234535400,America/New_York,EDT,-14400000,1.15,none,1141082947584,13.387,3389413916672,10006985441280,0.699,0.971,13178396213248,102.244,152.669,0.04453,0.13548,175774629888,2188722044928,0.059,0.014,0.13661,0.25719,0.13661,JPY,
3,East Tower,"Otemachi First Square 5-1, Otemachi 1-Chome Chiyoda-ku",Tokyo,100-8116,Japan,81 3 6838 5111,https://group.ntt,Telecom Services,Communication Services,"Nippon Telegraph and Telephone Corporation operates as a telecommunications company in Japan and internationally. It operates through Integrated ICT Business, Regional Communications Business, Global Solutions Business, and Others segments. The Integrated ICT Business segment offers mobile phone, domestic inter-prefectural communications, international communications, solutions, and system development and related services. The Regional Communications Business segment provides intra-prefectural communications and related ancillary services. The Global Solutions Business segment offers consulting, system and software development, network system, cloud, global data center, and related services. The Others segment engages in the real estate, energy, and other businesses. The company was founded in 1952 and is headquartered in Tokyo, Japan.",338651,"{'maxAge': 1, 'name': 'Mr. Katsuhiko  Kawazoe', 'age': 61, 'title': 'Sr. EVP, CTO, CIO, CDO & Representative Director', 'yearBorn': 1961, 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,1,9,4,1693526400,1703980800,86400,4,1.225,1.28,1.15,1.28,1.225,1.28,1.15,1.28,0.04,0.0324,1695859200,0.3388,3.25,0.192192,11.5,662936,662936,220198,175640,175640,0.0,0.0,0,0,103533117440,1.0204,1.43,0.007856276,1.1526,1.168008,4.8,3.9183674,USD,9803808112640,0.0926,52182762162,85260500992,0.35176998,0.18000999,104.974,0.010955093,1680220800,1711843200,1688083200,0.02,1220320952320,0.1,2:1,1577404800,0.744,2.892,PNK,EQUITY,NPPXF,NPPXF,NIPPON TEL & TEL CORP,Nippon Telegraph and Telephone Corporation,1234535400,America/New_York,EDT,-14400000,1.15,none,1141082947584,13.387,3389413916672,10006985441280,0.699,0.971,13178396213248,102.244,152.669,0.04453,0.13548,175774629888,2188722044928,0.059,0.014,0.13661,0.25719,0.13661,JPY,
4,East Tower,"Otemachi First Square 5-1, Otemachi 1-Chome Chiyoda-ku",Tokyo,100-8116,Japan,81 3 6838 5111,https://group.ntt,Telecom Services,Communication Services,"Nippon Telegraph and Telephone Corporation operates as a telecommunications company in Japan and internationally. It operates through Integrated ICT Business, Regional Communications Business, Global Solutions Business, and Others segments. The Integrated ICT Business segment offers mobile phone, domestic inter-prefectural communications, international communications, solutions, and system development and related services. The Regional Communications Business segment provides intra-prefectural communications and related ancillary services. The Global Solutions Business segment offers consulting, system and software development, network system, cloud, global data center, and related services. The Others segment engages in the real estate, energy, and other businesses. The company was founded in 1952 and is headquartered in Tokyo, Japan.",338651,"{'maxAge': 1, 'name': 'Takuro  Hanaki', 'title': 'Head of IR, Fin. & Accounting Department', 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,1,9,4,1693526400,1703980800,86400,4,1.225,1.28,1.15,1.28,1.225,1.28,1.15,1.28,0.04,0.0324,1695859200,0.3388,3.25,0.192192,11.5,662936,662936,220198,175640,175640,0.0,0.0,0,0,103533117440,1.0204,1.43,0.007856276,1.1526,1.168008,4.8,3.9183674,USD,9803808112640,0.0926,52182762162,85260500992,0.35176998,0.18000999,104.974,0.010955093,1680220800,1711843200,1688083200,0.02,1220320952320,0.1,2:1,1577404800,0.744,2.892,PNK,EQUITY,NPPXF,NPPXF,NIPPON TEL & TEL CORP,Nippon Telegraph and Telephone Corporation,1234535400,America/New_York,EDT,-14400000,1.15,none,1141082947584,13.387,3389413916672,10006985441280,0.699,0.971,13178396213248,102.244,152.669,0.04453,0.13548,175774629888,2188722044928,0.059,0.014,0.13661,0.25719,0.13661,JPY,
5,East Tower,"Otemachi First Square 5-1, Otemachi 1-Chome Chiyoda-ku",Tokyo,100-8116,Japan,81 3 6838 5111,https://group.ntt,Telecom Services,Communication Services,"Nippon Telegraph and Telephone Corporation operates as a telecommunications company in Japan and internationally. It operates through Integrated ICT Business, Regional Communications Business, Global Solutions Business, and Others segments. The Integrated ICT Business segment offers mobile phone, domestic inter-prefectural communications, international communications, solutions, and system development and related services. The Regional Communications Business segment provides intra-prefectural communications and related ancillary services. The Global Solutions Business segment offers consulting, system and software development, network system, cloud, global data center, and related services. The Others segment engages in the real estate, energy, and other businesses. The company was founded in 1952 and is headquartered in Tokyo, Japan.",338651,"{'maxAge': 1, 'name': 'Makiko  Sekine', 'title': 'Sr. VP & Head of PR', 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,1,9,4,1693526400,1703980800,86400,4,1.225,1.28,1.15,1.28,1.225,1.28,1.15,1.28,0.04,0.0324,1695859200,0.3388,3.25,0.192192,11.5,662936,662936,220198,175640,175640,0.0,0.0,0,0,103533117440,1.0204,1.43,0.007856276,1.1526,1.168008,4.8,3.9183674,USD,9803808112640,0.0926,52182762162,85260500992,0.35176998,0.18000999,104.974,0.010955093,1680220800,1711843200,1688083200,0.02,1220320952320,0.1,2:1,1577404800,0.744,2.892,PNK,EQUITY,NPPXF,NPPXF,NIPPON TEL & TEL CORP,Nippon Telegraph and Telephone Corporation,1234535400,America/New_York,EDT,-14400000,1.15,none,1141082947584,13.387,3389413916672,10006985441280,0.699,0.971,13178396213248,102.244,152.669,0.04453,0.13548,175774629888,2188722044928,0.059,0.014,0.13661,0.25719,0.13661,JPY,
6,East Tower,"Otemachi First Square 5-1, Otemachi 1-Chome Chiyoda-ku",Tokyo,100-8116,Japan,81 3 6838 5111,https://group.ntt,Telecom Services,Communication Services,"Nippon Telegraph and Telephone Corporation operates as a telecommunications company in Japan and internationally. It operates through Integrated ICT Business, Regional Communications Business, Global Solutions Business, and Others segments. The Integrated ICT Business segment offers mobile phone, domestic inter-prefectural communications, international communications, solutions, and system development and related services. The Regional Communications Business segment provides intra-prefectural communications and related ancillary services. The Global Solutions Business segment offers consulting, system and software development, network system, cloud, global data center, and related services. The Others segment engages in the real estate, energy, and other businesses. The company was founded in 1952 and is headquartered in Tokyo, Japan.",338651,"{'maxAge': 1, 'name': 'Mr. Vito  Mabrucco', 'title': 'Global Chief Marketing Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,1,9,4,1693526400,1703980800,86400,4,1.225,1.28,1.15,1.28,1.225,1.28,1.15,1.28,0.04,0.0324,1695859200,0.3388,3.25,0.192192,11.5,662936,662936,220198,175640,175640,0.0,0.0,0,0,103533117440,1.0204,1.43,0.007856276,1.1526,1.168008,4.8,3.9183674,USD,9803808112640,0.0926,52182762162,85260500992,0.35176998,0.18000999,104.974,0.010955093,1680220800,1711843200,1688083200,0.02,1220320952320,0.1,2:1,1577404800,0.744,2.892,PNK,EQUITY,NPPXF,NPPXF,NIPPON TEL & TEL CORP,Nippon Telegraph and Telephone Corporation,1234535400,America/New_York,EDT,-14400000,1.15,none,1141082947584,13.387,3389413916672,10006985441280,0.699,0.971,13178396213248,102.244,152.669,0.04453,0.13548,175774629888,2188722044928,0.059,0.014,0.13661,0.25719,0.13661,JPY,
7,East Tower,"Otemachi First Square 5-1, Otemachi 1-Chome Chiyoda-ku",Tokyo,100-8116,Japan,81 3 6838 5111,https://group.ntt,Telecom Services,Communication Services,"Nippon Telegraph and Telephone Corporation operates as a telecommunications company in Japan and internationally. It operates through Integrated ICT Business, Regional Communications Business, Global Solutions Business, and Others segments. The Integrated ICT Business segment offers mobile phone, domestic inter-prefectural communications, international communications, solutions, and system development and related services. The Regional Communications Business segment provides intra-prefectural communications and related ancillary services. The Global Solutions Business segment offers consulting, system and software development, network system, cloud, global data center, and related services. The Others segment engages in the real estate, energy, and other businesses. The company was founded in 1952 and is headquartered in Tokyo, Japan.",338651,"{'maxAge': 1, 'name': 'Mr. Hiroki  Kuriyama', 'age': 61, 'title': 'Part Time Sr. VP', 'yearBorn': 1961, 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,1,9,4,1693526400,1703980800,86400,4,1.225,1.28,1.15,1.28,1.225,1.28,1.15,1.28,0.04,0.0324,1695859200,0.3388,3.25,0.192192,11.5,662936,662936,220198,175640,175640,0.0,0.0,0,0,103533117440,1.0204,1.43,0.007856276,1.1526,1.168008,4.8,3.9183674,USD,9803808112640,0.0926,52182762162,85260500992,0.35176998,0.18000999,104.974,0.010955093,1680220800,1711843200,1688083200,0.02,1220320952320,0.1,2:1,1577404800,0.744,2.892,PNK,EQUITY,NPPXF,NPPXF,NIPPON TEL & TEL CORP,Nippon Telegraph and Telephone Corporation,1234535400,America/New_York,EDT,-14400000,1.15,none,1141082947584,13.387,3389413916672,10006985441280,0.699,0.971,13178396213248,102.244,152.669,0.04453,0.13548,175774629888,2188722044928,0.059,0.014,0.13661,0.25719,0.13661,JPY,
8,East Tower,"Otemachi First Square 5-1, Otemachi 1-Chome Chiyoda-ku",Tokyo,100-8116,Japan,81 3 6838 5111,https://group.ntt,Telecom Services,Communication Services,"Nippon Telegraph and Telephone Corporation operates as a telecommunications company in Japan and internationally. It operates through Integrated ICT Business, Regional Communications Business, Global Solutions Business, and Others segments. The Integrated ICT Business segment offers mobile phone, domestic inter-prefectural communications, international communications, solutions, and system development and related services. The Regional Communications Business segment provides intra-prefectural communications and related ancillary services. The Global Solutions Business segment offers consulting, system and software development, network system, cloud, global data center, and related services. The Others segment engages in the real estate, energy, and other businesses. The company was founded in 1952 and is headquartered in Tokyo, Japan.",338651,"{'maxAge': 1, 'name': 'Natsuko  Fujiki', 'title': 'Sr. VP & Head of Internal Audit', 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,1,9,4,1693526400,1703980800,86400,4,1.225,1.28,1.15,1.28,1.225,1.28,1.15,1.28,0.04,0.0324,1695859200,0.3388,3.25,0.192192,11.5,662936,662936,220198,175640,175640,0.0,0.0,0,0,103533117440,1.0204,1.43,0.007856276,1.1526,1.168008,4.8,3.9183674,USD,9803808112640,0.0926,52182762162,85260500992,0.35176998,0.18000999,104.974,0.010955093,1680220800,1711843200,1688083200,0.02,1220320952320,0.1,2:1,1577404800,0.744,2.892,PNK,EQUITY,NPPXF,NPPXF,NIPPON TEL & TEL CORP,Nippon Telegraph and Telephone Corporation,1234535400,America/New_York,EDT,-14400000,1.15,none,1141082947584,13.387,3389413916672,10006985441280,0.699,0.971,13178396213248,102.244,152.669,0.04453,0.13548,175774629888,2188722044928,0.059,0.014,0.13661,0.25719,0.13661,JPY,
9,East Tower,"Otemachi First Square 5-1, Otemachi 1-Chome Chiyoda-ku",Tokyo,100-8116,Japan,81 3 6838 5111,https://group.ntt,Telecom Services,Communication Services,"Nippon Telegraph and Telephone Corporation operates as a telecommunications company in Japan and internationally. It operates through Integrated ICT Business, Regional Communications Business, Global Solutions Business, and Others segments. The Integrated ICT Business segment offers mobile phone, domestic inter-prefectural communications, international communications, solutions, and system development and related services. The Regional Communications Business segment provides intra-prefectural communications and related ancillary services. The Global Solutions Business segment offers consulting, system and software development, network system, cloud, global data center, and related services. The Others segment engages in the real estate, energy, and other businesses. The company was founded in 1952 and is headquartered in Tokyo, Japan.",338651,"{'maxAge': 1, 'name': 'Ms. Atsuko  Oka', 'age': 59, 'title': 'Exec. VP & Head of R&D Planning', 'yearBorn': 1963, 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,1,9,4,1693526400,1703980800,86400,4,1.225,1.28,1.15,1.28,1.225,1.28,1.15,1.28,0.04,0.0324,1695859200,0.3388,3.25,0.192192,11.5,662936,662936,220198,175640,175640,0.0,0.0,0,0,103533117440,1.0204,1.43,0.007856276,1.1526,1.168008,4.8,3.9183674,USD,9803808112640,0.0926,52182762162,85260500992,0.35176998,0.18000999,104.974,0.010955093,1680220800,1711843200,1688083200,0.02,1220320952320,0.1,2:1,1577404800,0.744,2.892,PNK,EQUITY,NPPXF,NPPXF,NIPPON TEL & TEL CORP,Nippon Telegraph and Telephone Corporation,1234535400,America/New_York,EDT,-14400000,1.15,none,1141082947584,13.387,3389413916672,10006985441280,0.699,0.971,13178396213248,102.244,152.669,0.04453,0.13548,175774629888,2188722044928,0.059,0.014,0.13661,0.25719,0.13661,JPY,
