,address1,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,"4040 Wilson Boulevard, Suite 1000",Arlington,VA,22203-2120,United States,703 329 6300,703 329 9130,https://www.avalonbay.com,REIT—Residential,Real Estate,"As of June 30, 2023, the Company owned or held a direct or indirect ownership interest in 294 apartment communities containing 88,659 apartment homes in 12 states and the District of Columbia, of which 18 communities were under development and one community was under redevelopment. The Company is an equity REIT in the business of developing, redeveloping, acquiring and managing apartment communities in leading metropolitan areas in New England, the New York/New Jersey Metro area, the Mid-Atlantic, the Pacific Northwest, and Northern and Southern California, as well as in the Company's expansion regions of Raleigh-Durham and Charlotte, North Carolina, Southeast Florida, Dallas and Austin, Texas, and Denver, Colorado.",2859,"{'maxAge': 1, 'name': 'Mr. Benjamin W. Schall', 'age': 47, 'title': 'Pres, CEO & Director', 'yearBorn': 1975, 'fiscalYear': 2022, 'totalPay': 3041962, 'exercisedValue': 0, 'unexercisedValue': 0}",7,8,2,7,7,1693526400,1672444800,86400,2,172.34,171.9,171.28,172.62,172.34,171.9,171.28,172.62,6.15,0.0357,1695859200,0.72730005,3.29,0.937067,20.522049,48.638416,15,15,0,0,0,172.48,172.92,2000,2000,24560613376,141.88,201.7,9.020361,169.7292,163.2183,6.48,0.037600093,EUR,31845621760,0.4594,141329387,142016000,0.0038800002,0.94464,83.303,2.0669122,1672444800,1703980800,1688083200,1.653,1248610944,8.39,3.54,16.86,11.696,18.823,FRA,EQUITY,WV8.F,WV8.F,"AVALONBAY COMM.  DL-,01","AvalonBay Communities, Inc.",1157436000,Europe/Berlin,CEST,7200000,172.18,289.0,216.0,238.7,235.0,2.7,hold,23,778371968,5.488,1691888000,8217655808,1.102,1.867,2722797056,69.54,19.418,0.02688,0.10998,1689582000,1177836032,1524462976,1.612,0.075,0.65059,0.62138003,0.32051998,USD,2.7835
1,"4040 Wilson Boulevard, Suite 1000",Arlington,VA,22203-2120,United States,703 329 6300,703 329 9130,https://www.avalonbay.com,REIT—Residential,Real Estate,"As of June 30, 2023, the Company owned or held a direct or indirect ownership interest in 294 apartment communities containing 88,659 apartment homes in 12 states and the District of Columbia, of which 18 communities were under development and one community was under redevelopment. The Company is an equity REIT in the business of developing, redeveloping, acquiring and managing apartment communities in leading metropolitan areas in New England, the New York/New Jersey Metro area, the Mid-Atlantic, the Pacific Northwest, and Northern and Southern California, as well as in the Company's expansion regions of Raleigh-Durham and Charlotte, North Carolina, Southeast Florida, Dallas and Austin, Texas, and Denver, Colorado.",2859,"{'maxAge': 1, 'name': ""Mr. Kevin P. O'Shea"", 'age': 56, 'title': 'Chief Financial Officer', 'yearBorn': 1966, 'fiscalYear': 2016, 'exercisedValue': 0, 'unexercisedValue': 0}",7,8,2,7,7,1693526400,1672444800,86400,2,172.34,171.9,171.28,172.62,172.34,171.9,171.28,172.62,6.15,0.0357,1695859200,0.72730005,3.29,0.937067,20.522049,48.638416,15,15,0,0,0,172.48,172.92,2000,2000,24560613376,141.88,201.7,9.020361,169.7292,163.2183,6.48,0.037600093,EUR,31845621760,0.4594,141329387,142016000,0.0038800002,0.94464,83.303,2.0669122,1672444800,1703980800,1688083200,1.653,1248610944,8.39,3.54,16.86,11.696,18.823,FRA,EQUITY,WV8.F,WV8.F,"AVALONBAY COMM.  DL-,01","AvalonBay Communities, Inc.",1157436000,Europe/Berlin,CEST,7200000,172.18,289.0,216.0,238.7,235.0,2.7,hold,23,778371968,5.488,1691888000,8217655808,1.102,1.867,2722797056,69.54,19.418,0.02688,0.10998,1689582000,1177836032,1524462976,1.612,0.075,0.65059,0.62138003,0.32051998,USD,2.7835
2,"4040 Wilson Boulevard, Suite 1000",Arlington,VA,22203-2120,United States,703 329 6300,703 329 9130,https://www.avalonbay.com,REIT—Residential,Real Estate,"As of June 30, 2023, the Company owned or held a direct or indirect ownership interest in 294 apartment communities containing 88,659 apartment homes in 12 states and the District of Columbia, of which 18 communities were under development and one community was under redevelopment. The Company is an equity REIT in the business of developing, redeveloping, acquiring and managing apartment communities in leading metropolitan areas in New England, the New York/New Jersey Metro area, the Mid-Atlantic, the Pacific Northwest, and Northern and Southern California, as well as in the Company's expansion regions of Raleigh-Durham and Charlotte, North Carolina, Southeast Florida, Dallas and Austin, Texas, and Denver, Colorado.",2859,"{'maxAge': 1, 'name': 'Mr. Sean J. Breslin', 'age': 55, 'title': 'Chief Operating Officer', 'yearBorn': 1967, 'fiscalYear': 2022, 'totalPay': 1880132, 'exercisedValue': 0, 'unexercisedValue': 0}",7,8,2,7,7,1693526400,1672444800,86400,2,172.34,171.9,171.28,172.62,172.34,171.9,171.28,172.62,6.15,0.0357,1695859200,0.72730005,3.29,0.937067,20.522049,48.638416,15,15,0,0,0,172.48,172.92,2000,2000,24560613376,141.88,201.7,9.020361,169.7292,163.2183,6.48,0.037600093,EUR,31845621760,0.4594,141329387,142016000,0.0038800002,0.94464,83.303,2.0669122,1672444800,1703980800,1688083200,1.653,1248610944,8.39,3.54,16.86,11.696,18.823,FRA,EQUITY,WV8.F,WV8.F,"AVALONBAY COMM.  DL-,01","AvalonBay Communities, Inc.",1157436000,Europe/Berlin,CEST,7200000,172.18,289.0,216.0,238.7,235.0,2.7,hold,23,778371968,5.488,1691888000,8217655808,1.102,1.867,2722797056,69.54,19.418,0.02688,0.10998,1689582000,1177836032,1524462976,1.612,0.075,0.65059,0.62138003,0.32051998,USD,2.7835
3,"4040 Wilson Boulevard, Suite 1000",Arlington,VA,22203-2120,United States,703 329 6300,703 329 9130,https://www.avalonbay.com,REIT—Residential,Real Estate,"As of June 30, 2023, the Company owned or held a direct or indirect ownership interest in 294 apartment communities containing 88,659 apartment homes in 12 states and the District of Columbia, of which 18 communities were under development and one community was under redevelopment. The Company is an equity REIT in the business of developing, redeveloping, acquiring and managing apartment communities in leading metropolitan areas in New England, the New York/New Jersey Metro area, the Mid-Atlantic, the Pacific Northwest, and Northern and Southern California, as well as in the Company's expansion regions of Raleigh-Durham and Charlotte, North Carolina, Southeast Florida, Dallas and Austin, Texas, and Denver, Colorado.",2859,"{'maxAge': 1, 'name': 'Mr. Matthew H. Birenbaum', 'age': 56, 'title': 'Chief Investment Officer', 'yearBorn': 1966, 'fiscalYear': 2016, 'exercisedValue': 0, 'unexercisedValue': 0}",7,8,2,7,7,1693526400,1672444800,86400,2,172.34,171.9,171.28,172.62,172.34,171.9,171.28,172.62,6.15,0.0357,1695859200,0.72730005,3.29,0.937067,20.522049,48.638416,15,15,0,0,0,172.48,172.92,2000,2000,24560613376,141.88,201.7,9.020361,169.7292,163.2183,6.48,0.037600093,EUR,31845621760,0.4594,141329387,142016000,0.0038800002,0.94464,83.303,2.0669122,1672444800,1703980800,1688083200,1.653,1248610944,8.39,3.54,16.86,11.696,18.823,FRA,EQUITY,WV8.F,WV8.F,"AVALONBAY COMM.  DL-,01","AvalonBay Communities, Inc.",1157436000,Europe/Berlin,CEST,7200000,172.18,289.0,216.0,238.7,235.0,2.7,hold,23,778371968,5.488,1691888000,8217655808,1.102,1.867,2722797056,69.54,19.418,0.02688,0.10998,1689582000,1177836032,1524462976,1.612,0.075,0.65059,0.62138003,0.32051998,USD,2.7835
4,"4040 Wilson Boulevard, Suite 1000",Arlington,VA,22203-2120,United States,703 329 6300,703 329 9130,https://www.avalonbay.com,REIT—Residential,Real Estate,"As of June 30, 2023, the Company owned or held a direct or indirect ownership interest in 294 apartment communities containing 88,659 apartment homes in 12 states and the District of Columbia, of which 18 communities were under development and one community was under redevelopment. The Company is an equity REIT in the business of developing, redeveloping, acquiring and managing apartment communities in leading metropolitan areas in New England, the New York/New Jersey Metro area, the Mid-Atlantic, the Pacific Northwest, and Northern and Southern California, as well as in the Company's expansion regions of Raleigh-Durham and Charlotte, North Carolina, Southeast Florida, Dallas and Austin, Texas, and Denver, Colorado.",2859,"{'maxAge': 1, 'name': 'Mr. Edward M. Schulman', 'age': 59, 'title': 'Exec. VP, Gen. Counsel & Sec.', 'yearBorn': 1963, 'fiscalYear': 2022, 'totalPay': 1145431, 'exercisedValue': 0, 'unexercisedValue': 0}",7,8,2,7,7,1693526400,1672444800,86400,2,172.34,171.9,171.28,172.62,172.34,171.9,171.28,172.62,6.15,0.0357,1695859200,0.72730005,3.29,0.937067,20.522049,48.638416,15,15,0,0,0,172.48,172.92,2000,2000,24560613376,141.88,201.7,9.020361,169.7292,163.2183,6.48,0.037600093,EUR,31845621760,0.4594,141329387,142016000,0.0038800002,0.94464,83.303,2.0669122,1672444800,1703980800,1688083200,1.653,1248610944,8.39,3.54,16.86,11.696,18.823,FRA,EQUITY,WV8.F,WV8.F,"AVALONBAY COMM.  DL-,01","AvalonBay Communities, Inc.",1157436000,Europe/Berlin,CEST,7200000,172.18,289.0,216.0,238.7,235.0,2.7,hold,23,778371968,5.488,1691888000,8217655808,1.102,1.867,2722797056,69.54,19.418,0.02688,0.10998,1689582000,1177836032,1524462976,1.612,0.075,0.65059,0.62138003,0.32051998,USD,2.7835
5,"4040 Wilson Boulevard, Suite 1000",Arlington,VA,22203-2120,United States,703 329 6300,703 329 9130,https://www.avalonbay.com,REIT—Residential,Real Estate,"As of June 30, 2023, the Company owned or held a direct or indirect ownership interest in 294 apartment communities containing 88,659 apartment homes in 12 states and the District of Columbia, of which 18 communities were under development and one community was under redevelopment. The Company is an equity REIT in the business of developing, redeveloping, acquiring and managing apartment communities in leading metropolitan areas in New England, the New York/New Jersey Metro area, the Mid-Atlantic, the Pacific Northwest, and Northern and Southern California, as well as in the Company's expansion regions of Raleigh-Durham and Charlotte, North Carolina, Southeast Florida, Dallas and Austin, Texas, and Denver, Colorado.",2859,"{'maxAge': 1, 'name': 'Ms. Keri A. Shea', 'age': 52, 'title': 'Sr. VP of Fin., Principal Accounting Officer & Treasurer', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}",7,8,2,7,7,1693526400,1672444800,86400,2,172.34,171.9,171.28,172.62,172.34,171.9,171.28,172.62,6.15,0.0357,1695859200,0.72730005,3.29,0.937067,20.522049,48.638416,15,15,0,0,0,172.48,172.92,2000,2000,24560613376,141.88,201.7,9.020361,169.7292,163.2183,6.48,0.037600093,EUR,31845621760,0.4594,141329387,142016000,0.0038800002,0.94464,83.303,2.0669122,1672444800,1703980800,1688083200,1.653,1248610944,8.39,3.54,16.86,11.696,18.823,FRA,EQUITY,WV8.F,WV8.F,"AVALONBAY COMM.  DL-,01","AvalonBay Communities, Inc.",1157436000,Europe/Berlin,CEST,7200000,172.18,289.0,216.0,238.7,235.0,2.7,hold,23,778371968,5.488,1691888000,8217655808,1.102,1.867,2722797056,69.54,19.418,0.02688,0.10998,1689582000,1177836032,1524462976,1.612,0.075,0.65059,0.62138003,0.32051998,USD,2.7835
6,"4040 Wilson Boulevard, Suite 1000",Arlington,VA,22203-2120,United States,703 329 6300,703 329 9130,https://www.avalonbay.com,REIT—Residential,Real Estate,"As of June 30, 2023, the Company owned or held a direct or indirect ownership interest in 294 apartment communities containing 88,659 apartment homes in 12 states and the District of Columbia, of which 18 communities were under development and one community was under redevelopment. The Company is an equity REIT in the business of developing, redeveloping, acquiring and managing apartment communities in leading metropolitan areas in New England, the New York/New Jersey Metro area, the Mid-Atlantic, the Pacific Northwest, and Northern and Southern California, as well as in the Company's expansion regions of Raleigh-Durham and Charlotte, North Carolina, Southeast Florida, Dallas and Austin, Texas, and Denver, Colorado.",2859,"{'maxAge': 1, 'name': 'Mr. Jason  Reilley', 'title': 'VP of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",7,8,2,7,7,1693526400,1672444800,86400,2,172.34,171.9,171.28,172.62,172.34,171.9,171.28,172.62,6.15,0.0357,1695859200,0.72730005,3.29,0.937067,20.522049,48.638416,15,15,0,0,0,172.48,172.92,2000,2000,24560613376,141.88,201.7,9.020361,169.7292,163.2183,6.48,0.037600093,EUR,31845621760,0.4594,141329387,142016000,0.0038800002,0.94464,83.303,2.0669122,1672444800,1703980800,1688083200,1.653,1248610944,8.39,3.54,16.86,11.696,18.823,FRA,EQUITY,WV8.F,WV8.F,"AVALONBAY COMM.  DL-,01","AvalonBay Communities, Inc.",1157436000,Europe/Berlin,CEST,7200000,172.18,289.0,216.0,238.7,235.0,2.7,hold,23,778371968,5.488,1691888000,8217655808,1.102,1.867,2722797056,69.54,19.418,0.02688,0.10998,1689582000,1177836032,1524462976,1.612,0.075,0.65059,0.62138003,0.32051998,USD,2.7835
7,"4040 Wilson Boulevard, Suite 1000",Arlington,VA,22203-2120,United States,703 329 6300,703 329 9130,https://www.avalonbay.com,REIT—Residential,Real Estate,"As of June 30, 2023, the Company owned or held a direct or indirect ownership interest in 294 apartment communities containing 88,659 apartment homes in 12 states and the District of Columbia, of which 18 communities were under development and one community was under redevelopment. The Company is an equity REIT in the business of developing, redeveloping, acquiring and managing apartment communities in leading metropolitan areas in New England, the New York/New Jersey Metro area, the Mid-Atlantic, the Pacific Northwest, and Northern and Southern California, as well as in the Company's expansion regions of Raleigh-Durham and Charlotte, North Carolina, Southeast Florida, Dallas and Austin, Texas, and Denver, Colorado.",2859,"{'maxAge': 1, 'name': 'Mr. Kurt D. Conway', 'age': 62, 'title': 'Sr. VP of Brand Strategy & Marketing', 'yearBorn': 1960, 'exercisedValue': 0, 'unexercisedValue': 0}",7,8,2,7,7,1693526400,1672444800,86400,2,172.34,171.9,171.28,172.62,172.34,171.9,171.28,172.62,6.15,0.0357,1695859200,0.72730005,3.29,0.937067,20.522049,48.638416,15,15,0,0,0,172.48,172.92,2000,2000,24560613376,141.88,201.7,9.020361,169.7292,163.2183,6.48,0.037600093,EUR,31845621760,0.4594,141329387,142016000,0.0038800002,0.94464,83.303,2.0669122,1672444800,1703980800,1688083200,1.653,1248610944,8.39,3.54,16.86,11.696,18.823,FRA,EQUITY,WV8.F,WV8.F,"AVALONBAY COMM.  DL-,01","AvalonBay Communities, Inc.",1157436000,Europe/Berlin,CEST,7200000,172.18,289.0,216.0,238.7,235.0,2.7,hold,23,778371968,5.488,1691888000,8217655808,1.102,1.867,2722797056,69.54,19.418,0.02688,0.10998,1689582000,1177836032,1524462976,1.612,0.075,0.65059,0.62138003,0.32051998,USD,2.7835
8,"4040 Wilson Boulevard, Suite 1000",Arlington,VA,22203-2120,United States,703 329 6300,703 329 9130,https://www.avalonbay.com,REIT—Residential,Real Estate,"As of June 30, 2023, the Company owned or held a direct or indirect ownership interest in 294 apartment communities containing 88,659 apartment homes in 12 states and the District of Columbia, of which 18 communities were under development and one community was under redevelopment. The Company is an equity REIT in the business of developing, redeveloping, acquiring and managing apartment communities in leading metropolitan areas in New England, the New York/New Jersey Metro area, the Mid-Atlantic, the Pacific Northwest, and Northern and Southern California, as well as in the Company's expansion regions of Raleigh-Durham and Charlotte, North Carolina, Southeast Florida, Dallas and Austin, Texas, and Denver, Colorado.",2859,"{'maxAge': 1, 'name': 'Mr. David  Alagno', 'title': 'Sr. VP of HR', 'exercisedValue': 0, 'unexercisedValue': 0}",7,8,2,7,7,1693526400,1672444800,86400,2,172.34,171.9,171.28,172.62,172.34,171.9,171.28,172.62,6.15,0.0357,1695859200,0.72730005,3.29,0.937067,20.522049,48.638416,15,15,0,0,0,172.48,172.92,2000,2000,24560613376,141.88,201.7,9.020361,169.7292,163.2183,6.48,0.037600093,EUR,31845621760,0.4594,141329387,142016000,0.0038800002,0.94464,83.303,2.0669122,1672444800,1703980800,1688083200,1.653,1248610944,8.39,3.54,16.86,11.696,18.823,FRA,EQUITY,WV8.F,WV8.F,"AVALONBAY COMM.  DL-,01","AvalonBay Communities, Inc.",1157436000,Europe/Berlin,CEST,7200000,172.18,289.0,216.0,238.7,235.0,2.7,hold,23,778371968,5.488,1691888000,8217655808,1.102,1.867,2722797056,69.54,19.418,0.02688,0.10998,1689582000,1177836032,1524462976,1.612,0.075,0.65059,0.62138003,0.32051998,USD,2.7835
9,"4040 Wilson Boulevard, Suite 1000",Arlington,VA,22203-2120,United States,703 329 6300,703 329 9130,https://www.avalonbay.com,REIT—Residential,Real Estate,"As of June 30, 2023, the Company owned or held a direct or indirect ownership interest in 294 apartment communities containing 88,659 apartment homes in 12 states and the District of Columbia, of which 18 communities were under development and one community was under redevelopment. The Company is an equity REIT in the business of developing, redeveloping, acquiring and managing apartment communities in leading metropolitan areas in New England, the New York/New Jersey Metro area, the Mid-Atlantic, the Pacific Northwest, and Northern and Southern California, as well as in the Company's expansion regions of Raleigh-Durham and Charlotte, North Carolina, Southeast Florida, Dallas and Austin, Texas, and Denver, Colorado.",2859,"{'maxAge': 1, 'name': 'Mr. Ronald S. Ladell', 'age': 60, 'title': 'Sr. VP of Devel. - New Jersey', 'yearBorn': 1962, 'exercisedValue': 0, 'unexercisedValue': 0}",7,8,2,7,7,1693526400,1672444800,86400,2,172.34,171.9,171.28,172.62,172.34,171.9,171.28,172.62,6.15,0.0357,1695859200,0.72730005,3.29,0.937067,20.522049,48.638416,15,15,0,0,0,172.48,172.92,2000,2000,24560613376,141.88,201.7,9.020361,169.7292,163.2183,6.48,0.037600093,EUR,31845621760,0.4594,141329387,142016000,0.0038800002,0.94464,83.303,2.0669122,1672444800,1703980800,1688083200,1.653,1248610944,8.39,3.54,16.86,11.696,18.823,FRA,EQUITY,WV8.F,WV8.F,"AVALONBAY COMM.  DL-,01","AvalonBay Communities, Inc.",1157436000,Europe/Berlin,CEST,7200000,172.18,289.0,216.0,238.7,235.0,2.7,hold,23,778371968,5.488,1691888000,8217655808,1.102,1.867,2722797056,69.54,19.418,0.02688,0.10998,1689582000,1177836032,1524462976,1.612,0.075,0.65059,0.62138003,0.32051998,USD,2.7835
