,address1,city,state,zip,country,phone,fax,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalDebt,revenuePerShare,returnOnEquity,operatingCashflow,earningsGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,501 Commerce Street,Nashville,TN,37203,United States,615-622-0000,212-969-2293,https://www.alliancebernstein.com,Asset Management,Asset Management,Financial Services,Financial Services,"AllianceBernstein Holding L.P. is a publicly owned investment manager. The firm is a related adviser The firm manages separate client focused portfolios for its clients. The firm primarily invests in common and preferred stocks, warrants and convertible securities, government and corporate fxed-income securities, commodities, currencies, real estate-related assets and infation-protected securities. The firm employs quantitative analysis along with long-term purchases, short-term purchases, trading, short sales, margin transactions, option strategies including writing covered options, uncovered options and spread strategies to make its investments. The firm obtains external research to complement its in-house research. The firm was formerly known as Alliance Capital Management Holding LP. AllianceBernstein Holding L.P. was founded in 1967 and is based in New York, New York.",4436,"{'maxAge': 1, 'name': 'Mr. Seth Perry Bernstein', 'age': 61, 'title': 'CEO, Pres & Director', 'yearBorn': 1961, 'fiscalYear': 2022, 'totalPay': 5702777, 'exercisedValue': 0, 'unexercisedValue': 1449708}",1672444800,86400,2,32.29,32.33,31.96,32.95,32.29,32.33,31.96,32.95,2.61,0.0792,1691107200,1.1991,8.64,1.306708,14.575221,10.625807,510762,510762,333745,382990,382990,32.62,32.95,1400,1000,3737207552,29.05,42.38,31.815,35.0505,2.61,0.08082997,USD,3740517632,0.0,108767981,113455000,740338,630561,1690761600,1693440000,0.0064999997,0.01279,0.1368,2.36,0.0066000004,113455000,17.999,1.8301015,1672444800,1703980800,1688083200,-0.111,248091008,2.26,3.1,1.46,2:1,891561600,-0.22072393,0.14113986,0.61,1691107200,NYQ,EQUITY,AB,AB,AllianceBernstein Holding L.P.,AllianceBernstein Holding L.P.,577027800,America/New_York,EDT,b86fc6b0-51f6-3d73-9e26-2d4c34e3a0a9,finmb_249248,-14400000,32.94,47.0,32.0,38.95,38.4,2.2,buy,4,0,3.002,0.14155,296908992,-0.232,0.0,0.0,0.0,USD,4.6834
1,501 Commerce Street,Nashville,TN,37203,United States,615-622-0000,212-969-2293,https://www.alliancebernstein.com,Asset Management,Asset Management,Financial Services,Financial Services,"AllianceBernstein Holding L.P. is a publicly owned investment manager. The firm is a related adviser The firm manages separate client focused portfolios for its clients. The firm primarily invests in common and preferred stocks, warrants and convertible securities, government and corporate fxed-income securities, commodities, currencies, real estate-related assets and infation-protected securities. The firm employs quantitative analysis along with long-term purchases, short-term purchases, trading, short sales, margin transactions, option strategies including writing covered options, uncovered options and spread strategies to make its investments. The firm obtains external research to complement its in-house research. The firm was formerly known as Alliance Capital Management Holding LP. AllianceBernstein Holding L.P. was founded in 1967 and is based in New York, New York.",4436,"{'maxAge': 1, 'name': 'Mr. William R. Siemers', 'age': 62, 'title': 'Sr. VP & Interim CFO', 'yearBorn': 1960, 'fiscalYear': 2022, 'totalPay': 842340, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,32.29,32.33,31.96,32.95,32.29,32.33,31.96,32.95,2.61,0.0792,1691107200,1.1991,8.64,1.306708,14.575221,10.625807,510762,510762,333745,382990,382990,32.62,32.95,1400,1000,3737207552,29.05,42.38,31.815,35.0505,2.61,0.08082997,USD,3740517632,0.0,108767981,113455000,740338,630561,1690761600,1693440000,0.0064999997,0.01279,0.1368,2.36,0.0066000004,113455000,17.999,1.8301015,1672444800,1703980800,1688083200,-0.111,248091008,2.26,3.1,1.46,2:1,891561600,-0.22072393,0.14113986,0.61,1691107200,NYQ,EQUITY,AB,AB,AllianceBernstein Holding L.P.,AllianceBernstein Holding L.P.,577027800,America/New_York,EDT,b86fc6b0-51f6-3d73-9e26-2d4c34e3a0a9,finmb_249248,-14400000,32.94,47.0,32.0,38.95,38.4,2.2,buy,4,0,3.002,0.14155,296908992,-0.232,0.0,0.0,0.0,USD,4.6834
2,501 Commerce Street,Nashville,TN,37203,United States,615-622-0000,212-969-2293,https://www.alliancebernstein.com,Asset Management,Asset Management,Financial Services,Financial Services,"AllianceBernstein Holding L.P. is a publicly owned investment manager. The firm is a related adviser The firm manages separate client focused portfolios for its clients. The firm primarily invests in common and preferred stocks, warrants and convertible securities, government and corporate fxed-income securities, commodities, currencies, real estate-related assets and infation-protected securities. The firm employs quantitative analysis along with long-term purchases, short-term purchases, trading, short sales, margin transactions, option strategies including writing covered options, uncovered options and spread strategies to make its investments. The firm obtains external research to complement its in-house research. The firm was formerly known as Alliance Capital Management Holding LP. AllianceBernstein Holding L.P. was founded in 1967 and is based in New York, New York.",4436,"{'maxAge': 1, 'name': 'Mr. Karl  Sprules', 'age': 48, 'title': 'Chief Operating Officer', 'yearBorn': 1974, 'fiscalYear': 2022, 'totalPay': 1972860, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,32.29,32.33,31.96,32.95,32.29,32.33,31.96,32.95,2.61,0.0792,1691107200,1.1991,8.64,1.306708,14.575221,10.625807,510762,510762,333745,382990,382990,32.62,32.95,1400,1000,3737207552,29.05,42.38,31.815,35.0505,2.61,0.08082997,USD,3740517632,0.0,108767981,113455000,740338,630561,1690761600,1693440000,0.0064999997,0.01279,0.1368,2.36,0.0066000004,113455000,17.999,1.8301015,1672444800,1703980800,1688083200,-0.111,248091008,2.26,3.1,1.46,2:1,891561600,-0.22072393,0.14113986,0.61,1691107200,NYQ,EQUITY,AB,AB,AllianceBernstein Holding L.P.,AllianceBernstein Holding L.P.,577027800,America/New_York,EDT,b86fc6b0-51f6-3d73-9e26-2d4c34e3a0a9,finmb_249248,-14400000,32.94,47.0,32.0,38.95,38.4,2.2,buy,4,0,3.002,0.14155,296908992,-0.232,0.0,0.0,0.0,USD,4.6834
3,501 Commerce Street,Nashville,TN,37203,United States,615-622-0000,212-969-2293,https://www.alliancebernstein.com,Asset Management,Asset Management,Financial Services,Financial Services,"AllianceBernstein Holding L.P. is a publicly owned investment manager. The firm is a related adviser The firm manages separate client focused portfolios for its clients. The firm primarily invests in common and preferred stocks, warrants and convertible securities, government and corporate fxed-income securities, commodities, currencies, real estate-related assets and infation-protected securities. The firm employs quantitative analysis along with long-term purchases, short-term purchases, trading, short sales, margin transactions, option strategies including writing covered options, uncovered options and spread strategies to make its investments. The firm obtains external research to complement its in-house research. The firm was formerly known as Alliance Capital Management Holding LP. AllianceBernstein Holding L.P. was founded in 1967 and is based in New York, New York.",4436,"{'maxAge': 1, 'name': 'Mr. Mark Randall Manley J.D.', 'age': 59, 'title': 'Sr. VP, Gen. Counsel & Global Head of Compliance', 'yearBorn': 1963, 'fiscalYear': 2022, 'totalPay': 1106898, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,32.29,32.33,31.96,32.95,32.29,32.33,31.96,32.95,2.61,0.0792,1691107200,1.1991,8.64,1.306708,14.575221,10.625807,510762,510762,333745,382990,382990,32.62,32.95,1400,1000,3737207552,29.05,42.38,31.815,35.0505,2.61,0.08082997,USD,3740517632,0.0,108767981,113455000,740338,630561,1690761600,1693440000,0.0064999997,0.01279,0.1368,2.36,0.0066000004,113455000,17.999,1.8301015,1672444800,1703980800,1688083200,-0.111,248091008,2.26,3.1,1.46,2:1,891561600,-0.22072393,0.14113986,0.61,1691107200,NYQ,EQUITY,AB,AB,AllianceBernstein Holding L.P.,AllianceBernstein Holding L.P.,577027800,America/New_York,EDT,b86fc6b0-51f6-3d73-9e26-2d4c34e3a0a9,finmb_249248,-14400000,32.94,47.0,32.0,38.95,38.4,2.2,buy,4,0,3.002,0.14155,296908992,-0.232,0.0,0.0,0.0,USD,4.6834
4,501 Commerce Street,Nashville,TN,37203,United States,615-622-0000,212-969-2293,https://www.alliancebernstein.com,Asset Management,Asset Management,Financial Services,Financial Services,"AllianceBernstein Holding L.P. is a publicly owned investment manager. The firm is a related adviser The firm manages separate client focused portfolios for its clients. The firm primarily invests in common and preferred stocks, warrants and convertible securities, government and corporate fxed-income securities, commodities, currencies, real estate-related assets and infation-protected securities. The firm employs quantitative analysis along with long-term purchases, short-term purchases, trading, short sales, margin transactions, option strategies including writing covered options, uncovered options and spread strategies to make its investments. The firm obtains external research to complement its in-house research. The firm was formerly known as Alliance Capital Management Holding LP. AllianceBernstein Holding L.P. was founded in 1967 and is based in New York, New York.",4436,"{'maxAge': 1, 'name': 'Mr. Onur  Erzan', 'age': 46, 'title': 'Head of Global Client Group & Head of Private Wealth', 'yearBorn': 1976, 'fiscalYear': 2022, 'totalPay': 2366868, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,32.29,32.33,31.96,32.95,32.29,32.33,31.96,32.95,2.61,0.0792,1691107200,1.1991,8.64,1.306708,14.575221,10.625807,510762,510762,333745,382990,382990,32.62,32.95,1400,1000,3737207552,29.05,42.38,31.815,35.0505,2.61,0.08082997,USD,3740517632,0.0,108767981,113455000,740338,630561,1690761600,1693440000,0.0064999997,0.01279,0.1368,2.36,0.0066000004,113455000,17.999,1.8301015,1672444800,1703980800,1688083200,-0.111,248091008,2.26,3.1,1.46,2:1,891561600,-0.22072393,0.14113986,0.61,1691107200,NYQ,EQUITY,AB,AB,AllianceBernstein Holding L.P.,AllianceBernstein Holding L.P.,577027800,America/New_York,EDT,b86fc6b0-51f6-3d73-9e26-2d4c34e3a0a9,finmb_249248,-14400000,32.94,47.0,32.0,38.95,38.4,2.2,buy,4,0,3.002,0.14155,296908992,-0.232,0.0,0.0,0.0,USD,4.6834
5,501 Commerce Street,Nashville,TN,37203,United States,615-622-0000,212-969-2293,https://www.alliancebernstein.com,Asset Management,Asset Management,Financial Services,Financial Services,"AllianceBernstein Holding L.P. is a publicly owned investment manager. The firm is a related adviser The firm manages separate client focused portfolios for its clients. The firm primarily invests in common and preferred stocks, warrants and convertible securities, government and corporate fxed-income securities, commodities, currencies, real estate-related assets and infation-protected securities. The firm employs quantitative analysis along with long-term purchases, short-term purchases, trading, short sales, margin transactions, option strategies including writing covered options, uncovered options and spread strategies to make its investments. The firm obtains external research to complement its in-house research. The firm was formerly known as Alliance Capital Management Holding LP. AllianceBernstein Holding L.P. was founded in 1967 and is based in New York, New York.",4436,"{'maxAge': 1, 'name': 'Mr. Thomas  Simeone', 'age': 44, 'title': 'Sr. VP, Controller & Chief Accounting Officer', 'yearBorn': 1978, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,32.29,32.33,31.96,32.95,32.29,32.33,31.96,32.95,2.61,0.0792,1691107200,1.1991,8.64,1.306708,14.575221,10.625807,510762,510762,333745,382990,382990,32.62,32.95,1400,1000,3737207552,29.05,42.38,31.815,35.0505,2.61,0.08082997,USD,3740517632,0.0,108767981,113455000,740338,630561,1690761600,1693440000,0.0064999997,0.01279,0.1368,2.36,0.0066000004,113455000,17.999,1.8301015,1672444800,1703980800,1688083200,-0.111,248091008,2.26,3.1,1.46,2:1,891561600,-0.22072393,0.14113986,0.61,1691107200,NYQ,EQUITY,AB,AB,AllianceBernstein Holding L.P.,AllianceBernstein Holding L.P.,577027800,America/New_York,EDT,b86fc6b0-51f6-3d73-9e26-2d4c34e3a0a9,finmb_249248,-14400000,32.94,47.0,32.0,38.95,38.4,2.2,buy,4,0,3.002,0.14155,296908992,-0.232,0.0,0.0,0.0,USD,4.6834
6,501 Commerce Street,Nashville,TN,37203,United States,615-622-0000,212-969-2293,https://www.alliancebernstein.com,Asset Management,Asset Management,Financial Services,Financial Services,"AllianceBernstein Holding L.P. is a publicly owned investment manager. The firm is a related adviser The firm manages separate client focused portfolios for its clients. The firm primarily invests in common and preferred stocks, warrants and convertible securities, government and corporate fxed-income securities, commodities, currencies, real estate-related assets and infation-protected securities. The firm employs quantitative analysis along with long-term purchases, short-term purchases, trading, short sales, margin transactions, option strategies including writing covered options, uncovered options and spread strategies to make its investments. The firm obtains external research to complement its in-house research. The firm was formerly known as Alliance Capital Management Holding LP. AllianceBernstein Holding L.P. was founded in 1967 and is based in New York, New York.",4436,"{'maxAge': 1, 'name': 'Mr. Mark C. Griffin CFA', 'title': 'Head of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,32.29,32.33,31.96,32.95,32.29,32.33,31.96,32.95,2.61,0.0792,1691107200,1.1991,8.64,1.306708,14.575221,10.625807,510762,510762,333745,382990,382990,32.62,32.95,1400,1000,3737207552,29.05,42.38,31.815,35.0505,2.61,0.08082997,USD,3740517632,0.0,108767981,113455000,740338,630561,1690761600,1693440000,0.0064999997,0.01279,0.1368,2.36,0.0066000004,113455000,17.999,1.8301015,1672444800,1703980800,1688083200,-0.111,248091008,2.26,3.1,1.46,2:1,891561600,-0.22072393,0.14113986,0.61,1691107200,NYQ,EQUITY,AB,AB,AllianceBernstein Holding L.P.,AllianceBernstein Holding L.P.,577027800,America/New_York,EDT,b86fc6b0-51f6-3d73-9e26-2d4c34e3a0a9,finmb_249248,-14400000,32.94,47.0,32.0,38.95,38.4,2.2,buy,4,0,3.002,0.14155,296908992,-0.232,0.0,0.0,0.0,USD,4.6834
7,501 Commerce Street,Nashville,TN,37203,United States,615-622-0000,212-969-2293,https://www.alliancebernstein.com,Asset Management,Asset Management,Financial Services,Financial Services,"AllianceBernstein Holding L.P. is a publicly owned investment manager. The firm is a related adviser The firm manages separate client focused portfolios for its clients. The firm primarily invests in common and preferred stocks, warrants and convertible securities, government and corporate fxed-income securities, commodities, currencies, real estate-related assets and infation-protected securities. The firm employs quantitative analysis along with long-term purchases, short-term purchases, trading, short sales, margin transactions, option strategies including writing covered options, uncovered options and spread strategies to make its investments. The firm obtains external research to complement its in-house research. The firm was formerly known as Alliance Capital Management Holding LP. AllianceBernstein Holding L.P. was founded in 1967 and is based in New York, New York.",4436,"{'maxAge': 1, 'name': 'Mr. John  Meyers', 'title': 'Director of Corp. Communications', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,32.29,32.33,31.96,32.95,32.29,32.33,31.96,32.95,2.61,0.0792,1691107200,1.1991,8.64,1.306708,14.575221,10.625807,510762,510762,333745,382990,382990,32.62,32.95,1400,1000,3737207552,29.05,42.38,31.815,35.0505,2.61,0.08082997,USD,3740517632,0.0,108767981,113455000,740338,630561,1690761600,1693440000,0.0064999997,0.01279,0.1368,2.36,0.0066000004,113455000,17.999,1.8301015,1672444800,1703980800,1688083200,-0.111,248091008,2.26,3.1,1.46,2:1,891561600,-0.22072393,0.14113986,0.61,1691107200,NYQ,EQUITY,AB,AB,AllianceBernstein Holding L.P.,AllianceBernstein Holding L.P.,577027800,America/New_York,EDT,b86fc6b0-51f6-3d73-9e26-2d4c34e3a0a9,finmb_249248,-14400000,32.94,47.0,32.0,38.95,38.4,2.2,buy,4,0,3.002,0.14155,296908992,-0.232,0.0,0.0,0.0,USD,4.6834
8,501 Commerce Street,Nashville,TN,37203,United States,615-622-0000,212-969-2293,https://www.alliancebernstein.com,Asset Management,Asset Management,Financial Services,Financial Services,"AllianceBernstein Holding L.P. is a publicly owned investment manager. The firm is a related adviser The firm manages separate client focused portfolios for its clients. The firm primarily invests in common and preferred stocks, warrants and convertible securities, government and corporate fxed-income securities, commodities, currencies, real estate-related assets and infation-protected securities. The firm employs quantitative analysis along with long-term purchases, short-term purchases, trading, short sales, margin transactions, option strategies including writing covered options, uncovered options and spread strategies to make its investments. The firm obtains external research to complement its in-house research. The firm was formerly known as Alliance Capital Management Holding LP. AllianceBernstein Holding L.P. was founded in 1967 and is based in New York, New York.",4436,"{'maxAge': 1, 'name': 'Steven  Eisenberg', 'title': 'COO for Global Client Group and Head of Marketing & Client Service', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,32.29,32.33,31.96,32.95,32.29,32.33,31.96,32.95,2.61,0.0792,1691107200,1.1991,8.64,1.306708,14.575221,10.625807,510762,510762,333745,382990,382990,32.62,32.95,1400,1000,3737207552,29.05,42.38,31.815,35.0505,2.61,0.08082997,USD,3740517632,0.0,108767981,113455000,740338,630561,1690761600,1693440000,0.0064999997,0.01279,0.1368,2.36,0.0066000004,113455000,17.999,1.8301015,1672444800,1703980800,1688083200,-0.111,248091008,2.26,3.1,1.46,2:1,891561600,-0.22072393,0.14113986,0.61,1691107200,NYQ,EQUITY,AB,AB,AllianceBernstein Holding L.P.,AllianceBernstein Holding L.P.,577027800,America/New_York,EDT,b86fc6b0-51f6-3d73-9e26-2d4c34e3a0a9,finmb_249248,-14400000,32.94,47.0,32.0,38.95,38.4,2.2,buy,4,0,3.002,0.14155,296908992,-0.232,0.0,0.0,0.0,USD,4.6834
9,501 Commerce Street,Nashville,TN,37203,United States,615-622-0000,212-969-2293,https://www.alliancebernstein.com,Asset Management,Asset Management,Financial Services,Financial Services,"AllianceBernstein Holding L.P. is a publicly owned investment manager. The firm is a related adviser The firm manages separate client focused portfolios for its clients. The firm primarily invests in common and preferred stocks, warrants and convertible securities, government and corporate fxed-income securities, commodities, currencies, real estate-related assets and infation-protected securities. The firm employs quantitative analysis along with long-term purchases, short-term purchases, trading, short sales, margin transactions, option strategies including writing covered options, uncovered options and spread strategies to make its investments. The firm obtains external research to complement its in-house research. The firm was formerly known as Alliance Capital Management Holding LP. AllianceBernstein Holding L.P. was founded in 1967 and is based in New York, New York.",4436,"{'maxAge': 1, 'name': 'Mr. Thomas S. Hexner', 'age': 65, 'title': 'Exec. VP and Head of Bernstein Gwm', 'yearBorn': 1957, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,32.29,32.33,31.96,32.95,32.29,32.33,31.96,32.95,2.61,0.0792,1691107200,1.1991,8.64,1.306708,14.575221,10.625807,510762,510762,333745,382990,382990,32.62,32.95,1400,1000,3737207552,29.05,42.38,31.815,35.0505,2.61,0.08082997,USD,3740517632,0.0,108767981,113455000,740338,630561,1690761600,1693440000,0.0064999997,0.01279,0.1368,2.36,0.0066000004,113455000,17.999,1.8301015,1672444800,1703980800,1688083200,-0.111,248091008,2.26,3.1,1.46,2:1,891561600,-0.22072393,0.14113986,0.61,1691107200,NYQ,EQUITY,AB,AB,AllianceBernstein Holding L.P.,AllianceBernstein Holding L.P.,577027800,America/New_York,EDT,b86fc6b0-51f6-3d73-9e26-2d4c34e3a0a9,finmb_249248,-14400000,32.94,47.0,32.0,38.95,38.4,2.2,buy,4,0,3.002,0.14155,296908992,-0.232,0.0,0.0,0.0,USD,4.6834
