,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,3900 Dallas Parkway,Plano,TX,75093,United States,972 665 1000,https://ir.cinemark.com,Entertainment,Communication Services,"Cinemark Holdings, Inc., together with its subsidiaries, engages in the motion picture exhibition business. As of February 24, 20223 it operated 518 theatres with 5,847 screens in the United States, and South and Central America. The company was founded in 1984 and is headquartered in Plano, Texas.",8340,"{'maxAge': 1, 'name': 'Mr. Sean  Gamble', 'age': 47, 'title': 'CEO, Pres & Director', 'yearBorn': 1975, 'fiscalYear': 2022, 'totalPay': 2326215, 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,5,6,4,1693526400,1672444800,86400,2,16.52,16.4,16.4,16.95,16.52,16.4,16.4,16.95,1583366400,0.0,2.273513,13.416,3382437,3382437,2694919,2022790,2022790,16.69,16.75,800,1100,2039802240,8.28,18.85,0.72769517,16.5836,14.58005,0.0,0.0,USD,4866008576,-0.00278,106225950,121634000,23330158,22821039,1690761600,1693440000,0.1918,0.10627,1.12991,8.01,0.3121,2.053,8.168534,1672444800,1703980800,1688083200,-7900000,-0.21,1.25,1.33,1.736,10.318,NYQ,EQUITY,CNK,CNK,Cinemark Holdings Inc Cinemark ,"Cinemark Holdings, Inc.",1177421400,America/New_York,EDT,-14400000,16.77,24.0,14.0,19.67,20.0,2.4,buy,12,772300032,6.48,471600000,3629499904,1.213,1.31,2803099904,1424.45,23.625,0.031519998,-0.02027,1178200000,185212496,341000000,0.266,0.49021,0.16824,0.08862001,USD,1.4432
1,3900 Dallas Parkway,Plano,TX,75093,United States,972 665 1000,https://ir.cinemark.com,Entertainment,Communication Services,"Cinemark Holdings, Inc., together with its subsidiaries, engages in the motion picture exhibition business. As of February 24, 20223 it operated 518 theatres with 5,847 screens in the United States, and South and Central America. The company was founded in 1984 and is headquartered in Plano, Texas.",8340,"{'maxAge': 1, 'name': 'Ms. Melissa  Thomas', 'age': 41, 'title': 'Exec. VP & CFO', 'yearBorn': 1981, 'fiscalYear': 2022, 'totalPay': 1409931, 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,5,6,4,1693526400,1672444800,86400,2,16.52,16.4,16.4,16.95,16.52,16.4,16.4,16.95,1583366400,0.0,2.273513,13.416,3382437,3382437,2694919,2022790,2022790,16.69,16.75,800,1100,2039802240,8.28,18.85,0.72769517,16.5836,14.58005,0.0,0.0,USD,4866008576,-0.00278,106225950,121634000,23330158,22821039,1690761600,1693440000,0.1918,0.10627,1.12991,8.01,0.3121,2.053,8.168534,1672444800,1703980800,1688083200,-7900000,-0.21,1.25,1.33,1.736,10.318,NYQ,EQUITY,CNK,CNK,Cinemark Holdings Inc Cinemark ,"Cinemark Holdings, Inc.",1177421400,America/New_York,EDT,-14400000,16.77,24.0,14.0,19.67,20.0,2.4,buy,12,772300032,6.48,471600000,3629499904,1.213,1.31,2803099904,1424.45,23.625,0.031519998,-0.02027,1178200000,185212496,341000000,0.266,0.49021,0.16824,0.08862001,USD,1.4432
2,3900 Dallas Parkway,Plano,TX,75093,United States,972 665 1000,https://ir.cinemark.com,Entertainment,Communication Services,"Cinemark Holdings, Inc., together with its subsidiaries, engages in the motion picture exhibition business. As of February 24, 20223 it operated 518 theatres with 5,847 screens in the United States, and South and Central America. The company was founded in 1984 and is headquartered in Plano, Texas.",8340,"{'maxAge': 1, 'name': 'Mr. Michael D. Cavalier', 'age': 55, 'title': 'Exec. VP of Bus. Affairs, Gen. Counsel & Sec.', 'yearBorn': 1967, 'fiscalYear': 2022, 'totalPay': 1485875, 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,5,6,4,1693526400,1672444800,86400,2,16.52,16.4,16.4,16.95,16.52,16.4,16.4,16.95,1583366400,0.0,2.273513,13.416,3382437,3382437,2694919,2022790,2022790,16.69,16.75,800,1100,2039802240,8.28,18.85,0.72769517,16.5836,14.58005,0.0,0.0,USD,4866008576,-0.00278,106225950,121634000,23330158,22821039,1690761600,1693440000,0.1918,0.10627,1.12991,8.01,0.3121,2.053,8.168534,1672444800,1703980800,1688083200,-7900000,-0.21,1.25,1.33,1.736,10.318,NYQ,EQUITY,CNK,CNK,Cinemark Holdings Inc Cinemark ,"Cinemark Holdings, Inc.",1177421400,America/New_York,EDT,-14400000,16.77,24.0,14.0,19.67,20.0,2.4,buy,12,772300032,6.48,471600000,3629499904,1.213,1.31,2803099904,1424.45,23.625,0.031519998,-0.02027,1178200000,185212496,341000000,0.266,0.49021,0.16824,0.08862001,USD,1.4432
3,3900 Dallas Parkway,Plano,TX,75093,United States,972 665 1000,https://ir.cinemark.com,Entertainment,Communication Services,"Cinemark Holdings, Inc., together with its subsidiaries, engages in the motion picture exhibition business. As of February 24, 20223 it operated 518 theatres with 5,847 screens in the United States, and South and Central America. The company was founded in 1984 and is headquartered in Plano, Texas.",8340,"{'maxAge': 1, 'name': 'Ms. Wanda M. Gierhart Fearing', 'age': 58, 'title': 'Chief Marketing and Content Officer', 'yearBorn': 1964, 'fiscalYear': 2022, 'totalPay': 1105848, 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,5,6,4,1693526400,1672444800,86400,2,16.52,16.4,16.4,16.95,16.52,16.4,16.4,16.95,1583366400,0.0,2.273513,13.416,3382437,3382437,2694919,2022790,2022790,16.69,16.75,800,1100,2039802240,8.28,18.85,0.72769517,16.5836,14.58005,0.0,0.0,USD,4866008576,-0.00278,106225950,121634000,23330158,22821039,1690761600,1693440000,0.1918,0.10627,1.12991,8.01,0.3121,2.053,8.168534,1672444800,1703980800,1688083200,-7900000,-0.21,1.25,1.33,1.736,10.318,NYQ,EQUITY,CNK,CNK,Cinemark Holdings Inc Cinemark ,"Cinemark Holdings, Inc.",1177421400,America/New_York,EDT,-14400000,16.77,24.0,14.0,19.67,20.0,2.4,buy,12,772300032,6.48,471600000,3629499904,1.213,1.31,2803099904,1424.45,23.625,0.031519998,-0.02027,1178200000,185212496,341000000,0.266,0.49021,0.16824,0.08862001,USD,1.4432
4,3900 Dallas Parkway,Plano,TX,75093,United States,972 665 1000,https://ir.cinemark.com,Entertainment,Communication Services,"Cinemark Holdings, Inc., together with its subsidiaries, engages in the motion picture exhibition business. As of February 24, 20223 it operated 518 theatres with 5,847 screens in the United States, and South and Central America. The company was founded in 1984 and is headquartered in Plano, Texas.",8340,"{'maxAge': 1, 'name': 'Mr. Valmir  Fernandes', 'age': 61, 'title': 'Pres of Cinemark International', 'yearBorn': 1961, 'fiscalYear': 2022, 'totalPay': 1470711, 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,5,6,4,1693526400,1672444800,86400,2,16.52,16.4,16.4,16.95,16.52,16.4,16.4,16.95,1583366400,0.0,2.273513,13.416,3382437,3382437,2694919,2022790,2022790,16.69,16.75,800,1100,2039802240,8.28,18.85,0.72769517,16.5836,14.58005,0.0,0.0,USD,4866008576,-0.00278,106225950,121634000,23330158,22821039,1690761600,1693440000,0.1918,0.10627,1.12991,8.01,0.3121,2.053,8.168534,1672444800,1703980800,1688083200,-7900000,-0.21,1.25,1.33,1.736,10.318,NYQ,EQUITY,CNK,CNK,Cinemark Holdings Inc Cinemark ,"Cinemark Holdings, Inc.",1177421400,America/New_York,EDT,-14400000,16.77,24.0,14.0,19.67,20.0,2.4,buy,12,772300032,6.48,471600000,3629499904,1.213,1.31,2803099904,1424.45,23.625,0.031519998,-0.02027,1178200000,185212496,341000000,0.266,0.49021,0.16824,0.08862001,USD,1.4432
5,3900 Dallas Parkway,Plano,TX,75093,United States,972 665 1000,https://ir.cinemark.com,Entertainment,Communication Services,"Cinemark Holdings, Inc., together with its subsidiaries, engages in the motion picture exhibition business. As of February 24, 20223 it operated 518 theatres with 5,847 screens in the United States, and South and Central America. The company was founded in 1984 and is headquartered in Plano, Texas.",8340,"{'maxAge': 1, 'name': 'Caren  Bedard', 'title': 'Sr. VP, Global Controller, Treasury & Principal Accounting Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,5,6,4,1693526400,1672444800,86400,2,16.52,16.4,16.4,16.95,16.52,16.4,16.4,16.95,1583366400,0.0,2.273513,13.416,3382437,3382437,2694919,2022790,2022790,16.69,16.75,800,1100,2039802240,8.28,18.85,0.72769517,16.5836,14.58005,0.0,0.0,USD,4866008576,-0.00278,106225950,121634000,23330158,22821039,1690761600,1693440000,0.1918,0.10627,1.12991,8.01,0.3121,2.053,8.168534,1672444800,1703980800,1688083200,-7900000,-0.21,1.25,1.33,1.736,10.318,NYQ,EQUITY,CNK,CNK,Cinemark Holdings Inc Cinemark ,"Cinemark Holdings, Inc.",1177421400,America/New_York,EDT,-14400000,16.77,24.0,14.0,19.67,20.0,2.4,buy,12,772300032,6.48,471600000,3629499904,1.213,1.31,2803099904,1424.45,23.625,0.031519998,-0.02027,1178200000,185212496,341000000,0.266,0.49021,0.16824,0.08862001,USD,1.4432
6,3900 Dallas Parkway,Plano,TX,75093,United States,972 665 1000,https://ir.cinemark.com,Entertainment,Communication Services,"Cinemark Holdings, Inc., together with its subsidiaries, engages in the motion picture exhibition business. As of February 24, 20223 it operated 518 theatres with 5,847 screens in the United States, and South and Central America. The company was founded in 1984 and is headquartered in Plano, Texas.",8340,"{'maxAge': 1, 'name': 'Ms. Chanda E. Brashears', 'age': 43, 'title': 'SVP of Investor Relations, PR & Corp. Communications', 'yearBorn': 1979, 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,5,6,4,1693526400,1672444800,86400,2,16.52,16.4,16.4,16.95,16.52,16.4,16.4,16.95,1583366400,0.0,2.273513,13.416,3382437,3382437,2694919,2022790,2022790,16.69,16.75,800,1100,2039802240,8.28,18.85,0.72769517,16.5836,14.58005,0.0,0.0,USD,4866008576,-0.00278,106225950,121634000,23330158,22821039,1690761600,1693440000,0.1918,0.10627,1.12991,8.01,0.3121,2.053,8.168534,1672444800,1703980800,1688083200,-7900000,-0.21,1.25,1.33,1.736,10.318,NYQ,EQUITY,CNK,CNK,Cinemark Holdings Inc Cinemark ,"Cinemark Holdings, Inc.",1177421400,America/New_York,EDT,-14400000,16.77,24.0,14.0,19.67,20.0,2.4,buy,12,772300032,6.48,471600000,3629499904,1.213,1.31,2803099904,1424.45,23.625,0.031519998,-0.02027,1178200000,185212496,341000000,0.266,0.49021,0.16824,0.08862001,USD,1.4432
7,3900 Dallas Parkway,Plano,TX,75093,United States,972 665 1000,https://ir.cinemark.com,Entertainment,Communication Services,"Cinemark Holdings, Inc., together with its subsidiaries, engages in the motion picture exhibition business. As of February 24, 20223 it operated 518 theatres with 5,847 screens in the United States, and South and Central America. The company was founded in 1984 and is headquartered in Plano, Texas.",8340,"{'maxAge': 1, 'name': 'Mr. Sid  Srivastava', 'title': 'Exec. VP of HR, Diversity, Equity & Inclusion and Corp. Social Responsibility', 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,5,6,4,1693526400,1672444800,86400,2,16.52,16.4,16.4,16.95,16.52,16.4,16.4,16.95,1583366400,0.0,2.273513,13.416,3382437,3382437,2694919,2022790,2022790,16.69,16.75,800,1100,2039802240,8.28,18.85,0.72769517,16.5836,14.58005,0.0,0.0,USD,4866008576,-0.00278,106225950,121634000,23330158,22821039,1690761600,1693440000,0.1918,0.10627,1.12991,8.01,0.3121,2.053,8.168534,1672444800,1703980800,1688083200,-7900000,-0.21,1.25,1.33,1.736,10.318,NYQ,EQUITY,CNK,CNK,Cinemark Holdings Inc Cinemark ,"Cinemark Holdings, Inc.",1177421400,America/New_York,EDT,-14400000,16.77,24.0,14.0,19.67,20.0,2.4,buy,12,772300032,6.48,471600000,3629499904,1.213,1.31,2803099904,1424.45,23.625,0.031519998,-0.02027,1178200000,185212496,341000000,0.266,0.49021,0.16824,0.08862001,USD,1.4432
8,3900 Dallas Parkway,Plano,TX,75093,United States,972 665 1000,https://ir.cinemark.com,Entertainment,Communication Services,"Cinemark Holdings, Inc., together with its subsidiaries, engages in the motion picture exhibition business. As of February 24, 20223 it operated 518 theatres with 5,847 screens in the United States, and South and Central America. The company was founded in 1984 and is headquartered in Plano, Texas.",8340,"{'maxAge': 1, 'name': 'Mr. Steven  Zuehlke', 'age': 63, 'title': 'Exec. VP of Global Theatre Operations', 'yearBorn': 1959, 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,5,6,4,1693526400,1672444800,86400,2,16.52,16.4,16.4,16.95,16.52,16.4,16.4,16.95,1583366400,0.0,2.273513,13.416,3382437,3382437,2694919,2022790,2022790,16.69,16.75,800,1100,2039802240,8.28,18.85,0.72769517,16.5836,14.58005,0.0,0.0,USD,4866008576,-0.00278,106225950,121634000,23330158,22821039,1690761600,1693440000,0.1918,0.10627,1.12991,8.01,0.3121,2.053,8.168534,1672444800,1703980800,1688083200,-7900000,-0.21,1.25,1.33,1.736,10.318,NYQ,EQUITY,CNK,CNK,Cinemark Holdings Inc Cinemark ,"Cinemark Holdings, Inc.",1177421400,America/New_York,EDT,-14400000,16.77,24.0,14.0,19.67,20.0,2.4,buy,12,772300032,6.48,471600000,3629499904,1.213,1.31,2803099904,1424.45,23.625,0.031519998,-0.02027,1178200000,185212496,341000000,0.266,0.49021,0.16824,0.08862001,USD,1.4432
9,3900 Dallas Parkway,Plano,TX,75093,United States,972 665 1000,https://ir.cinemark.com,Entertainment,Communication Services,"Cinemark Holdings, Inc., together with its subsidiaries, engages in the motion picture exhibition business. As of February 24, 20223 it operated 518 theatres with 5,847 screens in the United States, and South and Central America. The company was founded in 1984 and is headquartered in Plano, Texas.",8340,"{'maxAge': 1, 'name': 'Mr. Justin  McDaniel', 'title': 'Sr. VP of Global Content Strategy & Analysis', 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,5,6,4,1693526400,1672444800,86400,2,16.52,16.4,16.4,16.95,16.52,16.4,16.4,16.95,1583366400,0.0,2.273513,13.416,3382437,3382437,2694919,2022790,2022790,16.69,16.75,800,1100,2039802240,8.28,18.85,0.72769517,16.5836,14.58005,0.0,0.0,USD,4866008576,-0.00278,106225950,121634000,23330158,22821039,1690761600,1693440000,0.1918,0.10627,1.12991,8.01,0.3121,2.053,8.168534,1672444800,1703980800,1688083200,-7900000,-0.21,1.25,1.33,1.736,10.318,NYQ,EQUITY,CNK,CNK,Cinemark Holdings Inc Cinemark ,"Cinemark Holdings, Inc.",1177421400,America/New_York,EDT,-14400000,16.77,24.0,14.0,19.67,20.0,2.4,buy,12,772300032,6.48,471600000,3629499904,1.213,1.31,2803099904,1424.45,23.625,0.031519998,-0.02027,1178200000,185212496,341000000,0.266,0.49021,0.16824,0.08862001,USD,1.4432
