,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,fiveYearAvgDividendYield,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,111 Huntington Avenue,Boston,MA,02199,United States,617 954 5000,https://www.mfs.com/en-us/individual-investor/product-strategies/closed-end-funds/MGF-mfs-government-markets-income-trust.html#tab-overview,Asset Management,Financial Services,"MFS Government Markets Income Trust is a close ended fixed income mutual fund launched and managed by Massachusetts Financial Services Company. The fund invests in the fixed income markets of United States. It primarily invests in investment grade debt instruments. The fund also invests in mortgage backed, U.S. government agencies, international sovereigns, U.S. treasuries, cash and other net assets, emerging markets debt, high grade corporates, and residential mortgage backed securities. It benchmarks the performance of its portfolio against the Barclays U.S. Government/Mortgage Bond Index. MFS Government Markets Income Trust was formed in May 28, 1987 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Ms. Robin Ann Stelmach', 'age': 61, 'title': 'Pres and Trustee', 'yearBorn': 1961, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,3.11,3.12,3.1,3.12,3.11,3.12,3.1,3.12,0.25,0.081499994,1694476800,7.88,0.202282,72927,72927,61758,44460,44460,3.06,3.14,800,800,101377912,3.1,3.49,27.490406,3.1814,3.27445,0.263,0.08456592,USD,101376392,-0.78797996,32597400,9963,2012,1690761600,1693440000,0.00029999999,0.0,0.53113997,0.14,3.476,0.8947065,1669766400,1701302400,1685491200,-2905886,-0.09,27.49,NYQ,EQUITY,MGF,MGF,MFS Government Markets Income T,MFS Government Markets Income Trust,548515800,America/New_York,EDT,-14400000,3.11,none,1500,0.0,0,0.133,0.141,3687756,0.113,0.01329,-0.024419999,2921898,0.594,1.0,0.0,0.74948,USD,
1,111 Huntington Avenue,Boston,MA,02199,United States,617 954 5000,https://www.mfs.com/en-us/individual-investor/product-strategies/closed-end-funds/MGF-mfs-government-markets-income-trust.html#tab-overview,Asset Management,Financial Services,"MFS Government Markets Income Trust is a close ended fixed income mutual fund launched and managed by Massachusetts Financial Services Company. The fund invests in the fixed income markets of United States. It primarily invests in investment grade debt instruments. The fund also invests in mortgage backed, U.S. government agencies, international sovereigns, U.S. treasuries, cash and other net assets, emerging markets debt, high grade corporates, and residential mortgage backed securities. It benchmarks the performance of its portfolio against the Barclays U.S. Government/Mortgage Bond Index. MFS Government Markets Income Trust was formed in May 28, 1987 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Frank L. Tarantino', 'age': 78, 'title': 'Independent Chief Compliance Officer', 'yearBorn': 1944, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,3.11,3.12,3.1,3.12,3.11,3.12,3.1,3.12,0.25,0.081499994,1694476800,7.88,0.202282,72927,72927,61758,44460,44460,3.06,3.14,800,800,101377912,3.1,3.49,27.490406,3.1814,3.27445,0.263,0.08456592,USD,101376392,-0.78797996,32597400,9963,2012,1690761600,1693440000,0.00029999999,0.0,0.53113997,0.14,3.476,0.8947065,1669766400,1701302400,1685491200,-2905886,-0.09,27.49,NYQ,EQUITY,MGF,MGF,MFS Government Markets Income T,MFS Government Markets Income Trust,548515800,America/New_York,EDT,-14400000,3.11,none,1500,0.0,0,0.133,0.141,3687756,0.113,0.01329,-0.024419999,2921898,0.594,1.0,0.0,0.74948,USD,
2,111 Huntington Avenue,Boston,MA,02199,United States,617 954 5000,https://www.mfs.com/en-us/individual-investor/product-strategies/closed-end-funds/MGF-mfs-government-markets-income-trust.html#tab-overview,Asset Management,Financial Services,"MFS Government Markets Income Trust is a close ended fixed income mutual fund launched and managed by Massachusetts Financial Services Company. The fund invests in the fixed income markets of United States. It primarily invests in investment grade debt instruments. The fund also invests in mortgage backed, U.S. government agencies, international sovereigns, U.S. treasuries, cash and other net assets, emerging markets debt, high grade corporates, and residential mortgage backed securities. It benchmarks the performance of its portfolio against the Barclays U.S. Government/Mortgage Bond Index. MFS Government Markets Income Trust was formed in May 28, 1987 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Richard S. Weitzel', 'age': 52, 'title': 'Assistant Sec. and Assistant Clerk', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,3.11,3.12,3.1,3.12,3.11,3.12,3.1,3.12,0.25,0.081499994,1694476800,7.88,0.202282,72927,72927,61758,44460,44460,3.06,3.14,800,800,101377912,3.1,3.49,27.490406,3.1814,3.27445,0.263,0.08456592,USD,101376392,-0.78797996,32597400,9963,2012,1690761600,1693440000,0.00029999999,0.0,0.53113997,0.14,3.476,0.8947065,1669766400,1701302400,1685491200,-2905886,-0.09,27.49,NYQ,EQUITY,MGF,MGF,MFS Government Markets Income T,MFS Government Markets Income Trust,548515800,America/New_York,EDT,-14400000,3.11,none,1500,0.0,0,0.133,0.141,3687756,0.113,0.01329,-0.024419999,2921898,0.594,1.0,0.0,0.74948,USD,
3,111 Huntington Avenue,Boston,MA,02199,United States,617 954 5000,https://www.mfs.com/en-us/individual-investor/product-strategies/closed-end-funds/MGF-mfs-government-markets-income-trust.html#tab-overview,Asset Management,Financial Services,"MFS Government Markets Income Trust is a close ended fixed income mutual fund launched and managed by Massachusetts Financial Services Company. The fund invests in the fixed income markets of United States. It primarily invests in investment grade debt instruments. The fund also invests in mortgage backed, U.S. government agencies, international sovereigns, U.S. treasuries, cash and other net assets, emerging markets debt, high grade corporates, and residential mortgage backed securities. It benchmarks the performance of its portfolio against the Barclays U.S. Government/Mortgage Bond Index. MFS Government Markets Income Trust was formed in May 28, 1987 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Kasey L. Philips', 'age': 51, 'title': 'Assistant Treasurer', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,3.11,3.12,3.1,3.12,3.11,3.12,3.1,3.12,0.25,0.081499994,1694476800,7.88,0.202282,72927,72927,61758,44460,44460,3.06,3.14,800,800,101377912,3.1,3.49,27.490406,3.1814,3.27445,0.263,0.08456592,USD,101376392,-0.78797996,32597400,9963,2012,1690761600,1693440000,0.00029999999,0.0,0.53113997,0.14,3.476,0.8947065,1669766400,1701302400,1685491200,-2905886,-0.09,27.49,NYQ,EQUITY,MGF,MGF,MFS Government Markets Income T,MFS Government Markets Income Trust,548515800,America/New_York,EDT,-14400000,3.11,none,1500,0.0,0,0.133,0.141,3687756,0.113,0.01329,-0.024419999,2921898,0.594,1.0,0.0,0.74948,USD,
4,111 Huntington Avenue,Boston,MA,02199,United States,617 954 5000,https://www.mfs.com/en-us/individual-investor/product-strategies/closed-end-funds/MGF-mfs-government-markets-income-trust.html#tab-overview,Asset Management,Financial Services,"MFS Government Markets Income Trust is a close ended fixed income mutual fund launched and managed by Massachusetts Financial Services Company. The fund invests in the fixed income markets of United States. It primarily invests in investment grade debt instruments. The fund also invests in mortgage backed, U.S. government agencies, international sovereigns, U.S. treasuries, cash and other net assets, emerging markets debt, high grade corporates, and residential mortgage backed securities. It benchmarks the performance of its portfolio against the Barclays U.S. Government/Mortgage Bond Index. MFS Government Markets Income Trust was formed in May 28, 1987 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Brian E. Langenfeld', 'age': 49, 'title': 'Assistant Sec. and Assistant Clerk', 'yearBorn': 1973, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,3.11,3.12,3.1,3.12,3.11,3.12,3.1,3.12,0.25,0.081499994,1694476800,7.88,0.202282,72927,72927,61758,44460,44460,3.06,3.14,800,800,101377912,3.1,3.49,27.490406,3.1814,3.27445,0.263,0.08456592,USD,101376392,-0.78797996,32597400,9963,2012,1690761600,1693440000,0.00029999999,0.0,0.53113997,0.14,3.476,0.8947065,1669766400,1701302400,1685491200,-2905886,-0.09,27.49,NYQ,EQUITY,MGF,MGF,MFS Government Markets Income T,MFS Government Markets Income Trust,548515800,America/New_York,EDT,-14400000,3.11,none,1500,0.0,0,0.133,0.141,3687756,0.113,0.01329,-0.024419999,2921898,0.594,1.0,0.0,0.74948,USD,
5,111 Huntington Avenue,Boston,MA,02199,United States,617 954 5000,https://www.mfs.com/en-us/individual-investor/product-strategies/closed-end-funds/MGF-mfs-government-markets-income-trust.html#tab-overview,Asset Management,Financial Services,"MFS Government Markets Income Trust is a close ended fixed income mutual fund launched and managed by Massachusetts Financial Services Company. The fund invests in the fixed income markets of United States. It primarily invests in investment grade debt instruments. The fund also invests in mortgage backed, U.S. government agencies, international sovereigns, U.S. treasuries, cash and other net assets, emerging markets debt, high grade corporates, and residential mortgage backed securities. It benchmarks the performance of its portfolio against the Barclays U.S. Government/Mortgage Bond Index. MFS Government Markets Income Trust was formed in May 28, 1987 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Ms. Susan A. Pereira', 'age': 51, 'title': 'Assistant Sec. and Assistant Clerk', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,3.11,3.12,3.1,3.12,3.11,3.12,3.1,3.12,0.25,0.081499994,1694476800,7.88,0.202282,72927,72927,61758,44460,44460,3.06,3.14,800,800,101377912,3.1,3.49,27.490406,3.1814,3.27445,0.263,0.08456592,USD,101376392,-0.78797996,32597400,9963,2012,1690761600,1693440000,0.00029999999,0.0,0.53113997,0.14,3.476,0.8947065,1669766400,1701302400,1685491200,-2905886,-0.09,27.49,NYQ,EQUITY,MGF,MGF,MFS Government Markets Income T,MFS Government Markets Income Trust,548515800,America/New_York,EDT,-14400000,3.11,none,1500,0.0,0,0.133,0.141,3687756,0.113,0.01329,-0.024419999,2921898,0.594,1.0,0.0,0.74948,USD,
6,111 Huntington Avenue,Boston,MA,02199,United States,617 954 5000,https://www.mfs.com/en-us/individual-investor/product-strategies/closed-end-funds/MGF-mfs-government-markets-income-trust.html#tab-overview,Asset Management,Financial Services,"MFS Government Markets Income Trust is a close ended fixed income mutual fund launched and managed by Massachusetts Financial Services Company. The fund invests in the fixed income markets of United States. It primarily invests in investment grade debt instruments. The fund also invests in mortgage backed, U.S. government agencies, international sovereigns, U.S. treasuries, cash and other net assets, emerging markets debt, high grade corporates, and residential mortgage backed securities. It benchmarks the performance of its portfolio against the Barclays U.S. Government/Mortgage Bond Index. MFS Government Markets Income Trust was formed in May 28, 1987 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Ethan D. Corey', 'age': 58, 'title': 'Assistant Sec. and Assistant Clerk', 'yearBorn': 1964, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,3.11,3.12,3.1,3.12,3.11,3.12,3.1,3.12,0.25,0.081499994,1694476800,7.88,0.202282,72927,72927,61758,44460,44460,3.06,3.14,800,800,101377912,3.1,3.49,27.490406,3.1814,3.27445,0.263,0.08456592,USD,101376392,-0.78797996,32597400,9963,2012,1690761600,1693440000,0.00029999999,0.0,0.53113997,0.14,3.476,0.8947065,1669766400,1701302400,1685491200,-2905886,-0.09,27.49,NYQ,EQUITY,MGF,MGF,MFS Government Markets Income T,MFS Government Markets Income Trust,548515800,America/New_York,EDT,-14400000,3.11,none,1500,0.0,0,0.133,0.141,3687756,0.113,0.01329,-0.024419999,2921898,0.594,1.0,0.0,0.74948,USD,
7,111 Huntington Avenue,Boston,MA,02199,United States,617 954 5000,https://www.mfs.com/en-us/individual-investor/product-strategies/closed-end-funds/MGF-mfs-government-markets-income-trust.html#tab-overview,Asset Management,Financial Services,"MFS Government Markets Income Trust is a close ended fixed income mutual fund launched and managed by Massachusetts Financial Services Company. The fund invests in the fixed income markets of United States. It primarily invests in investment grade debt instruments. The fund also invests in mortgage backed, U.S. government agencies, international sovereigns, U.S. treasuries, cash and other net assets, emerging markets debt, high grade corporates, and residential mortgage backed securities. It benchmarks the performance of its portfolio against the Barclays U.S. Government/Mortgage Bond Index. MFS Government Markets Income Trust was formed in May 28, 1987 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Thomas H. Connors', 'age': 62, 'title': 'Assistant Sec. and Assistant Clerk', 'yearBorn': 1960, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,3.11,3.12,3.1,3.12,3.11,3.12,3.1,3.12,0.25,0.081499994,1694476800,7.88,0.202282,72927,72927,61758,44460,44460,3.06,3.14,800,800,101377912,3.1,3.49,27.490406,3.1814,3.27445,0.263,0.08456592,USD,101376392,-0.78797996,32597400,9963,2012,1690761600,1693440000,0.00029999999,0.0,0.53113997,0.14,3.476,0.8947065,1669766400,1701302400,1685491200,-2905886,-0.09,27.49,NYQ,EQUITY,MGF,MGF,MFS Government Markets Income T,MFS Government Markets Income Trust,548515800,America/New_York,EDT,-14400000,3.11,none,1500,0.0,0,0.133,0.141,3687756,0.113,0.01329,-0.024419999,2921898,0.594,1.0,0.0,0.74948,USD,
8,111 Huntington Avenue,Boston,MA,02199,United States,617 954 5000,https://www.mfs.com/en-us/individual-investor/product-strategies/closed-end-funds/MGF-mfs-government-markets-income-trust.html#tab-overview,Asset Management,Financial Services,"MFS Government Markets Income Trust is a close ended fixed income mutual fund launched and managed by Massachusetts Financial Services Company. The fund invests in the fixed income markets of United States. It primarily invests in investment grade debt instruments. The fund also invests in mortgage backed, U.S. government agencies, international sovereigns, U.S. treasuries, cash and other net assets, emerging markets debt, high grade corporates, and residential mortgage backed securities. It benchmarks the performance of its portfolio against the Barclays U.S. Government/Mortgage Bond Index. MFS Government Markets Income Trust was formed in May 28, 1987 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Christopher R. Bohane', 'age': 48, 'title': 'Assistant Sec. and Assistant Clerk', 'yearBorn': 1974, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,3.11,3.12,3.1,3.12,3.11,3.12,3.1,3.12,0.25,0.081499994,1694476800,7.88,0.202282,72927,72927,61758,44460,44460,3.06,3.14,800,800,101377912,3.1,3.49,27.490406,3.1814,3.27445,0.263,0.08456592,USD,101376392,-0.78797996,32597400,9963,2012,1690761600,1693440000,0.00029999999,0.0,0.53113997,0.14,3.476,0.8947065,1669766400,1701302400,1685491200,-2905886,-0.09,27.49,NYQ,EQUITY,MGF,MGF,MFS Government Markets Income T,MFS Government Markets Income Trust,548515800,America/New_York,EDT,-14400000,3.11,none,1500,0.0,0,0.133,0.141,3687756,0.113,0.01329,-0.024419999,2921898,0.594,1.0,0.0,0.74948,USD,
9,111 Huntington Avenue,Boston,MA,02199,United States,617 954 5000,https://www.mfs.com/en-us/individual-investor/product-strategies/closed-end-funds/MGF-mfs-government-markets-income-trust.html#tab-overview,Asset Management,Financial Services,"MFS Government Markets Income Trust is a close ended fixed income mutual fund launched and managed by Massachusetts Financial Services Company. The fund invests in the fixed income markets of United States. It primarily invests in investment grade debt instruments. The fund also invests in mortgage backed, U.S. government agencies, international sovereigns, U.S. treasuries, cash and other net assets, emerging markets debt, high grade corporates, and residential mortgage backed securities. It benchmarks the performance of its portfolio against the Barclays U.S. Government/Mortgage Bond Index. MFS Government Markets Income Trust was formed in May 28, 1987 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Geoffrey L. Schechter CFA, CPA', 'title': 'Portfolio Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,3.11,3.12,3.1,3.12,3.11,3.12,3.1,3.12,0.25,0.081499994,1694476800,7.88,0.202282,72927,72927,61758,44460,44460,3.06,3.14,800,800,101377912,3.1,3.49,27.490406,3.1814,3.27445,0.263,0.08456592,USD,101376392,-0.78797996,32597400,9963,2012,1690761600,1693440000,0.00029999999,0.0,0.53113997,0.14,3.476,0.8947065,1669766400,1701302400,1685491200,-2905886,-0.09,27.49,NYQ,EQUITY,MGF,MGF,MFS Government Markets Income T,MFS Government Markets Income Trust,548515800,America/New_York,EDT,-14400000,3.11,none,1500,0.0,0,0.133,0.141,3687756,0.113,0.01329,-0.024419999,2921898,0.594,1.0,0.0,0.74948,USD,
