,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,126 Phillip Street,Level 18,Sydney,NSW,2000,Australia,61 2 9220 1000,61 2 9220 1001,https://www.ramsayhealth.com,Medical Care Facilities,Healthcare,"Ramsay Health Care Limited owns and operates hospitals. The company offers health care services to public and private patients. It operates facilities in approximately 530 locations in the Asia Pacific, the United Kingdom, France, and Nordics. Ramsay Health Care Limited was founded in 1964 and is based in Sydney, Australia.",89000,"{'maxAge': 1, 'name': 'Mr. Craig Ralph McNally', 'age': 61, 'title': 'CEO, MD & Exec. Director', 'yearBorn': 1961, 'fiscalYear': 2022, 'totalPay': 2301391, 'exercisedValue': 0, 'unexercisedValue': 0}",4,7,1,1,5,1693526400,1672444800,86400,2,7.83,7.32,7.83,7.83,7.83,7.32,7.83,7.83,0.12,0.015800001,1693872000,0.8185,0.572822,41.210526,75,75,208,680,680,7607127040,7.32,11.86,0.5083653,8.8351,10.193765,0.75,0.09578544,USD,19233523712,0.019919999,719724544,916686976,4.2755,1.8313649,1688083200,1719705600,1688083200,265200000,0.19,1.285,16.447,PNK,EQUITY,RMYHY,RMYHY,RAMSAY HEALTH CARE UNSP ADR EAC,Ramsay Health Care Limited,1610116200,America/New_York,EDT,-14400000,7.83,none,720600000,0.789,1169400064,11886300160,0.797,1.022,14963900416,246.44,16.415,0.02022,0.07393,1644200000,145862496,1279600000,0.10988,0.078150004,0.04378,AUD,
1,126 Phillip Street,Level 18,Sydney,NSW,2000,Australia,61 2 9220 1000,61 2 9220 1001,https://www.ramsayhealth.com,Medical Care Facilities,Healthcare,"Ramsay Health Care Limited owns and operates hospitals. The company offers health care services to public and private patients. It operates facilities in approximately 530 locations in the Asia Pacific, the United Kingdom, France, and Nordics. Ramsay Health Care Limited was founded in 1964 and is based in Sydney, Australia.",89000,"{'maxAge': 1, 'name': 'Mr. Martyn J. Roberts', 'age': 54, 'title': 'Group Chief Financial Officer', 'yearBorn': 1968, 'fiscalYear': 2022, 'totalPay': 1102111, 'exercisedValue': 0, 'unexercisedValue': 0}",4,7,1,1,5,1693526400,1672444800,86400,2,7.83,7.32,7.83,7.83,7.83,7.32,7.83,7.83,0.12,0.015800001,1693872000,0.8185,0.572822,41.210526,75,75,208,680,680,7607127040,7.32,11.86,0.5083653,8.8351,10.193765,0.75,0.09578544,USD,19233523712,0.019919999,719724544,916686976,4.2755,1.8313649,1688083200,1719705600,1688083200,265200000,0.19,1.285,16.447,PNK,EQUITY,RMYHY,RMYHY,RAMSAY HEALTH CARE UNSP ADR EAC,Ramsay Health Care Limited,1610116200,America/New_York,EDT,-14400000,7.83,none,720600000,0.789,1169400064,11886300160,0.797,1.022,14963900416,246.44,16.415,0.02022,0.07393,1644200000,145862496,1279600000,0.10988,0.078150004,0.04378,AUD,
2,126 Phillip Street,Level 18,Sydney,NSW,2000,Australia,61 2 9220 1000,61 2 9220 1001,https://www.ramsayhealth.com,Medical Care Facilities,Healthcare,"Ramsay Health Care Limited owns and operates hospitals. The company offers health care services to public and private patients. It operates facilities in approximately 530 locations in the Asia Pacific, the United Kingdom, France, and Nordics. Ramsay Health Care Limited was founded in 1964 and is based in Sydney, Australia.",89000,"{'maxAge': 1, 'name': 'Ms. Kelly  Hibbins', 'title': 'Group Head of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",4,7,1,1,5,1693526400,1672444800,86400,2,7.83,7.32,7.83,7.83,7.83,7.32,7.83,7.83,0.12,0.015800001,1693872000,0.8185,0.572822,41.210526,75,75,208,680,680,7607127040,7.32,11.86,0.5083653,8.8351,10.193765,0.75,0.09578544,USD,19233523712,0.019919999,719724544,916686976,4.2755,1.8313649,1688083200,1719705600,1688083200,265200000,0.19,1.285,16.447,PNK,EQUITY,RMYHY,RMYHY,RAMSAY HEALTH CARE UNSP ADR EAC,Ramsay Health Care Limited,1610116200,America/New_York,EDT,-14400000,7.83,none,720600000,0.789,1169400064,11886300160,0.797,1.022,14963900416,246.44,16.415,0.02022,0.07393,1644200000,145862496,1279600000,0.10988,0.078150004,0.04378,AUD,
3,126 Phillip Street,Level 18,Sydney,NSW,2000,Australia,61 2 9220 1000,61 2 9220 1001,https://www.ramsayhealth.com,Medical Care Facilities,Healthcare,"Ramsay Health Care Limited owns and operates hospitals. The company offers health care services to public and private patients. It operates facilities in approximately 530 locations in the Asia Pacific, the United Kingdom, France, and Nordics. Ramsay Health Care Limited was founded in 1964 and is based in Sydney, Australia.",89000,"{'maxAge': 1, 'name': 'Ms. Henrietta  Rowe BECON, L.L.B.', 'title': 'Group Gen. Counsel & Company Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",4,7,1,1,5,1693526400,1672444800,86400,2,7.83,7.32,7.83,7.83,7.83,7.32,7.83,7.83,0.12,0.015800001,1693872000,0.8185,0.572822,41.210526,75,75,208,680,680,7607127040,7.32,11.86,0.5083653,8.8351,10.193765,0.75,0.09578544,USD,19233523712,0.019919999,719724544,916686976,4.2755,1.8313649,1688083200,1719705600,1688083200,265200000,0.19,1.285,16.447,PNK,EQUITY,RMYHY,RMYHY,RAMSAY HEALTH CARE UNSP ADR EAC,Ramsay Health Care Limited,1610116200,America/New_York,EDT,-14400000,7.83,none,720600000,0.789,1169400064,11886300160,0.797,1.022,14963900416,246.44,16.415,0.02022,0.07393,1644200000,145862496,1279600000,0.10988,0.078150004,0.04378,AUD,
4,126 Phillip Street,Level 18,Sydney,NSW,2000,Australia,61 2 9220 1000,61 2 9220 1001,https://www.ramsayhealth.com,Medical Care Facilities,Healthcare,"Ramsay Health Care Limited owns and operates hospitals. The company offers health care services to public and private patients. It operates facilities in approximately 530 locations in the Asia Pacific, the United Kingdom, France, and Nordics. Ramsay Health Care Limited was founded in 1964 and is based in Sydney, Australia.",89000,"{'maxAge': 1, 'name': 'Ms. Colleen  Harris', 'age': 54, 'title': 'Group Chief People Officer', 'yearBorn': 1968, 'exercisedValue': 0, 'unexercisedValue': 0}",4,7,1,1,5,1693526400,1672444800,86400,2,7.83,7.32,7.83,7.83,7.83,7.32,7.83,7.83,0.12,0.015800001,1693872000,0.8185,0.572822,41.210526,75,75,208,680,680,7607127040,7.32,11.86,0.5083653,8.8351,10.193765,0.75,0.09578544,USD,19233523712,0.019919999,719724544,916686976,4.2755,1.8313649,1688083200,1719705600,1688083200,265200000,0.19,1.285,16.447,PNK,EQUITY,RMYHY,RMYHY,RAMSAY HEALTH CARE UNSP ADR EAC,Ramsay Health Care Limited,1610116200,America/New_York,EDT,-14400000,7.83,none,720600000,0.789,1169400064,11886300160,0.797,1.022,14963900416,246.44,16.415,0.02022,0.07393,1644200000,145862496,1279600000,0.10988,0.078150004,0.04378,AUD,
5,126 Phillip Street,Level 18,Sydney,NSW,2000,Australia,61 2 9220 1000,61 2 9220 1001,https://www.ramsayhealth.com,Medical Care Facilities,Healthcare,"Ramsay Health Care Limited owns and operates hospitals. The company offers health care services to public and private patients. It operates facilities in approximately 530 locations in the Asia Pacific, the United Kingdom, France, and Nordics. Ramsay Health Care Limited was founded in 1964 and is based in Sydney, Australia.",89000,"{'maxAge': 1, 'name': 'Mr. Andrew  Wearne', 'title': 'Group Chief Risk Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",4,7,1,1,5,1693526400,1672444800,86400,2,7.83,7.32,7.83,7.83,7.83,7.32,7.83,7.83,0.12,0.015800001,1693872000,0.8185,0.572822,41.210526,75,75,208,680,680,7607127040,7.32,11.86,0.5083653,8.8351,10.193765,0.75,0.09578544,USD,19233523712,0.019919999,719724544,916686976,4.2755,1.8313649,1688083200,1719705600,1688083200,265200000,0.19,1.285,16.447,PNK,EQUITY,RMYHY,RMYHY,RAMSAY HEALTH CARE UNSP ADR EAC,Ramsay Health Care Limited,1610116200,America/New_York,EDT,-14400000,7.83,none,720600000,0.789,1169400064,11886300160,0.797,1.022,14963900416,246.44,16.415,0.02022,0.07393,1644200000,145862496,1279600000,0.10988,0.078150004,0.04378,AUD,
6,126 Phillip Street,Level 18,Sydney,NSW,2000,Australia,61 2 9220 1000,61 2 9220 1001,https://www.ramsayhealth.com,Medical Care Facilities,Healthcare,"Ramsay Health Care Limited owns and operates hospitals. The company offers health care services to public and private patients. It operates facilities in approximately 530 locations in the Asia Pacific, the United Kingdom, France, and Nordics. Ramsay Health Care Limited was founded in 1964 and is based in Sydney, Australia.",89000,"{'maxAge': 1, 'name': 'Sir Edward  Byrne AC, DSc, FMEDSCI, FRACP, FRCP, FTSE, M.D., MBA', 'age': 70, 'title': 'Group Chief Medical Officer', 'yearBorn': 1952, 'exercisedValue': 0, 'unexercisedValue': 0}",4,7,1,1,5,1693526400,1672444800,86400,2,7.83,7.32,7.83,7.83,7.83,7.32,7.83,7.83,0.12,0.015800001,1693872000,0.8185,0.572822,41.210526,75,75,208,680,680,7607127040,7.32,11.86,0.5083653,8.8351,10.193765,0.75,0.09578544,USD,19233523712,0.019919999,719724544,916686976,4.2755,1.8313649,1688083200,1719705600,1688083200,265200000,0.19,1.285,16.447,PNK,EQUITY,RMYHY,RMYHY,RAMSAY HEALTH CARE UNSP ADR EAC,Ramsay Health Care Limited,1610116200,America/New_York,EDT,-14400000,7.83,none,720600000,0.789,1169400064,11886300160,0.797,1.022,14963900416,246.44,16.415,0.02022,0.07393,1644200000,145862496,1279600000,0.10988,0.078150004,0.04378,AUD,
7,126 Phillip Street,Level 18,Sydney,NSW,2000,Australia,61 2 9220 1000,61 2 9220 1001,https://www.ramsayhealth.com,Medical Care Facilities,Healthcare,"Ramsay Health Care Limited owns and operates hospitals. The company offers health care services to public and private patients. It operates facilities in approximately 530 locations in the Asia Pacific, the United Kingdom, France, and Nordics. Ramsay Health Care Limited was founded in 1964 and is based in Sydney, Australia.",89000,"{'maxAge': 1, 'name': 'Mr. Kah Peng Hong', 'age': 49, 'title': 'Group Chief Exec. Officer of Ramsay Sime Darby Health Care', 'yearBorn': 1973, 'exercisedValue': 0, 'unexercisedValue': 0}",4,7,1,1,5,1693526400,1672444800,86400,2,7.83,7.32,7.83,7.83,7.83,7.32,7.83,7.83,0.12,0.015800001,1693872000,0.8185,0.572822,41.210526,75,75,208,680,680,7607127040,7.32,11.86,0.5083653,8.8351,10.193765,0.75,0.09578544,USD,19233523712,0.019919999,719724544,916686976,4.2755,1.8313649,1688083200,1719705600,1688083200,265200000,0.19,1.285,16.447,PNK,EQUITY,RMYHY,RMYHY,RAMSAY HEALTH CARE UNSP ADR EAC,Ramsay Health Care Limited,1610116200,America/New_York,EDT,-14400000,7.83,none,720600000,0.789,1169400064,11886300160,0.797,1.022,14963900416,246.44,16.415,0.02022,0.07393,1644200000,145862496,1279600000,0.10988,0.078150004,0.04378,AUD,
8,126 Phillip Street,Level 18,Sydney,NSW,2000,Australia,61 2 9220 1000,61 2 9220 1001,https://www.ramsayhealth.com,Medical Care Facilities,Healthcare,"Ramsay Health Care Limited owns and operates hospitals. The company offers health care services to public and private patients. It operates facilities in approximately 530 locations in the Asia Pacific, the United Kingdom, France, and Nordics. Ramsay Health Care Limited was founded in 1964 and is based in Sydney, Australia.",89000,"{'maxAge': 1, 'name': 'Doug  Meagher', 'title': 'CFO of Ramsay Australia', 'exercisedValue': 0, 'unexercisedValue': 0}",4,7,1,1,5,1693526400,1672444800,86400,2,7.83,7.32,7.83,7.83,7.83,7.32,7.83,7.83,0.12,0.015800001,1693872000,0.8185,0.572822,41.210526,75,75,208,680,680,7607127040,7.32,11.86,0.5083653,8.8351,10.193765,0.75,0.09578544,USD,19233523712,0.019919999,719724544,916686976,4.2755,1.8313649,1688083200,1719705600,1688083200,265200000,0.19,1.285,16.447,PNK,EQUITY,RMYHY,RMYHY,RAMSAY HEALTH CARE UNSP ADR EAC,Ramsay Health Care Limited,1610116200,America/New_York,EDT,-14400000,7.83,none,720600000,0.789,1169400064,11886300160,0.797,1.022,14963900416,246.44,16.415,0.02022,0.07393,1644200000,145862496,1279600000,0.10988,0.078150004,0.04378,AUD,
9,126 Phillip Street,Level 18,Sydney,NSW,2000,Australia,61 2 9220 1000,61 2 9220 1001,https://www.ramsayhealth.com,Medical Care Facilities,Healthcare,"Ramsay Health Care Limited owns and operates hospitals. The company offers health care services to public and private patients. It operates facilities in approximately 530 locations in the Asia Pacific, the United Kingdom, France, and Nordics. Ramsay Health Care Limited was founded in 1964 and is based in Sydney, Australia.",89000,"{'maxAge': 1, 'name': 'Dr. Rachna  Gandhi', 'title': 'Global Chief Digital & Data Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",4,7,1,1,5,1693526400,1672444800,86400,2,7.83,7.32,7.83,7.83,7.83,7.32,7.83,7.83,0.12,0.015800001,1693872000,0.8185,0.572822,41.210526,75,75,208,680,680,7607127040,7.32,11.86,0.5083653,8.8351,10.193765,0.75,0.09578544,USD,19233523712,0.019919999,719724544,916686976,4.2755,1.8313649,1688083200,1719705600,1688083200,265200000,0.19,1.285,16.447,PNK,EQUITY,RMYHY,RMYHY,RAMSAY HEALTH CARE UNSP ADR EAC,Ramsay Health Care Limited,1610116200,America/New_York,EDT,-14400000,7.83,none,720600000,0.789,1169400064,11886300160,0.797,1.022,14963900416,246.44,16.415,0.02022,0.07393,1644200000,145862496,1279600000,0.10988,0.078150004,0.04378,AUD,
