,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,4955 Technology Way,Boca Raton,FL,33431,United States,561 893 0101,https://www.geogroup.com,Security & Protection Services,Industrials,"The GEO Group, Inc. (NYSE: GEO) is a leading diversified government service provider, specializing in design, financing, development, and support services for secure facilities, processing centers, and community reentry centers in the United States, Australia, South Africa, and the United Kingdom. GEO's diversified services include enhanced in-custody rehabilitation and post-release support through the award-winning GEO Continuum of Care, secure transportation, electronic monitoring, community-based programs, and correctional health and mental health care. GEO's worldwide operations include the ownership and/or delivery of support services for 102 facilities totaling approximately 82,000 beds, including idle facilities and projects under development, with a workforce of up to approximately 18,000 employees.",18000,"{'maxAge': 1, 'name': 'Dr. George C. Zoley Ph.D.', 'age': 72, 'title': 'Founder & Exec. Chairman', 'yearBorn': 1950, 'fiscalYear': 2022, 'totalPay': 3245661, 'exercisedValue': 0, 'unexercisedValue': 0}",3,8,7,1,3,1693526400,1672444800,86400,2,7.49,7.45,7.3807,7.635,7.49,7.45,7.3807,7.635,1611273600,0.0,0.697786,7.804124,6.2561984,3412829,3412829,1948893,2560590,2560590,7.54,7.63,2900,1100,954599744,6.94,12.44,0.39131522,7.2504,8.6533,0.0,0.0,USD,2853784832,0.056339998,117497166,126103000,16974112,17793546,1690761600,1693440000,0.1346,0.050229996,0.76865,8.27,0.1943,10.112,0.7486155,1672444800,1703980800,1688083200,-0.45,114025000,0.97,1.21,0.57,3:2,1493078400,1.17,5.487,NYQ,EQUITY,GEO,GEO,Geo Group Inc (The) REIT,"The GEO Group, Inc.",775315800,America/New_York,EDT,-14400000,7.57,15.0,12.5,13.75,13.75,1.5,strong_buy,2,48716000,0.399,520127008,1989858944,1.151,1.302,2439464960,161.466,20.086,0.05949,0.11933,712999000,166310752,237383008,-0.456,0.01,0.29148,0.21320999,0.16049999,USD,0.6008
1,4955 Technology Way,Boca Raton,FL,33431,United States,561 893 0101,https://www.geogroup.com,Security & Protection Services,Industrials,"The GEO Group, Inc. (NYSE: GEO) is a leading diversified government service provider, specializing in design, financing, development, and support services for secure facilities, processing centers, and community reentry centers in the United States, Australia, South Africa, and the United Kingdom. GEO's diversified services include enhanced in-custody rehabilitation and post-release support through the award-winning GEO Continuum of Care, secure transportation, electronic monitoring, community-based programs, and correctional health and mental health care. GEO's worldwide operations include the ownership and/or delivery of support services for 102 facilities totaling approximately 82,000 beds, including idle facilities and projects under development, with a workforce of up to approximately 18,000 employees.",18000,"{'maxAge': 1, 'name': 'Mr. Jose  Gordo J.D.', 'age': 48, 'title': 'CEO & Director', 'yearBorn': 1974, 'fiscalYear': 2022, 'totalPay': 2971272, 'exercisedValue': 0, 'unexercisedValue': 0}",3,8,7,1,3,1693526400,1672444800,86400,2,7.49,7.45,7.3807,7.635,7.49,7.45,7.3807,7.635,1611273600,0.0,0.697786,7.804124,6.2561984,3412829,3412829,1948893,2560590,2560590,7.54,7.63,2900,1100,954599744,6.94,12.44,0.39131522,7.2504,8.6533,0.0,0.0,USD,2853784832,0.056339998,117497166,126103000,16974112,17793546,1690761600,1693440000,0.1346,0.050229996,0.76865,8.27,0.1943,10.112,0.7486155,1672444800,1703980800,1688083200,-0.45,114025000,0.97,1.21,0.57,3:2,1493078400,1.17,5.487,NYQ,EQUITY,GEO,GEO,Geo Group Inc (The) REIT,"The GEO Group, Inc.",775315800,America/New_York,EDT,-14400000,7.57,15.0,12.5,13.75,13.75,1.5,strong_buy,2,48716000,0.399,520127008,1989858944,1.151,1.302,2439464960,161.466,20.086,0.05949,0.11933,712999000,166310752,237383008,-0.456,0.01,0.29148,0.21320999,0.16049999,USD,0.6008
2,4955 Technology Way,Boca Raton,FL,33431,United States,561 893 0101,https://www.geogroup.com,Security & Protection Services,Industrials,"The GEO Group, Inc. (NYSE: GEO) is a leading diversified government service provider, specializing in design, financing, development, and support services for secure facilities, processing centers, and community reentry centers in the United States, Australia, South Africa, and the United Kingdom. GEO's diversified services include enhanced in-custody rehabilitation and post-release support through the award-winning GEO Continuum of Care, secure transportation, electronic monitoring, community-based programs, and correctional health and mental health care. GEO's worldwide operations include the ownership and/or delivery of support services for 102 facilities totaling approximately 82,000 beds, including idle facilities and projects under development, with a workforce of up to approximately 18,000 employees.",18000,"{'maxAge': 1, 'name': 'Mr. Brian R. Evans', 'age': 54, 'title': 'Sr. VP & CFO', 'yearBorn': 1968, 'fiscalYear': 2022, 'totalPay': 1767194, 'exercisedValue': 0, 'unexercisedValue': 0}",3,8,7,1,3,1693526400,1672444800,86400,2,7.49,7.45,7.3807,7.635,7.49,7.45,7.3807,7.635,1611273600,0.0,0.697786,7.804124,6.2561984,3412829,3412829,1948893,2560590,2560590,7.54,7.63,2900,1100,954599744,6.94,12.44,0.39131522,7.2504,8.6533,0.0,0.0,USD,2853784832,0.056339998,117497166,126103000,16974112,17793546,1690761600,1693440000,0.1346,0.050229996,0.76865,8.27,0.1943,10.112,0.7486155,1672444800,1703980800,1688083200,-0.45,114025000,0.97,1.21,0.57,3:2,1493078400,1.17,5.487,NYQ,EQUITY,GEO,GEO,Geo Group Inc (The) REIT,"The GEO Group, Inc.",775315800,America/New_York,EDT,-14400000,7.57,15.0,12.5,13.75,13.75,1.5,strong_buy,2,48716000,0.399,520127008,1989858944,1.151,1.302,2439464960,161.466,20.086,0.05949,0.11933,712999000,166310752,237383008,-0.456,0.01,0.29148,0.21320999,0.16049999,USD,0.6008
3,4955 Technology Way,Boca Raton,FL,33431,United States,561 893 0101,https://www.geogroup.com,Security & Protection Services,Industrials,"The GEO Group, Inc. (NYSE: GEO) is a leading diversified government service provider, specializing in design, financing, development, and support services for secure facilities, processing centers, and community reentry centers in the United States, Australia, South Africa, and the United Kingdom. GEO's diversified services include enhanced in-custody rehabilitation and post-release support through the award-winning GEO Continuum of Care, secure transportation, electronic monitoring, community-based programs, and correctional health and mental health care. GEO's worldwide operations include the ownership and/or delivery of support services for 102 facilities totaling approximately 82,000 beds, including idle facilities and projects under development, with a workforce of up to approximately 18,000 employees.",18000,"{'maxAge': 1, 'name': 'Mr. James H. Black', 'age': 58, 'title': 'SVP, Pres of Secure Services & Pres of U.S. Corrections, Detention and International Ops', 'yearBorn': 1964, 'fiscalYear': 2022, 'totalPay': 1328813, 'exercisedValue': 0, 'unexercisedValue': 0}",3,8,7,1,3,1693526400,1672444800,86400,2,7.49,7.45,7.3807,7.635,7.49,7.45,7.3807,7.635,1611273600,0.0,0.697786,7.804124,6.2561984,3412829,3412829,1948893,2560590,2560590,7.54,7.63,2900,1100,954599744,6.94,12.44,0.39131522,7.2504,8.6533,0.0,0.0,USD,2853784832,0.056339998,117497166,126103000,16974112,17793546,1690761600,1693440000,0.1346,0.050229996,0.76865,8.27,0.1943,10.112,0.7486155,1672444800,1703980800,1688083200,-0.45,114025000,0.97,1.21,0.57,3:2,1493078400,1.17,5.487,NYQ,EQUITY,GEO,GEO,Geo Group Inc (The) REIT,"The GEO Group, Inc.",775315800,America/New_York,EDT,-14400000,7.57,15.0,12.5,13.75,13.75,1.5,strong_buy,2,48716000,0.399,520127008,1989858944,1.151,1.302,2439464960,161.466,20.086,0.05949,0.11933,712999000,166310752,237383008,-0.456,0.01,0.29148,0.21320999,0.16049999,USD,0.6008
4,4955 Technology Way,Boca Raton,FL,33431,United States,561 893 0101,https://www.geogroup.com,Security & Protection Services,Industrials,"The GEO Group, Inc. (NYSE: GEO) is a leading diversified government service provider, specializing in design, financing, development, and support services for secure facilities, processing centers, and community reentry centers in the United States, Australia, South Africa, and the United Kingdom. GEO's diversified services include enhanced in-custody rehabilitation and post-release support through the award-winning GEO Continuum of Care, secure transportation, electronic monitoring, community-based programs, and correctional health and mental health care. GEO's worldwide operations include the ownership and/or delivery of support services for 102 facilities totaling approximately 82,000 beds, including idle facilities and projects under development, with a workforce of up to approximately 18,000 employees.",18000,"{'maxAge': 1, 'name': 'Mr. Wayne H. Calabrese', 'age': 71, 'title': 'Sr. VP & COO', 'yearBorn': 1951, 'fiscalYear': 2010, 'exercisedValue': 0, 'unexercisedValue': 0}",3,8,7,1,3,1693526400,1672444800,86400,2,7.49,7.45,7.3807,7.635,7.49,7.45,7.3807,7.635,1611273600,0.0,0.697786,7.804124,6.2561984,3412829,3412829,1948893,2560590,2560590,7.54,7.63,2900,1100,954599744,6.94,12.44,0.39131522,7.2504,8.6533,0.0,0.0,USD,2853784832,0.056339998,117497166,126103000,16974112,17793546,1690761600,1693440000,0.1346,0.050229996,0.76865,8.27,0.1943,10.112,0.7486155,1672444800,1703980800,1688083200,-0.45,114025000,0.97,1.21,0.57,3:2,1493078400,1.17,5.487,NYQ,EQUITY,GEO,GEO,Geo Group Inc (The) REIT,"The GEO Group, Inc.",775315800,America/New_York,EDT,-14400000,7.57,15.0,12.5,13.75,13.75,1.5,strong_buy,2,48716000,0.399,520127008,1989858944,1.151,1.302,2439464960,161.466,20.086,0.05949,0.11933,712999000,166310752,237383008,-0.456,0.01,0.29148,0.21320999,0.16049999,USD,0.6008
5,4955 Technology Way,Boca Raton,FL,33431,United States,561 893 0101,https://www.geogroup.com,Security & Protection Services,Industrials,"The GEO Group, Inc. (NYSE: GEO) is a leading diversified government service provider, specializing in design, financing, development, and support services for secure facilities, processing centers, and community reentry centers in the United States, Australia, South Africa, and the United Kingdom. GEO's diversified services include enhanced in-custody rehabilitation and post-release support through the award-winning GEO Continuum of Care, secure transportation, electronic monitoring, community-based programs, and correctional health and mental health care. GEO's worldwide operations include the ownership and/or delivery of support services for 102 facilities totaling approximately 82,000 beds, including idle facilities and projects under development, with a workforce of up to approximately 18,000 employees.",18000,"{'maxAge': 1, 'name': 'Mr. Ronald A. Brack', 'age': 60, 'title': 'Exec. VP, Chief Accounting Officer & Controller', 'yearBorn': 1962, 'exercisedValue': 0, 'unexercisedValue': 0}",3,8,7,1,3,1693526400,1672444800,86400,2,7.49,7.45,7.3807,7.635,7.49,7.45,7.3807,7.635,1611273600,0.0,0.697786,7.804124,6.2561984,3412829,3412829,1948893,2560590,2560590,7.54,7.63,2900,1100,954599744,6.94,12.44,0.39131522,7.2504,8.6533,0.0,0.0,USD,2853784832,0.056339998,117497166,126103000,16974112,17793546,1690761600,1693440000,0.1346,0.050229996,0.76865,8.27,0.1943,10.112,0.7486155,1672444800,1703980800,1688083200,-0.45,114025000,0.97,1.21,0.57,3:2,1493078400,1.17,5.487,NYQ,EQUITY,GEO,GEO,Geo Group Inc (The) REIT,"The GEO Group, Inc.",775315800,America/New_York,EDT,-14400000,7.57,15.0,12.5,13.75,13.75,1.5,strong_buy,2,48716000,0.399,520127008,1989858944,1.151,1.302,2439464960,161.466,20.086,0.05949,0.11933,712999000,166310752,237383008,-0.456,0.01,0.29148,0.21320999,0.16049999,USD,0.6008
6,4955 Technology Way,Boca Raton,FL,33431,United States,561 893 0101,https://www.geogroup.com,Security & Protection Services,Industrials,"The GEO Group, Inc. (NYSE: GEO) is a leading diversified government service provider, specializing in design, financing, development, and support services for secure facilities, processing centers, and community reentry centers in the United States, Australia, South Africa, and the United Kingdom. GEO's diversified services include enhanced in-custody rehabilitation and post-release support through the award-winning GEO Continuum of Care, secure transportation, electronic monitoring, community-based programs, and correctional health and mental health care. GEO's worldwide operations include the ownership and/or delivery of support services for 102 facilities totaling approximately 82,000 beds, including idle facilities and projects under development, with a workforce of up to approximately 18,000 employees.",18000,"{'maxAge': 1, 'name': 'Jose  Rosario', 'title': 'Exec. VP, Chief Information Officer & Chief Information Security Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",3,8,7,1,3,1693526400,1672444800,86400,2,7.49,7.45,7.3807,7.635,7.49,7.45,7.3807,7.635,1611273600,0.0,0.697786,7.804124,6.2561984,3412829,3412829,1948893,2560590,2560590,7.54,7.63,2900,1100,954599744,6.94,12.44,0.39131522,7.2504,8.6533,0.0,0.0,USD,2853784832,0.056339998,117497166,126103000,16974112,17793546,1690761600,1693440000,0.1346,0.050229996,0.76865,8.27,0.1943,10.112,0.7486155,1672444800,1703980800,1688083200,-0.45,114025000,0.97,1.21,0.57,3:2,1493078400,1.17,5.487,NYQ,EQUITY,GEO,GEO,Geo Group Inc (The) REIT,"The GEO Group, Inc.",775315800,America/New_York,EDT,-14400000,7.57,15.0,12.5,13.75,13.75,1.5,strong_buy,2,48716000,0.399,520127008,1989858944,1.151,1.302,2439464960,161.466,20.086,0.05949,0.11933,712999000,166310752,237383008,-0.456,0.01,0.29148,0.21320999,0.16049999,USD,0.6008
7,4955 Technology Way,Boca Raton,FL,33431,United States,561 893 0101,https://www.geogroup.com,Security & Protection Services,Industrials,"The GEO Group, Inc. (NYSE: GEO) is a leading diversified government service provider, specializing in design, financing, development, and support services for secure facilities, processing centers, and community reentry centers in the United States, Australia, South Africa, and the United Kingdom. GEO's diversified services include enhanced in-custody rehabilitation and post-release support through the award-winning GEO Continuum of Care, secure transportation, electronic monitoring, community-based programs, and correctional health and mental health care. GEO's worldwide operations include the ownership and/or delivery of support services for 102 facilities totaling approximately 82,000 beds, including idle facilities and projects under development, with a workforce of up to approximately 18,000 employees.",18000,"{'maxAge': 1, 'name': 'Mr. Joe  Negron', 'age': 60, 'title': 'Sr. VP, Gen. Counsel & Corp. Sec.', 'yearBorn': 1962, 'fiscalYear': 2021, 'exercisedValue': 0, 'unexercisedValue': 0}",3,8,7,1,3,1693526400,1672444800,86400,2,7.49,7.45,7.3807,7.635,7.49,7.45,7.3807,7.635,1611273600,0.0,0.697786,7.804124,6.2561984,3412829,3412829,1948893,2560590,2560590,7.54,7.63,2900,1100,954599744,6.94,12.44,0.39131522,7.2504,8.6533,0.0,0.0,USD,2853784832,0.056339998,117497166,126103000,16974112,17793546,1690761600,1693440000,0.1346,0.050229996,0.76865,8.27,0.1943,10.112,0.7486155,1672444800,1703980800,1688083200,-0.45,114025000,0.97,1.21,0.57,3:2,1493078400,1.17,5.487,NYQ,EQUITY,GEO,GEO,Geo Group Inc (The) REIT,"The GEO Group, Inc.",775315800,America/New_York,EDT,-14400000,7.57,15.0,12.5,13.75,13.75,1.5,strong_buy,2,48716000,0.399,520127008,1989858944,1.151,1.302,2439464960,161.466,20.086,0.05949,0.11933,712999000,166310752,237383008,-0.456,0.01,0.29148,0.21320999,0.16049999,USD,0.6008
8,4955 Technology Way,Boca Raton,FL,33431,United States,561 893 0101,https://www.geogroup.com,Security & Protection Services,Industrials,"The GEO Group, Inc. (NYSE: GEO) is a leading diversified government service provider, specializing in design, financing, development, and support services for secure facilities, processing centers, and community reentry centers in the United States, Australia, South Africa, and the United Kingdom. GEO's diversified services include enhanced in-custody rehabilitation and post-release support through the award-winning GEO Continuum of Care, secure transportation, electronic monitoring, community-based programs, and correctional health and mental health care. GEO's worldwide operations include the ownership and/or delivery of support services for 102 facilities totaling approximately 82,000 beds, including idle facilities and projects under development, with a workforce of up to approximately 18,000 employees.",18000,"{'maxAge': 1, 'name': 'Daniel H. Ragsdale', 'title': 'Exec. VP of Contract Compliance', 'exercisedValue': 0, 'unexercisedValue': 0}",3,8,7,1,3,1693526400,1672444800,86400,2,7.49,7.45,7.3807,7.635,7.49,7.45,7.3807,7.635,1611273600,0.0,0.697786,7.804124,6.2561984,3412829,3412829,1948893,2560590,2560590,7.54,7.63,2900,1100,954599744,6.94,12.44,0.39131522,7.2504,8.6533,0.0,0.0,USD,2853784832,0.056339998,117497166,126103000,16974112,17793546,1690761600,1693440000,0.1346,0.050229996,0.76865,8.27,0.1943,10.112,0.7486155,1672444800,1703980800,1688083200,-0.45,114025000,0.97,1.21,0.57,3:2,1493078400,1.17,5.487,NYQ,EQUITY,GEO,GEO,Geo Group Inc (The) REIT,"The GEO Group, Inc.",775315800,America/New_York,EDT,-14400000,7.57,15.0,12.5,13.75,13.75,1.5,strong_buy,2,48716000,0.399,520127008,1989858944,1.151,1.302,2439464960,161.466,20.086,0.05949,0.11933,712999000,166310752,237383008,-0.456,0.01,0.29148,0.21320999,0.16049999,USD,0.6008
9,4955 Technology Way,Boca Raton,FL,33431,United States,561 893 0101,https://www.geogroup.com,Security & Protection Services,Industrials,"The GEO Group, Inc. (NYSE: GEO) is a leading diversified government service provider, specializing in design, financing, development, and support services for secure facilities, processing centers, and community reentry centers in the United States, Australia, South Africa, and the United Kingdom. GEO's diversified services include enhanced in-custody rehabilitation and post-release support through the award-winning GEO Continuum of Care, secure transportation, electronic monitoring, community-based programs, and correctional health and mental health care. GEO's worldwide operations include the ownership and/or delivery of support services for 102 facilities totaling approximately 82,000 beds, including idle facilities and projects under development, with a workforce of up to approximately 18,000 employees.",18000,"{'maxAge': 1, 'name': 'Mr. Christopher D. Ryan', 'age': 59, 'title': 'Sr. VP of HR', 'yearBorn': 1963, 'exercisedValue': 0, 'unexercisedValue': 0}",3,8,7,1,3,1693526400,1672444800,86400,2,7.49,7.45,7.3807,7.635,7.49,7.45,7.3807,7.635,1611273600,0.0,0.697786,7.804124,6.2561984,3412829,3412829,1948893,2560590,2560590,7.54,7.63,2900,1100,954599744,6.94,12.44,0.39131522,7.2504,8.6533,0.0,0.0,USD,2853784832,0.056339998,117497166,126103000,16974112,17793546,1690761600,1693440000,0.1346,0.050229996,0.76865,8.27,0.1943,10.112,0.7486155,1672444800,1703980800,1688083200,-0.45,114025000,0.97,1.21,0.57,3:2,1493078400,1.17,5.487,NYQ,EQUITY,GEO,GEO,Geo Group Inc (The) REIT,"The GEO Group, Inc.",775315800,America/New_York,EDT,-14400000,7.57,15.0,12.5,13.75,13.75,1.5,strong_buy,2,48716000,0.399,520127008,1989858944,1.151,1.302,2439464960,161.466,20.086,0.05949,0.11933,712999000,166310752,237383008,-0.456,0.01,0.29148,0.21320999,0.16049999,USD,0.6008
