,address1,address2,city,state,zip,country,phone,fax,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,388 George Street,Level 18,Sydney,NSW,2000,Australia,61 2 9375 4444,61 2 9231 6104,https://www.qbe.com,Insurance—Property & Casualty,Insurance—Property & Casualty,Financial Services,Financial Services,"QBE Insurance Group Limited underwrites general insurance and reinsurance risks. The company offers range of commercial, personal, and specialty products, such as commercial and domestic property, motor and motor casualty, agriculture, public/product liability, professional indemnity, workers' compensation, marine, energy and aviation, accident and health, financial and credit, and other insurance products, as well as risk management solutions. It also manages Lloyd's syndicates, as well as provides investment management services. The company operates in Australia, North America, Asia, the Pacific, the United Kingdom, rest of Europe, and internationally. QBE Insurance Group Limited was founded in 1886 and is headquartered in Sydney, Australia.",12479,"{'maxAge': 1, 'name': 'Mr. Andrew  Horton A.C.A., B.A.', 'title': 'Group CEO & Exec. Director', 'fiscalYear': 2022, 'totalPay': 2386000, 'exercisedValue': 0, 'unexercisedValue': 0}",2,1,1,1,1,1693526400,1672444800,86400,2,15.22,15.37,15.32,15.63,15.22,15.37,15.32,15.63,0.44,0.0287,1692230400,0.3953,2.87,0.807807,14.759616,8.771429,4066436,4066436,3681924,2820088,2820088,15.35,15.36,0,0,22903582720,11.205,16.05,1.479464,15.2688,14.6271,0.296,0.019448094,AUD,20181200896,0.07247,1490627360,1492089984,0.00417,0.45108002,1492089984,6.036,2.543075,1672444800,1703980800,1688083200,7.333,1072000000,1.04,1.75,0.12,1.0101:1,1002844800,1.304,7.697,0.27597678,0.14113986,0.14,1692230400,ASX,EQUITY,QBE.AX,QBE.AX,QBE INSUR. FPO,QBE Insurance Group Limited,570668400,Australia/Sydney,AEST,570c479e-94be-3845-b48c-928ddf487c03,finmb_877909,36000000,15.35,19.96,16.46,18.17,18.11,1.7,buy,12,5985999872,4.012,2622000128,3263000064,10.326,24.748,15480999936,36.223,10.418,0.035150003,0.1291,1310000000,-30809999360,1488999936,15.667,0.188,0.20696,0.16937,0.1664,USD,
1,388 George Street,Level 18,Sydney,NSW,2000,Australia,61 2 9375 4444,61 2 9231 6104,https://www.qbe.com,Insurance—Property & Casualty,Insurance—Property & Casualty,Financial Services,Financial Services,"QBE Insurance Group Limited underwrites general insurance and reinsurance risks. The company offers range of commercial, personal, and specialty products, such as commercial and domestic property, motor and motor casualty, agriculture, public/product liability, professional indemnity, workers' compensation, marine, energy and aviation, accident and health, financial and credit, and other insurance products, as well as risk management solutions. It also manages Lloyd's syndicates, as well as provides investment management services. The company operates in Australia, North America, Asia, the Pacific, the United Kingdom, rest of Europe, and internationally. QBE Insurance Group Limited was founded in 1886 and is headquartered in Sydney, Australia.",12479,"{'maxAge': 1, 'name': 'Mr. Inder  Singh B.Com.', 'title': 'Group Chief Financial Officer', 'fiscalYear': 2022, 'totalPay': 1558000, 'exercisedValue': 0, 'unexercisedValue': 0}",2,1,1,1,1,1693526400,1672444800,86400,2,15.22,15.37,15.32,15.63,15.22,15.37,15.32,15.63,0.44,0.0287,1692230400,0.3953,2.87,0.807807,14.759616,8.771429,4066436,4066436,3681924,2820088,2820088,15.35,15.36,0,0,22903582720,11.205,16.05,1.479464,15.2688,14.6271,0.296,0.019448094,AUD,20181200896,0.07247,1490627360,1492089984,0.00417,0.45108002,1492089984,6.036,2.543075,1672444800,1703980800,1688083200,7.333,1072000000,1.04,1.75,0.12,1.0101:1,1002844800,1.304,7.697,0.27597678,0.14113986,0.14,1692230400,ASX,EQUITY,QBE.AX,QBE.AX,QBE INSUR. FPO,QBE Insurance Group Limited,570668400,Australia/Sydney,AEST,570c479e-94be-3845-b48c-928ddf487c03,finmb_877909,36000000,15.35,19.96,16.46,18.17,18.11,1.7,buy,12,5985999872,4.012,2622000128,3263000064,10.326,24.748,15480999936,36.223,10.418,0.035150003,0.1291,1310000000,-30809999360,1488999936,15.667,0.188,0.20696,0.16937,0.1664,USD,
2,388 George Street,Level 18,Sydney,NSW,2000,Australia,61 2 9375 4444,61 2 9231 6104,https://www.qbe.com,Insurance—Property & Casualty,Insurance—Property & Casualty,Financial Services,Financial Services,"QBE Insurance Group Limited underwrites general insurance and reinsurance risks. The company offers range of commercial, personal, and specialty products, such as commercial and domestic property, motor and motor casualty, agriculture, public/product liability, professional indemnity, workers' compensation, marine, energy and aviation, accident and health, financial and credit, and other insurance products, as well as risk management solutions. It also manages Lloyd's syndicates, as well as provides investment management services. The company operates in Australia, North America, Asia, the Pacific, the United Kingdom, rest of Europe, and internationally. QBE Insurance Group Limited was founded in 1886 and is headquartered in Sydney, Australia.",12479,"{'maxAge': 1, 'name': 'Ms. Amanda  Hughes B.Com., C.A., M.B.A.', 'title': 'Group Chief People Officer', 'fiscalYear': 2022, 'totalPay': 927000, 'exercisedValue': 0, 'unexercisedValue': 0}",2,1,1,1,1,1693526400,1672444800,86400,2,15.22,15.37,15.32,15.63,15.22,15.37,15.32,15.63,0.44,0.0287,1692230400,0.3953,2.87,0.807807,14.759616,8.771429,4066436,4066436,3681924,2820088,2820088,15.35,15.36,0,0,22903582720,11.205,16.05,1.479464,15.2688,14.6271,0.296,0.019448094,AUD,20181200896,0.07247,1490627360,1492089984,0.00417,0.45108002,1492089984,6.036,2.543075,1672444800,1703980800,1688083200,7.333,1072000000,1.04,1.75,0.12,1.0101:1,1002844800,1.304,7.697,0.27597678,0.14113986,0.14,1692230400,ASX,EQUITY,QBE.AX,QBE.AX,QBE INSUR. FPO,QBE Insurance Group Limited,570668400,Australia/Sydney,AEST,570c479e-94be-3845-b48c-928ddf487c03,finmb_877909,36000000,15.35,19.96,16.46,18.17,18.11,1.7,buy,12,5985999872,4.012,2622000128,3263000064,10.326,24.748,15480999936,36.223,10.418,0.035150003,0.1291,1310000000,-30809999360,1488999936,15.667,0.188,0.20696,0.16937,0.1664,USD,
3,388 George Street,Level 18,Sydney,NSW,2000,Australia,61 2 9375 4444,61 2 9231 6104,https://www.qbe.com,Insurance—Property & Casualty,Insurance—Property & Casualty,Financial Services,Financial Services,"QBE Insurance Group Limited underwrites general insurance and reinsurance risks. The company offers range of commercial, personal, and specialty products, such as commercial and domestic property, motor and motor casualty, agriculture, public/product liability, professional indemnity, workers' compensation, marine, energy and aviation, accident and health, financial and credit, and other insurance products, as well as risk management solutions. It also manages Lloyd's syndicates, as well as provides investment management services. The company operates in Australia, North America, Asia, the Pacific, the United Kingdom, rest of Europe, and internationally. QBE Insurance Group Limited was founded in 1886 and is headquartered in Sydney, Australia.",12479,"{'maxAge': 1, 'name': 'Mr. Jason Richard Harris B.Sc.', 'age': 55, 'title': 'Chief Exec. Officer of International', 'yearBorn': 1967, 'fiscalYear': 2022, 'totalPay': 1370000, 'exercisedValue': 0, 'unexercisedValue': 0}",2,1,1,1,1,1693526400,1672444800,86400,2,15.22,15.37,15.32,15.63,15.22,15.37,15.32,15.63,0.44,0.0287,1692230400,0.3953,2.87,0.807807,14.759616,8.771429,4066436,4066436,3681924,2820088,2820088,15.35,15.36,0,0,22903582720,11.205,16.05,1.479464,15.2688,14.6271,0.296,0.019448094,AUD,20181200896,0.07247,1490627360,1492089984,0.00417,0.45108002,1492089984,6.036,2.543075,1672444800,1703980800,1688083200,7.333,1072000000,1.04,1.75,0.12,1.0101:1,1002844800,1.304,7.697,0.27597678,0.14113986,0.14,1692230400,ASX,EQUITY,QBE.AX,QBE.AX,QBE INSUR. FPO,QBE Insurance Group Limited,570668400,Australia/Sydney,AEST,570c479e-94be-3845-b48c-928ddf487c03,finmb_877909,36000000,15.35,19.96,16.46,18.17,18.11,1.7,buy,12,5985999872,4.012,2622000128,3263000064,10.326,24.748,15480999936,36.223,10.418,0.035150003,0.1291,1310000000,-30809999360,1488999936,15.667,0.188,0.20696,0.16937,0.1664,USD,
4,388 George Street,Level 18,Sydney,NSW,2000,Australia,61 2 9375 4444,61 2 9231 6104,https://www.qbe.com,Insurance—Property & Casualty,Insurance—Property & Casualty,Financial Services,Financial Services,"QBE Insurance Group Limited underwrites general insurance and reinsurance risks. The company offers range of commercial, personal, and specialty products, such as commercial and domestic property, motor and motor casualty, agriculture, public/product liability, professional indemnity, workers' compensation, marine, energy and aviation, accident and health, financial and credit, and other insurance products, as well as risk management solutions. It also manages Lloyd's syndicates, as well as provides investment management services. The company operates in Australia, North America, Asia, the Pacific, the United Kingdom, rest of Europe, and internationally. QBE Insurance Group Limited was founded in 1886 and is headquartered in Sydney, Australia.",12479,"{'maxAge': 1, 'name': 'Ms. Fiona  Larnach FCPA, M.A.I.C.D.', 'title': 'Group Chief Risk Officer', 'fiscalYear': 2022, 'totalPay': 921000, 'exercisedValue': 0, 'unexercisedValue': 0}",2,1,1,1,1,1693526400,1672444800,86400,2,15.22,15.37,15.32,15.63,15.22,15.37,15.32,15.63,0.44,0.0287,1692230400,0.3953,2.87,0.807807,14.759616,8.771429,4066436,4066436,3681924,2820088,2820088,15.35,15.36,0,0,22903582720,11.205,16.05,1.479464,15.2688,14.6271,0.296,0.019448094,AUD,20181200896,0.07247,1490627360,1492089984,0.00417,0.45108002,1492089984,6.036,2.543075,1672444800,1703980800,1688083200,7.333,1072000000,1.04,1.75,0.12,1.0101:1,1002844800,1.304,7.697,0.27597678,0.14113986,0.14,1692230400,ASX,EQUITY,QBE.AX,QBE.AX,QBE INSUR. FPO,QBE Insurance Group Limited,570668400,Australia/Sydney,AEST,570c479e-94be-3845-b48c-928ddf487c03,finmb_877909,36000000,15.35,19.96,16.46,18.17,18.11,1.7,buy,12,5985999872,4.012,2622000128,3263000064,10.326,24.748,15480999936,36.223,10.418,0.035150003,0.1291,1310000000,-30809999360,1488999936,15.667,0.188,0.20696,0.16937,0.1664,USD,
5,388 George Street,Level 18,Sydney,NSW,2000,Australia,61 2 9375 4444,61 2 9231 6104,https://www.qbe.com,Insurance—Property & Casualty,Insurance—Property & Casualty,Financial Services,Financial Services,"QBE Insurance Group Limited underwrites general insurance and reinsurance risks. The company offers range of commercial, personal, and specialty products, such as commercial and domestic property, motor and motor casualty, agriculture, public/product liability, professional indemnity, workers' compensation, marine, energy and aviation, accident and health, financial and credit, and other insurance products, as well as risk management solutions. It also manages Lloyd's syndicates, as well as provides investment management services. The company operates in Australia, North America, Asia, the Pacific, the United Kingdom, rest of Europe, and internationally. QBE Insurance Group Limited was founded in 1886 and is headquartered in Sydney, Australia.",12479,"{'maxAge': 1, 'name': 'Ms. Susan Wendy Houghton A.C.A., B.A.', 'title': 'Chief Exec. Officer of Australia Pacific', 'fiscalYear': 2022, 'totalPay': 1226000, 'exercisedValue': 0, 'unexercisedValue': 0}",2,1,1,1,1,1693526400,1672444800,86400,2,15.22,15.37,15.32,15.63,15.22,15.37,15.32,15.63,0.44,0.0287,1692230400,0.3953,2.87,0.807807,14.759616,8.771429,4066436,4066436,3681924,2820088,2820088,15.35,15.36,0,0,22903582720,11.205,16.05,1.479464,15.2688,14.6271,0.296,0.019448094,AUD,20181200896,0.07247,1490627360,1492089984,0.00417,0.45108002,1492089984,6.036,2.543075,1672444800,1703980800,1688083200,7.333,1072000000,1.04,1.75,0.12,1.0101:1,1002844800,1.304,7.697,0.27597678,0.14113986,0.14,1692230400,ASX,EQUITY,QBE.AX,QBE.AX,QBE INSUR. FPO,QBE Insurance Group Limited,570668400,Australia/Sydney,AEST,570c479e-94be-3845-b48c-928ddf487c03,finmb_877909,36000000,15.35,19.96,16.46,18.17,18.11,1.7,buy,12,5985999872,4.012,2622000128,3263000064,10.326,24.748,15480999936,36.223,10.418,0.035150003,0.1291,1310000000,-30809999360,1488999936,15.667,0.188,0.20696,0.16937,0.1664,USD,
6,388 George Street,Level 18,Sydney,NSW,2000,Australia,61 2 9375 4444,61 2 9231 6104,https://www.qbe.com,Insurance—Property & Casualty,Insurance—Property & Casualty,Financial Services,Financial Services,"QBE Insurance Group Limited underwrites general insurance and reinsurance risks. The company offers range of commercial, personal, and specialty products, such as commercial and domestic property, motor and motor casualty, agriculture, public/product liability, professional indemnity, workers' compensation, marine, energy and aviation, accident and health, financial and credit, and other insurance products, as well as risk management solutions. It also manages Lloyd's syndicates, as well as provides investment management services. The company operates in Australia, North America, Asia, the Pacific, the United Kingdom, rest of Europe, and internationally. QBE Insurance Group Limited was founded in 1886 and is headquartered in Sydney, Australia.",12479,"{'maxAge': 1, 'name': 'Mr. Matt  Mansour M.B.A.', 'title': 'Group Exec. of Technology & Operations', 'exercisedValue': 0, 'unexercisedValue': 0}",2,1,1,1,1,1693526400,1672444800,86400,2,15.22,15.37,15.32,15.63,15.22,15.37,15.32,15.63,0.44,0.0287,1692230400,0.3953,2.87,0.807807,14.759616,8.771429,4066436,4066436,3681924,2820088,2820088,15.35,15.36,0,0,22903582720,11.205,16.05,1.479464,15.2688,14.6271,0.296,0.019448094,AUD,20181200896,0.07247,1490627360,1492089984,0.00417,0.45108002,1492089984,6.036,2.543075,1672444800,1703980800,1688083200,7.333,1072000000,1.04,1.75,0.12,1.0101:1,1002844800,1.304,7.697,0.27597678,0.14113986,0.14,1692230400,ASX,EQUITY,QBE.AX,QBE.AX,QBE INSUR. FPO,QBE Insurance Group Limited,570668400,Australia/Sydney,AEST,570c479e-94be-3845-b48c-928ddf487c03,finmb_877909,36000000,15.35,19.96,16.46,18.17,18.11,1.7,buy,12,5985999872,4.012,2622000128,3263000064,10.326,24.748,15480999936,36.223,10.418,0.035150003,0.1291,1310000000,-30809999360,1488999936,15.667,0.188,0.20696,0.16937,0.1664,USD,
7,388 George Street,Level 18,Sydney,NSW,2000,Australia,61 2 9375 4444,61 2 9231 6104,https://www.qbe.com,Insurance—Property & Casualty,Insurance—Property & Casualty,Financial Services,Financial Services,"QBE Insurance Group Limited underwrites general insurance and reinsurance risks. The company offers range of commercial, personal, and specialty products, such as commercial and domestic property, motor and motor casualty, agriculture, public/product liability, professional indemnity, workers' compensation, marine, energy and aviation, accident and health, financial and credit, and other insurance products, as well as risk management solutions. It also manages Lloyd's syndicates, as well as provides investment management services. The company operates in Australia, North America, Asia, the Pacific, the United Kingdom, rest of Europe, and internationally. QBE Insurance Group Limited was founded in 1886 and is headquartered in Sydney, Australia.",12479,"{'maxAge': 1, 'name': 'Ashley  Dalziell', 'title': 'Group Head of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",2,1,1,1,1,1693526400,1672444800,86400,2,15.22,15.37,15.32,15.63,15.22,15.37,15.32,15.63,0.44,0.0287,1692230400,0.3953,2.87,0.807807,14.759616,8.771429,4066436,4066436,3681924,2820088,2820088,15.35,15.36,0,0,22903582720,11.205,16.05,1.479464,15.2688,14.6271,0.296,0.019448094,AUD,20181200896,0.07247,1490627360,1492089984,0.00417,0.45108002,1492089984,6.036,2.543075,1672444800,1703980800,1688083200,7.333,1072000000,1.04,1.75,0.12,1.0101:1,1002844800,1.304,7.697,0.27597678,0.14113986,0.14,1692230400,ASX,EQUITY,QBE.AX,QBE.AX,QBE INSUR. FPO,QBE Insurance Group Limited,570668400,Australia/Sydney,AEST,570c479e-94be-3845-b48c-928ddf487c03,finmb_877909,36000000,15.35,19.96,16.46,18.17,18.11,1.7,buy,12,5985999872,4.012,2622000128,3263000064,10.326,24.748,15480999936,36.223,10.418,0.035150003,0.1291,1310000000,-30809999360,1488999936,15.667,0.188,0.20696,0.16937,0.1664,USD,
8,388 George Street,Level 18,Sydney,NSW,2000,Australia,61 2 9375 4444,61 2 9231 6104,https://www.qbe.com,Insurance—Property & Casualty,Insurance—Property & Casualty,Financial Services,Financial Services,"QBE Insurance Group Limited underwrites general insurance and reinsurance risks. The company offers range of commercial, personal, and specialty products, such as commercial and domestic property, motor and motor casualty, agriculture, public/product liability, professional indemnity, workers' compensation, marine, energy and aviation, accident and health, financial and credit, and other insurance products, as well as risk management solutions. It also manages Lloyd's syndicates, as well as provides investment management services. The company operates in Australia, North America, Asia, the Pacific, the United Kingdom, rest of Europe, and internationally. QBE Insurance Group Limited was founded in 1886 and is headquartered in Sydney, Australia.",12479,"{'maxAge': 1, 'name': 'Ms. Carolyn  Scobie AGIA and ACIS, B.A., BA, L.L.B., LLB, M.A., MA', 'title': 'Group Gen. Counsel & Company Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",2,1,1,1,1,1693526400,1672444800,86400,2,15.22,15.37,15.32,15.63,15.22,15.37,15.32,15.63,0.44,0.0287,1692230400,0.3953,2.87,0.807807,14.759616,8.771429,4066436,4066436,3681924,2820088,2820088,15.35,15.36,0,0,22903582720,11.205,16.05,1.479464,15.2688,14.6271,0.296,0.019448094,AUD,20181200896,0.07247,1490627360,1492089984,0.00417,0.45108002,1492089984,6.036,2.543075,1672444800,1703980800,1688083200,7.333,1072000000,1.04,1.75,0.12,1.0101:1,1002844800,1.304,7.697,0.27597678,0.14113986,0.14,1692230400,ASX,EQUITY,QBE.AX,QBE.AX,QBE INSUR. FPO,QBE Insurance Group Limited,570668400,Australia/Sydney,AEST,570c479e-94be-3845-b48c-928ddf487c03,finmb_877909,36000000,15.35,19.96,16.46,18.17,18.11,1.7,buy,12,5985999872,4.012,2622000128,3263000064,10.326,24.748,15480999936,36.223,10.418,0.035150003,0.1291,1310000000,-30809999360,1488999936,15.667,0.188,0.20696,0.16937,0.1664,USD,
9,388 George Street,Level 18,Sydney,NSW,2000,Australia,61 2 9375 4444,61 2 9231 6104,https://www.qbe.com,Insurance—Property & Casualty,Insurance—Property & Casualty,Financial Services,Financial Services,"QBE Insurance Group Limited underwrites general insurance and reinsurance risks. The company offers range of commercial, personal, and specialty products, such as commercial and domestic property, motor and motor casualty, agriculture, public/product liability, professional indemnity, workers' compensation, marine, energy and aviation, accident and health, financial and credit, and other insurance products, as well as risk management solutions. It also manages Lloyd's syndicates, as well as provides investment management services. The company operates in Australia, North America, Asia, the Pacific, the United Kingdom, rest of Europe, and internationally. QBE Insurance Group Limited was founded in 1886 and is headquartered in Sydney, Australia.",12479,"{'maxAge': 1, 'name': 'Mr. Steven L. Gransbury', 'title': 'Head of Specialty Insurance', 'exercisedValue': 0, 'unexercisedValue': 0}",2,1,1,1,1,1693526400,1672444800,86400,2,15.22,15.37,15.32,15.63,15.22,15.37,15.32,15.63,0.44,0.0287,1692230400,0.3953,2.87,0.807807,14.759616,8.771429,4066436,4066436,3681924,2820088,2820088,15.35,15.36,0,0,22903582720,11.205,16.05,1.479464,15.2688,14.6271,0.296,0.019448094,AUD,20181200896,0.07247,1490627360,1492089984,0.00417,0.45108002,1492089984,6.036,2.543075,1672444800,1703980800,1688083200,7.333,1072000000,1.04,1.75,0.12,1.0101:1,1002844800,1.304,7.697,0.27597678,0.14113986,0.14,1692230400,ASX,EQUITY,QBE.AX,QBE.AX,QBE INSUR. FPO,QBE Insurance Group Limited,570668400,Australia/Sydney,AEST,570c479e-94be-3845-b48c-928ddf487c03,finmb_877909,36000000,15.35,19.96,16.46,18.17,18.11,1.7,buy,12,5985999872,4.012,2622000128,3263000064,10.326,24.748,15480999936,36.223,10.418,0.035150003,0.1291,1310000000,-30809999360,1488999936,15.667,0.188,0.20696,0.16937,0.1664,USD,
