,address1,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,fiveYearAvgDividendYield,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,440 Lincoln Street,Worcester,MA,01653,United States,508 855 1000,508 855 8078,https://www.hanover.com,Insurance—Property & Casualty,Financial Services,"The Hanover Insurance Group, Inc., through its subsidiaries, provides various property and casualty insurance products and services in the United States. The company operates through four segments: Core Commercial, Specialty, Personal Lines, and Other. The Commercial Lines segment offers commercial multiple peril, commercial automobile, workers' compensation, and other commercial lines coverage. The Specialty segment provides professional and executive Lines, marine, and surety and other, as well as specialty P&C, such as program business, specialty industrial and commercial property, excess and surplus lines, and specialty general liability coverage. The Personal Lines segment offers personal automobile and homeowner's coverages, as well as other personal coverages, such as personal umbrella, inland marine, fire, personal watercraft, personal cyber, and other miscellaneous coverages. The Other segment markets investment management services to institutions, pension funds, and other organizations. The Hanover Insurance Group, Inc. markets its products and services through independent agents and brokers. The company was formerly known as Allmerica Financial Corp. and changed its name to The Hanover Insurance Group, Inc. in December 2005. The Hanover Insurance Group, Inc. was founded in 1852 and is headquartered in Worcester, Massachusetts.",4600,"{'maxAge': 1, 'name': 'Mr. John Conner Roche', 'age': 58, 'title': 'Pres, CEO & Director', 'yearBorn': 1964, 'fiscalYear': 2022, 'totalPay': 2865757, 'exercisedValue': 1673585, 'unexercisedValue': 10291063}",1,1,2,5,1,1693526400,1672444800,86400,2,111.05,111.23,110.19,111.71,111.05,111.23,110.19,111.71,3.24,0.0292,1694649600,2.17,0.674965,9.541237,376297,376297,184258,236120,236120,44.46,111.2,900,800,3970828032,103.83,148.78,0.685441,109.6524,123.517,3.18,0.02863575,USD,4586025472,-0.01602,35361298,35753900,357843,396174,1690761600,1693440000,0.01,0.00897,0.88231003,2.12,0.0113,62.511,1.7766472,1672444800,1703980800,1688083200,-93300000,-2.62,11.64,1.01,0.792,-59.175,NYQ,EQUITY,THG,THG,Hanover Insurance Group Inc,"The Hanover Insurance Group, Inc.",813418200,America/New_York,EDT,-14400000,111.06,160.0,119.0,134.17,126.0,2.3,buy,6,167600000,4.688,-77500000,782800000,0.165,0.356,5793099776,34.979,162.499,-0.00397,-0.0388,752000000,676099968,557900032,0.164,0.08681,-0.01338,-0.01523,USD,
1,440 Lincoln Street,Worcester,MA,01653,United States,508 855 1000,508 855 8078,https://www.hanover.com,Insurance—Property & Casualty,Financial Services,"The Hanover Insurance Group, Inc., through its subsidiaries, provides various property and casualty insurance products and services in the United States. The company operates through four segments: Core Commercial, Specialty, Personal Lines, and Other. The Commercial Lines segment offers commercial multiple peril, commercial automobile, workers' compensation, and other commercial lines coverage. The Specialty segment provides professional and executive Lines, marine, and surety and other, as well as specialty P&C, such as program business, specialty industrial and commercial property, excess and surplus lines, and specialty general liability coverage. The Personal Lines segment offers personal automobile and homeowner's coverages, as well as other personal coverages, such as personal umbrella, inland marine, fire, personal watercraft, personal cyber, and other miscellaneous coverages. The Other segment markets investment management services to institutions, pension funds, and other organizations. The Hanover Insurance Group, Inc. markets its products and services through independent agents and brokers. The company was formerly known as Allmerica Financial Corp. and changed its name to The Hanover Insurance Group, Inc. in December 2005. The Hanover Insurance Group, Inc. was founded in 1852 and is headquartered in Worcester, Massachusetts.",4600,"{'maxAge': 1, 'name': 'Mr. Jeffrey Mark Farber', 'age': 57, 'title': 'Exec. VP & CFO', 'yearBorn': 1965, 'fiscalYear': 2022, 'totalPay': 1588839, 'exercisedValue': 9132486, 'unexercisedValue': 787570}",1,1,2,5,1,1693526400,1672444800,86400,2,111.05,111.23,110.19,111.71,111.05,111.23,110.19,111.71,3.24,0.0292,1694649600,2.17,0.674965,9.541237,376297,376297,184258,236120,236120,44.46,111.2,900,800,3970828032,103.83,148.78,0.685441,109.6524,123.517,3.18,0.02863575,USD,4586025472,-0.01602,35361298,35753900,357843,396174,1690761600,1693440000,0.01,0.00897,0.88231003,2.12,0.0113,62.511,1.7766472,1672444800,1703980800,1688083200,-93300000,-2.62,11.64,1.01,0.792,-59.175,NYQ,EQUITY,THG,THG,Hanover Insurance Group Inc,"The Hanover Insurance Group, Inc.",813418200,America/New_York,EDT,-14400000,111.06,160.0,119.0,134.17,126.0,2.3,buy,6,167600000,4.688,-77500000,782800000,0.165,0.356,5793099776,34.979,162.499,-0.00397,-0.0388,752000000,676099968,557900032,0.164,0.08681,-0.01338,-0.01523,USD,
2,440 Lincoln Street,Worcester,MA,01653,United States,508 855 1000,508 855 8078,https://www.hanover.com,Insurance—Property & Casualty,Financial Services,"The Hanover Insurance Group, Inc., through its subsidiaries, provides various property and casualty insurance products and services in the United States. The company operates through four segments: Core Commercial, Specialty, Personal Lines, and Other. The Commercial Lines segment offers commercial multiple peril, commercial automobile, workers' compensation, and other commercial lines coverage. The Specialty segment provides professional and executive Lines, marine, and surety and other, as well as specialty P&C, such as program business, specialty industrial and commercial property, excess and surplus lines, and specialty general liability coverage. The Personal Lines segment offers personal automobile and homeowner's coverages, as well as other personal coverages, such as personal umbrella, inland marine, fire, personal watercraft, personal cyber, and other miscellaneous coverages. The Other segment markets investment management services to institutions, pension funds, and other organizations. The Hanover Insurance Group, Inc. markets its products and services through independent agents and brokers. The company was formerly known as Allmerica Financial Corp. and changed its name to The Hanover Insurance Group, Inc. in December 2005. The Hanover Insurance Group, Inc. was founded in 1852 and is headquartered in Worcester, Massachusetts.",4600,"{'maxAge': 1, 'name': 'Mr. Dennis Francis Kerrigan Jr.', 'age': 57, 'title': 'Exec. VP, Assistant Sec. & Chief Legal Officer', 'yearBorn': 1965, 'fiscalYear': 2022, 'totalPay': 974993, 'exercisedValue': 0, 'unexercisedValue': 137005}",1,1,2,5,1,1693526400,1672444800,86400,2,111.05,111.23,110.19,111.71,111.05,111.23,110.19,111.71,3.24,0.0292,1694649600,2.17,0.674965,9.541237,376297,376297,184258,236120,236120,44.46,111.2,900,800,3970828032,103.83,148.78,0.685441,109.6524,123.517,3.18,0.02863575,USD,4586025472,-0.01602,35361298,35753900,357843,396174,1690761600,1693440000,0.01,0.00897,0.88231003,2.12,0.0113,62.511,1.7766472,1672444800,1703980800,1688083200,-93300000,-2.62,11.64,1.01,0.792,-59.175,NYQ,EQUITY,THG,THG,Hanover Insurance Group Inc,"The Hanover Insurance Group, Inc.",813418200,America/New_York,EDT,-14400000,111.06,160.0,119.0,134.17,126.0,2.3,buy,6,167600000,4.688,-77500000,782800000,0.165,0.356,5793099776,34.979,162.499,-0.00397,-0.0388,752000000,676099968,557900032,0.164,0.08681,-0.01338,-0.01523,USD,
3,440 Lincoln Street,Worcester,MA,01653,United States,508 855 1000,508 855 8078,https://www.hanover.com,Insurance—Property & Casualty,Financial Services,"The Hanover Insurance Group, Inc., through its subsidiaries, provides various property and casualty insurance products and services in the United States. The company operates through four segments: Core Commercial, Specialty, Personal Lines, and Other. The Commercial Lines segment offers commercial multiple peril, commercial automobile, workers' compensation, and other commercial lines coverage. The Specialty segment provides professional and executive Lines, marine, and surety and other, as well as specialty P&C, such as program business, specialty industrial and commercial property, excess and surplus lines, and specialty general liability coverage. The Personal Lines segment offers personal automobile and homeowner's coverages, as well as other personal coverages, such as personal umbrella, inland marine, fire, personal watercraft, personal cyber, and other miscellaneous coverages. The Other segment markets investment management services to institutions, pension funds, and other organizations. The Hanover Insurance Group, Inc. markets its products and services through independent agents and brokers. The company was formerly known as Allmerica Financial Corp. and changed its name to The Hanover Insurance Group, Inc. in December 2005. The Hanover Insurance Group, Inc. was founded in 1852 and is headquartered in Worcester, Massachusetts.",4600,"{'maxAge': 1, 'name': 'Mr. Richard William Lavey', 'age': 54, 'title': 'Exec. VP & Pres of Hanover Agency Markets', 'yearBorn': 1968, 'fiscalYear': 2022, 'totalPay': 1274377, 'exercisedValue': 731873, 'unexercisedValue': 3848276}",1,1,2,5,1,1693526400,1672444800,86400,2,111.05,111.23,110.19,111.71,111.05,111.23,110.19,111.71,3.24,0.0292,1694649600,2.17,0.674965,9.541237,376297,376297,184258,236120,236120,44.46,111.2,900,800,3970828032,103.83,148.78,0.685441,109.6524,123.517,3.18,0.02863575,USD,4586025472,-0.01602,35361298,35753900,357843,396174,1690761600,1693440000,0.01,0.00897,0.88231003,2.12,0.0113,62.511,1.7766472,1672444800,1703980800,1688083200,-93300000,-2.62,11.64,1.01,0.792,-59.175,NYQ,EQUITY,THG,THG,Hanover Insurance Group Inc,"The Hanover Insurance Group, Inc.",813418200,America/New_York,EDT,-14400000,111.06,160.0,119.0,134.17,126.0,2.3,buy,6,167600000,4.688,-77500000,782800000,0.165,0.356,5793099776,34.979,162.499,-0.00397,-0.0388,752000000,676099968,557900032,0.164,0.08681,-0.01338,-0.01523,USD,
4,440 Lincoln Street,Worcester,MA,01653,United States,508 855 1000,508 855 8078,https://www.hanover.com,Insurance—Property & Casualty,Financial Services,"The Hanover Insurance Group, Inc., through its subsidiaries, provides various property and casualty insurance products and services in the United States. The company operates through four segments: Core Commercial, Specialty, Personal Lines, and Other. The Commercial Lines segment offers commercial multiple peril, commercial automobile, workers' compensation, and other commercial lines coverage. The Specialty segment provides professional and executive Lines, marine, and surety and other, as well as specialty P&C, such as program business, specialty industrial and commercial property, excess and surplus lines, and specialty general liability coverage. The Personal Lines segment offers personal automobile and homeowner's coverages, as well as other personal coverages, such as personal umbrella, inland marine, fire, personal watercraft, personal cyber, and other miscellaneous coverages. The Other segment markets investment management services to institutions, pension funds, and other organizations. The Hanover Insurance Group, Inc. markets its products and services through independent agents and brokers. The company was formerly known as Allmerica Financial Corp. and changed its name to The Hanover Insurance Group, Inc. in December 2005. The Hanover Insurance Group, Inc. was founded in 1852 and is headquartered in Worcester, Massachusetts.",4600,"{'maxAge': 1, 'name': 'Mr. Bryan James Salvatore', 'age': 57, 'title': 'Exec. VP & Pres of Specialty', 'yearBorn': 1965, 'fiscalYear': 2022, 'totalPay': 1198231, 'exercisedValue': 0, 'unexercisedValue': 1923285}",1,1,2,5,1,1693526400,1672444800,86400,2,111.05,111.23,110.19,111.71,111.05,111.23,110.19,111.71,3.24,0.0292,1694649600,2.17,0.674965,9.541237,376297,376297,184258,236120,236120,44.46,111.2,900,800,3970828032,103.83,148.78,0.685441,109.6524,123.517,3.18,0.02863575,USD,4586025472,-0.01602,35361298,35753900,357843,396174,1690761600,1693440000,0.01,0.00897,0.88231003,2.12,0.0113,62.511,1.7766472,1672444800,1703980800,1688083200,-93300000,-2.62,11.64,1.01,0.792,-59.175,NYQ,EQUITY,THG,THG,Hanover Insurance Group Inc,"The Hanover Insurance Group, Inc.",813418200,America/New_York,EDT,-14400000,111.06,160.0,119.0,134.17,126.0,2.3,buy,6,167600000,4.688,-77500000,782800000,0.165,0.356,5793099776,34.979,162.499,-0.00397,-0.0388,752000000,676099968,557900032,0.164,0.08681,-0.01338,-0.01523,USD,
5,440 Lincoln Street,Worcester,MA,01653,United States,508 855 1000,508 855 8078,https://www.hanover.com,Insurance—Property & Casualty,Financial Services,"The Hanover Insurance Group, Inc., through its subsidiaries, provides various property and casualty insurance products and services in the United States. The company operates through four segments: Core Commercial, Specialty, Personal Lines, and Other. The Commercial Lines segment offers commercial multiple peril, commercial automobile, workers' compensation, and other commercial lines coverage. The Specialty segment provides professional and executive Lines, marine, and surety and other, as well as specialty P&C, such as program business, specialty industrial and commercial property, excess and surplus lines, and specialty general liability coverage. The Personal Lines segment offers personal automobile and homeowner's coverages, as well as other personal coverages, such as personal umbrella, inland marine, fire, personal watercraft, personal cyber, and other miscellaneous coverages. The Other segment markets investment management services to institutions, pension funds, and other organizations. The Hanover Insurance Group, Inc. markets its products and services through independent agents and brokers. The company was formerly known as Allmerica Financial Corp. and changed its name to The Hanover Insurance Group, Inc. in December 2005. The Hanover Insurance Group, Inc. was founded in 1852 and is headquartered in Worcester, Massachusetts.",4600,"{'maxAge': 1, 'name': 'Ms. Lindsay France Greenfield', 'title': 'Sr. VP & Chief investment Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,2,5,1,1693526400,1672444800,86400,2,111.05,111.23,110.19,111.71,111.05,111.23,110.19,111.71,3.24,0.0292,1694649600,2.17,0.674965,9.541237,376297,376297,184258,236120,236120,44.46,111.2,900,800,3970828032,103.83,148.78,0.685441,109.6524,123.517,3.18,0.02863575,USD,4586025472,-0.01602,35361298,35753900,357843,396174,1690761600,1693440000,0.01,0.00897,0.88231003,2.12,0.0113,62.511,1.7766472,1672444800,1703980800,1688083200,-93300000,-2.62,11.64,1.01,0.792,-59.175,NYQ,EQUITY,THG,THG,Hanover Insurance Group Inc,"The Hanover Insurance Group, Inc.",813418200,America/New_York,EDT,-14400000,111.06,160.0,119.0,134.17,126.0,2.3,buy,6,167600000,4.688,-77500000,782800000,0.165,0.356,5793099776,34.979,162.499,-0.00397,-0.0388,752000000,676099968,557900032,0.164,0.08681,-0.01338,-0.01523,USD,
6,440 Lincoln Street,Worcester,MA,01653,United States,508 855 1000,508 855 8078,https://www.hanover.com,Insurance—Property & Casualty,Financial Services,"The Hanover Insurance Group, Inc., through its subsidiaries, provides various property and casualty insurance products and services in the United States. The company operates through four segments: Core Commercial, Specialty, Personal Lines, and Other. The Commercial Lines segment offers commercial multiple peril, commercial automobile, workers' compensation, and other commercial lines coverage. The Specialty segment provides professional and executive Lines, marine, and surety and other, as well as specialty P&C, such as program business, specialty industrial and commercial property, excess and surplus lines, and specialty general liability coverage. The Personal Lines segment offers personal automobile and homeowner's coverages, as well as other personal coverages, such as personal umbrella, inland marine, fire, personal watercraft, personal cyber, and other miscellaneous coverages. The Other segment markets investment management services to institutions, pension funds, and other organizations. The Hanover Insurance Group, Inc. markets its products and services through independent agents and brokers. The company was formerly known as Allmerica Financial Corp. and changed its name to The Hanover Insurance Group, Inc. in December 2005. The Hanover Insurance Group, Inc. was founded in 1852 and is headquartered in Worcester, Massachusetts.",4600,"{'maxAge': 1, 'name': 'Ms. Oksana  Lukasheva', 'title': 'Sr. VP of Corp. Fin.', 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,2,5,1,1693526400,1672444800,86400,2,111.05,111.23,110.19,111.71,111.05,111.23,110.19,111.71,3.24,0.0292,1694649600,2.17,0.674965,9.541237,376297,376297,184258,236120,236120,44.46,111.2,900,800,3970828032,103.83,148.78,0.685441,109.6524,123.517,3.18,0.02863575,USD,4586025472,-0.01602,35361298,35753900,357843,396174,1690761600,1693440000,0.01,0.00897,0.88231003,2.12,0.0113,62.511,1.7766472,1672444800,1703980800,1688083200,-93300000,-2.62,11.64,1.01,0.792,-59.175,NYQ,EQUITY,THG,THG,Hanover Insurance Group Inc,"The Hanover Insurance Group, Inc.",813418200,America/New_York,EDT,-14400000,111.06,160.0,119.0,134.17,126.0,2.3,buy,6,167600000,4.688,-77500000,782800000,0.165,0.356,5793099776,34.979,162.499,-0.00397,-0.0388,752000000,676099968,557900032,0.164,0.08681,-0.01338,-0.01523,USD,
7,440 Lincoln Street,Worcester,MA,01653,United States,508 855 1000,508 855 8078,https://www.hanover.com,Insurance—Property & Casualty,Financial Services,"The Hanover Insurance Group, Inc., through its subsidiaries, provides various property and casualty insurance products and services in the United States. The company operates through four segments: Core Commercial, Specialty, Personal Lines, and Other. The Commercial Lines segment offers commercial multiple peril, commercial automobile, workers' compensation, and other commercial lines coverage. The Specialty segment provides professional and executive Lines, marine, and surety and other, as well as specialty P&C, such as program business, specialty industrial and commercial property, excess and surplus lines, and specialty general liability coverage. The Personal Lines segment offers personal automobile and homeowner's coverages, as well as other personal coverages, such as personal umbrella, inland marine, fire, personal watercraft, personal cyber, and other miscellaneous coverages. The Other segment markets investment management services to institutions, pension funds, and other organizations. The Hanover Insurance Group, Inc. markets its products and services through independent agents and brokers. The company was formerly known as Allmerica Financial Corp. and changed its name to The Hanover Insurance Group, Inc. in December 2005. The Hanover Insurance Group, Inc. was founded in 1852 and is headquartered in Worcester, Massachusetts.",4600,"{'maxAge': 1, 'name': 'Mr. Willard Ty-Lunn Lee', 'age': 52, 'title': 'Exec. VP, Chief Information & Innovation Officer', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,2,5,1,1693526400,1672444800,86400,2,111.05,111.23,110.19,111.71,111.05,111.23,110.19,111.71,3.24,0.0292,1694649600,2.17,0.674965,9.541237,376297,376297,184258,236120,236120,44.46,111.2,900,800,3970828032,103.83,148.78,0.685441,109.6524,123.517,3.18,0.02863575,USD,4586025472,-0.01602,35361298,35753900,357843,396174,1690761600,1693440000,0.01,0.00897,0.88231003,2.12,0.0113,62.511,1.7766472,1672444800,1703980800,1688083200,-93300000,-2.62,11.64,1.01,0.792,-59.175,NYQ,EQUITY,THG,THG,Hanover Insurance Group Inc,"The Hanover Insurance Group, Inc.",813418200,America/New_York,EDT,-14400000,111.06,160.0,119.0,134.17,126.0,2.3,buy,6,167600000,4.688,-77500000,782800000,0.165,0.356,5793099776,34.979,162.499,-0.00397,-0.0388,752000000,676099968,557900032,0.164,0.08681,-0.01338,-0.01523,USD,
8,440 Lincoln Street,Worcester,MA,01653,United States,508 855 1000,508 855 8078,https://www.hanover.com,Insurance—Property & Casualty,Financial Services,"The Hanover Insurance Group, Inc., through its subsidiaries, provides various property and casualty insurance products and services in the United States. The company operates through four segments: Core Commercial, Specialty, Personal Lines, and Other. The Commercial Lines segment offers commercial multiple peril, commercial automobile, workers' compensation, and other commercial lines coverage. The Specialty segment provides professional and executive Lines, marine, and surety and other, as well as specialty P&C, such as program business, specialty industrial and commercial property, excess and surplus lines, and specialty general liability coverage. The Personal Lines segment offers personal automobile and homeowner's coverages, as well as other personal coverages, such as personal umbrella, inland marine, fire, personal watercraft, personal cyber, and other miscellaneous coverages. The Other segment markets investment management services to institutions, pension funds, and other organizations. The Hanover Insurance Group, Inc. markets its products and services through independent agents and brokers. The company was formerly known as Allmerica Financial Corp. and changed its name to The Hanover Insurance Group, Inc. in December 2005. The Hanover Insurance Group, Inc. was founded in 1852 and is headquartered in Worcester, Massachusetts.",4600,"{'maxAge': 1, 'name': 'Jennifer F. Luisa', 'title': 'Sr. VP & Chief Marketing Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,2,5,1,1693526400,1672444800,86400,2,111.05,111.23,110.19,111.71,111.05,111.23,110.19,111.71,3.24,0.0292,1694649600,2.17,0.674965,9.541237,376297,376297,184258,236120,236120,44.46,111.2,900,800,3970828032,103.83,148.78,0.685441,109.6524,123.517,3.18,0.02863575,USD,4586025472,-0.01602,35361298,35753900,357843,396174,1690761600,1693440000,0.01,0.00897,0.88231003,2.12,0.0113,62.511,1.7766472,1672444800,1703980800,1688083200,-93300000,-2.62,11.64,1.01,0.792,-59.175,NYQ,EQUITY,THG,THG,Hanover Insurance Group Inc,"The Hanover Insurance Group, Inc.",813418200,America/New_York,EDT,-14400000,111.06,160.0,119.0,134.17,126.0,2.3,buy,6,167600000,4.688,-77500000,782800000,0.165,0.356,5793099776,34.979,162.499,-0.00397,-0.0388,752000000,676099968,557900032,0.164,0.08681,-0.01338,-0.01523,USD,
9,440 Lincoln Street,Worcester,MA,01653,United States,508 855 1000,508 855 8078,https://www.hanover.com,Insurance—Property & Casualty,Financial Services,"The Hanover Insurance Group, Inc., through its subsidiaries, provides various property and casualty insurance products and services in the United States. The company operates through four segments: Core Commercial, Specialty, Personal Lines, and Other. The Commercial Lines segment offers commercial multiple peril, commercial automobile, workers' compensation, and other commercial lines coverage. The Specialty segment provides professional and executive Lines, marine, and surety and other, as well as specialty P&C, such as program business, specialty industrial and commercial property, excess and surplus lines, and specialty general liability coverage. The Personal Lines segment offers personal automobile and homeowner's coverages, as well as other personal coverages, such as personal umbrella, inland marine, fire, personal watercraft, personal cyber, and other miscellaneous coverages. The Other segment markets investment management services to institutions, pension funds, and other organizations. The Hanover Insurance Group, Inc. markets its products and services through independent agents and brokers. The company was formerly known as Allmerica Financial Corp. and changed its name to The Hanover Insurance Group, Inc. in December 2005. The Hanover Insurance Group, Inc. was founded in 1852 and is headquartered in Worcester, Massachusetts.",4600,"{'maxAge': 1, 'name': 'Ms. Denise Tinger Maureen Lowsley B.A.', 'age': 51, 'title': 'Exec. VP & Chief HR Officer', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,2,5,1,1693526400,1672444800,86400,2,111.05,111.23,110.19,111.71,111.05,111.23,110.19,111.71,3.24,0.0292,1694649600,2.17,0.674965,9.541237,376297,376297,184258,236120,236120,44.46,111.2,900,800,3970828032,103.83,148.78,0.685441,109.6524,123.517,3.18,0.02863575,USD,4586025472,-0.01602,35361298,35753900,357843,396174,1690761600,1693440000,0.01,0.00897,0.88231003,2.12,0.0113,62.511,1.7766472,1672444800,1703980800,1688083200,-93300000,-2.62,11.64,1.01,0.792,-59.175,NYQ,EQUITY,THG,THG,Hanover Insurance Group Inc,"The Hanover Insurance Group, Inc.",813418200,America/New_York,EDT,-14400000,111.06,160.0,119.0,134.17,126.0,2.3,buy,6,167600000,4.688,-77500000,782800000,0.165,0.356,5793099776,34.979,162.499,-0.00397,-0.0388,752000000,676099968,557900032,0.164,0.08681,-0.01338,-0.01523,USD,
