,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,5260 California Avenue,Irvine,CA,92617,United States,949 231 3000,https://www.skyworksinc.com,Semiconductors,Technology,"Skyworks Solutions, Inc., together with its subsidiaries, designs, develops, manufactures, and markets proprietary semiconductor products in the United States, China, South Korea, Taiwan, Europe, the Middle East, Africa, and the rest of Asia-Pacific. Its product portfolio includes amplifiers, antenna tuners, attenuators, automotive tuners and digital radios, clocks and timings, circulators/isolators, DC/DC converters, demodulators, detectors, diodes, wireless analog system on chip products, directional couplers, diversity receive modules, filters, front-end modules, hybrids, light emitting diode drivers, low noise amplifiers, mixers, modulators, optocouplers/optoisolators, phase locked loops, phase shifters, power dividers/combiners, receivers, switches, synthesizers, timing devices, technical ceramics, voltage controlled oscillators/synthesizers, and voltage regulators. The company provides its products for the usage in aerospace, automotive, broadband, cellular infrastructure, connected home, entertainment and gaming, industrial, medical, military, smartphone, tablet, and wearable markets. It sells its products through direct sales force, electronic component distributors, and independent sales representatives. Skyworks Solutions, Inc. was founded in 1962 and is based in Irvine, California.",11150,"{'maxAge': 1, 'name': 'Mr. Liam K. Griffin', 'age': 55, 'title': 'CEO, Pres & Chairman', 'yearBorn': 1967, 'fiscalYear': 2022, 'totalPay': 3579369, 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,9,9,9,1693526400,1672444800,86400,2,99.24,98.88,97.87,99.75,99.24,98.88,97.87,99.75,2.72,0.0277,1693180800,0.3821,1.73,1.285615,15.132512,10.912222,2488803,2488803,1626204,2002300,2002300,96.8,98.12,900,900,15653985280,76.16,123.69,3.1557271,108.0274,106.3469,2.48,0.024989923,USD,16629744640,0.20969999,158799634,159392992,2792815,2638580,1690761600,1693440000,0.0175,0.0031299999,0.8337,1.81,0.0199,36.921,2.6600037,1664496000,1696032000,1688083200,-0.267,1040200000,6.49,9.0,0.79,2:1,956188800,3.352,9.391,NMS,EQUITY,SWKS,SWKS,"Skyworks Solutions, Inc.","Skyworks Solutions, Inc.",463411800,America/New_York,EDT,-14400000,98.21,176.0,99.0,120.72,120.0,2.5,buy,25,736499968,4.621,1770899968,1712300032,1.791,3.825,4960500224,29.131,31.105,0.095319994,0.18621,2604300000,906875008,1727200000,-0.265,-0.131,0.46322,0.357,0.26378,USD,1.1248
1,5260 California Avenue,Irvine,CA,92617,United States,949 231 3000,https://www.skyworksinc.com,Semiconductors,Technology,"Skyworks Solutions, Inc., together with its subsidiaries, designs, develops, manufactures, and markets proprietary semiconductor products in the United States, China, South Korea, Taiwan, Europe, the Middle East, Africa, and the rest of Asia-Pacific. Its product portfolio includes amplifiers, antenna tuners, attenuators, automotive tuners and digital radios, clocks and timings, circulators/isolators, DC/DC converters, demodulators, detectors, diodes, wireless analog system on chip products, directional couplers, diversity receive modules, filters, front-end modules, hybrids, light emitting diode drivers, low noise amplifiers, mixers, modulators, optocouplers/optoisolators, phase locked loops, phase shifters, power dividers/combiners, receivers, switches, synthesizers, timing devices, technical ceramics, voltage controlled oscillators/synthesizers, and voltage regulators. The company provides its products for the usage in aerospace, automotive, broadband, cellular infrastructure, connected home, entertainment and gaming, industrial, medical, military, smartphone, tablet, and wearable markets. It sells its products through direct sales force, electronic component distributors, and independent sales representatives. Skyworks Solutions, Inc. was founded in 1962 and is based in Irvine, California.",11150,"{'maxAge': 1, 'name': 'Mr. Kris  Sennesael', 'age': 53, 'title': 'Sr. VP & CFO', 'yearBorn': 1969, 'fiscalYear': 2022, 'totalPay': 1390782, 'exercisedValue': 0, 'unexercisedValue': 499180}",9,8,9,9,9,1693526400,1672444800,86400,2,99.24,98.88,97.87,99.75,99.24,98.88,97.87,99.75,2.72,0.0277,1693180800,0.3821,1.73,1.285615,15.132512,10.912222,2488803,2488803,1626204,2002300,2002300,96.8,98.12,900,900,15653985280,76.16,123.69,3.1557271,108.0274,106.3469,2.48,0.024989923,USD,16629744640,0.20969999,158799634,159392992,2792815,2638580,1690761600,1693440000,0.0175,0.0031299999,0.8337,1.81,0.0199,36.921,2.6600037,1664496000,1696032000,1688083200,-0.267,1040200000,6.49,9.0,0.79,2:1,956188800,3.352,9.391,NMS,EQUITY,SWKS,SWKS,"Skyworks Solutions, Inc.","Skyworks Solutions, Inc.",463411800,America/New_York,EDT,-14400000,98.21,176.0,99.0,120.72,120.0,2.5,buy,25,736499968,4.621,1770899968,1712300032,1.791,3.825,4960500224,29.131,31.105,0.095319994,0.18621,2604300000,906875008,1727200000,-0.265,-0.131,0.46322,0.357,0.26378,USD,1.1248
2,5260 California Avenue,Irvine,CA,92617,United States,949 231 3000,https://www.skyworksinc.com,Semiconductors,Technology,"Skyworks Solutions, Inc., together with its subsidiaries, designs, develops, manufactures, and markets proprietary semiconductor products in the United States, China, South Korea, Taiwan, Europe, the Middle East, Africa, and the rest of Asia-Pacific. Its product portfolio includes amplifiers, antenna tuners, attenuators, automotive tuners and digital radios, clocks and timings, circulators/isolators, DC/DC converters, demodulators, detectors, diodes, wireless analog system on chip products, directional couplers, diversity receive modules, filters, front-end modules, hybrids, light emitting diode drivers, low noise amplifiers, mixers, modulators, optocouplers/optoisolators, phase locked loops, phase shifters, power dividers/combiners, receivers, switches, synthesizers, timing devices, technical ceramics, voltage controlled oscillators/synthesizers, and voltage regulators. The company provides its products for the usage in aerospace, automotive, broadband, cellular infrastructure, connected home, entertainment and gaming, industrial, medical, military, smartphone, tablet, and wearable markets. It sells its products through direct sales force, electronic component distributors, and independent sales representatives. Skyworks Solutions, Inc. was founded in 1962 and is based in Irvine, California.",11150,"{'maxAge': 1, 'name': 'Dr. Reza  Kasnavi', 'age': 49, 'title': 'Sr. VP of Technology & Manufacturing', 'yearBorn': 1973, 'fiscalYear': 2022, 'totalPay': 1184983, 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,9,9,9,1693526400,1672444800,86400,2,99.24,98.88,97.87,99.75,99.24,98.88,97.87,99.75,2.72,0.0277,1693180800,0.3821,1.73,1.285615,15.132512,10.912222,2488803,2488803,1626204,2002300,2002300,96.8,98.12,900,900,15653985280,76.16,123.69,3.1557271,108.0274,106.3469,2.48,0.024989923,USD,16629744640,0.20969999,158799634,159392992,2792815,2638580,1690761600,1693440000,0.0175,0.0031299999,0.8337,1.81,0.0199,36.921,2.6600037,1664496000,1696032000,1688083200,-0.267,1040200000,6.49,9.0,0.79,2:1,956188800,3.352,9.391,NMS,EQUITY,SWKS,SWKS,"Skyworks Solutions, Inc.","Skyworks Solutions, Inc.",463411800,America/New_York,EDT,-14400000,98.21,176.0,99.0,120.72,120.0,2.5,buy,25,736499968,4.621,1770899968,1712300032,1.791,3.825,4960500224,29.131,31.105,0.095319994,0.18621,2604300000,906875008,1727200000,-0.265,-0.131,0.46322,0.357,0.26378,USD,1.1248
3,5260 California Avenue,Irvine,CA,92617,United States,949 231 3000,https://www.skyworksinc.com,Semiconductors,Technology,"Skyworks Solutions, Inc., together with its subsidiaries, designs, develops, manufactures, and markets proprietary semiconductor products in the United States, China, South Korea, Taiwan, Europe, the Middle East, Africa, and the rest of Asia-Pacific. Its product portfolio includes amplifiers, antenna tuners, attenuators, automotive tuners and digital radios, clocks and timings, circulators/isolators, DC/DC converters, demodulators, detectors, diodes, wireless analog system on chip products, directional couplers, diversity receive modules, filters, front-end modules, hybrids, light emitting diode drivers, low noise amplifiers, mixers, modulators, optocouplers/optoisolators, phase locked loops, phase shifters, power dividers/combiners, receivers, switches, synthesizers, timing devices, technical ceramics, voltage controlled oscillators/synthesizers, and voltage regulators. The company provides its products for the usage in aerospace, automotive, broadband, cellular infrastructure, connected home, entertainment and gaming, industrial, medical, military, smartphone, tablet, and wearable markets. It sells its products through direct sales force, electronic component distributors, and independent sales representatives. Skyworks Solutions, Inc. was founded in 1962 and is based in Irvine, California.",11150,"{'maxAge': 1, 'name': 'Mr. Robert John Terry', 'age': 56, 'title': 'Sr. VP, Gen. Counsel & Sec.', 'yearBorn': 1966, 'fiscalYear': 2022, 'totalPay': 1101474, 'exercisedValue': 8398, 'unexercisedValue': 0}",9,8,9,9,9,1693526400,1672444800,86400,2,99.24,98.88,97.87,99.75,99.24,98.88,97.87,99.75,2.72,0.0277,1693180800,0.3821,1.73,1.285615,15.132512,10.912222,2488803,2488803,1626204,2002300,2002300,96.8,98.12,900,900,15653985280,76.16,123.69,3.1557271,108.0274,106.3469,2.48,0.024989923,USD,16629744640,0.20969999,158799634,159392992,2792815,2638580,1690761600,1693440000,0.0175,0.0031299999,0.8337,1.81,0.0199,36.921,2.6600037,1664496000,1696032000,1688083200,-0.267,1040200000,6.49,9.0,0.79,2:1,956188800,3.352,9.391,NMS,EQUITY,SWKS,SWKS,"Skyworks Solutions, Inc.","Skyworks Solutions, Inc.",463411800,America/New_York,EDT,-14400000,98.21,176.0,99.0,120.72,120.0,2.5,buy,25,736499968,4.621,1770899968,1712300032,1.791,3.825,4960500224,29.131,31.105,0.095319994,0.18621,2604300000,906875008,1727200000,-0.265,-0.131,0.46322,0.357,0.26378,USD,1.1248
4,5260 California Avenue,Irvine,CA,92617,United States,949 231 3000,https://www.skyworksinc.com,Semiconductors,Technology,"Skyworks Solutions, Inc., together with its subsidiaries, designs, develops, manufactures, and markets proprietary semiconductor products in the United States, China, South Korea, Taiwan, Europe, the Middle East, Africa, and the rest of Asia-Pacific. Its product portfolio includes amplifiers, antenna tuners, attenuators, automotive tuners and digital radios, clocks and timings, circulators/isolators, DC/DC converters, demodulators, detectors, diodes, wireless analog system on chip products, directional couplers, diversity receive modules, filters, front-end modules, hybrids, light emitting diode drivers, low noise amplifiers, mixers, modulators, optocouplers/optoisolators, phase locked loops, phase shifters, power dividers/combiners, receivers, switches, synthesizers, timing devices, technical ceramics, voltage controlled oscillators/synthesizers, and voltage regulators. The company provides its products for the usage in aerospace, automotive, broadband, cellular infrastructure, connected home, entertainment and gaming, industrial, medical, military, smartphone, tablet, and wearable markets. It sells its products through direct sales force, electronic component distributors, and independent sales representatives. Skyworks Solutions, Inc. was founded in 1962 and is based in Irvine, California.",11150,"{'maxAge': 1, 'name': 'Mr. Carlos S. Bori', 'age': 51, 'title': 'Sr. VP of Sales & Marketing', 'yearBorn': 1971, 'fiscalYear': 2022, 'totalPay': 1088364, 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,9,9,9,1693526400,1672444800,86400,2,99.24,98.88,97.87,99.75,99.24,98.88,97.87,99.75,2.72,0.0277,1693180800,0.3821,1.73,1.285615,15.132512,10.912222,2488803,2488803,1626204,2002300,2002300,96.8,98.12,900,900,15653985280,76.16,123.69,3.1557271,108.0274,106.3469,2.48,0.024989923,USD,16629744640,0.20969999,158799634,159392992,2792815,2638580,1690761600,1693440000,0.0175,0.0031299999,0.8337,1.81,0.0199,36.921,2.6600037,1664496000,1696032000,1688083200,-0.267,1040200000,6.49,9.0,0.79,2:1,956188800,3.352,9.391,NMS,EQUITY,SWKS,SWKS,"Skyworks Solutions, Inc.","Skyworks Solutions, Inc.",463411800,America/New_York,EDT,-14400000,98.21,176.0,99.0,120.72,120.0,2.5,buy,25,736499968,4.621,1770899968,1712300032,1.791,3.825,4960500224,29.131,31.105,0.095319994,0.18621,2604300000,906875008,1727200000,-0.265,-0.131,0.46322,0.357,0.26378,USD,1.1248
5,5260 California Avenue,Irvine,CA,92617,United States,949 231 3000,https://www.skyworksinc.com,Semiconductors,Technology,"Skyworks Solutions, Inc., together with its subsidiaries, designs, develops, manufactures, and markets proprietary semiconductor products in the United States, China, South Korea, Taiwan, Europe, the Middle East, Africa, and the rest of Asia-Pacific. Its product portfolio includes amplifiers, antenna tuners, attenuators, automotive tuners and digital radios, clocks and timings, circulators/isolators, DC/DC converters, demodulators, detectors, diodes, wireless analog system on chip products, directional couplers, diversity receive modules, filters, front-end modules, hybrids, light emitting diode drivers, low noise amplifiers, mixers, modulators, optocouplers/optoisolators, phase locked loops, phase shifters, power dividers/combiners, receivers, switches, synthesizers, timing devices, technical ceramics, voltage controlled oscillators/synthesizers, and voltage regulators. The company provides its products for the usage in aerospace, automotive, broadband, cellular infrastructure, connected home, entertainment and gaming, industrial, medical, military, smartphone, tablet, and wearable markets. It sells its products through direct sales force, electronic component distributors, and independent sales representatives. Skyworks Solutions, Inc. was founded in 1962 and is based in Irvine, California.",11150,"{'maxAge': 1, 'name': 'Mr. Philip Matthew Carter', 'age': 44, 'title': 'Principal Accounting Officer, VP & Corp. Controller', 'yearBorn': 1978, 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,9,9,9,1693526400,1672444800,86400,2,99.24,98.88,97.87,99.75,99.24,98.88,97.87,99.75,2.72,0.0277,1693180800,0.3821,1.73,1.285615,15.132512,10.912222,2488803,2488803,1626204,2002300,2002300,96.8,98.12,900,900,15653985280,76.16,123.69,3.1557271,108.0274,106.3469,2.48,0.024989923,USD,16629744640,0.20969999,158799634,159392992,2792815,2638580,1690761600,1693440000,0.0175,0.0031299999,0.8337,1.81,0.0199,36.921,2.6600037,1664496000,1696032000,1688083200,-0.267,1040200000,6.49,9.0,0.79,2:1,956188800,3.352,9.391,NMS,EQUITY,SWKS,SWKS,"Skyworks Solutions, Inc.","Skyworks Solutions, Inc.",463411800,America/New_York,EDT,-14400000,98.21,176.0,99.0,120.72,120.0,2.5,buy,25,736499968,4.621,1770899968,1712300032,1.791,3.825,4960500224,29.131,31.105,0.095319994,0.18621,2604300000,906875008,1727200000,-0.265,-0.131,0.46322,0.357,0.26378,USD,1.1248
6,5260 California Avenue,Irvine,CA,92617,United States,949 231 3000,https://www.skyworksinc.com,Semiconductors,Technology,"Skyworks Solutions, Inc., together with its subsidiaries, designs, develops, manufactures, and markets proprietary semiconductor products in the United States, China, South Korea, Taiwan, Europe, the Middle East, Africa, and the rest of Asia-Pacific. Its product portfolio includes amplifiers, antenna tuners, attenuators, automotive tuners and digital radios, clocks and timings, circulators/isolators, DC/DC converters, demodulators, detectors, diodes, wireless analog system on chip products, directional couplers, diversity receive modules, filters, front-end modules, hybrids, light emitting diode drivers, low noise amplifiers, mixers, modulators, optocouplers/optoisolators, phase locked loops, phase shifters, power dividers/combiners, receivers, switches, synthesizers, timing devices, technical ceramics, voltage controlled oscillators/synthesizers, and voltage regulators. The company provides its products for the usage in aerospace, automotive, broadband, cellular infrastructure, connected home, entertainment and gaming, industrial, medical, military, smartphone, tablet, and wearable markets. It sells its products through direct sales force, electronic component distributors, and independent sales representatives. Skyworks Solutions, Inc. was founded in 1962 and is based in Irvine, California.",11150,"{'maxAge': 1, 'name': 'Mr. Mitchell J. Haws', 'age': 58, 'title': 'VP of Investor Relations', 'yearBorn': 1964, 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,9,9,9,1693526400,1672444800,86400,2,99.24,98.88,97.87,99.75,99.24,98.88,97.87,99.75,2.72,0.0277,1693180800,0.3821,1.73,1.285615,15.132512,10.912222,2488803,2488803,1626204,2002300,2002300,96.8,98.12,900,900,15653985280,76.16,123.69,3.1557271,108.0274,106.3469,2.48,0.024989923,USD,16629744640,0.20969999,158799634,159392992,2792815,2638580,1690761600,1693440000,0.0175,0.0031299999,0.8337,1.81,0.0199,36.921,2.6600037,1664496000,1696032000,1688083200,-0.267,1040200000,6.49,9.0,0.79,2:1,956188800,3.352,9.391,NMS,EQUITY,SWKS,SWKS,"Skyworks Solutions, Inc.","Skyworks Solutions, Inc.",463411800,America/New_York,EDT,-14400000,98.21,176.0,99.0,120.72,120.0,2.5,buy,25,736499968,4.621,1770899968,1712300032,1.791,3.825,4960500224,29.131,31.105,0.095319994,0.18621,2604300000,906875008,1727200000,-0.265,-0.131,0.46322,0.357,0.26378,USD,1.1248
7,5260 California Avenue,Irvine,CA,92617,United States,949 231 3000,https://www.skyworksinc.com,Semiconductors,Technology,"Skyworks Solutions, Inc., together with its subsidiaries, designs, develops, manufactures, and markets proprietary semiconductor products in the United States, China, South Korea, Taiwan, Europe, the Middle East, Africa, and the rest of Asia-Pacific. Its product portfolio includes amplifiers, antenna tuners, attenuators, automotive tuners and digital radios, clocks and timings, circulators/isolators, DC/DC converters, demodulators, detectors, diodes, wireless analog system on chip products, directional couplers, diversity receive modules, filters, front-end modules, hybrids, light emitting diode drivers, low noise amplifiers, mixers, modulators, optocouplers/optoisolators, phase locked loops, phase shifters, power dividers/combiners, receivers, switches, synthesizers, timing devices, technical ceramics, voltage controlled oscillators/synthesizers, and voltage regulators. The company provides its products for the usage in aerospace, automotive, broadband, cellular infrastructure, connected home, entertainment and gaming, industrial, medical, military, smartphone, tablet, and wearable markets. It sells its products through direct sales force, electronic component distributors, and independent sales representatives. Skyworks Solutions, Inc. was founded in 1962 and is based in Irvine, California.",11150,"{'maxAge': 1, 'name': 'Ms. Karilee A. Durham', 'age': 53, 'title': 'Sr. VP of HR', 'yearBorn': 1969, 'fiscalYear': 2021, 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,9,9,9,1693526400,1672444800,86400,2,99.24,98.88,97.87,99.75,99.24,98.88,97.87,99.75,2.72,0.0277,1693180800,0.3821,1.73,1.285615,15.132512,10.912222,2488803,2488803,1626204,2002300,2002300,96.8,98.12,900,900,15653985280,76.16,123.69,3.1557271,108.0274,106.3469,2.48,0.024989923,USD,16629744640,0.20969999,158799634,159392992,2792815,2638580,1690761600,1693440000,0.0175,0.0031299999,0.8337,1.81,0.0199,36.921,2.6600037,1664496000,1696032000,1688083200,-0.267,1040200000,6.49,9.0,0.79,2:1,956188800,3.352,9.391,NMS,EQUITY,SWKS,SWKS,"Skyworks Solutions, Inc.","Skyworks Solutions, Inc.",463411800,America/New_York,EDT,-14400000,98.21,176.0,99.0,120.72,120.0,2.5,buy,25,736499968,4.621,1770899968,1712300032,1.791,3.825,4960500224,29.131,31.105,0.095319994,0.18621,2604300000,906875008,1727200000,-0.265,-0.131,0.46322,0.357,0.26378,USD,1.1248
8,5260 California Avenue,Irvine,CA,92617,United States,949 231 3000,https://www.skyworksinc.com,Semiconductors,Technology,"Skyworks Solutions, Inc., together with its subsidiaries, designs, develops, manufactures, and markets proprietary semiconductor products in the United States, China, South Korea, Taiwan, Europe, the Middle East, Africa, and the rest of Asia-Pacific. Its product portfolio includes amplifiers, antenna tuners, attenuators, automotive tuners and digital radios, clocks and timings, circulators/isolators, DC/DC converters, demodulators, detectors, diodes, wireless analog system on chip products, directional couplers, diversity receive modules, filters, front-end modules, hybrids, light emitting diode drivers, low noise amplifiers, mixers, modulators, optocouplers/optoisolators, phase locked loops, phase shifters, power dividers/combiners, receivers, switches, synthesizers, timing devices, technical ceramics, voltage controlled oscillators/synthesizers, and voltage regulators. The company provides its products for the usage in aerospace, automotive, broadband, cellular infrastructure, connected home, entertainment and gaming, industrial, medical, military, smartphone, tablet, and wearable markets. It sells its products through direct sales force, electronic component distributors, and independent sales representatives. Skyworks Solutions, Inc. was founded in 1962 and is based in Irvine, California.",11150,"{'maxAge': 1, 'name': 'Mr. Joel R. King', 'age': 48, 'title': 'Sr. VP & GM of Mobile Solutions Bus.', 'yearBorn': 1974, 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,9,9,9,1693526400,1672444800,86400,2,99.24,98.88,97.87,99.75,99.24,98.88,97.87,99.75,2.72,0.0277,1693180800,0.3821,1.73,1.285615,15.132512,10.912222,2488803,2488803,1626204,2002300,2002300,96.8,98.12,900,900,15653985280,76.16,123.69,3.1557271,108.0274,106.3469,2.48,0.024989923,USD,16629744640,0.20969999,158799634,159392992,2792815,2638580,1690761600,1693440000,0.0175,0.0031299999,0.8337,1.81,0.0199,36.921,2.6600037,1664496000,1696032000,1688083200,-0.267,1040200000,6.49,9.0,0.79,2:1,956188800,3.352,9.391,NMS,EQUITY,SWKS,SWKS,"Skyworks Solutions, Inc.","Skyworks Solutions, Inc.",463411800,America/New_York,EDT,-14400000,98.21,176.0,99.0,120.72,120.0,2.5,buy,25,736499968,4.621,1770899968,1712300032,1.791,3.825,4960500224,29.131,31.105,0.095319994,0.18621,2604300000,906875008,1727200000,-0.265,-0.131,0.46322,0.357,0.26378,USD,1.1248
9,5260 California Avenue,Irvine,CA,92617,United States,949 231 3000,https://www.skyworksinc.com,Semiconductors,Technology,"Skyworks Solutions, Inc., together with its subsidiaries, designs, develops, manufactures, and markets proprietary semiconductor products in the United States, China, South Korea, Taiwan, Europe, the Middle East, Africa, and the rest of Asia-Pacific. Its product portfolio includes amplifiers, antenna tuners, attenuators, automotive tuners and digital radios, clocks and timings, circulators/isolators, DC/DC converters, demodulators, detectors, diodes, wireless analog system on chip products, directional couplers, diversity receive modules, filters, front-end modules, hybrids, light emitting diode drivers, low noise amplifiers, mixers, modulators, optocouplers/optoisolators, phase locked loops, phase shifters, power dividers/combiners, receivers, switches, synthesizers, timing devices, technical ceramics, voltage controlled oscillators/synthesizers, and voltage regulators. The company provides its products for the usage in aerospace, automotive, broadband, cellular infrastructure, connected home, entertainment and gaming, industrial, medical, military, smartphone, tablet, and wearable markets. It sells its products through direct sales force, electronic component distributors, and independent sales representatives. Skyworks Solutions, Inc. was founded in 1962 and is based in Irvine, California.",11150,"{'maxAge': 1, 'name': 'Mr. Yusuf  Jamal', 'age': 45, 'title': 'Sr. VP & GM of Diversified Analog Solutions', 'yearBorn': 1977, 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,9,9,9,1693526400,1672444800,86400,2,99.24,98.88,97.87,99.75,99.24,98.88,97.87,99.75,2.72,0.0277,1693180800,0.3821,1.73,1.285615,15.132512,10.912222,2488803,2488803,1626204,2002300,2002300,96.8,98.12,900,900,15653985280,76.16,123.69,3.1557271,108.0274,106.3469,2.48,0.024989923,USD,16629744640,0.20969999,158799634,159392992,2792815,2638580,1690761600,1693440000,0.0175,0.0031299999,0.8337,1.81,0.0199,36.921,2.6600037,1664496000,1696032000,1688083200,-0.267,1040200000,6.49,9.0,0.79,2:1,956188800,3.352,9.391,NMS,EQUITY,SWKS,SWKS,"Skyworks Solutions, Inc.","Skyworks Solutions, Inc.",463411800,America/New_York,EDT,-14400000,98.21,176.0,99.0,120.72,120.0,2.5,buy,25,736499968,4.621,1770899968,1712300032,1.791,3.825,4960500224,29.131,31.105,0.095319994,0.18621,2604300000,906875008,1727200000,-0.265,-0.131,0.46322,0.357,0.26378,USD,1.1248
