,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,fiveYearAvgDividendYield,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,5850 Granite Parkway,Suite 730,Plano,TX,75024,United States,972 692 2400,https://bgsf.com,Staffing & Employment Services,Industrials,"BGSF, Inc., together with its subsidiaries, provides workforce solutions and placement services in the United States. It operates in two segments, Real Estate and Professional. The Real Estate segment offers office and maintenance field talent to various apartment communities and commercial buildings. The Professional segment provides skilled IT professionals with expertise in SAP, Workday, Peoplesoft, Hyperion, Oracle, One Stream, cyber, project management, and other IT workforce solutions, as well as finance, accounting, legal, human resource, and related support personnel. Its client partners include Fortune 500 companies, and medium and small companies, as well as consulting companies that engage in systems integration projects. The company was formerly known as BG Staffing, Inc. and changed its name to BGSF, Inc. in February 2021. BGSF, Inc. was incorporated in 2007 and is based in Plano, Texas.","{'maxAge': 1, 'name': 'Ms. Beth A. Garvey', 'age': 57, 'title': 'Pres, CEO & Chairwoman', 'yearBorn': 1965, 'fiscalYear': 2022, 'totalPay': 738021, 'exercisedValue': 0, 'unexercisedValue': 146060}",8,9,7,6,8,1693526400,1672444800,86400,2,9.7,9.735,9.6,9.88,9.7,9.735,9.6,9.88,0.6,0.0619,1692316800,5.32,1.780774,8.495576,103338,103338,16424,22080,22080,8.74,15.52,800,4000,104194568,8.85,16.02,0.33405674,9.8972,11.51505,0.6,0.061855674,USD,175480736,-0.02397,10012788,10853600,36511,27076,1690761600,1693440000,0.0034,0.043420002,0.42063,1.95,0.0034999999,7.786,1.2329824,1672531200,1704067200,1688256000,-0.18,-7791805,-0.72,1.13,-0.59,0.563,7.651,NYQ,EQUITY,BGSF,BGSF,"BGSF, Inc.","BGSF, Inc.",1398778200,America/New_York,EDT,-14400000,9.6,17.5,17.0,17.25,17.25,none,2,660000,0.061,22936208,71946000,2.304,2.421,311906816,85.256,29.518,0.06732,-0.08771,103547470,1303454,6483677,-0.198,0.091,0.35721,0.07354,0.054970004,USD,0.4388
1,5850 Granite Parkway,Suite 730,Plano,TX,75024,United States,972 692 2400,https://bgsf.com,Staffing & Employment Services,Industrials,"BGSF, Inc., together with its subsidiaries, provides workforce solutions and placement services in the United States. It operates in two segments, Real Estate and Professional. The Real Estate segment offers office and maintenance field talent to various apartment communities and commercial buildings. The Professional segment provides skilled IT professionals with expertise in SAP, Workday, Peoplesoft, Hyperion, Oracle, One Stream, cyber, project management, and other IT workforce solutions, as well as finance, accounting, legal, human resource, and related support personnel. Its client partners include Fortune 500 companies, and medium and small companies, as well as consulting companies that engage in systems integration projects. The company was formerly known as BG Staffing, Inc. and changed its name to BGSF, Inc. in February 2021. BGSF, Inc. was incorporated in 2007 and is based in Plano, Texas.","{'maxAge': 1, 'name': 'Mr. Dan  Hollenbach', 'age': 66, 'title': 'Sr. Advisor', 'yearBorn': 1956, 'fiscalYear': 2022, 'totalPay': 554800, 'exercisedValue': 0, 'unexercisedValue': 184120}",8,9,7,6,8,1693526400,1672444800,86400,2,9.7,9.735,9.6,9.88,9.7,9.735,9.6,9.88,0.6,0.0619,1692316800,5.32,1.780774,8.495576,103338,103338,16424,22080,22080,8.74,15.52,800,4000,104194568,8.85,16.02,0.33405674,9.8972,11.51505,0.6,0.061855674,USD,175480736,-0.02397,10012788,10853600,36511,27076,1690761600,1693440000,0.0034,0.043420002,0.42063,1.95,0.0034999999,7.786,1.2329824,1672531200,1704067200,1688256000,-0.18,-7791805,-0.72,1.13,-0.59,0.563,7.651,NYQ,EQUITY,BGSF,BGSF,"BGSF, Inc.","BGSF, Inc.",1398778200,America/New_York,EDT,-14400000,9.6,17.5,17.0,17.25,17.25,none,2,660000,0.061,22936208,71946000,2.304,2.421,311906816,85.256,29.518,0.06732,-0.08771,103547470,1303454,6483677,-0.198,0.091,0.35721,0.07354,0.054970004,USD,0.4388
2,5850 Granite Parkway,Suite 730,Plano,TX,75024,United States,972 692 2400,https://bgsf.com,Staffing & Employment Services,Industrials,"BGSF, Inc., together with its subsidiaries, provides workforce solutions and placement services in the United States. It operates in two segments, Real Estate and Professional. The Real Estate segment offers office and maintenance field talent to various apartment communities and commercial buildings. The Professional segment provides skilled IT professionals with expertise in SAP, Workday, Peoplesoft, Hyperion, Oracle, One Stream, cyber, project management, and other IT workforce solutions, as well as finance, accounting, legal, human resource, and related support personnel. Its client partners include Fortune 500 companies, and medium and small companies, as well as consulting companies that engage in systems integration projects. The company was formerly known as BG Staffing, Inc. and changed its name to BGSF, Inc. in February 2021. BGSF, Inc. was incorporated in 2007 and is based in Plano, Texas.","{'maxAge': 1, 'name': 'Mr. John Richard Barnett', 'age': 55, 'title': 'CFO & Sec.', 'yearBorn': 1967, 'exercisedValue': 0, 'unexercisedValue': 0}",8,9,7,6,8,1693526400,1672444800,86400,2,9.7,9.735,9.6,9.88,9.7,9.735,9.6,9.88,0.6,0.0619,1692316800,5.32,1.780774,8.495576,103338,103338,16424,22080,22080,8.74,15.52,800,4000,104194568,8.85,16.02,0.33405674,9.8972,11.51505,0.6,0.061855674,USD,175480736,-0.02397,10012788,10853600,36511,27076,1690761600,1693440000,0.0034,0.043420002,0.42063,1.95,0.0034999999,7.786,1.2329824,1672531200,1704067200,1688256000,-0.18,-7791805,-0.72,1.13,-0.59,0.563,7.651,NYQ,EQUITY,BGSF,BGSF,"BGSF, Inc.","BGSF, Inc.",1398778200,America/New_York,EDT,-14400000,9.6,17.5,17.0,17.25,17.25,none,2,660000,0.061,22936208,71946000,2.304,2.421,311906816,85.256,29.518,0.06732,-0.08771,103547470,1303454,6483677,-0.198,0.091,0.35721,0.07354,0.054970004,USD,0.4388
3,5850 Granite Parkway,Suite 730,Plano,TX,75024,United States,972 692 2400,https://bgsf.com,Staffing & Employment Services,Industrials,"BGSF, Inc., together with its subsidiaries, provides workforce solutions and placement services in the United States. It operates in two segments, Real Estate and Professional. The Real Estate segment offers office and maintenance field talent to various apartment communities and commercial buildings. The Professional segment provides skilled IT professionals with expertise in SAP, Workday, Peoplesoft, Hyperion, Oracle, One Stream, cyber, project management, and other IT workforce solutions, as well as finance, accounting, legal, human resource, and related support personnel. Its client partners include Fortune 500 companies, and medium and small companies, as well as consulting companies that engage in systems integration projects. The company was formerly known as BG Staffing, Inc. and changed its name to BGSF, Inc. in February 2021. BGSF, Inc. was incorporated in 2007 and is based in Plano, Texas.","{'maxAge': 1, 'name': 'Ms. Nycole  Rosen', 'title': 'Chief Information Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",8,9,7,6,8,1693526400,1672444800,86400,2,9.7,9.735,9.6,9.88,9.7,9.735,9.6,9.88,0.6,0.0619,1692316800,5.32,1.780774,8.495576,103338,103338,16424,22080,22080,8.74,15.52,800,4000,104194568,8.85,16.02,0.33405674,9.8972,11.51505,0.6,0.061855674,USD,175480736,-0.02397,10012788,10853600,36511,27076,1690761600,1693440000,0.0034,0.043420002,0.42063,1.95,0.0034999999,7.786,1.2329824,1672531200,1704067200,1688256000,-0.18,-7791805,-0.72,1.13,-0.59,0.563,7.651,NYQ,EQUITY,BGSF,BGSF,"BGSF, Inc.","BGSF, Inc.",1398778200,America/New_York,EDT,-14400000,9.6,17.5,17.0,17.25,17.25,none,2,660000,0.061,22936208,71946000,2.304,2.421,311906816,85.256,29.518,0.06732,-0.08771,103547470,1303454,6483677,-0.198,0.091,0.35721,0.07354,0.054970004,USD,0.4388
4,5850 Granite Parkway,Suite 730,Plano,TX,75024,United States,972 692 2400,https://bgsf.com,Staffing & Employment Services,Industrials,"BGSF, Inc., together with its subsidiaries, provides workforce solutions and placement services in the United States. It operates in two segments, Real Estate and Professional. The Real Estate segment offers office and maintenance field talent to various apartment communities and commercial buildings. The Professional segment provides skilled IT professionals with expertise in SAP, Workday, Peoplesoft, Hyperion, Oracle, One Stream, cyber, project management, and other IT workforce solutions, as well as finance, accounting, legal, human resource, and related support personnel. Its client partners include Fortune 500 companies, and medium and small companies, as well as consulting companies that engage in systems integration projects. The company was formerly known as BG Staffing, Inc. and changed its name to BGSF, Inc. in February 2021. BGSF, Inc. was incorporated in 2007 and is based in Plano, Texas.","{'maxAge': 1, 'name': 'Ms. Emily  Burroughs', 'title': 'VP of Marketing', 'exercisedValue': 0, 'unexercisedValue': 0}",8,9,7,6,8,1693526400,1672444800,86400,2,9.7,9.735,9.6,9.88,9.7,9.735,9.6,9.88,0.6,0.0619,1692316800,5.32,1.780774,8.495576,103338,103338,16424,22080,22080,8.74,15.52,800,4000,104194568,8.85,16.02,0.33405674,9.8972,11.51505,0.6,0.061855674,USD,175480736,-0.02397,10012788,10853600,36511,27076,1690761600,1693440000,0.0034,0.043420002,0.42063,1.95,0.0034999999,7.786,1.2329824,1672531200,1704067200,1688256000,-0.18,-7791805,-0.72,1.13,-0.59,0.563,7.651,NYQ,EQUITY,BGSF,BGSF,"BGSF, Inc.","BGSF, Inc.",1398778200,America/New_York,EDT,-14400000,9.6,17.5,17.0,17.25,17.25,none,2,660000,0.061,22936208,71946000,2.304,2.421,311906816,85.256,29.518,0.06732,-0.08771,103547470,1303454,6483677,-0.198,0.091,0.35721,0.07354,0.054970004,USD,0.4388
5,5850 Granite Parkway,Suite 730,Plano,TX,75024,United States,972 692 2400,https://bgsf.com,Staffing & Employment Services,Industrials,"BGSF, Inc., together with its subsidiaries, provides workforce solutions and placement services in the United States. It operates in two segments, Real Estate and Professional. The Real Estate segment offers office and maintenance field talent to various apartment communities and commercial buildings. The Professional segment provides skilled IT professionals with expertise in SAP, Workday, Peoplesoft, Hyperion, Oracle, One Stream, cyber, project management, and other IT workforce solutions, as well as finance, accounting, legal, human resource, and related support personnel. Its client partners include Fortune 500 companies, and medium and small companies, as well as consulting companies that engage in systems integration projects. The company was formerly known as BG Staffing, Inc. and changed its name to BGSF, Inc. in February 2021. BGSF, Inc. was incorporated in 2007 and is based in Plano, Texas.","{'maxAge': 1, 'name': 'Ms. Janel  Hunt', 'title': 'Exec. VP of HR', 'exercisedValue': 0, 'unexercisedValue': 0}",8,9,7,6,8,1693526400,1672444800,86400,2,9.7,9.735,9.6,9.88,9.7,9.735,9.6,9.88,0.6,0.0619,1692316800,5.32,1.780774,8.495576,103338,103338,16424,22080,22080,8.74,15.52,800,4000,104194568,8.85,16.02,0.33405674,9.8972,11.51505,0.6,0.061855674,USD,175480736,-0.02397,10012788,10853600,36511,27076,1690761600,1693440000,0.0034,0.043420002,0.42063,1.95,0.0034999999,7.786,1.2329824,1672531200,1704067200,1688256000,-0.18,-7791805,-0.72,1.13,-0.59,0.563,7.651,NYQ,EQUITY,BGSF,BGSF,"BGSF, Inc.","BGSF, Inc.",1398778200,America/New_York,EDT,-14400000,9.6,17.5,17.0,17.25,17.25,none,2,660000,0.061,22936208,71946000,2.304,2.421,311906816,85.256,29.518,0.06732,-0.08771,103547470,1303454,6483677,-0.198,0.091,0.35721,0.07354,0.054970004,USD,0.4388
6,5850 Granite Parkway,Suite 730,Plano,TX,75024,United States,972 692 2400,https://bgsf.com,Staffing & Employment Services,Industrials,"BGSF, Inc., together with its subsidiaries, provides workforce solutions and placement services in the United States. It operates in two segments, Real Estate and Professional. The Real Estate segment offers office and maintenance field talent to various apartment communities and commercial buildings. The Professional segment provides skilled IT professionals with expertise in SAP, Workday, Peoplesoft, Hyperion, Oracle, One Stream, cyber, project management, and other IT workforce solutions, as well as finance, accounting, legal, human resource, and related support personnel. Its client partners include Fortune 500 companies, and medium and small companies, as well as consulting companies that engage in systems integration projects. The company was formerly known as BG Staffing, Inc. and changed its name to BGSF, Inc. in February 2021. BGSF, Inc. was incorporated in 2007 and is based in Plano, Texas.","{'maxAge': 1, 'name': 'Mr. Christopher  Loope', 'title': 'Chief Strategy Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",8,9,7,6,8,1693526400,1672444800,86400,2,9.7,9.735,9.6,9.88,9.7,9.735,9.6,9.88,0.6,0.0619,1692316800,5.32,1.780774,8.495576,103338,103338,16424,22080,22080,8.74,15.52,800,4000,104194568,8.85,16.02,0.33405674,9.8972,11.51505,0.6,0.061855674,USD,175480736,-0.02397,10012788,10853600,36511,27076,1690761600,1693440000,0.0034,0.043420002,0.42063,1.95,0.0034999999,7.786,1.2329824,1672531200,1704067200,1688256000,-0.18,-7791805,-0.72,1.13,-0.59,0.563,7.651,NYQ,EQUITY,BGSF,BGSF,"BGSF, Inc.","BGSF, Inc.",1398778200,America/New_York,EDT,-14400000,9.6,17.5,17.0,17.25,17.25,none,2,660000,0.061,22936208,71946000,2.304,2.421,311906816,85.256,29.518,0.06732,-0.08771,103547470,1303454,6483677,-0.198,0.091,0.35721,0.07354,0.054970004,USD,0.4388
7,5850 Granite Parkway,Suite 730,Plano,TX,75024,United States,972 692 2400,https://bgsf.com,Staffing & Employment Services,Industrials,"BGSF, Inc., together with its subsidiaries, provides workforce solutions and placement services in the United States. It operates in two segments, Real Estate and Professional. The Real Estate segment offers office and maintenance field talent to various apartment communities and commercial buildings. The Professional segment provides skilled IT professionals with expertise in SAP, Workday, Peoplesoft, Hyperion, Oracle, One Stream, cyber, project management, and other IT workforce solutions, as well as finance, accounting, legal, human resource, and related support personnel. Its client partners include Fortune 500 companies, and medium and small companies, as well as consulting companies that engage in systems integration projects. The company was formerly known as BG Staffing, Inc. and changed its name to BGSF, Inc. in February 2021. BGSF, Inc. was incorporated in 2007 and is based in Plano, Texas.","{'maxAge': 1, 'name': 'Ms. Kelly  Brown', 'title': 'Pres of Property Management', 'exercisedValue': 0, 'unexercisedValue': 0}",8,9,7,6,8,1693526400,1672444800,86400,2,9.7,9.735,9.6,9.88,9.7,9.735,9.6,9.88,0.6,0.0619,1692316800,5.32,1.780774,8.495576,103338,103338,16424,22080,22080,8.74,15.52,800,4000,104194568,8.85,16.02,0.33405674,9.8972,11.51505,0.6,0.061855674,USD,175480736,-0.02397,10012788,10853600,36511,27076,1690761600,1693440000,0.0034,0.043420002,0.42063,1.95,0.0034999999,7.786,1.2329824,1672531200,1704067200,1688256000,-0.18,-7791805,-0.72,1.13,-0.59,0.563,7.651,NYQ,EQUITY,BGSF,BGSF,"BGSF, Inc.","BGSF, Inc.",1398778200,America/New_York,EDT,-14400000,9.6,17.5,17.0,17.25,17.25,none,2,660000,0.061,22936208,71946000,2.304,2.421,311906816,85.256,29.518,0.06732,-0.08771,103547470,1303454,6483677,-0.198,0.091,0.35721,0.07354,0.054970004,USD,0.4388
8,5850 Granite Parkway,Suite 730,Plano,TX,75024,United States,972 692 2400,https://bgsf.com,Staffing & Employment Services,Industrials,"BGSF, Inc., together with its subsidiaries, provides workforce solutions and placement services in the United States. It operates in two segments, Real Estate and Professional. The Real Estate segment offers office and maintenance field talent to various apartment communities and commercial buildings. The Professional segment provides skilled IT professionals with expertise in SAP, Workday, Peoplesoft, Hyperion, Oracle, One Stream, cyber, project management, and other IT workforce solutions, as well as finance, accounting, legal, human resource, and related support personnel. Its client partners include Fortune 500 companies, and medium and small companies, as well as consulting companies that engage in systems integration projects. The company was formerly known as BG Staffing, Inc. and changed its name to BGSF, Inc. in February 2021. BGSF, Inc. was incorporated in 2007 and is based in Plano, Texas.","{'maxAge': 1, 'name': 'Mr. Stuart  Sides', 'title': 'Sr. VP of Strategic Customers', 'exercisedValue': 0, 'unexercisedValue': 0}",8,9,7,6,8,1693526400,1672444800,86400,2,9.7,9.735,9.6,9.88,9.7,9.735,9.6,9.88,0.6,0.0619,1692316800,5.32,1.780774,8.495576,103338,103338,16424,22080,22080,8.74,15.52,800,4000,104194568,8.85,16.02,0.33405674,9.8972,11.51505,0.6,0.061855674,USD,175480736,-0.02397,10012788,10853600,36511,27076,1690761600,1693440000,0.0034,0.043420002,0.42063,1.95,0.0034999999,7.786,1.2329824,1672531200,1704067200,1688256000,-0.18,-7791805,-0.72,1.13,-0.59,0.563,7.651,NYQ,EQUITY,BGSF,BGSF,"BGSF, Inc.","BGSF, Inc.",1398778200,America/New_York,EDT,-14400000,9.6,17.5,17.0,17.25,17.25,none,2,660000,0.061,22936208,71946000,2.304,2.421,311906816,85.256,29.518,0.06732,-0.08771,103547470,1303454,6483677,-0.198,0.091,0.35721,0.07354,0.054970004,USD,0.4388
9,5850 Granite Parkway,Suite 730,Plano,TX,75024,United States,972 692 2400,https://bgsf.com,Staffing & Employment Services,Industrials,"BGSF, Inc., together with its subsidiaries, provides workforce solutions and placement services in the United States. It operates in two segments, Real Estate and Professional. The Real Estate segment offers office and maintenance field talent to various apartment communities and commercial buildings. The Professional segment provides skilled IT professionals with expertise in SAP, Workday, Peoplesoft, Hyperion, Oracle, One Stream, cyber, project management, and other IT workforce solutions, as well as finance, accounting, legal, human resource, and related support personnel. Its client partners include Fortune 500 companies, and medium and small companies, as well as consulting companies that engage in systems integration projects. The company was formerly known as BG Staffing, Inc. and changed its name to BGSF, Inc. in February 2021. BGSF, Inc. was incorporated in 2007 and is based in Plano, Texas.","{'maxAge': 1, 'name': 'Ms. Melissa  Phillips', 'title': 'Chief Digital Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",8,9,7,6,8,1693526400,1672444800,86400,2,9.7,9.735,9.6,9.88,9.7,9.735,9.6,9.88,0.6,0.0619,1692316800,5.32,1.780774,8.495576,103338,103338,16424,22080,22080,8.74,15.52,800,4000,104194568,8.85,16.02,0.33405674,9.8972,11.51505,0.6,0.061855674,USD,175480736,-0.02397,10012788,10853600,36511,27076,1690761600,1693440000,0.0034,0.043420002,0.42063,1.95,0.0034999999,7.786,1.2329824,1672531200,1704067200,1688256000,-0.18,-7791805,-0.72,1.13,-0.59,0.563,7.651,NYQ,EQUITY,BGSF,BGSF,"BGSF, Inc.","BGSF, Inc.",1398778200,America/New_York,EDT,-14400000,9.6,17.5,17.0,17.25,17.25,none,2,660000,0.061,22936208,71946000,2.304,2.421,311906816,85.256,29.518,0.06732,-0.08771,103547470,1303454,6483677,-0.198,0.091,0.35721,0.07354,0.054970004,USD,0.4388
