,address1,address2,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Windsor Place,3rd Floor 22 Queen Street,Hamilton,HM JX,Bermuda,441 292 3645,https://www.enstargroup.com,Insurance—Diversified,Financial Services,"Enstar Group Limited acquires and manages insurance and reinsurance companies, and portfolios of insurance and reinsurance business in run-off. It engages in the run-off property and casualty, and other non-life lines insurance businesses. The company also provides consulting services, including claims inspection, claims validation, reinsurance asset collection, syndicate management, and IT consulting services to the insurance and reinsurance industry. It operates in Bermuda, the United States, the United Kingdom, Australia, and other Continental European countries. The company was formerly known as Castlewood Holdings Limited and changed its name to Enstar Group Limited in January 2007. Enstar Group Limited was founded in 1993 and is headquartered in Hamilton, Bermuda.",792,"{'maxAge': 1, 'name': 'Mr. Dominic F. Silvester', 'age': 61, 'title': 'Co-Founder, CEO & Director', 'yearBorn': 1961, 'fiscalYear': 2022, 'totalPay': 5527773, 'exercisedValue': 0, 'unexercisedValue': 0}",4,6,10,1,7,1693526400,1672444800,86400,2,253.0,253.02,249.48,253.02,253.0,253.02,249.48,253.02,1170201600,0.0,0.609266,17.069672,6.2475,75748,75748,34953,39220,39220,101.23,254.0,900,1400,4006246656,169.04,271.39,14.410959,252.686,242.33835,0.0,0.0,USD,2501897216,0.99281,12825303,16031400,87863,81619,1690761600,1693440000,0.0055,0.11771,0.79324996,3.06,0.0058999998,312.052,0.80082804,1672444800,1703980800,1688083200,240000000,14.64,40.0,0.66,9.0,9.266,NMS,EQUITY,ESGR,ESGR,Enstar Group Limited,Enstar Group Limited,859905000,America/New_York,EDT,-14400000,249.9,none,3470000128,224.366,270000000,1830000000,34.387,48.689,278000000,35.868,16.732,0.0069,0.06436,-478000000,344875008,811000000,2.10791,0.97122,0.89568,USD,
1,Windsor Place,3rd Floor 22 Queen Street,Hamilton,HM JX,Bermuda,441 292 3645,https://www.enstargroup.com,Insurance—Diversified,Financial Services,"Enstar Group Limited acquires and manages insurance and reinsurance companies, and portfolios of insurance and reinsurance business in run-off. It engages in the run-off property and casualty, and other non-life lines insurance businesses. The company also provides consulting services, including claims inspection, claims validation, reinsurance asset collection, syndicate management, and IT consulting services to the insurance and reinsurance industry. It operates in Bermuda, the United States, the United Kingdom, Australia, and other Continental European countries. The company was formerly known as Castlewood Holdings Limited and changed its name to Enstar Group Limited in January 2007. Enstar Group Limited was founded in 1993 and is headquartered in Hamilton, Bermuda.",792,"{'maxAge': 1, 'name': 'Ms. Orla M. Gregory', 'age': 48, 'title': 'Pres & Director', 'yearBorn': 1974, 'fiscalYear': 2022, 'totalPay': 2479661, 'exercisedValue': 0, 'unexercisedValue': 1665800}",4,6,10,1,7,1693526400,1672444800,86400,2,253.0,253.02,249.48,253.02,253.0,253.02,249.48,253.02,1170201600,0.0,0.609266,17.069672,6.2475,75748,75748,34953,39220,39220,101.23,254.0,900,1400,4006246656,169.04,271.39,14.410959,252.686,242.33835,0.0,0.0,USD,2501897216,0.99281,12825303,16031400,87863,81619,1690761600,1693440000,0.0055,0.11771,0.79324996,3.06,0.0058999998,312.052,0.80082804,1672444800,1703980800,1688083200,240000000,14.64,40.0,0.66,9.0,9.266,NMS,EQUITY,ESGR,ESGR,Enstar Group Limited,Enstar Group Limited,859905000,America/New_York,EDT,-14400000,249.9,none,3470000128,224.366,270000000,1830000000,34.387,48.689,278000000,35.868,16.732,0.0069,0.06436,-478000000,344875008,811000000,2.10791,0.97122,0.89568,USD,
2,Windsor Place,3rd Floor 22 Queen Street,Hamilton,HM JX,Bermuda,441 292 3645,https://www.enstargroup.com,Insurance—Diversified,Financial Services,"Enstar Group Limited acquires and manages insurance and reinsurance companies, and portfolios of insurance and reinsurance business in run-off. It engages in the run-off property and casualty, and other non-life lines insurance businesses. The company also provides consulting services, including claims inspection, claims validation, reinsurance asset collection, syndicate management, and IT consulting services to the insurance and reinsurance industry. It operates in Bermuda, the United States, the United Kingdom, Australia, and other Continental European countries. The company was formerly known as Castlewood Holdings Limited and changed its name to Enstar Group Limited in January 2007. Enstar Group Limited was founded in 1993 and is headquartered in Hamilton, Bermuda.",792,"{'maxAge': 1, 'name': ""Mr. Paul James O'Shea"", 'age': 64, 'title': 'Co-Founder & Director', 'yearBorn': 1958, 'fiscalYear': 2022, 'totalPay': 3117649, 'exercisedValue': 0, 'unexercisedValue': 0}",4,6,10,1,7,1693526400,1672444800,86400,2,253.0,253.02,249.48,253.02,253.0,253.02,249.48,253.02,1170201600,0.0,0.609266,17.069672,6.2475,75748,75748,34953,39220,39220,101.23,254.0,900,1400,4006246656,169.04,271.39,14.410959,252.686,242.33835,0.0,0.0,USD,2501897216,0.99281,12825303,16031400,87863,81619,1690761600,1693440000,0.0055,0.11771,0.79324996,3.06,0.0058999998,312.052,0.80082804,1672444800,1703980800,1688083200,240000000,14.64,40.0,0.66,9.0,9.266,NMS,EQUITY,ESGR,ESGR,Enstar Group Limited,Enstar Group Limited,859905000,America/New_York,EDT,-14400000,249.9,none,3470000128,224.366,270000000,1830000000,34.387,48.689,278000000,35.868,16.732,0.0069,0.06436,-478000000,344875008,811000000,2.10791,0.97122,0.89568,USD,
3,Windsor Place,3rd Floor 22 Queen Street,Hamilton,HM JX,Bermuda,441 292 3645,https://www.enstargroup.com,Insurance—Diversified,Financial Services,"Enstar Group Limited acquires and manages insurance and reinsurance companies, and portfolios of insurance and reinsurance business in run-off. It engages in the run-off property and casualty, and other non-life lines insurance businesses. The company also provides consulting services, including claims inspection, claims validation, reinsurance asset collection, syndicate management, and IT consulting services to the insurance and reinsurance industry. It operates in Bermuda, the United States, the United Kingdom, Australia, and other Continental European countries. The company was formerly known as Castlewood Holdings Limited and changed its name to Enstar Group Limited in January 2007. Enstar Group Limited was founded in 1993 and is headquartered in Hamilton, Bermuda.",792,"{'maxAge': 1, 'name': 'Mr. Paul Michael James Brockman', 'age': 48, 'title': 'COO & Chief Claims Officer', 'yearBorn': 1974, 'fiscalYear': 2022, 'totalPay': 1472651, 'exercisedValue': 0, 'unexercisedValue': 0}",4,6,10,1,7,1693526400,1672444800,86400,2,253.0,253.02,249.48,253.02,253.0,253.02,249.48,253.02,1170201600,0.0,0.609266,17.069672,6.2475,75748,75748,34953,39220,39220,101.23,254.0,900,1400,4006246656,169.04,271.39,14.410959,252.686,242.33835,0.0,0.0,USD,2501897216,0.99281,12825303,16031400,87863,81619,1690761600,1693440000,0.0055,0.11771,0.79324996,3.06,0.0058999998,312.052,0.80082804,1672444800,1703980800,1688083200,240000000,14.64,40.0,0.66,9.0,9.266,NMS,EQUITY,ESGR,ESGR,Enstar Group Limited,Enstar Group Limited,859905000,America/New_York,EDT,-14400000,249.9,none,3470000128,224.366,270000000,1830000000,34.387,48.689,278000000,35.868,16.732,0.0069,0.06436,-478000000,344875008,811000000,2.10791,0.97122,0.89568,USD,
4,Windsor Place,3rd Floor 22 Queen Street,Hamilton,HM JX,Bermuda,441 292 3645,https://www.enstargroup.com,Insurance—Diversified,Financial Services,"Enstar Group Limited acquires and manages insurance and reinsurance companies, and portfolios of insurance and reinsurance business in run-off. It engages in the run-off property and casualty, and other non-life lines insurance businesses. The company also provides consulting services, including claims inspection, claims validation, reinsurance asset collection, syndicate management, and IT consulting services to the insurance and reinsurance industry. It operates in Bermuda, the United States, the United Kingdom, Australia, and other Continental European countries. The company was formerly known as Castlewood Holdings Limited and changed its name to Enstar Group Limited in January 2007. Enstar Group Limited was founded in 1993 and is headquartered in Hamilton, Bermuda.",792,"{'maxAge': 1, 'name': 'Mr. David  Ni', 'title': 'Chief Strategy Officer', 'fiscalYear': 2022, 'totalPay': 2099156, 'exercisedValue': 0, 'unexercisedValue': 0}",4,6,10,1,7,1693526400,1672444800,86400,2,253.0,253.02,249.48,253.02,253.0,253.02,249.48,253.02,1170201600,0.0,0.609266,17.069672,6.2475,75748,75748,34953,39220,39220,101.23,254.0,900,1400,4006246656,169.04,271.39,14.410959,252.686,242.33835,0.0,0.0,USD,2501897216,0.99281,12825303,16031400,87863,81619,1690761600,1693440000,0.0055,0.11771,0.79324996,3.06,0.0058999998,312.052,0.80082804,1672444800,1703980800,1688083200,240000000,14.64,40.0,0.66,9.0,9.266,NMS,EQUITY,ESGR,ESGR,Enstar Group Limited,Enstar Group Limited,859905000,America/New_York,EDT,-14400000,249.9,none,3470000128,224.366,270000000,1830000000,34.387,48.689,278000000,35.868,16.732,0.0069,0.06436,-478000000,344875008,811000000,2.10791,0.97122,0.89568,USD,
5,Windsor Place,3rd Floor 22 Queen Street,Hamilton,HM JX,Bermuda,441 292 3645,https://www.enstargroup.com,Insurance—Diversified,Financial Services,"Enstar Group Limited acquires and manages insurance and reinsurance companies, and portfolios of insurance and reinsurance business in run-off. It engages in the run-off property and casualty, and other non-life lines insurance businesses. The company also provides consulting services, including claims inspection, claims validation, reinsurance asset collection, syndicate management, and IT consulting services to the insurance and reinsurance industry. It operates in Bermuda, the United States, the United Kingdom, Australia, and other Continental European countries. The company was formerly known as Castlewood Holdings Limited and changed its name to Enstar Group Limited in January 2007. Enstar Group Limited was founded in 1993 and is headquartered in Hamilton, Bermuda.",792,"{'maxAge': 1, 'name': 'Mr. Matthew  Kirk', 'age': 48, 'title': 'Chief Financial Officer', 'yearBorn': 1974, 'exercisedValue': 0, 'unexercisedValue': 0}",4,6,10,1,7,1693526400,1672444800,86400,2,253.0,253.02,249.48,253.02,253.0,253.02,249.48,253.02,1170201600,0.0,0.609266,17.069672,6.2475,75748,75748,34953,39220,39220,101.23,254.0,900,1400,4006246656,169.04,271.39,14.410959,252.686,242.33835,0.0,0.0,USD,2501897216,0.99281,12825303,16031400,87863,81619,1690761600,1693440000,0.0055,0.11771,0.79324996,3.06,0.0058999998,312.052,0.80082804,1672444800,1703980800,1688083200,240000000,14.64,40.0,0.66,9.0,9.266,NMS,EQUITY,ESGR,ESGR,Enstar Group Limited,Enstar Group Limited,859905000,America/New_York,EDT,-14400000,249.9,none,3470000128,224.366,270000000,1830000000,34.387,48.689,278000000,35.868,16.732,0.0069,0.06436,-478000000,344875008,811000000,2.10791,0.97122,0.89568,USD,
6,Windsor Place,3rd Floor 22 Queen Street,Hamilton,HM JX,Bermuda,441 292 3645,https://www.enstargroup.com,Insurance—Diversified,Financial Services,"Enstar Group Limited acquires and manages insurance and reinsurance companies, and portfolios of insurance and reinsurance business in run-off. It engages in the run-off property and casualty, and other non-life lines insurance businesses. The company also provides consulting services, including claims inspection, claims validation, reinsurance asset collection, syndicate management, and IT consulting services to the insurance and reinsurance industry. It operates in Bermuda, the United States, the United Kingdom, Australia, and other Continental European countries. The company was formerly known as Castlewood Holdings Limited and changed its name to Enstar Group Limited in January 2007. Enstar Group Limited was founded in 1993 and is headquartered in Hamilton, Bermuda.",792,"{'maxAge': 1, 'name': 'Mr. Nazar  Alobaidat', 'age': 43, 'title': 'Chief Investment Officer', 'yearBorn': 1979, 'fiscalYear': 2021, 'exercisedValue': 0, 'unexercisedValue': 0}",4,6,10,1,7,1693526400,1672444800,86400,2,253.0,253.02,249.48,253.02,253.0,253.02,249.48,253.02,1170201600,0.0,0.609266,17.069672,6.2475,75748,75748,34953,39220,39220,101.23,254.0,900,1400,4006246656,169.04,271.39,14.410959,252.686,242.33835,0.0,0.0,USD,2501897216,0.99281,12825303,16031400,87863,81619,1690761600,1693440000,0.0055,0.11771,0.79324996,3.06,0.0058999998,312.052,0.80082804,1672444800,1703980800,1688083200,240000000,14.64,40.0,0.66,9.0,9.266,NMS,EQUITY,ESGR,ESGR,Enstar Group Limited,Enstar Group Limited,859905000,America/New_York,EDT,-14400000,249.9,none,3470000128,224.366,270000000,1830000000,34.387,48.689,278000000,35.868,16.732,0.0069,0.06436,-478000000,344875008,811000000,2.10791,0.97122,0.89568,USD,
7,Windsor Place,3rd Floor 22 Queen Street,Hamilton,HM JX,Bermuda,441 292 3645,https://www.enstargroup.com,Insurance—Diversified,Financial Services,"Enstar Group Limited acquires and manages insurance and reinsurance companies, and portfolios of insurance and reinsurance business in run-off. It engages in the run-off property and casualty, and other non-life lines insurance businesses. The company also provides consulting services, including claims inspection, claims validation, reinsurance asset collection, syndicate management, and IT consulting services to the insurance and reinsurance industry. It operates in Bermuda, the United States, the United Kingdom, Australia, and other Continental European countries. The company was formerly known as Castlewood Holdings Limited and changed its name to Enstar Group Limited in January 2007. Enstar Group Limited was founded in 1993 and is headquartered in Hamilton, Bermuda.",792,"{'maxAge': 1, 'name': 'Mr. Girish  Ramanathan', 'age': 51, 'title': 'Principal Accounting Officer', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",4,6,10,1,7,1693526400,1672444800,86400,2,253.0,253.02,249.48,253.02,253.0,253.02,249.48,253.02,1170201600,0.0,0.609266,17.069672,6.2475,75748,75748,34953,39220,39220,101.23,254.0,900,1400,4006246656,169.04,271.39,14.410959,252.686,242.33835,0.0,0.0,USD,2501897216,0.99281,12825303,16031400,87863,81619,1690761600,1693440000,0.0055,0.11771,0.79324996,3.06,0.0058999998,312.052,0.80082804,1672444800,1703980800,1688083200,240000000,14.64,40.0,0.66,9.0,9.266,NMS,EQUITY,ESGR,ESGR,Enstar Group Limited,Enstar Group Limited,859905000,America/New_York,EDT,-14400000,249.9,none,3470000128,224.366,270000000,1830000000,34.387,48.689,278000000,35.868,16.732,0.0069,0.06436,-478000000,344875008,811000000,2.10791,0.97122,0.89568,USD,
8,Windsor Place,3rd Floor 22 Queen Street,Hamilton,HM JX,Bermuda,441 292 3645,https://www.enstargroup.com,Insurance—Diversified,Financial Services,"Enstar Group Limited acquires and manages insurance and reinsurance companies, and portfolios of insurance and reinsurance business in run-off. It engages in the run-off property and casualty, and other non-life lines insurance businesses. The company also provides consulting services, including claims inspection, claims validation, reinsurance asset collection, syndicate management, and IT consulting services to the insurance and reinsurance industry. It operates in Bermuda, the United States, the United Kingdom, Australia, and other Continental European countries. The company was formerly known as Castlewood Holdings Limited and changed its name to Enstar Group Limited in January 2007. Enstar Group Limited was founded in 1993 and is headquartered in Hamilton, Bermuda.",792,"{'maxAge': 1, 'name': 'Ms. Audrey Bowen Taranto', 'title': 'Group Gen. Counsel & Corp. Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",4,6,10,1,7,1693526400,1672444800,86400,2,253.0,253.02,249.48,253.02,253.0,253.02,249.48,253.02,1170201600,0.0,0.609266,17.069672,6.2475,75748,75748,34953,39220,39220,101.23,254.0,900,1400,4006246656,169.04,271.39,14.410959,252.686,242.33835,0.0,0.0,USD,2501897216,0.99281,12825303,16031400,87863,81619,1690761600,1693440000,0.0055,0.11771,0.79324996,3.06,0.0058999998,312.052,0.80082804,1672444800,1703980800,1688083200,240000000,14.64,40.0,0.66,9.0,9.266,NMS,EQUITY,ESGR,ESGR,Enstar Group Limited,Enstar Group Limited,859905000,America/New_York,EDT,-14400000,249.9,none,3470000128,224.366,270000000,1830000000,34.387,48.689,278000000,35.868,16.732,0.0069,0.06436,-478000000,344875008,811000000,2.10791,0.97122,0.89568,USD,
9,Windsor Place,3rd Floor 22 Queen Street,Hamilton,HM JX,Bermuda,441 292 3645,https://www.enstargroup.com,Insurance—Diversified,Financial Services,"Enstar Group Limited acquires and manages insurance and reinsurance companies, and portfolios of insurance and reinsurance business in run-off. It engages in the run-off property and casualty, and other non-life lines insurance businesses. The company also provides consulting services, including claims inspection, claims validation, reinsurance asset collection, syndicate management, and IT consulting services to the insurance and reinsurance industry. It operates in Bermuda, the United States, the United Kingdom, Australia, and other Continental European countries. The company was formerly known as Castlewood Holdings Limited and changed its name to Enstar Group Limited in January 2007. Enstar Group Limited was founded in 1993 and is headquartered in Hamilton, Bermuda.",792,"{'maxAge': 1, 'name': 'Ms. Sarah  Ruberry', 'title': 'Group Chief Compliance Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",4,6,10,1,7,1693526400,1672444800,86400,2,253.0,253.02,249.48,253.02,253.0,253.02,249.48,253.02,1170201600,0.0,0.609266,17.069672,6.2475,75748,75748,34953,39220,39220,101.23,254.0,900,1400,4006246656,169.04,271.39,14.410959,252.686,242.33835,0.0,0.0,USD,2501897216,0.99281,12825303,16031400,87863,81619,1690761600,1693440000,0.0055,0.11771,0.79324996,3.06,0.0058999998,312.052,0.80082804,1672444800,1703980800,1688083200,240000000,14.64,40.0,0.66,9.0,9.266,NMS,EQUITY,ESGR,ESGR,Enstar Group Limited,Enstar Group Limited,859905000,America/New_York,EDT,-14400000,249.9,none,3470000128,224.366,270000000,1830000000,34.387,48.689,278000000,35.868,16.732,0.0069,0.06436,-478000000,344875008,811000000,2.10791,0.97122,0.89568,USD,
