,address1,address2,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationMean,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,980 Great West Road,Middlesex,Brentford,TW8 9GS,United Kingdom,44 20 8047 5000,https://www.gsk.com,Drug Manufacturers—General,Healthcare,"GSK plc, together with its subsidiaries, engages in the research, development and manufacture of vaccines and specialty medicines to prevent and treat disease in the United Kingdom, the United States, and internationally. It operates through four segments: Pharmaceuticals, Pharmaceuticals R&D, Vaccines, and Consumer Healthcare. The company offers pharmaceutical products comprising medicines in the therapeutic areas, such as infectious disease, HIV, immunology and respiratory, and oncology. The company was formerly known as GlaxoSmithKline plc and changed its name to GSK plc in May 2022. GSK plc was founded in 1715 and is based in Brentford, the United Kingdom.",69400,"{'maxAge': 1, 'name': 'Ms. Emma Natasha Walmsley', 'age': 52, 'title': 'CEO & Director', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 5978244, 'exercisedValue': 1453527, 'unexercisedValue': 0}",10,8,10,1,10,1693526400,1672444800,86400,2,17.82,18.5,18.5,18.5,17.82,18.5,18.5,18.5,0.7,0.0392,1692230400,0.4557,5.2,0.302927,11.70886,9.736842,1571,1571,2435,2140,2140,0.0,0.0,0,0,77725532160,13.48,19.6,2.649674,17.47,17.6084,0.555,0.031144783,USD,86662463488,0.52601004,3922128630,4095020032,0.01742,0.45,3.131,5.908655,1672444800,1703980800,1688083200,0.938,5373000192,1.58,1.9,8719.22,2.954,8.777,PNK,EQUITY,GLAXF,GLAXF,GSK PLC,GSK plc,1262701800,America/New_York,EDT,-14400000,18.5,3.0,hold,6504000000,1.605,9873999872,21474000896,0.615,0.875,29333999616,176.61,7.262,0.06708,0.33219,19917000000,21123500032,4585999872,0.923,0.036,0.71436,0.3366,0.2717,GBP,0.988
1,980 Great West Road,Middlesex,Brentford,TW8 9GS,United Kingdom,44 20 8047 5000,https://www.gsk.com,Drug Manufacturers—General,Healthcare,"GSK plc, together with its subsidiaries, engages in the research, development and manufacture of vaccines and specialty medicines to prevent and treat disease in the United Kingdom, the United States, and internationally. It operates through four segments: Pharmaceuticals, Pharmaceuticals R&D, Vaccines, and Consumer Healthcare. The company offers pharmaceutical products comprising medicines in the therapeutic areas, such as infectious disease, HIV, immunology and respiratory, and oncology. The company was formerly known as GlaxoSmithKline plc and changed its name to GSK plc in May 2022. GSK plc was founded in 1715 and is based in Brentford, the United Kingdom.",69400,"{'maxAge': 1, 'name': 'Ms. Julie Belita Brown', 'age': 60, 'title': 'CFO & Exec. Director', 'yearBorn': 1962, 'exercisedValue': 0, 'unexercisedValue': 0}",10,8,10,1,10,1693526400,1672444800,86400,2,17.82,18.5,18.5,18.5,17.82,18.5,18.5,18.5,0.7,0.0392,1692230400,0.4557,5.2,0.302927,11.70886,9.736842,1571,1571,2435,2140,2140,0.0,0.0,0,0,77725532160,13.48,19.6,2.649674,17.47,17.6084,0.555,0.031144783,USD,86662463488,0.52601004,3922128630,4095020032,0.01742,0.45,3.131,5.908655,1672444800,1703980800,1688083200,0.938,5373000192,1.58,1.9,8719.22,2.954,8.777,PNK,EQUITY,GLAXF,GLAXF,GSK PLC,GSK plc,1262701800,America/New_York,EDT,-14400000,18.5,3.0,hold,6504000000,1.605,9873999872,21474000896,0.615,0.875,29333999616,176.61,7.262,0.06708,0.33219,19917000000,21123500032,4585999872,0.923,0.036,0.71436,0.3366,0.2717,GBP,0.988
2,980 Great West Road,Middlesex,Brentford,TW8 9GS,United Kingdom,44 20 8047 5000,https://www.gsk.com,Drug Manufacturers—General,Healthcare,"GSK plc, together with its subsidiaries, engages in the research, development and manufacture of vaccines and specialty medicines to prevent and treat disease in the United Kingdom, the United States, and internationally. It operates through four segments: Pharmaceuticals, Pharmaceuticals R&D, Vaccines, and Consumer Healthcare. The company offers pharmaceutical products comprising medicines in the therapeutic areas, such as infectious disease, HIV, immunology and respiratory, and oncology. The company was formerly known as GlaxoSmithKline plc and changed its name to GSK plc in May 2022. GSK plc was founded in 1715 and is based in Brentford, the United Kingdom.",69400,"{'maxAge': 1, 'name': 'Ms. Shobie  Ramakrishnan', 'title': 'Chief Digital & Technology Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",10,8,10,1,10,1693526400,1672444800,86400,2,17.82,18.5,18.5,18.5,17.82,18.5,18.5,18.5,0.7,0.0392,1692230400,0.4557,5.2,0.302927,11.70886,9.736842,1571,1571,2435,2140,2140,0.0,0.0,0,0,77725532160,13.48,19.6,2.649674,17.47,17.6084,0.555,0.031144783,USD,86662463488,0.52601004,3922128630,4095020032,0.01742,0.45,3.131,5.908655,1672444800,1703980800,1688083200,0.938,5373000192,1.58,1.9,8719.22,2.954,8.777,PNK,EQUITY,GLAXF,GLAXF,GSK PLC,GSK plc,1262701800,America/New_York,EDT,-14400000,18.5,3.0,hold,6504000000,1.605,9873999872,21474000896,0.615,0.875,29333999616,176.61,7.262,0.06708,0.33219,19917000000,21123500032,4585999872,0.923,0.036,0.71436,0.3366,0.2717,GBP,0.988
3,980 Great West Road,Middlesex,Brentford,TW8 9GS,United Kingdom,44 20 8047 5000,https://www.gsk.com,Drug Manufacturers—General,Healthcare,"GSK plc, together with its subsidiaries, engages in the research, development and manufacture of vaccines and specialty medicines to prevent and treat disease in the United Kingdom, the United States, and internationally. It operates through four segments: Pharmaceuticals, Pharmaceuticals R&D, Vaccines, and Consumer Healthcare. The company offers pharmaceutical products comprising medicines in the therapeutic areas, such as infectious disease, HIV, immunology and respiratory, and oncology. The company was formerly known as GlaxoSmithKline plc and changed its name to GSK plc in May 2022. GSK plc was founded in 1715 and is based in Brentford, the United Kingdom.",69400,"{'maxAge': 1, 'name': 'Mr. Tony  Wood', 'title': 'Chief Scientific Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",10,8,10,1,10,1693526400,1672444800,86400,2,17.82,18.5,18.5,18.5,17.82,18.5,18.5,18.5,0.7,0.0392,1692230400,0.4557,5.2,0.302927,11.70886,9.736842,1571,1571,2435,2140,2140,0.0,0.0,0,0,77725532160,13.48,19.6,2.649674,17.47,17.6084,0.555,0.031144783,USD,86662463488,0.52601004,3922128630,4095020032,0.01742,0.45,3.131,5.908655,1672444800,1703980800,1688083200,0.938,5373000192,1.58,1.9,8719.22,2.954,8.777,PNK,EQUITY,GLAXF,GLAXF,GSK PLC,GSK plc,1262701800,America/New_York,EDT,-14400000,18.5,3.0,hold,6504000000,1.605,9873999872,21474000896,0.615,0.875,29333999616,176.61,7.262,0.06708,0.33219,19917000000,21123500032,4585999872,0.923,0.036,0.71436,0.3366,0.2717,GBP,0.988
4,980 Great West Road,Middlesex,Brentford,TW8 9GS,United Kingdom,44 20 8047 5000,https://www.gsk.com,Drug Manufacturers—General,Healthcare,"GSK plc, together with its subsidiaries, engages in the research, development and manufacture of vaccines and specialty medicines to prevent and treat disease in the United Kingdom, the United States, and internationally. It operates through four segments: Pharmaceuticals, Pharmaceuticals R&D, Vaccines, and Consumer Healthcare. The company offers pharmaceutical products comprising medicines in the therapeutic areas, such as infectious disease, HIV, immunology and respiratory, and oncology. The company was formerly known as GlaxoSmithKline plc and changed its name to GSK plc in May 2022. GSK plc was founded in 1715 and is based in Brentford, the United Kingdom.",69400,"{'maxAge': 1, 'name': 'Ms. Sarah  Elton-Farr', 'title': 'Head of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",10,8,10,1,10,1693526400,1672444800,86400,2,17.82,18.5,18.5,18.5,17.82,18.5,18.5,18.5,0.7,0.0392,1692230400,0.4557,5.2,0.302927,11.70886,9.736842,1571,1571,2435,2140,2140,0.0,0.0,0,0,77725532160,13.48,19.6,2.649674,17.47,17.6084,0.555,0.031144783,USD,86662463488,0.52601004,3922128630,4095020032,0.01742,0.45,3.131,5.908655,1672444800,1703980800,1688083200,0.938,5373000192,1.58,1.9,8719.22,2.954,8.777,PNK,EQUITY,GLAXF,GLAXF,GSK PLC,GSK plc,1262701800,America/New_York,EDT,-14400000,18.5,3.0,hold,6504000000,1.605,9873999872,21474000896,0.615,0.875,29333999616,176.61,7.262,0.06708,0.33219,19917000000,21123500032,4585999872,0.923,0.036,0.71436,0.3366,0.2717,GBP,0.988
5,980 Great West Road,Middlesex,Brentford,TW8 9GS,United Kingdom,44 20 8047 5000,https://www.gsk.com,Drug Manufacturers—General,Healthcare,"GSK plc, together with its subsidiaries, engages in the research, development and manufacture of vaccines and specialty medicines to prevent and treat disease in the United Kingdom, the United States, and internationally. It operates through four segments: Pharmaceuticals, Pharmaceuticals R&D, Vaccines, and Consumer Healthcare. The company offers pharmaceutical products comprising medicines in the therapeutic areas, such as infectious disease, HIV, immunology and respiratory, and oncology. The company was formerly known as GlaxoSmithKline plc and changed its name to GSK plc in May 2022. GSK plc was founded in 1715 and is based in Brentford, the United Kingdom.",69400,"{'maxAge': 1, 'name': 'Mr. James  Ford', 'title': 'Sr. VP & Group Gen. Counsel of Legal & Compliance', 'exercisedValue': 0, 'unexercisedValue': 0}",10,8,10,1,10,1693526400,1672444800,86400,2,17.82,18.5,18.5,18.5,17.82,18.5,18.5,18.5,0.7,0.0392,1692230400,0.4557,5.2,0.302927,11.70886,9.736842,1571,1571,2435,2140,2140,0.0,0.0,0,0,77725532160,13.48,19.6,2.649674,17.47,17.6084,0.555,0.031144783,USD,86662463488,0.52601004,3922128630,4095020032,0.01742,0.45,3.131,5.908655,1672444800,1703980800,1688083200,0.938,5373000192,1.58,1.9,8719.22,2.954,8.777,PNK,EQUITY,GLAXF,GLAXF,GSK PLC,GSK plc,1262701800,America/New_York,EDT,-14400000,18.5,3.0,hold,6504000000,1.605,9873999872,21474000896,0.615,0.875,29333999616,176.61,7.262,0.06708,0.33219,19917000000,21123500032,4585999872,0.923,0.036,0.71436,0.3366,0.2717,GBP,0.988
6,980 Great West Road,Middlesex,Brentford,TW8 9GS,United Kingdom,44 20 8047 5000,https://www.gsk.com,Drug Manufacturers—General,Healthcare,"GSK plc, together with its subsidiaries, engages in the research, development and manufacture of vaccines and specialty medicines to prevent and treat disease in the United Kingdom, the United States, and internationally. It operates through four segments: Pharmaceuticals, Pharmaceuticals R&D, Vaccines, and Consumer Healthcare. The company offers pharmaceutical products comprising medicines in the therapeutic areas, such as infectious disease, HIV, immunology and respiratory, and oncology. The company was formerly known as GlaxoSmithKline plc and changed its name to GSK plc in May 2022. GSK plc was founded in 1715 and is based in Brentford, the United Kingdom.",69400,"{'maxAge': 1, 'name': 'Ms. Sally  Jackson', 'title': 'Sr. VP of Global Communications & CEO Office', 'exercisedValue': 0, 'unexercisedValue': 0}",10,8,10,1,10,1693526400,1672444800,86400,2,17.82,18.5,18.5,18.5,17.82,18.5,18.5,18.5,0.7,0.0392,1692230400,0.4557,5.2,0.302927,11.70886,9.736842,1571,1571,2435,2140,2140,0.0,0.0,0,0,77725532160,13.48,19.6,2.649674,17.47,17.6084,0.555,0.031144783,USD,86662463488,0.52601004,3922128630,4095020032,0.01742,0.45,3.131,5.908655,1672444800,1703980800,1688083200,0.938,5373000192,1.58,1.9,8719.22,2.954,8.777,PNK,EQUITY,GLAXF,GLAXF,GSK PLC,GSK plc,1262701800,America/New_York,EDT,-14400000,18.5,3.0,hold,6504000000,1.605,9873999872,21474000896,0.615,0.875,29333999616,176.61,7.262,0.06708,0.33219,19917000000,21123500032,4585999872,0.923,0.036,0.71436,0.3366,0.2717,GBP,0.988
7,980 Great West Road,Middlesex,Brentford,TW8 9GS,United Kingdom,44 20 8047 5000,https://www.gsk.com,Drug Manufacturers—General,Healthcare,"GSK plc, together with its subsidiaries, engages in the research, development and manufacture of vaccines and specialty medicines to prevent and treat disease in the United Kingdom, the United States, and internationally. It operates through four segments: Pharmaceuticals, Pharmaceuticals R&D, Vaccines, and Consumer Healthcare. The company offers pharmaceutical products comprising medicines in the therapeutic areas, such as infectious disease, HIV, immunology and respiratory, and oncology. The company was formerly known as GlaxoSmithKline plc and changed its name to GSK plc in May 2022. GSK plc was founded in 1715 and is based in Brentford, the United Kingdom.",69400,"{'maxAge': 1, 'name': 'Mr. David Simon Redfern BSc (Hons), CA', 'age': 56, 'title': 'Pres of Corp. Devel.', 'yearBorn': 1966, 'exercisedValue': 0, 'unexercisedValue': 0}",10,8,10,1,10,1693526400,1672444800,86400,2,17.82,18.5,18.5,18.5,17.82,18.5,18.5,18.5,0.7,0.0392,1692230400,0.4557,5.2,0.302927,11.70886,9.736842,1571,1571,2435,2140,2140,0.0,0.0,0,0,77725532160,13.48,19.6,2.649674,17.47,17.6084,0.555,0.031144783,USD,86662463488,0.52601004,3922128630,4095020032,0.01742,0.45,3.131,5.908655,1672444800,1703980800,1688083200,0.938,5373000192,1.58,1.9,8719.22,2.954,8.777,PNK,EQUITY,GLAXF,GLAXF,GSK PLC,GSK plc,1262701800,America/New_York,EDT,-14400000,18.5,3.0,hold,6504000000,1.605,9873999872,21474000896,0.615,0.875,29333999616,176.61,7.262,0.06708,0.33219,19917000000,21123500032,4585999872,0.923,0.036,0.71436,0.3366,0.2717,GBP,0.988
8,980 Great West Road,Middlesex,Brentford,TW8 9GS,United Kingdom,44 20 8047 5000,https://www.gsk.com,Drug Manufacturers—General,Healthcare,"GSK plc, together with its subsidiaries, engages in the research, development and manufacture of vaccines and specialty medicines to prevent and treat disease in the United Kingdom, the United States, and internationally. It operates through four segments: Pharmaceuticals, Pharmaceuticals R&D, Vaccines, and Consumer Healthcare. The company offers pharmaceutical products comprising medicines in the therapeutic areas, such as infectious disease, HIV, immunology and respiratory, and oncology. The company was formerly known as GlaxoSmithKline plc and changed its name to GSK plc in May 2022. GSK plc was founded in 1715 and is based in Brentford, the United Kingdom.",69400,"{'maxAge': 1, 'name': 'Ms. Diana  Conrad', 'title': 'Chief People Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",10,8,10,1,10,1693526400,1672444800,86400,2,17.82,18.5,18.5,18.5,17.82,18.5,18.5,18.5,0.7,0.0392,1692230400,0.4557,5.2,0.302927,11.70886,9.736842,1571,1571,2435,2140,2140,0.0,0.0,0,0,77725532160,13.48,19.6,2.649674,17.47,17.6084,0.555,0.031144783,USD,86662463488,0.52601004,3922128630,4095020032,0.01742,0.45,3.131,5.908655,1672444800,1703980800,1688083200,0.938,5373000192,1.58,1.9,8719.22,2.954,8.777,PNK,EQUITY,GLAXF,GLAXF,GSK PLC,GSK plc,1262701800,America/New_York,EDT,-14400000,18.5,3.0,hold,6504000000,1.605,9873999872,21474000896,0.615,0.875,29333999616,176.61,7.262,0.06708,0.33219,19917000000,21123500032,4585999872,0.923,0.036,0.71436,0.3366,0.2717,GBP,0.988
9,980 Great West Road,Middlesex,Brentford,TW8 9GS,United Kingdom,44 20 8047 5000,https://www.gsk.com,Drug Manufacturers—General,Healthcare,"GSK plc, together with its subsidiaries, engages in the research, development and manufacture of vaccines and specialty medicines to prevent and treat disease in the United Kingdom, the United States, and internationally. It operates through four segments: Pharmaceuticals, Pharmaceuticals R&D, Vaccines, and Consumer Healthcare. The company offers pharmaceutical products comprising medicines in the therapeutic areas, such as infectious disease, HIV, immunology and respiratory, and oncology. The company was formerly known as GlaxoSmithKline plc and changed its name to GSK plc in May 2022. GSK plc was founded in 1715 and is based in Brentford, the United Kingdom.",69400,"{'maxAge': 1, 'name': 'Mr. Philip C. Thomson', 'title': 'Pres of Global Affairs', 'exercisedValue': 0, 'unexercisedValue': 0}",10,8,10,1,10,1693526400,1672444800,86400,2,17.82,18.5,18.5,18.5,17.82,18.5,18.5,18.5,0.7,0.0392,1692230400,0.4557,5.2,0.302927,11.70886,9.736842,1571,1571,2435,2140,2140,0.0,0.0,0,0,77725532160,13.48,19.6,2.649674,17.47,17.6084,0.555,0.031144783,USD,86662463488,0.52601004,3922128630,4095020032,0.01742,0.45,3.131,5.908655,1672444800,1703980800,1688083200,0.938,5373000192,1.58,1.9,8719.22,2.954,8.777,PNK,EQUITY,GLAXF,GLAXF,GSK PLC,GSK plc,1262701800,America/New_York,EDT,-14400000,18.5,3.0,hold,6504000000,1.605,9873999872,21474000896,0.615,0.875,29333999616,176.61,7.262,0.06708,0.33219,19917000000,21123500032,4585999872,0.923,0.036,0.71436,0.3366,0.2717,GBP,0.988
