,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,2951 28th Street,Suite 1000,Santa Monica,CA,90405,United States,310 566 1000,310 899 4950,https://www.tcpcapital.com,Asset Management,Financial Services,"BlackRock TCP Capital Corp. is a business development company specializing in direct equity and debt investments in middle-market, small businesses, debt securities, senior secured loans, junior loans, originated loans, mezzanine, senior debt instruments, bonds, and secondary-market investments. It typically invests in communication services, public relations services, television, wireless telecommunication services, apparel, textile mills, restaurants, retailing, energy, oil and gas extraction, Patent owners and Lessors, Federal and Federally- Sponsored Credit agencies, insurance, hospital and healthcare centers, Biotechnology, engineering services, heavy electrical equipment, tax accounting, scientific and related consulting services, charter freight air transportation, Information technology consulting, application hosting services, software diagram and design, computer aided design, communication equipment, electronics manufacturing equipment, computer components, chemicals. It seeks to invest in the United States. The fund typically invests between $10 million and $35 million in companies with enterprise values between $100 million and $1500 million including complex situations. It prefers to make equity investments in companies for an ownership stake.","{'maxAge': 1, 'name': 'Mr. Rajneesh  Vig CPA', 'age': 51, 'title': 'Chairman & CEO', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,12.12,12.12,12.1,12.21,12.12,12.12,12.1,12.21,1.36,0.111899994,1694649600,4.2667003,10.74,1.42946,40.499996,7.023121,350927,350927,253064,465070,465070,12.06,12.3,800,1200,701872704,9.6,13.65,3.5240703,12.0914,11.6688,1.28,0.10561056,USD,1599875072,0.087460004,57767300,734449,698950,1690761600,1693440000,0.0127,0.00294,0.25147,3.47,0.0128,12.941,0.9388764,1672444800,1703980800,1688083200,17418348,0.3,1.73,0.55,8.033,NMS,EQUITY,TCPC,TCPC,BlackRock TCP Capital Corp.,BlackRock TCP Capital Corp.,1333546200,America/New_York,EDT,-14400000,12.15,14.5,12.5,13.11,13.0,1.9,buy,7,123129112,2.131,1021131904,6.129,6.21,199165360,136.589,3.448,0.04942,0.02241,181002459,62776836,173243184,0.228,1.0,0.0,0.72758,USD,
1,2951 28th Street,Suite 1000,Santa Monica,CA,90405,United States,310 566 1000,310 899 4950,https://www.tcpcapital.com,Asset Management,Financial Services,"BlackRock TCP Capital Corp. is a business development company specializing in direct equity and debt investments in middle-market, small businesses, debt securities, senior secured loans, junior loans, originated loans, mezzanine, senior debt instruments, bonds, and secondary-market investments. It typically invests in communication services, public relations services, television, wireless telecommunication services, apparel, textile mills, restaurants, retailing, energy, oil and gas extraction, Patent owners and Lessors, Federal and Federally- Sponsored Credit agencies, insurance, hospital and healthcare centers, Biotechnology, engineering services, heavy electrical equipment, tax accounting, scientific and related consulting services, charter freight air transportation, Information technology consulting, application hosting services, software diagram and design, computer aided design, communication equipment, electronics manufacturing equipment, computer components, chemicals. It seeks to invest in the United States. The fund typically invests between $10 million and $35 million in companies with enterprise values between $100 million and $1500 million including complex situations. It prefers to make equity investments in companies for an ownership stake.","{'maxAge': 1, 'name': 'Mr. Philip M. Tseng', 'age': 46, 'title': 'COO & Pres', 'yearBorn': 1976, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,12.12,12.12,12.1,12.21,12.12,12.12,12.1,12.21,1.36,0.111899994,1694649600,4.2667003,10.74,1.42946,40.499996,7.023121,350927,350927,253064,465070,465070,12.06,12.3,800,1200,701872704,9.6,13.65,3.5240703,12.0914,11.6688,1.28,0.10561056,USD,1599875072,0.087460004,57767300,734449,698950,1690761600,1693440000,0.0127,0.00294,0.25147,3.47,0.0128,12.941,0.9388764,1672444800,1703980800,1688083200,17418348,0.3,1.73,0.55,8.033,NMS,EQUITY,TCPC,TCPC,BlackRock TCP Capital Corp.,BlackRock TCP Capital Corp.,1333546200,America/New_York,EDT,-14400000,12.15,14.5,12.5,13.11,13.0,1.9,buy,7,123129112,2.131,1021131904,6.129,6.21,199165360,136.589,3.448,0.04942,0.02241,181002459,62776836,173243184,0.228,1.0,0.0,0.72758,USD,
2,2951 28th Street,Suite 1000,Santa Monica,CA,90405,United States,310 566 1000,310 899 4950,https://www.tcpcapital.com,Asset Management,Financial Services,"BlackRock TCP Capital Corp. is a business development company specializing in direct equity and debt investments in middle-market, small businesses, debt securities, senior secured loans, junior loans, originated loans, mezzanine, senior debt instruments, bonds, and secondary-market investments. It typically invests in communication services, public relations services, television, wireless telecommunication services, apparel, textile mills, restaurants, retailing, energy, oil and gas extraction, Patent owners and Lessors, Federal and Federally- Sponsored Credit agencies, insurance, hospital and healthcare centers, Biotechnology, engineering services, heavy electrical equipment, tax accounting, scientific and related consulting services, charter freight air transportation, Information technology consulting, application hosting services, software diagram and design, computer aided design, communication equipment, electronics manufacturing equipment, computer components, chemicals. It seeks to invest in the United States. The fund typically invests between $10 million and $35 million in companies with enterprise values between $100 million and $1500 million including complex situations. It prefers to make equity investments in companies for an ownership stake.","{'maxAge': 1, 'name': 'Mr. Michael Eric Leitner', 'age': 54, 'title': 'Managing Partner', 'yearBorn': 1968, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,12.12,12.12,12.1,12.21,12.12,12.12,12.1,12.21,1.36,0.111899994,1694649600,4.2667003,10.74,1.42946,40.499996,7.023121,350927,350927,253064,465070,465070,12.06,12.3,800,1200,701872704,9.6,13.65,3.5240703,12.0914,11.6688,1.28,0.10561056,USD,1599875072,0.087460004,57767300,734449,698950,1690761600,1693440000,0.0127,0.00294,0.25147,3.47,0.0128,12.941,0.9388764,1672444800,1703980800,1688083200,17418348,0.3,1.73,0.55,8.033,NMS,EQUITY,TCPC,TCPC,BlackRock TCP Capital Corp.,BlackRock TCP Capital Corp.,1333546200,America/New_York,EDT,-14400000,12.15,14.5,12.5,13.11,13.0,1.9,buy,7,123129112,2.131,1021131904,6.129,6.21,199165360,136.589,3.448,0.04942,0.02241,181002459,62776836,173243184,0.228,1.0,0.0,0.72758,USD,
3,2951 28th Street,Suite 1000,Santa Monica,CA,90405,United States,310 566 1000,310 899 4950,https://www.tcpcapital.com,Asset Management,Financial Services,"BlackRock TCP Capital Corp. is a business development company specializing in direct equity and debt investments in middle-market, small businesses, debt securities, senior secured loans, junior loans, originated loans, mezzanine, senior debt instruments, bonds, and secondary-market investments. It typically invests in communication services, public relations services, television, wireless telecommunication services, apparel, textile mills, restaurants, retailing, energy, oil and gas extraction, Patent owners and Lessors, Federal and Federally- Sponsored Credit agencies, insurance, hospital and healthcare centers, Biotechnology, engineering services, heavy electrical equipment, tax accounting, scientific and related consulting services, charter freight air transportation, Information technology consulting, application hosting services, software diagram and design, computer aided design, communication equipment, electronics manufacturing equipment, computer components, chemicals. It seeks to invest in the United States. The fund typically invests between $10 million and $35 million in companies with enterprise values between $100 million and $1500 million including complex situations. It prefers to make equity investments in companies for an ownership stake.","{'maxAge': 1, 'name': 'Mr. Mark Keith Holdsworth', 'age': 57, 'title': 'Managing Partner', 'yearBorn': 1965, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,12.12,12.12,12.1,12.21,12.12,12.12,12.1,12.21,1.36,0.111899994,1694649600,4.2667003,10.74,1.42946,40.499996,7.023121,350927,350927,253064,465070,465070,12.06,12.3,800,1200,701872704,9.6,13.65,3.5240703,12.0914,11.6688,1.28,0.10561056,USD,1599875072,0.087460004,57767300,734449,698950,1690761600,1693440000,0.0127,0.00294,0.25147,3.47,0.0128,12.941,0.9388764,1672444800,1703980800,1688083200,17418348,0.3,1.73,0.55,8.033,NMS,EQUITY,TCPC,TCPC,BlackRock TCP Capital Corp.,BlackRock TCP Capital Corp.,1333546200,America/New_York,EDT,-14400000,12.15,14.5,12.5,13.11,13.0,1.9,buy,7,123129112,2.131,1021131904,6.129,6.21,199165360,136.589,3.448,0.04942,0.02241,181002459,62776836,173243184,0.228,1.0,0.0,0.72758,USD,
4,2951 28th Street,Suite 1000,Santa Monica,CA,90405,United States,310 566 1000,310 899 4950,https://www.tcpcapital.com,Asset Management,Financial Services,"BlackRock TCP Capital Corp. is a business development company specializing in direct equity and debt investments in middle-market, small businesses, debt securities, senior secured loans, junior loans, originated loans, mezzanine, senior debt instruments, bonds, and secondary-market investments. It typically invests in communication services, public relations services, television, wireless telecommunication services, apparel, textile mills, restaurants, retailing, energy, oil and gas extraction, Patent owners and Lessors, Federal and Federally- Sponsored Credit agencies, insurance, hospital and healthcare centers, Biotechnology, engineering services, heavy electrical equipment, tax accounting, scientific and related consulting services, charter freight air transportation, Information technology consulting, application hosting services, software diagram and design, computer aided design, communication equipment, electronics manufacturing equipment, computer components, chemicals. It seeks to invest in the United States. The fund typically invests between $10 million and $35 million in companies with enterprise values between $100 million and $1500 million including complex situations. It prefers to make equity investments in companies for an ownership stake.","{'maxAge': 1, 'name': 'Mr. Erik L. Cuellar CPA', 'age': 51, 'title': 'CFO & Controller', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,12.12,12.12,12.1,12.21,12.12,12.12,12.1,12.21,1.36,0.111899994,1694649600,4.2667003,10.74,1.42946,40.499996,7.023121,350927,350927,253064,465070,465070,12.06,12.3,800,1200,701872704,9.6,13.65,3.5240703,12.0914,11.6688,1.28,0.10561056,USD,1599875072,0.087460004,57767300,734449,698950,1690761600,1693440000,0.0127,0.00294,0.25147,3.47,0.0128,12.941,0.9388764,1672444800,1703980800,1688083200,17418348,0.3,1.73,0.55,8.033,NMS,EQUITY,TCPC,TCPC,BlackRock TCP Capital Corp.,BlackRock TCP Capital Corp.,1333546200,America/New_York,EDT,-14400000,12.15,14.5,12.5,13.11,13.0,1.9,buy,7,123129112,2.131,1021131904,6.129,6.21,199165360,136.589,3.448,0.04942,0.02241,181002459,62776836,173243184,0.228,1.0,0.0,0.72758,USD,
5,2951 28th Street,Suite 1000,Santa Monica,CA,90405,United States,310 566 1000,310 899 4950,https://www.tcpcapital.com,Asset Management,Financial Services,"BlackRock TCP Capital Corp. is a business development company specializing in direct equity and debt investments in middle-market, small businesses, debt securities, senior secured loans, junior loans, originated loans, mezzanine, senior debt instruments, bonds, and secondary-market investments. It typically invests in communication services, public relations services, television, wireless telecommunication services, apparel, textile mills, restaurants, retailing, energy, oil and gas extraction, Patent owners and Lessors, Federal and Federally- Sponsored Credit agencies, insurance, hospital and healthcare centers, Biotechnology, engineering services, heavy electrical equipment, tax accounting, scientific and related consulting services, charter freight air transportation, Information technology consulting, application hosting services, software diagram and design, computer aided design, communication equipment, electronics manufacturing equipment, computer components, chemicals. It seeks to invest in the United States. The fund typically invests between $10 million and $35 million in companies with enterprise values between $100 million and $1500 million including complex situations. It prefers to make equity investments in companies for an ownership stake.","{'maxAge': 1, 'name': 'Ms. Kathleen  McGlynn', 'title': 'VP of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,12.12,12.12,12.1,12.21,12.12,12.12,12.1,12.21,1.36,0.111899994,1694649600,4.2667003,10.74,1.42946,40.499996,7.023121,350927,350927,253064,465070,465070,12.06,12.3,800,1200,701872704,9.6,13.65,3.5240703,12.0914,11.6688,1.28,0.10561056,USD,1599875072,0.087460004,57767300,734449,698950,1690761600,1693440000,0.0127,0.00294,0.25147,3.47,0.0128,12.941,0.9388764,1672444800,1703980800,1688083200,17418348,0.3,1.73,0.55,8.033,NMS,EQUITY,TCPC,TCPC,BlackRock TCP Capital Corp.,BlackRock TCP Capital Corp.,1333546200,America/New_York,EDT,-14400000,12.15,14.5,12.5,13.11,13.0,1.9,buy,7,123129112,2.131,1021131904,6.129,6.21,199165360,136.589,3.448,0.04942,0.02241,181002459,62776836,173243184,0.228,1.0,0.0,0.72758,USD,
6,2951 28th Street,Suite 1000,Santa Monica,CA,90405,United States,310 566 1000,310 899 4950,https://www.tcpcapital.com,Asset Management,Financial Services,"BlackRock TCP Capital Corp. is a business development company specializing in direct equity and debt investments in middle-market, small businesses, debt securities, senior secured loans, junior loans, originated loans, mezzanine, senior debt instruments, bonds, and secondary-market investments. It typically invests in communication services, public relations services, television, wireless telecommunication services, apparel, textile mills, restaurants, retailing, energy, oil and gas extraction, Patent owners and Lessors, Federal and Federally- Sponsored Credit agencies, insurance, hospital and healthcare centers, Biotechnology, engineering services, heavy electrical equipment, tax accounting, scientific and related consulting services, charter freight air transportation, Information technology consulting, application hosting services, software diagram and design, computer aided design, communication equipment, electronics manufacturing equipment, computer components, chemicals. It seeks to invest in the United States. The fund typically invests between $10 million and $35 million in companies with enterprise values between $100 million and $1500 million including complex situations. It prefers to make equity investments in companies for an ownership stake.","{'maxAge': 1, 'name': 'Mr. Charles Choon Sik Park', 'age': 55, 'title': 'Chief Compliance Officer', 'yearBorn': 1967, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,12.12,12.12,12.1,12.21,12.12,12.12,12.1,12.21,1.36,0.111899994,1694649600,4.2667003,10.74,1.42946,40.499996,7.023121,350927,350927,253064,465070,465070,12.06,12.3,800,1200,701872704,9.6,13.65,3.5240703,12.0914,11.6688,1.28,0.10561056,USD,1599875072,0.087460004,57767300,734449,698950,1690761600,1693440000,0.0127,0.00294,0.25147,3.47,0.0128,12.941,0.9388764,1672444800,1703980800,1688083200,17418348,0.3,1.73,0.55,8.033,NMS,EQUITY,TCPC,TCPC,BlackRock TCP Capital Corp.,BlackRock TCP Capital Corp.,1333546200,America/New_York,EDT,-14400000,12.15,14.5,12.5,13.11,13.0,1.9,buy,7,123129112,2.131,1021131904,6.129,6.21,199165360,136.589,3.448,0.04942,0.02241,181002459,62776836,173243184,0.228,1.0,0.0,0.72758,USD,
7,2951 28th Street,Suite 1000,Santa Monica,CA,90405,United States,310 566 1000,310 899 4950,https://www.tcpcapital.com,Asset Management,Financial Services,"BlackRock TCP Capital Corp. is a business development company specializing in direct equity and debt investments in middle-market, small businesses, debt securities, senior secured loans, junior loans, originated loans, mezzanine, senior debt instruments, bonds, and secondary-market investments. It typically invests in communication services, public relations services, television, wireless telecommunication services, apparel, textile mills, restaurants, retailing, energy, oil and gas extraction, Patent owners and Lessors, Federal and Federally- Sponsored Credit agencies, insurance, hospital and healthcare centers, Biotechnology, engineering services, heavy electrical equipment, tax accounting, scientific and related consulting services, charter freight air transportation, Information technology consulting, application hosting services, software diagram and design, computer aided design, communication equipment, electronics manufacturing equipment, computer components, chemicals. It seeks to invest in the United States. The fund typically invests between $10 million and $35 million in companies with enterprise values between $100 million and $1500 million including complex situations. It prefers to make equity investments in companies for an ownership stake.","{'maxAge': 1, 'name': 'Mr. Laurence D. Paredes Esq.', 'age': 54, 'title': 'Gen. Counsel & Sec.', 'yearBorn': 1968, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,12.12,12.12,12.1,12.21,12.12,12.12,12.1,12.21,1.36,0.111899994,1694649600,4.2667003,10.74,1.42946,40.499996,7.023121,350927,350927,253064,465070,465070,12.06,12.3,800,1200,701872704,9.6,13.65,3.5240703,12.0914,11.6688,1.28,0.10561056,USD,1599875072,0.087460004,57767300,734449,698950,1690761600,1693440000,0.0127,0.00294,0.25147,3.47,0.0128,12.941,0.9388764,1672444800,1703980800,1688083200,17418348,0.3,1.73,0.55,8.033,NMS,EQUITY,TCPC,TCPC,BlackRock TCP Capital Corp.,BlackRock TCP Capital Corp.,1333546200,America/New_York,EDT,-14400000,12.15,14.5,12.5,13.11,13.0,1.9,buy,7,123129112,2.131,1021131904,6.129,6.21,199165360,136.589,3.448,0.04942,0.02241,181002459,62776836,173243184,0.228,1.0,0.0,0.72758,USD,
8,2951 28th Street,Suite 1000,Santa Monica,CA,90405,United States,310 566 1000,310 899 4950,https://www.tcpcapital.com,Asset Management,Financial Services,"BlackRock TCP Capital Corp. is a business development company specializing in direct equity and debt investments in middle-market, small businesses, debt securities, senior secured loans, junior loans, originated loans, mezzanine, senior debt instruments, bonds, and secondary-market investments. It typically invests in communication services, public relations services, television, wireless telecommunication services, apparel, textile mills, restaurants, retailing, energy, oil and gas extraction, Patent owners and Lessors, Federal and Federally- Sponsored Credit agencies, insurance, hospital and healthcare centers, Biotechnology, engineering services, heavy electrical equipment, tax accounting, scientific and related consulting services, charter freight air transportation, Information technology consulting, application hosting services, software diagram and design, computer aided design, communication equipment, electronics manufacturing equipment, computer components, chemicals. It seeks to invest in the United States. The fund typically invests between $10 million and $35 million in companies with enterprise values between $100 million and $1500 million including complex situations. It prefers to make equity investments in companies for an ownership stake.","{'maxAge': 1, 'name': 'Mr. Robert G. DiPaolo CPA', 'title': 'Managing Director', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,12.12,12.12,12.1,12.21,12.12,12.12,12.1,12.21,1.36,0.111899994,1694649600,4.2667003,10.74,1.42946,40.499996,7.023121,350927,350927,253064,465070,465070,12.06,12.3,800,1200,701872704,9.6,13.65,3.5240703,12.0914,11.6688,1.28,0.10561056,USD,1599875072,0.087460004,57767300,734449,698950,1690761600,1693440000,0.0127,0.00294,0.25147,3.47,0.0128,12.941,0.9388764,1672444800,1703980800,1688083200,17418348,0.3,1.73,0.55,8.033,NMS,EQUITY,TCPC,TCPC,BlackRock TCP Capital Corp.,BlackRock TCP Capital Corp.,1333546200,America/New_York,EDT,-14400000,12.15,14.5,12.5,13.11,13.0,1.9,buy,7,123129112,2.131,1021131904,6.129,6.21,199165360,136.589,3.448,0.04942,0.02241,181002459,62776836,173243184,0.228,1.0,0.0,0.72758,USD,
9,2951 28th Street,Suite 1000,Santa Monica,CA,90405,United States,310 566 1000,310 899 4950,https://www.tcpcapital.com,Asset Management,Financial Services,"BlackRock TCP Capital Corp. is a business development company specializing in direct equity and debt investments in middle-market, small businesses, debt securities, senior secured loans, junior loans, originated loans, mezzanine, senior debt instruments, bonds, and secondary-market investments. It typically invests in communication services, public relations services, television, wireless telecommunication services, apparel, textile mills, restaurants, retailing, energy, oil and gas extraction, Patent owners and Lessors, Federal and Federally- Sponsored Credit agencies, insurance, hospital and healthcare centers, Biotechnology, engineering services, heavy electrical equipment, tax accounting, scientific and related consulting services, charter freight air transportation, Information technology consulting, application hosting services, software diagram and design, computer aided design, communication equipment, electronics manufacturing equipment, computer components, chemicals. It seeks to invest in the United States. The fund typically invests between $10 million and $35 million in companies with enterprise values between $100 million and $1500 million including complex situations. It prefers to make equity investments in companies for an ownership stake.","{'maxAge': 1, 'name': 'Mr. Jason A. Mehring', 'age': 50, 'title': 'Managing Director', 'yearBorn': 1972, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,12.12,12.12,12.1,12.21,12.12,12.12,12.1,12.21,1.36,0.111899994,1694649600,4.2667003,10.74,1.42946,40.499996,7.023121,350927,350927,253064,465070,465070,12.06,12.3,800,1200,701872704,9.6,13.65,3.5240703,12.0914,11.6688,1.28,0.10561056,USD,1599875072,0.087460004,57767300,734449,698950,1690761600,1693440000,0.0127,0.00294,0.25147,3.47,0.0128,12.941,0.9388764,1672444800,1703980800,1688083200,17418348,0.3,1.73,0.55,8.033,NMS,EQUITY,TCPC,TCPC,BlackRock TCP Capital Corp.,BlackRock TCP Capital Corp.,1333546200,America/New_York,EDT,-14400000,12.15,14.5,12.5,13.11,13.0,1.9,buy,7,123129112,2.131,1021131904,6.129,6.21,199165360,136.589,3.448,0.04942,0.02241,181002459,62776836,173243184,0.228,1.0,0.0,0.72758,USD,
